40-10801,http://tshop.r10s.jp/biccamera/cabinet/product/1687/00000003181714_a01.jpg?fitin=700:700,1969.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＮＴＮ G　ベアリングユニット 　UCFC205D1,,<!-- -->●軸受箱の取り付け面に円筒状の印ろうを設け、フレームにはめ込む形式になっており、取り付けの際に偏芯が少なく、位置決めも正確です。<BR><BR>【用途】<BR>●ドラムプーリなどに。<BR><BR>【仕様】<BR>●軸径(mm)：25●全長(mm)：115●全高(mm)：115●取付ピッチ(mm)：90●取付ねじ：M10●質量(kg)：1<BR>●給油式印ろう付き丸フランジ形●止めねじ式●使用温度範囲：-15～100℃<BR><BR>【材質/仕上】<BR>●軸受：高炭素クロム軸受鋼●軸受箱：鋳鉄<BR><BR>【原産国】<BR>日本,ＮＴＮ G　ベアリングユニット 　UCFC205D1：ビックカメラ楽天市場店,ＮＴＮ G　ベアリングユニット 　UCFC205D1,ＮＴＮ G　ベアリングユニット 　UCFC205D1[rn]
40-10849,http://tshop.r10s.jp/biccamera/cabinet/product/0783/00000001828171_a01.jpg?fitin=700:700,1516.0000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 ネオジム磁石　外径6．6mmX穴径2mmX厚1．5mm　10個入　TN62RA10P,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■磁石の中で最強の磁場をもつネオジム磁石です。<BR><BR>【用途】<BR>・センサーやモーター部品として。<BR><BR>【仕様】<BR>表面磁束密度(T)：0.2、厚み(mm)：1.5、吸着力(N)：2.74、外径(mm)：6.6、穴径(mm)：2.0、質量(g)3<BR><BR>【材質/仕上】<BR>■マグネット：ネオジム磁石<BR><BR>【原産国】<BR>中国,トラスコ中山 ネオジム磁石　外径6．6mmX穴径2mmX厚1．5mm　10個入　TN62RA10P：ビックカメラ楽天市場店,トラスコ中山 ネオジム磁石　外径6．6mmX穴径2mmX厚1．5mm　10個入　TN62RA10P,AppStore/AndroidMarketでビック楽天を検索。トラスコ中山 ネオジム磁石　外径6．6mmX穴径2mmX厚1．5mm　10個入　TN62RA10P[rn]
40-10850,http://tshop.r10s.jp/biccamera/cabinet/product/1098/00000002014355_a01.jpg?fitin=700:700,208.0000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 ネオジム磁石　丸形　外径6mmX厚み5mm　1個入　TN65R1P,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■磁石の中で最強の磁場をもつネオジム磁石です。<BR><BR>【用途】<BR>・センサーやモーター部品として。<BR><BR>【仕様】<BR>表面磁束密度(T)：0.35、厚み(mm)：5.0、吸着力(N)：7.4、外径(mm)：6.0、質量(g)：1<BR><BR>【材質/仕上】<BR>■マグネット：ネオジム磁石<BR><BR>【原産国】<BR>中国,トラスコ中山 ネオジム磁石　丸形　外径6mmX厚み5mm　1個入　TN65R1P：ビックカメラ楽天市場店,トラスコ中山 ネオジム磁石　丸形　外径6mmX厚み5mm　1個入　TN65R1P,AppStore/AndroidMarketでビック楽天を検索。トラスコ中山 ネオジム磁石　丸形　外径6mmX厚み5mm　1個入　TN65R1P[rn]
40-10851,http://tshop.r10s.jp/biccamera/cabinet/product/1098/00000002014315_a01.jpg?fitin=700:700,51770.4000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 トラスコ中山 サニタリマグネット棒　Φ25X400　MGB40M6,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■防水構造のため、液中設置も可能です。<BR><BR>【用途】<BR>・粉体・液体・粒体などの原材料に含まれる金属の回収、生産工程中に出るステンレス摩耗粉（SUS304.316）などの回収。<BR><BR>【仕様】<BR>表面磁束密度(T)：1.0、直径(mm)：25、全長(mm)：400、質量(kg)：0.95<BR>タップ穴：M6・深さ8mm（両端）、使用温度上限：80℃<BR><BR>【材質/仕上】<BR>■マグネット：ネオジム系希土類磁石■外装部：ステンレス（SUS316L）■表面仕上げ：#400バフ仕上げ<BR><BR>【原産国】<BR>日本,【送料無料】 トラスコ中山 サニタリマグネット棒　Φ25X400　MGB40M6：ビックカメラ楽天市場店,【送料無料】 トラスコ中山 サニタリマグネット棒　Φ25X400　MGB40M6,AppStore/AndroidMarketでビック楽天を検索。【送料無料】 トラスコ中山 サニタリマグネット棒　Φ25X400　MGB40M6[rn]
40-10852,http://tshop.r10s.jp/biccamera/cabinet/product/1680/00000003177821_a01.jpg?fitin=700:700,367191.2000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 カネテック 標準型脱磁機KMD型　KMD40C,,<!-- -->●放熱効果が良好で、連続通電に耐えます。<BR>●ハイス鋼やベアリング鋼・ニッケルクローム鋼・ばね鋼・ダイス鋼といった磁鋼に近い性質で保磁力が大きく、脱磁が困難な鋼材にも高い脱磁効果を発揮する強力タイプです。<BR><BR>【用途】<BR>●ワークの表面残留磁気の除去に。<BR><BR>【仕様】<BR>●電源(V)：単相200(50/60Hz)、単相220(60Hz)●使用率(%)：100●幅(mm)：400●奥行(mm)：200●高さ(mm)：120●質量(kg)：29●梱包寸法(mm)縦X横X高さ：240X620X220●梱包重量(kg)：31<BR>●電源コード長さ：2m●電源容量(kVA)：0.95<BR><BR>【原産国】<BR>日本,【送料無料】 カネテック 標準型脱磁機KMD型　KMD40C：ビックカメラ楽天市場店,【送料無料】 カネテック 標準型脱磁機KMD型　KMD40C,【送料無料】 カネテック 標準型脱磁機KMD型　KMD40C[rn]
40-10853,http://tshop.r10s.jp/biccamera/cabinet/product/0625/00000001735384_a01.jpg?fitin=700:700,728.0000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 ネオジムマグネットホルダー　Φ10XH8　TNMG10,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■ネオジム磁石仕様で小型でも強力な能力を発揮します。<BR><BR>■汎用性が高く様々な用途で使用できます。<BR><BR>【用途】<BR>・治工具への埋め込みや様々な吸着目的に。<BR><BR>【仕様】<BR>吸着力(N)：30、高さ(mm)：8、外径(mm)：10、磁石径(mm)：7、磁石高さ(mm)：3.5、<BR>取付ねじ：M4×0.7 深さ4.0、磁石径Φ7mm磁石高さ3.5mm、ねじ深さ4、質量(g)：4<BR>最高使用温度：80℃<BR><BR>【材質/仕上】<BR>■マグネット：ネオジム磁石■キャップ：スチール■表面処理：ニッケルメッキ（ケース）<BR><BR>【注意】<BR>・ねじ止めの深さにご注意ください。<BR>・深くねじ込むと磁石が外れる可能性があります。<BR><BR>【原産国】<BR>日本,トラスコ中山 ネオジムマグネットホルダー　Φ10XH8　TNMG10：ビックカメラ楽天市場店,トラスコ中山 ネオジムマグネットホルダー　Φ10XH8　TNMG10,AppStore/AndroidMarketでビック楽天を検索。トラスコ中山 ネオジムマグネットホルダー　Φ10XH8　TNMG10[rn]
40-10854,http://tshop.r10s.jp/biccamera/cabinet/product/1926/00000003176777_a01.jpg?fitin=700:700,222.4000,,花・ガーデン・DIY > DIY・工具 > その他,光 ヨーク丸型異方性フェライト　1個入り1パック　MGY44,,<!-- -->●キャップ付なので、磁石単体より3～11倍吸着力が上がります。<BR>●RoHS対応品です。<BR><BR>【用途】<BR>●吸着用。<BR><BR>【仕様】<BR>●吸着力(N)：120●厚み(mm)：8●適用ねじ：M4●外径(mm)：44●表面磁束密度(T)：0.1●質量(g)：66<BR>●磁石寸法外径×厚み×穴径(mm)：37×6×14mm<BR><BR>【材質/仕上】<BR>●マグネット：フェライト磁石●キャップ：スチール<BR><BR>【セット内容/付属品】<BR><BR><BR>【注意】<BR>●吸着力はあくまでも計算値です。使用状況により変わりますので参考データとしてご活用ください。<BR><BR>【原産国】<BR>日本,光 ヨーク丸型異方性フェライト　1個入り1パック　MGY44：ビックカメラ楽天市場店,光 ヨーク丸型異方性フェライト　1個入り1パック　MGY44,光 ヨーク丸型異方性フェライト　1個入り1パック　MGY44[rn]
40-10855,http://tshop.r10s.jp/biccamera/cabinet/product/1680/00000003176863_a01.jpg?fitin=700:700,2315.2000,,花・ガーデン・DIY > DIY・工具 > その他,マグナ ボールジョイント磁石　1KD418,,<!-- -->●ボール状の関節部分が180°以上可動します。<BR><BR>【用途】<BR>●光学機器、照明器具、監視用カメラの固定、医療機器などの保持やロボットの関節部分。●人形等の関節部分。<BR><BR>【仕様】<BR>●吸着力(N)：49.0●直径×高さ(mm)：13.0×36●ボール径(mm)：18●ねじ寸法：M4×12●質量(g)：43.9<BR>●取付ねじ寸法：M4×6<BR><BR>【材質/仕上】<BR>●マグネット：ネオジム磁石●ボール部：スチール●本体：真鍮<BR><BR>【セット内容/付属品】<BR><BR><BR>【原産国】<BR>中国,マグナ ボールジョイント磁石　1KD418：ビックカメラ楽天市場店,マグナ ボールジョイント磁石　1KD418,マグナ ボールジョイント磁石　1KD418[rn]
40-10856,http://tshop.r10s.jp/biccamera/cabinet/product/0625/00000001735389_a01.jpg?fitin=700:700,1588.0000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 ネオジム磁石　角形　40mmX11mmX6mm　1個入　TN4011K1P,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■磁石の中で最強の磁場をもつネオジム磁石です。<BR><BR>【用途】<BR>・センサーやモーター部品として。<BR><BR>【仕様】<BR>表面磁束密度(T)：0.35、厚み(mm)：6.0、幅(mm)：11.0、長さ(mm)：40.0、吸着力(N)：82.32、質量(g)：19.5<BR><BR>【材質/仕上】<BR>■マグネット：ネオジム磁石<BR><BR>【原産国】<BR>中国,トラスコ中山 ネオジム磁石　角形　40mmX11mmX6mm　1個入　TN4011K1P：ビックカメラ楽天市場店,トラスコ中山 ネオジム磁石　角形　40mmX11mmX6mm　1個入　TN4011K1P,AppStore/AndroidMarketでビック楽天を検索。トラスコ中山 ネオジム磁石　角形　40mmX11mmX6mm　1個入　TN4011K1P[rn]
40-10857,http://tshop.r10s.jp/biccamera/cabinet/product/1680/00000003177217_a01.jpg?fitin=700:700,32823.2000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 カネテック 電磁ホルダー　KE6B,,<!-- -->●連続使用が可能です。<BR><BR>【用途】<BR>●各種自動化機器から工業用ロボットの把手部まで広い範囲に。●自動プレスの材料送り、シャーリング材料のたわみ防止に。<BR><BR>【仕様】<BR>●吸着力(N)：1080●径(mm)：60●高さ(mm)：60●電圧(V)：DC90●電流(A)：0.19●適合整流器：KR-N101AKR-N103ARH-M102CRH-M105BRH-M205BRH-M210B●質量(kg)：1000<BR>●電源コード長さ：0.3m<BR><BR>【セット内容/付属品】<BR><BR><BR>【注意】<BR>●コード上面引出し仕様(KE-B-U)も製作可能です。<BR><BR>【原産国】<BR>日本,【送料無料】 カネテック 電磁ホルダー　KE6B：ビックカメラ楽天市場店,【送料無料】 カネテック 電磁ホルダー　KE6B,【送料無料】 カネテック 電磁ホルダー　KE6B[rn]
40-10858,http://tshop.r10s.jp/biccamera/cabinet/product/0468/00000001642959_a01.jpg?fitin=700:700,3584.0000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 ハンドマグネットミニ　吸着力100N　HM90,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■切削くずや鉄粉などを簡単に除去できます。<BR><BR>【用途】<BR>・鉄板加工工場の薄鉄板取り出し用に。<BR>・メッキ槽内の鉄片・鉄粉除去用に。<BR>・鉄製小物部品の各種保持用に。<BR>・切削くず除去、清掃に。<BR><BR>【仕様】<BR>吸着力(N)：100、幅(mm)：67、奥行(mm)：25、高さ(mm)：92、質量(kg)：0.42<BR><BR>【材質/仕上】<BR>■マグネット：アルニコ磁石■取手部：ABS樹脂■吸着面：スチール<BR><BR>【原産国】<BR>中国,トラスコ中山 ハンドマグネットミニ　吸着力100N　HM90：ビックカメラ楽天市場店,トラスコ中山 ハンドマグネットミニ　吸着力100N　HM90,AppStore/AndroidMarketでビック楽天を検索。トラスコ中山 ハンドマグネットミニ　吸着力100N　HM90[rn]
40-10859,http://tshop.r10s.jp/biccamera/cabinet/product/1848/00000003269177_a01.jpg?fitin=700:700,8190.4000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 トラスコ中山 ＴＲＵＳＣＯ ステンレスシムボックステープ ０．００５ １００ｍｍＸ１ｍ ＴＳ１００Ｘ－０００５－Ｍ１,,<!-- -->■機械同士のすき間を埋めたり、調整用に使用できます。<BR>■テープ状になっているため、任意の長さにカットできます。<BR><BR>【用途】<BR>・すき間調整などに。<BR><BR>【仕様】<BR>厚み(mm):0.005、長さ(m):1、精度（mm）：±0.001<BR>テープ幅:100mm<BR><BR>【材質/仕上】<BR>■ステンレス（SUS304）<BR><BR>【原産国】<BR>日本,【送料無料】 トラスコ中山 ＴＲＵＳＣＯ ステンレスシムボックステープ ０．００５ １００ｍｍＸ１ｍ ＴＳ１００Ｘ&minus;０００５&minus;Ｍ１：ビックカメラ楽天市場店,【送料無料】 トラスコ中山 ＴＲＵＳＣＯ ステンレスシムボックステープ ０．００５ １００ｍｍＸ１ｍ ＴＳ１００Ｘ&minus;０００５&minus;Ｍ１,【送料無料】 トラスコ中山 ＴＲＵＳＣＯ ステンレスシムボックステープ ０．００５ １００ｍｍＸ１ｍ ＴＳ１００Ｘ&minus;０００５&minus;Ｍ１[rn]
40-10860,http://tshop.r10s.jp/biccamera/cabinet/product/1848/00000003269171_a01.jpg?fitin=700:700,5425.6000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 トラスコ中山 ＴＲＵＳＣＯ ステンレスシムボックステープ ０．０６ １００ｍｍＸ１ｍ ＴＳ１００Ｘ－００６－Ｍ１,,<!-- -->■機械同士のすき間を埋めたり、調整用に使用できます。<BR>■テープ状になっているため、任意の長さにカットできます。<BR><BR>【用途】<BR>・すき間調整などに。<BR><BR>【仕様】<BR>厚み(mm):0.06、長さ(m):1、精度（mm）：±0.006<BR>テープ幅:100mm<BR><BR>【材質/仕上】<BR>■ステンレス（SUS304）<BR><BR>【原産国】<BR>日本,【送料無料】 トラスコ中山 ＴＲＵＳＣＯ ステンレスシムボックステープ ０．０６ １００ｍｍＸ１ｍ ＴＳ１００Ｘ&minus;００６&minus;Ｍ１：ビックカメラ楽天市場店,【送料無料】 トラスコ中山 ＴＲＵＳＣＯ ステンレスシムボックステープ ０．０６ １００ｍｍＸ１ｍ ＴＳ１００Ｘ&minus;００６&minus;Ｍ１,【送料無料】 トラスコ中山 ＴＲＵＳＣＯ ステンレスシムボックステープ ０．０６ １００ｍｍＸ１ｍ ＴＳ１００Ｘ&minus;００６&minus;Ｍ１[rn]
40-10861,,21867.2000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 ミツトヨ ミツトヨ カンタマイク（293－147－30） MDE-75PX,,<!-- -->■シンブル1回転で2mmも移動するスピーディー測定を実現しました。<BR><BR>■外径の精密測定に。<div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■メーカーコード:293-147-30<BR>■測定範囲(mm):50～75<BR>■器差(μm):±1<BR>■最小表示(mm):0.001<BR>■最小表示:0.001mm<BR>■容器保護等級:IP65<BR>■定圧装置:ラチェットシンブル<BR>■測定面形状:標準タイプ<BR>■電源:ボタン型酸化銀電池（SR44）×1個（付属）<BR>■測定データ出力機能なし   <BR>■原産国:日本<BR>■質量:465G</td></tr></table></div>,【送料無料】 ミツトヨ ミツトヨ カンタマイク（293&minus;147&minus;30） MDE-75PX：ビックカメラ楽天市場店,【送料無料】 ミツトヨ ミツトヨ カンタマイク（293&minus;147&minus;30） MDE-75PX,【送料無料】 ミツトヨ ミツトヨ カンタマイク（293&minus;147&minus;30） MDE-75PX[rn]
40-10862,http://tshop.r10s.jp/biccamera/cabinet/product/2587/00000003578081_a01.jpg?fitin=700:700,5512.0000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 柴田 SIBATA スモークテスターセット 080270-02,,<!-- -->■ゴム球を一定間隔で押すと白煙が断続的に流れ出し、気流に沿って動きます。<BR><BR>■坑内、建物、乗物などの通風および換気状態の検査。<div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■対象ガス:-<BR>■幅(mm):155<BR>■奥行(mm):95<BR>■高さ(mm):170<BR>■発煙剤:塩化第二すず <BR>■【セット内容／付属品】・発煙管10本・アンプルカッター1個・ゴムキャップ4個・ゴム球1個・ゴム管(φ5×φ9）4本・ケース <BR>■原産国:日本<BR>■質量:0.5KG</td></tr></table></div>,【送料無料】 柴田 SIBATA スモークテスターセット 080270-02：ビックカメラ楽天市場店,【送料無料】 柴田 SIBATA スモークテスターセット 080270-02,【送料無料】 柴田 SIBATA スモークテスターセット 080270-02[rn]
40-10863,http://tshop.r10s.jp/biccamera/cabinet/product/2599/00000003582726_a01.jpg?fitin=700:700,1796.8000,,花・ガーデン・DIY > DIY・工具 > その他,Ａ＆Ｄ（エーアンドディ） A＆D　デジタルマルチメーター　AD5527A　AD5527A,,<!-- -->■便利で使いやすいデジタルマルチメーターです。<BR><BR>■直流/交流電圧､直流電流、抵抗測定、導通チェック、ダイオードチェック機能、乾電池チェック機能など、豊富な測定機能を搭載しています。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■直流電圧(V):400<BR>■交流電圧(V):400<BR>■交流電流(A):-<BR>■抵抗(Ω):2M<BR>■直流電流(mA):200<BR>■検波方式:平均値整流（MEAN）<BR>■最大表示:1999カウント<BR>■幅×奥行×高さ:60×20×113mm<BR>■電源:ボタン電池（LR44）×2個（付属）<BR>■測定項目：DCV、ACV、DCA、Ω、ダイオードチェック、導通チェック、電池チェック<BR>■レンジ切替：マニュアルレンジ<BR>■直流電圧最高確度±(0.5%rdg+5dgts)<BR>■交流電圧最高確度:±(1.2%rdg+5dgts)<BR>■直流電流最高確度±(1.0%rdg+4dgts)<BR>■抵抗最高確度±(1.0%rdg+4dgts)   <BR>■原産国:中国<BR>■質量:90G</td></tr></table></div>,Ａ＆Ｄ（エーアンドディ） A＆D　デジタルマルチメーター　AD5527A　AD5527A：ビックカメラ楽天市場店,Ａ＆Ｄ（エーアンドディ） A＆D　デジタルマルチメーター　AD5527A　AD5527A,Ａ＆Ｄ（エーアンドディ） A＆D　デジタルマルチメーター　AD5527A　AD5527A[rn]
40-10864,http://tshop.r10s.jp/biccamera/cabinet/product/0149/00000001455856_a01.jpg?fitin=700:700,22109.6000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 京都機械工具（ＫＴＣ） デジラチェ　GEK200R4,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■パワーセンサ搭載固定グリップにより素早く確実に、幅広い高精度のトルク管理を実現しました。<BR><BR>■計測範囲を設定できる「合否判定モード」、連続作業に対応する「オートクリアモード」、操舵トルクを測定できる「トラックモード」など多彩な機能を快適に操ることができ、幅広いシーンに対応します。<BR><BR>■メモリー登録件数は5件です。<BR><BR>■測定単位はN・m（切り替え換算可能kgf・m、lbf・in、lbf・ft）です。<BR><BR>■点灯が側面からも確認できる大型LEDを採用しました。<BR><BR>【用途】<BR>・産業用機械、分析機器、自動車など各種製造業。<BR>・建築・土木・エンジニアリング・ビルメンテナンス・各種メンテナンス。<BR><BR>【仕様】<BR>トルク調整範囲(N・m)：40～200、最小目盛(N・m)：0.20、差込角(mm)：12.7、全長(mm)：580、質量(g)：990<BR>負荷方向：右、左、電源：コイン型リチウム電池（CR2354）×1個（付属）、<BR>トルク調整方式：電子式、測定方向：右ねじ、左ねじ、専用樹脂ケース付<BR><BR>【注意】<BR>・トルク測定範囲内でご使用ください。<BR>・防水仕様ではありません。<BR>・測定精度を維持するため、定期的にトルク校正されることをお薦めします。<BR><BR>【原産国】<BR>日本,【送料無料】 京都機械工具（ＫＴＣ） デジラチェ　GEK200R4：ビックカメラ楽天市場店,【送料無料】 京都機械工具（ＫＴＣ） デジラチェ　GEK200R4,AppStore/AndroidMarketでビック楽天を検索。【送料無料】 京都機械工具（ＫＴＣ） デジラチェ　GEK200R4[rn]
40-10865,http://tshop.r10s.jp/biccamera/cabinet/product/1837/00000003258293_a01.jpg?fitin=700:700,5166.4000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 ＴＦＦフルーク社 ＦＬＵＫＥ ソフトケースＣ５０ Ｃ５０,,<!-- -->■持ち運びに便利なソフトケースです。<BR><BR>【仕様】<BR>質量(g):220、サイズ(mm):192×90×38、推奨測定器:50、705、707<BR><BR>【原産国】<BR>中国,【送料無料】 ＴＦＦフルーク社 ＦＬＵＫＥ ソフトケースＣ５０ Ｃ５０：ビックカメラ楽天市場店,【送料無料】 ＴＦＦフルーク社 ＦＬＵＫＥ ソフトケースＣ５０ Ｃ５０,【送料無料】 ＴＦＦフルーク社 ＦＬＵＫＥ ソフトケースＣ５０ Ｃ５０[rn]
40-10866,http://tshop.r10s.jp/biccamera/cabinet/product/1868/00000003264098_a01.jpg?fitin=700:700,5512.0000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 カスタム カスタム センサプローブ ＬＫ－５０００Ｍ,,<!-- -->■K熱電対センサプローブ用延長ケーブルです。<BR><BR>【仕様】<BR>長さ:5m、質量(g):112<BR><BR>【原産国】<BR>日本,【送料無料】 カスタム カスタム センサプローブ ＬＫ&minus;５０００Ｍ：ビックカメラ楽天市場店,【送料無料】 カスタム カスタム センサプローブ ＬＫ&minus;５０００Ｍ,【送料無料】 カスタム カスタム センサプローブ ＬＫ&minus;５０００Ｍ[rn]
40-10867,http://tshop.r10s.jp/biccamera/cabinet/product/1642/00000003144267_a01.jpg?fitin=700:700,1883.2000,,花・ガーデン・DIY > DIY・工具 > その他,アネスト岩田 リキッドホース用ステンレスジョイント　AJU03FN,,<!-- -->■接液部がステンレス製なので、各種の流体に使用できます。<BR><BR>【用途】<BR>・水性液剤<BR><BR>【仕様】<BR>製造国：台湾、タイプ：リキッドホース用ステンレスジョイント、質量(g)：73<BR><BR>【材質/仕上】<BR>■接液部：ステンレス（SUS303）<BR><BR>【注意】<BR>・錆び・腐食が発生する場合があります<BR><BR>【原産国】<BR>台湾<BR><BR><B>こちらの商品はご購入後の返品をお受けいたしておりません。<BR>サイズ、種類等、再度お確かめの上お求めください。</B>,アネスト岩田 リキッドホース用ステンレスジョイント　AJU03FN：ビックカメラ楽天市場店,アネスト岩田 リキッドホース用ステンレスジョイント　AJU03FN,アネスト岩田 リキッドホース用ステンレスジョイント　AJU03FN[rn]
40-10868,http://tshop.r10s.jp/biccamera/cabinet/product/1726/00000003204331_a01.jpg?fitin=700:700,42180.0000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 川本製作所 排水用樹脂製水中ポンプ（汚物用）　WUO34060.25S,,<!-- -->■ポンプ部の樹脂化、ステンレス製モータフレームの採用により、軽くて取り扱いも容易です。<BR>■Ｌ・ＬＮタイプは、起動・停止水位調整が可能です。<BR>■樹脂、ステンレスの採用により腐食に強く超寿命です。<BR>■異物通過性能に優れたボルテックスタイプ、しかも高い揚水性能を発揮します。<BR><BR>【用途】<BR>・汚水・汚物・湧き水の排水用。<BR>・ピット排水用。<BR>・浄化槽排水用。<BR><BR>【仕様】<BR>吐出量(Ｌ/ｍｉｎ)：20、全揚程(ｍ)：7.5、周波数(Ｈｚ)：60、口径(ｍｍ)：40、電源(Ｖ)：単相100、電流(Ａ)：4.6、出力(ｋＷ)：0.25<BR>電源コード長さ：6ｍ（1.5ｋＷ以上：10ｍ）、液質：汚水・汚物水0～40℃、モータ：乾式水中モータ、単相100Ｖ、三相200Ｖ、同期回転速度3600ｍｉｎ-1(三相400Ｖ品についてはお問合せ下さい。)<BR><BR>【材質/仕上】<BR>■インペラ樹脂■主軸ＳＵＳ304（接液部）■ケーシング樹脂<BR><BR>【セット内容/付属品】<BR>■相フランジ（樹脂製）■水中ケーブル（6ｍ）<BR><BR>【原産国】<BR>日本,【送料無料】 川本製作所 排水用樹脂製水中ポンプ（汚物用）　WUO34060.25S：ビックカメラ楽天市場店,【送料無料】 川本製作所 排水用樹脂製水中ポンプ（汚物用）　WUO34060.25S,【送料無料】 川本製作所 排水用樹脂製水中ポンプ（汚物用）　WUO34060.25S[rn]
40-10869,http://tshop.r10s.jp/biccamera/cabinet/product/1847/00000003269403_a01.jpg?fitin=700:700,456.0000,,花・ガーデン・DIY > DIY・工具 > その他,フローバル フローバル メスオスソケット（SCS13A） 04101401 VMF-0201,,<!-- -->■ステンレス配管に対応しています。<BR>■従来のねじ込み継手を更にグレードアップし、より使い易い継手として開発された商品です。<BR><BR>【用途】<BR>・蒸気・空気・ガス・油用。<BR><BR>【仕様】<BR>呼び径(A):8×6、呼び径(B):1/4×1/8、質量(g):22、L(mm):27.0、D(mm):17、A(mm):11.0<BR>JIS B0203準拠、最高使用圧力：300℃以下の蒸気・空気・ガス・油 1.0MPa、120℃以下の静流水 2.0MPa<BR><BR>【材質/仕上】<BR>■ステンレス（SCS13A）<BR><BR>【原産国】<BR>中国,フローバル フローバル メスオスソケット（SCS13A） 04101401 VMF-0201：ビックカメラ楽天市場店,フローバル フローバル メスオスソケット（SCS13A） 04101401 VMF-0201,フローバル フローバル メスオスソケット（SCS13A） 04101401 VMF-0201[rn]
40-10870,http://tshop.r10s.jp/biccamera/cabinet/product/1842/00000003266775_a01.jpg?fitin=700:700,861.6000,,花・ガーデン・DIY > DIY・工具 > その他,因幡電機産業 ＩＮＡＢＡ ＤＥＮＫＯ 異径ジョイント ＳＤＲ－１００－７７－Ｉ,,<!-- -->■優れた基本性能と多彩なバリエーションでエアコン配管化粧カバーをリードするスリムダクトＳＤシリーズです。<BR><BR>【用途】<BR>・異径ダクト接続用。<BR><BR>【仕様】<BR>質量(g):100、色:アイボリー、A（mm）：66、B（mm）：75、C（mm）：82、D（mm）：107、E（mm）：66<BR><BR>【材質/仕上】<BR>■ポリ塩化ビニール(PVC)<BR><BR>【原産国】<BR>日本,因幡電機産業 ＩＮＡＢＡ ＤＥＮＫＯ 異径ジョイント ＳＤＲ&minus;１００&minus;７７&minus;Ｉ：ビックカメラ楽天市場店,因幡電機産業 ＩＮＡＢＡ ＤＥＮＫＯ 異径ジョイント ＳＤＲ&minus;１００&minus;７７&minus;Ｉ,因幡電機産業 ＩＮＡＢＡ ＤＥＮＫＯ 異径ジョイント ＳＤＲ&minus;１００&minus;７７&minus;Ｉ[rn]
