40-11001,http://tshop.r10s.jp/biccamera/cabinet/product/1645/00000003131909_a01.jpg?fitin=700:700,8068.0000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 アルバック機工 ニップル　ZSCK5016,,<!-- -->【仕様】<BR>フランジサイズ：KF-16、D(mm)：60、B(mm)：20．0、A(mm)：30、C(mm)：16、質量(g)：78<BR><BR>【材質/仕上】<BR>■ステンレス（SUS304）<BR><BR>【原産国】<BR>日本,【送料無料】 アルバック機工 ニップル　ZSCK5016：ビックカメラ楽天市場店,【送料無料】 アルバック機工 ニップル　ZSCK5016,【送料無料】 アルバック機工 ニップル　ZSCK5016[rn]
40-11042,http://tshop.r10s.jp/biccamera/cabinet/product/0471/00000001644199_a01.jpg?fitin=700:700,4475.2000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 ポップリベットファスナー オープンリベット（アルミ鉄）φ2.4、TAPD34BS（1000本）　TAPD34BS,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■標準的なアルミニウム合金製リベットで、幅広い分野に対応します。<BR><BR>【用途】<BR>・自動車板金、電機板金等。<BR><BR>【仕様】<BR>かしめ板厚(mm)：4.8～6.4、リベット長(mm)：8.9、フランジ径(mm)：4.8、リベット径(mm)：2.4、<BR>下穴径(mm)：2.5、せん断荷重(N)：470、引張荷重(N)：710、質量(kg)：0.562<BR>箱入<BR><BR>【材質/仕上】<BR>■リベット本体（フランジ）：アルミ（A5154）■マンドレル（シャフト）：スチール（硬鋼線）<BR><BR>【原産国】<BR>日本,【送料無料】 ポップリベットファスナー オープンリベット（アルミ鉄）φ2.4、TAPD34BS（1000本）　TAPD34BS：ビックカメラ楽天市場店,【送料無料】 ポップリベットファスナー オープンリベット（アルミ鉄）φ2.4、TAPD34BS（1000本）　TAPD34BS,AppStore/AndroidMarketでビック楽天を検索。【送料無料】 ポップリベットファスナー オープンリベット（アルミ鉄）φ2.4、TAPD34BS（1000本）　TAPD34BS[rn]
40-11043,http://tshop.r10s.jp/biccamera/cabinet/product/1364/00000002017651_a01.jpg?fitin=700:700,17703.2000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 ロブテックス ブラインドリベット（1000本入）　アルミ/アルミ　6－10　NA610,,<!-- -->■片側から複数の母材をワン・アクションで締結できます。溶接に比べて作業の省力化や生産性の向上にメリットがあります。<BR><BR>【用途】<BR>・自動車板金、電機板金など。<BR><BR>【仕様】<BR>かしめ板厚(mm)：12.7~15.9、リベット長(mm)：21.3、フランジ径(mm)：9.6、リベット径(mm)：4.8、下穴径(mm)：4.9~5.0、せん断荷重(N)：1680、引張荷重(N)：2380、質量(kg)：2.03<BR>箱入、箱入数(本)：1000<BR><BR>【材質／仕上】<BR>■リベット本体（フランジ）：アルミ（A5052）■マンドレル（シャフト）：アルミ（A2017）<BR><BR>【原産国】<BR>日本,【送料無料】 ロブテックス ブラインドリベット（1000本入）　アルミ/アルミ　6&minus;10　NA610：ビックカメラ楽天市場店,【送料無料】 ロブテックス ブラインドリベット（1000本入）　アルミ/アルミ　6&minus;10　NA610,【送料無料】 ロブテックス ブラインドリベット（1000本入）　アルミ/アルミ　6&minus;10　NA610[rn]
40-11044,http://tshop.r10s.jp/biccamera/cabinet/product/2528/00000003558567_a01.jpg?fitin=700:700,4129.6000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 フィッシャージャパン フィッシャー　ボルトアンカー　FBN2　10／10　50本入り 40827,,<!-- -->■コストパフォーマンスに優れた普通コンクリート用ウェッジ式アンカーです。<BR><BR>■浅い埋込みは浅いドリル孔深さを可能にし、補強筋への干渉を低減し迅速な施工を可能にします。<BR><BR>■国際認証が最大の安全性と最高のパフォーマンスを実証します。<BR><BR>■コンクリート、緻密な石材向け。<BR><BR>■各種架台取付け。<BR><BR>■設備工事。<BR><BR>■手摺り外構工事など。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■ねじの呼び:M10<BR>■埋込み深さ(mm):78<BR>■下穴径(mm):10<BR>■引張最大荷重(kN):8.5<BR>■全長(mm):86<BR>■ドリル径(mm):10<BR>■ねじ長さ(mm):46<BR>■最大取付物厚(mm):10<BR>■有効埋込み深さ(mm):50<BR>■標準施工トルク(N・m):30.0<BR>■引張最大荷重(kN):8.5<BR>■せん断最大荷重(kN):12.0<BR>■箱入数(本):50<BR>■欧州技術認証(ETA-07/0211)<BR>■【材質／仕上げ】　スチール　表面処理:亜鉛メッキ（三価クロメート処理）  <BR>■原産国:ドイツ<BR>■質量:2870G</td></tr></table></div>,【送料無料】 フィッシャージャパン フィッシャー　ボルトアンカー　FBN2　10／10　50本入り 40827：ビックカメラ楽天市場店,【送料無料】 フィッシャージャパン フィッシャー　ボルトアンカー　FBN2　10／10　50本入り 40827,【送料無料】 フィッシャージャパン フィッシャー　ボルトアンカー　FBN2　10／10　50本入り 40827[rn]
40-11045,http://tshop.r10s.jp/biccamera/cabinet/product/1868/00000003266693_a01.jpg?fitin=700:700,3179.2000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 ＴＲＵＳＣＯ オールアンカーＳＣタイプ Ｍ１２Ｘ１２０ ４本入 ＳＣ－１２１２ＢＴ,,<!-- -->■ナット締め付けタイプなので取付物の取り外しが可能です。<BR>■施工は芯棒を打込むだけなので施工完了がひと目で分かります。<BR>■本体とねじ部が同径なのでコンクリートへの穴あけが小径で済みます。<BR>■取付物の上から直接施工ができます。<BR><BR>【用途】<BR>・防錆が望まれる建設工事、設備工事に。<BR><BR>【仕様】<BR>ねじの呼び:M12、全長(mm):120、ねじ長さ(mm):50、下穴径(mm):12.7、引張最大荷重(kN):17.1、埋込み深さ(mm):50、最大取付物厚(mm):56、質量(g):474.6<BR>パック入(～全長80mm)、袋入(全長90mm～）<BR><BR>【材質/仕上】<BR>■ステンレス（SUS304系）<BR><BR>【注意】<BR>■引張最大荷重は、コンクリート強度Fｃ21N/m[[平米時の値です。<BR><BR>【原産国】<BR>日本,トラスコ中山 ＴＲＵＳＣＯ オールアンカーＳＣタイプ Ｍ１２Ｘ１２０ ４本入 ＳＣ&minus;１２１２ＢＴ：ビックカメラ楽天市場店,トラスコ中山 ＴＲＵＳＣＯ オールアンカーＳＣタイプ Ｍ１２Ｘ１２０ ４本入 ＳＣ&minus;１２１２ＢＴ,トラスコ中山 ＴＲＵＳＣＯ オールアンカーＳＣタイプ Ｍ１２Ｘ１２０ ４本入 ＳＣ&minus;１２１２ＢＴ[rn]
40-11046,http://tshop.r10s.jp/biccamera/cabinet/product/2596/00000003583806_a01.jpg?fitin=700:700,932.8000,,花・ガーデン・DIY > DIY・工具 > その他,ロブテックス エビ　モンゴクアトロプラグ（15本入）　12X60mm　MQ1260B,,<!-- -->■拡張部が4方向に拡がり、母材孔壁にがっちり固着するので、安定した高い引抜強度が得られます。<BR><BR>■供回り防止、沈み込み防止。早期拡張を防止・軽減します。<BR><BR>■コンクリート・ALCなどで強度を必要とする箇所に。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■長さ(mm):60<BR>■穿孔深さ(mm):80<BR>■下穴径(mm)コンクリート:12<BR>■下穴径(mm)ALC:11.7<BR>■呼径(mm):12<BR>■適合ねじ(mm):8.0～9.5<BR>■引張最大荷重(kN)コンクリート:24.6<BR>■引張最大荷重(kN)ALC:3.9<BR>■１ボトル入数(本):15<BR>■適合ねじ:木ねじ・タッピングねじ<BR>■ボトル入り<ＢＲ>■【材質／仕上げ】　ナイロン  <BR>■原産国:スイス<BR>■質量:190G</td></tr></table></div>,ロブテックス エビ　モンゴクアトロプラグ（15本入）　12X60mm　MQ1260B：ビックカメラ楽天市場店,ロブテックス エビ　モンゴクアトロプラグ（15本入）　12X60mm　MQ1260B,ロブテックス エビ　モンゴクアトロプラグ（15本入）　12X60mm　MQ1260B[rn]
40-11047,http://tshop.r10s.jp/biccamera/cabinet/product/0471/00000001644205_a01.jpg?fitin=700:700,7533.6000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 ポップリベットファスナー 高圧着HRリベット（オール鉄）φ4.8、SD62HR（1000本）　SD62HR,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■母材間に高い圧着力を発生させることが出来るリベットです。<BR><BR>■座屈径が広くなり薄板母材でも高い引張力を得られます。<BR><BR>【用途】<BR>・自動車板金、電機板金など。<BR><BR>【仕様】<BR>かしめ板厚(mm)：1.6～3.2、リベット長(mm)：13.5、フランジ径(mm)：9.6、リベット径(mm)：4.8、下穴径(mm)：5.0、<BR>参考せん断強度(N)：3100、参考引張強度(N)：3400、質量(kg)：4.4<BR><BR>【材質/仕上】<BR>■リベット本体（フランジ）：スチール(SWCH)■マンドレル（シャフト）：スチール<BR><BR>【原産国】<BR>日本,【送料無料】 ポップリベットファスナー 高圧着HRリベット（オール鉄）φ4.8、SD62HR（1000本）　SD62HR：ビックカメラ楽天市場店,【送料無料】 ポップリベットファスナー 高圧着HRリベット（オール鉄）φ4.8、SD62HR（1000本）　SD62HR,AppStore/AndroidMarketでビック楽天を検索。【送料無料】 ポップリベットファスナー 高圧着HRリベット（オール鉄）φ4.8、SD62HR（1000本）　SD62HR[rn]
40-11048,http://tshop.r10s.jp/biccamera/cabinet/product/2528/00000003559432_a01.jpg?fitin=700:700,8104.0000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 フィッシャージャパン フィッシャー　ボルトアンカー　FBN2　12／5　K　A4　20本入り 508011,,<!-- -->■コストパフォーマンスに優れた普通コンクリート用ウェッジ式アンカーです。<BR><BR>■浅い埋込みは浅いドリル孔深さを可能にし、補強筋への干渉を低減し迅速な施工を可能にします。<BR><BR>■国際認証が最大の安全性と最高のパフォーマンスを実証します。<BR><BR>■コンクリート、緻密な石材向け。<BR><BR>■各種架台取付け。<BR><BR>■設備工事。<BR><BR>■手摺り外構工事など。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■ねじの呼び:M12<BR>■埋込み深さ(mm):75<BR>■下穴径(mm):12<BR>■引張最大荷重(kN):12.6<BR>■全長(mm):86<BR>■ドリル径(mm):12<BR>■ねじ長さ(mm):39<BR>■最大取付物厚(mm):5<BR>■有効埋込み深さ(mm):50<BR>■標準施工トルク(N・m):35.0<BR>■引張最大荷重(kN):8.5<BR>■せん断最大荷重(kN):15.7<BR>■箱入数(本):20<BR>■欧州技術認証(ETA-07/0211)<BR>■【材質／仕上げ】　ステンレス(SUS316相当)  <BR>■原産国:ドイツ<BR>■質量:1672G</td></tr></table></div>,【送料無料】 フィッシャージャパン フィッシャー　ボルトアンカー　FBN2　12／5　K　A4　20本入り 508011：ビックカメラ楽天市場店,【送料無料】 フィッシャージャパン フィッシャー　ボルトアンカー　FBN2　12／5　K　A4　20本入り 508011,【送料無料】 フィッシャージャパン フィッシャー　ボルトアンカー　FBN2　12／5　K　A4　20本入り 508011[rn]
40-11049,http://tshop.r10s.jp/biccamera/cabinet/product/0629/00000001737003_a01.jpg?fitin=700:700,326.4000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 ブラインドリベット（アルミ／鉄）　5－2　55本入　AT52,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■ブラインドリベットは裏側に手の回らない母材や密閉された薄板などに簡単に部材を締結することができます。<BR><BR>■リベットはねじと異なり振動による緩みがありません。<BR><BR>【用途】<BR>・トラック、バス、保冷車パネル、電車、水上バイク、家庭電気製品、照明器具、スチール家具など。<BR>・サッシ、門扉、ベランダ、シャッター、看板、脚立、厨房機器など。<BR><BR>【仕様】<BR>かしめ板厚(mm)：0.5～3.2、リベット長(mm)：6.6、フランジ径(mm)：8.0、リベット径(mm)：4.0、下穴径(mm)：4.1、<BR>せん断荷重(N)：1420、引張荷重(N)：2250、質量(g)：84<BR>パック入<BR><BR>【材質/仕上】<BR>■リベット本体（フランジ）：アルミ（A5052）■マンドレル（シャフト）：スチール（炭素鋼）<BR><BR>【原産国】<BR>日本,トラスコ中山 ブラインドリベット（アルミ／鉄）　5&minus;2　55本入　AT52：ビックカメラ楽天市場店,トラスコ中山 ブラインドリベット（アルミ／鉄）　5&minus;2　55本入　AT52,AppStore/AndroidMarketでビック楽天を検索。トラスコ中山 ブラインドリベット（アルミ／鉄）　5&minus;2　55本入　AT52[rn]
40-11050,http://tshop.r10s.jp/biccamera/cabinet/product/1856/00000003260139_a01.jpg?fitin=700:700,24528.8000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 マックス MAX ガスネイラ用コンクリートピン 長さ38mm 1000本入り GS－63 CP－738V6－G1－A,,<!-- -->【仕様】<BR>適合ネイル頭径×胴径×長さ(mm):6.3×2.6×38、1ケース入数(本):1000<BR>ガスネイラGS-638CA用ノーマルピン（首下38mm)<BR><BR>【原産国】<BR>日本,【送料無料】 マックス MAX ガスネイラ用コンクリートピン 長さ38mm 1000本入り GS&minus;63 CP&minus;738V6&minus;G1&minus;A：ビックカメラ楽天市場店,【送料無料】 マックス MAX ガスネイラ用コンクリートピン 長さ38mm 1000本入り GS&minus;63 CP&minus;738V6&minus;G1&minus;A,【送料無料】 マックス MAX ガスネイラ用コンクリートピン 長さ38mm 1000本入り GS&minus;63 CP&minus;738V6&minus;G1&minus;A[rn]
40-11051,http://tshop.r10s.jp/biccamera/cabinet/product/0779/00000001826624_a01.jpg?fitin=700:700,20736.0000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 トラスコ中山 プロパンバーナー　ホース5M付　火口径10号　TBL105M,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■ハイカロリーの大型バーナーで広範囲の作業などに最適です。<BR><BR>【用途】<BR>・凍結・解氷作業。<BR>・道路補修。<BR><BR>【仕様】<BR>発熱量(kcal/h)：144000、火口径(mm)：100、全長(mm)：980、ホース長さ(m)：5、質量(kg)：3．1<BR>炎温度：1500℃、使用燃料：プロパンガス<BR><BR>【原産国】<BR>日本,【送料無料】 トラスコ中山 プロパンバーナー　ホース5M付　火口径10号　TBL105M：ビックカメラ楽天市場店,【送料無料】 トラスコ中山 プロパンバーナー　ホース5M付　火口径10号　TBL105M,AppStore/AndroidMarketでビック楽天を検索。【送料無料】 トラスコ中山 プロパンバーナー　ホース5M付　火口径10号　TBL105M[rn]
40-11052,http://tshop.r10s.jp/biccamera/cabinet/product/1946/00000003127489_a01.jpg?fitin=700:700,1624.0000,,花・ガーデン・DIY > DIY・工具 > その他,角利産業 日曜大工のみ　ショート　32mm　12984,,<!-- -->■刃は完全焼き入れ・焼き戻し・本刃を施してあります。<BR><BR>■ハンドルは樹脂製でハンマーでたたくことが可能です。<BR><BR>■集成材にも使用できる洋風スタイルの角利オリジナルのみです。<BR><BR>【用途】<BR>・ホゾ穴の仕上げなどに。<BR><BR>【仕様】<BR>全長(mm)：200、刃幅(mm)：32、質量(g)：180<BR><BR>【材質/仕上】<BR>■刃：刃物用特殊鋼（ハイカーボンバナジウム鋼）■柄：アセチルセルロース<BR><BR>【原産国】<BR>日本,角利産業 日曜大工のみ　ショート　32mm　12984：ビックカメラ楽天市場店,角利産業 日曜大工のみ　ショート　32mm　12984,角利産業 日曜大工のみ　ショート　32mm　12984[rn]
40-11053,http://tshop.r10s.jp/biccamera/cabinet/product/2539/00000003557021_a01.jpg?fitin=700:700,231.2000,,花・ガーデン・DIY > DIY・工具 > その他,浅香工業 金象　カラー　移植コテ　イエロー 150981,,<!-- -->■握り部裏面は補強板入りで丈夫な仕上です。<BR><BR>■球根の植え付け深さを計測できる目盛付きです。<BR><BR>■花壇、プランターなどの土入れ、土出し、苗の植え替え作業。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■刃先形:移植ゴテ形<BR>■刃先幅(mm):70<BR>■刃先長(mm):155<BR>■全長(mm):275<BR>■色:黄<BR>■【材質／仕上げ】　スチール  <BR>■原産国:中国<BR>■質量:186G</td></tr></table></div>,浅香工業 金象　カラー　移植コテ　イエロー 150981：ビックカメラ楽天市場店,浅香工業 金象　カラー　移植コテ　イエロー 150981,浅香工業 金象　カラー　移植コテ　イエロー 150981[rn]
40-11054,,1019.2000,,花・ガーデン・DIY > DIY・工具 > その他,ホッタ ツールポーチRコレクション  RC1,,<!-- -->,ホッタ ツールポーチRコレクション  RC1：ビックカメラ楽天市場店,ホッタ ツールポーチRコレクション  RC1,ホッタ ツールポーチRコレクション  RC1[rn]
40-11055,http://tshop.r10s.jp/biccamera/cabinet/product/1601/00000003128022_a01.jpg?fitin=700:700,1224.0000,,花・ガーデン・DIY > DIY・工具 > その他,アルスコーポレーション 大工用折込鋸ピーメタル21　厚刃　PM21H,,<!-- -->■タフな厚刃です。<BR><BR>■大工用折込鋸　（折込式）です。<BR><BR>【用途】<BR>・大工、仮枠作業に。<BR>・プロの現場に超切れ味<BR>・軽量・高剛性のアルミダイカスト＋力を無駄なく伝えるエラストマーグリップ<BR>・簡単替刃式で経済的<BR><BR>【仕様】<BR>刃長(mm)：210、全長(mm)：440、刃ピッチ(mm)：6、質量(g)：180<BR>ハードクローム仕上げ、アサリわけなし<BR><BR>【材質/仕上】<BR>■刃：高炭素刃物鋼■柄：エラストマー樹脂・アルミダイカスト<BR><BR>【原産国】<BR>日本,アルスコーポレーション 大工用折込鋸ピーメタル21　厚刃　PM21H：ビックカメラ楽天市場店,アルスコーポレーション 大工用折込鋸ピーメタル21　厚刃　PM21H,アルスコーポレーション 大工用折込鋸ピーメタル21　厚刃　PM21H[rn]
40-11056,http://tshop.r10s.jp/biccamera/cabinet/product/2597/00000003578881_a01.jpg?fitin=700:700,69543.2000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 日立工機 日立 常圧ねじ打機 WF4AR3-S,,<!-- -->■ビット押付力30%UPによるカムアウト低減で作業効率が向上しました。<BR><BR>■オイル吸収フィルタ内臓により、排気中のオイルをキャッチし、石こうボードなどへの汚れを軽減します。<div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■高さ(mm):305<BR>■幅(mm):125<BR>■全長(mm):290<BR>■ロールねじ装填数(本):100<BR>■適合ロールねじ胴径×長さ(mm)木下地用/鋼製下地用:φ3.9～4.2×25～41/φ3.5×25～41<BR>■使用空気圧：0.59～0.78MPa <BR>■【セット内容／付属品】・ケース、ビット（NO2プラスドライバービット）、ノーズキャップ、保護メガネ、ビット交換工具、油さし <BR>■原産国:日本<BR>■質量:1.9KG</td></tr></table></div>,【送料無料】 日立工機 日立 常圧ねじ打機 WF4AR3-S：ビックカメラ楽天市場店,【送料無料】 日立工機 日立 常圧ねじ打機 WF4AR3-S,【送料無料】 日立工機 日立 常圧ねじ打機 WF4AR3-S[rn]
40-11057,http://tshop.r10s.jp/biccamera/cabinet/product/1727/00000003203947_a01.jpg?fitin=700:700,14929.6000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 東空販売 テーパーロッド A00611060,,<!-- -->【仕様】<BR>全長(ｍｍ)：900、シャンクサイズ(ｍｍ)：22Ｈ×83、有効長(ｍｍ)：800、質量(ｋｇ)：2.7、適合型式：ＴＪ-15、ＴＪ-15ＳＶ<BR><BR>【原産国】<BR>日本,【送料無料】 東空販売 テーパーロッド A00611060：ビックカメラ楽天市場店,【送料無料】 東空販売 テーパーロッド A00611060,【送料無料】 東空販売 テーパーロッド A00611060[rn]
40-11058,,1019.2000,,花・ガーデン・DIY > DIY・工具 > その他,ホッタ ツールポーチRコレクション  RC2,,<!-- -->,ホッタ ツールポーチRコレクション  RC2：ビックカメラ楽天市場店,ホッタ ツールポーチRコレクション  RC2,ホッタ ツールポーチRコレクション  RC2[rn]
40-11059,http://tshop.r10s.jp/biccamera/cabinet/product/1598/00000003126449_a01.jpg?fitin=700:700,1883.2000,,花・ガーデン・DIY > DIY・工具 > その他,ハウスビーエム パイプソー　ハイパー300　PS300,,<!-- -->■のこぎり刃部分にチップポケット（窓鋸）があるため、切りバリが少なく切り粉のはけに優れます。<BR><BR>【用途】<BR>・塩ビパイプ、鉛管など。<BR><BR>【仕様】<BR>刃長(mm)：300、全長(mm)：490、刃ピッチ(mm)：－、質量(g)：177<BR><BR>【材質/仕上】<BR>■刃：スチール■柄：エラストマー樹脂<BR><BR>【原産国】<BR>日本,ハウスビーエム パイプソー　ハイパー300　PS300：ビックカメラ楽天市場店,ハウスビーエム パイプソー　ハイパー300　PS300,ハウスビーエム パイプソー　ハイパー300　PS300[rn]
40-11060,http://tshop.r10s.jp/biccamera/cabinet/product/1849/00000003258983_a01.jpg?fitin=700:700,58743.2000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 エクセン エクセン コードレスバイブレータ フレキタイプ Ｃ２８Ｆ０．６Ｍ,,<!-- -->■高容量の１８Ｖ４．０Ａｈのリチウムイオンバッテリーを採用しています。<BR>■フレキシブルタイプのバイブレータは広い範囲で使用できます。<BR>■ゴム製のフレキシブルホースで接続していますので、打設の際にホースが多少屈曲してしまう箇所でも使用できます。<BR><BR>【用途】<BR>・生コンクリート打設時に。<BR><BR>【仕様】<BR>全長(mm):1089、振動部(mm):28×186、振動数(Hz):200、質量(kg):4.2、消費電力(VA):100<BR>電圧:18V、充電時間:約60分、使用時間:20分<BR><BR>【セット内容/付属品】<BR>■充電器一式<BR>■バッテリー２個<BR>■キャリングケース<BR><BR>【原産国】<BR>日本,【送料無料】 エクセン エクセン コードレスバイブレータ フレキタイプ Ｃ２８Ｆ０．６Ｍ：ビックカメラ楽天市場店,【送料無料】 エクセン エクセン コードレスバイブレータ フレキタイプ Ｃ２８Ｆ０．６Ｍ,【送料無料】 エクセン エクセン コードレスバイブレータ フレキタイプ Ｃ２８Ｆ０．６Ｍ[rn]
40-11061,http://tshop.r10s.jp/biccamera/cabinet/product/1092/00000002012135_a01.jpg?fitin=700:700,1258.4000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 替刃式鋸　TS265,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■エラストマー樹脂グリップを採用しています。<BR><BR>■焼き入れを施しているので耐摩耗性に優れ、ハードクロムメッキを施しているのでヤニがつきにくいです。<BR><BR>【用途】<BR>・一般木材、集成材、化粧合板、コンパネ、竹、硬木の横引きに。<BR><BR>【仕様】<BR>刃長(mm)：250、全長(mm)：535、質量(g)：255<BR><BR>【材質／仕上】<BR>■刃：刃物用炭素鋼■柄：ABS樹脂・エラストマー樹脂（TPR）<BR><BR>【原産国】<BR>台湾,トラスコ中山 替刃式鋸　TS265：ビックカメラ楽天市場店,トラスコ中山 替刃式鋸　TS265,AppStore/AndroidMarketでビック楽天を検索。トラスコ中山 替刃式鋸　TS265[rn]
40-11062,http://tshop.r10s.jp/biccamera/cabinet/product/1250/00000002104714_a01.jpg?fitin=700:700,1416.8000,,花・ガーデン・DIY > DIY・工具 > その他,ナルセ商工 ステンレス仕上型万能鏝　SSB150,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■ステンレス（SUS420J2）のためサビず、薄く、経済的で作業性に優れます。<BR><BR>■板厚0．3mmです。<BR><BR>【用途】<BR>・袋入り簡易セメント使用作業、園芸、土木、その他左官作業。<BR><BR>【仕様】<BR>コテ長さ(mm)：150、元幅(mm)：52、先幅(mm)：42、質量(g)：80<BR><BR>【原産国】<BR>日本,ナルセ商工 ステンレス仕上型万能鏝　SSB150：ビックカメラ楽天市場店,ナルセ商工 ステンレス仕上型万能鏝　SSB150,AppStore/AndroidMarketでビック楽天を検索。ナルセ商工 ステンレス仕上型万能鏝　SSB150[rn]
40-11063,http://tshop.r10s.jp/biccamera/cabinet/product/0314/00000001551649_a01.jpg?fitin=700:700,4561.6000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 トラスコ中山 耐酸耐磁ピンセット　スイストゥィーズ型　110mm　斜め先細型　5GSA,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■耐酸耐磁（SUS304L）のピンセットをベースに本体に無数の穴を空けることで滑り止め効果があります。<BR><BR>■SUS420Jに比べサビにくく、耐久性に優れます。<BR><BR>■フッ化水素・硝酸の酸に耐性があります。<BR><BR>【用途】<BR>・薬剤などを扱う研究室など。<BR>・半導体を扱う微細作業など。<BR><BR>【仕様】<BR>全長(mm)：110、幅(mm)：9、先端：斜めポイント先細型、質量(g)：13<BR><BR>【材質/仕上】<BR>■ステンレス（SUS304L）（耐酸耐磁SA）<BR><BR>【原産国】<BR>スイス,【送料無料】 トラスコ中山 耐酸耐磁ピンセット　スイストゥィーズ型　110mm　斜め先細型　5GSA：ビックカメラ楽天市場店,【送料無料】 トラスコ中山 耐酸耐磁ピンセット　スイストゥィーズ型　110mm　斜め先細型　5GSA,AppStore/AndroidMarketでビック楽天を検索。【送料無料】 トラスコ中山 耐酸耐磁ピンセット　スイストゥィーズ型　110mm　斜め先細型　5GSA[rn]
40-11064,http://tshop.r10s.jp/biccamera/cabinet/product/1931/00000003186763_a01.jpg?fitin=700:700,352.0000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 ステンレス製ピンセット　シリコン付　AA125　TSPS25,,<!-- -->,トラスコ中山 ステンレス製ピンセット　シリコン付　AA125　TSPS25：ビックカメラ楽天市場店,トラスコ中山 ステンレス製ピンセット　シリコン付　AA125　TSPS25,トラスコ中山 ステンレス製ピンセット　シリコン付　AA125　TSPS25[rn]
40-11065,http://tshop.r10s.jp/biccamera/cabinet/product/0314/00000001551625_a01.jpg?fitin=700:700,44496.0000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 シムコジャパン イオナイジングエアーブロワー　PC　PC,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■電子部品の帯電をより早く除去できます。<BR><BR>■電極クリーニングブラシでメンテナンスが簡単です。<BR><BR>■オートイオンバランス回路（U.S.PAT.No.5､153､811､特許）内蔵です。<BR><BR>■安定した出力のパワーユニットを内蔵しています。<BR><BR>■風量調整装置、エアフィルターを標準装備しています。<BR><BR>【用途】<BR>・液晶パネルの製造、組み立て、検査工程。<BR>・電子部品の製造、組み立て、検査工程。<BR>・光学部品、医療用樹脂パーツの組み立て、梱包工程。<BR>・樹脂成型品の静電気除去。<BR><BR>【仕様】<BR>入力電源(V)：AC100(50/60Hz兼用)、最大風量([[立米]]/min)：1.0～2.0、幅(mm)：180、奥行(mm)：112、<BR>高さ(mm)：247、イオンバランス：±10V(PC)、±5V(XC)、オゾン発生量：0.01ppm以下(距離150mm)、質量(kg)：2.9<BR><BR>【原産国】<BR>中国,【送料無料】 シムコジャパン イオナイジングエアーブロワー　PC　PC：ビックカメラ楽天市場店,【送料無料】 シムコジャパン イオナイジングエアーブロワー　PC　PC,AppStore/AndroidMarketでビック楽天を検索。【送料無料】 シムコジャパン イオナイジングエアーブロワー　PC　PC[rn]
