15-137101,http://tshop.r10s.jp/creer/cabinet/meltec/img60280159.jpg?fitin=700:700,1044.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,大自工業 Meltec F-43 クロスレンチ 【フェイスキャッチソケット採用!】,,"<center>
<font size=5><b>本日開催の<br>ポイントupイベントは<br>→→→ こちら ←←←</b></font>
<hr></center>
<br>


・大自工業のアルミホイール対応クロスレンチ、F-43です。
<BR>・特殊鋼製を採用した、クロスレンチです。


<BR><BR>
<font size=2>
<B>商品仕様</B>
<BR>材質:特殊鋼製
<BR>ソケットサイズ:薄型17・19・21・23 mm
<BR>重量:1.3kg
<BR>仕様:フェイスキャッチソケット採用


</font>",大自工業 Meltec F-43 クロスレンチ 【フェイスキャッチソケット採用!】：クレールオンラインショップ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得オーディオテクニカコムテックセルスターユピテルカーオーディオ車高調レーダー探知機デッドニング大自工業 Meltec F-43 クロスレンチ 【フェイスキャッチソケット採用!】,【カードOK!】。大自工業 Meltec F-43 クロスレンチ 【フェイスキャッチソケット採用!】[rn]
15-137141,,2137.6000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4431-J12】(4713575)４４３１－Ｊ１２ 穴用スナップリングプライヤー ４５度 受注単位1,作業用品\ペンチ・ニッパ\スナップリングプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●穴用スナップリングの取り付け、取り外しに適しています。<br>●鍛造により大変頑丈です。<br>●滑りにくい先端チップです。<br>●穴用スナップリングの取り付け、取り外しに。<br>●全長(mm):140<br>●爪先端径(mm):1.3<br>●爪形状:45°曲爪<br>●リング使用範囲(mm):12～25<br>●質量(g):90<br>●黒染め仕様<br>●焼き入れ焼き戻し処理済みのクロームバナジウム電気鋼<br>●スナップリングプライヤーを使用して作業する際には、必ず安全ゴーグルを着用してください。<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4431-J12】(4713575)４４３１&minus;Ｊ１２ 穴用スナップリングプライヤー ４５度 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4431-J12】(4713575)４４３１&minus;Ｊ１２ 穴用スナップリングプライヤー ４５度 受注単位1,作業用品\ペンチ・ニッパ\スナップリングプライヤー。『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4431-J12】(4713575)４４３１&minus;Ｊ１２ 穴用スナップリングプライヤー ４５度 受注単位1[rn]
15-137142,,3759.2000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4941-A01】(4793072)４９４１－Ａ０１ 軸用精密スナップリングプライヤー 曲 受注単位1,作業用品\ペンチ・ニッパ\スナップリングプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ツール寿命は一般的なスナップリングプライヤーの10倍以上です。<br>●スクリュージョイントを採用しており、大変滑らかに可動します。<br>●鍛造ボディーにより大変頑丈です。<br>●先端チップはリングとの接触面積が広いため、リングを歪めず確実に保持することができます。<br>●スリムなヘッド形状により、狭い場所での作業も可能です。<br>●スプリングはジョイント部に内蔵し保護されています。<br>●軸用スナップリングの取り付け、取り外しに。<br>●全長(mm):130<br>●爪先端径(mm):0.9<br>●爪形状:90°曲爪<br>●リング使用範囲(mm):3～10<br>●質量(g):102<br>●ばね付<br>●黒染め仕様<br>●追加の開口リミッター付き（開口範囲は無段階に調整可能）<br>●熱間鍛造によるクロームバナジウム電気鋼<br>●スナップリングプライヤーを使用して作業する際には、必ず安全ゴーグルを着用してください。<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4941-A01】(4793072)４９４１&minus;Ａ０１ 軸用精密スナップリングプライヤー 曲 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4941-A01】(4793072)４９４１&minus;Ａ０１ 軸用精密スナップリングプライヤー 曲 受注単位1,作業用品\ペンチ・ニッパ\スナップリングプライヤー。『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4941-A01】(4793072)４９４１&minus;Ａ０１ 軸用精密スナップリングプライヤー 曲 受注単位1[rn]
15-137143,,4790.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4631-A42】(4713656)４６３１－Ａ４２ 軸用スナップリングプライヤー ４５度 受注単位1,作業用品\ペンチ・ニッパ\スナップリングプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●軸用スナップリングの取り付け、取り外しに適しています。<br>●鍛造により大変頑丈です。<br>●滑りにくい先端チップです。<br>●軸用スナップリングの取り付け、取り外しに。<br>●全長(mm):310<br>●爪先端径(mm):3.2<br>●爪形状:45°曲爪<br>●リング使用範囲(mm):85～140<br>●質量(g):511<br>●ばね付<br>●黒染め仕様<br>●焼き入れ焼き戻し処理済みのクロームバナジウム電気鋼<br>●スナップリングプライヤーを使用して作業する際には、必ず安全ゴーグルを着用してください。<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4631-A42】(4713656)４６３１&minus;Ａ４２ 軸用スナップリングプライヤー ４５度 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4631-A42】(4713656)４６３１&minus;Ａ４２ 軸用スナップリングプライヤー ４５度 受注単位1,作業用品\ペンチ・ニッパ\スナップリングプライヤー。『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4631-A42】(4713656)４６３１&minus;Ａ４２ 軸用スナップリングプライヤー ４５度 受注単位1[rn]
15-137144,,51596.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【9754-24】(4787536)９７５４－２４ マイクロプラグ用平行圧着ペンチ １９０ｍｍ 受注単位1,作業用品\電設工具\圧着工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●小さいコネクターの特に厳しい要求に対応するための平行な圧着ダイスガイドが装着されています。<br>●トグルレバーによって力を増幅し、作業の疲労を少なくします。<br>●小型プラグの圧着作業に。<br>●全長(mm):190<br>●質量(g):305<br>●適用プラグ:D-Sub プラグ、HD 20プラグ、HDE プラグ<br>●圧着端子(mm[[の2乗]]):0.03-0.56<br>●AWG:32-20<br>●高級クロムバナジウム電気鋼、油焼き入れ<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【9754-24】(4787536)９７５４&minus;２４ マイクロプラグ用平行圧着ペンチ １９０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【9754-24】(4787536)９７５４&minus;２４ マイクロプラグ用平行圧着ペンチ １９０ｍｍ 受注単位1,作業用品\電設工具\圧着工具。『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【9754-24】(4787536)９７５４&minus;２４ マイクロプラグ用平行圧着ペンチ １９０ｍｍ 受注単位1[rn]
15-137145,,810.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【9759-12】(4787552)９７５１－１２用替刃 受注単位1,作業用品\電設工具\圧着工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●プラグ用圧着ペンチ9751-12の替刃です。<br>●質量(g)：5<br>●適合機種：9751-12<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【9759-12】(4787552)９７５１&minus;１２用替刃 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【9759-12】(4787552)９７５１&minus;１２用替刃 受注単位1,作業用品\電設工具\圧着工具。『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【9759-12】(4787552)９７５１&minus;１２用替刃 受注単位1[rn]
15-137146,,17212.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【9743-200A】(4787366)９７４３－２００Ａ クリンピングシステムプライヤー 本体のみ 受注単位1,作業用品\電設工具\圧着工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●別売の圧着ダイスを交換することで、1つのツールだけで、ほぼ1000種類の圧着に利用できます。<br>●精密な圧着ダイスと強制ロック（解除可能）により安定した圧着品質を得られます。<br>●各種圧着作業に。<br>●全長(mm):200<br>●質量(g):574<br>●プラスチックケース、圧着ダイスはついていません。<br>●高級クロムバナジウム電気鋼、油焼き入れ<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【9743-200A】(4787366)９７４３&minus;２００Ａ クリンピングシステムプライヤー 本体のみ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【9743-200A】(4787366)９７４３&minus;２００Ａ クリンピングシステムプライヤー 本体のみ 受注単位1,作業用品\電設工具\圧着工具。『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【9743-200A】(4787366)９７４３&minus;２００Ａ クリンピングシステムプライヤー 本体のみ 受注単位1[rn]
15-137147,,21191.2000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【9752-23】(4787501)９７５２－２３ 圧着ペンチ ２５０ｍｍ 受注単位1,作業用品\電設工具\圧着工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●てこの原理を最大限利用するデザインにより、通常の圧着プライヤーよりも30％まで握力を低減し、圧着力の再調整も可能です。<br>●バランスのとれた重心位置、ヘッドの角度および人間工学に基づいたハンドル形状による使いやさすさが特徴です。<br>●両手操作にも対応し、断面の大きい導体を簡単に圧着できます。<br>●ハンダ付けを必要としない端子などの圧着作業に。<br>●全長(mm):250<br>●圧着端子(mm[[の2乗]])裸端子用:16+25<br>●圧着端子(mm[[の2乗]])接続端子用:-<br>●質量(g):565<br>●AWG:5+3<br>●ハンドル部:滑り止めのプラスチックカバー付<br>●高級クロムバナジウム電気鋼、油焼き入れ<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【9752-23】(4787501)９７５２&minus;２３ 圧着ペンチ ２５０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【9752-23】(4787501)９７５２&minus;２３ 圧着ペンチ ２５０ｍｍ 受注単位1,作業用品\電設工具\圧着工具。『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【9752-23】(4787501)９７５２&minus;２３ 圧着ペンチ ２５０ｍｍ 受注単位1[rn]
15-137148,,1926.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＧＲＩＰ－ＯＮ社/ＧＲＩＰ－ＯＮ【127-10】(4864336)ロングノーズグリッププライヤー ２３５ｍｍ 受注単位1,作業用品\クランプ・バイス\グリッププライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●エポキシ樹脂コーティングにより、腐食に対してニッケルメッキよりも10倍以上の耐性があります。<br>●狭い箇所でのクランピングに最適なロングノーズ形状です。<br>●板金、溶接作業に。<br>●全長(mm):235<br>●口開き(mm)角材最大:70<br>●質量(g):400<br>●口幅(mm):10<br>",『カード対応OK！』■〒ＧＲＩＰ&minus;ＯＮ社/ＧＲＩＰ&minus;ＯＮ【127-10】(4864336)ロングノーズグリッププライヤー ２３５ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＧＲＩＰ&minus;ＯＮ社/ＧＲＩＰ&minus;ＯＮ【127-10】(4864336)ロングノーズグリッププライヤー ２３５ｍｍ 受注単位1,作業用品\クランプ・バイス\グリッププライヤー。『カード対応OK！』■〒ＧＲＩＰ&minus;ＯＮ社/ＧＲＩＰ&minus;ＯＮ【127-10】(4864336)ロングノーズグリッププライヤー ２３５ｍｍ 受注単位1[rn]
15-137149,,4092.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＧＲＩＰ－ＯＮ社/ＧＲＩＰ－ＯＮ【181-12】(4864581)チェーングリッププライヤー 受注単位1,作業用品\クランプ・バイス\グリッププライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●エポキシ樹脂コーティングにより、腐食に対してニッケルメッキよりも10倍以上の耐性があります。<br>●いびつな形状をしたワークも容易にチェーンでつかむことが可能です。<br>●丸材や角材などをつかむ場合に。<br>●くわえられる管外径(mm):160<br>●質量(g):1140<br>●チェーン長さ(mm):480<br>●全長（mm）:300<br>",『カード対応OK！』■〒ＧＲＩＰ&minus;ＯＮ社/ＧＲＩＰ&minus;ＯＮ【181-12】(4864581)チェーングリッププライヤー 受注単位1：クローバー資材館,『カード対応OK！』■〒ＧＲＩＰ&minus;ＯＮ社/ＧＲＩＰ&minus;ＯＮ【181-12】(4864581)チェーングリッププライヤー 受注単位1,作業用品\クランプ・バイス\グリッププライヤー。『カード対応OK！』■〒ＧＲＩＰ&minus;ＯＮ社/ＧＲＩＰ&minus;ＯＮ【181-12】(4864581)チェーングリッププライヤー 受注単位1[rn]
15-137150,,4424.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＧＲＩＰ－ＯＮ社/ＧＲＩＰ－ＯＮ【124-24】(4864280)Ｃ型グリッププライヤー ６３０ｍｍ 受注単位1,作業用品\クランプ・バイス\グリッププライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●エポキシ樹脂コーティングにより、腐食に対してニッケルメッキよりも10倍以上の耐性があります。<br>●片手で素早く簡単にクランピングが可能です。<br>●組立作業、修理、板金、溶接作業に。<br>●全長(mm):630<br>●口開き(mm)角材最小:-<br>●口開き(mm)角材最大:400<br>●質量(g):1550<br>",『カード対応OK！』■〒ＧＲＩＰ&minus;ＯＮ社/ＧＲＩＰ&minus;ＯＮ【124-24】(4864280)Ｃ型グリッププライヤー ６３０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＧＲＩＰ&minus;ＯＮ社/ＧＲＩＰ&minus;ＯＮ【124-24】(4864280)Ｃ型グリッププライヤー ６３０ｍｍ 受注単位1,作業用品\クランプ・バイス\グリッププライヤー。『カード対応OK！』■〒ＧＲＩＰ&minus;ＯＮ社/ＧＲＩＰ&minus;ＯＮ【124-24】(4864280)Ｃ型グリッププライヤー ６３０ｍｍ 受注単位1[rn]
15-137151,,2450.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＧＲＩＰ－ＯＮ社/ＧＲＩＰ－ＯＮ【129-07】(4864352)ロック用グリッププライヤー １９０ｍｍ 受注単位1,作業用品\クランプ・バイス\グリッププライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●エポキシ樹脂コーティングにより、腐食に対してニッケルメッキよりも10倍以上の耐性があります。<br>●冷媒管作業時、銅管を挟むことで、冷媒が漏れないようにします。<br>●全長(mm):190<br>●口開き(mm)角材最小:-<br>●口開き(mm)パイプ最小:-<br>●口開き(mm)パイプ最大:φ16<br>●質量(g):390<br>",『カード対応OK！』■〒ＧＲＩＰ&minus;ＯＮ社/ＧＲＩＰ&minus;ＯＮ【129-07】(4864352)ロック用グリッププライヤー １９０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＧＲＩＰ&minus;ＯＮ社/ＧＲＩＰ&minus;ＯＮ【129-07】(4864352)ロック用グリッププライヤー １９０ｍｍ 受注単位1,作業用品\クランプ・バイス\グリッププライヤー。『カード対応OK！』■〒ＧＲＩＰ&minus;ＯＮ社/ＧＲＩＰ&minus;ＯＮ【129-07】(4864352)ロック用グリッププライヤー １９０ｍｍ 受注単位1[rn]
15-137152,,1696.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＧＲＩＰ－ＯＮ社/ＧＲＩＰ－ＯＮ【122-10】(4864239)グリッププライヤー（溝付先端仕様） ２３５ｍｍ 受注単位1,作業用品\クランプ・バイス\グリッププライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●エポキシ樹脂コーティングにより、腐食に対してニッケルメッキよりも10倍以上の耐性があります。<br>●口金部分にＶ溝がはいっていることで小径のパイプでも３点で確実に保持することが可能です。<br>●板金、溶接作業に。<br>●全長(mm):235<br>●口開き(mm)角材最小:-<br>●口開き(mm)角材最大:43<br>●質量(g):590<br>",『カード対応OK！』■〒ＧＲＩＰ&minus;ＯＮ社/ＧＲＩＰ&minus;ＯＮ【122-10】(4864239)グリッププライヤー（溝付先端仕様） ２３５ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＧＲＩＰ&minus;ＯＮ社/ＧＲＩＰ&minus;ＯＮ【122-10】(4864239)グリッププライヤー（溝付先端仕様） ２３５ｍｍ 受注単位1,作業用品\クランプ・バイス\グリッププライヤー。『カード対応OK！』■〒ＧＲＩＰ&minus;ＯＮ社/ＧＲＩＰ&minus;ＯＮ【122-10】(4864239)グリッププライヤー（溝付先端仕様） ２３５ｍｍ 受注単位1[rn]
15-137153,,2712.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＧＲＩＰ－ＯＮ社/ＧＲＩＰ－ＯＮ【139-10】(4864387)ホースグリッププライヤー 受注単位1,作業用品\クランプ・バイス\グリッププライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ブレーキホース等のクリップに最適です。<br>●先端ロングノーズ仕様の為、狭い箇所でもクリッピング可能です。<br>●エポキシ樹脂コーティングにより、腐食に対してニッケルメッキよりも10倍以上の耐性があります。<br>●自動車修理時のホースクランプ等に。<br>●全長(mm):235<br>●製造国:スペイン<br>●質量(g):380<br>",『カード対応OK！』■〒ＧＲＩＰ&minus;ＯＮ社/ＧＲＩＰ&minus;ＯＮ【139-10】(4864387)ホースグリッププライヤー 受注単位1：クローバー資材館,『カード対応OK！』■〒ＧＲＩＰ&minus;ＯＮ社/ＧＲＩＰ&minus;ＯＮ【139-10】(4864387)ホースグリッププライヤー 受注単位1,作業用品\クランプ・バイス\グリッププライヤー。『カード対応OK！』■〒ＧＲＩＰ&minus;ＯＮ社/ＧＲＩＰ&minus;ＯＮ【139-10】(4864387)ホースグリッププライヤー 受注単位1[rn]
15-137154,,5934.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【8702-300】(4715985)ウォーターポンププライヤー コブラ ３００ｍｍ 受注単位1,作業用品\水道・空調配管用工具\ウォーターポンププライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●プッシュボタンにより、素早く簡単にアゴの幅を細かく調整できます。<br>●てこの原理を最大限発揮するデザインで高いグリップ力を発揮します。<br>●ジョイント部は横方向へのブレを防止する３枚合わせ（ボックスジョイント）です。<br>●アゴの開き調整はプッシュボタンにて行うため、作業中は不意に口幅が変わらないので安心です。<br>●アゴの開きは片手で調節が可能です。<br>●口幅を最大に調節して握っても、ハンドルの間にクリアランスを確保する指詰めストッパー付きです。<br>●少ない力でパイプやナットを確実につかむ平行四辺形のアゴ形状です。<br>●入念な焼入れ処理が施されたつかみ面の硬度は約ＨＲＣ６１で、耐磨耗性が高く、確実なグリップを発揮します。<br>●アゴの開き幅の調整に時間を必要としません。上のアゴを対象物にあて、プッシュボタンを押しながら、下アゴを上にスライドさせるだけで簡単に調整することができます。<br>●パイプ・ナットの締め付け、取り外しに。<br>●最大口開き(mm):60<br>●調整(段階):30<br>●全長(mm):300<br>●質量(g):580<br>●オイル焼き入れ焼き戻し処理済みクロームバナジウム電気鋼<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【8702-300】(4715985)ウォーターポンププライヤー コブラ ３００ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【8702-300】(4715985)ウォーターポンププライヤー コブラ ３００ｍｍ 受注単位1,作業用品\水道・空調配管用工具\ウォーターポンププライヤー。『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【8702-300】(4715985)ウォーターポンププライヤー コブラ ３００ｍｍ 受注単位1[rn]
15-137155,,4238.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【8702-250】(4715977)ウォーターポンププライヤー コブラ ２５０ｍｍ 受注単位1,作業用品\水道・空調配管用工具\ウォーターポンププライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●プッシュボタンにより、素早く簡単にアゴの幅を細かく調整できます。<br>●てこの原理を最大限発揮するデザインで高いグリップ力を発揮します。<br>●ジョイント部は横方向へのブレを防止する３枚合わせ（ボックスジョイント）です。<br>●アゴの開き調整はプッシュボタンにて行うため、作業中は不意に口幅が変わらないので安心です。<br>●アゴの開きは片手で調節が可能です。<br>●口幅を最大に調節して握っても、ハンドルの間にクリアランスを確保する指詰めストッパー付きです。<br>●少ない力でパイプやナットを確実につかむ平行四辺形のアゴ形状です。<br>●入念な焼入れ処理が施されたつかみ面の硬度は約ＨＲＣ６１で、耐磨耗性が高く、確実なグリップを発揮します。<br>●アゴの開き幅の調整に時間を必要としません。上のアゴを対象物にあて、プッシュボタンを押しながら、下アゴを上にスライドさせるだけで簡単に調整することができます。<br>●パイプ・ナットの締め付け、取り外しに。<br>●最大口開き(mm):46<br>●調整(段階):25<br>●全長(mm):250<br>●質量(g):376<br>●オイル焼き入れ焼き戻し処理済みクロームバナジウム電気鋼<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【8702-250】(4715977)ウォーターポンププライヤー コブラ ２５０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【8702-250】(4715977)ウォーターポンププライヤー コブラ ２５０ｍｍ 受注単位1,作業用品\水道・空調配管用工具\ウォーターポンププライヤー。『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【8702-250】(4715977)ウォーターポンププライヤー コブラ ２５０ｍｍ 受注単位1[rn]
15-137156,,4569.6000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【8703-125】(4715993)ウォーターポンププライヤー コブラ １２５ｍｍ 受注単位1,作業用品\水道・空調配管用工具\ウォーターポンププライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●プッシュボタンにより、素早く簡単にアゴの幅を細かく調整できます。<br>●てこの原理を最大限発揮するデザインで高いグリップ力を発揮します。<br>●ジョイント部は横方向へのブレを防止する３枚合わせ（ボックスジョイント）です。<br>●アゴの開き調整はプッシュボタンにて行うため、作業中は不意に口幅が変わらないので安心です。<br>●アゴの開きは片手で調節が可能です。<br>●口幅を最大に調節して握っても、ハンドルの間にクリアランスを確保する指詰めストッパー付きです。<br>●少ない力でパイプやナットを確実につかむ平行四辺形のアゴ形状です。<br>●入念な焼入れ処理が施されたつかみ面の硬度は約ＨＲＣ６１で、耐磨耗性が高く、確実なグリップを発揮します。<br>●アゴの開き幅の調整に時間を必要としません。上のアゴを対象物にあて、プッシュボタンを押しながら、下アゴを上にスライドさせるだけで簡単に調整することができます。<br>●パイプ・ナットの締め付け、取り外しに。<br>●最大口開き(mm):27<br>●調整(段階):13<br>●全長(mm):125<br>●質量(g):85<br>●オイル焼き入れ焼き戻し処理済みクロームバナジウム電気鋼<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【8703-125】(4715993)ウォーターポンププライヤー コブラ １２５ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【8703-125】(4715993)ウォーターポンププライヤー コブラ １２５ｍｍ 受注単位1,作業用品\水道・空調配管用工具\ウォーターポンププライヤー。『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【8703-125】(4715993)ウォーターポンププライヤー コブラ １２５ｍｍ 受注単位1[rn]
15-137157,,4533.6000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【2616-200】(4467558)絶縁１０００Ｖロングラジオペンチ ２００ｍｍ 受注単位1,作業用品\防爆・絶縁工具\ペンチ・ニッパ（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●欧州規格EN60900適合品で1000V絶縁仕様です。<br>●ヘッドはロングタイプで、先端形状は半丸型です。<br>●入念な焼入れ処理が施されたカッター部の硬度は約ＨＲＣ６１。<br>●ヘッドは頑丈で、しかも精密に作られています。<br>●つかみ面には滑り止めの横スジが入っています。<br>●全長(mm):200<br>●切断能力(mm)中硬線:3.2<br>●切断能力(mm)硬線:2.2<br>●質量(g):206<br>●口先の長さ(mm):73<br>●口先先端の厚さ(mm):3<br>●口先先端の幅(mm):2.5<br>●ジョイント部の厚さ(mm):9.5<br>●ジョイント部の幅(mm):17.5<br>●口先角度(°):-<br>●オイル焼き入れ焼き戻し処理済みバナジウム鋼<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【2616-200】(4467558)絶縁１０００Ｖロングラジオペンチ ２００ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【2616-200】(4467558)絶縁１０００Ｖロングラジオペンチ ２００ｍｍ 受注単位1,作業用品\防爆・絶縁工具\ペンチ・ニッパ（絶縁）。『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【2616-200】(4467558)絶縁１０００Ｖロングラジオペンチ ２００ｍｍ 受注単位1[rn]
