15-69201,,4400.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,スバル車用取付キット　KG-93DX,,"適応車種<BR>
トラヴィック<BR>
<BR>
適合については型式、年式（月まで）をお書きの上、<BR>メールでご質問下さい。",スバル車用取付キット　KG-93DX：車屋本店,タイヤカー用品ロックフォードオイルHIDバルブカーナビゲーションカーオーディオセキュリティレーシングプラグアルミホイールサスペンションショックアブソーバー足回りキッカーブレーキサブウーファーブリヂストンカロッツェリアPIAAスバル車用取付キット　KG-93DX,スバル車用取付キット　KG-93DX[rn]
15-69280,http://tshop.r10s.jp/creer/cabinet/00533834/imgrc0066881358.jpg?fitin=700:700,1024.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,オーディオテクニカ AT-BC64/2.0 車載用オーディオケーブル 2.0m 【OFC導体/金メッキプラグ】,【カードOK!】,"<center>
<font size=5><b>本日開催の<br>ポイントupイベントは<br>→→→ こちら ←←←</b></font>
<hr></center>
<br>


<IMG SRC=http://image.rakuten.co.jp/creer/cabinet/00533834/imgrc0066881361.jpg width=100%>


<BR><BR>
・オーディオテクニカのオーディオケーブル、AT-BC64/2.0です。
<BR>・過酷な車室内の温度環境に対応した耐熱かつ、車室内での取り回しが用意なソフトシースのオーディオケーブルです。
<BR>・カーナビやヘッドユニット、ウーファーやアンプなどの音声出力に最適です。
<BR>・OFC(無酸素銅)導体を採用するだけでなく接触抵抗の小さい金メッキプラグを採用しているので、高画質を実現し経年劣化にも強くなっています。
<BR>・分岐タイプのAT-BC64P2(オス/オス/メス)やAT-BC64J2(メス/メス/オス)もございます。


<BR><BR>
●オーディオケーブル BC64シリーズ LINE UP
<img src=http://image.rakuten.co.jp/creer/cabinet/00533834/imgrc0066881362.jpg width=100%>
<BR>5.0m:AT-BC64/5.0
<BR>3.0m:AT-BC64/3.0
<BR>2.0m:AT-BC64/2.0
<BR>1.0m:AT-BC64/1.0
<BR>0.5m:AT-BC64/0.5",オーディオテクニカ AT-BC64/2.0 車載用オーディオケーブル 2.0m 【OFC導体/金メッキプラグ】：クレールオンラインショップ,オーディオテクニカコムテックセルスターユピテルカーオーディオ車高調レーダー探知機デッドニングオーディオテクニカ AT-BC64/2.0 車載用オーディオケーブル 2.0m 【OFC導体/金メッキプラグ】,【カードOK!】。オーディオテクニカ AT-BC64/2.0 車載用オーディオケーブル 2.0m 【OFC導体/金メッキプラグ】[rn]
15-69281,http://tshop.r10s.jp/creer/cabinet/00533834/img58508735.jpg?fitin=700:700,640.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,オーディオテクニカ MIDI-100A MIDIタイプヒューズ100A,【在庫あり即納!!】【カードOK!】,"<center>
<font size=5><b>本日開催の<br>ポイントupイベントは<br>→→→ こちら ←←←</b></font>
<hr></center>
<br>


・オーディオテクニカのMIDIウェハーヒューズです。
<BR>・最も安全に大電流対応できるヒューズで、主にメインバッテリーのヒューズや大型アンプなどへの使用に最適です。
<BR>・２個入りです。
<BR>
<BR>Audio-Technica fuse Line Up



<BR>
<BR>　





<BR>
<BR>　





<BR>
<BR>125A
<BR>MIDI-125A
<BR>-
<BR>-

<BR>
<BR>100A
<BR>MIDI-100A
<BR>-
<BR>-

<BR>
<BR>80A
<BR>MIDI-80A
<BR>MAXI-80A
<BR>AGU-80A

<BR>
<BR>60A
<BR>MIDI-60A
<BR>MAXI-60A
<BR>AGU-60A

<BR>
<BR>50A
<BR>-
<BR>MAXI-50A
<BR>AGU-50A

<BR>
<BR>40A
<BR>MIDI-40A
<BR>MAXI-40A
<BR>AGU-40A

<BR>
<BR>30A
<BR>MIDI-30A
<BR>MAXI-30A
<BR>AGU-30A

<BR>
<BR>20A
<BR>-
<BR>MAXI-20A
<BR>-

<BR>
<BR>主な対応製品
<BR>TFH-MIDI
<BR>TFB-40MIDI
<BR><BR>最も大電流に対応できるヒューズです。バッテリー直後のメインヒューズなどに使用します。

<BR>TFH-RMAXI
<BR>TFB-40MAXI
<BR>TFB-30MAXI
<BR><BR>差し替えが簡単な大型平型ヒューズです。ヒューズブロックなどに多用されています。

<BR>TFH-AGU
<BR>TPK-461
<BR>TPK-800
<BR><BR>一般的な大型ガラス管ヒューズです、80Aまでのメインヒューズなどに使用します。",オーディオテクニカ MIDI-100A MIDIタイプヒューズ100A：クレールオンラインショップ,オーディオテクニカコムテックセルスターユピテルカーオーディオ車高調レーダー探知機デッドニングオーディオテクニカ MIDI-100A MIDIタイプヒューズ100A,【在庫あり即納!!】【カードOK!】。オーディオテクニカ MIDI-100A MIDIタイプヒューズ100A[rn]
15-69282,http://tshop.r10s.jp/creer/cabinet/au13/imgrc0064729735.jpg?fitin=700:700,5760.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,オーディオテクニカ AT-RS90/3.0 192kHz/24bitハイレゾ音源対応 オプティカルデジタルケーブル【3.0m/角型光⇔角型光】,【送料無料!カードOK!】,"<center>
<font size=5><b>本日開催の<br>ポイントupイベントは<br>→→→ こちら ←←←</b></font>
<hr></center>
<br>",オーディオテクニカ AT-RS90/3.0 192kHz/24bitハイレゾ音源対応 オプティカルデジタルケーブル【3.0m/角型光&hArr;角型光】：クレールオンラインショップ,オーディオテクニカコムテックセルスターユピテルカーオーディオ車高調レーダー探知機デッドニングオーディオテクニカ AT-RS90/3.0 192kHz/24bitハイレゾ音源対応 オプティカルデジタルケーブル【3.0m/角型光&hArr;角型光】,【送料無料!カードOK!】。オーディオテクニカ AT-RS90/3.0 192kHz/24bitハイレゾ音源対応 オプティカルデジタルケーブル【3.0m/角型光&hArr;角型光】[rn]
15-69283,http://tshop.r10s.jp/creer/cabinet/00533834/img58547250.jpg?fitin=700:700,1344.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,オーディオテクニカ AT7137/1.0 ベーシックRCAビデオケーブル(1.0m),【カードOK!】,"<center>
<font size=5><b>本日開催の<br>ポイントupイベントは<br>→→→ こちら ←←←</b></font>
<hr></center>
<br>


<IMG SRC=http://image.rakuten.co.jp/creer/cabinet/00533834/img56074308.jpg width=100%>
<BR>







<BR><IMG SRC=http://image.rakuten.co.jp/creer/cabinet/00533834/img56074192.jpg width=100%>
<BR>
・オーディオテクニカのベーシックRCAビデオケーブル、AT7137/1.0です。
<BR>・もっともベーシックなRCAビデオケーブルになります。DVDプレーヤーや地デジなどの接続に手軽にお使いいただけます。
<BR>・長さ1.0mになります。他に6.0/5.0/3.0/2.0/0.5mもラインアップが御座いますのでよろしければご覧くださいませ。",オーディオテクニカ AT7137/1.0 ベーシックRCAビデオケーブル(1.0m)：クレールオンラインショップ,オーディオテクニカコムテックセルスターユピテルカーオーディオ車高調レーダー探知機デッドニングオーディオテクニカ AT7137/1.0 ベーシックRCAビデオケーブル(1.0m),【カードOK!】。オーディオテクニカ AT7137/1.0 ベーシックRCAビデオケーブル(1.0m)[rn]
15-69284,http://tshop.r10s.jp/creer/cabinet/00533834/img62287671.jpg?fitin=700:700,4032.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,オーディオテクニカ 車載用スピーカーケーブル レグザット AT-RX17D 超高級18ゲージ 1m単位切り売りクイントハイブリッド導体 (金クラッド6N-OFC+金クラッドOFC+PC-TripleC+6N-OFC+OFC),【在庫あり即納!!】【送料無料!カードOK!】,"<center>
<font size=5><b>本日開催の<br>ポイントupイベントは<br>→→→ こちら ←←←</b></font>
<hr></center>
<br>


<IMG SRC=http://image.rakuten.co.jp/creer/cabinet/00533834/img62289203.jpg width=100%>
<BR><BR>











<BR>

・オーディオテクニカの最高級18ゲージスピーカーケーブル、 REXAT AT-RX17Dです。
<BR>・音質に影響を与える有害振動を徹底的に排除し、音質を向上させる徹底した制振設計。その具現化としてケーブル構造体にハイブラー＋ハネナイト＋マグネシウムウィスカー＋チタン入りレオストマーのクワトロハイブリッドインシュレーションシステムを組み込み、不要振動を強力に抑制。
<BR>・金クラッド線＋6N-OFC＋PCOCC＋OFCのクワトロハイブリッド導体を採用。これらの素材はそれぞれが異なる音質傾向をもち、その良い部分をバランスよく配分することによりいかなる音楽でもその魅力を最大限に引き出すことができます。 
<BR>・丸型ツイスト構造でノイズをシャットアウトし、フラットでクリアなサウンドを実現する太さ18AWG。こちらのケーブルをトゥイーター用に用い、ウーファー/ミッド用にはAT-RX17Pを使用するのもおススメです。
<BR>・その充実の内容から発せられる音は定位や奥行き感に優れ、高いSN感、滑らかさを実現するまさにカーオーディオケーブルの頂点。音楽を愛するカーオーディオマニアの方にこそ使っていただきたいハイエンドケーブルの逸品です。 


<BR><BR>
●AT-RX17D
　AWG：14相当
　静電容量：18pF/m
　直接抵抗：58mΩ/m
　導体断面積：0.2mm2
　導体集合径：約1.2mm


<BR><BR>
Rexat Speaker Cable Line Up
 
<BR>

<BR>14ゲージ<BR>AT-RX12
 当店売価2,592円

<BR>

<BR>18ゲージ<BR>AT-RX17D
 当店売価5,443円

<BR>

<BR>14ゲージ<BR>AT-RX17P
 当店売価5,443円

<BR>

<BR>14ゲージ<BR>AT7717
 当店売価5,011円

<BR>

<BR>20ゲージ<BR>AT7722
 当店売価3,456円

<BR>

<BR>14ゲージ<BR>AT7712
 当店売価2,246円",オーディオテクニカ 車載用スピーカーケーブル レグザット AT-RX17D 超高級18ゲージ 1m単位切り売りクイントハイブリッド導体 (金クラッド6N-OFC+金クラッドOFC+PC-TripleC+6N-OFC+OFC)：クレールオンラインショップ,オーディオテクニカコムテックセルスターユピテルカーオーディオ車高調レーダー探知機デッドニングオーディオテクニカ 車載用スピーカーケーブル レグザット AT-RX17D 超高級18ゲージ 1m単位切り売りクイントハイブリッド導体 (金クラッド6N-OFC+金クラッドOFC+PC-TripleC+6N-OFC+OFC),【在庫あり即納!!】【送料無料!カードOK!】。オーディオテクニカ 車載用スピーカーケーブル レグザット AT-RX17D 超高級18ゲージ 1m単位切り売りクイントハイブリッド導体 (金クラッド6N-OFC+金クラッドOFC+PC-TripleC+6N-OFC+OFC)[rn]
15-69285,http://tshop.r10s.jp/creer/cabinet/00533834/img62287672.jpg?fitin=700:700,4032.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,オーディオテクニカ 車載用スピーカーケーブル レグザット AT-RX17P 超高級14ゲージ 1m単位切り売りクイントハイブリッド導体 (金クラッド6N-OFC+金クラッドOFC+PC-TripleC+6N-OFC+OFC),【在庫あり即納!!】【送料無料!カードOK!】,"<center>
<font size=5><b>本日開催の<br>ポイントupイベントは<br>→→→ こちら ←←←</b></font>
<hr></center>
<br>


<IMG SRC=http://image.rakuten.co.jp/creer/cabinet/00533834/img62289078.jpg width=100%>
<BR><BR>










<BR>

・オーディオテクニカの最高級14ゲージスピーカーケーブル、 REXAT AT-RX17Pです。
<BR>・音質に影響を与える有害振動を徹底的に排除し、音質を向上させる徹底した制振設計。その具現化としてケーブル構造体に「ハイブラー」＋「マグネシウムウィスカー」＋「チタン入りレオストマー」のトリプルインシュレーションシステムを組み込み、不要振動を強力に抑制。
<BR>・金クラッド線＋6N-OFC＋PCOCC＋OFCのクワトロハイブリッド導体を採用。これらの素材はそれぞれが異なる音質傾向をもち、その良い部分をバランスよく配分することによりいかなる音楽でもその魅力を最大限に引き出すことができます。 
<BR>・全帯域で使いやすい太さ14AWG。フルレンジ、ツイーター、スコーカー、ウーファーのすべてにご使用いただけます。またこちらのケーブルをミッド/ウーファー用に使用し、トゥイーター用にAT-RX17Dを使用するのもおススメです。
<BR>・その充実の内容から発せられる音は定位や奥行き感に優れ、高いSN感、滑らかさを実現するまさにカーオーディオケーブルの頂点。音楽を愛するカーオーディオマニアの方にこそ使っていただきたいハイエンドケーブルの逸品です。 
<BR>
<BR>●AT-RX17P
　AWG：14相当
　静電容量：30pF/m
　直接抵抗：5mΩ/m
　導体断面積：2.2mm2
　導体集合径：約1.8mm

<BR><BR>
Rexat Speaker Cable Line Up
 
<BR>

<BR>14ゲージ<BR>AT-RX12
 当店売価2,592円

<BR>

<BR>18ゲージ<BR>AT-RX17D
 当店売価5,443円

<BR>

<BR>14ゲージ<BR>AT-RX17P
 当店売価5,443円

<BR>

<BR>14ゲージ<BR>AT7717
 当店売価5,011円

<BR>

<BR>20ゲージ<BR>AT7722
 当店売価3,456円

<BR>

<BR>14ゲージ<BR>AT7712
 当店売価2,246円",オーディオテクニカ 車載用スピーカーケーブル レグザット AT-RX17P 超高級14ゲージ 1m単位切り売りクイントハイブリッド導体 (金クラッド6N-OFC+金クラッドOFC+PC-TripleC+6N-OFC+OFC)：クレールオンラインショップ,オーディオテクニカコムテックセルスターユピテルカーオーディオ車高調レーダー探知機デッドニングオーディオテクニカ 車載用スピーカーケーブル レグザット AT-RX17P 超高級14ゲージ 1m単位切り売りクイントハイブリッド導体 (金クラッド6N-OFC+金クラッドOFC+PC-TripleC+6N-OFC+OFC),【在庫あり即納!!】【送料無料!カードOK!】。オーディオテクニカ 車載用スピーカーケーブル レグザット AT-RX17P 超高級14ゲージ 1m単位切り売りクイントハイブリッド導体 (金クラッド6N-OFC+金クラッドOFC+PC-TripleC+6N-OFC+OFC)[rn]
15-69286,http://tshop.r10s.jp/creer/cabinet/00533834/imgrc0066355946.jpg?fitin=700:700,1600.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,オーディオテクニカ レグザット AT-RXF40 4層コーティング ハイエンドMIDIヒューズ 40A,【送料無料!カードOK!】,"<center>
<font size=5><b>本日開催の<br>ポイントupイベントは<br>→→→ こちら ←←←</b></font>
<hr></center>
<br>",オーディオテクニカ レグザット AT-RXF40 4層コーティング ハイエンドMIDIヒューズ 40A：クレールオンラインショップ,オーディオテクニカコムテックセルスターユピテルカーオーディオ車高調レーダー探知機デッドニングオーディオテクニカ レグザット AT-RXF40 4層コーティング ハイエンドMIDIヒューズ 40A,【送料無料!カードOK!】。オーディオテクニカ レグザット AT-RXF40 4層コーティング ハイエンドMIDIヒューズ 40A[rn]
15-69287,http://tshop.r10s.jp/creer/cabinet/00533834/imgrc0066355956.jpg?fitin=700:700,4480.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,オーディオテクニカ レグザット AT-RXT48M クイントハイブリッドコーティング ハイエンドターミナル【4/8AWG対応 M8端子用 1個入り】,【在庫あり即納!!】【送料無料!カードOK!】,"<center>
<font size=5><b>本日開催の<br>ポイントupイベントは<br>→→→ こちら ←←←</b></font>
<hr></center>
<br>",オーディオテクニカ レグザット AT-RXT48M クイントハイブリッドコーティング ハイエンドターミナル【4/8AWG対応 M8端子用 1個入り】：クレールオンラインショップ,オーディオテクニカコムテックセルスターユピテルカーオーディオ車高調レーダー探知機デッドニングオーディオテクニカ レグザット AT-RXT48M クイントハイブリッドコーティング ハイエンドターミナル【4/8AWG対応 M8端子用 1個入り】,【在庫あり即納!!】【送料無料!カードOK!】。オーディオテクニカ レグザット AT-RXT48M クイントハイブリッドコーティング ハイエンドターミナル【4/8AWG対応 M8端子用 1個入り】[rn]
15-69288,http://tshop.r10s.jp/creer/cabinet/00533834/imgrc0066355919.jpg?fitin=700:700,14080.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,オーディオテクニカ レグザット AT-RX44EB クイントハイブリッドコーティング ハイエンドアースブロック【4AWG4イン 1/0AWG・2AWG1アウト】,【在庫限定超特価!送料無料!カードOK!】,"<center>
<font size=5><b>本日開催の<br>ポイントupイベントは<br>→→→ こちら ←←←</b></font>
<hr></center>
<br>",オーディオテクニカ レグザット AT-RX44EB クイントハイブリッドコーティング ハイエンドアースブロック【4AWG4イン 1/0AWG・2AWG1アウト】：クレールオンラインショップ,オーディオテクニカコムテックセルスターユピテルカーオーディオ車高調レーダー探知機デッドニングオーディオテクニカ レグザット AT-RX44EB クイントハイブリッドコーティング ハイエンドアースブロック【4AWG4イン 1/0AWG・2AWG1アウト】,【在庫限定超特価!送料無料!カードOK!】。オーディオテクニカ レグザット AT-RX44EB クイントハイブリッドコーティング ハイエンドアースブロック【4AWG4イン 1/0AWG・2AWG1アウト】[rn]
15-69289,http://tshop.r10s.jp/creer/cabinet/00533834/imgrc0066355918.jpg?fitin=700:700,14080.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,オーディオテクニカ レグザット AT-RX46EB クイントハイブリッドコーティング ハイエンドアースブロック【8AWG6イン 1/0AWG1アウト・2AWG2アウト】,【在庫あり即納!!】【送料無料!カードOK!】,"<center>
<font size=5><b>本日開催の<br>ポイントupイベントは<br>→→→ こちら ←←←</b></font>
<hr></center>
<br>",オーディオテクニカ レグザット AT-RX46EB クイントハイブリッドコーティング ハイエンドアースブロック【8AWG6イン 1/0AWG1アウト・2AWG2アウト】：クレールオンラインショップ,オーディオテクニカコムテックセルスターユピテルカーオーディオ車高調レーダー探知機デッドニングオーディオテクニカ レグザット AT-RX46EB クイントハイブリッドコーティング ハイエンドアースブロック【8AWG6イン 1/0AWG1アウト・2AWG2アウト】,【在庫あり即納!!】【送料無料!カードOK!】。オーディオテクニカ レグザット AT-RX46EB クイントハイブリッドコーティング ハイエンドアースブロック【8AWG6イン 1/0AWG1アウト・2AWG2アウト】[rn]
15-69290,http://tshop.r10s.jp/creer/cabinet/00533834/img62287501.jpg?fitin=700:700,22400.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,オーディオテクニカ レグザット 車載用RCAケーブル AT-RX28/0.7 最高級グレードクイントハイブリッド RCAオーディオラインケーブル0.7m,【送料無料!カードOK!】,"<center>
<font size=5><b>本日開催の<br>ポイントupイベントは<br>→→→ こちら ←←←</b></font>
<hr></center>
<br>


<IMG SRC=http://image.rakuten.co.jp/creer/cabinet/00533834/img62288625.jpg width=100%>

<BR><BR>







<BR>


<BR>

・オーディオテクニカの最高級RCAケーブル、 REXAT AT-RX28/0.7です。
<BR>・素材/構造/制振の各方面から徹底的なこだわりを持って創られた先代AT7728をさらに革新させた新世代REXATケーブル。先代でも贅を尽くすと言って良かった“クワトロハイブリッド”導体は新素材PC-TripleCを加えて“クイントハイブリッド（5種類）”に進化。金クラッド6N-OFC＋金クラッドOFC＋6N-OFC＋OFCの5種を組み合わせることで全周波数帯域に渡り導通特性や音響特性を向上させました。
<BR>・もちろん先代の大きな特徴であった「制振」においても“クイントインシュレーションシステム”に進化。るハイブラー＋ハネナイト＋マグネシウムウィスカー＋チタン入りレオストマー＋ポリエステルエラストマーといった贅沢な素材を適所に使用し、SN比に優れ、音像定位や奥行き感に優れた音質を実現。さらにプラグ部にはハイブラー、ハネナイト、ポリエステルエラストマーを螺旋状に組み合わせることにより、空気層絶縁を確保し誘電損失を低減させ、固有振動の抑制にも効果を発揮する“AIR SPACE INSULATION SYSTEM”を投入。従来話題に上がることが少なかった「振動による悪影響」を徹底的に排除することに成功しています。
<BR>・他にも「 銅テープ」＋「OFC編組シールド」の強力2重シールドによりノイズを徹底的に排除。PETメッシュスリーブによりケーブルの保護とインストール性を追求。もちろんプラグは金メッキコンタクト、そのピンには殊精密加工の中空ホットピンにガラス繊維入りPBTを充填し不要振動を抑制する専用品。
<BR>・そのこだわりは何よりも「音」に現れる。S/N、定位、音場、粒立ち、滑らかさなどどの項目を上げても「カーオーディオケーブルの頂点」と呼ぶにふさわしいものです。もはやケーブルの域を超越し“コンポーネント”の領域に踏み込む新生REXAT。音楽を愛してやまない愛好家の方にこそ使っていただきたいカーオーディオケーブルの逸品です。




<BR>
<BR>





Rexat RX28 Series Line Up

<BR><IMG SRC=http://image.rakuten.co.jp/creer/cabinet/00533834/img62288626.jpg width=100% BORDER=0>

<BR>AT-RX28/0.3 (0.3m) 当店売価26,784円（特注対応）
<BR><BR>AT-RX28/0.7 (0.7m) 当店売価30,240円
<BR><BR>AT-RX28/1.3 (1.3m) 当店売価35,424円
<BR><BR>AT-RX28/2.0 (2.0m) 当店売価41,472円
<BR><BR>AT-RX28/3.0 (3.0m) 当店売価50,112円（特注対応）
<BR><BR>AT-RX28/5.0 (5.0m) 当店売価67,392円（特注対応）

<BR>※特注対応品につきましては納期がかかる場合が御座います。

<br>もうちょっと安いケーブルが欲しい！という方はコチラ⇒高級グレードRexat トレンドラインシリーズ",オーディオテクニカ レグザット 車載用RCAケーブル AT-RX28/0.7 最高級グレードクイントハイブリッド RCAオーディオラインケーブル0.7m：クレールオンラインショップ,オーディオテクニカコムテックセルスターユピテルカーオーディオ車高調レーダー探知機デッドニングオーディオテクニカ レグザット 車載用RCAケーブル AT-RX28/0.7 最高級グレードクイントハイブリッド RCAオーディオラインケーブル0.7m,【送料無料!カードOK!】。オーディオテクニカ レグザット 車載用RCAケーブル AT-RX28/0.7 最高級グレードクイントハイブリッド RCAオーディオラインケーブル0.7m[rn]
15-69291,http://tshop.r10s.jp/creer/cabinet/00533834/imgrc0066355944.jpg?fitin=700:700,1600.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,オーディオテクニカ レグザット AT-RXF80 4層コーティング ハイエンドMIDIヒューズ 80A,【送料無料!カードOK!】,"<center>
<font size=5><b>本日開催の<br>ポイントupイベントは<br>→→→ こちら ←←←</b></font>
<hr></center>
<br>",オーディオテクニカ レグザット AT-RXF80 4層コーティング ハイエンドMIDIヒューズ 80A：クレールオンラインショップ,オーディオテクニカコムテックセルスターユピテルカーオーディオ車高調レーダー探知機デッドニングオーディオテクニカ レグザット AT-RXF80 4層コーティング ハイエンドMIDIヒューズ 80A,【送料無料!カードOK!】。オーディオテクニカ レグザット AT-RXF80 4層コーティング ハイエンドMIDIヒューズ 80A[rn]
15-69292,http://tshop.r10s.jp/creer/cabinet/00533834/imgrc0066355939.jpg?fitin=700:700,16640.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,オーディオテクニカ レグザット AT-RX51BN クイントハイブリッドコーティング ハイエンドバッテリーターミナル【D端子用-側 イモネジ圧着8AWG×3 M8ボルト端子×4】,【在庫あり即納!!】【送料無料!カードOK!】,"<center>
<font size=5><b>本日開催の<br>ポイントupイベントは<br>→→→ こちら ←←←</b></font>
<hr></center>
<br>",オーディオテクニカ レグザット AT-RX51BN クイントハイブリッドコーティング ハイエンドバッテリーターミナル【D端子用-側 イモネジ圧着8AWG&times;3 M8ボルト端子&times;4】：クレールオンラインショップ,オーディオテクニカコムテックセルスターユピテルカーオーディオ車高調レーダー探知機デッドニングオーディオテクニカ レグザット AT-RX51BN クイントハイブリッドコーティング ハイエンドバッテリーターミナル【D端子用-側 イモネジ圧着8AWG&times;3 M8ボルト端子&times;4】,【在庫あり即納!!】【送料無料!カードOK!】。オーディオテクニカ レグザット AT-RX51BN クイントハイブリッドコーティング ハイエンドバッテリーターミナル【D端子用-側 イモネジ圧着8AWG&times;3 M8ボルト端子&times;4】[rn]
15-69293,http://tshop.r10s.jp/creer/cabinet/00533834/imgrc0062881599.jpg?fitin=700:700,28800.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,オーディオテクニカ レグザット 車載用RCAケーブル AT-RX25/5.0 PC-TripleC+OFCハイブリッド RCAオーディオラインケーブル5.0m,【在庫限定超特価!送料無料!カードOK!】,"<center>
<font size=5><b>本日開催の<br>ポイントupイベントは<br>→→→ こちら ←←←</b></font>
<hr></center>
<br>

<BR><IMG SRC=http://image.rakuten.co.jp/creer/cabinet/ra4/imgrc0066532467.jpg width=100%>
<BR><FONT SIZE=5 COLOR=RED><B>楽天ランキング１位獲得!!</B></FONT>
<BR><B>当店の人気商品です♪</B>
<BR>
<BR>


<IMG SRC=http://image.rakuten.co.jp/creer/cabinet/00533834/imgrc0062881551.jpg width=100%>

<BR><BR>
<BR><BR>

・オーディオテクニカのRCAケーブル、 REXAT AT-RX25/5.0です。
<BR>・ハイエンドオーディオのケーブルとして絶対的な信頼を勝ち得ているRexatシリーズ「RX28」シリーズの弟分とでもいうべきケーブルがRX25シリーズです。コストパフォーマンスにも配慮しながら上位モデルと同じく制振/素材/構造といったケーブルに求められる要素を高度にバランスさせ、価格からは信じられないほどの高音質を実現させています。

<BR>・Rexatを語る上で欠かせない「制振」。もちろんRX25においてもハイブラー＋マグネシウムウィスカー＋チタン入りレオストマー＋ハネナイトスタビライザーのクワトロハイブリッドインシュレーションシステムを搭載し、音質に有害な振動を徹底的に排除。音像定位や奥行き感に優れた音質を実現させています。

<BR>・ワイドレンジで量感ある低音が特長のOFC導体に、高域の解像度を向上するPC-TripleC導体を加えたハイブリッド導体。幅広い音域を高い解像度と共に忠実に伝送します。
<BR>・他にも銅テープ＋編組シールドの強力2重シールド、制振性に優れた真鍮リングなど贅沢な素材を惜しみなく投入。マルチアンプシステムなどで本数を必要とする場合などにも高いコストパフォーマンスと高音質が得られるケーブルです。




<BR>
<BR>





Rexat RX25 Series Line Up

<BR><IMG SRC=http://image.rakuten.co.jp/creer/cabinet/00533834/imgrc0062881552.jpg width=100% BORDER=0>

<BR>AT-RX25/0.3 (0.3m) 当店売価10,368円
<BR><BR>AT-RX25/0.7 (0.7m) 当店売価12,960円
<BR><BR>AT-RX25/1.3 (1.3m) 当店売価16,416円
<BR><BR>AT-RX25/2.0 (2.0m) 当店売価20,736円
<BR><BR>AT-RX25/3.0 (3.0m) 当店売価26,784円
<BR><BR>AT-RX25/5.0 (5.0m) 当店売価38,880円
<BR><BR>AT-RX25/6.0 (6.0m) 当店売価44,928円

<BR>
さらに良いケーブルが欲しい！という方はコチラ⇒最高級RX28シリーズ

<br>もうちょっと安いケーブルが欲しい！という方はコチラ⇒ハイグレードRS25シリーズ",オーディオテクニカ レグザット 車載用RCAケーブル AT-RX25/5.0 PC-TripleC+OFCハイブリッド RCAオーディオラインケーブル5.0m：クレールオンラインショップ,オーディオテクニカコムテックセルスターユピテルカーオーディオ車高調レーダー探知機デッドニングオーディオテクニカ レグザット 車載用RCAケーブル AT-RX25/5.0 PC-TripleC+OFCハイブリッド RCAオーディオラインケーブル5.0m,【在庫限定超特価!送料無料!カードOK!】。オーディオテクニカ レグザット 車載用RCAケーブル AT-RX25/5.0 PC-TripleC+OFCハイブリッド RCAオーディオラインケーブル5.0m[rn]
15-69294,http://tshop.r10s.jp/creer/cabinet/00533834/imgrc0066355945.jpg?fitin=700:700,1600.0000,,車用品・バイク用品 > カー用品 > カーAV（オーディオ・映像） > 接続キット・配線 > その他,オーディオテクニカ レグザット AT-RXF60 4層コーティング ハイエンドMIDIヒューズ 60A,【在庫あり即納!!】【送料無料!カードOK!】,"<center>
<font size=5><b>本日開催の<br>ポイントupイベントは<br>→→→ こちら ←←←</b></font>
<hr></center>
<br>",オーディオテクニカ レグザット AT-RXF60 4層コーティング ハイエンドMIDIヒューズ 60A：クレールオンラインショップ,オーディオテクニカコムテックセルスターユピテルカーオーディオ車高調レーダー探知機デッドニングオーディオテクニカ レグザット AT-RXF60 4層コーティング ハイエンドMIDIヒューズ 60A,【在庫あり即納!!】【送料無料!カードOK!】。オーディオテクニカ レグザット AT-RXF60 4層コーティング ハイエンドMIDIヒューズ 60A[rn]
