15-134801,http://tshop.r10s.jp/craftkei/cabinet/itemphoto/item2/h1602.jpg?fitin=700:700,719.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,リッチモア【アンゴラ エイティー】アンゴラ80（Angora80）　毛糸    【毛糸】,★おまかせ★手あみ糸　Rich More（最高級手あみ糸）,"※この商品は、ご注文から約2～3営業日後に出荷をさせていただきます。
<br><br>
※この商品は、「メール便対応」ではございません。通常の宅配便をご指定ください。
<br><br>
●見た目のインパクトも豪華な、上質のアンゴラ糸です。<br>
●フワフワの風合いのアンゴラうさぎの毛を、贅沢に80%使用。<br>
●イタリア製
<br><br>
<font color=""#993333"">
■構成…毛80%（アンゴラ）・ナイロン20%<br>
■仕立て…20g玉巻（約65m）<br>
■適正針・適正ゲージ…棒針7～8号・22目26段<br>
■婦人プルオーバー14～15玉、婦人半袖セーター9～10玉
</font>
<br><br>
<font color=""#FF0000"" size=""2"">
※メーカー在庫状況により、まれに品切れの場合がございます。<br>
その時はメールにてご連絡をさせていただきます。
<br>
※写真で見る商品と実物では色が違って見えることがございます。</font><br><br><img src=""http://www.rakuten.ne.jp/gold/craftkei/images/packet.jpg"">
<br><br>",リッチモア【アンゴラ エイティー】アンゴラ80（Angora80）　毛糸    【毛糸】：クラフトケイ,毛糸ハマナカ生地フェルト羊毛羊毛フェルトダイロンルシアンローワン手芸キット手芸糸手あみ糸あみぐるみエコアンダリヤボニーエコタワシ手あみ針リッチモア特価毛糸アクリル毛糸フェルトリッチモア【アンゴラ エイティー】アンゴラ80（Angora80）　毛糸    【毛糸】,★おまかせ★手あみ糸　Rich More（最高級手あみ糸）。リッチモア【アンゴラ エイティー】アンゴラ80（Angora80）　毛糸    【毛糸】[rn]
15-134882,http://tshop.r10s.jp/shugale/cabinet/knit_item/793101_a.jpg?fitin=700:700,451.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　レース糸　ウイスター毛糸　ソフティＭｉｘ,編み物｜毛糸｜ウイスター｜,"糸見本は＜画像２＞をご覧ください<br><br>●２５ｇ玉巻（約１０９ｍ）<br>●綿１００％<br>●かぎ針０～２／０号<br><br>淡いパステルカラーのミックス調レース糸です。<br><br>※一部在庫のない商品はお取寄せになります。<br>※糸は１玉のご注文でも宅配便での発送となります。<br><br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item/793101_b.jpg"" width=""100%"">",編み物　レース糸　ウイスター毛糸　ソフティＭｉｘ：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　レース糸　ウイスター毛糸　ソフティＭｉｘ,編み物｜毛糸｜ウイスター｜。編み物　レース糸　ウイスター毛糸　ソフティＭｉｘ[rn]
15-134883,http://tshop.r10s.jp/shugale/cabinet/knit_item/792641_a.jpg?fitin=700:700,404.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　レース糸　ウイスター毛糸　ソフティラメ,編み物｜通販｜ウイスター｜毛糸｜,"★糸見本は＜画像２＞をご覧ください<br><br>

●２５ｇ玉巻（約１０６ｍ）<br>
●綿９６％・ポリエステル４％<br>
●レース針０号<br>
●かぎ針２／０号<br><br>

プレミアムレース糸「ソフティ」のラメ入りタイプ。<br><br>※一部在庫のない商品はお取寄せになります。<br>※糸は１玉のご注文でも宅配便での発送となります。<br><br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item/792641_b.jpg"" width=""100%"">",編み物　レース糸　ウイスター毛糸　ソフティラメ：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　レース糸　ウイスター毛糸　ソフティラメ,編み物｜通販｜ウイスター｜毛糸｜。編み物　レース糸　ウイスター毛糸　ソフティラメ[rn]
15-134884,http://tshop.r10s.jp/shugale/cabinet/knit_item3/790319_c.jpg?fitin=700:700,428.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　オリムパス　エミーグランデ＜ハウス＞,エミーグランデハウス｜オリムパス｜レース糸｜　,"エミーグランデの太番手。品質、編みやすさはエミーグランデそのままで、かぎ針初心者の方にもおすすめです。小物にもウェアにも使いやすい、選べる豊富なカラー展開です。<br><br>

【 重量・形状・糸長（m） 】 25g玉巻（約74m）<br>
【 品質構成 】 綿100％<br>
【 かぎ針の号数 】 かぎ針3/0～4/0号<br>

*** 標準使用量（玉） ***<br>
婦人用セーター（長袖）　17玉<br>
婦人用セーター（半袖） 15玉<br>
婦人用ベスト 13玉<br>
紳士用セーター（長袖） 23玉<br>
紳士用セーター（半袖） 19玉<br>
紳士用ベスト 15玉<br>
子供用（5～6才）セーター（半袖） 9玉<br><br>

※一部在庫のない商品はお取寄せになります。<br>
※糸は１玉のご注文でも宅配便での発送となります。<br><br>
<img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item3/790319_c.jpg"" width=""100%"">",編み物　オリムパス　エミーグランデ＜ハウス＞：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　オリムパス　エミーグランデ＜ハウス＞,エミーグランデハウス｜オリムパス｜レース糸｜　。編み物　オリムパス　エミーグランデ＜ハウス＞[rn]
15-134885,http://tshop.r10s.jp/shugale/cabinet/knit_item3/790301_a.jpg?fitin=700:700,428.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　オリムパス　エミーグランデ＜ハウス＞,エミーグランデハウス｜オリムパス｜レース糸｜　,"エミーグランデの太番手。品質、編みやすさはエミーグランデそのままで、かぎ針初心者の方にもおすすめです。小物にもウェアにも使いやすい、選べる豊富なカラー展開です。<br><br>

【 重量・形状・糸長（m） 】 25g玉巻（約74m）<br>
【 品質構成 】 綿100％<br>
【 かぎ針の号数 】 かぎ針3/0～4/0号<br>

*** 標準使用量（玉） ***<br>
婦人用セーター（長袖）　17玉<br>
婦人用セーター（半袖） 15玉<br>
婦人用ベスト 13玉<br>
紳士用セーター（長袖） 23玉<br>
紳士用セーター（半袖） 19玉<br>
紳士用ベスト 15玉<br>
子供用（5～6才）セーター（半袖） 9玉<br><br>

※一部在庫のない商品はお取寄せになります。<br>
※糸は１玉のご注文でも宅配便での発送となります。<br><br>
<img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item3/790301_c.jpg"" width=""100%"">",編み物　オリムパス　エミーグランデ＜ハウス＞：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　オリムパス　エミーグランデ＜ハウス＞,エミーグランデハウス｜オリムパス｜レース糸｜　。編み物　オリムパス　エミーグランデ＜ハウス＞[rn]
15-134886,http://tshop.r10s.jp/shugale/cabinet/knit_item3/791001_a.jpg?fitin=700:700,386.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　レース糸　ダルマ　スーピマクロッシェ,ダルマ毛糸｜レース｜レース糸｜手編み｜あみもの｜,"スーピマ綿100％の美しい光沢のレース糸。<br>
スーピマ綿の特徴である強い光沢をシルケット加工によりさらに強調しているので、 高級感のあるウェアやショールなど糸の光沢が引き立つ作品づくりにおすすめのレース糸です。<br><br>

【 重量・形状・糸長（m） 】 25g玉巻（約116m）<br>
【 品質構成 】 綿（スーピマ）100％<br>
【 かぎの号数 】 かぎ針2/0～3/0号<br><br><br>


【　糸のお届けについて　】<br>
一部在庫のない商品につきましてはお取り寄せになりますので、お届けに1週間～10日ほどお時間がかかります。<br>
またメーカーで在庫切れになった場合は、2週間～1ヶ月ほどお時間がかかる場合がございますのでご了承ください。<br><br>

【　糸の送料について　】<br>
糸につきましては1玉のご注文でも宅配便での発送となりますのでご了承ください。<br><br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item3/791001_c.jpg"" width=""100%"">",編み物　レース糸　ダルマ　スーピマクロッシェ：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　レース糸　ダルマ　スーピマクロッシェ,ダルマ毛糸｜レース｜レース糸｜手編み｜あみもの｜。編み物　レース糸　ダルマ　スーピマクロッシェ[rn]
15-134887,http://tshop.r10s.jp/sanoya/cabinet/01/img57796701.jpg?fitin=700:700,97.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,小巻Cafeデミ　【ダルマ】,,,小巻Cafeデミ　【ダルマ】：あっと　クラフト,スワロフスキートールペイントスワロマフラーハマナカハマナカ手芸毛糸エミーグランデニットリングピロービーズレース糸編み物手づくりオリンパスウェディングベアテディベアパッチワーク・キルト刺しゅう刺し子小巻Cafeデミ　【ダルマ】,小巻Cafeデミ　【ダルマ】[rn]
15-134888,http://tshop.r10s.jp/shugale/cabinet/craft_item/819109_a.jpg?fitin=700:700,482.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,クラフト　紐・コード手芸　ボンボンクラフト　くるくるボンボン,　,メーカー：ハマナカ<br>サイズ（約）：直径：３．５ｃｍ・５．５ｃｍ・７ｃｍ・９ｃｍ<br>セット内容：４サイズ入り・説明書つき<br>材質：ＡＢＳ樹脂＋ＰＯＭ樹脂<br><br>４つの大きさのボンボンができます。やわらか素材だから手を傷めたりしないやさしい機具です。とても使いやすい開閉式です。,クラフト　紐・コード手芸　ボンボンクラフト　くるくるボンボン：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズクラフト　紐・コード手芸　ボンボンクラフト　くるくるボンボン,　。クラフト　紐・コード手芸　ボンボンクラフト　くるくるボンボン[rn]
15-134889,http://tshop.r10s.jp/shugale/cabinet/knit_item/009702_a.jpg?fitin=700:700,1330.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　毛糸　「モア・ニッティング」シリーズ　シュゲール　イオリ｜,イオリ｜モアニッティング｜藤久｜,"※2015年8月26日（水）より、価格を改訂しました。<br><br>

天然繊維で構成された上質のグラデーションストレートヤーンです。<br>
シルクの光沢感とアルパカのヌメリ感が両方楽しめる贅沢なブレンドと、同系色の絣グラデーションで、女性らしくハイグレードな作品作りに最適です。太さは、かぎ針にも適した合細タイプ。糸の太さに緩やかな強弱があるため、手編みの場合、よりナチュラルな風合いの編地に仕上がります。チクチク感は全くなく薄地に仕上がるので、チュニックやカーディガンはもちろんスヌードやアームウォーマーなど、幅広いアイテムにおすすめです。<br>

【 重量・形状・糸長（m）】 100gかせ（約500m）<br>
【 品質構成 】 ウール60％・シルク20％・アルパカ20％<br>
【 棒針の号数 】 棒針3号<br>
【 かぎ針の号数 】かぎ針2/0～3/0号<br>
【 メリヤス編み標準ゲージ 】 2７目・38段<br><br>

*** メリヤス編み標準使用量 ***<br>
婦人ベスト　250g（3かせ）<br>
婦人プル　380g（4かせ）<br><br>

※一部在庫のない商品はお取寄せになります。<br>※糸は１玉のご注文でも宅配便での発送となります。<br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item/009702_b.jpg"" width=""100%"">",編み物　毛糸　「モア・ニッティング」シリーズ　シュゲール　イオリ｜：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　毛糸　「モア・ニッティング」シリーズ　シュゲール　イオリ｜,イオリ｜モアニッティング｜藤久｜。編み物　毛糸　「モア・ニッティング」シリーズ　シュゲール　イオリ｜[rn]
15-134890,http://tshop.r10s.jp/shugale/cabinet/knit_item/008101_a.jpg?fitin=700:700,756.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　毛糸　「モア・ニッティング」シリーズ　シュゲール　カラードメリノ｜,毛糸｜通販｜かせ｜モア・ニッティング｜ランキング｜,"※2015年8月26日（水）より、価格を改訂しました。<br><br>

無染色の羊毛を用いることにより、自然の優しさ、柔らかさ、温もりを感じることができるナチュラルな毛糸です。 また、カラードウールとしては希少なメリノタイプの原料を使用していますので、非常にソフトな風合いです。 手紡ぎ調のスラブ糸ですので、編地にナチュラルな表情が出ます。日本製。<br><br>

【 重量・形状・糸長（m）】 100gかせ(約300m)<br>
【 品質構成 】 ウール（メリノ）100％<br>
【 棒針の号数 】 棒針6～8号<br>
【 メリヤス編み標準ゲージ 】 20目･26段<br>
【 かぎ針の号数 】 かぎ針6/0～8/0号<br><br>

***　メリヤス編み標準使用量　***<br>
婦人ベスト　240g（3かせ）<br>
婦人セーター　380g（4かせ）<br>
紳士ベスト　320g（4かせ）<br>
紳士セーター　460g（5かせ）<br><br>

※一部在庫のない商品はお取寄せになります。<br>※糸は１玉のご注文でも宅配便での発送となります。<br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item/008101_b.jpg"" width=""100%"">",編み物　毛糸　「モア・ニッティング」シリーズ　シュゲール　カラードメリノ｜：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　毛糸　「モア・ニッティング」シリーズ　シュゲール　カラードメリノ｜,毛糸｜通販｜かせ｜モア・ニッティング｜ランキング｜。編み物　毛糸　「モア・ニッティング」シリーズ　シュゲール　カラードメリノ｜[rn]
15-134891,http://tshop.r10s.jp/shugale/cabinet/knit_item/007103_a.jpg?fitin=700:700,967.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　毛糸　「モア・ニッティング」シリーズ　シュゲール　スモールナッツ｜,毛糸｜手編み｜合太｜通販｜編み物｜かせ｜モア・ニッティング｜,"※2015年8月26日（水）より、価格を改訂しました。<br><br>

スライバー（篠）の段階でマルチカラープリントを施したトップ染めのウールを引き伸ばして仕上げたスラブヤーンです。太さの強弱を大きくつけたスラブではなく緩やかな節が現れるタイプですので、手紡ぎのようなナチュラルテイストの編地に仕上がります。色彩豊かなランダムピッチのロンググラデーションですが、派手過ぎずシックで落ち着いた印象の段染め糸となっています。日本製。<br><br>

【 重量・形状・糸長（m）】 100gかせ(約300m)<br>
【 品質構成 】 ウール100％<br>
【 棒針の号数 】 棒針4～6号<br>
【 メリヤス編み標準ゲージ 】 20目･31段<br>
【 かぎ針の号数 】 かぎ針5/0～6/0号<br><br>

***　メリヤス編み標準使用量***<br>
婦人ベスト　240g（3かせ）<br>
婦人セーター　380g（4かせ）<br>
紳士ベスト　320g（4かせ）<br>
紳士セーター　460g（5かせ）<br><br>

※一部在庫のない商品はお取寄せになります。<br>※糸は１玉のご注文でも宅配便での発送となります。<br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item/007103_b.jpg"" width=""100%"">",編み物　毛糸　「モア・ニッティング」シリーズ　シュゲール　スモールナッツ｜：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　毛糸　「モア・ニッティング」シリーズ　シュゲール　スモールナッツ｜,毛糸｜手編み｜合太｜通販｜編み物｜かせ｜モア・ニッティング｜。編み物　毛糸　「モア・ニッティング」シリーズ　シュゲール　スモールナッツ｜[rn]
15-134892,http://tshop.r10s.jp/shugale/cabinet/knit_item/009902_a.jpg?fitin=700:700,1088.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　毛糸　「モア・ニッティング」シリーズ　シュゲール　ループマジック｜,ループマジック｜モアニッティング｜藤久｜,"※2015年8月26日（水）より、価格を改訂しました。<br><br>

メリヤス編みをするだけで2タイプの毛糸で編んだような編地ができる､個性的でお洒落な形状切り換えファンシーヤーンです｡ストレート形状とループ形状が交互に出てくるので､平らな編地とポコポコした編地が交互にあらわれます｡また､色出しは絣グラデーションボーダーとなっており､形状の面からも色の面からもボーダーになる""ツインボーダーファンシｰ""です｡細タイプで他の糸とも引き揃えやすく､より凝ったオリジナルな編地作りも楽しめます｡日本製。<br><br>

【 重量･形状･糸長(m) 】 100gかせ(約600m)<br>
【 品質構成 】 ウール81％･ナイロン19％<br>
【 棒針の号数 】 棒針2～3号<br>
【 かぎ針の号数 】 かぎ針2/0～3/0号<br>
【 メリヤス編み標準ゲージ 】 24目･34段<br><br>

*** メリヤス編み標準使用量***<br>
婦人ベスト　270g（3かせ）<br>
婦人プル　360g（4かせ）<br><br>

※一部在庫のない商品はお取寄せになります。<br>※糸は１玉のご注文でも宅配便での発送となります。<br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item/009902_b.jpg"" width=""100%"">",編み物　毛糸　「モア・ニッティング」シリーズ　シュゲール　ループマジック｜：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　毛糸　「モア・ニッティング」シリーズ　シュゲール　ループマジック｜,ループマジック｜モアニッティング｜藤久｜。編み物　毛糸　「モア・ニッティング」シリーズ　シュゲール　ループマジック｜[rn]
15-134893,http://tshop.r10s.jp/shugale/cabinet/knit_item/007204_a.jpg?fitin=700:700,876.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　毛糸　「モア・ニッティング」シリーズ　シュゲール　トイウール｜,トイウール｜モアニッティング｜藤久｜,"※2015年8月26日（水）より、価格を改訂しました。<br><br>

ウールの風合いをそのまま活かし､ソフトな膨らみを持たせ仕上げた軽いタッチのロービングヤーンです｡とてもポップでカラフルな色合いのショートピッチ絣で､キッズウェアやベスト､ニット帽、ニットバッグなど､カジュアルテイストの作品作りに適しています｡ウール100％でも非常に発色がよく､また空気をたっぷり含んでふんわり温かい仕上がりとなっています｡かせ状態では糸の太さに強弱がありますが編地には影響せず､ストレートヤーンと同等の編地に仕上がります｡日本製。<br><br>

【 重量･形状･糸長(m) 】 100gかせ(約150m)<br>
【 品質構成 】 ウール100％<br>
【 棒針の号数 】 棒針9～11号<br>
【 かぎ針の号数 】 かぎ針7/0～8/0号<br>
【 メリヤス編み標準ゲージ 】 16目･23段<br><br>

*** メリヤス編み標準使用量 ***<br>
婦人ベスト　300g（3かせ）<br>
婦人プル　400g（4かせ）<br>
紳士ベスト　360g（4かせ）<br>
紳士プル　520g（6かせ）<br><br>

※一部在庫のない商品はお取寄せになります。<br>※糸は１玉のご注文でも宅配便での発送となります。<br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item/007204_b.jpg"" width=""100%"">",編み物　毛糸　「モア・ニッティング」シリーズ　シュゲール　トイウール｜：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　毛糸　「モア・ニッティング」シリーズ　シュゲール　トイウール｜,トイウール｜モアニッティング｜藤久｜。編み物　毛糸　「モア・ニッティング」シリーズ　シュゲール　トイウール｜[rn]
15-134894,http://tshop.r10s.jp/shugale/cabinet/knit_item/008701_a.jpg?fitin=700:700,1209.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　毛糸　「モア・ニッティング」シリーズ　シュゲール　極細モヘア＜ソリッド＞｜,毛糸｜手編み｜通販｜編み物｜かせ｜モア・ニッティング｜段染｜,"※2015年8月26日（水）より、価格を改訂しました。<br><br>

単色の極細モヘアです。基本的には他の糸と撚り合わせることを目的としたベーシック素材として製造されており、破格のお値段でのご提供が実現しました。キッドモヘアのタム糸（ブラッシングによって起毛させた糸）を、糸染めでソリッド（単色）に染色していますので、すっきりとした色の表現になっています。またウールを少しブレンドすることによって、さらに柔らかくソフトな風合いになっています。1/9番手という極細タイプですので、引き揃えはもちろん、1本取りで透け感のある繊細なショールなどを編むのにおすすめです。日本製。<br><br>

※ロットによって多少色が異なりますのでご了承ください。<br><br>

【 重量・形状・糸長（m）】 100gかせ（約900m）<br>
【 品質構成 】 キッドモヘヤ50％・ウール20％・ナイロン30％<br>
【 棒針の号数 】 棒針4～6号<br>
【 メリヤス編み標準ゲージ 】 23目・36段<br><br>

***　メリヤス編み標準使用量　***<br>
婦人ベスト　100g（1かせ）<br>
婦人セーター　180g（2かせ）
<br><br>

※一部在庫のない商品はお取寄せになります。<br>※糸は１玉のご注文でも宅配便での発送となります。<br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item/008701_b.jpg"" width=""100%"">",編み物　毛糸　「モア・ニッティング」シリーズ　シュゲール　極細モヘア＜ソリッド＞｜：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　毛糸　「モア・ニッティング」シリーズ　シュゲール　極細モヘア＜ソリッド＞｜,毛糸｜手編み｜通販｜編み物｜かせ｜モア・ニッティング｜段染｜。編み物　毛糸　「モア・ニッティング」シリーズ　シュゲール　極細モヘア＜ソリッド＞｜[rn]
15-134895,http://tshop.r10s.jp/shugale/cabinet/knit_item/008601_a.jpg?fitin=700:700,664.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　毛糸　「モア・ニッティング」シリーズ　シュゲール　ベイリーズ｜,毛糸｜手編み｜通販｜編み物｜かせ｜モア・ニッティング｜,"※2015年8月26日（水）より、価格を改訂しました。<br><br>

クリンプ性（弾力性）を富に備え耐久性にも優れた英国羊毛を約３０％ブレンドしたロービングヤーン。 ロービングヤーンとは、英式梳毛紡績のローバーという機械でひいた、甘撚で膨らみを持たせた糸です。 色目は、英国に昔から生息するグレードハードウィック（グレー系）、ジャコブ（茶系）、ウエリッシュマウンテン（グレー系、茶系）等の色目を染色（先染め）で再現してます。マニッシュなベスト・ジャケットなどのアウターから、カジュアルな帽子・バッグなどのウェア小物まで幅広い用途におすすめです。日本製。<br><br>

【 重量・形状・糸長（m）】 100gかせ(約300m)<br>
【 品質構成 】 ウール100％<br>
【 棒針の号数 】 棒針4～6号<br>
【 メリヤス編み標準ゲージ 】 21目・29段<br>
【 かぎ針の号数 】 かぎ針5/0～6/0号<br><br>

***　メリヤス編み標準使用量　***<br>
婦人ベスト　240g（3かせ）<br>
婦人セーター　380g（4かせ）<br>
紳士ベスト　320g（4かせ）<br>
紳士セーター　460g（5かせ）<br><br>

※一部在庫のない商品はお取寄せになります。<br>※糸は１玉のご注文でも宅配便での発送となります。<br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item/008601_b.jpg"" width=""100%"">",編み物　毛糸　「モア・ニッティング」シリーズ　シュゲール　ベイリーズ｜：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　毛糸　「モア・ニッティング」シリーズ　シュゲール　ベイリーズ｜,毛糸｜手編み｜通販｜編み物｜かせ｜モア・ニッティング｜。編み物　毛糸　「モア・ニッティング」シリーズ　シュゲール　ベイリーズ｜[rn]
15-134896,http://tshop.r10s.jp/shugale/cabinet/knit_item/896101_a.jpg?fitin=700:700,315.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　毛糸　ウイスター毛糸　ルチア,編み物｜通販｜藤久｜,"起毛糸と極細ファーラメを組み合わせたファンシーヤーン。煙ったようなディープカラーの起毛糸のあいだに、シルバー・ゴールドの細いラメがキラキラと顔を出し、マットとシャインが相まったおしゃれな糸です。太めでも軽やかなので、アイテムを問わずに編めます。<br><br>

【 重量・形状・糸長（m） 】 40g玉（約50m）<br>
【 品質構成 】 アクリル74％・ウール10％・ポリエステル16％<br>
【 棒針の号数 】 棒針10～12号<br>
【 かぎ針の号数 】 かぎ7/0～8/0号<br>
【 メリヤス編み標準ゲージ 】 11～12目・19～20段<br><br>

*** メリヤス編み標準使用量（玉） ***<br>
婦人ベスト　10～11玉<br>
婦人プル　17～18玉<br>
紳士ベスト 13～14玉<br>
紳士プル　19～20玉
<br><br>

※一部在庫のない商品はお取寄せになります。<br>※糸は１玉のご注文でも宅配便での発送となります。<br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item/896101_b.jpg"" width=""100%"">",編み物　毛糸　ウイスター毛糸　ルチア：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　毛糸　ウイスター毛糸　ルチア,編み物｜通販｜藤久｜。編み物　毛糸　ウイスター毛糸　ルチア[rn]
15-134897,http://tshop.r10s.jp/poplar/cabinet/img28/4021180-9.jpg?fitin=700:700,946.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,【期間限定特価商品】メルヘンアート マニラヘンプヤーン（3個入)【27％OFF】【2017年4月20日AM10：59まで】,価格は【3個入】の値段になります【3個入】での出荷になります,"こちらの商品をお買い求めの場合発送までに最大2週間ほどかかる場合がございます<br>入荷予定日などはご注文いただいたのちにメールで返答させていただきます<br>ご了承ください<br>指定外繊維（Abaca）100%<br><br>20グラム<br>50m（メートル）<br>棒針：8～10号 かぎ針6/0～8/0号<br><br><br>色番によってはメーカー品切れの場合がございますが、ご了承ください。
<BR><br><br>この商品は【取り寄せ商品】です。<br>幅広い商品を1玉からお届けするための施策でございます。<br><br>お届けの目安<br>この商品は、お届けに６営業日程かかります。<br>６営業日以上かかる場合はお電話にてご連絡させて頂きますので予めご了承くださいませ。<br>（品切中の商品は7～8月入荷次第のご発送になります、入荷日がわかり次第再度メールにてご連絡させていただきます）<br>ご購入後の特別な理由以外のキャンセルはお断りさせて頂いております。",【期間限定特価商品】メルヘンアート マニラヘンプヤーン（3個入)【27％OFF】【2017年4月20日AM10：59まで】：毛糸のプロショップ　ポプラ,毛糸ハマナカダイヤモンド毛糸ニッケビクターリッチモアパピー毛糸スキー毛糸オリムパス製糸世界の編み物【期間限定特価商品】メルヘンアート マニラヘンプヤーン（3個入)【27％OFF】【2017年4月20日AM10：59まで】,価格は【3個入】の値段になります【3個入】での出荷になります。【期間限定特価商品】メルヘンアート マニラヘンプヤーン（3個入)【27％OFF】【2017年4月20日AM10：59まで】[rn]
