19-68401,,74.4000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TSN-30-9-TM】(4388313)数字ステッカー ３０×３０ 「９」 透明 ３枚入 受注単位1,環境安全用品\安全用品・標識\サインプレート,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●屋内外使用可能です。<br>●番号管理に便利です。<br>●表示内容:数字「９」　透明<br>●取付仕様:粘着シール<br>●縦(mm):３０<br>●横(mm):３０<br>●取付方法：貼付タイプ<br>●塩化ビニール(PVC)<br>●貼り付ける面のゴミ・油等を拭きとってください。<br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TSN-30-9-TM】(4388313)数字ステッカー ３０&times;３０ 「９」 透明 ３枚入 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TSN-30-9-TM】(4388313)数字ステッカー ３０&times;３０ 「９」 透明 ３枚入 受注単位1,環境安全用品\安全用品・標識\サインプレート。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TSN-30-9-TM】(4388313)数字ステッカー ３０&times;３０ 「９」 透明 ３枚入 受注単位1[rn]
19-68483,http://tshop.r10s.jp/kurashikenkou/cabinet/petgoods/img56806757.jpg?fitin=700:700,578.4000,,ペット・ペットグッズ > 猫用品 > トイレ用品 > 猫砂,ひのきでつくった猫砂HKT-70　７Ｌ【アイリスオーヤマ】[CTS],【税込3990円以上で送料無料】,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""></center></font><iframe src=""http://www.rakuten.ne.jp/gold/kurashikenkou/cart_161018.html"" width=""100%"" height=""670"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><!--▲カゴ下バナー--><br>



















<br>
リサイクル原料（国産ひのき他）を使用した環境に配慮した猫砂です。<br><br>おしっこのかかった部分だけ素早くしっかり固まり、ムダがなく経済的です。<br>すばやく水に溶けるので使用後はトイレに流すことができます。<br>燃えるゴミとしても処理できるので後始末が簡単です。<br><br>砂の粒が猫の足の指に挟まりにくく、飛び散りにくいペレットタイプです。<br>脱臭力の高い木粉を使用しているので、おしっこのイヤなニオイを強力に吸着します。<br><br>●商品サイズ(約)：幅34.5×高さ47cm<br>●材質<br>◇主原料：木粉（国産ひのき他）、炭酸カルシウム、おから<br>◇袋原料：ポリエステル、ポリエチレン<br>●生産国：日本<br><br><br>",ひのきでつくった猫砂HKT-70　７Ｌ【アイリスオーヤマ】[CTS]：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶ひのきでつくった猫砂HKT-70　７Ｌ【アイリスオーヤマ】[CTS],【税込3990円以上で送料無料】。ひのきでつくった猫砂HKT-70　７Ｌ【アイリスオーヤマ】[CTS][rn]
19-68484,http://tshop.r10s.jp/kurashikenkou/cabinet/jishahin/313370-scn01.jpg?fitin=700:700,2194.4000,,ペット・ペットグッズ > 猫用品 > トイレ用品 > 猫砂,猫砂ストックトイレNST-680　イエロー・ブラウン【アイリスオーヤマ】[CTS],【100円クーポン有】【税込3990円以上で送料無料】,,猫砂ストックトイレNST-680　イエロー・ブラウン【アイリスオーヤマ】[CTS]：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶猫砂ストックトイレNST-680　イエロー・ブラウン【アイリスオーヤマ】[CTS],【100円クーポン有】【税込3990円以上で送料無料】。猫砂ストックトイレNST-680　イエロー・ブラウン【アイリスオーヤマ】[CTS][rn]
19-68485,http://tshop.r10s.jp/kurashikenkou/cabinet/petgoods/img56803748.jpg?fitin=700:700,652.0000,,ペット・ペットグッズ > 猫用品 > トイレ用品 > 猫砂,消臭砂シリカゲルサンドSGS-50　５Ｌ【アイリスオーヤマ】,【税込3990円以上で送料無料】,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""></center></font><iframe src=""http://www.rakuten.ne.jp/gold/kurashikenkou/cart_161018.html"" width=""100%"" height=""670"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><!--▲カゴ下バナー--><br>



















<br>
シリカゲルを主原料とした脱臭力に優れた猫砂です☆<br><br>シリカゲルが尿と臭いを吸収し水分だけを放出するので、オシッコの度に砂を捨てる必要がありません。<br>消臭・脱臭効果は約１ヶ月持続し、交換継ぎ足し不要です。（標準的な体格の成猫1匹の場合）。<br><br>木製などの猫砂に混ぜて、脱臭剤としても使用できます。<br><br>●商品サイズ(約)：幅30×高さ41.5cm<br>●材質　主原料：シリカゲル<br>●生産国：中国（大連）<br><br>",消臭砂シリカゲルサンドSGS-50　５Ｌ【アイリスオーヤマ】：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶消臭砂シリカゲルサンドSGS-50　５Ｌ【アイリスオーヤマ】,【税込3990円以上で送料無料】。消臭砂シリカゲルサンドSGS-50　５Ｌ【アイリスオーヤマ】[rn]
19-68486,http://tshop.r10s.jp/kurashikenkou/cabinet/kagu/533444.jpg?fitin=700:700,591.2000,,ペット・ペットグッズ > 猫用品 > トイレ用品 > 猫砂,紙の猫砂KMN-140N１４Ｌ【アイリスオーヤマ】[CTS],【税込3990円以上で送料無料】,再生パルプを使用した、環境に優しい猫砂です。<br>7Lの他に、多頭飼いの方にもぴったりな大容量14Lもご用意しました。<br>おしっこのかかった部分だけしっかり素早く固まり、ムダが無く経済的です。<br>しっかり固まるのでスコップですくった時に崩れにくくなっています。<br>紙を主原料にしているので、使用後はトイレに流すことができます。<br>燃えるゴミとしても処理できます。<br>分解中和消臭+抗菌効果の2つの力で臭いを閉じ込め雑菌の発生を抑えます。<br>●内容量：14L●主要材質：再生パルプ<br><br>,紙の猫砂KMN-140N１４Ｌ【アイリスオーヤマ】[CTS]：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶紙の猫砂KMN-140N１４Ｌ【アイリスオーヤマ】[CTS],【税込3990円以上で送料無料】。紙の猫砂KMN-140N１４Ｌ【アイリスオーヤマ】[CTS][rn]
19-68487,http://tshop.r10s.jp/kurashikenkou/cabinet/kagu/533439.jpg?fitin=700:700,281.6000,,ペット・ペットグッズ > 猫用品 > トイレ用品 > 猫砂,紙の猫砂KMN-70N７Ｌ【アイリスオーヤマ】[CTS],【税込3990円以上で送料無料】,再生パルプを使用した、環境に優しい猫砂です。<br>7Lの他に、多頭飼いの方にもぴったりな大容量14Lもご用意しました。<br>おしっこのかかった部分だけしっかり素早く固まり、ムダが無く経済的です。<br>しっかり固まるのでスコップですくった時に崩れにくくなっています。<br>紙を主原料にしているので、使用後はトイレに流すことができます。<br>燃えるゴミとしても処理できます。<br>分解中和消臭+抗菌効果の2つの力で臭いを閉じ込め雑菌の発生を抑えます。<br>●内容量：7L●主要材質：再生パルプ<br><br>,紙の猫砂KMN-70N７Ｌ【アイリスオーヤマ】[CTS]：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶紙の猫砂KMN-70N７Ｌ【アイリスオーヤマ】[CTS],【税込3990円以上で送料無料】。紙の猫砂KMN-70N７Ｌ【アイリスオーヤマ】[CTS][rn]
19-68488,http://tshop.r10s.jp/kurashikenkou/cabinet/kagu/533435.jpg?fitin=700:700,517.6000,,ペット・ペットグッズ > 猫用品 > トイレ用品 > 猫砂,植物原料のしっかり固まる猫砂SKN-70N７Ｌ【アイリスオーヤマ】[CTS],【税込3990円以上で送料無料】,植物（おから）を原料とした環境にやさしいネコ砂。<br>★おしっこのかかった部分だけ、しっかり固まるので無駄が無く経済的！固まる成分もでんぷんを使用しています。<br>★有機物であるおからを主原料とし、すばやく水に溶けるネコ砂。トイレに流すことができます。<br>★砂の表面が多孔質になっているので、おしっこの臭いを強力に脱臭！<br>★砂の粒がネコちゃんの肉球にはさまりにくく、砂がお部屋に散らばりにくい！<br>●パッケージサイズ（約）：幅34×奥行き46×高さ65（cm）●内容量：7L●主原料： おから・炭酸カルシウム・でんぷん<br><br>,植物原料のしっかり固まる猫砂SKN-70N７Ｌ【アイリスオーヤマ】[CTS]：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶植物原料のしっかり固まる猫砂SKN-70N７Ｌ【アイリスオーヤマ】[CTS],【税込3990円以上で送料無料】。植物原料のしっかり固まる猫砂SKN-70N７Ｌ【アイリスオーヤマ】[CTS][rn]
19-68489,http://tshop.r10s.jp/kurashikenkou/cabinet/kagu/533438.jpg?fitin=700:700,325.6000,,ペット・ペットグッズ > 猫用品 > トイレ用品 > 猫砂,お茶の猫砂OCN-70N７Ｌ【アイリスオーヤマ】[CTS],【税込3990円以上で送料無料】,お茶特有の抗菌作用でトイレを清潔に保ちます。お茶の香りがおしっこの臭いを包み込み、さらに砂の表面が多孔質になっていますので臭いを強力に吸着。高熱殺菌処理と抗菌剤を配合していますので雑菌の発生も防止。主原料にはおからを使用。水にさっと溶けますので、水洗トイレに流して処理できるほか、燃えるゴミとして処理することもできますので後始末が簡単。おしっこのかかった部分だけ固まりますので、むだなく処理ができ経済的。<br>●商品パッケージサイズ(cm)：幅36×高さ47.5×厚さ6.4●内容量：7L●主要材質：おから、でんぷん、茶葉、香料<br><br>,お茶の猫砂OCN-70N７Ｌ【アイリスオーヤマ】[CTS]：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶お茶の猫砂OCN-70N７Ｌ【アイリスオーヤマ】[CTS],【税込3990円以上で送料無料】。お茶の猫砂OCN-70N７Ｌ【アイリスオーヤマ】[CTS][rn]
19-68490,http://tshop.r10s.jp/kurashikenkou/cabinet/petgoods/img56806777.jpg?fitin=700:700,1244.8000,,ペット・ペットグッズ > 猫用品 > トイレ用品 > 猫砂,ひのきでつくった猫砂HKT-140 １４Ｌ【アイリスオーヤマ】[CTS],【全国どこでも送料無料】,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""></center></font><iframe src=""http://www.rakuten.ne.jp/gold/kurashikenkou/cart_161018.html"" width=""100%"" height=""670"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><!--▲カゴ下バナー--><br>



















<br>
リサイクル原料（国産ひのき他）を使用した環境に配慮した猫砂です。<br><br>おしっこのかかった部分だけ素早くしっかり固まり、ムダがなく経済的です。<br>すばやく水に溶けるので使用後はトイレに流すことができます。<br>燃えるゴミとしても処理できるので後始末が簡単です。<br><br>砂の粒が猫の足の指に挟まりにくく、飛び散りにくいペレットタイプです。<br>脱臭力の高い木粉を使用しているので、おしっこのイヤなニオイを強力に吸着します。<br><br>●商品サイズ(約)：幅40×高さ54.5cm<br>●材質<br>◇主原料：木粉（国産ひのき他）、炭酸カルシウム、おから<br>◇袋原料：ポリエステル、ポリエチレン<br>●生産国：日本<br><br><br>",ひのきでつくった猫砂HKT-140 １４Ｌ【アイリスオーヤマ】[CTS]：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶ひのきでつくった猫砂HKT-140 １４Ｌ【アイリスオーヤマ】[CTS],【全国どこでも送料無料】。ひのきでつくった猫砂HKT-140 １４Ｌ【アイリスオーヤマ】[CTS][rn]
19-68491,http://tshop.r10s.jp/kurashikenkou/cabinet/jishahin4/1315655-e.jpg?fitin=700:700,1911.2000,,ペット・ペットグッズ > 猫用品 > トイレ用品 > 猫砂,【4袋セット】森林の香り　ウッディフレッシュ　7L　P-FWF-7L　アイリスオーヤマ,【100円クーポン有】【税込3990円以上で送料無料】,"<b><font color=green>環境にやさしい猫砂です☆</font></b><br>
森林資源をリサイクルしています♪<br>
やさしい森林の香りで、おしっこの嫌な臭いを軽減！<br>
少量で素早く固まるから、ムダがなく経済的☆<br>
脱臭力の高い木粉が、臭いを強力にとじこめます！<br>
抗菌粒（青粒）を配合しています。<br>
燃えるゴミとして処理ができます♪<br><br>
●セット数：4袋<br>
●商品サイズ（約）：幅35×奥行48×高さ6.2cm<br>
●重量（約）：4.2kg<br>
●容量（約）：7L<br>
●材質：木・ベントナイト・香料",【4袋セット】森林の香り　ウッディフレッシュ　7L　P-FWF-7L　アイリスオーヤマ：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶【4袋セット】森林の香り　ウッディフレッシュ　7L　P-FWF-7L　アイリスオーヤマ,【100円クーポン有】【税込3990円以上で送料無料】。【4袋セット】森林の香り　ウッディフレッシュ　7L　P-FWF-7L　アイリスオーヤマ[rn]
19-68492,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_004/4520699651773_ll.jpg?fitin=700:700,317.6000,,ペット・ペットグッズ > 猫用品 > トイレ用品 > 猫砂,ユニ・チャームペットケア デオサンド 緑茶成分入り消臭する砂(5L) ｼﾖｳｼﾕｳｽﾙｽﾅ5L [ｼﾖｳｼﾕｳｽﾙｽﾅ5L],瞬間消臭、しっかり固まる。,□商品説明<br>●消臭剤プラスでオシッコの後の嫌なニオイを消臭します。<br>□商品仕様<br>●内容量:5L<br>●主な素材:ベントナイト(粘土鉱物)、香料,ユニ・チャームペットケア デオサンド 緑茶成分入り消臭する砂(5L) ｼﾖｳｼﾕｳｽﾙｽﾅ5L [ｼﾖｳｼﾕｳｽﾙｽﾅ5L]：エディオン　楽天市場店,ユニ・チャームペットケア デオサンド 緑茶成分入り消臭する砂(5L) ｼﾖｳｼﾕｳｽﾙｽﾅ5L [ｼﾖｳｼﾕｳｽﾙｽﾅ5L],瞬間消臭、しっかり固まる。。ユニ・チャームペットケア デオサンド 緑茶成分入り消臭する砂(5L) ｼﾖｳｼﾕｳｽﾙｽﾅ5L [ｼﾖｳｼﾕｳｽﾙｽﾅ5L][rn]
19-68493,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_041/4902418400075_ll.jpg?fitin=700:700,724.8000,,ペット・ペットグッズ > 猫用品 > トイレ用品 > 猫砂,ペットライン お花畑 ペーパーサンド(7L) ｵﾊﾅﾊﾞﾀｹ ﾍﾟｰﾊﾟｰｻﾝﾄﾞ 7L [ｵﾊﾅﾊﾞﾀｹﾍﾟﾊﾟｻﾝﾄﾞ7L],,□商品説明<br>●高純度パルプを主原料とする猫、小動物用の固まらないタイプの紙製のトイレ砂。コーティング剤不使用だから、粉の舞いが少なくいつもサラサラです。天然抗菌素材くまざさ繊維をプラスしました。<br>●本品は、高純度パルプを主原料としていますので、吸水性に優れ、いやなニオイの原因となる尿をすばやく吸収します。抗菌作用のある天然素材くまざさ繊維もプラスしました。お部屋もペットも快適です。<br>●保存が簡単で便利なジッパー付きです。<br>□商品仕様<br>●内容量:7L<br>●原材料:パルプ、再生紙、くまざさ繊維<br>●原産国:日本,ペットライン お花畑 ペーパーサンド(7L) ｵﾊﾅﾊﾞﾀｹ ﾍﾟｰﾊﾟｰｻﾝﾄﾞ 7L [ｵﾊﾅﾊﾞﾀｹﾍﾟﾊﾟｻﾝﾄﾞ7L]：エディオン　楽天市場店,ペットライン お花畑 ペーパーサンド(7L) ｵﾊﾅﾊﾞﾀｹ ﾍﾟｰﾊﾟｰｻﾝﾄﾞ 7L [ｵﾊﾅﾊﾞﾀｹﾍﾟﾊﾟｻﾝﾄﾞ7L],ペットライン お花畑 ペーパーサンド(7L) ｵﾊﾅﾊﾞﾀｹ ﾍﾟｰﾊﾟｰｻﾝﾄﾞ 7L [ｵﾊﾅﾊﾞﾀｹﾍﾟﾊﾟｻﾝﾄﾞ7L][rn]
19-68494,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_004/4520699600603_ll.jpg?fitin=700:700,654.4000,,ペット・ペットグッズ > 猫用品 > トイレ用品 > 猫砂,ユニ・チャームペットケア デオサンド 複数ねこ用(10L) ﾃﾞｵｻﾝﾄﾞﾌｸｽｳﾈｺﾖｳ10L [ﾃﾞｵｻﾝﾄﾞﾌｸｽｳﾈｺﾖｳ10L],大量のオシッコでも長時間強力消臭。,□商品説明<br>●しっかり固まり崩れにくいのでサッとお手入れができます。<br>□商品仕様<br>●内容量:10L<br>●原材料名:再生パルプ、高分子吸水材、デンプン、香料,ユニ・チャームペットケア デオサンド 複数ねこ用(10L) ﾃﾞｵｻﾝﾄﾞﾌｸｽｳﾈｺﾖｳ10L [ﾃﾞｵｻﾝﾄﾞﾌｸｽｳﾈｺﾖｳ10L]：エディオン　楽天市場店,ユニ・チャームペットケア デオサンド 複数ねこ用(10L) ﾃﾞｵｻﾝﾄﾞﾌｸｽｳﾈｺﾖｳ10L [ﾃﾞｵｻﾝﾄﾞﾌｸｽｳﾈｺﾖｳ10L],大量のオシッコでも長時間強力消臭。。ユニ・チャームペットケア デオサンド 複数ねこ用(10L) ﾃﾞｵｻﾝﾄﾞﾌｸｽｳﾈｺﾖｳ10L [ﾃﾞｵｻﾝﾄﾞﾌｸｽｳﾈｺﾖｳ10L][rn]
19-68495,http://tshop.r10s.jp/king-depart/cabinet/item/4941671400217.jpg?fitin=700:700,638.4000,,ペット・ペットグッズ > 猫用品 > トイレ用品 > 猫砂,ダイエット お茶 ダイエット茶 ダイエット お茶 番茶 茶葉 ダイエット お茶 送料無料 辰岡製茶 ダイエット お茶 赤ちゃん水出し番茶 400g ダイエット お茶 日本茶 水出し番茶 ダイエット お茶 赤ちゃん番茶 赤ちゃん 水出し番茶 ダイエット お茶  【RCP】【D】,大阪は特別送料400円！/店内5400円以上ご購入で送料無料！,"◆商品説明 １００％国産（滋賀県産）茶葉を使い、独自の特殊技術で造り上げており、カフェイン成分も極々微量です。また、「ポリサッカライド」「ガンマアミノ酸」が緑茶より多く含まれており、健康に最適です。●４００ｇ茶葉で約１３Ｌお造りいただけます。●カフェイン微量で赤ちゃんからお年寄りまで安心してお飲みいただけます。<br><br><img src=""http://image.rakuten.co.jp/king-depart/cabinet/sp/ditem_sp.jpg"" width=100%><br><br>",ダイエット お茶 ダイエット茶 ダイエット お茶 番茶 茶葉 ダイエット お茶 送料無料 辰岡製茶 ダイエット お茶 赤ちゃん水出し番茶 400g ダイエット お茶 日本茶 水出し番茶 ダイエット お茶 赤ちゃん番茶 赤ちゃん 水出し番茶 ダイエット お茶  【RCP】【D】：キング百貨店,百貨店バウムクーヘンケーキ激安飲料アウトレット雑貨日用品海外土産安いミネラルウォーターネピアアサヒ飲料お茶送料無料関西近畿店舗健康ギフトダイエット お茶 ダイエット茶 ダイエット お茶 番茶 茶葉 ダイエット お茶 送料無料 辰岡製茶 ダイエット お茶 赤ちゃん水出し番茶 400g ダイエット お茶 日本茶 水出し番茶 ダイエット お茶 赤ちゃん番茶 赤ちゃん 水出し番茶 ダイエット お茶  【RCP】【D】,大阪は特別送料400円！/店内5400円以上ご購入で送料無料！。ダイエット お茶 ダイエット茶 ダイエット お茶 番茶 茶葉 ダイエット お茶 送料無料 辰岡製茶 ダイエット お茶 赤ちゃん水出し番茶 400g ダイエット お茶 日本茶 水出し番茶 ダイエット お茶 赤ちゃん番茶 赤ちゃん 水出し番茶 ダイエット お茶  【RCP】【D】[rn]
19-68496,http://tshop.r10s.jp/rakuten24/cabinet/e2217/e221765h_l.jpg?fitin=700:700,294.4000,,ペット・ペットグッズ > 猫用品 > トイレ用品 > 猫砂,デオサンド 緑茶成分入り消臭する砂 5L【楽天24】【あす楽対応】[ユニチャームペットケア 猫砂・ネコ砂(ベントナイト)],ユニチャームペットケア/税抜1880円以上送料無料,"<p>税抜1880円以上送料無料/デオサンド 緑茶成分入り消臭する砂 5L<br>楽天24＞ペット用品＞トイレタリー・衛生用品＞猫用トイレ用品(トイレタリー)＞猫砂・ネコ砂(ベントナイト)＞<br>ブランド：ユニチャームペットケア/販売元：ユニ・チャームペットケア</p>内容量：5L   <br><br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「デオサンド 緑茶成分入り消臭する砂 5L」は、独自の消臭技術を採用したオシッコの嫌なニオイが残らない猫砂・ネコ砂です。ウンチの臭いもしっかり消臭してくれます。しっかり固まって崩れにくいうえ、吸収力もあるのでトレーの底が汚れにくくお手入れが簡単。小さく固まるので、使用量が少なく経済的で、毎日のゴミの量も軽減します。<br><b>ご使用の砂からの切替えの際は</b><br>使用後数日間は嫌がる場合があります。新しい砂に慣れさせるために、次の方法をお試しください。<br>・今まで使っていた砂のオシッコの固まりやウンチを「オシッコのあとに消臭する砂」を敷きつめたトイレの中に入れて、猫ちゃんに自分のトイレであることを理解させてください。<br>・今まで使っていた砂を本品に少量かけて、数日間慣れさせてください。<br><b>用途</b><br>猫の室内トイレ用砂<br><b>使用方法</b><br>(1)トイレに「オシッコのあとに消臭する砂」を5-6cmの厚さに敷いて下さい。<br>(2)固まった部分だけスコップ等で取り除き、取り除いた部分と同量の「オシッコのあとに消臭する砂」を補充してください。<br><br>※常にトイレを清潔に保つためにできれば月に1-2回、敷いてあるサンド全量を新しい「オシッコのあとに消臭する砂」と交換してください。<br>※また、1日1回はウンチを取り除いてください。(愛猫1匹の場合)<br>※トイレの底の汚れ防止にトイレシートを敷いて併用すると効果的です。<br><b>使用後の処理方法</b><br>●本品は水に溶けないので、トイレに捨てないでください。<br>●使用後、固まった部分は、少量ずつ「可燃ごみ」と一緒に出してください。ただし、お住まいの地域にルールがある場合は、それに従ってください。<br><b>使用上の注意</b><br>■使用上の注意・・・用途以外には使用しないでください<br>・トイレは汚れてもかまわない、平らな場所に置いて使用してください。<br>・本品がトイレから飛び散った場合は、足を滑らせたり、床を傷つけることがあるのですぐに片付けてください。<br>・本品はたべられないので、飲み込まないでください。特に、小児やペットが間違って食べないように注意してください。万が一、飲み込んだ場合は、医師や獣医師にご相談ください。<br><br>■交換時の注意<br>・本品の廃棄や補充の時は換気をよくして、微粉末を吸い込まないようにしてください。万が一、微粉末を吸込んだ場合は、医師や獣医師にご相談ください。<br>・本品が万が一、人の目に入った場合は流水で洗い流し、医師にご相談ください。万が一、動物の目に入った場合は、獣医師にご相談ください。<br><b>保管上の注意</b><br>●本品は高温多湿を避け、直射日光の当たらない場所に保管してください。<br>●本品は開封後、ほこりや虫が入らないよう封をしっかり閉じて衛生的に保管してください。<br>●本品は食品、食器、おもちゃ、ペットフード等と区別し、小児の手の届かない場所に保管してください。<br>●本品の空袋をおもちゃにしないでください。<br><b>素材</b><br>ベントナイト(粘土鉱物)、香料<br><b>お問い合わせ先</b><br>ユニ・チャーム株式会社 ユニ・チャームペットケアお客様相談ダイヤル<br>フリーダイヤル：0120-810-539<br>受付時間：9：30-17：00(土・日・祝日を除く)<br>JANコード：　4520699651773<br><hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL:050-5577-5043<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font>",デオサンド 緑茶成分入り消臭する砂 5L【楽天24】【あす楽対応】[ユニチャームペットケア 猫砂・ネコ砂(ベントナイト)]：楽天24,デオサンド 緑茶成分入り消臭する砂 5L【楽天24】【あす楽対応】[ユニチャームペットケア 猫砂・ネコ砂(ベントナイト)],ユニチャームペットケア/税抜1880円以上送料無料。デオサンド 緑茶成分入り消臭する砂 5L【楽天24】【あす楽対応】[ユニチャームペットケア 猫砂・ネコ砂(ベントナイト)][rn]
