19-21101,,5585.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ホーザン/ＨＯＺＡＮ 半田鏝【F-751】(8183587) ＨＯＺＡＮ 導電性テープ 発注単位1,生産加工用品\静電気対策用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●導電性カラーマットのカラー層と同じ材質を使用した導電テープです。<br>
●作業台の導電性カラーマットや、導電床などの区画割り、各種表示用のラインテープ。<br>
●色:イエロー<br>
●幅(mm):50<br>
●長さ(m):10<br>
●厚み(mm):0.5<br>
●接地抵抗:Rg≦1×10[[の9乗]]Ω<br>
●ニトリルゴム(NBR)<br>
●同メーカーの導電性マットを併用して下さい。",■〒ホーザン/ＨＯＺＡＮ 半田鏝【F-751】(8183587) ＨＯＺＡＮ 導電性テープ 発注単位1：クローバー資材館,■〒ホーザン/ＨＯＺＡＮ 半田鏝【F-751】(8183587) ＨＯＺＡＮ 導電性テープ 発注単位1,生産加工用品\静電気対策用品。■〒ホーザン/ＨＯＺＡＮ 半田鏝【F-751】(8183587) ＨＯＺＡＮ 導電性テープ 発注単位1[rn]
19-21149,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002860906.jpg?fitin=700:700,2381.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三和製作所/三和付刃バイト１３ｍｍ【502-1 (11-1)】 (1002988) 受注単位1,切削工具\旋削・フライス加工工具\切削バイト,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●従来の高速度鋼に比べ、より優れた高温硬度と耐摩耗性を持つ材質を採用しています。",『カード対応OK！』■〒三和製作所/三和付刃バイト１３ｍｍ【502-1 (11-1)】 (1002988) 受注単位1：クローバー資材館,『カード対応OK！』■〒三和製作所/三和付刃バイト１３ｍｍ【502-1 (11-1)】 (1002988) 受注単位1,切削工具\旋削・フライス加工工具\切削バイト。『カード対応OK！』■〒三和製作所/三和付刃バイト１３ｍｍ【502-1 (11-1)】 (1002988) 受注単位1[rn]
19-21150,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004706807.jpg?fitin=700:700,6484.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒京セラ/京セラ　旋削用チップ　サーメット　ＴＮ６０２０【TPMT160308XQ  TN6020】(6502962) 受注単位10,切削工具\旋削・フライス加工工具\チップ,,『カード対応OK！』■〒京セラ/京セラ　旋削用チップ　サーメット　ＴＮ６０２０【TPMT160308XQ  TN6020】(6502962) 受注単位10：クローバー資材館,『カード対応OK！』■〒京セラ/京セラ　旋削用チップ　サーメット　ＴＮ６０２０【TPMT160308XQ  TN6020】(6502962) 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒京セラ/京セラ　旋削用チップ　サーメット　ＴＮ６０２０【TPMT160308XQ  TN6020】(6502962) 受注単位10[rn]
19-21151,,2100.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒イシハシ精工/ＩＳ ストレートドリル【P-IS-SD-11.6】(5067341) ＩＳ パック入 ストレートドリル 11．6mm 発注単位1,切削工具\穴あけ工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●標準のストレートシャンクドリルです。<br>
●被削材：軟鋼、一般鋼、鋳鉄、軽合金。<br>
●一般鉄鋼用です。<br>
●刃径(mm):11.6<br>
●溝長(mm):109<br>
●全長(mm):146<br>
●シャンク径(mm):11.6<br>
●有効加工深さ：３Ｄ（刃径×３倍）<br>
●研削溝です。<br>
●総研磨仕上げで切れ味が良い。<br>
●高速度鋼(HSS)",■〒イシハシ精工/ＩＳ ストレートドリル【P-IS-SD-11.6】(5067341) ＩＳ パック入 ストレートドリル 11．6mm 発注単位1：クローバー資材館,■〒イシハシ精工/ＩＳ ストレートドリル【P-IS-SD-11.6】(5067341) ＩＳ パック入 ストレートドリル 11．6mm 発注単位1,切削工具\穴あけ工具。■〒イシハシ精工/ＩＳ ストレートドリル【P-IS-SD-11.6】(5067341) ＩＳ パック入 ストレートドリル 11．6mm 発注単位1[rn]
19-21152,,4899.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ダイジェット工業/ダイジェット ドリル【TLDM034】(8200410) ダイジェット タイラードリル 発注単位1,切削工具\穴あけ工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●正面が”平ら”な座ぐり加工用ドリルです。<br>
●傾斜面や交差穴加工でも下穴なしで安定加工が可能です。<br>
●広い溝形状で切り粉処理性に優れています。<br>
●薄板の穴あけ加工において一般のドリルよりバリの発生が少ないです。<br>
●他社品に比べ切削抵抗を約2割削減、高精度で長寿命。<br>
●炭素鋼からプリハードン鋼、ステンレス鋼、アルミ合金まで幅広い被削材に対応しています。<br>
●被削材:軟鋼、炭素鋼、合金鋼、プリハードン鋼、ステンレス鋼、アルミ合金、鋳鉄に最適。<br>
●刃径(mm):3.4<br>
●溝長(mm):13<br>
●全長(mm):60<br>
●シャンク径(mm):4<br>
●表面処理:DZコーティング(TiAIN系)<br>
●有効加工深さ:2D(刃径×2倍)<br>
●刃径φDc:3.4<br>
●刃長l1:13<br>
●シャンク長l2:40<br>
●全長L:60<br>
●シャンク径φDs:4<br>
●先端角180ﾟフラット<br>
●ねじれ角30ﾟ<br>
●超硬合金",■〒ダイジェット工業/ダイジェット ドリル【TLDM034】(8200410) ダイジェット タイラードリル 発注単位1：クローバー資材館,■〒ダイジェット工業/ダイジェット ドリル【TLDM034】(8200410) ダイジェット タイラードリル 発注単位1,切削工具\穴あけ工具。■〒ダイジェット工業/ダイジェット ドリル【TLDM034】(8200410) ダイジェット タイラードリル 発注単位1[rn]
19-21153,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002860607.jpg?fitin=700:700,10319.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イシハシ精工/ＩＳコバルト正宗ドリル６．７ｍｍ【COD-6.7】 (2895765) 受注単位10,切削工具\穴あけ工具\ハイスドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ステンレス鋼、チタン合金硬鋼などの難削材を問題にしない切れ味のドリルです。<br>●高コバルト系ハイス（HSCO-M42）を母材とし、ステンレス、難削材に最適です。<br>●先端部シャープな尖鋭の切刃になっており、完全な求心性と2倍以上の食い込み早さで素晴らしい切削性を発揮します。",『カード対応OK！』■〒イシハシ精工/ＩＳコバルト正宗ドリル６．７ｍｍ【COD-6.7】 (2895765) 受注単位10：クローバー資材館,『カード対応OK！』■〒イシハシ精工/ＩＳコバルト正宗ドリル６．７ｍｍ【COD-6.7】 (2895765) 受注単位10,切削工具\穴あけ工具\ハイスドリル。『カード対応OK！』■〒イシハシ精工/ＩＳコバルト正宗ドリル６．７ｍｍ【COD-6.7】 (2895765) 受注単位10[rn]
19-21154,,7064.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱マテリアル/三菱【TNMG160308 MC6015】(6716849) ターニングチップ　材種：ＭＣ６０１５ 受注単位10,切削工具\旋削・フライス加工工具\チップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br><br><br><br><br>",『カード対応OK！』■〒三菱マテリアル/三菱【TNMG160308 MC6015】(6716849) ターニングチップ　材種：ＭＣ６０１５ 受注単位10：クローバー資材館,『カード対応OK！』■〒三菱マテリアル/三菱【TNMG160308 MC6015】(6716849) ターニングチップ　材種：ＭＣ６０１５ 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒三菱マテリアル/三菱【TNMG160308 MC6015】(6716849) ターニングチップ　材種：ＭＣ６０１５ 受注単位10[rn]
19-21155,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004719320.jpg?fitin=700:700,18630.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒京セラ/京セラ　溝入れ用ホルダ　　【KGDFL2020X110-3BS】(6479871) 受注単位1,切削工具\旋削・フライス加工工具\ホルダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒京セラ/京セラ　溝入れ用ホルダ　　【KGDFL2020X110-3BS】(6479871) 受注単位1：クローバー資材館,『カード対応OK！』■〒京セラ/京セラ　溝入れ用ホルダ　　【KGDFL2020X110-3BS】(6479871) 受注単位1,切削工具\旋削・フライス加工工具\ホルダー。『カード対応OK！』■〒京セラ/京セラ　溝入れ用ホルダ　　【KGDFL2020X110-3BS】(6479871) 受注単位1[rn]
19-21156,,7692.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒オーエスジー/ＯＳＧ 超硬ドリル【ADO-SUS-3D-6.9】(6365931) ＯＳＧ ステンレス・チタン合金用ドリル(内部給油タイプ) 発注単位1,切削工具\穴あけ工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●切れ味重視の刃先形状、新型溝形状、新型オイルホール形状「ＭＥＧＡ　ＣＯＯＬＥＲ」を採用し、高能率条件下でも「安定した加工」と「長寿命化」を実現。<br>
●新型オイルホール形状はφ６シャンクを超えるサイズから適用しています。<br>
●被削材：低・中・高炭素鋼、合金鋼、ステンレス鋼、鋳鉄、ダクタイル鋼、銅合金、アルミ合金、チタン合金、マグネシウム合金。<br>
●刃径(mm):6.9<br>
●溝長(mm):35<br>
●全長(mm):88<br>
●シャンク径(mm):7<br>
●表面処理：ＷＸＬコーティング<br>
●ねじれ角３０°<br>
●超硬合金（Carbide）",■〒オーエスジー/ＯＳＧ 超硬ドリル【ADO-SUS-3D-6.9】(6365931) ＯＳＧ ステンレス・チタン合金用ドリル(内部給油タイプ) 発注単位1：クローバー資材館,■〒オーエスジー/ＯＳＧ 超硬ドリル【ADO-SUS-3D-6.9】(6365931) ＯＳＧ ステンレス・チタン合金用ドリル(内部給油タイプ) 発注単位1,切削工具\穴あけ工具。■〒オーエスジー/ＯＳＧ 超硬ドリル【ADO-SUS-3D-6.9】(6365931) ＯＳＧ ステンレス・チタン合金用ドリル(内部給油タイプ) 発注単位1[rn]
19-21157,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005455417.jpg?fitin=700:700,13081.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ダイジェット工業/ダイジェットスーパーワンカットエンドミル【DZ-SOCS4100S8-05】 (3405290) 受注単位1,切削工具\旋削・フライス加工工具\超硬スクエアエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●独自開発のブレーカ溝（特許出願中）の採用で、高い切りくず排出性と工具剛性を両立しました。（高送り・溝加工が可能です。）<br>●一般鋼・ステンレス・高硬度材（HRC50）までオールマイティーです。",『カード対応OK！』■〒ダイジェット工業/ダイジェットスーパーワンカットエンドミル【DZ-SOCS4100S8-05】 (3405290) 受注単位1：クローバー資材館,『カード対応OK！』■〒ダイジェット工業/ダイジェットスーパーワンカットエンドミル【DZ-SOCS4100S8-05】 (3405290) 受注単位1,切削工具\旋削・フライス加工工具\超硬スクエアエンドミル。『カード対応OK！』■〒ダイジェット工業/ダイジェットスーパーワンカットエンドミル【DZ-SOCS4100S8-05】 (3405290) 受注単位1[rn]
19-21158,,478.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　部品【HKY20F】(6664709) 受注単位1,切削工具\旋削・フライス加工工具\ホルダー,,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　部品【HKY20F】(6664709) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　部品【HKY20F】(6664709) 受注単位1,切削工具\旋削・フライス加工工具\ホルダー。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　部品【HKY20F】(6664709) 受注単位1[rn]
19-21159,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002870204.jpg?fitin=700:700,1036.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒弥満和製作所/ヤマワ　センタードリル９０°【CEQ-2 (45X6.0MM)】(1208462) 受注単位1,切削工具\面取り工具\センタードリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●溝のねじれが強いので、特に軟らかい材料、または比較的粘い材料に適しています。",『カード対応OK！』■〒弥満和製作所/ヤマワ　センタードリル９０&deg;【CEQ-2 (45X6.0MM)】(1208462) 受注単位1：クローバー資材館,『カード対応OK！』■〒弥満和製作所/ヤマワ　センタードリル９０&deg;【CEQ-2 (45X6.0MM)】(1208462) 受注単位1,切削工具\面取り工具\センタードリル。『カード対応OK！』■〒弥満和製作所/ヤマワ　センタードリル９０&deg;【CEQ-2 (45X6.0MM)】(1208462) 受注単位1[rn]
19-21160,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002566988.jpg?fitin=700:700,63460.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　Ｇコーティングテーパードリル３９．０ｍｍ【GTDD3900M4】(6652824) 受注単位1,切削工具\穴あけ工具\テーパーシャンクドリル,,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　Ｇコーティングテーパードリル３９．０ｍｍ【GTDD3900M4】(6652824) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　Ｇコーティングテーパードリル３９．０ｍｍ【GTDD3900M4】(6652824) 受注単位1,切削工具\穴あけ工具\テーパーシャンクドリル。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　Ｇコーティングテーパードリル３９．０ｍｍ【GTDD3900M4】(6652824) 受注単位1[rn]
19-21161,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004371367.jpg?fitin=700:700,8755.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒サンドビック/サンドビック　Ｔ－Ｍａｘ　Ｐ　旋削用ネガ・チップ　１１２５【CNMG 12 04 04-SM  1125】(6065082) 受注単位10,切削工具\旋削・フライス加工工具\チップ,,『カード対応OK！』■〒サンドビック/サンドビック　Ｔ&minus;Ｍａｘ　Ｐ　旋削用ネガ・チップ　１１２５【CNMG 12 04 04-SM  1125】(6065082) 受注単位10：クローバー資材館,『カード対応OK！』■〒サンドビック/サンドビック　Ｔ&minus;Ｍａｘ　Ｐ　旋削用ネガ・チップ　１１２５【CNMG 12 04 04-SM  1125】(6065082) 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒サンドビック/サンドビック　Ｔ&minus;Ｍａｘ　Ｐ　旋削用ネガ・チップ　１１２５【CNMG 12 04 04-SM  1125】(6065082) 受注単位10[rn]
19-21162,,11487.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　スモールツール　超硬【CCET09T304L-SR     HTI10】(6594948) 受注単位10,切削工具\旋削・フライス加工工具\チップ,,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　スモールツール　超硬【CCET09T304L-SR     HTI10】(6594948) 受注単位10：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　スモールツール　超硬【CCET09T304L-SR     HTI10】(6594948) 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　スモールツール　超硬【CCET09T304L-SR     HTI10】(6594948) 受注単位10[rn]
19-21163,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002872810.jpg?fitin=700:700,1615.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧＥＸゴールドドリル一般加工用レギュラ５．３【EX-GDR-5.3 (60553)】 (1012223) 受注単位1,切削工具\穴あけ工具\ハイスコーティングドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●汎用性が高く、直径4～5倍までのノンステップ高速加工を実現します。<br>●ドリル先端中心部は、細井理論応用による新R刃形を採用しています。<br>●高速、高送りが可能です。切りくずは遷移折断形分断によりステップ切削が不要です。<br>●耐摩耗性、耐溶着性に優れたTiNコーティングを採用しています。<br>●溝フォームは芯厚が厚い高剛性タイプです。<br>●加工穴の位置精度が安定するため、ポンチ打ちやセンタリングが不要です。",『カード対応OK！』■〒オーエスジー/ＯＳＧＥＸゴールドドリル一般加工用レギュラ５．３【EX-GDR-5.3 (60553)】 (1012223) 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧＥＸゴールドドリル一般加工用レギュラ５．３【EX-GDR-5.3 (60553)】 (1012223) 受注単位1,切削工具\穴あけ工具\ハイスコーティングドリル。『カード対応OK！』■〒オーエスジー/ＯＳＧＥＸゴールドドリル一般加工用レギュラ５．３【EX-GDR-5.3 (60553)】 (1012223) 受注単位1[rn]
19-21164,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002872806.jpg?fitin=700:700,1422.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧハイスエンドミル２刃ショート７．５【EDS-7.5 (80015)】 (2005883) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●使い勝手の良いスタンダードタイプのスクエアエンドミルです。",『カード対応OK！』■〒オーエスジー/ＯＳＧハイスエンドミル２刃ショート７．５【EDS-7.5 (80015)】 (2005883) 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧハイスエンドミル２刃ショート７．５【EDS-7.5 (80015)】 (2005883) 受注単位1,切削工具\旋削・フライス加工工具\ハイススクエアエンドミル。『カード対応OK！』■〒オーエスジー/ＯＳＧハイスエンドミル２刃ショート７．５【EDS-7.5 (80015)】 (2005883) 受注単位1[rn]
19-21165,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005449202.jpg?fitin=700:700,4373.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日進工具/ＮＳアルミ専用ＥＭ (２倍刃長タイプ）ＡＬ２Ｄ－２Φ８【AL2D-28】 (4240219) 受注単位1,切削工具\旋削・フライス加工工具\超硬スクエアエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●あらゆる条件で安定した高能率加工を実現します。",『カード対応OK！』■〒日進工具/ＮＳアルミ専用ＥＭ (２倍刃長タイプ）ＡＬ２Ｄ&minus;２Φ８【AL2D-28】 (4240219) 受注単位1：クローバー資材館,『カード対応OK！』■〒日進工具/ＮＳアルミ専用ＥＭ (２倍刃長タイプ）ＡＬ２Ｄ&minus;２Φ８【AL2D-28】 (4240219) 受注単位1,切削工具\旋削・フライス加工工具\超硬スクエアエンドミル。『カード対応OK！』■〒日進工具/ＮＳアルミ専用ＥＭ (２倍刃長タイプ）ＡＬ２Ｄ&minus;２Φ８【AL2D-28】 (4240219) 受注単位1[rn]
19-21166,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004706713.jpg?fitin=700:700,6432.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒京セラ/京セラ　溝入れ用チップ　超硬　ＫＷ１０【PSGR0620-70S  KW10】(2568616) 受注単位1,切削工具\旋削・フライス加工工具\チップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒京セラ/京セラ　溝入れ用チップ　超硬　ＫＷ１０【PSGR0620-70S  KW10】(2568616) 受注単位1：クローバー資材館,『カード対応OK！』■〒京セラ/京セラ　溝入れ用チップ　超硬　ＫＷ１０【PSGR0620-70S  KW10】(2568616) 受注単位1,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒京セラ/京セラ　溝入れ用チップ　超硬　ＫＷ１０【PSGR0620-70S  KW10】(2568616) 受注単位1[rn]
19-21167,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004719257.jpg?fitin=700:700,11750.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒京セラ/京セラ　突切り用ホルダ　　【KTKB26-2S】(1440829) 受注単位1,切削工具\旋削・フライス加工工具\ホルダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒京セラ/京セラ　突切り用ホルダ　　【KTKB26-2S】(1440829) 受注単位1：クローバー資材館,『カード対応OK！』■〒京セラ/京セラ　突切り用ホルダ　　【KTKB26-2S】(1440829) 受注単位1,切削工具\旋削・フライス加工工具\ホルダー。『カード対応OK！』■〒京セラ/京セラ　突切り用ホルダ　　【KTKB26-2S】(1440829) 受注単位1[rn]
19-21168,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005482255.jpg?fitin=700:700,1528.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ユニカ/ユニカ　ＨＳＳハイスホールソー（ツバ無し）　１６ｍｍ【HSS-16TN】(4168569) 受注単位1,切削工具\穴あけ工具\ホールカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●インパクト軸シャンクの採用で、電気ドリルからインパクトドライバーまで幅広くご使用いただけます。<br>●有効深さ40mmのボディーとツバなし仕様により、被削材の貫通作業が可能です。",『カード対応OK！』■〒ユニカ/ユニカ　ＨＳＳハイスホールソー（ツバ無し）　１６ｍｍ【HSS-16TN】(4168569) 受注単位1：クローバー資材館,『カード対応OK！』■〒ユニカ/ユニカ　ＨＳＳハイスホールソー（ツバ無し）　１６ｍｍ【HSS-16TN】(4168569) 受注単位1,切削工具\穴あけ工具\ホールカッター。『カード対応OK！』■〒ユニカ/ユニカ　ＨＳＳハイスホールソー（ツバ無し）　１６ｍｍ【HSS-16TN】(4168569) 受注単位1[rn]
19-21169,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002872872.jpg?fitin=700:700,648.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋステンレス用ストレートドリルブリスタータイプ【BKSDD0470 (B-KSD-4.7)】 (2019493) 受注単位1,切削工具\穴あけ工具\ハイスドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●刃先の切れ味がよく、特に200HB以下のステンレス材の加工に最適です。",『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋステンレス用ストレートドリルブリスタータイプ【BKSDD0470 (B-KSD-4.7)】 (2019493) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋステンレス用ストレートドリルブリスタータイプ【BKSDD0470 (B-KSD-4.7)】 (2019493) 受注単位1,切削工具\穴あけ工具\ハイスドリル。『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋステンレス用ストレートドリルブリスタータイプ【BKSDD0470 (B-KSD-4.7)】 (2019493) 受注単位1[rn]
19-21170,,8240.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ビック・ツール/ＢＩＣ ＴＯＯＬ ドリル【GKD9.7】(7839073) ＢＩＣ ＴＯＯＬ 月光ドリル 9．7mm 発注単位5,切削工具\穴あけ工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●刃先先端部の形状に独自の技術を採用し驚愕の切れ味を実現します。<br>
●食付き、切削能力、切りくずの排出性を大幅に改善しました。<br>
●被削材:ステンレス鋼、難削材、一般鋼、軟鋼、パイプなど。<br>
●刃径(mm):9.7<br>
●溝長(mm):95<br>
●全長(mm):130<br>
●シャンク径(mm):9.7<br>
●有効加工深さ：3Ｄ（刃径×3倍）<br>
●コバルト高速度鋼（HSCO-M35）",■〒ビック・ツール/ＢＩＣ ＴＯＯＬ ドリル【GKD9.7】(7839073) ＢＩＣ ＴＯＯＬ 月光ドリル 9．7mm 発注単位5：クローバー資材館,■〒ビック・ツール/ＢＩＣ ＴＯＯＬ ドリル【GKD9.7】(7839073) ＢＩＣ ＴＯＯＬ 月光ドリル 9．7mm 発注単位5,切削工具\穴あけ工具。■〒ビック・ツール/ＢＩＣ ＴＯＯＬ ドリル【GKD9.7】(7839073) ＢＩＣ ＴＯＯＬ 月光ドリル 9．7mm 発注単位5[rn]
19-21171,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002662906.jpg?fitin=700:700,14256.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒富士元工業/富士元　ＲスペシャルＪｒ．　シャンクφ２５【NK25-05R】(2087774) 受注単位1,切削工具\面取り工具\工作機用面取り工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●チップ交換式で0.5～5RまでのR面取り加工が可能です。<br>●1個のチップで4面使える超硬チップ、寿命はハイスの5倍以上です。",『カード対応OK！』■〒富士元工業/富士元　ＲスペシャルＪｒ．　シャンクφ２５【NK25-05R】(2087774) 受注単位1：クローバー資材館,『カード対応OK！』■〒富士元工業/富士元　ＲスペシャルＪｒ．　シャンクφ２５【NK25-05R】(2087774) 受注単位1,切削工具\面取り工具\工作機用面取り工具。『カード対応OK！』■〒富士元工業/富士元　ＲスペシャルＪｒ．　シャンクφ２５【NK25-05R】(2087774) 受注単位1[rn]
19-21172,http://tshop.r10s.jp/clover9608/cabinet/youki4/sus-siyou.jpg?fitin=700:700,22799.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』###ω関東冷熱工業【KRCL-20LS】小型保冷庫 KRクールBOX-S 内面ステンレス 20L,当店おすすめ商品\☆当店おすすめ商品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<font color=""#ff0000""><b>●本州以外への配送は別途追加送料がかかります。詳しくはお問い合わせください。</b></font><br>※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br><b>●写真はイメージ画像となります。ご注文の際は、型番、色、寸法等お確かめの上ご注文ください。</b><br>
サビに強く、耐水性・耐食性に優れる!<br>
外面材：ガルバリウム鋼板<br>
内面材：ステンレス<br>
標準装備：樹脂製ファスナー/専用ヒンジ/難燃性ゴム脚/コーナーガード<br>
扉仕様：片開きオープン扉<br>
内容量20Lタイプ<br><br>外寸法：Ｗ405×Ｄ330×Ｈ310<br>
内寸法：Ｗ325×Ｄ250×Ｈ250<br><br>",『カード対応OK！』###ω関東冷熱工業【KRCL-20LS】小型保冷庫 KRクールBOX-S 内面ステンレス 20L：クローバー資材館,『カード対応OK！』###ω関東冷熱工業【KRCL-20LS】小型保冷庫 KRクールBOX-S 内面ステンレス 20L,当店おすすめ商品\☆当店おすすめ商品 。『カード対応OK！』###ω関東冷熱工業【KRCL-20LS】小型保冷庫 KRクールBOX-S 内面ステンレス 20L[rn]
