19-170401,http://tshop.r10s.jp/tsuruha/cabinet/shouhin19/4987033409047.jpg?fitin=700:700,416.8000,,,【第2類医薬品】太田胃散　太田胃散　分包　(16包)　ツルハドラッグ,,"発送予定時期　：　4-5営業日<br>※上記はおひとつ購入の場合の目安です。<br>
※本商品は医薬品となります。ご購入にあたっては必ずPC版にて商品内容をご確認のうえご購入ください。<br>
※お買い上げいただける個数は5個までです<br><BR>JANコード：4987033409047<BR>",【第2類医薬品】太田胃散　太田胃散　分包　(16包)　ツルハドラッグ：ツルハドラッグ,ドラッグストアスキンケア化粧品ベビー薬健康ツルハツルハドラッグダイエット健康食品サプリハブラシヘアケアエゾエース入浴剤ナップルツルハグループ介護用品医薬品生コラーゲン【第2類医薬品】太田胃散　太田胃散　分包　(16包)　ツルハドラッグ,【第2類医薬品】太田胃散　太田胃散　分包　(16包)　ツルハドラッグ[rn]
19-170412,http://tshop.r10s.jp/katuhara/cabinet/00861916/img62701841.jpg?fitin=700:700,608.0000,,,【第2類医薬品】 スメクタテスミン 10包,佐藤製薬 下痢 食あたり 水あたり 軟便,"こちらの商品はお1人様5個までとさせていただきます。<br><br>区分：第2類医薬品<br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br>
<br>
<br>主に地中海原産の天然ケイ酸アルミニウムを配合し、腸内において有害物質などを吸着することで、下痢・食あたり・水あたりに効果をあらわします。
<br>
詳細はPC版ページをご確認下さい。<BR><BR><IMG src=""http://image.rakuten.co.jp/katuhara/cabinet/00009254/img64363921.gif"" width=""100%"" border=""0"">",【第2類医薬品】 スメクタテスミン 10包：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップ【第2類医薬品】 スメクタテスミン 10包,佐藤製薬 下痢 食あたり 水あたり 軟便。【第2類医薬品】 スメクタテスミン 10包[rn]
19-170413,http://tshop.r10s.jp/katuhara/cabinet/00861916/img62711807.jpg?fitin=700:700,358.4000,,,【第2類医薬品】 セイドーストッピー 6包,アラクス 下痢 食あたり 水あたり 軟便,"区分：第2類医薬品<br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br>
<br>この商品はお１人様5つまでとさせていただきます。
<br>セイドーストッピーは、突然の下痢や、痛みを伴う下痢にサッとのめる顆粒の下痢止め薬です。シナモン味でのみやすく、タンニン酸ベルベリン、ロートエキスに2種の止瀉、健胃生薬を加え、下痢、腹痛を伴う下痢によく効きます。<br>
詳細はPC版ページをご確認下さい。<BR><BR><IMG src=""http://image.rakuten.co.jp/katuhara/cabinet/00009254/img64363921.gif"" width=""100%"" border=""0"">",【第2類医薬品】 セイドーストッピー 6包：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップ【第2類医薬品】 セイドーストッピー 6包,アラクス 下痢 食あたり 水あたり 軟便。【第2類医薬品】 セイドーストッピー 6包[rn]
19-170414,http://tshop.r10s.jp/katuhara/cabinet/00861916/img62675704.jpg?fitin=700:700,517.6000,,,【第2類医薬品】 大幸 セイロガン糖衣A 携帯用 24錠 イエロー,大幸薬品 ラッパのマーク 正露丸 下痢 食あたり,"区分：第2類医薬品<br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br>
<br>この商品はお１人様5つまでとさせていただきます
<br>胃腸薬　セイロガン糖衣Aは100年以上前から使用されている正露丸の姉妹品です。<br>
セイロガン糖衣Aは、ご家族（5才以上）のみなさまに使用されている常備薬です。<br>
<br>
天然成分の日本薬局方木（もく）クレオソートは腸の運動を止めないで、腸内の水分バランスを調整し、おなかに作用します。特に食あたり、水あたり、消化不良といった食べ物、飲み物が原因で起こる軟便、下痢および、ストレス、かぜなどの原因で起こる軟便、下痢にすぐれた効き目を発揮します。<br>
<br>
本剤は主成分の日本薬局方木(もく)クレオソートをはじめ、ゲンノショウコ末およびオウバク乾燥エキスなどの生薬を配合した白い錠剤です。<br>
詳細はPC版ページをご確認下さい。<BR><BR><IMG src=""http://image.rakuten.co.jp/katuhara/cabinet/00009254/img64363921.gif"" width=""100%"" border=""0"">",【第2類医薬品】 大幸 セイロガン糖衣A 携帯用 24錠 イエロー：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップ【第2類医薬品】 大幸 セイロガン糖衣A 携帯用 24錠 イエロー,大幸薬品 ラッパのマーク 正露丸 下痢 食あたり。【第2類医薬品】 大幸 セイロガン糖衣A 携帯用 24錠 イエロー[rn]
19-170415,http://tshop.r10s.jp/katuhara/cabinet/00861916/img62706327.jpg?fitin=700:700,558.4000,,,【第2類医薬品】 テスミンエース 12カプセル,佐藤製薬 下痢 食あたり 水あたり 軟便,"区分：第2類医薬品<br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br>
<br>この商品はお１人様5つまでとさせていただきます。
<br>口の中で溶かし、水なしでのめるため、電車の中など場所を選ばずにのむことができます。<br>
生薬ロートコンから抽出したロートエキスが、腸の異常収縮を抑え、腸内での便の移行スピードを抑えます。さらに、タンニン酸ベルベリンが腸粘膜の炎症を抑えるとともに下痢の原因菌を殺菌し、食あたり・水あたり等の下痢に効果を発揮します。<br>
口の中でふわっと溶けるストッパ。水なしでサッとのめるから、どんなシーンでも服用できます。<br>
詳細はPC版ページをご確認下さい。<BR><BR><IMG src=""http://image.rakuten.co.jp/katuhara/cabinet/00009254/img64363921.gif"" width=""100%"" border=""0"">",【第2類医薬品】 テスミンエース 12カプセル：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップ【第2類医薬品】 テスミンエース 12カプセル,佐藤製薬 下痢 食あたり 水あたり 軟便。【第2類医薬品】 テスミンエース 12カプセル[rn]
19-170416,http://tshop.r10s.jp/katuhara/cabinet/00861916/img62700805.jpg?fitin=700:700,440.0000,,,【第2類医薬品】 大正下痢止め 小児用 6包,大正製薬 下痢 食あたり 水あたり 軟便,"区分：第2類医薬品<br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br>
<br>この商品はお１人様5つまでとさせていただきます。
<br>大正下痢止め〈小児用〉は、服用させやすいバナナ味の微粒剤で口の中でサッと溶けます。3ヵ月以上の乳児から服用でき、5つの成分が効果的に下痢を改善します。<br>
詳細はPC版ページをご確認下さい。<BR><BR><IMG src=""http://image.rakuten.co.jp/katuhara/cabinet/00009254/img64363921.gif"" width=""100%"" border=""0"">",【第2類医薬品】 大正下痢止め 小児用 6包：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップ【第2類医薬品】 大正下痢止め 小児用 6包,大正製薬 下痢 食あたり 水あたり 軟便。【第2類医薬品】 大正下痢止め 小児用 6包[rn]
19-170417,http://tshop.r10s.jp/katuhara/cabinet/00861916/img62711809.jpg?fitin=700:700,318.4000,,,【第2類医薬品】 セイドーA 12錠,アラクス 下痢 食あたり 水あたり 軟便,"区分：第2類医薬品<br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br>
<br>この商品はお１人様5つまでとさせていただきます。
<br>下痢は、のみ過ぎ・たべ過ぎ、腸の細菌感染やストレスなどで起こります。
セイドーAは、殺菌作用、腸を整える作用、腹痛を抑える作用のある4つの成分を効果的に配合し、腸の機能を正常に整え、下痢や食あたりによく効く小粒でのみやすい下痢止め錠剤です。<br>
詳細はPC版ページをご確認下さい。<BR><BR><IMG src=""http://image.rakuten.co.jp/katuhara/cabinet/00009254/img64363921.gif"" width=""100%"" border=""0"">",【第2類医薬品】 セイドーA 12錠：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップ【第2類医薬品】 セイドーA 12錠,アラクス 下痢 食あたり 水あたり 軟便。【第2類医薬品】 セイドーA 12錠[rn]
19-170418,http://tshop.r10s.jp/katuhara/cabinet/00861916/img62669333.jpg?fitin=700:700,478.4000,,,【第2類医薬品】 大幸 正露丸 携帯用 30粒,大幸薬品 ラッパのマーク セイロガン 下痢 食あたり むし歯痛,"区分：第2類医薬品<br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br>
<br>この商品はお１人様5つまでとさせていただきます
<br>胃腸薬　正露丸は、100年以上前から、ご家族（5才以上）のみなさまに使用されている常備薬です。<br>
天然成分の日本薬局方（日局）木（もく）クレオソートは腸の運動を止めないで、腸内の水分バランスを調整し、おなかに作用します。<br>
特に食あたり、水あたり、消化不良といった食べ物、飲み物が原因で起こる軟便、下痢およびストレス、かぜなどの原因で起こる軟便、下痢にすぐれた効き目を発揮します。<br>
<br>
本剤は主成分の日局木(もく)クレオソートをはじめアセンヤク末、オウバク末、カンゾウ末および陳皮（ちんぴ）末などの生薬を配合した特異なにおいを持つすこし湿ったやわらかい丸剤です。<br>
詳細はPC版ページをご確認下さい。<BR><BR><IMG src=""http://image.rakuten.co.jp/katuhara/cabinet/00009254/img64363921.gif"" width=""100%"" border=""0"">",【第2類医薬品】 大幸 正露丸 携帯用 30粒：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップ【第2類医薬品】 大幸 正露丸 携帯用 30粒,大幸薬品 ラッパのマーク セイロガン 下痢 食あたり むし歯痛。【第2類医薬品】 大幸 正露丸 携帯用 30粒[rn]
19-170419,http://tshop.r10s.jp/katuhara/cabinet/00861916/img62701738.jpg?fitin=700:700,608.0000,,,【第2類医薬品】 ビオフェルミン下痢止め 30錠,武田 下痢 食あたり 水あたり 軟便,"区分：第2類医薬品<br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br>
<br>この商品はお１人様5つまでとさせていただきます。
<br>「ロートエキス」と「シャクヤクエキス」が下痢でおなかがいたいときに効果的にはたらきます。<br>
「タンニン酸ベルベリン」、「ゲンノショウコ乾燥エキス」がいたんだ腸粘膜を保護し、下痢を改善します。<br>
　「ビフィズス菌」が便性（下痢便状態）を改善し、おなかにやさしくはたらきます。<br>
　苦み、においが少ない、のみやすい淡黄かっ色～黄かっ色の錠剤で、携帯に便利なPTP包装です。<br>
詳細はPC版ページをご確認下さい。<BR><BR><IMG src=""http://image.rakuten.co.jp/katuhara/cabinet/00009254/img64363921.gif"" width=""100%"" border=""0"">",【第2類医薬品】 ビオフェルミン下痢止め 30錠：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップ【第2類医薬品】 ビオフェルミン下痢止め 30錠,武田 下痢 食あたり 水あたり 軟便。【第2類医薬品】 ビオフェルミン下痢止め 30錠[rn]
19-170420,http://tshop.r10s.jp/katuhara/cabinet/00861916/img62678350.jpg?fitin=700:700,288.0000,,,【第2類医薬品】 イヅミ 正露丸 130粒,和泉薬品 セイロガン 下痢 食あたり,"区分：第2類医薬品<br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br>
<br>この商品はお１人様5つまでとさせていただきます。
<br>食べ過ぎ、飲み過ぎ、冷えなどや、とくに夏場に見られるように胃腸機能が低下しますと、とかく下痢を起こします。こんなときに止瀉薬を服用してください。
イヅミ正露丸は腸内殺菌剤などが配合された止瀉薬（下痢止め）です。<br>
詳細はPC版ページをご確認下さい。<BR><BR><IMG src=""http://image.rakuten.co.jp/katuhara/cabinet/00009254/img64363921.gif"" width=""100%"" border=""0"">",【第2類医薬品】 イヅミ 正露丸 130粒：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップ【第2類医薬品】 イヅミ 正露丸 130粒,和泉薬品 セイロガン 下痢 食あたり。【第2類医薬品】 イヅミ 正露丸 130粒[rn]
19-170421,http://tshop.r10s.jp/katuhara/cabinet/00861916/img62678351.jpg?fitin=700:700,746.4000,,,【第2類医薬品】 イヅミ 正露丸 550粒,和泉薬品 セイロガン 下痢 食あたり,"区分：第2類医薬品<br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br>
<br>この商品はお１人様5つまでとさせていただきます。
<br>食べ過ぎ、飲み過ぎ、冷えなどや、とくに夏場に見られるように胃腸機能が低下しますと、とかく下痢を起こします。こんなときに止瀉薬を服用してください。
イヅミ正露丸は腸内殺菌剤などが配合された止瀉薬（下痢止め）です。<br>
詳細はPC版ページをご確認下さい。<BR><BR><IMG src=""http://image.rakuten.co.jp/katuhara/cabinet/00009254/img64363921.gif"" width=""100%"" border=""0"">",【第2類医薬品】 イヅミ 正露丸 550粒：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップ【第2類医薬品】 イヅミ 正露丸 550粒,和泉薬品 セイロガン 下痢 食あたり。【第2類医薬品】 イヅミ 正露丸 550粒[rn]
19-170422,http://tshop.r10s.jp/katuhara/cabinet/00861916/img62669331.jpg?fitin=700:700,1824.0000,,,【第2類医薬品】 大幸 正露丸 400粒,大幸薬品 ラッパのマーク セイロガン 下痢 食あたり むし歯痛,"区分：第2類医薬品<br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br>
<br>この商品はお１人様5つまでとさせていただきます
<br>胃腸薬　正露丸は、100年以上前から、ご家族（5才以上）のみなさまに使用されている常備薬です。<br>
天然成分の日本薬局方（日局）木（もく）クレオソートは腸の運動を止めないで、腸内の水分バランスを調整し、おなかに作用します。<br>
特に食あたり、水あたり、消化不良といった食べ物、飲み物が原因で起こる軟便、下痢およびストレス、かぜなどの原因で起こる軟便、下痢にすぐれた効き目を発揮します。<br>
<br>
本剤は主成分の日局木(もく)クレオソートをはじめアセンヤク末、オウバク末、カンゾウ末および陳皮（ちんぴ）末などの生薬を配合した特異なにおいを持つすこし湿ったやわらかい丸剤です。<br>
詳細はPC版ページをご確認下さい。<BR><BR><IMG src=""http://image.rakuten.co.jp/katuhara/cabinet/00009254/img64363921.gif"" width=""100%"" border=""0"">",【第2類医薬品】 大幸 正露丸 400粒：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップ【第2類医薬品】 大幸 正露丸 400粒,大幸薬品 ラッパのマーク セイロガン 下痢 食あたり むし歯痛。【第2類医薬品】 大幸 正露丸 400粒[rn]
19-170423,http://tshop.r10s.jp/katuhara/cabinet/00861916/img62670400.jpg?fitin=700:700,528.0000,,,【第2類医薬品】 大幸 セイロガン糖衣A 36錠【あす楽対応_関東】【あす楽対応_北陸】【あす楽対応_東海】【あす楽対応_近畿】【あす楽対応_中国】【あす楽対応_四国】【HLS_DU】,大幸薬品 ラッパのマーク 正露丸 下痢 食あたり,"区分：第2類医薬品<br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br>
<br>
<br>胃腸薬　セイロガン糖衣Aは100年以上前から使用されている正露丸の姉妹品です。<br>
セイロガン糖衣Aは、ご家族（5才以上）のみなさまに使用されている常備薬です。<br>
<br>
天然成分の日本薬局方木（もく）クレオソートは腸の運動を止めないで、腸内の水分バランスを調整し、おなかに作用します。特に食あたり、水あたり、消化不良といった食べ物、飲み物が原因で起こる軟便、下痢および、ストレス、かぜなどの原因で起こる軟便、下痢にすぐれた効き目を発揮します。<br>
<br>
本剤は主成分の日本薬局方木(もく)クレオソートをはじめ、ゲンノショウコ末およびオウバク乾燥エキスなどの生薬を配合した白い錠剤です。<br>
詳細はPC版ページをご確認下さい。",【第2類医薬品】 大幸 セイロガン糖衣A 36錠【あす楽対応_関東】【あす楽対応_北陸】【あす楽対応_東海】【あす楽対応_近畿】【あす楽対応_中国】【あす楽対応_四国】【HLS_DU】：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップ【第2類医薬品】 大幸 セイロガン糖衣A 36錠【あす楽対応_関東】【あす楽対応_北陸】【あす楽対応_東海】【あす楽対応_近畿】【あす楽対応_中国】【あす楽対応_四国】【HLS_DU】,大幸薬品 ラッパのマーク 正露丸 下痢 食あたり。【第2類医薬品】 大幸 セイロガン糖衣A 36錠【あす楽対応_関東】【あす楽対応_北陸】【あす楽対応_東海】【あす楽対応_近畿】【あす楽対応_中国】【あす楽対応_四国】【HLS_DU】[rn]
19-170424,http://tshop.r10s.jp/katuhara/cabinet/00861916/img62670400.jpg?fitin=700:700,528.0000,,,【第2類医薬品】 大幸 セイロガン糖衣A 36錠,大幸薬品 ラッパのマーク 正露丸 下痢 食あたり,"区分：第2類医薬品<br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br>
<br>この商品はお１人様5つまでとさせていただきます
<br>胃腸薬　セイロガン糖衣Aは100年以上前から使用されている正露丸の姉妹品です。<br>
セイロガン糖衣Aは、ご家族（5才以上）のみなさまに使用されている常備薬です。<br>
<br>
天然成分の日本薬局方木（もく）クレオソートは腸の運動を止めないで、腸内の水分バランスを調整し、おなかに作用します。特に食あたり、水あたり、消化不良といった食べ物、飲み物が原因で起こる軟便、下痢および、ストレス、かぜなどの原因で起こる軟便、下痢にすぐれた効き目を発揮します。<br>
<br>
本剤は主成分の日本薬局方木(もく)クレオソートをはじめ、ゲンノショウコ末およびオウバク乾燥エキスなどの生薬を配合した白い錠剤です。<br>
詳細はPC版ページをご確認下さい。<BR><BR><IMG src=""http://image.rakuten.co.jp/katuhara/cabinet/00009254/img64363921.gif"" width=""100%"" border=""0"">",【第2類医薬品】 大幸 セイロガン糖衣A 36錠：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップ【第2類医薬品】 大幸 セイロガン糖衣A 36錠,大幸薬品 ラッパのマーク 正露丸 下痢 食あたり。【第2類医薬品】 大幸 セイロガン糖衣A 36錠[rn]
19-170425,http://tshop.r10s.jp/katuhara/cabinet/00861916/img62680416.jpg?fitin=700:700,518.4000,,,【第2類医薬品】 ニッシン 正露丸糖衣錠 72錠,日新薬品 正露丸 下痢 食あたり,"区分：第2類医薬品<br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br>
<br>この商品はお１人様5つまでとさせていただきます
<br>
食物を摂取し、消化・吸収の後、体外に排泄するまでの消化器官による疾患は、実に多種多様です。<br>
暴飲・暴食によるもの、食あたり、水あたり、下痢によるもの等その原因も少なくありません。<br>
消化器官を正常に保ち、栄養状態を良好にして、健康な日常生活をおくることは、誰しもが念願するところです。<br>
ニッシン正露丸糖衣錠は、平素かかり易い一般的な下痢、食あたり、水あたり、くだり腹等に優れた効果をあらわします。<br>
詳細はPC版ページをご確認下さい。<BR><BR><IMG src=""http://image.rakuten.co.jp/katuhara/cabinet/00009254/img64363921.gif"" width=""100%"" border=""0"">",【第2類医薬品】 ニッシン 正露丸糖衣錠 72錠：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップ【第2類医薬品】 ニッシン 正露丸糖衣錠 72錠,日新薬品 正露丸 下痢 食あたり。【第2類医薬品】 ニッシン 正露丸糖衣錠 72錠[rn]
19-170426,http://tshop.r10s.jp/katuhara/cabinet/00861916/img62605296.jpg?fitin=700:700,1184.0000,,,【第2類医薬品】 ★アバロンS 微粒 24包,大正製薬 胃腸薬 胃腸 胃 腸 胃痛 胃部不快感 吐き気 胃もたれ,"区分：第2類医薬品<br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br><br>使用期限：使用期限まで1年以上あるものをお送りします。<br><br>医薬品販売に関する記載事項<br><br>
<br>この商品はお１人様5つまでとさせていただきます
<br>大正製薬 アバロンS 微粒 24包は、ソファルコンを１日量300mg配合した、胃の痛み・不快な胃の症状などに良く効く、微粒の胃腸薬です。
<br>ソファルコンが粘液バリアー層を形成して胃粘膜を保護し、あれた胃粘膜を修復します。３種の制酸剤があれた胃粘膜を刺激する胃酸をおさえます。
<br>
<br>詳細はPC版のページをご確認ください。<BR><BR><IMG src=""http://image.rakuten.co.jp/katuhara/cabinet/00009254/img64363921.gif"" width=""100%"" border=""0"">
<br><br>商品名の★印はセルフメディケーション税制対象商品です。",【第2類医薬品】 ★アバロンS 微粒 24包：かつはらドラッグストアー,サプリメント健康食品ドラッグストア栄養ドリンク大掃除重曹セスキクエン酸救急箱ギフトカロリーメイトソフトサンティアプレゼントクリスマスウイダーチルミルはぐくみ出産祝いおむつケーキリアップ【第2類医薬品】 ★アバロンS 微粒 24包,大正製薬 胃腸薬 胃腸 胃 腸 胃痛 胃部不快感 吐き気 胃もたれ。【第2類医薬品】 ★アバロンS 微粒 24包[rn]
