19-155801,http://tshop.r10s.jp/akibamac/cabinet/04674095/4580096420310.jpg?fitin=700:700,8408.0000,,TV・オーディオ・カメラ > オーディオ > ヘッドホン・イヤホン,【送料無料】KENNERTONカナル型イヤホン LAGUZ（ラグズ）,,・航空機グレードのアルミハウジング<br>・8mmドライバー、マイラー製ダイアフラム<br>・無酸素銅ケーブル<br>・耐久性があり、絡みにくい編込ケーブル<br>・レザーハードケース付き<br>・多種多様なイヤーチップ<br><br>LAGUZはKENNERTONシリーズの中で最も手頃なイヤホンですが、それは品質に妥協したという意味ではありません。LAGUZは他のモデルと同じような品質と卓越性の原理に基づいてデザインされた製品です。<br>LAGUZのドライバーとハウジングは最初から同時に設計され、完全にマッチするように慎重に製造されました。独自性を持った高性能なダイナミック8mmのドライバーは、同価格帯以上のイヤホンと比べても比類のない明瞭さと精度を誇ります。,【送料無料】KENNERTONカナル型イヤホン LAGUZ（ラグズ）：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】KENNERTONカナル型イヤホン LAGUZ（ラグズ）,【送料無料】KENNERTONカナル型イヤホン LAGUZ（ラグズ）[rn]
19-155856,http://tshop.r10s.jp/akibamac/cabinet/04462522/4988028221569.jpg?fitin=700:700,1152.0000,,TV・オーディオ・カメラ > オーディオ > ヘッドホン・イヤホン,パイオニアヘッドホン（パープル） SE-MJ522V 1.2mコード (SEMJ522V),,◆大口径40mmユニット＆豊かな低域再生<br><br>◆折りたたみコンパクトでバッグにスッキリ<br><br>◆低反発ウレタンクッションとレザータイプイヤーパッドで、音漏れ低減&高い装着感,パイオニアヘッドホン（パープル） SE-MJ522V 1.2mコード (SEMJ522V)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンパイオニアヘッドホン（パープル） SE-MJ522V 1.2mコード (SEMJ522V),パイオニアヘッドホン（パープル） SE-MJ522V 1.2mコード (SEMJ522V)[rn]
19-155857,http://tshop.r10s.jp/akibamac/cabinet/05286693/4975769444395.jpg?fitin=700:700,2304.0000,,TV・オーディオ・カメラ > オーディオ > ヘッドホン・イヤホン,JVCケンウッド 子供向けヘッドホン(ミントブルー) HAKS2 Z (HAKS2ミントブルー),,"◆子どもの耳に配慮した低感度設計<br>・音量の誤操作等による耳へのダメージに配慮し、出力音圧レベルを85dB/1mWの低感度に設定しました。<br><br>◆子どもの頭にフィットする小型バンド＆指を挟みにくい設計を採用<br>・子供の頭に合わせやすいコンパクトなバンドを採用。また着用中に子供が指を挟むことを防ぐため、隙間の少ない設計としました。<br><br>◆バンドの長さを自分で簡単に調整できる7段階の番号表示<br>・スライダー部に配置した7段階の番号表示により、自分の頭のサイズに合わせて簡単にヘッドバンドの長さを調整できます。<br><br>◆わかりやすいL/R(左右)表示<br>・ハウジング部に見やすいL/Rを表示することにより、左右のつけ間違いを防止します。<br><br>◆長時間装着してもつけ心地のよいソフトイヤーパッドを採用<br>・絡まりにくく、扱いやすい片出しケーブルを採用<br><br>◆選べるカラフルな４カラーバリエーション<br>・キッズファッションに合わせやすく、好みに合わせて選べるカラフルな４カラーバリエーション。<br><br>◆子どもが楽しめるステッカー同梱＆ステッカーが貼れる幅広スライダーを採用<br>・貼って楽しいステッカーを同梱（A7サイズ×4枚）。幅広のスライダー部にお気に入りのステッカーを貼って、自分だけのデザインが楽しめます。<br><br>【製品仕様】<br>■型式：ダイナッミク型<br>■出力音圧レベル：85dB/1mW<br>■再生周波数帯域：15Hz ～ 23,000Hz<br>■インピーダンス：82Ω<br>■最大許容入力：200mW<br>■ケーブル：0.8m (Y型) OFC<br>■入力プラグ：φ3.5mm 24金メッキＬ型ステレオミニプラグ<br>■本体質量(ケーブル含まず)：約110g（コード含まず）",JVCケンウッド 子供向けヘッドホン(ミントブルー) HAKS2 Z (HAKS2ミントブルー)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンJVCケンウッド 子供向けヘッドホン(ミントブルー) HAKS2 Z (HAKS2ミントブルー),JVCケンウッド 子供向けヘッドホン(ミントブルー) HAKS2 Z (HAKS2ミントブルー)[rn]
19-155858,http://tshop.r10s.jp/akibamac/cabinet/05109910/4951035060360.jpg?fitin=700:700,14400.0000,,TV・オーディオ・カメラ > オーディオ > ヘッドホン・イヤホン,【送料無料】B&W(バウアーズアンドウィルキンス) 折りたたみ式ヘッドホン P3S2,,■マイラー・ダンプド・ラミネート・ダイヤフラム<br><br>■交換可能シープスキン・イヤー・クッション<br><br>■折りたたみ式<br><br>■着脱式ケーブル<br><br>【製品仕様】<br>■ドライブ・ユニット：2 x30mm フルレンジ<br>■周波数帯域：10Hz～20kHz<br>■インピーダンス：34Ω<br>■歪率：＜0.5％ (1kHz/10mW)<br>■感度：111dB/V at 1kHz<br>■入力：3.5mmステレオ・ミニ・ジャック（４極CTIA仕様）：3.5mmステレオ・ミニジャック(3極アンバランス型ステレオ仕様)<br>■質量：130g<br>■付属品：キャリー・ポーチ：標準ケーブル・iPhoneコンパチブル・リモート・ケーブル<br>■ケーブル長：1.2m<br>■高さ/幅/奥行：165mm / 150mm / 48mm,【送料無料】B&amp;W(バウアーズアンドウィルキンス) 折りたたみ式ヘッドホン P3S2：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】B&amp;W(バウアーズアンドウィルキンス) 折りたたみ式ヘッドホン P3S2,【送料無料】B&amp;W(バウアーズアンドウィルキンス) 折りたたみ式ヘッドホン P3S2[rn]
19-155859,http://tshop.r10s.jp/akibamac/cabinet/01789817/4975769391286.jpg?fitin=700:700,936.0000,,TV・オーディオ・カメラ > オーディオ > ヘッドホン・イヤホン,JVCケンウッドステレオヘッドホン(ヘッドバンド型/ホワイト) HA-S160-W 1.2mコード,,◆コンパクト＆スリムボディの4カラーをラインアップコンパクトなハウジングとスリムなヘッドバンドを組み合わせた軽量ボディ。ファッション感覚で選べる4カラーバリエーション（ブルー、ブラック、レッド、ホワイト）をラインアップ。スタイリッシュにリスニングシーンを演出します。◆快適な装着感のメタルヘッドバンド採用丈夫で軽量な『メタルヘッドバンド』を採用。やさしいフィット感で長時間リスニングも快適です。◆遮音性と装着感に優れた密閉型レザータイプイヤーパッド気になる音漏れをおさえ、遮音性に優れた『密閉型レザータイプイヤーパッド』を採用。肌触りもソフトです。◆φ30mmドライバーユニットで高音質再生φ30mmの高磁力ネオジウムドライバーユニット搭載により、デジタルサウンドを迫力ある高音質で楽しめます。◆携帯・収納に便利なフラット折りたたみ式横方向スイーベル機構により、ハウジングを軽くフラットに折りたたんで携帯・収納できます。,JVCケンウッドステレオヘッドホン(ヘッドバンド型/ホワイト) HA-S160-W 1.2mコード：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンJVCケンウッドステレオヘッドホン(ヘッドバンド型/ホワイト) HA-S160-W 1.2mコード,JVCケンウッドステレオヘッドホン(ヘッドバンド型/ホワイト) HA-S160-W 1.2mコード[rn]
19-155860,http://tshop.r10s.jp/akibamac/cabinet/01796642/4975769355370.jpg?fitin=700:700,888.0000,,TV・オーディオ・カメラ > オーディオ > ヘッドホン・イヤホン,Victor/ビクター 小型ヘッドホン HP-X73 3.5mコード,,■快適な装着感で長時間リスニングを可能にする『メタルヘッドバンド』採用！丈夫で軽量な『メタルヘッドバンド』の採用により、快適な装着感で長時間リスニングが楽しめます。■迫力の高音質サウンドを再生する『高磁力ドライバーユニット』採用！高磁力ネオジウムマグネットを採用したφ30mmドライバーユニットの搭載により、パワフルな重低音から繊細な高音までAVコンテンツを臨場感豊かに再生します。■周囲の音を遮断し、迫力ある重低音を再生する『レザータイプ密閉型イヤーパッド』！■テレビやコンポなど、様々な用途に対応する3.5mコード！,Victor/ビクター 小型ヘッドホン HP-X73 3.5mコード：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンVictor/ビクター 小型ヘッドホン HP-X73 3.5mコード,Victor/ビクター 小型ヘッドホン HP-X73 3.5mコード[rn]
19-155861,http://tshop.r10s.jp/akibamac/cabinet/04462522/4988028220661.jpg?fitin=700:700,644.8000,,TV・オーディオ・カメラ > オーディオ > ヘッドホン・イヤホン,パイオニアヘッドホン SE-A611 3.5mコード (SEA611),,長時間使用できる軽量なオープンエアー型。,パイオニアヘッドホン SE-A611 3.5mコード (SEA611)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンパイオニアヘッドホン SE-A611 3.5mコード (SEA611),パイオニアヘッドホン SE-A611 3.5mコード (SEA611)[rn]
19-155862,http://tshop.r10s.jp/akibamac/cabinet/04659793/4961310133313.jpg?fitin=700:700,1008.0000,,TV・オーディオ・カメラ > オーディオ > ヘッドホン・イヤホン,オーディオテクニカヘッドホン ATH-250AV (ATH250AV),,音楽や映画をクリアサウンドで楽しめる。屋内での長時間リスニングに最適な軽量ヘッドホン。,オーディオテクニカヘッドホン ATH-250AV (ATH250AV)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンオーディオテクニカヘッドホン ATH-250AV (ATH250AV),オーディオテクニカヘッドホン ATH-250AV (ATH250AV)[rn]
19-155863,http://tshop.r10s.jp/akibamac/cabinet/03708186/4905524942354.jpg?fitin=700:700,1904.0000,,TV・オーディオ・カメラ > オーディオ > ヘッドホン・イヤホン,SONY/ソニー  MDR-ZX310 H (ヘッドバンド型ステレオヘッドホン/グレー) (MDRZX310H),,コンパクトに持ち歩けるクイック折りたたみ機構を採用した、低域から中域までバランスのとれた高音質を楽しめるステレオヘッドホン。,SONY/ソニー  MDR-ZX310 H (ヘッドバンド型ステレオヘッドホン/グレー) (MDRZX310H)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンSONY/ソニー  MDR-ZX310 H (ヘッドバンド型ステレオヘッドホン/グレー) (MDRZX310H),SONY/ソニー  MDR-ZX310 H (ヘッドバンド型ステレオヘッドホン/グレー) (MDRZX310H)[rn]
19-155864,http://tshop.r10s.jp/akibamac/cabinet/05271849/0877653006204.jpg?fitin=700:700,20000.0000,,TV・オーディオ・カメラ > オーディオ > ヘッドホン・イヤホン,【送料無料】VMODA ヘッドホン XS（WHITE SILVER） XS-U-WSILVER (XSUWSILVER),,Practically Perfect in Every Way<br><br>■独自開発のMクラス40mm デュアル・ダイヤフラム・ドライバー<br>・V-MODA独自技術の40mmデュアル・ダイヤフラム・ドライバーを搭載。内側と外側のリングに中・高域と低域の帯域を分離して再生することで、小型でありながらも高精細でかつ、豊かなロー・レンジを実現しています。<br><br>■STEELFLEXヘッドバンドとスティール制フレームによる優れた堅牢性<br>・XSは、STEELFLEXヘッドバンドを装備しており、ねじれや広がりに強く、ハードな使用にも耐える高い堅牢性を備えています。 また、100万回の折り曲げによる耐久試験をクリアしたケーブルと最も強度のある45度に傾斜しているプラグを採用し細部まで堅牢性を追求しています。<br><br>■小さい女性の頭部にフィットする設計の「Mind The Gap」<br>・XSの「Mind The Gap」は、ヘッドホンを装着した際に頭部とベルトの間にできる隙間を極力無くすことに主眼を置いて設計されたV-MODAのオリジナル・デザインです。頭部にフィットするXSの装着姿は、スタイリッシュでかつ、美しいシルエットを実現します。<br><br>■快適な使用環境を実現するデュアル・インプット<br>・左右のヘッドホンユニット部に各1系統のステレオ・ミニ入力を装備したデュアル・インプット仕様になっています。左右の入力を使用環境に合わせて使い分ける事で快適なリスニング環境を実現します。<br><br>■選べる2色のカラーバリエーション<br>・シックな「マット・ブラック」と華やかな「ホワイト・シルバー」の2色のカラーバリエーションをラインアップ。ファッションや好みに合わせてお選びいただくことができます。<br><br>【製品仕様】<br>■型式：ダイナミック型(オーバーイヤー)<br>■ドライバー：φ40mmデュアル・ダイヤフラム・ドライバー<br>■感度：105dB/mW<br>■インピーダンス：28.5Ω<br>■再生周波数帯域：5～30000Hz<br>■インプット：ステレオ・インプット×2系統<br>■付属品：SharePlay オーディオ・ケーブル/専用キャリング・ケース（カラビナ付）/インプット・ジャック栓/V-MODAロゴ・ステッカー<br>■別売品：BoomPro Microphone/CoilPro Extended Cable<br>■質量（コード含まず）：195g,【送料無料】VMODA ヘッドホン XS（WHITE SILVER） XS-U-WSILVER (XSUWSILVER)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】VMODA ヘッドホン XS（WHITE SILVER） XS-U-WSILVER (XSUWSILVER),【送料無料】VMODA ヘッドホン XS（WHITE SILVER） XS-U-WSILVER (XSUWSILVER)[rn]
19-155865,http://tshop.r10s.jp/akibamac/cabinet/05286693/4975769444364.jpg?fitin=700:700,2304.0000,,TV・オーディオ・カメラ > オーディオ > ヘッドホン・イヤホン,JVCケンウッド 子供向けヘッドホン(ピンク) HA-KS2 P (HAKS2ピンク),,"◆子どもの耳に配慮した低感度設計<br>・音量の誤操作等による耳へのダメージに配慮し、出力音圧レベルを85dB/1mWの低感度に設定しました。<br><br>◆子どもの頭にフィットする小型バンド＆指を挟みにくい設計を採用<br>・子供の頭に合わせやすいコンパクトなバンドを採用。また着用中に子供が指を挟むことを防ぐため、隙間の少ない設計としました。<br><br>◆バンドの長さを自分で簡単に調整できる7段階の番号表示<br>・スライダー部に配置した7段階の番号表示により、自分の頭のサイズに合わせて簡単にヘッドバンドの長さを調整できます。<br><br>◆わかりやすいL/R(左右)表示<br>・ハウジング部に見やすいL/Rを表示することにより、左右のつけ間違いを防止します。<br><br>◆長時間装着してもつけ心地のよいソフトイヤーパッドを採用<br>・絡まりにくく、扱いやすい片出しケーブルを採用<br><br>◆選べるカラフルな４カラーバリエーション<br>・キッズファッションに合わせやすく、好みに合わせて選べるカラフルな４カラーバリエーション。<br><br>◆子どもが楽しめるステッカー同梱＆ステッカーが貼れる幅広スライダーを採用<br>・貼って楽しいステッカーを同梱（A7サイズ×4枚）。幅広のスライダー部にお気に入りのステッカーを貼って、自分だけのデザインが楽しめます。<br><br>【製品仕様】<br>■型式：ダイナッミク型<br>■出力音圧レベル：85dB/1mW<br>■再生周波数帯域：15Hz ～ 23,000Hz<br>■インピーダンス：82Ω<br>■最大許容入力：200mW<br>■ケーブル：0.8m (Y型) OFC<br>■入力プラグ：φ3.5mm 24金メッキＬ型ステレオミニプラグ<br>■本体質量(ケーブル含まず)：約110g（コード含まず）",JVCケンウッド 子供向けヘッドホン(ピンク) HA-KS2 P (HAKS2ピンク)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンJVCケンウッド 子供向けヘッドホン(ピンク) HA-KS2 P (HAKS2ピンク),JVCケンウッド 子供向けヘッドホン(ピンク) HA-KS2 P (HAKS2ピンク)[rn]
19-155866,http://tshop.r10s.jp/akibamac/cabinet/04659793/4961310133320.jpg?fitin=700:700,1474.4000,,TV・オーディオ・カメラ > オーディオ > ヘッドホン・イヤホン,オーディオテクニカヘッドホン ATH-350TV (ATH350TV),,テレビから離れた場所でもクリアな音声が楽しめる。ボリュームコントローラー付き軽量ヘッドホン。,オーディオテクニカヘッドホン ATH-350TV (ATH350TV)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンオーディオテクニカヘッドホン ATH-350TV (ATH350TV),オーディオテクニカヘッドホン ATH-350TV (ATH350TV)[rn]
19-155867,http://tshop.r10s.jp/akibamac/cabinet/05286693/4548736045767.jpg?fitin=700:700,3800.0000,,TV・オーディオ・カメラ > オーディオ > ヘッドホン・イヤホン,【送料無料】ソニー ヘッドホン（ホワイト） MDR-XB550APWC (MDRXB550APWC),,■圧倒的な量感の重低音を実現。ベース・ブースター採用<br>ドライバーユニットから鼓膜までの気密性を高め、さらにダクトにより低域の振動板の動作を最適化。正確なリズムを刻む圧倒的な量感の重低音、そのグルーブ感をダイレクトに伝達します。<br><br>■臨場感に満ちあふれた迫力の重低音サウンド<br>圧倒的な量感の重低音を実現。ベース・ブースター採用<br>ドライバーユニットから鼓膜までの気密性を高め、さらにダクトにより低域の振動板の動作を最適化。正確なリズムを刻む圧倒的な量感の重低音、そのグルーブ感をダイレクトに伝達します。<br><br>■EXTRA BASS専用30mmドライバーで迫力の重低音を再生<br>EXTRA BASS専用30mmドライバーで迫力の重低音を再生<br>耐振幅特性、耐気圧特性を確保し、さらにハイコンプライアンス化したエクストラベース振動板により迫力の重低音再生を実現しました。<br><br>■快適な装着感<br>高い装着性と気密性を両立したイヤーパッド<br>低反撥ウレタンフォームをイヤーパッドに採用し、やわらかく快適な装着性を実現。また、耳の凹凸に追従することで高い気密性を確保し、タイトな低音をダイレクトに伝達します。<br><br>■ヘッドバンドとスライダー部に連続した金属を採用することで、堅牢性と快適な装着性の両立を実現<br>ヘッドバンドとスライダー部に連続した金属を採用することで、堅牢性と快適な装着性の両立を実現<br>頭部形状に沿う形状に設計することで接触面積を増やし、パンチの効いた重低音に負けない安定したフィッティングを実現しました。<br><br>■リモコンでスマートフォンの操作が可能<br>スマートフォンでハンズフリー通話やリモコンでの音楽操作が可能<br>リモコンにマルチファンクションボタンとマイクを内蔵。スマートフォンでハンズフリー通話が可能です。さらに、音楽再生/一時停止もできるので、スマートフォンで音楽を聴くときも便利です（＊）。<br>＊ スマートフォンの機種によって動作が異なることがあります<br><br>■リモコン操作を好みの設定に変えられるXperia（TM）専用（＊）「SmartKeyアプリ」<br>「SmartKeyアプリ」をGoogle Playストアからダウンロードすることで、マルチファンクションボタンによるリモコン操作をカスタマイズできます。ミュージック/通話/保留のカスタム画面から、ボタンを押す回数によってどの操作（再生/一時停止や応答/通話終了など）を行うかの設定が可能です。<br>＊ Android OS 4.0以上のXperia（TM）端末専用です。対象外の端末からや、一部の国・地域ではアプリがダウンロードできないことがあります<br>※ お使いの音楽再生アプリによっては設定と異なる動作をする場合があります。その場合は音楽再生アプリのヘッドセット設定の変更をお試しください<br>※ Android OS 5.0以降では、通話時のアプリカスタマイズ設定が無効化されます。通話/終話はリモコンボタンの1度押しで機能します。今後のAndroid OSのバージョンアップによっては、このアプリケーションのアップデートが必要になる場合があり、それにより機能に変更が加わることがあります<br><br>■持ち運びに便利なスイーベル機構<br>ハウジング部をフラットにできるスイーベル機構を採用。コンパクトに携帯できるポータビリティを実現しました。<br><br>■からみにくいセレーションケーブル<br>丈夫な平型ケーブルを採用。ケーブル表面の細かい溝により、からみの原因である摩擦を低減。リスニング時や持ち歩きも快適です。<br><br>■豊富なカラーバリエーション<br>（G）グリーン、（B）ブラック、（W）グレイッシュホワイト、（L）ブルー、（R）レッドの、計5色をラインアップ。ケーブルは本体カラーと同色でコーディネートしています。<br><br>【製品仕様】<br>■ヘッドホン部 *1<br>型式 密閉、ダイナミック<br>ドライバーユニット 30mm (ドーム型)<br>感度 102dB/mW<br>マグネット ネオジウム<br>再生周波数帯域 5Hz-22000Hz<br>インピーダンス 24 ohm (1KHz)<br>最大入力 *2 1000mW(IEC)<br>コード長 約1.2m<br>コードタイプ Y（フラット）<br>入力プラグ 金メッキL型４極ミニプラグ<br>質量 *3 約180g<br>■マイクロホン部 方式 -<br>型式 エレクトレットコンデンサー<br>指向特性 全指向性<br>音量調整 -<br>有効周波数帯域 20-20000 Hz<br>開回路電圧レベル（0dB=1V/Pa） -40 dB (0 dB = 1 V/Pa)<br>出力インピーダンス -<br>*1 レシーバーのある製品はレシーバー部を含みます<br>*2 IEC（国際電気標準会議）規格による測定値です。<br>*3 コードは含みません,【送料無料】ソニー ヘッドホン（ホワイト） MDR-XB550APWC (MDRXB550APWC)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】ソニー ヘッドホン（ホワイト） MDR-XB550APWC (MDRXB550APWC),【送料無料】ソニー ヘッドホン（ホワイト） MDR-XB550APWC (MDRXB550APWC)[rn]
19-155868,http://tshop.r10s.jp/akibamac/cabinet/04280445/4571341966417.jpg?fitin=700:700,785.6000,,TV・オーディオ・カメラ > オーディオ > ヘッドホン・イヤホン,オズマスマートフォン用［φ3.5mmステレオミニ］　ステレオイヤホンマイク U型 （コード長・ガンメタリック／レッド）　IESM-SP501U-GR,,"〔スマートフォン用［φ3.5mmステレオミニ］：インナーイヤー（通話・音楽）〕
スリムな形状と質の良い音質・高パフォーマンスをほこるイヤホンマイク。【U型】（コード長・ガンメタリック／レッド）",オズマスマートフォン用［φ3.5mmステレオミニ］　ステレオイヤホンマイク U型 （コード長・ガンメタリック／レッド）　IESM-SP501U-GR：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンオズマスマートフォン用［φ3.5mmステレオミニ］　ステレオイヤホンマイク U型 （コード長・ガンメタリック／レッド）　IESM-SP501U-GR,オズマスマートフォン用［φ3.5mmステレオミニ］　ステレオイヤホンマイク U型 （コード長・ガンメタリック／レッド）　IESM-SP501U-GR[rn]
19-155869,http://tshop.r10s.jp/akibamac/cabinet/04280445/4571341966349.jpg?fitin=700:700,808.0000,,TV・オーディオ・カメラ > オーディオ > ヘッドホン・イヤホン,オズマスマートフォン用［φ3.5mmステレオミニ］　ステレオイヤホンマイク Y型 （コード長・ブルー／ブラック）　IESM-SP501Y-BK,,"〔スマートフォン用［φ3.5mmステレオミニ］：インナーイヤー（通話・音楽）〕
スリムな形状と質の良い音質・高パフォーマンスをほこるイヤホンマイク。【Y型】（コード長・ブルー／ブラック）",オズマスマートフォン用［φ3.5mmステレオミニ］　ステレオイヤホンマイク Y型 （コード長・ブルー／ブラック）　IESM-SP501Y-BK：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンオズマスマートフォン用［φ3.5mmステレオミニ］　ステレオイヤホンマイク Y型 （コード長・ブルー／ブラック）　IESM-SP501Y-BK,オズマスマートフォン用［φ3.5mmステレオミニ］　ステレオイヤホンマイク Y型 （コード長・ブルー／ブラック）　IESM-SP501Y-BK[rn]
19-155870,http://tshop.r10s.jp/akibamac/cabinet/04280445/4571341966356.jpg?fitin=700:700,785.6000,,TV・オーディオ・カメラ > オーディオ > ヘッドホン・イヤホン,オズマスマートフォン用［φ3.5mmステレオミニ］　ステレオイヤホンマイク Y型 （コード長・グリーン／ブラック）　IESM-SP501Y-GK,,"〔スマートフォン用［φ3.5mmステレオミニ］：インナーイヤー（通話・音楽）〕
スリムな形状と質の良い音質・高パフォーマンスをほこるイヤホンマイク。【Y型】（コード長・グリーン／ブラック）",オズマスマートフォン用［φ3.5mmステレオミニ］　ステレオイヤホンマイク Y型 （コード長・グリーン／ブラック）　IESM-SP501Y-GK：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンオズマスマートフォン用［φ3.5mmステレオミニ］　ステレオイヤホンマイク Y型 （コード長・グリーン／ブラック）　IESM-SP501Y-GK,オズマスマートフォン用［φ3.5mmステレオミニ］　ステレオイヤホンマイク Y型 （コード長・グリーン／ブラック）　IESM-SP501Y-GK[rn]
19-155871,http://tshop.r10s.jp/akibamac/cabinet/04659382/4969929243034.jpg?fitin=700:700,8800.0000,,TV・オーディオ・カメラ > オーディオ > ヘッドホン・イヤホン,【送料無料】BOSEマイク付 カナル型イヤホン （レッド) SoundSport IE IP PRD (SOUNDSPORTIEIPP),,ボーズ独自のTriPortテクノロジーによるオーディオパフォーマンスに加え、StayHearチップによる快適性と装着性を実現。エクササイズから日常の音楽鑑賞までシームレスに使用出来ます。,【送料無料】BOSEマイク付 カナル型イヤホン （レッド) SoundSport IE IP PRD (SOUNDSPORTIEIPP)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】BOSEマイク付 カナル型イヤホン （レッド) SoundSport IE IP PRD (SOUNDSPORTIEIPP),【送料無料】BOSEマイク付 カナル型イヤホン （レッド) SoundSport IE IP PRD (SOUNDSPORTIEIPP)[rn]
