19-44601,http://tshop.r10s.jp/yminfo/cabinet/00171276/nw-2020.jpg?fitin=700:700,1273.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　ワイヤーナット　φ4×400mm　NW-4040　,ちょっとした固定に！,"【ここがポイント！】 
● パイプ等の固定に便利です。 
 
【商品仕様】 
D 4mm  
L 400mm 
T 25mm 
A 34mm 
B 8mm 
C 9mm 
ネジ M8 
使用荷重 0.78kN（80kgf） 
材質 SUS304",MM　ステンレス（SUS304)　ワイヤーナット　φ4&times;400mm　NW-4040　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　ワイヤーナット　φ4&times;400mm　NW-4040　,ちょっとした固定に！。MM　ステンレス（SUS304)　ワイヤーナット　φ4&times;400mm　NW-4040　[rn]
19-44660,http://tshop.r10s.jp/yminfo/cabinet/ikou_20090730_003/img10381406372.jpg?fitin=700:700,34012.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,ステンレス　ワイヤーロープ　（7×19）　2.5ｍｍ×200m巻,,,ステンレス　ワイヤーロープ　（7&times;19）　2.5ｍｍ&times;200m巻：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングステンレス　ワイヤーロープ　（7&times;19）　2.5ｍｍ&times;200m巻,ステンレス　ワイヤーロープ　（7&times;19）　2.5ｍｍ&times;200m巻[rn]
19-44661,http://tshop.r10s.jp/yminfo/cabinet/00171276/lts-3.jpg?fitin=700:700,836.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)ロングアイスクリュー　7×19.5mm　LTS-8　,紐などの固定に,"【ここがポイント！】 
● 壁や柱にねじ込んで引っ掛け部分を作るロングアイスクリュー。ロープを張ったりする際に活躍します 
 
【商品仕様】 
線径D 7mm  
内径L 19.5mm 
上部H 34mm 
下部B 55mm 
太さE 8mm 
つば部A 15mm 
使用荷重 0.78kN（80kgf） 
材質 ステンレスSUS304",MM　ステンレス（SUS304)ロングアイスクリュー　7&times;19.5mm　LTS-8　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)ロングアイスクリュー　7&times;19.5mm　LTS-8　,紐などの固定に。MM　ステンレス（SUS304)ロングアイスクリュー　7&times;19.5mm　LTS-8　[rn]
19-44662,http://tshop.r10s.jp/yminfo/cabinet/00171276/sts-3.jpg?fitin=700:700,480.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)アイスクリュー　5×13mm　STS-5　,紐などの固定に,"【ここがポイント！】 
● 壁や柱にねじ込んで引っ掛け部分を作るアイスクリュー。ロープを張ったりする際に活躍します 
 
【商品仕様】 
線径D 5mm  
内径L 13mm 
上部H 26mm 
下部B 30mm 
太さE 5mm 
つば部A 11mm 
使用荷重 0.29kN（30kgf） 
材質 ステンレスSUS304",MM　ステンレス（SUS304)アイスクリュー　5&times;13mm　STS-5　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)アイスクリュー　5&times;13mm　STS-5　,紐などの固定に。MM　ステンレス（SUS304)アイスクリュー　5&times;13mm　STS-5　[rn]
19-44663,http://tshop.r10s.jp/yminfo/cabinet/00171276/lts-3.jpg?fitin=700:700,1110.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)ロングアイスクリュー　8×24mm　LTS-10　,紐などの固定に,"【ここがポイント！】 
● 壁や柱にねじ込んで引っ掛け部分を作るロングアイスクリュー。ロープを張ったりする際に活躍します 
 
【商品仕様】 
線径D 8mm  
内径L 24mm 
上部H 41mm 
下部B 75mm 
太さE 10mm 
つば部A 19mm 
使用荷重 1.47kN（150kgf） 
材質 ステンレスSUS304",MM　ステンレス（SUS304)ロングアイスクリュー　8&times;24mm　LTS-10　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)ロングアイスクリュー　8&times;24mm　LTS-10　,紐などの固定に。MM　ステンレス（SUS304)ロングアイスクリュー　8&times;24mm　LTS-10　[rn]
19-44664,http://tshop.r10s.jp/yminfo/cabinet/00171276/lts-3.jpg?fitin=700:700,496.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)ロングアイスクリュー　5×13mm　LTS-5　,紐などの固定に,"【ここがポイント！】 
● 壁や柱にねじ込んで引っ掛け部分を作るロングアイスクリュー。ロープを張ったりする際に活躍します 
 
【商品仕様】 
線径D 5mm  
内径L 13mm 
上部H 26mm 
下部B 50mm 
太さE 5mm 
つば部A 11mm 
使用荷重 0.29kN（30kgf） 
材質 ステンレスSUS304",MM　ステンレス（SUS304)ロングアイスクリュー　5&times;13mm　LTS-5　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)ロングアイスクリュー　5&times;13mm　LTS-5　,紐などの固定に。MM　ステンレス（SUS304)ロングアイスクリュー　5&times;13mm　LTS-5　[rn]
19-44665,http://tshop.r10s.jp/yminfo/cabinet/00171276/lts-3.jpg?fitin=700:700,608.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)ロングアイスクリュー　5×16mm　LTS-6　,紐などの固定に,"【ここがポイント！】 
● 壁や柱にねじ込んで引っ掛け部分を作るロングアイスクリュー。ロープを張ったりする際に活躍します 
 
【商品仕様】 
線径D 5mm  
内径L 16mm 
上部H 28mm 
下部B 50mm 
太さE 6mm 
つば部A 12mm 
使用荷重 0.59kN（60kgf） 
材質 ステンレスSUS304",MM　ステンレス（SUS304)ロングアイスクリュー　5&times;16mm　LTS-6　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)ロングアイスクリュー　5&times;16mm　LTS-6　,紐などの固定に。MM　ステンレス（SUS304)ロングアイスクリュー　5&times;16mm　LTS-6　[rn]
19-44666,http://tshop.r10s.jp/yminfo/cabinet/00171276/sts-3.jpg?fitin=700:700,404.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)アイスクリュー　4×10mm　STS-4　,紐などの固定に,"【ここがポイント！】 
● 壁や柱にねじ込んで引っ掛け部分を作るアイスクリュー。ロープを張ったりする際に活躍します 
 
【商品仕様】 
線径D 4mm  
内径L 10mm 
上部H 20mm 
下部B 25mm 
太さE 4mm 
つば部A 10mm 
使用荷重 0.20kN（20kgf） 
材質 ステンレスSUS304",MM　ステンレス（SUS304)アイスクリュー　4&times;10mm　STS-4　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)アイスクリュー　4&times;10mm　STS-4　,紐などの固定に。MM　ステンレス（SUS304)アイスクリュー　4&times;10mm　STS-4　[rn]
19-44667,http://tshop.r10s.jp/yminfo/cabinet/00171276/yh-2.jpg?fitin=700:700,38.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【ネコポス可能】MM　ステンレス（SUS304)ヒートン　4mm　YH-10　,使い方はあなた次第！,"【ここがポイント！】 
● 壁や柱にねじ込んで引っ掛け部分を作るヒートン。絵や写真を飾ったりしたり、蚊帳を吊るす際にも使えます。  
 
【商品仕様】 
線径D 4mm  
全長L 42mm 
内巾W 12mm 
ネジ長B 17mm 
材質 ステンレスSUS304 
 
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと




1通30個まで",【ネコポス可能】MM　ステンレス（SUS304)ヒートン　4mm　YH-10　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】MM　ステンレス（SUS304)ヒートン　4mm　YH-10　,使い方はあなた次第！。【ネコポス可能】MM　ステンレス（SUS304)ヒートン　4mm　YH-10　[rn]
19-44668,http://tshop.r10s.jp/yminfo/cabinet/00171276/yh-2.jpg?fitin=700:700,30.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【ネコポス可能】MM　ステンレス（SUS304)ヒートン　3.5mm　YH-8　,使い方はあなた次第！,"【ここがポイント！】 
● 壁や柱にねじ込んで引っ掛け部分を作るヒートン。絵や写真を飾ったりしたり、蚊帳を吊るす際にも使えます。  
 
【商品仕様】 
線径D 3.5mm  
全長L 40mm 
内巾W 12mm 
ネジ長B 15mm 
材質 ステンレスSUS304 
 
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと




1通30個まで",【ネコポス可能】MM　ステンレス（SUS304)ヒートン　3.5mm　YH-8　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】MM　ステンレス（SUS304)ヒートン　3.5mm　YH-8　,使い方はあなた次第！。【ネコポス可能】MM　ステンレス（SUS304)ヒートン　3.5mm　YH-8　[rn]
19-44669,http://tshop.r10s.jp/yminfo/cabinet/00171276/yh-2.jpg?fitin=700:700,9.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【ネコポス可能】MM　ステンレス（SUS304)ヒートン　2mm　YH-2　,使い方はあなた次第！,"【ここがポイント！】 
● 壁や柱にねじ込んで引っ掛け部分を作るヒートン。絵や写真を飾ったりしたり、蚊帳を吊るす際にも使えます。  
 
【商品仕様】 
線径D 2mm  
全長L 21mm 
内巾W 5.8mm 
ネジ長B 8mm 
材質 ステンレスSUS304 
 
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと




1通30個まで",【ネコポス可能】MM　ステンレス（SUS304)ヒートン　2mm　YH-2　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】MM　ステンレス（SUS304)ヒートン　2mm　YH-2　,使い方はあなた次第！。【ネコポス可能】MM　ステンレス（SUS304)ヒートン　2mm　YH-2　[rn]
19-44670,http://tshop.r10s.jp/yminfo/cabinet/00171276/yh-2.jpg?fitin=700:700,16.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【ネコポス可能】MM　ステンレス（SUS304)ヒートン　2.8mm　YH-6　,使い方はあなた次第！,"【ここがポイント！】 
● 壁や柱にねじ込んで引っ掛け部分を作るヒートン。絵や写真を飾ったりしたり、蚊帳を吊るす際にも使えます。  
 
【商品仕様】 
線径D 2.8mm  
全長L 30mm 
内巾W 9.2mm 
ネジ長B 11mm 
材質 ステンレスSUS304 
 
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと




1通30個まで",【ネコポス可能】MM　ステンレス（SUS304)ヒートン　2.8mm　YH-6　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】MM　ステンレス（SUS304)ヒートン　2.8mm　YH-6　,使い方はあなた次第！。【ネコポス可能】MM　ステンレス（SUS304)ヒートン　2.8mm　YH-6　[rn]
19-44671,http://tshop.r10s.jp/yminfo/cabinet/00171276/lts-3.jpg?fitin=700:700,420.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)ロングアイスクリュー　4×10mm　LTS-4　,紐などの固定に,"【ここがポイント！】 
● 壁や柱にねじ込んで引っ掛け部分を作るロングアイスクリュー。ロープを張ったりする際に活躍します 
 
【商品仕様】 
線径D 4mm  
内径L 10mm 
上部H 20mm 
下部B 41mm 
太さE 4mm 
つば部A 10mm 
使用荷重 0.20kN（20kgf） 
材質 ステンレスSUS304",MM　ステンレス（SUS304)ロングアイスクリュー　4&times;10mm　LTS-4　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)ロングアイスクリュー　4&times;10mm　LTS-4　,紐などの固定に。MM　ステンレス（SUS304)ロングアイスクリュー　4&times;10mm　LTS-4　[rn]
19-44672,http://tshop.r10s.jp/yminfo/cabinet/00171276/yh-2.jpg?fitin=700:700,12.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【ネコポス可能】MM　ステンレス（SUS304)ヒートン　2.5mm　YH-4　,使い方はあなた次第！,"【ここがポイント！】 
● 壁や柱にねじ込んで引っ掛け部分を作るヒートン。絵や写真を飾ったりしたり、蚊帳を吊るす際にも使えます。  
 
【商品仕様】 
線径D 2.5mm  
全長L 28mm 
内巾W 8mm 
ネジ長B 12mm 
材質 ステンレスSUS304 
 
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと




1通30個まで",【ネコポス可能】MM　ステンレス（SUS304)ヒートン　2.5mm　YH-4　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】MM　ステンレス（SUS304)ヒートン　2.5mm　YH-4　,使い方はあなた次第！。【ネコポス可能】MM　ステンレス（SUS304)ヒートン　2.5mm　YH-4　[rn]
19-44673,http://tshop.r10s.jp/yminfo/cabinet/00171276/brh-3.jpg?fitin=700:700,684.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　黄銅リングキャッチ3mm　BRH-3,装飾品として！黄銅のリングキャッチ！,"【ここがポイント！】 
● 黄銅製のリングキャッチ。アクセサリーなど装飾品にオススメです 
 
【商品仕様】 
こちらBRH-3なります。
材質：黄銅",MM　黄銅リングキャッチ3mm　BRH-3：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　黄銅リングキャッチ3mm　BRH-3,装飾品として！黄銅のリングキャッチ！。MM　黄銅リングキャッチ3mm　BRH-3[rn]
19-44674,http://tshop.r10s.jp/yminfo/cabinet/00171276/jp-3.jpg?fitin=700:700,491.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【ネコポス可能】MM　ステンレス（SUS304)　Jリンク　3mm　JP-3　,太いものも容易にセット！,"【ここがポイント！】 
● 連結部分を回転させることにより、間口が広く、太いものも用意にセットできます。 
 
【商品仕様】 
D 3mm  
L 34mm 
W1 16mm 
W2 14mm 
A 5mm 
B 5mm 
ネジ M-3 
使用荷重 0.12kN（12kgf） 
材質 SUS304 
 
 
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと



ご利用",【ネコポス可能】MM　ステンレス（SUS304)　Jリンク　3mm　JP-3　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】MM　ステンレス（SUS304)　Jリンク　3mm　JP-3　,太いものも容易にセット！。【ネコポス可能】MM　ステンレス（SUS304)　Jリンク　3mm　JP-3　[rn]
19-44675,http://tshop.r10s.jp/yminfo/cabinet/00171276/op-5.jpg?fitin=700:700,4030.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)OPMMリング　10mm　OP-10,太いロープも安心のリングキャッチ,"【ここがポイント！】 
● 連結部分を回転させることにより、太いロープ・チェーン等も容易にセット出来ます。 
 
【商品仕様】 
こちらOP-10になります。
材質：ステンレスSUS304",MM　ステンレス（SUS304)OPMMリング　10mm　OP-10：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)OPMMリング　10mm　OP-10,太いロープも安心のリングキャッチ。MM　ステンレス（SUS304)OPMMリング　10mm　OP-10[rn]
19-44676,http://tshop.r10s.jp/yminfo/cabinet/00171276/brh-3.jpg?fitin=700:700,567.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　黄銅リングキャッチ2.5mm　BRH-2.5,装飾品として！黄銅のリングキャッチ！,"【ここがポイント！】 
● 黄銅製のリングキャッチ。アクセサリーなど装飾品にオススメです 
 
【商品仕様】 
こちらBRH-2.5なります。
材質：黄銅",MM　黄銅リングキャッチ2.5mm　BRH-2.5：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　黄銅リングキャッチ2.5mm　BRH-2.5,装飾品として！黄銅のリングキャッチ！。MM　黄銅リングキャッチ2.5mm　BRH-2.5[rn]
19-44677,http://tshop.r10s.jp/yminfo/cabinet/00171276/trf-5.jpg?fitin=700:700,5600.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　チタン丸リンク(鍛造）6×32mm溶接跡なしだからキレイ。チタンだから金属アレルギー無し　TRF-6,溶接跡無しの丸リング！,"【ここがポイント！】 
● 溶接の跡が無い鍛造の丸リング。チタンなので金属アレルギーも関係なしです！ 
 
【商品仕様】 
こちらTRF-6
材質：チタン（鍛造）
サイズ：　6×32mm",MM　チタン丸リンク(鍛造）6&times;32mm溶接跡なしだからキレイ。チタンだから金属アレルギー無し　TRF-6：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　チタン丸リンク(鍛造）6&times;32mm溶接跡なしだからキレイ。チタンだから金属アレルギー無し　TRF-6,溶接跡無しの丸リング！。MM　チタン丸リンク(鍛造）6&times;32mm溶接跡なしだからキレイ。チタンだから金属アレルギー無し　TRF-6[rn]
19-44678,http://tshop.r10s.jp/yminfo/cabinet/00171276/vh-3.jpg?fitin=700:700,993.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【ネコポス可能】MM　ステンレス（SUS304)　四角リングキャッチ　8mm　VH-8　,四角いリングキャッチ！！,"【ここがポイント！】 
● 四角いリングキャッチです！。 
 
【商品仕様】 
D 8mm  
L 61mm 
W 54mm 
S 11mm 
E 10.5mm 
使用荷重 0.78kN（80kgf）※長手方向 
材質 SUS304 
 
 
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと",【ネコポス可能】MM　ステンレス（SUS304)　四角リングキャッチ　8mm　VH-8　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】MM　ステンレス（SUS304)　四角リングキャッチ　8mm　VH-8　,四角いリングキャッチ！！。【ネコポス可能】MM　ステンレス（SUS304)　四角リングキャッチ　8mm　VH-8　[rn]
19-44679,http://tshop.r10s.jp/yminfo/cabinet/ikou_20090730_001/img10384157537.jpg?fitin=700:700,3097.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,ピン止めリングキャッチ　13ｍｍ,,"＜PCより一部転載＞<br>D(mm)S(mm)B1(mm)B2(mm)L(mm）E(mm）使用荷重（kg）          13      16      27      26      95      14      1,000      ステンレス製（SUS-304）●盗難防止に最適です。ピンをハンマーで叩き、最後までしっかりと打込むと、二度と外れません。",ピン止めリングキャッチ　13ｍｍ：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングピン止めリングキャッチ　13ｍｍ,ピン止めリングキャッチ　13ｍｍ[rn]
19-44680,http://tshop.r10s.jp/yminfo/cabinet/ikou_20090730_001/img10384824478.jpg?fitin=700:700,547.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,三角リングキャッチ　6ｍｍ,,＜PCより一部転載＞<br>D(mm)S(mm)L(mm)W(mm)W1(mm）使用荷重（kg）          6      9.5      58      63.5      42      100      ステンレス製（SUS-304）,三角リングキャッチ　6ｍｍ：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング三角リングキャッチ　6ｍｍ,三角リングキャッチ　6ｍｍ[rn]
19-44681,http://tshop.r10s.jp/yminfo/cabinet/00171276/op-5.jpg?fitin=700:700,6016.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)OPMMリング　13mm　OP-13,太いロープも安心のリングキャッチ,"【ここがポイント！】 
● 連結部分を回転させることにより、太いロープ・チェーン等も容易にセット出来ます。 
 
【商品仕様】 
こちらOP-13になります。
材質：ステンレスSUS304",MM　ステンレス（SUS304)OPMMリング　13mm　OP-13：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)OPMMリング　13mm　OP-13,太いロープも安心のリングキャッチ。MM　ステンレス（SUS304)OPMMリング　13mm　OP-13[rn]
19-44682,http://tshop.r10s.jp/yminfo/cabinet/00171276/alb-5.jpg?fitin=700:700,584.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　アルミスナップフック（アルマイト付き）8mm　全7色　ALB-7ゴールド・シルバー・ブルー・グリーン・レッド・ブラウン・ブラック,装飾品として！アルミのカラフルスナップフック,"【ここがポイント！】 
● アルミ製のカラフルスナップフック。アクセサリーに最適。 
 
【商品仕様】 
こちらALB-8なります。
材質：アルミ軽合金（アルマイト付）
カラー：G：ゴールド、S：シルバー、B：ブルー、GR：グリーン、R：レッド、
　　　 　BN：ブラウン、BK：ブラック",MM　アルミスナップフック（アルマイト付き）8mm　全7色　ALB-7ゴールド・シルバー・ブルー・グリーン・レッド・ブラウン・ブラック：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　アルミスナップフック（アルマイト付き）8mm　全7色　ALB-7ゴールド・シルバー・ブルー・グリーン・レッド・ブラウン・ブラック,装飾品として！アルミのカラフルスナップフック。MM　アルミスナップフック（アルマイト付き）8mm　全7色　ALB-7ゴールド・シルバー・ブルー・グリーン・レッド・ブラウン・ブラック[rn]
19-44683,http://tshop.r10s.jp/yminfo/cabinet/00171276/alh-4.jpg?fitin=700:700,467.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　アルミリングキャッチ（アルマイト付き）4mm　全9色　ALH-4ゴールド・シルバー・ブルー・グリーン・レッド・レモンイエロー・ピンク・ブラウン・ブラック,装飾品として！アルミのカラフルリングキャッチ！,"【ここがポイント！】 
● アルミ製のカラフルリングキャッチ。 
 
【商品仕様】 
こちらALH-4なります。
材質：アルミ軽合金（アルマイト付）
カラー：G：ゴールド、S：シルバー、B：ブルー、GR：グリーン、R：レッド、Y：レモンイエロー
　　　　P：ピンク、BN：ブラウン、BK：ブラック",MM　アルミリングキャッチ（アルマイト付き）4mm　全9色　ALH-4ゴールド・シルバー・ブルー・グリーン・レッド・レモンイエロー・ピンク・ブラウン・ブラック：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　アルミリングキャッチ（アルマイト付き）4mm　全9色　ALH-4ゴールド・シルバー・ブルー・グリーン・レッド・レモンイエロー・ピンク・ブラウン・ブラック,装飾品として！アルミのカラフルリングキャッチ！。MM　アルミリングキャッチ（アルマイト付き）4mm　全9色　ALH-4ゴールド・シルバー・ブルー・グリーン・レッド・レモンイエロー・ピンク・ブラウン・ブラック[rn]
19-44684,http://tshop.r10s.jp/yminfo/cabinet/00171276/op-5.jpg?fitin=700:700,25112.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)OPMMリング　22mm　OP-22,太いロープも安心のリングキャッチ,"【ここがポイント！】 
● 連結部分を回転させることにより、太いロープ・チェーン等も容易にセット出来ます。 
 
【商品仕様】 
こちらOP-22になります。
材質：ステンレスSUS304",MM　ステンレス（SUS304)OPMMリング　22mm　OP-22：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)OPMMリング　22mm　OP-22,太いロープも安心のリングキャッチ。MM　ステンレス（SUS304)OPMMリング　22mm　OP-22[rn]
