10-24301,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003871912.jpg?fitin=700:700,1084.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒白光/白光　フィルター【A1309】(3597156) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒白光/白光　フィルター【A1309】(3597156) 受注単位：1：クローバー資材館,『カード対応OK！』■〒白光/白光　フィルター【A1309】(3597156) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ用品。『カード対応OK！』■〒白光/白光　フィルター【A1309】(3597156) 受注単位：1[rn]
10-24353,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002833863.jpg?fitin=700:700,8683.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒白光/白光　ハッコー４９８【498 (ｾｲﾃﾞﾝｷﾀｲｻｸﾖｳﾋﾝ)】(1295373) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気測定器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●アース線を接続し、手でパッドを押すだけ。合格であれば緑のGOODランプが点灯し、ブザーが鳴ります。",『カード対応OK！』■〒白光/白光　ハッコー４９８【498 (ｾｲﾃﾞﾝｷﾀｲｻｸﾖｳﾋﾝ)】(1295373) 受注単位：1：クローバー資材館,『カード対応OK！』■〒白光/白光　ハッコー４９８【498 (ｾｲﾃﾞﾝｷﾀｲｻｸﾖｳﾋﾝ)】(1295373) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気測定器。『カード対応OK！』■〒白光/白光　ハッコー４９８【498 (ｾｲﾃﾞﾝｷﾀｲｻｸﾖｳﾋﾝ)】(1295373) 受注単位：1[rn]
10-24354,,70715.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ミドリ安全/ミドリ安全　静電靴・リストストラップチェッカー　ＭＥＳ－３００【MES-300】(4087976) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気測定器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●静電靴は左右個別にチェックできます。<br>●静電靴とリストストラップはモード設定により同時、または個々にチェックできます。<br>●機能設定スイッチの切替で判定レベルの上限と下限が選択できます。<br>●一定時間測定が行われない場合、自動的にスリープモードへ移行します。<br>●AC/DC両用です。<br>●別売の通信データ表示ソフトにより、測定データをパソコンに表示させることが可能です。",『カード対応OK！』■〒ミドリ安全/ミドリ安全　静電靴・リストストラップチェッカー　ＭＥＳ&minus;３００【MES-300】(4087976) 受注単位：1：クローバー資材館,『カード対応OK！』■〒ミドリ安全/ミドリ安全　静電靴・リストストラップチェッカー　ＭＥＳ&minus;３００【MES-300】(4087976) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気測定器。『カード対応OK！』■〒ミドリ安全/ミドリ安全　静電靴・リストストラップチェッカー　ＭＥＳ&minus;３００【MES-300】(4087976) 受注単位：1[rn]
10-24355,,27648.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラキ/アルブレヒト【15J-0】(1507524) アルブレ　キーレススーパードリルチャック 受注単位1,生産加工用品\ツーリング・治工具\キーレスチャック,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●セルフタイト機能により切削力が大きくなってもドリルは緩みません。<br>●高精度で耐久性があり、長期間の使用でも当初の高精度を維持します。<br>●主にボール盤に取り付け、ドリルを装着します。<br><br><br>●つかみ能力(mm)：0～1.5<br>●精度(mm)：0.05<br>●接続テーパ：JT0<br>●外径(mm)：19<br>●全長(mm)：37.5<br>●質量(kg)：0.05<br><br>●振れ精度5/100mm以下<br><br>",『カード対応OK！』■〒ムラキ/アルブレヒト【15J-0】(1507524) アルブレ　キーレススーパードリルチャック 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラキ/アルブレヒト【15J-0】(1507524) アルブレ　キーレススーパードリルチャック 受注単位1,生産加工用品\ツーリング・治工具\キーレスチャック。『カード対応OK！』■〒ムラキ/アルブレヒト【15J-0】(1507524) アルブレ　キーレススーパードリルチャック 受注単位1[rn]
10-24356,,22982.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラキ/アルブレヒト【30J-0】(1507532) アルブレ　キーレススーパードリルチャック 受注単位1,生産加工用品\ツーリング・治工具\キーレスチャック,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●セルフタイト機能により切削力が大きくなってもドリルは緩みません。<br>●高精度で耐久性があり、長期間の使用でも当初の高精度を維持します。<br>●主にボール盤に取り付け、ドリルを装着します。<br><br><br>●つかみ能力(mm)：0～3.0<br>●精度(mm)：0.05<br>●接続テーパ：JT0<br>●外径(mm)：24<br>●全長(mm)：47.5<br>●質量(kg)：0.1<br><br>●振れ精度5/100mm以下<br><br>",『カード対応OK！』■〒ムラキ/アルブレヒト【30J-0】(1507532) アルブレ　キーレススーパードリルチャック 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラキ/アルブレヒト【30J-0】(1507532) アルブレ　キーレススーパードリルチャック 受注単位1,生産加工用品\ツーリング・治工具\キーレスチャック。『カード対応OK！』■〒ムラキ/アルブレヒト【30J-0】(1507532) アルブレ　キーレススーパードリルチャック 受注単位1[rn]
10-24357,,22982.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラキ/アルブレヒト【30J-1】(1507541) アルブレ　キーレススーパードリルチャック 受注単位1,生産加工用品\ツーリング・治工具\キーレスチャック,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●セルフタイト機能により切削力が大きくなってもドリルは緩みません。<br>●高精度で耐久性があり、長期間の使用でも当初の高精度を維持します。<br>●主にボール盤に取り付け、ドリルを装着します。<br><br><br>●つかみ能力(mm)：0～3.0<br>●精度(mm)：0.05<br>●接続テーパ：JT1<br>●外径(mm)：24<br>●全長(mm)：47.5<br>●質量(kg)：0.1<br><br>●振れ精度5/100mm以下<br><br>",『カード対応OK！』■〒ムラキ/アルブレヒト【30J-1】(1507541) アルブレ　キーレススーパードリルチャック 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラキ/アルブレヒト【30J-1】(1507541) アルブレ　キーレススーパードリルチャック 受注単位1,生産加工用品\ツーリング・治工具\キーレスチャック。『カード対応OK！』■〒ムラキ/アルブレヒト【30J-1】(1507541) アルブレ　キーレススーパードリルチャック 受注単位1[rn]
10-24358,,29609.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラキ/アルブレヒト【130J-6】(1507591) キーレススーパードリルチャック 受注単位1,生産加工用品\ツーリング・治工具\キーレスチャック,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●セルフタイト機能により切削力が大きくなってもドリルは緩みません。<br>●高精度で耐久性があり、長期間の使用でも当初の高精度を維持します。<br>●主にボール盤に取り付け、ドリルを装着します。<br><br><br>●つかみ能力(mm)：1～13.0<br>●精度(mm)：0.05<br>●接続テーパ：JT6<br>●外径(mm)：50<br>●全長(mm)：103.0<br>●質量(kg)：0.945<br><br>●振れ精度5/100mm以下<br><br>",『カード対応OK！』■〒ムラキ/アルブレヒト【130J-6】(1507591) キーレススーパードリルチャック 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラキ/アルブレヒト【130J-6】(1507591) キーレススーパードリルチャック 受注単位1,生産加工用品\ツーリング・治工具\キーレスチャック。『カード対応OK！』■〒ムラキ/アルブレヒト【130J-6】(1507591) キーレススーパードリルチャック 受注単位1[rn]
10-24359,,22550.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラキ/アルブレヒト【65J-1】(1507567) キーレススーパードリルチャック 受注単位1,生産加工用品\ツーリング・治工具\キーレスチャック,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●セルフタイト機能により切削力が大きくなってもドリルは緩みません。<br>●高精度で耐久性があり、長期間の使用でも当初の高精度を維持します。<br>●主にボール盤に取り付け、ドリルを装着します。<br><br><br>●つかみ能力(mm)：0～6.5<br>●精度(mm)：0.05<br>●接続テーパ：JT1<br>●外径(mm)：34<br>●全長(mm)：68.0<br>●質量(kg)：0.29<br><br>●振れ精度5/100mm以下<br><br>",『カード対応OK！』■〒ムラキ/アルブレヒト【65J-1】(1507567) キーレススーパードリルチャック 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラキ/アルブレヒト【65J-1】(1507567) キーレススーパードリルチャック 受注単位1,生産加工用品\ツーリング・治工具\キーレスチャック。『カード対応OK！』■〒ムラキ/アルブレヒト【65J-1】(1507567) キーレススーパードリルチャック 受注単位1[rn]
10-24360,,32684.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラキ/アルブレヒト【160J-6】(1507605) アルブレ　キーレススーパードリルチャック 受注単位1,生産加工用品\ツーリング・治工具\キーレスチャック,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●セルフタイト機能により切削力が大きくなってもドリルは緩みません。<br>●高精度で耐久性があり、長期間の使用でも当初の高精度を維持します。<br>●主にボール盤に取り付け、ドリルを装着します。<br><br><br>●つかみ能力(mm)：3～16.0<br>●精度(mm)：0.05<br>●接続テーパ：JT6<br>●外径(mm)：56<br>●全長(mm)：109.0<br>●質量(kg)：1.25<br><br>●振れ精度5/100mm以下<br><br>",『カード対応OK！』■〒ムラキ/アルブレヒト【160J-6】(1507605) アルブレ　キーレススーパードリルチャック 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラキ/アルブレヒト【160J-6】(1507605) アルブレ　キーレススーパードリルチャック 受注単位1,生産加工用品\ツーリング・治工具\キーレスチャック。『カード対応OK！』■〒ムラキ/アルブレヒト【160J-6】(1507605) アルブレ　キーレススーパードリルチャック 受注単位1[rn]
10-24361,,228960.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##∀■〒共立【KA-150】(7512805) エアーマシンバイス　ＫＡ型 受注単位1,生産加工用品\ツーリング・治工具\ミーリングバイス,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font>
<br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。

</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●独自のトグル機構で締付力大です。<br>●使用中エア源が切れてもすぐに緩みません。<br>●バルブの取外しは簡単で、他のエアバルブでも遠隔操作可能です。<br>●手締めバイスとしても使えます。<br><br>●フライス作業からボール盤作業まで。<br><br>●全長(mm)：440<br>●全幅(mm)：190<br>●全高(mm)：135<br>●口幅(mm)：150<br>●口開(mm)：100<br>●口深さ(mm)：45<br>●最大締付力(kN)：12.75<br><br>●ホース取付口：カプラ22SH（1/4）<br><br>●本体：FC250<br>●口金：S50C焼き入れ<br>",『カード対応OK！』##&forall;■〒共立【KA-150】(7512805) エアーマシンバイス　ＫＡ型 受注単位1：クローバー資材館,『カード対応OK！』##&forall;■〒共立【KA-150】(7512805) エアーマシンバイス　ＫＡ型 受注単位1,生産加工用品\ツーリング・治工具\ミーリングバイス。『カード対応OK！』##&forall;■〒共立【KA-150】(7512805) エアーマシンバイス　ＫＡ型 受注単位1[rn]
10-24362,,256608.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##∀■〒共立【KA-175】(7512813) エアーマシンバイス　ＫＡ型 受注単位1,生産加工用品\ツーリング・治工具\ミーリングバイス,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font>
<br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。

</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●独自のトグル機構で締付力大です。<br>●使用中エア源が切れてもすぐに緩みません。<br>●バルブの取外しは簡単で、他のエアバルブでも遠隔操作可能です。<br>●手締めバイスとしても使えます。<br><br>●フライス作業からボール盤作業まで。<br><br>●全長(mm)：490<br>●全幅(mm)：210<br>●全高(mm)：140<br>●口幅(mm)：175<br>●口開(mm)：125<br>●口深さ(mm)：45<br>●最大締付力(kN)：14.71<br><br>●ホース取付口：カプラ22SH（1/4）<br><br>●本体：FC250<br>●口金：S50C焼き入れ<br>",『カード対応OK！』##&forall;■〒共立【KA-175】(7512813) エアーマシンバイス　ＫＡ型 受注単位1：クローバー資材館,『カード対応OK！』##&forall;■〒共立【KA-175】(7512813) エアーマシンバイス　ＫＡ型 受注単位1,生産加工用品\ツーリング・治工具\ミーリングバイス。『カード対応OK！』##&forall;■〒共立【KA-175】(7512813) エアーマシンバイス　ＫＡ型 受注単位1[rn]
10-24363,,90720.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##∀■〒共立【KC-80】(7512830) エアーマシンバイス　ＫＣ型 受注単位1,生産加工用品\ツーリング・治工具\ミーリングバイス,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font>
<br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。

</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●エアーバルブは本体に付いていないので、遠隔操作としてどこにでもバルブを付ける事ができます。<br><br>●小物加工用エアーマシンバイス。<br><br>●全長(mm)：300<br>●全幅(mm)：120<br>●全高(mm)：80<br>●口幅(mm)：80<br>●口開(mm)：50<br>●口深さ(mm)：32<br>●最大締付力(kN)：2.16<br><br>●ホース取付口：WPS1/8×3×1/4<br><br>●本体：FC250<br>●口金：S50C焼き入れ<br>",『カード対応OK！』##&forall;■〒共立【KC-80】(7512830) エアーマシンバイス　ＫＣ型 受注単位1：クローバー資材館,『カード対応OK！』##&forall;■〒共立【KC-80】(7512830) エアーマシンバイス　ＫＣ型 受注単位1,生産加工用品\ツーリング・治工具\ミーリングバイス。『カード対応OK！』##&forall;■〒共立【KC-80】(7512830) エアーマシンバイス　ＫＣ型 受注単位1[rn]
10-24364,,146880.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##∀■〒共立【KB-100】(7512821) エアーマシンバイス　ＫＢ型 受注単位1,生産加工用品\ツーリング・治工具\ミーリングバイス,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font>
<br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。

</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●シリンダー径φ100露出型ですが、テコで２倍に増力しました。<br>●エアバルブは本体に取付しておりません。標準の4方弁（口径1/4）で操作します。<br><br>●小物加工用エアーマシンバイス。<br><br>●全長(mm)：313<br>●全幅(mm)：150<br>●全高(mm)：125<br>●口幅(mm)：110<br>●口開(mm)：65<br>●口深さ(mm)：45<br>●最大締付力(kN)：7.35<br><br>●ホース取付口：1/4×8<br><br>●本体：FC250<br>●口金：S50C焼き入れ<br>",『カード対応OK！』##&forall;■〒共立【KB-100】(7512821) エアーマシンバイス　ＫＢ型 受注単位1：クローバー資材館,『カード対応OK！』##&forall;■〒共立【KB-100】(7512821) エアーマシンバイス　ＫＢ型 受注単位1,生産加工用品\ツーリング・治工具\ミーリングバイス。『カード対応OK！』##&forall;■〒共立【KB-100】(7512821) エアーマシンバイス　ＫＢ型 受注単位1[rn]
10-24365,,118584.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒理研計測器製作所/ＲＫＮ【P-2】(4875109) 偏心検査器Ｐ形　センター距離２００ｍｍ 受注単位1,生産加工用品\測定工具\偏心検査器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●シャフト等の曲がり・偏心測定用です。<br>●精密すり合わせにより高精度を保持しています。<br><br>●リーマ、エンドミル等の丸物の偏心測定。<br><br>●幅(mm)：420<br>●奥行(mm)：120<br>●高さ(mm)：180<br>●台長(ｍｍ)：420<br>●センター距離(ｍｍ)：200<br>●スイング(ｍｍ)：110<br>●両センター間平行度(mm)：0.005<br>●質量(kg)：16<br><br>●使用センター：MT-1<br><br>●本体：ＦＣ250<br>●表面：塗装<br>",『カード対応OK！』■〒理研計測器製作所/ＲＫＮ【P-2】(4875109) 偏心検査器Ｐ形　センター距離２００ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒理研計測器製作所/ＲＫＮ【P-2】(4875109) 偏心検査器Ｐ形　センター距離２００ｍｍ 受注単位1,生産加工用品\測定工具\偏心検査器。『カード対応OK！』■〒理研計測器製作所/ＲＫＮ【P-2】(4875109) 偏心検査器Ｐ形　センター距離２００ｍｍ 受注単位1[rn]
10-24366,,130248.0000,,花・ガーデン・DIY > DIY・工具 > その他,【カード対応OK！】■〒理研計測器製作所/ＲＫＮ【P-3】(4875117) 偏心検査器Ｐ形　センター距離３００ｍｍ 受注単位1,生産加工用品\測定工具\偏心検査器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●シャフト等の曲がり・偏心測定用です。<br>●精密すり合わせにより高精度を保持しています。<br><br>●リーマ、エンドミル等の丸物の偏心測定。<br><br>●幅(mm)：530<br>●奥行(mm)：130<br>●高さ(mm)：198<br>●台長(ｍｍ)：530<br>●センター距離(ｍｍ)：300<br>●スイング(ｍｍ)：110<br>●両センター間平行度(mm)：0.005<br>●質量(kg)：20<br><br>●使用センター：MT-1<br><br>●本体：ＦＣ250<br>●表面：塗装<br>",【カード対応OK！】■〒理研計測器製作所/ＲＫＮ【P-3】(4875117) 偏心検査器Ｐ形　センター距離３００ｍｍ 受注単位1：クローバー資材館,【カード対応OK！】■〒理研計測器製作所/ＲＫＮ【P-3】(4875117) 偏心検査器Ｐ形　センター距離３００ｍｍ 受注単位1,生産加工用品\測定工具\偏心検査器。【カード対応OK！】■〒理研計測器製作所/ＲＫＮ【P-3】(4875117) 偏心検査器Ｐ形　センター距離３００ｍｍ 受注単位1[rn]
10-24367,,22525.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ミツトヨ/ミツトヨ デジタル【MDE-100PX】(8204954) ミツトヨ カンタマイク(293－148－30) 発注単位1,生産加工用品\測定工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●シンブル1回転で2mmも移動するスピーディー測定を実現しました。<br>
●外径の精密測定に。<br>
●メーカーコード:293-148-30<br>
●測定範囲(mm):75～100<br>
●器差(μm):±2<br>
●最小表示(mm):0.001<br>
●最小表示:0.001mm<br>
●容器保護等級:IP65<br>
●定圧装置:ラチェットシンブル<br>
●測定面形状:標準タイプ<br>
●電源:ボタン型酸化銀電池（SR44）×1個（付属）<br>
●測定データ出力機能なし",■〒ミツトヨ/ミツトヨ デジタル【MDE-100PX】(8204954) ミツトヨ カンタマイク(293&minus;148&minus;30) 発注単位1：クローバー資材館,■〒ミツトヨ/ミツトヨ デジタル【MDE-100PX】(8204954) ミツトヨ カンタマイク(293&minus;148&minus;30) 発注単位1,生産加工用品\測定工具。■〒ミツトヨ/ミツトヨ デジタル【MDE-100PX】(8204954) ミツトヨ カンタマイク(293&minus;148&minus;30) 発注単位1[rn]
10-24368,,5588.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＴＪＭデザイン/タジマ カッター・鋸【TG-HDT606M】(7959320) タジマ ＴガイドＨＤツイン606 マグネシウム 発注単位1,生産加工用品\測定工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●2本竿固定でブレ・曲がりに強いです。<br>
●竿は曲がりに強く頑丈な焼入れ加工を採用しています。<br>
●Ｔ定規の突き当てに滑りのよいフッ素樹脂塗装を採用しています。<br>
●操作しやすい大型固定ネジです。<br>
●竿と突き当てを支える本体は、軽量高強度のマグネシウムダイキャストを採用しています。<br>
●丸鋸用T型定規。<br>
●丸鋸用T型定規<br>
●全長(mm):790<br>
●幅(mm):462<br>
●厚み(mm):40<br>
●呼び寸法(mm):606<br>
●目盛:センチ・尺<br>
●竿:焼入れ加工<br>
●突き当て:フッ素加工<br>
●目盛:センチ・尺<br>
●本体:マグネシウム<br>
●突き当て:アルミ",■〒ＴＪＭデザイン/タジマ カッター・鋸【TG-HDT606M】(7959320) タジマ ＴガイドＨＤツイン606 マグネシウム 発注単位1：クローバー資材館,■〒ＴＪＭデザイン/タジマ カッター・鋸【TG-HDT606M】(7959320) タジマ ＴガイドＨＤツイン606 マグネシウム 発注単位1,生産加工用品\測定工具。■〒ＴＪＭデザイン/タジマ カッター・鋸【TG-HDT606M】(7959320) タジマ ＴガイドＨＤツイン606 マグネシウム 発注単位1[rn]
10-24369,,1604.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒シンワ測定/シンワ 測定工具【11100】(8184152) シンワ 曲尺＿ホワイト名作30ｃｍ表裏同目 発注単位1,生産加工用品\測定工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●見やすい白地黒目盛の曲尺です。<br>
●ステンレス地に焼付塗装をした表面にハードコーティングを施しております。<br>
●直角度の確認。<br>
●長さの測定。<br>
●長辺(mm):320<br>
●短辺(mm):160<br>
●幅(mm):15<br>
●厚み(mm):1.4<br>
●直角度：100mmで±0.1mmを超えない<br>
●長さの許容差：全長±0.3mm<br>
●目盛：cm表示<br>
●ステンレス（ＳＵＳ４２０Ｊ２）",■〒シンワ測定/シンワ 測定工具【11100】(8184152) シンワ 曲尺＿ホワイト名作30ｃｍ表裏同目 発注単位1：クローバー資材館,■〒シンワ測定/シンワ 測定工具【11100】(8184152) シンワ 曲尺＿ホワイト名作30ｃｍ表裏同目 発注単位1,生産加工用品\測定工具。■〒シンワ測定/シンワ 測定工具【11100】(8184152) シンワ 曲尺＿ホワイト名作30ｃｍ表裏同目 発注単位1[rn]
10-24370,,1215.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒シンワ測定/シンワ 測定工具【10297】(7951353) シンワ 曲尺平ぴた30ｃｍ 発注単位1,生産加工用品\測定工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●角が薄く平たいので細かい材料にもピタリと張り付き、ケガキやすく測りやすくなっています。<br>
●外側基点の内側目盛が付いています。<br>
●長さの測定、直角の確認やケガキ作業<br>
●長辺(mm):320<br>
●短辺(mm):160<br>
●幅(mm):15<br>
●厚み(mm):1.0<br>
●直角度:100mmで±0.1mmを超えない<br>
●長さの許容差:全長±0.2mm<br>
●表裏同目<br>
●JIS規格品<br>
●ステンレス(SUS420J2)<br>
●電気に触れる恐れのある場所では使用しないで下さい。",■〒シンワ測定/シンワ 測定工具【10297】(7951353) シンワ 曲尺平ぴた30ｃｍ 発注単位1：クローバー資材館,■〒シンワ測定/シンワ 測定工具【10297】(7951353) シンワ 曲尺平ぴた30ｃｍ 発注単位1,生産加工用品\測定工具。■〒シンワ測定/シンワ 測定工具【10297】(7951353) シンワ 曲尺平ぴた30ｃｍ 発注単位1[rn]
10-24371,,1700.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒シンワ測定/シンワ 測定工具【11101】(8184153) シンワ 曲尺＿ホワイト名作50ｃｍ表裏同目 発注単位1,生産加工用品\測定工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●見やすい白地黒目盛の曲尺です。<br>
●ステンレス地に焼付塗装をした表面にハードコーティングを施しております。<br>
●直角度の確認。<br>
●長さの測定。<br>
●長辺(mm):520<br>
●短辺(mm):260<br>
●幅(mm):15<br>
●厚み(mm):1.4<br>
●直角度：100mmで±0.1mmを超えない<br>
●長さの許容差：全長±0.4mm<br>
●目盛：cm表示<br>
●ステンレス（ＳＵＳ４２０Ｊ２）",■〒シンワ測定/シンワ 測定工具【11101】(8184153) シンワ 曲尺＿ホワイト名作50ｃｍ表裏同目 発注単位1：クローバー資材館,■〒シンワ測定/シンワ 測定工具【11101】(8184153) シンワ 曲尺＿ホワイト名作50ｃｍ表裏同目 発注単位1,生産加工用品\測定工具。■〒シンワ測定/シンワ 測定工具【11101】(8184153) シンワ 曲尺＿ホワイト名作50ｃｍ表裏同目 発注単位1[rn]
10-24372,,1364.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＴＪＭデザイン/タジマ 測量品【KA-M3U】(8134526) タジマ 等厚曲尺 同目裏2段30ｃｍ 発注単位1,生産加工用品\測定工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●コーナー部が、厚くないのでけがきがしやすいです。<br>
●大きく鮮明な目盛数字採用です。<br>
●TIG溶接により強度がアップしました。<br>
●建築用曲尺に。<br>
●長辺(mm):320<br>
●短辺(mm):165<br>
●幅(mm):15<br>
●厚み(mm):1<br>
●目盛仕様:表面　センチ目１段３０ｃｍ　裏面　センチ目２段３０ｃｍ<br>
●直角度100mmで±0.1mmを超えない<br>
●長さの許容差:センチ目±0.2mm、尺相当目盛±0.4mm<br>
●外基点・内目盛<br>
●ネームスペース付<br>
●本体:ステンレス(SUS420J2)<br>
●本製品には通電性があります。感電に注意して下さい。",■〒ＴＪＭデザイン/タジマ 測量品【KA-M3U】(8134526) タジマ 等厚曲尺 同目裏2段30ｃｍ 発注単位1：クローバー資材館,■〒ＴＪＭデザイン/タジマ 測量品【KA-M3U】(8134526) タジマ 等厚曲尺 同目裏2段30ｃｍ 発注単位1,生産加工用品\測定工具。■〒ＴＪＭデザイン/タジマ 測量品【KA-M3U】(8134526) タジマ 等厚曲尺 同目裏2段30ｃｍ 発注単位1[rn]
