10-20901,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002614845.jpg?fitin=700:700,13215.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日酸ＴＡＮＡＫＡ/日酸ＴＡＮＡＫＡ　Ａ号切断器Ｚノバック　Ｃ２Ｈ２【Q112Z】(3516911) 受注単位1,工事用品\溶接用品\ガス溶断用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●逆火を軽減するノバック構造を採用しています。<br>●（社）日本溶接協会認定品です。",『カード対応OK！』■〒日酸ＴＡＮＡＫＡ/日酸ＴＡＮＡＫＡ　Ａ号切断器Ｚノバック　Ｃ２Ｈ２【Q112Z】(3516911) 受注単位1：クローバー資材館,『カード対応OK！』■〒日酸ＴＡＮＡＫＡ/日酸ＴＡＮＡＫＡ　Ａ号切断器Ｚノバック　Ｃ２Ｈ２【Q112Z】(3516911) 受注単位1,工事用品\溶接用品\ガス溶断用品。『カード対応OK！』■〒日酸ＴＡＮＡＫＡ/日酸ＴＡＮＡＫＡ　Ａ号切断器Ｚノバック　Ｃ２Ｈ２【Q112Z】(3516911) 受注単位1[rn]
10-20947,,2756.8000,,花・ガーデン・DIY > DIY・工具 > その他,【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【GRB-6S6】(7673205) ＷスリングＢタイプ片端シンブル 受注単位1,工事用品\吊りクランプ・スリング・荷締機\ワイヤロープスリング,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●編み込みの方法が従来の巻き差しと異なるため、品物がロープのより方向と反対方向にズレても抜けにくくなっています。<br>●1本ずつビニール個装となっているため受け渡しが楽で汚れません。<br>●生産物賠償責任保険（PL）付です。<br>●片側シンブル入り<br>●JIS規格(JIS G 3525)<br><br><br>●安全使用荷重2本垂直吊り(t)：0.66<br>●全長(m)：6.0<br>●スリング径(mm)：6<br>●タイプ：B<br>●質量(kg)：0.8<br><br><br>●ロープ：炭素鋼<br>●芯：麻芯<br>●スリーブ：アルミ合金<br>●シンブル：Q235（SS400相当）表面ドブメッキ<br>",【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【GRB-6S6】(7673205) ＷスリングＢタイプ片端シンブル 受注単位1：クローバー資材館,【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【GRB-6S6】(7673205) ＷスリングＢタイプ片端シンブル 受注単位1,工事用品\吊りクランプ・スリング・荷締機\ワイヤロープスリング。【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【GRB-6S6】(7673205) ＷスリングＢタイプ片端シンブル 受注単位1[rn]
10-20948,,1086.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-10S3】(4891571)玉掛けワイヤーロープ 段落し １０ｍｍＸ３ｍ 受注単位1,工事用品\吊りクランプ・スリング・荷締機\ワイヤロープスリング,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●通常の巻差し加工に加え、加工時にフレミッシュ加工（頭割り）を施しており、より安全に玉掛け作業が行えます。<br>●1本ずつビニール個装となっているため受け渡しが楽で汚れません。<br>●生産物賠償責任保険（PL）付です。<br>●「労働安全衛生規則第475条及びクレーン等安全規則第219条」に規定された方法に則り加工している商品です。<br>●全長(m):3.0<br>●安全使用荷重2本垂直吊り(t):1.67<br>●スリング径(mm):10<br>●タイプ:両アイ<br>●質量(kg):1.22<br>●JIS規格(JIS G 3525)<br>●ロープ:炭素鋼<br>●芯:麻芯<br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-10S3】(4891571)玉掛けワイヤーロープ 段落し １０ｍｍＸ３ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-10S3】(4891571)玉掛けワイヤーロープ 段落し １０ｍｍＸ３ｍ 受注単位1,工事用品\吊りクランプ・スリング・荷締機\ワイヤロープスリング。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-10S3】(4891571)玉掛けワイヤーロープ 段落し １０ｍｍＸ３ｍ 受注単位1[rn]
10-20949,,3711.2000,,花・ガーデン・DIY > DIY・工具 > その他,【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【GRB-12S5】(7673159) ＷスリングＢタイプ片端シンブル 受注単位1,工事用品\吊りクランプ・スリング・荷締機\ワイヤロープスリング,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●編み込みの方法が従来の巻き差しと異なるため、品物がロープのより方向と反対方向にズレても抜けにくくなっています。<br>●1本ずつビニール個装となっているため受け渡しが楽で汚れません。<br>●生産物賠償責任保険（PL）付です。<br>●片側シンブル入り<br>●JIS規格(JIS G 3525)<br><br><br>●安全使用荷重2本垂直吊り(t)：2.40<br>●全長(m)：5.0<br>●スリング径(mm)：12<br>●タイプ：B<br>●質量(kg)：2.8<br><br><br>●ロープ：炭素鋼<br>●芯：麻芯<br>●スリーブ：アルミ合金<br>●シンブル：Q235（SS400相当）表面ドブメッキ<br>",【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【GRB-12S5】(7673159) ＷスリングＢタイプ片端シンブル 受注単位1：クローバー資材館,【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【GRB-12S5】(7673159) ＷスリングＢタイプ片端シンブル 受注単位1,工事用品\吊りクランプ・スリング・荷締機\ワイヤロープスリング。【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【GRB-12S5】(7673159) ＷスリングＢタイプ片端シンブル 受注単位1[rn]
10-20950,,2756.8000,,花・ガーデン・DIY > DIY・工具 > その他,【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【GRE-6S4】(7673302) ＷスリングＥタイプ両端シンブル 受注単位1,工事用品\吊りクランプ・スリング・荷締機\ワイヤロープスリング,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●編み込みの方法が従来の巻き差しと異なるため、品物がロープのより方向と反対方向にズレても抜けにくくなっています。<br>●1本ずつビニール個装となっているため受け渡しが楽で汚れません。<br>●生産物賠償責任保険（PL）付です。<br>●両側シンブル入り<br>●JIS規格(JIS G 3525)<br><br><br>●安全使用荷重2本垂直吊り(t)：0.66<br>●全長(m)：4.0<br>●スリング径(mm)：6<br>●タイプ：E<br>●質量(kg)：0.57<br><br><br>●ロープ：炭素鋼<br>●芯：麻芯<br>●スリーブ：アルミ合金<br>●シンブル：Q235（SS400相当）表面ドブメッキ<br>",【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【GRE-6S4】(7673302) ＷスリングＥタイプ両端シンブル 受注単位1：クローバー資材館,【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【GRE-6S4】(7673302) ＷスリングＥタイプ両端シンブル 受注単位1,工事用品\吊りクランプ・スリング・荷締機\ワイヤロープスリング。【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【GRE-6S4】(7673302) ＷスリングＥタイプ両端シンブル 受注単位1[rn]
10-20951,,900.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-6S6】(4892046)玉掛けワイヤーロープ 段落し ６ｍｍＸ６ｍ 受注単位1,工事用品\吊りクランプ・スリング・荷締機\ワイヤロープスリング,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●通常の巻差し加工に加え、加工時にフレミッシュ加工（頭割り）を施しており、より安全に玉掛け作業が行えます。<br>●1本ずつビニール個装となっているため受け渡しが楽で汚れません。<br>●生産物賠償責任保険（PL）付です。<br>●「労働安全衛生規則第475条及びクレーン等安全規則第219条」に規定された方法に則り加工している商品です。<br>●全長(m):6.0<br>●安全使用荷重2本垂直吊り(t):0.66<br>●スリング径(mm):6<br>●タイプ:両アイ<br>●質量(kg):0.85<br>●JIS規格(JIS G 3525)<br>●ロープ:炭素鋼<br>●芯:麻芯<br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-6S6】(4892046)玉掛けワイヤーロープ 段落し ６ｍｍＸ６ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-6S6】(4892046)玉掛けワイヤーロープ 段落し ６ｍｍＸ６ｍ 受注単位1,工事用品\吊りクランプ・スリング・荷締機\ワイヤロープスリング。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-6S6】(4892046)玉掛けワイヤーロープ 段落し ６ｍｍＸ６ｍ 受注単位1[rn]
10-20952,,1934.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-12S5】(4891694)玉掛けワイヤーロープ 段落し １２ｍｍＸ５ｍ 受注単位1,工事用品\吊りクランプ・スリング・荷締機\ワイヤロープスリング,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●通常の巻差し加工に加え、加工時にフレミッシュ加工（頭割り）を施しており、より安全に玉掛け作業が行えます。<br>●1本ずつビニール個装となっているため受け渡しが楽で汚れません。<br>●生産物賠償責任保険（PL）付です。<br>●「労働安全衛生規則第475条及びクレーン等安全規則第219条」に規定された方法に則り加工している商品です。<br>●全長(m):5.0<br>●安全使用荷重2本垂直吊り(t):2.40<br>●スリング径(mm):12<br>●タイプ:両アイ<br>●質量(kg):2.7<br>●JIS規格(JIS G 3525)<br>●ロープ:炭素鋼<br>●芯:麻芯<br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-12S5】(4891694)玉掛けワイヤーロープ 段落し １２ｍｍＸ５ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-12S5】(4891694)玉掛けワイヤーロープ 段落し １２ｍｍＸ５ｍ 受注単位1,工事用品\吊りクランプ・スリング・荷締機\ワイヤロープスリング。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-12S5】(4891694)玉掛けワイヤーロープ 段落し １２ｍｍＸ５ｍ 受注単位1[rn]
10-20953,,1722.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-14S2.5】(4891759)玉掛けワイヤーロープ 段落し １４ｍｍＸ２．５ｍ 受注単位1,工事用品\吊りクランプ・スリング・荷締機\ワイヤロープスリング,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●通常の巻差し加工に加え、加工時にフレミッシュ加工（頭割り）を施しており、より安全に玉掛け作業が行えます。<br>●1本ずつビニール個装となっているため受け渡しが楽で汚れません。<br>●生産物賠償責任保険（PL）付です。<br>●「労働安全衛生規則第475条及びクレーン等安全規則第219条」に規定された方法に則り加工している商品です。<br>●全長(m):2.5<br>●安全使用荷重2本垂直吊り(t):3.28<br>●スリング径(mm):14<br>●タイプ:両アイ<br>●質量(kg):2.27<br>●JIS規格(JIS G 3525)<br>●ロープ:炭素鋼<br>●芯:麻芯<br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-14S2.5】(4891759)玉掛けワイヤーロープ 段落し １４ｍｍＸ２．５ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-14S2.5】(4891759)玉掛けワイヤーロープ 段落し １４ｍｍＸ２．５ｍ 受注単位1,工事用品\吊りクランプ・スリング・荷締機\ワイヤロープスリング。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-14S2.5】(4891759)玉掛けワイヤーロープ 段落し １４ｍｍＸ２．５ｍ 受注単位1[rn]
10-20954,,3392.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-18S3】(4891929)玉掛けワイヤーロープ 段落し １８ｍｍＸ３ｍ 受注単位1,工事用品\吊りクランプ・スリング・荷締機\ワイヤロープスリング,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●通常の巻差し加工に加え、加工時にフレミッシュ加工（頭割り）を施しており、より安全に玉掛け作業が行えます。<br>●1本ずつビニール個装となっているため受け渡しが楽で汚れません。<br>●生産物賠償責任保険（PL）付です。<br>●「労働安全衛生規則第475条及びクレーン等安全規則第219条」に規定された方法に則り加工している商品です。<br>●全長(m):3.0<br>●安全使用荷重2本垂直吊り(t):5.42<br>●スリング径(mm):18<br>●タイプ:両アイ<br>●質量(kg):4.60<br>●JIS規格(JIS G 3525)<br>●ロープ:炭素鋼<br>●芯:麻芯<br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-18S3】(4891929)玉掛けワイヤーロープ 段落し １８ｍｍＸ３ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-18S3】(4891929)玉掛けワイヤーロープ 段落し １８ｍｍＸ３ｍ 受注単位1,工事用品\吊りクランプ・スリング・荷締機\ワイヤロープスリング。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-18S3】(4891929)玉掛けワイヤーロープ 段落し １８ｍｍＸ３ｍ 受注単位1[rn]
10-20955,,2517.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-18S1.5】(4891902)玉掛けワイヤーロープ 段落し １８ｍｍＸ１．５ｍ 受注単位1,工事用品\吊りクランプ・スリング・荷締機\ワイヤロープスリング,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●通常の巻差し加工に加え、加工時にフレミッシュ加工（頭割り）を施しており、より安全に玉掛け作業が行えます。<br>●1本ずつビニール個装となっているため受け渡しが楽で汚れません。<br>●生産物賠償責任保険（PL）付です。<br>●「労働安全衛生規則第475条及びクレーン等安全規則第219条」に規定された方法に則り加工している商品です。<br>●全長(m):1.5<br>●安全使用荷重2本垂直吊り(t):5.42<br>●スリング径(mm):18<br>●タイプ:両アイ<br>●質量(kg):3.00<br>●JIS規格(JIS G 3525)<br>●ロープ:炭素鋼<br>●芯:麻芯<br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-18S1.5】(4891902)玉掛けワイヤーロープ 段落し １８ｍｍＸ１．５ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-18S1.5】(4891902)玉掛けワイヤーロープ 段落し １８ｍｍＸ１．５ｍ 受注単位1,工事用品\吊りクランプ・スリング・荷締機\ワイヤロープスリング。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-18S1.5】(4891902)玉掛けワイヤーロープ 段落し １８ｍｍＸ１．５ｍ 受注単位1[rn]
10-20956,,5195.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-18S6】(4891953)玉掛けワイヤーロープ 段落し １８ｍｍＸ６ｍ 受注単位1,工事用品\吊りクランプ・スリング・荷締機\ワイヤロープスリング,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●通常の巻差し加工に加え、加工時にフレミッシュ加工（頭割り）を施しており、より安全に玉掛け作業が行えます。<br>●1本ずつビニール個装となっているため受け渡しが楽で汚れません。<br>●生産物賠償責任保険（PL）付です。<br>●「労働安全衛生規則第475条及びクレーン等安全規則第219条」に規定された方法に則り加工している商品です。<br>●全長(m):6.0<br>●安全使用荷重2本垂直吊り(t):5.42<br>●スリング径(mm):18<br>●タイプ:両アイ<br>●質量(kg):7.90<br>●JIS規格(JIS G 3525)<br>●ロープ:炭素鋼<br>●芯:麻芯<br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-18S6】(4891953)玉掛けワイヤーロープ 段落し １８ｍｍＸ６ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-18S6】(4891953)玉掛けワイヤーロープ 段落し １８ｍｍＸ６ｍ 受注単位1,工事用品\吊りクランプ・スリング・荷締機\ワイヤロープスリング。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-18S6】(4891953)玉掛けワイヤーロープ 段落し １８ｍｍＸ６ｍ 受注単位1[rn]
10-20957,,2650.4000,,花・ガーデン・DIY > DIY・工具 > その他,【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【GRB-6S5】(7673191) ＷスリングＢタイプ片端シンブル 受注単位1,工事用品\吊りクランプ・スリング・荷締機\ワイヤロープスリング,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●編み込みの方法が従来の巻き差しと異なるため、品物がロープのより方向と反対方向にズレても抜けにくくなっています。<br>●1本ずつビニール個装となっているため受け渡しが楽で汚れません。<br>●生産物賠償責任保険（PL）付です。<br>●片側シンブル入り<br>●JIS規格(JIS G 3525)<br><br><br>●安全使用荷重2本垂直吊り(t)：0.66<br>●全長(m)：5.0<br>●スリング径(mm)：6<br>●タイプ：B<br>●質量(kg)：0.68<br><br><br>●ロープ：炭素鋼<br>●芯：麻芯<br>●スリーブ：アルミ合金<br>●シンブル：Q235（SS400相当）表面ドブメッキ<br>",【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【GRB-6S5】(7673191) ＷスリングＢタイプ片端シンブル 受注単位1：クローバー資材館,【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【GRB-6S5】(7673191) ＷスリングＢタイプ片端シンブル 受注単位1,工事用品\吊りクランプ・スリング・荷締機\ワイヤロープスリング。【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【GRB-6S5】(7673191) ＷスリングＢタイプ片端シンブル 受注単位1[rn]
10-20958,,821.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-8S3】(4892097)玉掛けワイヤーロープ 段落し ８ｍｍＸ３ｍ 受注単位1,工事用品\吊りクランプ・スリング・荷締機\ワイヤロープスリング,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●通常の巻差し加工に加え、加工時にフレミッシュ加工（頭割り）を施しており、より安全に玉掛け作業が行えます。<br>●1本ずつビニール個装となっているため受け渡しが楽で汚れません。<br>●生産物賠償責任保険（PL）付です。<br>●「労働安全衛生規則第475条及びクレーン等安全規則第219条」に規定された方法に則り加工している商品です。<br>●全長(m):3.0<br>●安全使用荷重2本垂直吊り(t):1.07<br>●スリング径(mm):8<br>●タイプ:両アイ<br>●質量(kg):0.74<br>●JIS規格(JIS G 3525)<br>●ロープ:炭素鋼<br>●芯:麻芯<br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-8S3】(4892097)玉掛けワイヤーロープ 段落し ８ｍｍＸ３ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-8S3】(4892097)玉掛けワイヤーロープ 段落し ８ｍｍＸ３ｍ 受注単位1,工事用品\吊りクランプ・スリング・荷締機\ワイヤロープスリング。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-8S3】(4892097)玉掛けワイヤーロープ 段落し ８ｍｍＸ３ｍ 受注単位1[rn]
10-20959,,980.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-8S4】(4892101)玉掛けワイヤーロープ 段落し ８ｍｍＸ４ｍ 受注単位1,工事用品\吊りクランプ・スリング・荷締機\ワイヤロープスリング,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●通常の巻差し加工に加え、加工時にフレミッシュ加工（頭割り）を施しており、より安全に玉掛け作業が行えます。<br>●1本ずつビニール個装となっているため受け渡しが楽で汚れません。<br>●生産物賠償責任保険（PL）付です。<br>●「労働安全衛生規則第475条及びクレーン等安全規則第219条」に規定された方法に則り加工している商品です。<br>●全長(m):4.0<br>●安全使用荷重2本垂直吊り(t):1.07<br>●スリング径(mm):8<br>●タイプ:両アイ<br>●質量(kg):0.95<br>●JIS規格(JIS G 3525)<br>●ロープ:炭素鋼<br>●芯:麻芯<br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-8S4】(4892101)玉掛けワイヤーロープ 段落し ８ｍｍＸ４ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-8S4】(4892101)玉掛けワイヤーロープ 段落し ８ｍｍＸ４ｍ 受注単位1,工事用品\吊りクランプ・スリング・荷締機\ワイヤロープスリング。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TWD-8S4】(4892101)玉掛けワイヤーロープ 段落し ８ｍｍＸ４ｍ 受注単位1[rn]
10-20960,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005087843.jpg?fitin=700:700,16232.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　逆配電型ブレーカーリール　単相１００Ｖアース付　２７＋６ｍ【GBM-130K】(1061861) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ケーブルを作業現場まで引き出す逆配電型です。<br>●電線先端部分の3ッ口タップは防雨機能・逆配電機能に加え、本体に2連コンセントが付いており、通常のコードリール機能も持った1台3役のマルチタイプです。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　逆配電型ブレーカーリール　単相１００Ｖアース付　２７＋６ｍ【GBM-130K】(1061861) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　逆配電型ブレーカーリール　単相１００Ｖアース付　２７＋６ｍ【GBM-130K】(1061861) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　逆配電型ブレーカーリール　単相１００Ｖアース付　２７＋６ｍ【GBM-130K】(1061861) 受注単位1[rn]
10-20961,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002866818.jpg?fitin=700:700,25612.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　三相２００Ｖ型コードリール　５０ｍ　アース付【LP-502M】(1054384) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●複数の機器を同時に使用できるので作業効率がアップします。<br>●油やホコリの侵入を防ぐコンセントキャップ付です。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　三相２００Ｖ型コードリール　５０ｍ　アース付【LP-502M】(1054384) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　三相２００Ｖ型コードリール　５０ｍ　アース付【LP-502M】(1054384) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　三相２００Ｖ型コードリール　５０ｍ　アース付【LP-502M】(1054384) 受注単位1[rn]
10-20962,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002825263.jpg?fitin=700:700,11907.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　サンタイガーリール　単相１００Ｖ型　３０ｍ　アース付　過負荷ブレーカー付【BG-301KX】(1063189) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ハタヤのロングセラーのサンタイガーリールです。<br>●漏電・過負荷（使いすぎ）・短絡（ショート）を保護する漏電遮断器付です。<br>●しなやかなソフトムケーブルです。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　サンタイガーリール　単相１００Ｖ型　３０ｍ　アース付　過負荷ブレーカー付【BG-301KX】(1063189) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　サンタイガーリール　単相１００Ｖ型　３０ｍ　アース付　過負荷ブレーカー付【BG-301KX】(1063189) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　サンタイガーリール　単相１００Ｖ型　３０ｍ　アース付　過負荷ブレーカー付【BG-301KX】(1063189) 受注単位1[rn]
10-20963,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003805482.jpg?fitin=700:700,952.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日動工業/日動　防雨型延長コード５Ｍ【SW-5】(3686876) 受注単位1,工事用品\コードリール・延長コード\延長コード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●屋外作業に最適な防雨型延長コードです。",『カード対応OK！』■〒日動工業/日動　防雨型延長コード５Ｍ【SW-5】(3686876) 受注単位1：クローバー資材館,『カード対応OK！』■〒日動工業/日動　防雨型延長コード５Ｍ【SW-5】(3686876) 受注単位1,工事用品\コードリール・延長コード\延長コード。『カード対応OK！』■〒日動工業/日動　防雨型延長コード５Ｍ【SW-5】(3686876) 受注単位1[rn]
10-20964,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002825267.jpg?fitin=700:700,6804.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　サンタイガーリール　単相１００Ｖ　３０ｍ【GT-30】(1062751) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ロングセラーリールのサンタイガーリールです。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　サンタイガーリール　単相１００Ｖ　３０ｍ【GT-30】(1062751) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　サンタイガーリール　単相１００Ｖ　３０ｍ【GT-30】(1062751) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　サンタイガーリール　単相１００Ｖ　３０ｍ【GT-30】(1062751) 受注単位1[rn]
