10-21101,http://tshop.r10s.jp/clover9608/cabinet/pb1/t010002615077.jpg?fitin=700:700,17665.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャプタイヤケーブル２次側線　アース付　１０ｍ【TWC-3810KE】(3523560) 受注単位1,(3523560),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●弾力性のある強靱な天然ゴムを使用しているため、衝撃・摩耗などに強く、特に耐電圧特性は非常に優れています。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャプタイヤケーブル２次側線　アース付　１０ｍ【TWC-3810KE】(3523560) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャプタイヤケーブル２次側線　アース付　１０ｍ【TWC-3810KE】(3523560) 受注単位1,(3523560)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャプタイヤケーブル２次側線　アース付　１０ｍ【TWC-3810KE】(3523560) 受注単位1[rn]
10-21146,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004361185.jpg?fitin=700:700,9190.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒新富士バーナー/新富士　プロパン部品　ホース３ｍバルブ付【PB-H3MB(HS-3)】(3769038) 受注単位1,工事用品\溶接用品\ガスバーナー・トーチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●プロパンバーナー用ホース(部品）です。",『カード対応OK！』■〒新富士バーナー/新富士　プロパン部品　ホース３ｍバルブ付【PB-H3MB(HS-3)】(3769038) 受注単位1：クローバー資材館,『カード対応OK！』■〒新富士バーナー/新富士　プロパン部品　ホース３ｍバルブ付【PB-H3MB(HS-3)】(3769038) 受注単位1,工事用品\溶接用品\ガスバーナー・トーチ。『カード対応OK！』■〒新富士バーナー/新富士　プロパン部品　ホース３ｍバルブ付【PB-H3MB(HS-3)】(3769038) 受注単位1[rn]
10-21147,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004361181.jpg?fitin=700:700,16366.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒新富士バーナー/新富士　プロパンバーナー　Ｓ－３【S-3】(1235346) 受注単位1,工事用品\溶接用品\ガスバーナー・トーチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●酸素ボンベ不要・調整器不要のロウ付け加工用バーナーです。",『カード対応OK！』■〒新富士バーナー/新富士　プロパンバーナー　Ｓ&minus;３【S-3】(1235346) 受注単位1：クローバー資材館,『カード対応OK！』■〒新富士バーナー/新富士　プロパンバーナー　Ｓ&minus;３【S-3】(1235346) 受注単位1,工事用品\溶接用品\ガスバーナー・トーチ。『カード対応OK！』■〒新富士バーナー/新富士　プロパンバーナー　Ｓ&minus;３【S-3】(1235346) 受注単位1[rn]
10-21148,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005092784.jpg?fitin=700:700,3272.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒新富士バーナー/新富士　プロパンバーナー部品　火口３号【PB-3H】(3768961) 受注単位1,工事用品\溶接用品\ガスバーナー・トーチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●プロパンバーナー用火口（部品）です。",『カード対応OK！』■〒新富士バーナー/新富士　プロパンバーナー部品　火口３号【PB-3H】(3768961) 受注単位1：クローバー資材館,『カード対応OK！』■〒新富士バーナー/新富士　プロパンバーナー部品　火口３号【PB-3H】(3768961) 受注単位1,工事用品\溶接用品\ガスバーナー・トーチ。『カード対応OK！』■〒新富士バーナー/新富士　プロパンバーナー部品　火口３号【PB-3H】(3768961) 受注単位1[rn]
10-21149,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004358471.jpg?fitin=700:700,5640.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スタイル・インデックス/プリンス　ガストーチＧＴ－８０００【GT-8000】(1184741) 受注単位1,工事用品\溶接用品\ガスバーナー・トーチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●本体の一部が防じん、生活防水仕様です。<br>●空調調整により800～1800℃まで炎を変化します。<br>●縦、横、逆さ、どんな角度でも安定した炎です。",『カード対応OK！』■〒スタイル・インデックス/プリンス　ガストーチＧＴ&minus;８０００【GT-8000】(1184741) 受注単位1：クローバー資材館,『カード対応OK！』■〒スタイル・インデックス/プリンス　ガストーチＧＴ&minus;８０００【GT-8000】(1184741) 受注単位1,工事用品\溶接用品\ガスバーナー・トーチ。『カード対応OK！』■〒スタイル・インデックス/プリンス　ガストーチＧＴ&minus;８０００【GT-8000】(1184741) 受注単位1[rn]
10-21150,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005092838.jpg?fitin=700:700,5916.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒新富士バーナー/新富士　プロパン部品　火口Ｓ・１号【PB-S1H】(3769101) 受注単位1,工事用品\溶接用品\ガスバーナー・トーチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●プロパンバーナー用火口（部品）です。",『カード対応OK！』■〒新富士バーナー/新富士　プロパン部品　火口Ｓ・１号【PB-S1H】(3769101) 受注単位1：クローバー資材館,『カード対応OK！』■〒新富士バーナー/新富士　プロパン部品　火口Ｓ・１号【PB-S1H】(3769101) 受注単位1,工事用品\溶接用品\ガスバーナー・トーチ。『カード対応OK！』■〒新富士バーナー/新富士　プロパン部品　火口Ｓ・１号【PB-S1H】(3769101) 受注単位1[rn]
10-21151,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002809597.jpg?fitin=700:700,1402.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アサダ/アサダ　コールドシールドスプレー【R45250】(2462800) 受注単位1,工事用品\溶接用品\ロウ付用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ロウ付け・溶接時の熱を吸収し、金属に伝わる熱を遮断します。<br>●炎の接触部にバリアーを作り、バーナーの熱と炎から表面を保護します。<br>●無毒、非腐食性です。<br>●環境に優しい100%自然分解です。<br>●ペーストタイプ（R45251）はくり返し使用ができ経済的です。<br>●ロウ付け・溶接時の熱を吸収し、金属に伝わる熱を遮断します。　<br>●炎の接触部にバリアーを作り、バーナーの熱と炎から表面を保護します。　<br>●無毒、非腐食性のため、皮膚に付いても安全です。　<br>●環境に優しい100%自然分解です。　<br>●スプレータイプで幅広く塗布ができます。",『カード対応OK！』■〒アサダ/アサダ　コールドシールドスプレー【R45250】(2462800) 受注単位1：クローバー資材館,『カード対応OK！』■〒アサダ/アサダ　コールドシールドスプレー【R45250】(2462800) 受注単位1,工事用品\溶接用品\ロウ付用品。『カード対応OK！』■〒アサダ/アサダ　コールドシールドスプレー【R45250】(2462800) 受注単位1[rn]
10-21152,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004361186.jpg?fitin=700:700,565.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒新富士バーナー/新富士　アルミ硬ロウ　ＲＺ－１０１【RZ-101】(3769178) 受注単位1,工事用品\溶接用品\ロウ付用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●金属の接合が手軽にできるロウ材です。<br>●流動性に優れ、仕上がりが美しいです。アルマイト処理が出来ます。",『カード対応OK！』■〒新富士バーナー/新富士　アルミ硬ロウ　ＲＺ&minus;１０１【RZ-101】(3769178) 受注単位1：クローバー資材館,『カード対応OK！』■〒新富士バーナー/新富士　アルミ硬ロウ　ＲＺ&minus;１０１【RZ-101】(3769178) 受注単位1,工事用品\溶接用品\ロウ付用品。『カード対応OK！』■〒新富士バーナー/新富士　アルミ硬ロウ　ＲＺ&minus;１０１【RZ-101】(3769178) 受注単位1[rn]
10-21153,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005145053.jpg?fitin=700:700,21150.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒新富士バーナー/新富士　小型酸素溶接バーナーＯ２トーチ　ＯＴ－３０００【OT-3000】(1236016) 受注単位1,工事用品\溶接用品\ガスバーナー・トーチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●免許のいらない小型酸素バーナーで、初心者の方にも手軽に扱えます。",『カード対応OK！』■〒新富士バーナー/新富士　小型酸素溶接バーナーＯ２トーチ　ＯＴ&minus;３０００【OT-3000】(1236016) 受注単位1：クローバー資材館,『カード対応OK！』■〒新富士バーナー/新富士　小型酸素溶接バーナーＯ２トーチ　ＯＴ&minus;３０００【OT-3000】(1236016) 受注単位1,工事用品\溶接用品\ガスバーナー・トーチ。『カード対応OK！』■〒新富士バーナー/新富士　小型酸素溶接バーナーＯ２トーチ　ＯＴ&minus;３０００【OT-3000】(1236016) 受注単位1[rn]
10-21154,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002866799.jpg?fitin=700:700,2517.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本スペリア社/スペリア　リン銅ろう２．４ｍｍＸ５００【NS-0-2405】(2155150) 受注単位1,工事用品\溶接用品\ロウ付用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●流動性が非常に高いためすき間によく流れます。",『カード対応OK！』■〒日本スペリア社/スペリア　リン銅ろう２．４ｍｍＸ５００【NS-0-2405】(2155150) 受注単位1：クローバー資材館,『カード対応OK！』■〒日本スペリア社/スペリア　リン銅ろう２．４ｍｍＸ５００【NS-0-2405】(2155150) 受注単位1,工事用品\溶接用品\ロウ付用品。『カード対応OK！』■〒日本スペリア社/スペリア　リン銅ろう２．４ｍｍＸ５００【NS-0-2405】(2155150) 受注単位1[rn]
10-21155,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002866800.jpg?fitin=700:700,4192.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本スペリア社/スペリア　リン銅ろう１．６ｍｍＸ５００【NS-2-1605】(2155214) 受注単位1,工事用品\溶接用品\ロウ付用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●流動性もあり（BCup-2タイプには劣ります）、かつ盛りに適した（BCup-3タイプには劣ります）バランスの良いロウ材です。",『カード対応OK！』■〒日本スペリア社/スペリア　リン銅ろう１．６ｍｍＸ５００【NS-2-1605】(2155214) 受注単位1：クローバー資材館,『カード対応OK！』■〒日本スペリア社/スペリア　リン銅ろう１．６ｍｍＸ５００【NS-2-1605】(2155214) 受注単位1,工事用品\溶接用品\ロウ付用品。『カード対応OK！』■〒日本スペリア社/スペリア　リン銅ろう１．６ｍｍＸ５００【NS-2-1605】(2155214) 受注単位1[rn]
10-21156,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004361186.jpg?fitin=700:700,628.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒新富士バーナー/新富士　リン銅ロウ　ＲＺ－１０２【RZ-102】(3769186) 受注単位1,工事用品\溶接用品\ロウ付用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●金属の接合が手軽にできるロウ材です。<br>●銅対銅専用ロウ材です。",『カード対応OK！』■〒新富士バーナー/新富士　リン銅ロウ　ＲＺ&minus;１０２【RZ-102】(3769186) 受注単位1：クローバー資材館,『カード対応OK！』■〒新富士バーナー/新富士　リン銅ロウ　ＲＺ&minus;１０２【RZ-102】(3769186) 受注単位1,工事用品\溶接用品\ロウ付用品。『カード対応OK！』■〒新富士バーナー/新富士　リン銅ロウ　ＲＺ&minus;１０２【RZ-102】(3769186) 受注単位1[rn]
10-21157,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004361186.jpg?fitin=700:700,1258.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒新富士バーナー/新富士　アルミソルダー　ＲＺ－１０３【RZ-103】(3769194) 受注単位1,工事用品\溶接用品\ロウ付用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●金属の接合が手軽にできるロウ材です。<br>●溶融点が低く、作業が容易です。",『カード対応OK！』■〒新富士バーナー/新富士　アルミソルダー　ＲＺ&minus;１０３【RZ-103】(3769194) 受注単位1：クローバー資材館,『カード対応OK！』■〒新富士バーナー/新富士　アルミソルダー　ＲＺ&minus;１０３【RZ-103】(3769194) 受注単位1,工事用品\溶接用品\ロウ付用品。『カード対応OK！』■〒新富士バーナー/新富士　アルミソルダー　ＲＺ&minus;１０３【RZ-103】(3769194) 受注単位1[rn]
10-21158,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002866800.jpg?fitin=700:700,4192.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本スペリア社/スペリア　リン銅ろう２．４ｍｍＸ５００【NS-2-2405】(2155231) 受注単位1,工事用品\溶接用品\ロウ付用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●流動性もあり（BCup-2タイプには劣ります）、かつ盛りに適した（BCup-3タイプには劣ります）バランスの良いロウ材です。",『カード対応OK！』■〒日本スペリア社/スペリア　リン銅ろう２．４ｍｍＸ５００【NS-2-2405】(2155231) 受注単位1：クローバー資材館,『カード対応OK！』■〒日本スペリア社/スペリア　リン銅ろう２．４ｍｍＸ５００【NS-2-2405】(2155231) 受注単位1,工事用品\溶接用品\ロウ付用品。『カード対応OK！』■〒日本スペリア社/スペリア　リン銅ろう２．４ｍｍＸ５００【NS-2-2405】(2155231) 受注単位1[rn]
10-21159,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002866799.jpg?fitin=700:700,1157.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本スペリア社/スペリア　リン銅ろう２．４ｍｍＸ５００【NS-0-24015】(2155125) 受注単位1,工事用品\溶接用品\ロウ付用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●流動性が非常に高いためすき間によく流れます。",『カード対応OK！』■〒日本スペリア社/スペリア　リン銅ろう２．４ｍｍＸ５００【NS-0-24015】(2155125) 受注単位1：クローバー資材館,『カード対応OK！』■〒日本スペリア社/スペリア　リン銅ろう２．４ｍｍＸ５００【NS-0-24015】(2155125) 受注単位1,工事用品\溶接用品\ロウ付用品。『カード対応OK！』■〒日本スペリア社/スペリア　リン銅ろう２．４ｍｍＸ５００【NS-0-24015】(2155125) 受注単位1[rn]
10-21160,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004361186.jpg?fitin=700:700,1227.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒新富士バーナー/新富士　細工用銀ロウ　ＲＺ－１０７【RZ-107】(3769216) 受注単位1,工事用品\溶接用品\ロウ付用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●金属の接合が手軽にできるロウ材です。<br>●銀含有率が高いので美しく仕上がります。<br>●低温作業タイプです。<br>●カドミウムを含んでいません。",『カード対応OK！』■〒新富士バーナー/新富士　細工用銀ロウ　ＲＺ&minus;１０７【RZ-107】(3769216) 受注単位1：クローバー資材館,『カード対応OK！』■〒新富士バーナー/新富士　細工用銀ロウ　ＲＺ&minus;１０７【RZ-107】(3769216) 受注単位1,工事用品\溶接用品\ロウ付用品。『カード対応OK！』■〒新富士バーナー/新富士　細工用銀ロウ　ＲＺ&minus;１０７【RZ-107】(3769216) 受注単位1[rn]
10-21161,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005094058.jpg?fitin=700:700,1762.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒新富士バーナー/新富士　サポートスタンド　ＲＺ－３００【RZ-300】(3769313) 受注単位1,工事用品\溶接用品\ロウ付用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●小物のロウ付け作業の必需品です。<br>●360℃自由自在に固定できます。",『カード対応OK！』■〒新富士バーナー/新富士　サポートスタンド　ＲＺ&minus;３００【RZ-300】(3769313) 受注単位1：クローバー資材館,『カード対応OK！』■〒新富士バーナー/新富士　サポートスタンド　ＲＺ&minus;３００【RZ-300】(3769313) 受注単位1,工事用品\溶接用品\ロウ付用品。『カード対応OK！』■〒新富士バーナー/新富士　サポートスタンド　ＲＺ&minus;３００【RZ-300】(3769313) 受注単位1[rn]
10-21162,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002833789.jpg?fitin=700:700,1988.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本スペリア社/スペリア　リン銅ろう２．４ｍｍＸ５００【NS-2-24015】(2155206) 受注単位1,工事用品\溶接用品\ロウ付用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●流動性もあり（BCup-2タイプには劣ります）、かつ盛りに適した（BCup-3タイプには劣ります）バランスの良いロウ材です。",『カード対応OK！』■〒日本スペリア社/スペリア　リン銅ろう２．４ｍｍＸ５００【NS-2-24015】(2155206) 受注単位1：クローバー資材館,『カード対応OK！』■〒日本スペリア社/スペリア　リン銅ろう２．４ｍｍＸ５００【NS-2-24015】(2155206) 受注単位1,工事用品\溶接用品\ロウ付用品。『カード対応OK！』■〒日本スペリア社/スペリア　リン銅ろう２．４ｍｍＸ５００【NS-2-24015】(2155206) 受注単位1[rn]
10-21163,http://tshop.r10s.jp/clover9608/cabinet/pb7/t010004594732.jpg?fitin=700:700,583.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アルミ硬ロウ用フラックス　２０ｇ【TRZ-201】(3291537) 受注単位1,(3291537),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●乾燥して固まったり、吸湿しない水溶液タイプです。<br>●そのまま使え、塗りやすい樹脂ボトル容器です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アルミ硬ロウ用フラックス　２０ｇ【TRZ-201】(3291537) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アルミ硬ロウ用フラックス　２０ｇ【TRZ-201】(3291537) 受注単位1,(3291537)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　アルミ硬ロウ用フラックス　２０ｇ【TRZ-201】(3291537) 受注単位1[rn]
10-21164,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002833788.jpg?fitin=700:700,1157.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本スペリア社/スペリア　リン銅ろう１．６ｍｍＸ５００【NS-0-16015】(2155109) 受注単位1,工事用品\溶接用品\ロウ付用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●流動性が非常に高いためすき間によく流れます。",『カード対応OK！』■〒日本スペリア社/スペリア　リン銅ろう１．６ｍｍＸ５００【NS-0-16015】(2155109) 受注単位1：クローバー資材館,『カード対応OK！』■〒日本スペリア社/スペリア　リン銅ろう１．６ｍｍＸ５００【NS-0-16015】(2155109) 受注単位1,工事用品\溶接用品\ロウ付用品。『カード対応OK！』■〒日本スペリア社/スペリア　リン銅ろう１．６ｍｍＸ５００【NS-0-16015】(2155109) 受注単位1[rn]
10-21165,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004397497.jpg?fitin=700:700,2331.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アサダ/アサダ　カーボン電極（２ヶ入）【44106】(3760057) 受注単位1,工事用品\溶接用品\ロウ付用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●アームなしです。",『カード対応OK！』■〒アサダ/アサダ　カーボン電極（２ヶ入）【44106】(3760057) 受注単位1：クローバー資材館,『カード対応OK！』■〒アサダ/アサダ　カーボン電極（２ヶ入）【44106】(3760057) 受注単位1,工事用品\溶接用品\ロウ付用品。『カード対応OK！』■〒アサダ/アサダ　カーボン電極（２ヶ入）【44106】(3760057) 受注単位1[rn]
10-21166,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004361187.jpg?fitin=700:700,944.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒新富士バーナー/新富士　粉末ハンダ　ＲＺ－１５９【RZ-159】(3769267) 受注単位1,工事用品\溶接用品\ロウ付用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●接合部分にロウ材をあらかじめ塗っておくことにより、融点の見極めが不要になるため、初心者にもロウ付けが容易です。<br>●ロウ付けがきれいに仕上がり、ロウ材の余分な使用も抑えられます。<br>●使用する分だけロウ材とフラックスを混ぜるので、保存時の劣化が少ないです。<br>●RoHS対応商品です。",『カード対応OK！』■〒新富士バーナー/新富士　粉末ハンダ　ＲＺ&minus;１５９【RZ-159】(3769267) 受注単位1：クローバー資材館,『カード対応OK！』■〒新富士バーナー/新富士　粉末ハンダ　ＲＺ&minus;１５９【RZ-159】(3769267) 受注単位1,工事用品\溶接用品\ロウ付用品。『カード対応OK！』■〒新富士バーナー/新富士　粉末ハンダ　ＲＺ&minus;１５９【RZ-159】(3769267) 受注単位1[rn]
10-21167,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002866799.jpg?fitin=700:700,2517.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本スペリア社/スペリア　リン銅ろう２．０ｍｍＸ５００【NS-0-2005】(2155141) 受注単位1,工事用品\溶接用品\ロウ付用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●流動性が非常に高いためすき間によく流れます。",『カード対応OK！』■〒日本スペリア社/スペリア　リン銅ろう２．０ｍｍＸ５００【NS-0-2005】(2155141) 受注単位1：クローバー資材館,『カード対応OK！』■〒日本スペリア社/スペリア　リン銅ろう２．０ｍｍＸ５００【NS-0-2005】(2155141) 受注単位1,工事用品\溶接用品\ロウ付用品。『カード対応OK！』■〒日本スペリア社/スペリア　リン銅ろう２．０ｍｍＸ５００【NS-0-2005】(2155141) 受注単位1[rn]
10-21168,,72576.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒日動工業/日動 トランス【BM12-1020DA】(7814186) 日動 デジタルインバーター直流溶接機 ＢＭウェルダー1020 発注単位1,工事用品\溶接用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●単相100/200V兼用なので、さまざまな現場で点付け・連続溶接から溶断も可能です。<br>
●単相100Ｖ/200Ｖ兼用なのでさまざまな現場で点付け・連続溶接から溶断も可能です。<br>
●軽天作業や内装工事などの出張作業もらくらく溶接できます。<br>
●インバーター方式だから強力・軽量・コンパクトです。<br>
●軽天作業や内装工事など出張作業に。<br>
●狭所での溶接作業に。<br>
●軽天作業や内装工事などの出張作業に。<br>
●狭所での溶接作業に。<br>
●入力電圧(V):単相100/200V<br>
●定格入力(kVA):3.2/8.5<br>
●出力電流(A):100/200<br>
●使用率(%):50<br>
●幅(mm):148<br>
●奥行(mm):440<br>
●高さ(mm):232<br>
●溶接棒径(mm):2.6/4.0<br>
●電撃防止機能付<br>
●電源ケーブル2m（先端丸端子）<br>
●100V/200V兼用<br>
●使用可能母材(mm):100Ｖ：1.0～5.0/200Ｖ：3.0～12.0<br>
●電撃防止機能付<br>
●端子カバー<br>
●ホルダー・アースは付属しておりません。<br>
●屋内型です。雨天の屋外では使用しないでください。",■〒日動工業/日動 トランス【BM12-1020DA】(7814186) 日動 デジタルインバーター直流溶接機 ＢＭウェルダー1020 発注単位1：クローバー資材館,■〒日動工業/日動 トランス【BM12-1020DA】(7814186) 日動 デジタルインバーター直流溶接機 ＢＭウェルダー1020 発注単位1,工事用品\溶接用品。■〒日動工業/日動 トランス【BM12-1020DA】(7814186) 日動 デジタルインバーター直流溶接機 ＢＭウェルダー1020 発注単位1[rn]
10-21169,,204.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒三菱鉛筆/ｕｎｉ マーカー【PXA300.2】(7924194) ｕｎｉ アルコールペイントマーカー 太字黄 発注単位1,工事用品\溶接用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●いろんな素材に筆記可能な油性ツインマーカーで、工業用として最適です。<br>
●工業用として各種素材、部品へのマーキング、識別に最適。<br>
●色:黄<br>
●文字サイズ:太字<br>
●サイズ：軸径Ф23.2×厚さ25.6×全長146.1mm<br>
●本体:油性染料<br>
●芯:アクリル繊維",■〒三菱鉛筆/ｕｎｉ マーカー【PXA300.2】(7924194) ｕｎｉ アルコールペイントマーカー 太字黄 発注単位1：クローバー資材館,■〒三菱鉛筆/ｕｎｉ マーカー【PXA300.2】(7924194) ｕｎｉ アルコールペイントマーカー 太字黄 発注単位1,工事用品\溶接用品。■〒三菱鉛筆/ｕｎｉ マーカー【PXA300.2】(7924194) ｕｎｉ アルコールペイントマーカー 太字黄 発注単位1[rn]
10-21170,,227.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒不易糊工業/フエキ 建築用品【SC10-3R】(8185639) フエキ 建築用ソフトカラー鉛筆 赤 発注単位1,工事用品\溶接用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●耐水性のあるホルダー型ソフトカラー鉛筆です。<br>
●ガラス・金属・プラスチック・コンクリートなどいろいろな素材への書き込みができます。<br>
●水分の付着した面にも書き込め、雨の日の作業にも使用できます。<br>
●工業用素材・部品へのマーキング用。<br>
●色:赤<br>
●幅(mm):38<br>
●奥行(mm):8<br>
●高さ(mm):230<br>
●顔料",■〒不易糊工業/フエキ 建築用品【SC10-3R】(8185639) フエキ 建築用ソフトカラー鉛筆 赤 発注単位1：クローバー資材館,■〒不易糊工業/フエキ 建築用品【SC10-3R】(8185639) フエキ 建築用ソフトカラー鉛筆 赤 発注単位1,工事用品\溶接用品。■〒不易糊工業/フエキ 建築用品【SC10-3R】(8185639) フエキ 建築用ソフトカラー鉛筆 赤 発注単位1[rn]
