10-99501,http://tshop.r10s.jp/ainekusu/cabinet/02351767/03425441/imgrc0067101943.gif?fitin=700:700,64800.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動工具セット,【KTC】工具セット6.3sq./9.5sq./93点入組/EKR-103【SK59316E】EKR-103エキスパートセット(定番セット+α),店内複数エントリーPT最大24倍チャンス！4/17 9:59まで,"<br><b>機能もデザインも譲れないプロも納得の充実の入組</b><br>
エンジンのヘッドカバーを彷彿させる個性際立つフォルムに余裕の収納量を実現したチェスト「EKR-103」(シルバー×レッド)を採用しました。<br>
近年の自動車産業のグローバル化にともなうねじサイズに対応します。(9.5sq.ソケット、めがねレンチ：15、16、18mm)<br>
狭い場所で効率的で快適な作業ができる、6.3sq.ソケットレンチを追加。プラグレンチは14mmと16mmをセットしました。<br>
オーディオ、カーナビ、ETCの取り付けに欠かせない内装取り外しに便利なハンディーリムーバーをセット。<br><br>
■入組内容<br>
・45°×6°ロングめがねレンチ：M5-0810、M5-1012、M5-1113、M5-1214、M5-1315、M5-1417、M5-1618、M5-1719、M5-2224<br>
・コンビネーションレンチ：MS2-08、MS2-10、MS2-12、MS2-13、MS2-14、MS2-17<br>
・コンビネーションプライヤ(ソフトグリップ付)：PJ-200<br>・ニッパ：PN1-150<br>
・ラジオペンチ(スタンダードタイプ)：PSL-150<br>・板ラチェット差替えドライバセット：TMDB8<br>
・コンビハンマ：UD7-10<br>・モンキレンチ：WM-250<br>・マグネット付パーツトレイ：YKPT-RM<br>
・ハンディリムーバー(中サイズ)：AP201-10A<br>・ハンディリムーバー(ナロウタイプ)：AP201-N<br>
・6.3sq.ソケット(六角)：B2-05、B2-055、B2-06、B2-07、B2-08、B2-10、B2-12<br>
・9.5sq.ソケット(六角)：B3-08、B3-10、B3-12、B3-13、B3-14、B3-15、B3-16、B3-17、B3-18、B3-19、B3-21、B3-22<br>
・9.5sq.プラグレンチ：B3A-14SP<br>・9.5sq.プラグレンチ(薄肉タイプ)：B3A-16SP<br>
・9.5sq.ディープソケット(六角)：B3L-08、B3L-10、B3L-12、B3L-14<br>
・6.3sq.エクステンションバー：BE2-050、BE2-100<br>・9.5sq.エクステンションバー：BE3-050、BE3-075、BE3-150<br>
・9.5sq.クイックスピンナ：BE3-Q<br>・9.5sq.ユニバーサルジョイント：BJ3<br>
・6.3sq.ラチェットハンドル：BR2E<br>・9.5sq.ラチェットハンドル：BR3E<br>・9.5sq.スピンナハンドル：BS3E<br>
・9.5sq.ショートヘキサゴンビットソケット：BT3-05S、BT3-06S、BT3-08S、BT3-10S<br>
・9.5sq.T型トルクスビットソケット：BT3-T25、BT3-T27、BT3-T30、BT3-T40、BT3-T45<br>
・樹脂柄ドライバ(マイナス貫通タイプ)：D1M2-5、D1M2-6、D1M2-8<br>
・樹脂柄スタッビドライバ(マイナス)：D1MS-6<br>
・樹脂柄ドライバ(クロス貫通タイプ)：D1P2-1、D1P2-2、D1P2-3<br>
・樹脂柄スタッビドライバ(クロス)：D1PS-2<br>
・6.3sq.ソケットホルダー：EHB210<br>・9.5sq.ソケットホルダー：EHB310<br>
・ボールポイントL形ロング六角棒レンチセット(9本組)：HL259SP<br>",【KTC】工具セット6.3sq./9.5sq./93点入組/EKR-103【SK59316E】EKR-103エキスパートセット(定番セット+α)：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガス【KTC】工具セット6.3sq./9.5sq./93点入組/EKR-103【SK59316E】EKR-103エキスパートセット(定番セット+α),店内複数エントリーPT最大24倍チャンス！4/17 9:59まで。【KTC】工具セット6.3sq./9.5sq./93点入組/EKR-103【SK59316E】EKR-103エキスパートセット(定番セット+α)[rn]
10-99548,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/06/4907587346148.jpg?fitin=700:700,440.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ベッセル ゴールドビット GM-142110 [ インパクト ビット ビス ネジ 外れない 種類 ネジはずし ゆるみ止め インパクトドライバー対応 diy 作業工具 大工道具 通販 ],先端工具：ドリルアタッチメント：メーカー品ビット,【用途】<br>ねじ締め作業。<br><br>【機能・特徴】<br>電動・充電・エアードライバーに適しています。<br>インパクトドライバー対応です。<br>両頭ゴールドビットです。<br><br>【仕様】<br>●サイズ：(+)No.2。<br>●全長：110mm。<br>●マグネット入。<br>●軸径：六角対辺6.35mm。<br>●2本組。<br><br>,ベッセル ゴールドビット GM-142110 [ インパクト ビット ビス ネジ 外れない 種類 ネジはずし ゆるみ止め インパクトドライバー対応 diy 作業工具 大工道具 通販 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ベッセル ゴールドビット GM-142110 [ インパクト ビット ビス ネジ 外れない 種類 ネジはずし ゆるみ止め インパクトドライバー対応 diy 作業工具 大工道具 通販 ],先端工具：ドリルアタッチメント：メーカー品ビット。ベッセル ゴールドビット GM-142110 [ インパクト ビット ビス ネジ 外れない 種類 ネジはずし ゆるみ止め インパクトドライバー対応 diy 作業工具 大工道具 通販 ][rn]
10-99549,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/08/4977292372749.jpg?fitin=700:700,776.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ＳＫ１１ 六角軸ロータリーヤスリ木工用 NO.R-HEX [ ヤスリ 刃 研削 diy 工具 作業工具 錆 取り 研磨 さび落とし バリ取り 切削加工 diy 作業工具 大工道具 ],先端工具：ドリルアタッチメント：ロータリーヤスリ,【用途】<br>木材などの削り、磨き作業、工作などに。<br><br>【機能・特徴】<br>6.35mm六角軸なので、インパクトドライバーにワンタッチで装着できます。<br>オーバーハングは15mm以下でご使用ください。<br><br>【仕様】<br>●14×35mm。<br>●対応機種：電気ドリル・インパクトドライバー。<br>●ドリルの回転数は3000rpm以下でご使用ください。<br><br>【商品サイズ】奥行65×幅15×高さ15mm　重量30g<br><br>,ＳＫ１１ 六角軸ロータリーヤスリ木工用 NO.R-HEX [ ヤスリ 刃 研削 diy 工具 作業工具 錆 取り 研磨 さび落とし バリ取り 切削加工 diy 作業工具 大工道具 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＳＫ１１ 六角軸ロータリーヤスリ木工用 NO.R-HEX [ ヤスリ 刃 研削 diy 工具 作業工具 錆 取り 研磨 さび落とし バリ取り 切削加工 diy 作業工具 大工道具 ],先端工具：ドリルアタッチメント：ロータリーヤスリ。ＳＫ１１ 六角軸ロータリーヤスリ木工用 NO.R-HEX [ ヤスリ 刃 研削 diy 工具 作業工具 錆 取り 研磨 さび落とし バリ取り 切削加工 diy 作業工具 大工道具 ][rn]
10-99550,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/06/4907587350206.jpg?fitin=700:700,1888.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ベッセル ゴールドビットセット BW-10 [ インパクト ビットセット ビス ネジ 外れない 種類 ネジはずし ゆるみ止め インパクトドライバー対応 diy 作業工具 大工道具 通販 ],先端工具：ドリルアタッチメント：メーカー品ビット,【用途】<br>ねじ締め作業。<br><br>【機能・特徴】<br>電動・充電ドライバー用ビットをホルダーに収納したセットです。 。<br>ベルトに取付可能なホルダー付です。<br><br>【仕様】<br>●セット内容：(+)1・(+)2・(+)3・(-)4・(-)6・対辺(2.5・3・4・5・6)・マグネット付きビットホルダー。<br>●ゴールドビット10本組。<br>●軸径：六角対辺6.35mm。<br>●マグネット入。<br><br>【材質】<br>●工具用特殊合金鋼。<br><br>,ベッセル ゴールドビットセット BW-10 [ インパクト ビットセット ビス ネジ 外れない 種類 ネジはずし ゆるみ止め インパクトドライバー対応 diy 作業工具 大工道具 通販 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ベッセル ゴールドビットセット BW-10 [ インパクト ビットセット ビス ネジ 外れない 種類 ネジはずし ゆるみ止め インパクトドライバー対応 diy 作業工具 大工道具 通販 ],先端工具：ドリルアタッチメント：メーカー品ビット。ベッセル ゴールドビットセット BW-10 [ インパクト ビットセット ビス ネジ 外れない 種類 ネジはずし ゆるみ止め インパクトドライバー対応 diy 作業工具 大工道具 通販 ][rn]
10-99551,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/06/4907587354310.jpg?fitin=700:700,336.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ベッセル タッピングビット A14H2065 [ インパクト ビット ビス ネジ 外れない 種類 ネジはずし ゆるみ止め インパクトドライバー対応 diy 作業工具 大工道具 通販 ],先端工具：ドリルアタッチメント：メーカー品ビット,【用途】<br>ねじ締め作業。<br><br>【機能・特徴】<br>サッシネジ、タッピングネジ･ドリルネジなどハードな作業に最適です。<br>インパクトドライバー対応です。<br><br>【仕様】<br>●サイズ：(+)No.2。<br>●ビット長さ：65mm。<br>●2本組。<br><br>,ベッセル タッピングビット A14H2065 [ インパクト ビット ビス ネジ 外れない 種類 ネジはずし ゆるみ止め インパクトドライバー対応 diy 作業工具 大工道具 通販 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ベッセル タッピングビット A14H2065 [ インパクト ビット ビス ネジ 外れない 種類 ネジはずし ゆるみ止め インパクトドライバー対応 diy 作業工具 大工道具 通販 ],先端工具：ドリルアタッチメント：メーカー品ビット。ベッセル タッピングビット A14H2065 [ インパクト ビット ビス ネジ 外れない 種類 ネジはずし ゆるみ止め インパクトドライバー対応 diy 作業工具 大工道具 通販 ][rn]
10-99552,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/08/4977292370745.jpg?fitin=700:700,1120.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ＳＫ１１ 六角軸フリードリル 19MM [ 鉄工用 ドリルビット 穴あけドリル インパクトドライバー 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ],先端工具：鉄工ドリル：鉄工ドリル,【用途】<br>鉄・アルミ、木材等の穴あけ等に。またバリ取り・面取りに。<br><br>【機能・特徴】<br>５枚の切削刃により、面取り・バリ取り後の切削面を美しく仕上げます。<br>耐熱性を上げ耐久力をアップしました。<br>六角軸仕様ですので、インパクトドライバーにワンタッチで着脱できます。<br><br>【仕様】<br>●材質：ハイス鋼（チタンコーティング仕上げ）　刃先：5枚刃仕様。<br><br>【商品サイズ】幅１９×高さ５０×奥行１９ｍｍ　重量40g<br><br>【注意事項・その他】<br>熱処理された材料（焼き入れ鋼など）には穴あけできません。<br><br>,ＳＫ１１ 六角軸フリードリル 19MM [ 鉄工用 ドリルビット 穴あけドリル インパクトドライバー 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＳＫ１１ 六角軸フリードリル 19MM [ 鉄工用 ドリルビット 穴あけドリル インパクトドライバー 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ],先端工具：鉄工ドリル：鉄工ドリル。ＳＫ１１ 六角軸フリードリル 19MM [ 鉄工用 ドリルビット 穴あけドリル インパクトドライバー 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ][rn]
10-99553,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/06/4957462106329.jpg?fitin=700:700,936.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ミヤナガ デルタゴンビット ＳＤＳ 6.4X116MM コンクリート、ブロック、モルタル、石材、デッキプレート＋コンクリート等への穴あけ作業に。 [ コンクリートドリル ドリルビット 穴あけドリル 電動ドリル diy 切削工具 作業工具 通販 ],先端工具：コンクリートドリル：六角軸ビット・ＳＤＳ,【用途】<br>コンクリート、ブロック、モルタル、石材、デッキプレート＋コンクリート等への穴あけ作業に。<br><br>【機能・特徴】<br>対鉄筋性能が向上。<br>デッキプレートを貫通。<br>真円に近い穴あけを実現。<br>位置決め性能向上。<br>3条ねじ形状を採用少ない外径摩耗。<br><br>【仕様】<br>●適合電動機：軽量型ハンマードリル。<br><br>【商品サイズ】奥行116××mm　重量36.6g<br><br>,ミヤナガ デルタゴンビット ＳＤＳ 6.4X116MM コンクリート、ブロック、モルタル、石材、デッキプレート＋コンクリート等への穴あけ作業に。 [ コンクリートドリル ドリルビット 穴あけドリル 電動ドリル diy 切削工具 作業工具 通販 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ミヤナガ デルタゴンビット ＳＤＳ 6.4X116MM コンクリート、ブロック、モルタル、石材、デッキプレート＋コンクリート等への穴あけ作業に。 [ コンクリートドリル ドリルビット 穴あけドリル 電動ドリル diy 切削工具 作業工具 通販 ],先端工具：コンクリートドリル：六角軸ビット・ＳＤＳ。ミヤナガ デルタゴンビット ＳＤＳ 6.4X116MM コンクリート、ブロック、モルタル、石材、デッキプレート＋コンクリート等への穴あけ作業に。 [ コンクリートドリル ドリルビット 穴あけドリル 電動ドリル diy 切削工具 作業工具 通販 ][rn]
10-99554,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/06/4957462133646.jpg?fitin=700:700,4032.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ミヤナガ デルタゴンビット 六角軸 DLHEX175 コンクリート、ブロック、モルタル、石材、デッキプレート＋コンクリート等の穴あけ作業に [ コンクリートドリル ドリルビット 穴あけドリル 電動ドリル diy 切削工具 作業工具 通販 ],先端工具：コンクリートドリル：六角軸ビット・ＳＤＳ,【用途】<br>コンクリート、ブロック、モルタル、石材、デッキプレート＋コンクリート等の穴あけ作業。<br><br>【機能・特徴】<br>対鉄筋性能が向上。<br>位置決め性能が向上。<br>少ない外径摩耗。<br>穿孔による衝撃が少なく、疲労が少ない。<br>デッキプレートを貫通。<br><br>【仕様】<br>●適合電動機：電気ハンマードリル。<br><br>【商品サイズ】奥行280××mm　重量443.8g<br><br>,ミヤナガ デルタゴンビット 六角軸 DLHEX175 コンクリート、ブロック、モルタル、石材、デッキプレート＋コンクリート等の穴あけ作業に [ コンクリートドリル ドリルビット 穴あけドリル 電動ドリル diy 切削工具 作業工具 通販 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ミヤナガ デルタゴンビット 六角軸 DLHEX175 コンクリート、ブロック、モルタル、石材、デッキプレート＋コンクリート等の穴あけ作業に [ コンクリートドリル ドリルビット 穴あけドリル 電動ドリル diy 切削工具 作業工具 通販 ],先端工具：コンクリートドリル：六角軸ビット・ＳＤＳ。ミヤナガ デルタゴンビット 六角軸 DLHEX175 コンクリート、ブロック、モルタル、石材、デッキプレート＋コンクリート等の穴あけ作業に [ コンクリートドリル ドリルビット 穴あけドリル 電動ドリル diy 切削工具 作業工具 通販 ][rn]
10-99555,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/07/4977292319539.jpg?fitin=700:700,2240.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ＳＫ１１ アイアンホールソー 鉄工用 26MM [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ],先端工具：鉄工ドリル：鉄工ホールソー,【用途】<br>一般鋼（鉄）への穴あけあ作業に。（厚み３ｍｍ以下）。<br><br>【機能・特徴】<br>ハイスブレード採用で穴あけスピード抜群。<br><br>【仕様】<br>●穴あけサイズ26mm。<br>●軸径六角10mm。<br><br>【材質】<br>●刃部・センタードリル/ハイス製。<br><br>【商品サイズ】奥行95×幅30×高さ30mm　重量120g<br><br>【注意事項・その他】<br>ステンレスへの穴あけはおやめ下さい。取扱説明書の適正回転数を超える穴あけはおやめ下さい。<br><br>,ＳＫ１１ アイアンホールソー 鉄工用 26MM [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＳＫ１１ アイアンホールソー 鉄工用 26MM [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ],先端工具：鉄工ドリル：鉄工ホールソー。ＳＫ１１ アイアンホールソー 鉄工用 26MM [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ][rn]
10-99556,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/06/4957462086546.jpg?fitin=700:700,760.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ミヤナガ 充電ドライバードリル 3.5MM [ コンクリートドリル ドリルビット 穴あけドリル インパクトドライバー 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ],先端工具：コンクリートドリル：ホールドリル,【用途】<br>ブロック、モルタル、石膏ボード、コンクリート（振動ドリルをお勧めします。）等への穴あけ作業に。<br><br>【機能・特徴】<br>六角軸シャンク（6.35mm）により充電インパクトドライバーにダイレクトにワンタッチで取り付けが可能。<br>一体型のため、フレが少なく、耐久性にも優れています。<br>独自の超硬チップの採用により優れた切れ味がえられます。<br>刃先は、振動、回転兼用形状になっていますので、お手持ちの振動ドリル又は回転ドリルにそのまま取り付けて使用できます。<br><br>【仕様】<br>●適合電動機：電気ドリル（振動・回転いずれも適合します）。<br><br>【商品サイズ】奥行90××mm　重量11.6g<br><br>【注意事項・その他】<br>充電式ドリルは、9.6V以上を使用してください。<br><br>,ミヤナガ 充電ドライバードリル 3.5MM [ コンクリートドリル ドリルビット 穴あけドリル インパクトドライバー 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ミヤナガ 充電ドライバードリル 3.5MM [ コンクリートドリル ドリルビット 穴あけドリル インパクトドライバー 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ],先端工具：コンクリートドリル：ホールドリル。ミヤナガ 充電ドライバードリル 3.5MM [ コンクリートドリル ドリルビット 穴あけドリル インパクトドライバー 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ][rn]
10-99557,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/06/4933196220241.jpg?fitin=700:700,2144.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ＮＣＣ インパクトホールソーＨ－ＣＸ 24mm 鉄工用 [ ホールソー ホルソー ドリルビット インパクトドライバー 穴あけ 大工道具 ] 花・ガーデン・DIY DIY・工具 電動工具 電動ドリル,インパクトドライバー用ホールソー。低消費電力、低トルクタイプ,【機能・特徴】<br>インパクトドライバーでホールソー加工ができます。もちろん、一般のドリルチャック仕様のコードレスドリル電気ドリルや、AC100V電気ドリルでの使用もできます。<br>切れ味いちばん！。低消費電力、低トルクタイプのホールソーです。<br>タフな六角軸と強靭無比な刃先によるパワフルな加工を実現します。<br>対辺6.3ｍｍ、ビットシャンク方式の採用により、どのメーカーのインパクトドライバーにもワンタッチ脱着できます。<br>新歯形採用で欠けにくく、新方式によるアサリ加工で穿孔率アップ。<br><br>【仕様】<br>●適応機器：コードレス電気ドリル、電気ドリル。<br>●刃数：8山。<br>●有効長さ：12.5ｍｍ。<br>●適応板厚：1.6ｍｍ。<br>●シャンク径：6.3ｍｍ（六角軸）。<br><br>【材質】<br>●刃部：高級ハイス　マトリックスハイス。<br>●スプリング：SWPA。<br><br>【商品サイズ】奥行67×幅25×高さ25mm　重量37.5g<br><br>,ＮＣＣ インパクトホールソーＨ&minus;ＣＸ 24mm 鉄工用 [ ホールソー ホルソー ドリルビット インパクトドライバー 穴あけ 大工道具 ] 花・ガーデン・DIY DIY・工具 電動工具 電動ドリル：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＮＣＣ インパクトホールソーＨ&minus;ＣＸ 24mm 鉄工用 [ ホールソー ホルソー ドリルビット インパクトドライバー 穴あけ 大工道具 ] 花・ガーデン・DIY DIY・工具 電動工具 電動ドリル,インパクトドライバー用ホールソー。低消費電力、低トルクタイプ。ＮＣＣ インパクトホールソーＨ&minus;ＣＸ 24mm 鉄工用 [ ホールソー ホルソー ドリルビット インパクトドライバー 穴あけ 大工道具 ] 花・ガーデン・DIY DIY・工具 電動工具 電動ドリル[rn]
10-99558,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/08/4977292374415.jpg?fitin=700:700,688.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ＳＫ１１ 六角軸３倍ドリル 3.0MM 3PCS [ 鉄工用 ドリルビット セット 穴あけドリル インパクトドライバー 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ],先端工具：鉄工ドリル：鉄工ドリル,【用途】<br>鉄・ステンレス鋼等の穴あけ。<br><br>【機能・特徴】<br>刃先は特殊な段付形状です。<br>中心と外周の２箇所で切削を行うので穴あけスピードが３倍速い（メーカー比）。<br>バリが出にくく真円に近い穴あけが出来ます。<br>摩擦で生じる熱作用を受けにくい。<br>またドリルにかかる負荷が小さいのでバッテリーの消耗も抑えられます。<br><br>【仕様】<br>●材質/ハイス鋼　六角軸　適応板厚/鉄（ドリル直径Ｘ3倍）、ステンレス鋼（ドリル直径Ｘ1/2倍）　3.0MM 3PCS。<br><br>【商品サイズ】奥行82×幅6×高さ6mm　重量40g<br><br>【注意事項・その他】<br>熱処理された材料（焼き入れ鋼など）には穴あけできません。<br><br>,ＳＫ１１ 六角軸３倍ドリル 3.0MM 3PCS [ 鉄工用 ドリルビット セット 穴あけドリル インパクトドライバー 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＳＫ１１ 六角軸３倍ドリル 3.0MM 3PCS [ 鉄工用 ドリルビット セット 穴あけドリル インパクトドライバー 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ],先端工具：鉄工ドリル：鉄工ドリル。ＳＫ１１ 六角軸３倍ドリル 3.0MM 3PCS [ 鉄工用 ドリルビット セット 穴あけドリル インパクトドライバー 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ][rn]
10-99559,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/07/4977292310499.jpg?fitin=700:700,592.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ＳＫ１１ 木工用ボアビット 27MM [ 木工用 ドリルビット スタンド  穴あけドリル インパクトドラバー 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ],先端工具：木工ドリル：木工ドリル１,【用途】<br>木材の止め穴・斜め穴・重ね穴あけに最適。<br><br>【機能・特徴】<br>インパクトドライバーにワンタッチ装着。<br>大径サイズの穴あけも安全に使用できます。<br>竹などへの穴あけもキレイに仕上がります。<br><br>【仕様】<br>●軸径：6.35mm六角軸。<br>●適正回転数　1500min-1以下。<br><br>【商品サイズ】奥行96×幅27×高さ27mm<br><br>【注意事項・その他】<br>保護メガネを着用して下さい。肌を出さない服装で作業をして下さい。適正回転数を守って下さい。<br><br>,ＳＫ１１ 木工用ボアビット 27MM [ 木工用 ドリルビット スタンド  穴あけドリル インパクトドラバー 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＳＫ１１ 木工用ボアビット 27MM [ 木工用 ドリルビット スタンド  穴あけドリル インパクトドラバー 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ],先端工具：木工ドリル：木工ドリル１。ＳＫ１１ 木工用ボアビット 27MM [ 木工用 ドリルビット スタンド  穴あけドリル インパクトドラバー 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ][rn]
