10-141201,,10444.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 溶接・熱工具 > 溶接機器,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TF-1515K】(4875397)溶接フェンス用フレーム １５１５型 単体 固定足タイプ 受注単位1,工事用品\溶接用品\溶接遮光フェンス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●溶接遮光フェンス用のフレームです。<br>●枠内寸法(横×高さ)(mm):1500×1500<br>●足形状:固定足<br>●適合シート:D15-3<br>●タイプ:単体型<br>●樹脂被覆スチールパイプフレーム<br>●フレーム径: ２８mm<br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TF-1515K】(4875397)溶接フェンス用フレーム １５１５型 単体 固定足タイプ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TF-1515K】(4875397)溶接フェンス用フレーム １５１５型 単体 固定足タイプ 受注単位1,工事用品\溶接用品\溶接遮光フェンス。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TF-1515K】(4875397)溶接フェンス用フレーム １５１５型 単体 固定足タイプ 受注単位1[rn]
10-141252,http://tshop.r10s.jp/bp-shop/cabinet/goq013/imgrc0063523335.jpg?fitin=700:700,1104.0000,,花・ガーデン・DIY > DIY・工具 > 配管工具,ボアスコープ 3R-BS15 工業用 一般用 点検鏡 270度回転 ミラー 防水 LED ライト 照明 付 電池式 (検索: マイクロ ファイバー スコープ 車 自動車 整備用品 エンジン スコープ メンテナンス )◇ ボアスコープ 3R-BS15,,,ボアスコープ 3R-BS15 工業用 一般用 点検鏡 270度回転 ミラー 防水 LED ライト 照明 付 電池式 (検索: マイクロ ファイバー スコープ 車 自動車 整備用品 エンジン スコープ メンテナンス )◇ ボアスコープ 3R-BS15：ベストプライスショップ,ボアスコープ 3R-BS15 工業用 一般用 点検鏡 270度回転 ミラー 防水 LED ライト 照明 付 電池式 (検索: マイクロ ファイバー スコープ 車 自動車 整備用品 エンジン スコープ メンテナンス )◇ ボアスコープ 3R-BS15,ボアスコープ 3R-BS15 工業用 一般用 点検鏡 270度回転 ミラー 防水 LED ライト 照明 付 電池式 (検索: マイクロ ファイバー スコープ 車 自動車 整備用品 エンジン スコープ メンテナンス )◇ ボアスコープ 3R-BS15[rn]
10-141253,http://tshop.r10s.jp/ii-sakura/cabinet/youki4/fm-3fb-25a.jpg?fitin=700:700,32748.0000,,花・ガーデン・DIY > DIY・工具 > 配管工具,FMバルブ製作所【FMボールタップ 3FB一体型 25A】取付タイプ：ねじ込み型（R) 本体材質：CAC901,当店おすすめ商品\☆当店おすすめ商品,●本体材質：CAC901<br>,FMバルブ製作所【FMボールタップ 3FB一体型 25A】取付タイプ：ねじ込み型（R) 本体材質：CAC901：あいあいショップさくら,FMバルブ製作所【FMボールタップ 3FB一体型 25A】取付タイプ：ねじ込み型（R) 本体材質：CAC901,当店おすすめ商品\☆当店おすすめ商品。FMバルブ製作所【FMボールタップ 3FB一体型 25A】取付タイプ：ねじ込み型（R) 本体材質：CAC901[rn]
10-141254,http://tshop.r10s.jp/ii-sakura/cabinet/youki3/khs.jpg?fitin=700:700,816.0000,,花・ガーデン・DIY > DIY・工具 > 配管工具,積水化学工業 エスロン【KHS10】エスロカチット ソケット 呼び径 10,当店おすすめ商品\工具,"※画像はイメージ画像となります。ご注文の際は、型番、色、寸法等お確かめの上ご注文ください。

<br>
カチッとワンタッチ、価値あるラインナップ<br>
ヘッダー工法、分岐工法に最適なエスロカチット<br>
<br>
エスロカチットの特長<br>
<br>
簡単、確実、快速施工<br>
管を挿入すれば、管の絞り込みまで自動的に完了。<br>
面倒な絞り込み作業は継手が自動で行いますので必要ありません<br>
<br>
透明ボディで施工確認<br>
透明本体により、施工後も状態確認が行えます<br>
ピンがはずれていればパイプの挿入は充分です<br>
<br>
「カチッ」と音で挿入確認<br>
カチッと音で挿入確認<br>
接続作業の完了は継手が音で伝えます<br>
<br>
※エスロカチットは適用する管種のみご使用ください。それ以外は適用しません<br>
※エスロカチットに旧規格のポリブテン管を接続すると漏水の原因となりますので、使用しないでください<br>
※適用管種、取扱いについての注意事項など、製品の詳細はメーカーのカタログ等をご確認ください<br>",積水化学工業 エスロン【KHS10】エスロカチット ソケット 呼び径 10：あいあいショップさくら,積水化学工業 エスロン【KHS10】エスロカチット ソケット 呼び径 10,当店おすすめ商品\工具。積水化学工業 エスロン【KHS10】エスロカチット ソケット 呼び径 10[rn]
10-141255,http://tshop.r10s.jp/ii-sakura/cabinet/youki3/khml.jpg?fitin=700:700,884.8000,,花・ガーデン・DIY > DIY・工具 > 配管工具,積水化学工業 エスロン【KHML10】エスロカチット ヘッダーメスねじエルボ 呼び径 10×Rc3/4,当店おすすめ商品\工具,"※画像はイメージ画像となります。ご注文の際は、型番、色、寸法等お確かめの上ご注文ください。

<br>
カチッとワンタッチ、価値あるラインナップ<br>
ヘッダー工法、分岐工法に最適なエスロカチット<br>
<br>
エスロカチットの特長<br>
<br>
簡単、確実、快速施工<br>
管を挿入すれば、管の絞り込みまで自動的に完了。<br>
面倒な絞り込み作業は継手が自動で行いますので必要ありません<br>
<br>
透明ボディで施工確認<br>
透明本体により、施工後も状態確認が行えます<br>
ピンがはずれていればパイプの挿入は充分です<br>
<br>
「カチッ」と音で挿入確認<br>
カチッと音で挿入確認<br>
接続作業の完了は継手が音で伝えます<br>
<br>
※エスロカチットは適用する管種のみご使用ください。それ以外は適用しません<br>
※エスロカチットに旧規格のポリブテン管を接続すると漏水の原因となりますので、使用しないでください<br>
※適用管種、取扱いについての注意事項など、製品の詳細はメーカーのカタログ等をご確認ください<br>",積水化学工業 エスロン【KHML10】エスロカチット ヘッダーメスねじエルボ 呼び径 10&times;Rc3/4：あいあいショップさくら,積水化学工業 エスロン【KHML10】エスロカチット ヘッダーメスねじエルボ 呼び径 10&times;Rc3/4,当店おすすめ商品\工具。積水化学工業 エスロン【KHML10】エスロカチット ヘッダーメスねじエルボ 呼び径 10&times;Rc3/4[rn]
10-141256,http://tshop.r10s.jp/ii-sakura/cabinet/youki3/kpt.jpg?fitin=700:700,1064.0000,,花・ガーデン・DIY > DIY・工具 > 配管工具,積水化学工業 エスロン【KPT161T】エスロカチットE 樹脂製継手 チーズ 呼び径 16×13×13,当店おすすめ商品\工具,"※画像はイメージ画像となります。ご注文の際は、型番、色、寸法等お確かめの上ご注文ください。

樹脂製継手　エスロン　エスロカチットE<br>
<br>
特長<br>
<br>
1軽量化<br>
　エスロカチット従来品の約1/3にまで軽量化しました<br>
<br>
2耐久性・耐食性<br>
高温使用下（95℃以下）でも優れた耐久性を誇る樹脂（PPSU樹脂）を採用しました<br>
<br>
3断熱性の向上<br>
熱伝導率が小さく、断熱効果がアップしました<br>
<br>",積水化学工業 エスロン【KPT161T】エスロカチットE 樹脂製継手 チーズ 呼び径 16&times;13&times;13：あいあいショップさくら,積水化学工業 エスロン【KPT161T】エスロカチットE 樹脂製継手 チーズ 呼び径 16&times;13&times;13,当店おすすめ商品\工具。積水化学工業 エスロン【KPT161T】エスロカチットE 樹脂製継手 チーズ 呼び径 16&times;13&times;13[rn]
10-141257,http://tshop.r10s.jp/ii-sakura/cabinet/youki3/kpt.jpg?fitin=700:700,1064.0000,,花・ガーデン・DIY > DIY・工具 > 配管工具,積水化学工業 エスロン【KPT16】エスロカチットE 樹脂製継手 チーズ 呼び径 16,当店おすすめ商品\工具,"※画像はイメージ画像となります。ご注文の際は、型番、色、寸法等お確かめの上ご注文ください。

樹脂製継手　エスロン　エスロカチットE<br>
<br>
特長<br>
<br>
1軽量化<br>
　エスロカチット従来品の約1/3にまで軽量化しました<br>
<br>
2耐久性・耐食性<br>
高温使用下（95℃以下）でも優れた耐久性を誇る樹脂（PPSU樹脂）を採用しました<br>
<br>
3断熱性の向上<br>
熱伝導率が小さく、断熱効果がアップしました<br>
<br>",積水化学工業 エスロン【KPT16】エスロカチットE 樹脂製継手 チーズ 呼び径 16：あいあいショップさくら,積水化学工業 エスロン【KPT16】エスロカチットE 樹脂製継手 チーズ 呼び径 16,当店おすすめ商品\工具。積水化学工業 エスロン【KPT16】エスロカチットE 樹脂製継手 チーズ 呼び径 16[rn]
10-141258,http://tshop.r10s.jp/ii-sakura/cabinet/03033342/03101049/img58837522.jpg?fitin=700:700,3939.2000,,花・ガーデン・DIY > DIY・工具 > 配管工具,●リョービ/RYOBI【3630007】帯ノコ刃(3本入),リョービ\電動工具,<br><br>,●リョービ/RYOBI【3630007】帯ノコ刃(3本入)：あいあいショップさくら,●リョービ/RYOBI【3630007】帯ノコ刃(3本入),リョービ\電動工具。●リョービ/RYOBI【3630007】帯ノコ刃(3本入)[rn]
10-141259,http://tshop.r10s.jp/ii-sakura/cabinet/sagawa1/z1018.jpg?fitin=700:700,192.0000,,花・ガーデン・DIY > DIY・工具 > 配管工具,KVK 継手配管部材【Z1018】ホースニップル13(1/2)×16φ用,水栓金具\KVK\部材・工具,呼び13管用めねじと内径16mmのホースとの接続<br>黄銅製,KVK 継手配管部材【Z1018】ホースニップル13(1/2)&times;16φ用：あいあいショップさくら,KVK 継手配管部材【Z1018】ホースニップル13(1/2)&times;16φ用,水栓金具\KVK\部材・工具。KVK 継手配管部材【Z1018】ホースニップル13(1/2)&times;16φ用[rn]
10-141260,http://tshop.r10s.jp/ii-sakura/cabinet/sagawa1/pz1015.jpg?fitin=700:700,171.2000,,花・ガーデン・DIY > DIY・工具 > 配管工具,KVK 継手配管部材【PZ1015】ニップル13(1/2)用,水栓金具\KVK\部材・工具,1mシールテープ付き<br>呼び13管用めねじ同士の接続<br>黄銅製,KVK 継手配管部材【PZ1015】ニップル13(1/2)用：あいあいショップさくら,KVK 継手配管部材【PZ1015】ニップル13(1/2)用,水栓金具\KVK\部材・工具。KVK 継手配管部材【PZ1015】ニップル13(1/2)用[rn]
10-141261,,9883.2000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【8515-6.5-3M】(4423097)ジャパンマテックス 蒸気用低摺動汎用グランドパッキン 受注単位1,工事用品\管工機材\フランジ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●摺動抵抗が小さく、シール安定性が良いパッキンです。<br>●汎用バルブ、ポンプ、炉枠用パッキンに。<br>●幅(mm):6.5<br>●長さ(m):3<br>●高さ(mm):6.5<br>●色:灰<br>●質量(ｇ):165<br>●最高使用温度:300℃<br>●圧力:10.3MPa(バルブ）、1.6MPa(回転機器)<br>●周速限界:15m/s<br>●装着箇所の寸法に合わせリング成形品も別途製作可能ですのでご相談下さい。<br>●PTFEフィルム、膨張黒鉛<br>",『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【8515-6.5-3M】(4423097)ジャパンマテックス 蒸気用低摺動汎用グランドパッキン 受注単位1：クローバー資材館,『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【8515-6.5-3M】(4423097)ジャパンマテックス 蒸気用低摺動汎用グランドパッキン 受注単位1,工事用品\管工機材\フランジ。『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【8515-6.5-3M】(4423097)ジャパンマテックス 蒸気用低摺動汎用グランドパッキン 受注単位1[rn]
10-141262,,731.2000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒フローバル（株）/フローバル【B-RC1-10S-40AX32A】(4445627)コンセントリック・レジューサー（同心）Ｓ１０Ｓ ０９１００１７８ 受注単位1,工事用品\管工機材\溶接継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●冷間曲げ加工、液圧成型法、板絞り加工法などで製造されており、ステンレス鋼管等と突合せ溶接することで永久的に配管接合することを目的としております。<br>●ステンレス製突合せ溶接管継手<br>●ガスプラント、製油所、石油化学、プラント、造船などの配管など。<br>●呼び径(A):40A×32A<br>●呼び径(B):1 1/2×1 1/4<br>●H(mm):63.5<br>●外径D1×D2(mm):48.6×42.7<br>●T1(mm):2.8<br>●T2(mm):2.8<br>●質量(ｋｇ):0.188<br>●適用規格：(エルボ、チーズ、レジューサー)JIS B2313、(キャップ)JIS B2312<br>●ステンレス(SUS304W)<br>",『カード対応OK！』■〒フローバル（株）/フローバル【B-RC1-10S-40AX32A】(4445627)コンセントリック・レジューサー（同心）Ｓ１０Ｓ ０９１００１７８ 受注単位1：クローバー資材館,『カード対応OK！』■〒フローバル（株）/フローバル【B-RC1-10S-40AX32A】(4445627)コンセントリック・レジューサー（同心）Ｓ１０Ｓ ０９１００１７８ 受注単位1,工事用品\管工機材\溶接継手。『カード対応OK！』■〒フローバル（株）/フローバル【B-RC1-10S-40AX32A】(4445627)コンセントリック・レジューサー（同心）Ｓ１０Ｓ ０９１００１７８ 受注単位1[rn]
10-141263,,1924.0000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒フローバル（株）/フローバル【SUS-5K-SOP-FF-80A】(4446160)ＳＵＳ３０４ ５Ｋ スリップオン溶接式フランジ １４１００５０９ 受注単位1,工事用品\管工機材\フランジ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●溶接性・強度に優れた鍛造製のフランジです。<br>●フランジシール両面（フランジフェイス両面）は、両面シール使用可能です。<br>●JISB2220に準拠しています。<br>●パイプ同士の接続に。<br>●呼び径(A):80A<br>●外径(mm):180<br>●厚み(mm):14<br>●ボルト穴数:4<br>●ボルト穴径(mm):19<br>●内径(mm):90.0<br>●呼び径(B):3<br>●使用圧力(k):5<br>●質量(ｋｇ):1.97<br>●ステンレス(ＳＵＳ304)<br>",『カード対応OK！』■〒フローバル（株）/フローバル【SUS-5K-SOP-FF-80A】(4446160)ＳＵＳ３０４ ５Ｋ スリップオン溶接式フランジ １４１００５０９ 受注単位1：クローバー資材館,『カード対応OK！』■〒フローバル（株）/フローバル【SUS-5K-SOP-FF-80A】(4446160)ＳＵＳ３０４ ５Ｋ スリップオン溶接式フランジ １４１００５０９ 受注単位1,工事用品\管工機材\フランジ。『カード対応OK！』■〒フローバル（株）/フローバル【SUS-5K-SOP-FF-80A】(4446160)ＳＵＳ３０４ ５Ｋ スリップオン溶接式フランジ １４１００５０９ 受注単位1[rn]
10-141264,,1536.0000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒新日鐵住金(株)/新日鐵住金【SGP-W-20X2M】(4547241)ＳＧＰ 白パイプ ねじ無し ２０Ｘ２ｍ 受注単位1,工事用品\管工機材\溶接継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●一般的に広く使用されている配管用の鋼管です。<br>●白管は黒管の内外面に溶融亜鉛めっきが均一にほどこされています。<br>●呼び径(A):20<br>●呼び径(B):3/4<br>●外径(mm):27.2<br>●長さ(m):2<br>●JIS G3442規格品<br>●配管用炭素鋼（ＳＧＰ）<br>",『カード対応OK！』■〒新日鐵住金(株)/新日鐵住金【SGP-W-20X2M】(4547241)ＳＧＰ 白パイプ ねじ無し ２０Ｘ２ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒新日鐵住金(株)/新日鐵住金【SGP-W-20X2M】(4547241)ＳＧＰ 白パイプ ねじ無し ２０Ｘ２ｍ 受注単位1,工事用品\管工機材\溶接継手。『カード対応OK！』■〒新日鐵住金(株)/新日鐵住金【SGP-W-20X2M】(4547241)ＳＧＰ 白パイプ ねじ無し ２０Ｘ２ｍ 受注単位1[rn]
10-141265,,1444.0000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒フローバル（株）/フローバル【SUS-5K-SOP-FF-65A】(4446151)ＳＵＳ３０４ ５Ｋ スリップオン溶接式フランジ １４１００５０８ 受注単位1,工事用品\管工機材\フランジ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●溶接性・強度に優れた鍛造製のフランジです。<br>●フランジシール両面（フランジフェイス両面）は、両面シール使用可能です。<br>●JISB2220に準拠しています。<br>●パイプ同士の接続に。<br>●呼び径(A):65A<br>●外径(mm):155<br>●厚み(mm):14<br>●ボルト穴数:4<br>●ボルト穴径(mm):15<br>●内径(mm):77.1<br>●呼び径(B):2 1/2<br>●使用圧力(k):5<br>●質量(ｋｇ):1.48<br>●ステンレス(ＳＵＳ304)<br>",『カード対応OK！』■〒フローバル（株）/フローバル【SUS-5K-SOP-FF-65A】(4446151)ＳＵＳ３０４ ５Ｋ スリップオン溶接式フランジ １４１００５０８ 受注単位1：クローバー資材館,『カード対応OK！』■〒フローバル（株）/フローバル【SUS-5K-SOP-FF-65A】(4446151)ＳＵＳ３０４ ５Ｋ スリップオン溶接式フランジ １４１００５０８ 受注単位1,工事用品\管工機材\フランジ。『カード対応OK！』■〒フローバル（株）/フローバル【SUS-5K-SOP-FF-65A】(4446151)ＳＵＳ３０４ ５Ｋ スリップオン溶接式フランジ １４１００５０８ 受注単位1[rn]
10-141266,,4138.4000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒日鉄住金ステンレス鋼管(株)/ＮＳＳＰ【SUS304TPA3X20X2M】(4547357)ステンレス管 ３Ｘ２０Ｘ２ｍ 受注単位1,工事用品\管工機材\溶接継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●一般的に広く使用されている配管用のステンレス管です。<br>●呼び径(A):20<br>●呼び径(B):3/4<br>●外径(mm):27.2<br>●長さ(m):2<br>●JIS G3459規格品<br>●ステンレス(SUS304)<br>",『カード対応OK！』■〒日鉄住金ステンレス鋼管(株)/ＮＳＳＰ【SUS304TPA3X20X2M】(4547357)ステンレス管 ３Ｘ２０Ｘ２ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒日鉄住金ステンレス鋼管(株)/ＮＳＳＰ【SUS304TPA3X20X2M】(4547357)ステンレス管 ３Ｘ２０Ｘ２ｍ 受注単位1,工事用品\管工機材\溶接継手。『カード対応OK！』■〒日鉄住金ステンレス鋼管(株)/ＮＳＳＰ【SUS304TPA3X20X2M】(4547357)ステンレス管 ３Ｘ２０Ｘ２ｍ 受注単位1[rn]
10-141267,,284.0000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【1500-1.5-UNION-8A】(4422783)ジャパンマテックス 蒸気用ユニオンガスケット 受注単位1,工事用品\管工機材\フランジ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●気密性、耐圧性に優れております。<br>●表面に特殊処理を施す事により、フランジへの固着を大幅に軽減しております。<br>●ユニオン継手用ガスケット。<br>●呼び径(A):8<br>●外径(mm):23<br>●厚み(mm):1.5<br>●内径(mm):17<br>●呼び径(B):1/4<br>●規格:ユニオン<br>●質量(ｇ):0.5<br>●使用温度範囲：-240～420℃（蒸気：650℃まで）<br>●圧力限界：25MPa<br>●指定寸法に合わせたガスケットも別途製作可能ですのでご相談下さい。<br>●ガスケットが破損しやすくなりますので、ガスケットペーストを使用しないで下さい。<br>",『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【1500-1.5-UNION-8A】(4422783)ジャパンマテックス 蒸気用ユニオンガスケット 受注単位1：クローバー資材館,『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【1500-1.5-UNION-8A】(4422783)ジャパンマテックス 蒸気用ユニオンガスケット 受注単位1,工事用品\管工機材\フランジ。『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【1500-1.5-UNION-8A】(4422783)ジャパンマテックス 蒸気用ユニオンガスケット 受注単位1[rn]
10-141268,,3208.0000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒フローバル（株）/フローバル【B-90ES-10S-100A】(4445465)９０°エルボ（ショート）Ｓ１０Ｓ ０９１０００４７ 受注単位1,工事用品\管工機材\溶接継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●冷間曲げ加工、液圧成型法、板絞り加工法などで製造されており、ステンレス鋼管等と突合せ溶接することで永久的に配管接合することを目的としております。<br>●ステンレス製突合せ溶接管継手<br>●ガスプラント、製油所、石油化学、プラント、造船などの配管など。<br>●呼び径(A):100<br>●呼び径(B):4<br>●外径D(mm):114.3<br>●F(mm):101.6<br>●T(mm):3.0<br>●質量(ｋｇ):1.310<br>●適用規格：(エルボ、チーズ、レジューサー)JIS B2313、(キャップ)JIS B2312<br>●ステンレス(SUS304W)<br>",『カード対応OK！』■〒フローバル（株）/フローバル【B-90ES-10S-100A】(4445465)９０&deg;エルボ（ショート）Ｓ１０Ｓ ０９１０００４７ 受注単位1：クローバー資材館,『カード対応OK！』■〒フローバル（株）/フローバル【B-90ES-10S-100A】(4445465)９０&deg;エルボ（ショート）Ｓ１０Ｓ ０９１０００４７ 受注単位1,工事用品\管工機材\溶接継手。『カード対応OK！』■〒フローバル（株）/フローバル【B-90ES-10S-100A】(4445465)９０&deg;エルボ（ショート）Ｓ１０Ｓ ０９１０００４７ 受注単位1[rn]
10-141269,,820.0000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【9320-1.5-FF-10K-50A】(4423330)ジャパンマテックス 高圧用ゴムガスケット（３ＭＰａ） 受注単位1,工事用品\管工機材\フランジ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●同材質のゴム製品に比べ、耐熱寿命に優れ、PTFE並みの電気絶縁性能がございます。<br>●一般産業用フランジガスケット、海水ラインの配管や機器用ガスケットなど。<br>●呼び径(A):50<br>●外径(mm):155<br>●厚み(mm):1.5<br>●内径(mm):61<br>●呼び径(B):2<br>●使用圧力(k):10<br>●穴数:4<br>●穴径(mm):19<br>●質量(ｇ):34<br>●使用温度範囲：-47～150℃<br>●圧力限界：3MPa<br>●指定寸法に合わせたガスケットも別途製作可能ですのでご相談下さい。<br>●ゴム(EPT)<br>",『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【9320-1.5-FF-10K-50A】(4423330)ジャパンマテックス 高圧用ゴムガスケット（３ＭＰａ） 受注単位1：クローバー資材館,『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【9320-1.5-FF-10K-50A】(4423330)ジャパンマテックス 高圧用ゴムガスケット（３ＭＰａ） 受注単位1,工事用品\管工機材\フランジ。『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【9320-1.5-FF-10K-50A】(4423330)ジャパンマテックス 高圧用ゴムガスケット（３ＭＰａ） 受注単位1[rn]
10-141270,,1461.6000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒フローバル（株）/フローバル【B-90ES-10S-65A】(4445511)９０°エルボ（ショート）Ｓ１０Ｓ ０９１０００４５ 受注単位1,工事用品\管工機材\溶接継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●冷間曲げ加工、液圧成型法、板絞り加工法などで製造されており、ステンレス鋼管等と突合せ溶接することで永久的に配管接合することを目的としております。<br>●ステンレス製突合せ溶接管継手<br>●ガスプラント、製油所、石油化学、プラント、造船などの配管など。<br>●呼び径(A):65<br>●呼び径(B):2 1/2<br>●外径D(mm):76.3<br>●F(mm):63.5<br>●T(mm):3.0<br>●質量(ｋｇ):0.541<br>●適用規格：(エルボ、チーズ、レジューサー)JIS B2313、(キャップ)JIS B2312<br>●ステンレス(SUS304W)<br>",『カード対応OK！』■〒フローバル（株）/フローバル【B-90ES-10S-65A】(4445511)９０&deg;エルボ（ショート）Ｓ１０Ｓ ０９１０００４５ 受注単位1：クローバー資材館,『カード対応OK！』■〒フローバル（株）/フローバル【B-90ES-10S-65A】(4445511)９０&deg;エルボ（ショート）Ｓ１０Ｓ ０９１０００４５ 受注単位1,工事用品\管工機材\溶接継手。『カード対応OK！』■〒フローバル（株）/フローバル【B-90ES-10S-65A】(4445511)９０&deg;エルボ（ショート）Ｓ１０Ｓ ０９１０００４５ 受注単位1[rn]
10-141271,,486.4000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒フローバル（株）/フローバル【B-45EL-10S-40A】(4445333)４５°エルボ（ロング）Ｓ１０Ｓ ０９１０００２５ 受注単位1,工事用品\管工機材\溶接継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●冷間曲げ加工、液圧成型法、板絞り加工法などで製造されており、ステンレス鋼管等と突合せ溶接することで永久的に配管接合することを目的としております。<br>●ステンレス製突合せ溶接管継手<br>●ガスプラント、製油所、石油化学、プラント、造船などの配管など。<br>●呼び径(A):40<br>●呼び径(B):1 1/2<br>●H(mm):23.7<br>●外径D(mm):48.6<br>●T(mm):2.8<br>●質量(ｋｇ):0.142<br>●適用規格：(エルボ、チーズ、レジューサー)JIS B2313、(キャップ)JIS B2312<br>●ステンレス(SUS304W)<br>",『カード対応OK！』■〒フローバル（株）/フローバル【B-45EL-10S-40A】(4445333)４５&deg;エルボ（ロング）Ｓ１０Ｓ ０９１０００２５ 受注単位1：クローバー資材館,『カード対応OK！』■〒フローバル（株）/フローバル【B-45EL-10S-40A】(4445333)４５&deg;エルボ（ロング）Ｓ１０Ｓ ０９１０００２５ 受注単位1,工事用品\管工機材\溶接継手。『カード対応OK！』■〒フローバル（株）/フローバル【B-45EL-10S-40A】(4445333)４５&deg;エルボ（ロング）Ｓ１０Ｓ ０９１０００２５ 受注単位1[rn]
10-141272,,12268.0000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【8530-6.5-3M】(4423151)ジャパンマテックス バルブ用万能グランドパッキン 受注単位1,工事用品\管工機材\フランジ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●耐熱性・耐圧性に優れております。<br>●高温・高圧バルブに。<br>●幅(mm):6.5<br>●長さ(m):3<br>●高さ(mm):6.5<br>●色:黒<br>●質量(ｇ):152<br>●最高使用温度：420℃（蒸気：600℃）<br>●圧力(バルブ):43.1MPa<br>●装着箇所の寸法に合わせリング成形品も別途製作可能ですのでご相談下さい。<br>●膨張黒鉛（インコネル線材補強） 、特殊潤滑剤<br>",『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【8530-6.5-3M】(4423151)ジャパンマテックス バルブ用万能グランドパッキン 受注単位1：クローバー資材館,『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【8530-6.5-3M】(4423151)ジャパンマテックス バルブ用万能グランドパッキン 受注単位1,工事用品\管工機材\フランジ。『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【8530-6.5-3M】(4423151)ジャパンマテックス バルブ用万能グランドパッキン 受注単位1[rn]
