10-22601,,114.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ニッサチェイン【A-825】(7561229) 塩ビ被覆線Ｓフック　黒　１５０ｍｍ（２個入り） 受注単位1,生産加工用品\建築金物\荷役金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●被覆線ですのでサビず、相手側にキズをつけません。<br><br>●一般商品の収納の吊具として。物の吊り下げ、引っ掛けとして<br><br>●使用荷重(kN)：0.11<br>●S(mm)：38<br>●L(mm)：150<br>●D(mm)：5.0<br>●A(mm)：15<br>●質量(g)：22<br>●色：黒<br><br>●150mm<br>●黒<br><br>●塩ビ被覆線<br>",『カード対応OK！』■〒ニッサチェイン【A-825】(7561229) 塩ビ被覆線Ｓフック　黒　１５０ｍｍ（２個入り） 受注単位1：クローバー資材館,『カード対応OK！』■〒ニッサチェイン【A-825】(7561229) 塩ビ被覆線Ｓフック　黒　１５０ｍｍ（２個入り） 受注単位1,生産加工用品\建築金物\荷役金具。『カード対応OK！』■〒ニッサチェイン【A-825】(7561229) 塩ビ被覆線Ｓフック　黒　１５０ｍｍ（２個入り） 受注単位1[rn]
10-22654,,328.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スガツネ工業【MC-159-8】(4973691) 平行極薄型マグネットキャッチ（１４０－０２６－５１０） 受注単位1,生産加工用品\建築金物\貫抜・キャッチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ネオジム磁石を使用しているため、コンパクトながら高吸着力です。<br>●厚み3mmと極薄型で邪魔にならず、スペースを有効活用できます。<br><br><br>●色：シルバー<br>●全長(mm)：41<br>●吸着力(N)：78.4<br><br>●受座なし<br>●推奨ねじ：サラ小ねじM3<br><br>●本体：鋼(SPCC)<br>",『カード対応OK！』■〒スガツネ工業【MC-159-8】(4973691) 平行極薄型マグネットキャッチ（１４０&minus;０２６&minus;５１０） 受注単位1：クローバー資材館,『カード対応OK！』■〒スガツネ工業【MC-159-8】(4973691) 平行極薄型マグネットキャッチ（１４０&minus;０２６&minus;５１０） 受注単位1,生産加工用品\建築金物\貫抜・キャッチ。『カード対応OK！』■〒スガツネ工業【MC-159-8】(4973691) 平行極薄型マグネットキャッチ（１４０&minus;０２６&minus;５１０） 受注単位1[rn]
10-22655,,380.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スガツネ工業【MC-159-SUS】(4973704) ステンレス製平行極薄型マグネットキャッチ（１４０－０２６－５１１） 受注単位1,生産加工用品\建築金物\貫抜・キャッチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ネオジム磁石を使用しているため、コンパクトながら高吸着力です。<br>●ステンレス鋼製で、さらに磁石にもコーティングを施しているため、防錆性に優れています。<br><br><br>●色：シルバー<br>●全長(mm)：41<br>●吸着力(N)：49<br><br>●受座なし<br>●推奨ねじ：サラ小ねじM3<br><br>●本体：ステンレス(SUS430)<br>",『カード対応OK！』■〒スガツネ工業【MC-159-SUS】(4973704) ステンレス製平行極薄型マグネットキャッチ（１４０&minus;０２６&minus;５１１） 受注単位1：クローバー資材館,『カード対応OK！』■〒スガツネ工業【MC-159-SUS】(4973704) ステンレス製平行極薄型マグネットキャッチ（１４０&minus;０２６&minus;５１１） 受注単位1,生産加工用品\建築金物\貫抜・キャッチ。『カード対応OK！』■〒スガツネ工業【MC-159-SUS】(4973704) ステンレス製平行極薄型マグネットキャッチ（１４０&minus;０２６&minus;５１１） 受注単位1[rn]
10-22656,,3412.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スガツネ工業【MC-JM74SW-30】(4973739) スイッチ付クリーンマグネットキャッチ（１４０－０１７－５５５） 受注単位1,生産加工用品\建築金物\貫抜・キャッチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●扉や蓋の開閉に応じてキャッチおよび電源スイッチとして機能します。<br>●スイッチは単極双投型です。<br><br><br>●色：ブラック<br>●全長(mm)：74<br>●吸着力(N)：29.4<br>●質量(g)：80<br><br>●定格：AC250V5A/AC125V5A/DC30V5A<br>●使用温度範囲：-40～+80℃<br><br>●本体：ポリアセタール(POM)/ネオジム<br>●受座：ポリアセタール(POM)/ステンレス鋼(SUS430)<br>",『カード対応OK！』■〒スガツネ工業【MC-JM74SW-30】(4973739) スイッチ付クリーンマグネットキャッチ（１４０&minus;０１７&minus;５５５） 受注単位1：クローバー資材館,『カード対応OK！』■〒スガツネ工業【MC-JM74SW-30】(4973739) スイッチ付クリーンマグネットキャッチ（１４０&minus;０１７&minus;５５５） 受注単位1,生産加工用品\建築金物\貫抜・キャッチ。『カード対応OK！』■〒スガツネ工業【MC-JM74SW-30】(4973739) スイッチ付クリーンマグネットキャッチ（１４０&minus;０１７&minus;５５５） 受注単位1[rn]
10-22657,,544.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スガツネ工業【MC-MS50LGR】(7571321) シリコンマグネットキャッチ（１４０－０２４－４６８） 受注単位1,生産加工用品\建築金物\貫抜・キャッチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●マグネットをシリコンゴムで包んでいるため、吸着時の衝撃音を和らげます。<br>●ネオジム磁石を使用しているため、コンパクトながら高吸着力です。<br><br><br>●色：ライトグレー<br>●全長(mm)：50<br>●吸着力(N)：39.2<br><br>●受座なし<br>●受板用推奨ねじ：トラス小ねじM4<br><br>●本体：シリコンゴム<br>",『カード対応OK！』■〒スガツネ工業【MC-MS50LGR】(7571321) シリコンマグネットキャッチ（１４０&minus;０２４&minus;４６８） 受注単位1：クローバー資材館,『カード対応OK！』■〒スガツネ工業【MC-MS50LGR】(7571321) シリコンマグネットキャッチ（１４０&minus;０２４&minus;４６８） 受注単位1,生産加工用品\建築金物\貫抜・キャッチ。『カード対応OK！』■〒スガツネ工業【MC-MS50LGR】(7571321) シリコンマグネットキャッチ（１４０&minus;０２４&minus;４６８） 受注単位1[rn]
10-22658,,924.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スガツネ工業【MC0083-N】(4973682) マグネットキャッチ　高吸着力タイプ（１４０－０２６－５１３） 受注単位1,生産加工用品\建築金物\貫抜・キャッチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ネオジム磁石を使用しており、同形状の製品と比べて高吸着力です。<br><br><br>●色：シルバー<br>●全長(mm)：50<br>●吸着力(N)：137<br><br>●本体取付穴寸法：3.5mm<br><br>●本体：ステンレス(SUS304)<br>",『カード対応OK！』■〒スガツネ工業【MC0083-N】(4973682) マグネットキャッチ　高吸着力タイプ（１４０&minus;０２６&minus;５１３） 受注単位1：クローバー資材館,『カード対応OK！』■〒スガツネ工業【MC0083-N】(4973682) マグネットキャッチ　高吸着力タイプ（１４０&minus;０２６&minus;５１３） 受注単位1,生産加工用品\建築金物\貫抜・キャッチ。『カード対応OK！』■〒スガツネ工業【MC0083-N】(4973682) マグネットキャッチ　高吸着力タイプ（１４０&minus;０２６&minus;５１３） 受注単位1[rn]
10-22659,,132.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK25-L2CP】(4972139) ジョイント金具２５型Ｌ　黒　４９Ｘ４９ 受注単位1,生産加工用品\建築金物\ジョイント金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●機器取り付けの際あらかじめ仮付けしてからでも、調整・微調整が簡単にできます。<br>●ドライバー1本で伸縮自在の調整が可能です。<br>●手軽で多彩な組み合わせができる部材です。<br><br>●連結金具。<br><br>●板厚(mm)：3<br>●穴径(mm)：8<br>●穴数：10<br>●穴ピッチ(mm)：25<br>●質量(g)：43.6<br>●幅W(mm)：25<br>●長さL1(mm)：49<br>●長さL2(mm)：49<br><br>●長穴径：8×16mm<br><br>●スチール<br>●表面処理：カチオン電着塗装<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK25-L2CP】(4972139) ジョイント金具２５型Ｌ　黒　４９Ｘ４９ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK25-L2CP】(4972139) ジョイント金具２５型Ｌ　黒　４９Ｘ４９ 受注単位1,生産加工用品\建築金物\ジョイント金具。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK25-L2CP】(4972139) ジョイント金具２５型Ｌ　黒　４９Ｘ４９ 受注単位1[rn]
10-22660,,212.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK25-L4S】(4972201) ジョイント金具２５型Ｌ　ＳＵＳ　７４Ｘ７４ 受注単位1,生産加工用品\建築金物\ジョイント金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●機器取り付けの際あらかじめ仮付けしてからでも、調整・微調整が簡単にできます。<br>●ドライバー1本で伸縮自在の調整が可能です。<br>●手軽で多彩な組み合わせができる部材です。<br><br>●連結金具。<br><br>●板厚(mm)：2<br>●穴径(mm)：8<br>●穴数：16<br>●穴ピッチ(mm)：25<br>●質量(g)：42.5<br>●幅W(mm)：25<br>●長さL1(mm)：74<br>●長さL2(mm)：74<br><br>●長穴径：8×16mm<br><br>●ステンレス(SUS304)<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK25-L4S】(4972201) ジョイント金具２５型Ｌ　ＳＵＳ　７４Ｘ７４ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK25-L4S】(4972201) ジョイント金具２５型Ｌ　ＳＵＳ　７４Ｘ７４ 受注単位1,生産加工用品\建築金物\ジョイント金具。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK25-L4S】(4972201) ジョイント金具２５型Ｌ　ＳＵＳ　７４Ｘ７４ 受注単位1[rn]
10-22661,,143.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK25-F5CP】(4972082) ジョイント金具２５型フラット　黒　２５Ｘ１４４ 受注単位1,生産加工用品\建築金物\ジョイント金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●機器取り付けの際あらかじめ仮付けしてからでも、調整・微調整が簡単にできます。<br>●ドライバー1本で伸縮自在の調整が可能です。<br>●手軽で多彩な組み合わせができる部材です。<br><br>●連結金具。<br><br>●板厚(mm)：3<br>●穴径(mm)：8<br>●穴数：17<br>●穴ピッチ(mm)：25<br>●質量(g)：62.0<br>●幅W(mm)：25<br>●長さL1(mm)：144<br>●長さL2(mm)：-<br><br>●長穴径：8×16mm<br><br>●スチール<br>●表面処理：カチオン電着塗装<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK25-F5CP】(4972082) ジョイント金具２５型フラット　黒　２５Ｘ１４４ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK25-F5CP】(4972082) ジョイント金具２５型フラット　黒　２５Ｘ１４４ 受注単位1,生産加工用品\建築金物\ジョイント金具。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK25-F5CP】(4972082) ジョイント金具２５型フラット　黒　２５Ｘ１４４ 受注単位1[rn]
10-22662,,296.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK25-L6S】(4972210) ジョイント金具２５型Ｌ　ＳＵＳ　１２４Ｘ７４ 受注単位1,生産加工用品\建築金物\ジョイント金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●機器取り付けの際あらかじめ仮付けしてからでも、調整・微調整が簡単にできます。<br>●ドライバー1本で伸縮自在の調整が可能です。<br>●手軽で多彩な組み合わせができる部材です。<br><br>●連結金具。<br><br>●板厚(mm)：3<br>●穴径(mm)：8<br>●穴数：24<br>●穴ピッチ(mm)：25<br>●質量(g)：84.9<br>●幅W(mm)：25<br>●長さL1(mm)：124<br>●長さL2(mm)：74<br><br>●長穴径：8×16mm<br><br>●ステンレス(SUS304)<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK25-L6S】(4972210) ジョイント金具２５型Ｌ　ＳＵＳ　１２４Ｘ７４ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK25-L6S】(4972210) ジョイント金具２５型Ｌ　ＳＵＳ　１２４Ｘ７４ 受注単位1,生産加工用品\建築金物\ジョイント金具。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK25-L6S】(4972210) ジョイント金具２５型Ｌ　ＳＵＳ　１２４Ｘ７４ 受注単位1[rn]
10-22663,,163.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK15-F6S】(4971965) ジョイント金具１５型フラット　ＳＵＳ　長さ１４４　穴数６ 受注単位1,生産加工用品\建築金物\ジョイント金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●手軽で多彩な組み合わせができる部材です。<br><br>●連結金具。<br><br>●板厚(mm)：2<br>●穴径(mm)：4<br>●穴数：6<br>●穴ピッチ(mm)：25<br>●質量(g)：28.8<br>●幅W(mm)：15<br>●長さL1(mm)：144<br><br>●穴ピッチ：25mm<br><br>●ステンレス(SUS304)<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK15-F6S】(4971965) ジョイント金具１５型フラット　ＳＵＳ　長さ１４４　穴数６ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK15-F6S】(4971965) ジョイント金具１５型フラット　ＳＵＳ　長さ１４４　穴数６ 受注単位1,生産加工用品\建築金物\ジョイント金具。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK15-F6S】(4971965) ジョイント金具１５型フラット　ＳＵＳ　長さ１４４　穴数６ 受注単位1[rn]
10-22664,,153.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK25-L4CP】(4972155) ジョイント金具２５型Ｌ　黒　７４Ｘ７４ 受注単位1,生産加工用品\建築金物\ジョイント金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●機器取り付けの際あらかじめ仮付けしてからでも、調整・微調整が簡単にできます。<br>●ドライバー1本で伸縮自在の調整が可能です。<br>●手軽で多彩な組み合わせができる部材です。<br><br>●連結金具。<br><br>●板厚(mm)：3<br>●穴径(mm)：8<br>●穴数：16<br>●穴ピッチ(mm)：25<br>●質量(g)：64.6<br>●幅W(mm)：25<br>●長さL1(mm)：74<br>●長さL2(mm)：74<br><br>●長穴径：8×16mm<br><br>●スチール<br>●表面処理：カチオン電着塗装<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK25-L4CP】(4972155) ジョイント金具２５型Ｌ　黒　７４Ｘ７４ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK25-L4CP】(4972155) ジョイント金具２５型Ｌ　黒　７４Ｘ７４ 受注単位1,生産加工用品\建築金物\ジョイント金具。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK25-L4CP】(4972155) ジョイント金具２５型Ｌ　黒　７４Ｘ７４ 受注単位1[rn]
10-22665,,143.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK45-L3CP】(4972252) ジョイント金具４５型Ｌ　黒　６２Ｘ４２ 受注単位1,生産加工用品\建築金物\ジョイント金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●生活用品の連結金具としても幅広く活用でき、大工作業や補強金具としても定番アイテムです。<br><br>●連結金具。<br><br>●板厚(mm)：2<br>●穴径(mm)：4<br>●穴数：13<br>●穴ピッチ(mm)：25<br>●質量(g)：62.2<br>●幅W(mm)：45<br>●長さL1(mm)：62<br>●長さL2(mm)：42<br><br>●長穴径8×15mm<br><br>●スチール<br>●表面処理：カチオン電着塗装<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK45-L3CP】(4972252) ジョイント金具４５型Ｌ　黒　６２Ｘ４２ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK45-L3CP】(4972252) ジョイント金具４５型Ｌ　黒　６２Ｘ４２ 受注単位1,生産加工用品\建築金物\ジョイント金具。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK45-L3CP】(4972252) ジョイント金具４５型Ｌ　黒　６２Ｘ４２ 受注単位1[rn]
10-22666,,132.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK45-L2S】(4972261) ジョイント金具４５型Ｌ　ＳＵＳ　２３Ｘ２３ 受注単位1,生産加工用品\建築金物\ジョイント金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●生活用品の連結金具としても幅広く活用でき、大工作業や補強金具としても定番アイテムです。<br><br>●連結金具。<br><br>●板厚(mm)：2<br>●穴径(mm)：4<br>●穴数：6<br>●穴ピッチ(mm)：25<br>●質量(g)：24.1<br>●幅W(mm)：45<br>●長さL1(mm)：23<br>●長さL2(mm)：23<br><br>●長穴径8×15mm<br><br>●ステンレス(SUS304)<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK45-L2S】(4972261) ジョイント金具４５型Ｌ　ＳＵＳ　２３Ｘ２３ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK45-L2S】(4972261) ジョイント金具４５型Ｌ　ＳＵＳ　２３Ｘ２３ 受注単位1,生産加工用品\建築金物\ジョイント金具。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK45-L2S】(4972261) ジョイント金具４５型Ｌ　ＳＵＳ　２３Ｘ２３ 受注単位1[rn]
10-22667,,169.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK25-L6CP】(4972163) ジョイント金具２５型Ｌ　黒　１２４Ｘ７４ 受注単位1,生産加工用品\建築金物\ジョイント金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●機器取り付けの際あらかじめ仮付けしてからでも、調整・微調整が簡単にできます。<br>●ドライバー1本で伸縮自在の調整が可能です。<br>●手軽で多彩な組み合わせができる部材です。<br><br>●連結金具。<br><br>●板厚(mm)：3<br>●穴径(mm)：8<br>●穴数：24<br>●穴ピッチ(mm)：25<br>●質量(g)：85.7<br>●幅W(mm)：25<br>●長さL1(mm)：124<br>●長さL2(mm)：74<br><br>●長穴径：8×16mm<br><br>●スチール<br>●表面処理：カチオン電着塗装<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK25-L6CP】(4972163) ジョイント金具２５型Ｌ　黒　１２４Ｘ７４ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK25-L6CP】(4972163) ジョイント金具２５型Ｌ　黒　１２４Ｘ７４ 受注単位1,生産加工用品\建築金物\ジョイント金具。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK25-L6CP】(4972163) ジョイント金具２５型Ｌ　黒　１２４Ｘ７４ 受注単位1[rn]
10-22668,,184.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK15-F8S】(4971973) ジョイント金具１５型フラット　ＳＵＳ　長さ１９４　穴数８ 受注単位1,生産加工用品\建築金物\ジョイント金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●手軽で多彩な組み合わせができる部材です。<br><br>●連結金具。<br><br>●板厚(mm)：2<br>●穴径(mm)：4<br>●穴数：8<br>●穴ピッチ(mm)：25<br>●質量(g)：39.1<br>●幅W(mm)：15<br>●長さL1(mm)：194<br><br>●穴ピッチ：25mm<br><br>●ステンレス(SUS304)<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK15-F8S】(4971973) ジョイント金具１５型フラット　ＳＵＳ　長さ１９４　穴数８ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK15-F8S】(4971973) ジョイント金具１５型フラット　ＳＵＳ　長さ１９４　穴数８ 受注単位1,生産加工用品\建築金物\ジョイント金具。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK15-F8S】(4971973) ジョイント金具１５型フラット　ＳＵＳ　長さ１９４　穴数８ 受注単位1[rn]
10-22669,,196.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK25-L10CP】(4972171) ジョイント金具２５型Ｌ　黒　１９９Ｘ９９ 受注単位1,生産加工用品\建築金物\ジョイント金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●機器取り付けの際あらかじめ仮付けしてからでも、調整・微調整が簡単にできます。<br>●ドライバー1本で伸縮自在の調整が可能です。<br>●手軽で多彩な組み合わせができる部材です。<br><br>●連結金具。<br><br>●板厚(mm)：3<br>●穴径(mm)：8<br>●穴数：34<br>●穴ピッチ(mm)：25<br>●質量(g)：127.0<br>●幅W(mm)：25<br>●長さL1(mm)：199<br>●長さL2(mm)：99<br><br>●長穴径：8×16mm<br><br>●スチール<br>●表面処理：カチオン電着塗装<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK25-L10CP】(4972171) ジョイント金具２５型Ｌ　黒　１９９Ｘ９９ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK25-L10CP】(4972171) ジョイント金具２５型Ｌ　黒　１９９Ｘ９９ 受注単位1,生産加工用品\建築金物\ジョイント金具。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK25-L10CP】(4972171) ジョイント金具２５型Ｌ　黒　１９９Ｘ９９ 受注単位1[rn]
10-22670,,105.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK45-L2CP】(4972236) ジョイント金具４５型Ｌ　黒　２３Ｘ２３ 受注単位1,生産加工用品\建築金物\ジョイント金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●生活用品の連結金具としても幅広く活用でき、大工作業や補強金具としても定番アイテムです。<br><br>●連結金具。<br><br>●板厚(mm)：2<br>●穴径(mm)：4<br>●穴数：6<br>●穴ピッチ(mm)：25<br>●質量(g)：25.2<br>●幅W(mm)：45<br>●長さL1(mm)：23<br>●長さL2(mm)：23<br><br>●長穴径8×15mm<br><br>●スチール<br>●表面処理：カチオン電着塗装<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK45-L2CP】(4972236) ジョイント金具４５型Ｌ　黒　２３Ｘ２３ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK45-L2CP】(4972236) ジョイント金具４５型Ｌ　黒　２３Ｘ２３ 受注単位1,生産加工用品\建築金物\ジョイント金具。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK45-L2CP】(4972236) ジョイント金具４５型Ｌ　黒　２３Ｘ２３ 受注単位1[rn]
10-22671,,148.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK15-L6AS】(4972058) ジョイント金具１５型Ｌ　ＳＵＳ　１１１Ｘ３６　穴数６ 受注単位1,生産加工用品\建築金物\ジョイント金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●生活用品の連結金具としても幅広く活用でき、大工作業や補強金具としても定番アイテムです。<br><br>●連結金具。<br><br>●板厚(mm)：2<br>●穴径(mm)：4<br>●穴数：6<br>●穴ピッチ(mm)：12.5<br>●幅W(mm)：15<br>●長さL1(mm)：111<br>●長さL2(mm)：36<br><br>●穴ピッチ：12.5mm<br><br>●ステンレス(SUS304)<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK15-L6AS】(4972058) ジョイント金具１５型Ｌ　ＳＵＳ　１１１Ｘ３６　穴数６ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK15-L6AS】(4972058) ジョイント金具１５型Ｌ　ＳＵＳ　１１１Ｘ３６　穴数６ 受注単位1,生産加工用品\建築金物\ジョイント金具。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK15-L6AS】(4972058) ジョイント金具１５型Ｌ　ＳＵＳ　１１１Ｘ３６　穴数６ 受注単位1[rn]
10-22672,,100.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK15-L4CP】(4971990) ジョイント金具１５型Ｌ　黒　３６Ｘ３６　穴数４ 受注単位1,生産加工用品\建築金物\ジョイント金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●生活用品の連結金具としても幅広く活用でき、大工作業や補強金具としても定番アイテムです。<br><br>●連結金具。<br><br>●板厚(mm)：2<br>●穴径(mm)：4<br>●穴数：4<br>●穴ピッチ(mm)：12.5<br>●幅W(mm)：15<br>●長さL1(mm)：36<br>●長さL2(mm)：36<br><br>●穴ピッチ：12.5mm<br><br>●スチール<br>●表面処理：カチオン電着塗装<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK15-L4CP】(4971990) ジョイント金具１５型Ｌ　黒　３６Ｘ３６　穴数４ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK15-L4CP】(4971990) ジョイント金具１５型Ｌ　黒　３６Ｘ３６　穴数４ 受注単位1,生産加工用品\建築金物\ジョイント金具。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK15-L4CP】(4971990) ジョイント金具１５型Ｌ　黒　３６Ｘ３６　穴数４ 受注単位1[rn]
