10-20301,,1621.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【T-101BIF】(7336381) ジグソーブレード５本 受注単位1,作業用品\切断用品\ジグソーブレード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●スイスの専用工場で生産した品質の高いジグソーブレードです。<br><br>●ラミネートフローリング材用。<br><br>●山数：15<br>●全長(mm)：82<br>●厚み(mm)：1.25<br>●有効刃長(mm)：59<br>●切断タイプ：直線<br>●パック入数(本)：5<br>●切断能力(mm)木材・合板：1.5～15<br>●切断能力(mm)フローリング材：1.5～15<br>●質量(g)：36<br><br>●適合機種：ボッシュ、マキタ、日立、リョービなどのTシャンク形状のジグソー<br><br>●バイメタル<br>",『カード対応OK！』■〒ボッシュ【T-101BIF】(7336381) ジグソーブレード５本 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【T-101BIF】(7336381) ジグソーブレード５本 受注単位1,作業用品\切断用品\ジグソーブレード。『カード対応OK！』■〒ボッシュ【T-101BIF】(7336381) ジグソーブレード５本 受注単位1[rn]
10-20342,,2908.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アイウッド/アイウッド　チップソー　大工の仕事　構造用合板・集成材用　Φ１４７【99160】(4140206) 受注単位1,作業用品\切断用品\チップソー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●６：１組刃で切断時の直進性とハケ・仕上がりが向上しました。<br>●独自の特殊超硬チップとフッ素コーティングで軽快な切味が驚異的に持続します。<br>●レーザーでの切抜きによる高精度な台金で最高に美しい仕上りです。<br>●レーザースリットと外周長短スリットの組み合わせで制震・消音・放熱効果を最大限に向上しています。",『カード対応OK！』■〒アイウッド/アイウッド　チップソー　大工の仕事　構造用合板・集成材用　Φ１４７【99160】(4140206) 受注単位1：クローバー資材館,『カード対応OK！』■〒アイウッド/アイウッド　チップソー　大工の仕事　構造用合板・集成材用　Φ１４７【99160】(4140206) 受注単位1,作業用品\切断用品\チップソー。『カード対応OK！』■〒アイウッド/アイウッド　チップソー　大工の仕事　構造用合板・集成材用　Φ１４７【99160】(4140206) 受注単位1[rn]
10-20343,,1572.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1210MRC】(7550987) ラチェッティングコンビネーションレンチ　１２角　１０ｍｍ 受注単位1,作業用品\レンチ・スパナ・プーラー\ラチェットレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●デュアルパウル設計で細かいギアと高い耐久性を同時に実現しています。<br>●素早く回転方向を切り替えられるレバー付きです。<br>●面接触で確実にトルクを伝えます。<br>●クロームメッキ仕上げで錆や汚れから守ります。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●対辺寸法(mm)：10<br>●厚み(mm)スパナ：5.56<br>●厚み(mm)めがね：8.73<br>●全長(mm)：160<br>●質量(g)：60<br><br>●ボックス部：12角<br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1210MRC】(7550987) ラチェッティングコンビネーションレンチ　１２角　１０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1210MRC】(7550987) ラチェッティングコンビネーションレンチ　１２角　１０ｍｍ 受注単位1,作業用品\レンチ・スパナ・プーラー\ラチェットレンチ。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1210MRC】(7550987) ラチェッティングコンビネーションレンチ　１２角　１０ｍｍ 受注単位1[rn]
10-20344,,4082.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒モトユキ【B13-730-18(3P)】(4804082) キングコングバンドソーブレード 受注単位1,作業用品\切断用品\バンドソー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●硬く粘りのあるバイメタル材を採用することで金属疲労を軽減させ、破断までの時間が長く、長寿命を実現します。<br>●充電式バンドソー対応品です。<br>●手ぶれしやすいハンディ工具に最適なピッチと歯型を採用し、切れ味が持続します。<br>●充電式バンドソーの替刃<br>●刃断寿命1.5倍、厳選されたﾊﾞｲﾒﾀﾙ材を採用した。<br>●滑らかな切れ味、手ぶれしやすいハンディ工具に最適なピッチと刃型を採用。<br>●低振動で静か、小さい駆動輪を考慮し、卓越した技術でブレードを接合。<br><br>●一般鋼材・ステンレスなど難削材の切断に。<br>●鋼管、電線管、ステンレスパイプ、銅管、樹脂ﾊﾟｲﾌﾟ、リップ鋼、アングル鋼、平鋼、鉄筋、メタルモール、ケーブルラック、レースウェイ、ハンガーレール、電線、ケーブル、アルミサッシなど。<br><br>●山数：18<br>●全長(mm)：730<br>●幅(mm)：13<br>●厚み(mm)：0.5<br>●適合機種：アサダH60Eco、ボッシュGCB18V-LI(H)<br>●質量(g)：160<br><br>●全長730mm、幅13mm、厚み0.5mm、山数18<br><br>●コバルトハイス鋼<br>",『カード対応OK！』■〒モトユキ【B13-730-18(3P)】(4804082) キングコングバンドソーブレード 受注単位1：クローバー資材館,『カード対応OK！』■〒モトユキ【B13-730-18(3P)】(4804082) キングコングバンドソーブレード 受注単位1,作業用品\切断用品\バンドソー。『カード対応OK！』■〒モトユキ【B13-730-18(3P)】(4804082) キングコングバンドソーブレード 受注単位1[rn]
10-20345,,1144.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ/ボッシュ　ジグソーブレード　ナイフ刃　３本入り【T-113A/3】(3519741) 受注単位1,作業用品\切断用品\ジグソーブレード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●スイスの専用工場で生産した品質の高いジグソーブレードです。",『カード対応OK！』■〒ボッシュ/ボッシュ　ジグソーブレード　ナイフ刃　３本入り【T-113A/3】(3519741) 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ/ボッシュ　ジグソーブレード　ナイフ刃　３本入り【T-113A/3】(3519741) 受注単位1,作業用品\切断用品\ジグソーブレード。『カード対応OK！』■〒ボッシュ/ボッシュ　ジグソーブレード　ナイフ刃　３本入り【T-113A/3】(3519741) 受注単位1[rn]
10-20346,,4536.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒チップソージャパン/チップソージャパン　ステンレスカットソー（１００ｍｍ）【ST-100】(3371298) 受注単位1,作業用品\切断用品\チップソー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●耐摩耗性に優れたサーメットチップ採用により長く切れます。<br>●制限刃（0.5mm±0.1mm）採用により刃先チップの欠損を減少します。",『カード対応OK！』■〒チップソージャパン/チップソージャパン　ステンレスカットソー（１００ｍｍ）【ST-100】(3371298) 受注単位1：クローバー資材館,『カード対応OK！』■〒チップソージャパン/チップソージャパン　ステンレスカットソー（１００ｍｍ）【ST-100】(3371298) 受注単位1,作業用品\切断用品\チップソー。『カード対応OK！』■〒チップソージャパン/チップソージャパン　ステンレスカットソー（１００ｍｍ）【ST-100】(3371298) 受注単位1[rn]
10-20347,,1408.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1209MRCS】(7550961) スタッビー　ラチェッティングコンビネーションレンチ　９ｍｍ 受注単位1,作業用品\レンチ・スパナ・プーラー\ラチェットレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●デュアルパウル設計で細かいギアと高い耐久性を同時に実現しています。<br>●クロームメッキ仕上げなので汚れから守ります。<br>●切替レバーで簡単に回転方向を切り替えられます。<br>●面接触なのでトルクを確実に伝えます。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●対辺寸法(mm)：9<br>●厚み(mm)スパナ：3.97<br>●厚み(mm)めがね：7.94<br>●全長(mm)：93<br>●質量(g)：34<br><br>●ボックス部：12角<br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1209MRCS】(7550961) スタッビー　ラチェッティングコンビネーションレンチ　９ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1209MRCS】(7550961) スタッビー　ラチェッティングコンビネーションレンチ　９ｍｍ 受注単位1,作業用品\レンチ・スパナ・プーラー\ラチェットレンチ。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1209MRCS】(7550961) スタッビー　ラチェッティングコンビネーションレンチ　９ｍｍ 受注単位1[rn]
10-20348,,19119.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』###■〒フナソー【DB5X0.5X2385-120/140】(7595476) 電着ダイヤモンドバンドソー 受注単位1,作業用品\切断用品\バンドソー,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品は代引きでのお取り扱いはできません。ご入金確認後のお手配です。</b></font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●刃先に工業用ダイヤを電着しているため、通常のバンドソーでは切断できない特殊物、複合材などの切断も可能にします。<br><br>●CFRP・セラミックス・カーボン・ガラス・エンプラ・ゴム・超硬・複合材などの切断に。<br><br>●全長(mm)：2385<br>●幅(mm)：5<br>●厚み(mm)：0.5<br>●適合機種：ラクソーVW-55(VWS-55)<br>●粒度(#)：120/140<br>●質量(g)：50<br><br><br>●電着ダイヤ<br>",『カード対応OK！』###■〒フナソー【DB5X0.5X2385-120/140】(7595476) 電着ダイヤモンドバンドソー 受注単位1：クローバー資材館,『カード対応OK！』###■〒フナソー【DB5X0.5X2385-120/140】(7595476) 電着ダイヤモンドバンドソー 受注単位1,作業用品\切断用品\バンドソー。『カード対応OK！』###■〒フナソー【DB5X0.5X2385-120/140】(7595476) 電着ダイヤモンドバンドソー 受注単位1[rn]
10-20349,,1955.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立工機/日立【0040-1399】(7678631) ジグソーブレード　ＮＯ．５０　９２Ｌ　１３山　５枚入り 受注単位1,作業用品\切断用品\ジグソーブレード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●日立ジグソー用替刃です。<br><br>●ステンレスの切断に。<br><br>●山数：13<br>●全長(mm)：92<br>●厚み(mm)：0.9<br>●切断能力(mm)アルミ：3～13<br>●切断能力(mm)軟鋼板：2.5～6.0<br>●切断能力(mm)ステンレス：2.0～3.2<br>●質量(g)：30<br><br>●適合機種：日立、ボッシュ、マキタ、リョービなどのＴシャンク形状のジグソー<br><br>●バイメタル<br>",『カード対応OK！』■〒日立工機/日立【0040-1399】(7678631) ジグソーブレード　ＮＯ．５０　９２Ｌ　１３山　５枚入り 受注単位1：クローバー資材館,『カード対応OK！』■〒日立工機/日立【0040-1399】(7678631) ジグソーブレード　ＮＯ．５０　９２Ｌ　１３山　５枚入り 受注単位1,作業用品\切断用品\ジグソーブレード。『カード対応OK！』■〒日立工機/日立【0040-1399】(7678631) ジグソーブレード　ＮＯ．５０　９２Ｌ　１３山　５枚入り 受注単位1[rn]
10-20350,,4903.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ロブテックス/エビ　ゼットフラッシャー　鉄・ステンレス兼用タイプ　１８０ｍｍ【FX180A】(2962055) 受注単位1,作業用品\切断用品\チップソー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●耐熱性・耐摩耗性に優れた「新合金チップ」採用により、驚異の切れ味・長寿命・きれいな切り口を実現しました。",『カード対応OK！』■〒ロブテックス/エビ　ゼットフラッシャー　鉄・ステンレス兼用タイプ　１８０ｍｍ【FX180A】(2962055) 受注単位1：クローバー資材館,『カード対応OK！』■〒ロブテックス/エビ　ゼットフラッシャー　鉄・ステンレス兼用タイプ　１８０ｍｍ【FX180A】(2962055) 受注単位1,作業用品\切断用品\チップソー。『カード対応OK！』■〒ロブテックス/エビ　ゼットフラッシャー　鉄・ステンレス兼用タイプ　１８０ｍｍ【FX180A】(2962055) 受注単位1[rn]
10-20351,,4028.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【1RM-16】(4978919) ラチェット・コンビネーションレンチ 受注単位1,作業用品\レンチ・スパナ・プーラー\ラチェットレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●メガネ部振り角５°のラチェット機構により狭所での素早い作業が可能です。<br>●メガネ部は１５°のオフセットのため、確実なグリップが可能です。<br>●ラチェット部はなめづらいダイナミックドライブを採用しています。<br><br>●ボルトナットの締め緩め。<br><br>●対辺寸法(mm)：16<br>●厚み(mm)スパナ：7.2<br>●厚み(mm)めがね：9.9<br>●全長(mm)：208<br>●質量(g)：158<br><br>●素材はスエーデン鋼で強固なボディ、表面はニッケル・クロームメッキ鏡面研磨です。<br><br>●バナジウムエクストラ鋼<br>●表面研磨仕上げ<br>",『カード対応OK！』■〒スナップオン・ツールズ/バーコ【1RM-16】(4978919) ラチェット・コンビネーションレンチ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【1RM-16】(4978919) ラチェット・コンビネーションレンチ 受注単位1,作業用品\レンチ・スパナ・プーラー\ラチェットレンチ。『カード対応OK！』■〒スナップオン・ツールズ/バーコ【1RM-16】(4978919) ラチェット・コンビネーションレンチ 受注単位1[rn]
10-20352,,1030.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ/ボッシュ　ジグソーブレード５本【T-244D】(3786927) 受注単位1,作業用品\切断用品\ジグソーブレード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●スイスの専用工場で生産した品質の高いジグソーブレードです。<br>●用途に応じた、様々なタイプのブレードをご用意しております。",『カード対応OK！』■〒ボッシュ/ボッシュ　ジグソーブレード５本【T-244D】(3786927) 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ/ボッシュ　ジグソーブレード５本【T-244D】(3786927) 受注単位1,作業用品\切断用品\ジグソーブレード。『カード対応OK！』■〒ボッシュ/ボッシュ　ジグソーブレード５本【T-244D】(3786927) 受注単位1[rn]
10-20353,,13097.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立工機/日立【0032-7164】(7677367) ＣＢ１３ＦＢ用帯のこ刃　合金　８山　１０本入り 受注単位1,作業用品\切断用品\バンドソー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●CB13FB（CB13FA）用帯のこ刃です。<br><br>●一般鋼材の切断に。<br><br>●山数：8<br>●全長(mm)：1260<br>●幅(mm)：12.5<br>●厚み(mm)：0.5<br>●適合機種：CB13FB、CB13FA<br>●質量(g)：936<br><br><br>●合金<br>",『カード対応OK！』■〒日立工機/日立【0032-7164】(7677367) ＣＢ１３ＦＢ用帯のこ刃　合金　８山　１０本入り 受注単位1：クローバー資材館,『カード対応OK！』■〒日立工機/日立【0032-7164】(7677367) ＣＢ１３ＦＢ用帯のこ刃　合金　８山　１０本入り 受注単位1,作業用品\切断用品\バンドソー。『カード対応OK！』■〒日立工機/日立【0032-7164】(7677367) ＣＢ１３ＦＢ用帯のこ刃　合金　８山　１０本入り 受注単位1[rn]
10-20354,,6888.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立工機/日立【0032-6742】(7677308) スーパーチップソー（アルミサッシ用）　１８５ｍｍＸ６０枚刃 受注単位1,作業用品\切断用品\チップソー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●レーザスリット採用で低騒音・低振動で切断できます。<br>●卓上スライド丸のこ用です。<br><br>●アルミサッシ用。<br><br>●外径(mm)：185<br>●刃厚(mm)：2.0<br>●穴径(mm)：20<br>●刃数：60<br>●最高使用回転数(rpm)：8200<br>●質量(g)：388<br><br><br>●台金：炭素工具鋼<br>●チップ：超硬<br>",『カード対応OK！』■〒日立工機/日立【0032-6742】(7677308) スーパーチップソー（アルミサッシ用）　１８５ｍｍＸ６０枚刃 受注単位1：クローバー資材館,『カード対応OK！』■〒日立工機/日立【0032-6742】(7677308) スーパーチップソー（アルミサッシ用）　１８５ｍｍＸ６０枚刃 受注単位1,作業用品\切断用品\チップソー。『カード対応OK！』■〒日立工機/日立【0032-6742】(7677308) スーパーチップソー（アルミサッシ用）　１８５ｍｍＸ６０枚刃 受注単位1[rn]
10-20355,,1825.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ 作業用品【TGP3-200I】(7985061) ＴＲＵＳＣＯ 3本爪ギヤプーラ用めねじ200mm 発注単位1,作業用品\レンチ・スパナ・プーラー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●適合機種:TGP3型用<br>
●品名:めねじ200mmNo.37-D",■〒トラスコ中山/ＴＲＵＳＣＯ 作業用品【TGP3-200I】(7985061) ＴＲＵＳＣＯ 3本爪ギヤプーラ用めねじ200mm 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ 作業用品【TGP3-200I】(7985061) ＴＲＵＳＣＯ 3本爪ギヤプーラ用めねじ200mm 発注単位1,作業用品\レンチ・スパナ・プーラー。■〒トラスコ中山/ＴＲＵＳＣＯ 作業用品【TGP3-200I】(7985061) ＴＲＵＳＣＯ 3本爪ギヤプーラ用めねじ200mm 発注単位1[rn]
10-20356,,1095.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1104MM】(7550618) ミニオープンエンドレンチ　４ｍｍ 受注単位1,作業用品\レンチ・スパナ・プーラー\スパナ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ヘッド部は15度と80度オフセットされているので狭い箇所でも作業できます。<br>●両エンドとも、同じサイズなので4つのポジションでボルト・ナットを捉えることができます。<br>●ヘッドの先端は45度角を落としてあるのでレンチの抜き差しがスムーズに行えます。<br>●弧型のデザインはV字型より強度が増し、口が広がるのを防ぎます。<br>●薄いヘッド設計は高いアクセス性に貢献しています。<br>●サテン仕上げは錆び防止すべり防止に効果があります。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●二面幅寸法(mm)：4<br>●全長(mm)：76<br>●質量(g)：8<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1104MM】(7550618) ミニオープンエンドレンチ　４ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1104MM】(7550618) ミニオープンエンドレンチ　４ｍｍ 受注単位1,作業用品\レンチ・スパナ・プーラー\スパナ。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1104MM】(7550618) ミニオープンエンドレンチ　４ｍｍ 受注単位1[rn]
10-20357,,318.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三木ネツレン/ネツレン【K0155】(7544740) 両口スパナ８×１０ 受注単位1,作業用品\レンチ・スパナ・プーラー\スパナ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●型打鍛造製なので、強靭で軽量です。<br><br><br>●二面幅寸法(mm)：8×10<br>●全長(mm)：117<br>●質量(g)：30<br><br>●ＪＩＳ　（Ｈ級）強力級<br>●JIS　(H級)強力級<br><br>●特殊鋼<br>",『カード対応OK！』■〒三木ネツレン/ネツレン【K0155】(7544740) 両口スパナ８&times;１０ 受注単位1：クローバー資材館,『カード対応OK！』■〒三木ネツレン/ネツレン【K0155】(7544740) 両口スパナ８&times;１０ 受注単位1,作業用品\レンチ・スパナ・プーラー\スパナ。『カード対応OK！』■〒三木ネツレン/ネツレン【K0155】(7544740) 両口スパナ８&times;１０ 受注単位1[rn]
10-20358,,7182.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三木ネツレン/ネツレン【J0060】(7544529) 片口スパナ６０ 受注単位1,作業用品\レンチ・スパナ・プーラー\スパナ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●型打鍛造製なので、強靭で軽量です。<br><br><br>●二面幅寸法(mm)：60<br>●全長(mm)：484<br>●質量(g)：2000<br><br>●JIS　(H級)強力級<br><br>●特殊鋼<br>",『カード対応OK！』■〒三木ネツレン/ネツレン【J0060】(7544529) 片口スパナ６０ 受注単位1：クローバー資材館,『カード対応OK！』■〒三木ネツレン/ネツレン【J0060】(7544529) 片口スパナ６０ 受注単位1,作業用品\レンチ・スパナ・プーラー\スパナ。『カード対応OK！』■〒三木ネツレン/ネツレン【J0060】(7544529) 片口スパナ６０ 受注単位1[rn]
10-20359,,313.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三木ネツレン/ネツレン【K0153】(7544723) 両口スパナ７×８ 受注単位1,作業用品\レンチ・スパナ・プーラー\スパナ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●型打鍛造製なので、強靭で軽量です。<br><br><br>●二面幅寸法(mm)：7×8<br>●全長(mm)：105<br>●質量(g)：20<br><br>●ＪＩＳ　（Ｈ級）強力級<br>●JIS　(H級)強力級<br><br>●特殊鋼<br>",『カード対応OK！』■〒三木ネツレン/ネツレン【K0153】(7544723) 両口スパナ７&times;８ 受注単位1：クローバー資材館,『カード対応OK！』■〒三木ネツレン/ネツレン【K0153】(7544723) 両口スパナ７&times;８ 受注単位1,作業用品\レンチ・スパナ・プーラー\スパナ。『カード対応OK！』■〒三木ネツレン/ネツレン【K0153】(7544723) 両口スパナ７&times;８ 受注単位1[rn]
10-20360,,335.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三木ネツレン/ネツレン【J0014】(7544316) 片口スパナ１４ 受注単位1,作業用品\レンチ・スパナ・プーラー\スパナ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●型打鍛造製なので、強靭で軽量です。<br><br><br>●二面幅寸法(mm)：14<br>●全長(mm)：136<br>●質量(g)：55<br><br>●JIS　(H級)強力級<br><br>●特殊鋼<br>",『カード対応OK！』■〒三木ネツレン/ネツレン【J0014】(7544316) 片口スパナ１４ 受注単位1：クローバー資材館,『カード対応OK！』■〒三木ネツレン/ネツレン【J0014】(7544316) 片口スパナ１４ 受注単位1,作業用品\レンチ・スパナ・プーラー\スパナ。『カード対応OK！』■〒三木ネツレン/ネツレン【J0014】(7544316) 片口スパナ１４ 受注単位1[rn]
10-20361,,1112.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三木ネツレン/ネツレン【K0183】(7544944) 両口スパナ２６×３２ 受注単位1,作業用品\レンチ・スパナ・プーラー\スパナ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●型打鍛造製なので、強靭で軽量です。<br><br><br>●二面幅寸法(mm)：26×32<br>●全長(mm)：275<br>●質量(g)：490<br><br>●ＪＩＳ　（Ｈ級）強力級<br>●JIS　(H級)強力級<br><br>●特殊鋼<br>",『カード対応OK！』■〒三木ネツレン/ネツレン【K0183】(7544944) 両口スパナ２６&times;３２ 受注単位1：クローバー資材館,『カード対応OK！』■〒三木ネツレン/ネツレン【K0183】(7544944) 両口スパナ２６&times;３２ 受注単位1,作業用品\レンチ・スパナ・プーラー\スパナ。『カード対応OK！』■〒三木ネツレン/ネツレン【K0183】(7544944) 両口スパナ２６&times;３２ 受注単位1[rn]
10-20362,,6511.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW3541M】(7552157) ３０度　サービスレンチ　４１ｍｍ 受注単位1,作業用品\レンチ・スパナ・プーラー\スパナ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●超薄口タイプのスパナです。<br>●ジャムナットや狭い箇所での作業に適してます。<br>●機械工具などの整備にも使用できます。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●二面幅寸法(mm)：41<br>●全長(mm)：194<br><br>●オフセット：30°<br>●表面処理：梨地<br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW3541M】(7552157) ３０度　サービスレンチ　４１ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW3541M】(7552157) ３０度　サービスレンチ　４１ｍｍ 受注単位1,作業用品\レンチ・スパナ・プーラー\スパナ。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW3541M】(7552157) ３０度　サービスレンチ　４１ｍｍ 受注単位1[rn]
10-20363,,8586.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三木ネツレン/ネツレン【J0063】(7544537) 片口スパナ６３ 受注単位1,作業用品\レンチ・スパナ・プーラー\スパナ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●型打鍛造製なので、強靭で軽量です。<br><br><br>●二面幅寸法(mm)：63<br>●全長(mm)：506<br>●質量(g)：2300<br><br>●JIS　(H級)強力級<br><br>●特殊鋼<br>",『カード対応OK！』■〒三木ネツレン/ネツレン【J0063】(7544537) 片口スパナ６３ 受注単位1：クローバー資材館,『カード対応OK！』■〒三木ネツレン/ネツレン【J0063】(7544537) 片口スパナ６３ 受注単位1,作業用品\レンチ・スパナ・プーラー\スパナ。『カード対応OK！』■〒三木ネツレン/ネツレン【J0063】(7544537) 片口スパナ６３ 受注単位1[rn]
