10-21301,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002659938.jpg?fitin=700:700,196.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アソー/ＡＳＯＨ　リングジョイント（１／８×８Φ）【RS-1108】(1768000) 受注単位1,工事用品\管工機材\小径配管継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒アソー/ＡＳＯＨ　リングジョイント（１／８&times;８Φ）【RS-1108】(1768000) 受注単位1：クローバー資材館,『カード対応OK！』■〒アソー/ＡＳＯＨ　リングジョイント（１／８&times;８Φ）【RS-1108】(1768000) 受注単位1,工事用品\管工機材\小径配管継手。『カード対応OK！』■〒アソー/ＡＳＯＨ　リングジョイント（１／８&times;８Φ）【RS-1108】(1768000) 受注単位1[rn]
10-21364,,816.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒シンワ測定/シンワ【73285】(7569068) ハンディ墨つぼＪｒ．Ｐｌｕｓ手巻ターコイズブルー 受注単位1,工事用品\測量用品\墨つぼ・チョークリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●新ロック機構採用のタンク蓋で開閉がし易くなりました。<br>●ナスカン対応のフック穴付で高所作業で必須の落下防止コードも取り付け可能です。<br>●セイフティリングで糸の出し入れがスムーズです。<br><br>●墨液を使用した基準出しに。<br><br>●糸長さ(m)：30<br><br>●幅ｘ奥行ｘ高さ：70ｘ38ｘ160mm<br><br>●ABS樹脂、ポリアセタール樹脂、シリコンゴム<br>",『カード対応OK！』■〒シンワ測定/シンワ【73285】(7569068) ハンディ墨つぼＪｒ．Ｐｌｕｓ手巻ターコイズブルー 受注単位1：クローバー資材館,『カード対応OK！』■〒シンワ測定/シンワ【73285】(7569068) ハンディ墨つぼＪｒ．Ｐｌｕｓ手巻ターコイズブルー 受注単位1,工事用品\測量用品\墨つぼ・チョークリール。『カード対応OK！』■〒シンワ測定/シンワ【73285】(7569068) ハンディ墨つぼＪｒ．Ｐｌｕｓ手巻ターコイズブルー 受注単位1[rn]
10-21365,,1043.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒たくみ【9150】(2459001) ポケスミ 受注単位1,工事用品\測量用品\墨つぼ・チョークリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●墨もれしない完全密閉式です。<br>●ポケットサイズで便利です。<br><br>●建築工事の墨付け作業<br><br>●糸長さ(m)：30<br>●質量(g)：94<br>●糸長さ（ｍ）：30<br><br>●手動巻<br>●糸長さ（ｍ）：３０<br>●本体サイズ（ｍｍ）：１４０×６９×４５<br><br>●ＡＢＳ<br>",『カード対応OK！』■〒たくみ【9150】(2459001) ポケスミ 受注単位1：クローバー資材館,『カード対応OK！』■〒たくみ【9150】(2459001) ポケスミ 受注単位1,工事用品\測量用品\墨つぼ・チョークリール。『カード対応OK！』■〒たくみ【9150】(2459001) ポケスミ 受注単位1[rn]
10-21366,,1134.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒たくみ【9160】(2459019) ポケスミ　ガイド付 受注単位1,工事用品\測量用品\墨つぼ・チョークリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●墨もれしない完全密閉式です。<br>●ポケットサイズで便利です。<br><br>●建築工事の墨付け作業<br><br>●糸長さ(m)：30<br>●質量(g)：115<br>●糸長さ（ｍ）：30<br><br>●手動巻取<br>●糸長さ（ｍ）：３０<br>●本体サイズ（ｍｍ）：１４０×６９×４５<br><br>●ＡＢＳ<br>",『カード対応OK！』■〒たくみ【9160】(2459019) ポケスミ　ガイド付 受注単位1：クローバー資材館,『カード対応OK！』■〒たくみ【9160】(2459019) ポケスミ　ガイド付 受注単位1,工事用品\測量用品\墨つぼ・チョークリール。『カード対応OK！』■〒たくみ【9160】(2459019) ポケスミ　ガイド付 受注単位1[rn]
10-21367,,392.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒たくみ【2203】(2458926) 粉チョーク　黄 受注単位1,工事用品\測量用品\墨つぼ・チョークリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●重質粉を使用しているので線がつきやすく、飛び散りません。<br>●完全密封容器入りなので、変色せず、着色が同じです。<br>●飛び散りにくい重質粉チョークです。<br><br>●チョークライン用。<br>●チョークライン用粉チョーク<br><br>●色：黄<br>●容量(g)：300<br>●質量(g)：340<br><br>●色：黄<br>●容量（g）：３００<br>●ボトルサイズ（mm）：直径約６０×１９５<br><br>●炭酸カルシウム<br>",『カード対応OK！』■〒たくみ【2203】(2458926) 粉チョーク　黄 受注単位1：クローバー資材館,『カード対応OK！』■〒たくみ【2203】(2458926) 粉チョーク　黄 受注単位1,工事用品\測量用品\墨つぼ・チョークリール。『カード対応OK！』■〒たくみ【2203】(2458926) 粉チョーク　黄 受注単位1[rn]
10-21368,,392.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒たくみ【2204】(2458934) 粉チョーク　　赤 受注単位1,工事用品\測量用品\墨つぼ・チョークリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●重質粉を使用しているので線がつきやすく、飛び散りません。<br>●完全密封容器入りなので、変色せず、着色が同じです。<br>●飛び散りにくい重質粉チョークです。<br><br>●チョークライン用。<br>●チョークライン用粉チョーク<br><br>●色：赤<br>●容量(g)：300<br>●質量(g)：340<br><br>●色：赤<br>●容量（g）：３００<br>●ボトルサイズ（mm）：直径約６０×１９５<br><br>●炭酸カルシウム<br>",『カード対応OK！』■〒たくみ【2204】(2458934) 粉チョーク　　赤 受注単位1：クローバー資材館,『カード対応OK！』■〒たくみ【2204】(2458934) 粉チョーク　　赤 受注単位1,工事用品\測量用品\墨つぼ・チョークリール。『カード対応OK！』■〒たくみ【2204】(2458934) 粉チョーク　　赤 受注単位1[rn]
10-21369,,354.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＪＭデザイン/タジマ【PS-ITOSS】(7537786) パーフェクト墨つぼ用極細糸　３０ｍ 受注単位1,工事用品\測量用品\墨つぼ・チョークリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●パーフェクト墨つぼ用の極細糸30mです。<br>●パーフェクト墨つぼ用交換部品となります<br><br>●パーフェクト墨つぼ用極細糸30ｍ<br><br><br>●糸の太さ：0.4mm<br><br>●糸：ナイロン<br>",『カード対応OK！』■〒ＴＪＭデザイン/タジマ【PS-ITOSS】(7537786) パーフェクト墨つぼ用極細糸　３０ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＪＭデザイン/タジマ【PS-ITOSS】(7537786) パーフェクト墨つぼ用極細糸　３０ｍ 受注単位1,工事用品\測量用品\墨つぼ・チョークリール。『カード対応OK！』■〒ＴＪＭデザイン/タジマ【PS-ITOSS】(7537786) パーフェクト墨つぼ用極細糸　３０ｍ 受注単位1[rn]
10-21370,,1768.8000,,花・ガーデン・DIY > DIY・工具 > その他,【カード対応OK！】■〒ＴＪＭデザイン/タジマ【PS-SUM6BMHI】(7537816) パーフェクト墨つぼ　ボム　６ｍ　極細糸 受注単位1,工事用品\測量用品\墨つぼ・チョークリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●マルチヘッドで入隅も平面も打ちやすいです。<br>●液漏れしにくい高密閉設計です。<br>●フルオープンでメンテナンスが簡単です。<br>●マルチヘッドで入隅も平面も打ちやすい<br>●巻取りバネ強め<br>●液漏れしにくい高密閉設計<br>●危険を防止針収納ポイントカルコを標準装備<br>●フルオープンでメンテナンス簡単<br>●リール面ゴムグリップ<br><br>●墨汁による墨付け作業<br><br>●糸長さ(m)：15<br>●自動巻取糸長さ(m)：6<br><br>●糸の長さ：15m<br>●自動巻取糸長さ：6m<br>●糸の太さ：0.4mm<br>●墨タンク最大容量：7ml<br><br>●外装：ABS樹脂<br>●糸：ナイロン<br>●綿：セルロース<br>",【カード対応OK！】■〒ＴＪＭデザイン/タジマ【PS-SUM6BMHI】(7537816) パーフェクト墨つぼ　ボム　６ｍ　極細糸 受注単位1：クローバー資材館,【カード対応OK！】■〒ＴＪＭデザイン/タジマ【PS-SUM6BMHI】(7537816) パーフェクト墨つぼ　ボム　６ｍ　極細糸 受注単位1,工事用品\測量用品\墨つぼ・チョークリール。【カード対応OK！】■〒ＴＪＭデザイン/タジマ【PS-SUM6BMHI】(7537816) パーフェクト墨つぼ　ボム　６ｍ　極細糸 受注単位1[rn]
10-21371,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004180518.jpg?fitin=700:700,2689.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　パーフェクト墨つぼ　ＥＶＯ－Ｘ　剛糸・細糸　Ｓ【PS-EVOX-S】(3772179) 受注単位1,工事用品\測量用品\墨つぼ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ナイロン単糸を芯に入れた新開発編糸「剛糸(つよいと)」を採用。耐久性36倍（当社従来比）を実現しました。<br>●押さえやすく、先端が見やすい斜めカットカルコケースを採用しています。<br>●本体が工具なしで全開し、手入れや糸交換が簡単にできます。<br>●ゴムパッキンを要所に使用、墨漏れしにくく墨汁の乾燥を防ぎ、長期使用が可能です。<br>●墨含みを飛躍的に向上させたセルロース・スポンジ綿を採用しています。",『カード対応OK！』■〒ＴＪＭデザイン/タジマ　パーフェクト墨つぼ　ＥＶＯ&minus;Ｘ　剛糸・細糸　Ｓ【PS-EVOX-S】(3772179) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　パーフェクト墨つぼ　ＥＶＯ&minus;Ｘ　剛糸・細糸　Ｓ【PS-EVOX-S】(3772179) 受注単位1,工事用品\測量用品\墨つぼ。『カード対応OK！』■〒ＴＪＭデザイン/タジマ　パーフェクト墨つぼ　ＥＶＯ&minus;Ｘ　剛糸・細糸　Ｓ【PS-EVOX-S】(3772179) 受注単位1[rn]
10-21372,http://tshop.r10s.jp/clover9608/cabinet/pb8/t010005421981.jpg?fitin=700:700,174.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　墨汁　１８０ｃｃ　黒【TKE-180  BK】(2533260) 受注単位1,(2533260),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●墨汁は墨つきが良く、雨でも流れにくく、最適です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　墨汁　１８０ｃｃ　黒【TKE-180  BK】(2533260) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　墨汁　１８０ｃｃ　黒【TKE-180  BK】(2533260) 受注単位1,(2533260)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　墨汁　１８０ｃｃ　黒【TKE-180  BK】(2533260) 受注単位1[rn]
10-21373,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002817809.jpg?fitin=700:700,2367.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　パーフェクト墨つぼ　青【PS-SUM-B  (ｱｵ 20M)】(2920441) 受注単位1,工事用品\測量用品\墨つぼ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ゴムパッキンを要所に使用した密閉タイプです。<br>●新墨綿と新タンク形状で少ない墨汁でも従来品より墨付け距離が伸びました。<br>●メンテナンスしやすい、全開タイプです。<br>●墨タンク最大容量は20[[ミリリットル]]です。",『カード対応OK！』■〒ＴＪＭデザイン/タジマ　パーフェクト墨つぼ　青【PS-SUM-B  (ｱｵ 20M)】(2920441) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　パーフェクト墨つぼ　青【PS-SUM-B  (ｱｵ 20M)】(2920441) 受注単位1,工事用品\測量用品\墨つぼ。『カード対応OK！』■〒ＴＪＭデザイン/タジマ　パーフェクト墨つぼ　青【PS-SUM-B  (ｱｵ 20M)】(2920441) 受注単位1[rn]
10-21374,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002811249.jpg?fitin=700:700,1734.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　ピーラインチヨーク自動巻【PL-CLJM  (10M)】(2920361) 受注単位1,工事用品\測量用品\墨つぼ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●粉チョークのつきが良い、「チョークたっぷりメカ」搭載です。<br>●粉チョーク残量が確認しやすい透明タンクです。<br>●ステンレスフック標準装備です。<br>●付属糸はパーフェクトライン用糸です。（太さ1mm）",『カード対応OK！』■〒ＴＪＭデザイン/タジマ　ピーラインチヨーク自動巻【PL-CLJM  (10M)】(2920361) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　ピーラインチヨーク自動巻【PL-CLJM  (10M)】(2920361) 受注単位1,工事用品\測量用品\墨つぼ。『カード対応OK！』■〒ＴＪＭデザイン/タジマ　ピーラインチヨーク自動巻【PL-CLJM  (10M)】(2920361) 受注単位1[rn]
10-21375,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004394676.jpg?fitin=700:700,1464.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　パーフェクト墨つぼ　ライト赤【PS-LIGHT-R】(3422879) 受注単位1,工事用品\測量用品\墨つぼ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●針先から墨が打てるパーフェクトかるこ21を標準装備しています。<br>●狭い所にも確実に墨が打てるバリカンヘッドです。<br>●墨タンク最大容量は13[[ミリリットル]]です。<br>●押さえやすく見えやすい先端形状です。<br>●ちょい使いに便利な超ミニサイズです。<br>●ゴムパッキン開閉フタです。",『カード対応OK！』■〒ＴＪＭデザイン/タジマ　パーフェクト墨つぼ　ライト赤【PS-LIGHT-R】(3422879) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　パーフェクト墨つぼ　ライト赤【PS-LIGHT-R】(3422879) 受注単位1,工事用品\測量用品\墨つぼ。『カード対応OK！』■〒ＴＪＭデザイン/タジマ　パーフェクト墨つぼ　ライト赤【PS-LIGHT-R】(3422879) 受注単位1[rn]
10-21376,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002662903.jpg?fitin=700:700,2065.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒たくみ/たくみ　二刀流墨つぼ【9165】(3099679) 受注単位1,工事用品\測量用品\墨つぼ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●完全密閉型で一台二役のライン引きです。",『カード対応OK！』■〒たくみ/たくみ　二刀流墨つぼ【9165】(3099679) 受注単位1：クローバー資材館,『カード対応OK！』■〒たくみ/たくみ　二刀流墨つぼ【9165】(3099679) 受注単位1,工事用品\測量用品\墨つぼ。『カード対応OK！』■〒たくみ/たくみ　二刀流墨つぼ【9165】(3099679) 受注単位1[rn]
10-21377,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004394674.jpg?fitin=700:700,2444.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　パーフェクト墨つぼ２１赤／２１ｍ【PS-SUM21-R  (ｱｶ 21M)】(3772241) 受注単位1,工事用品\測量用品\墨つぼ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ゴムパッキンを要所に使用、墨もれしにくく墨汁の乾燥を防ぎ、長期使用が可能です。<br>●つぼ部が回転するので握り手に合わせて最適なポジションがつくれる首振りヘッドを採用しています。<br>●自動調速巻取式、かるこが手元で減速します。<br>●自動で開くポップアップ式蓋、墨付けが楽に行えます。<br>●狭い所にも確実に墨が打てるバリカン形状の先端ヘッドを採用しています。",『カード対応OK！』■〒ＴＪＭデザイン/タジマ　パーフェクト墨つぼ２１赤／２１ｍ【PS-SUM21-R  (ｱｶ 21M)】(3772241) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　パーフェクト墨つぼ２１赤／２１ｍ【PS-SUM21-R  (ｱｶ 21M)】(3772241) 受注単位1,工事用品\測量用品\墨つぼ。『カード対応OK！』■〒ＴＪＭデザイン/タジマ　パーフェクト墨つぼ２１赤／２１ｍ【PS-SUM21-R  (ｱｶ 21M)】(3772241) 受注単位1[rn]
10-21378,http://tshop.r10s.jp/clover9608/cabinet/pb5-1/t010004528173.jpg?fitin=700:700,169.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　坪糸（化繊）　＃２１　３５ｍ巻【TMI-2011】(2533219) 受注単位1,(2533219),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●特殊加工ナイロン糸により、墨つきがよく、腐りにくく、強く長く使えます。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　坪糸（化繊）　＃２１　３５ｍ巻【TMI-2011】(2533219) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　坪糸（化繊）　＃２１　３５ｍ巻【TMI-2011】(2533219) 受注単位1,(2533219)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　坪糸（化繊）　＃２１　３５ｍ巻【TMI-2011】(2533219) 受注単位1[rn]
10-21379,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004382818.jpg?fitin=700:700,2002.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　ピッチライン割付チョーク　１５０【PL-WCL150】(3772128) 受注単位1,工事用品\測量用品\墨つぼ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ピッチライン粉消費量はチョークラインに比べ約70分の1です。（自社比）<br>●単繊維ナイロン糸に等間隔で特殊起毛加工し、加工部分だけに粉チョークが付着します。<br>●粉チョークの付きが良い「チョークたっぷりメカ」搭載しています。<br>●木部にもしっかり刺さるポイントカルコ付です。<br>●自動巻き取り最長7m（糸の長さ9m）までピッチライン（150ミリ間隔割付線）が一発で打てます。",『カード対応OK！』■〒ＴＪＭデザイン/タジマ　ピッチライン割付チョーク　１５０【PL-WCL150】(3772128) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　ピッチライン割付チョーク　１５０【PL-WCL150】(3772128) 受注単位1,工事用品\測量用品\墨つぼ。『カード対応OK！』■〒ＴＪＭデザイン/タジマ　ピッチライン割付チョーク　１５０【PL-WCL150】(3772128) 受注単位1[rn]
10-21380,http://tshop.r10s.jp/clover9608/cabinet/pb5-1/t010004528142.jpg?fitin=700:700,143.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チョークライン用糸　細２０ｍ巻【TMI-2003】(2533707) 受注単位1,(2533707),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●特殊加工で粉チョークのつきやすいナイロンひもです。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チョークライン用糸　細２０ｍ巻【TMI-2003】(2533707) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チョークライン用糸　細２０ｍ巻【TMI-2003】(2533707) 受注単位1,(2533707)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チョークライン用糸　細２０ｍ巻【TMI-2003】(2533707) 受注単位1[rn]
10-21381,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005093362.jpg?fitin=700:700,2689.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　パーフェクト墨つぼ　ＥＶＯ－Ｘ　剛糸・細糸　Ｍ【PS-EVOX-M】(3653480) 受注単位1,工事用品\測量用品\墨つぼ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ナイロン単糸を芯に入れた新開発編糸「剛糸（つよいと）」を採用。耐久性36倍（当社従来比）を実現しました。<br>●押さえやすく、先端が見やすい斜めカットカルコケースを採用しています。<br>●本体が工具なしで全開し、手入れや糸交換が簡単にできます<br>●ゴムパッキンを要所に使用、墨漏れしにくく墨汁の乾燥を防ぎ、長期使用が可能です。<br>●墨含みを飛躍的に向上させたセルロース・スポンジ綿を採用しています。<br>●糸に墨汁を均一に染み込ませることができる綿押え付です。",『カード対応OK！』■〒ＴＪＭデザイン/タジマ　パーフェクト墨つぼ　ＥＶＯ&minus;Ｘ　剛糸・細糸　Ｍ【PS-EVOX-M】(3653480) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　パーフェクト墨つぼ　ＥＶＯ&minus;Ｘ　剛糸・細糸　Ｍ【PS-EVOX-M】(3653480) 受注単位1,工事用品\測量用品\墨つぼ。『カード対応OK！』■〒ＴＪＭデザイン/タジマ　パーフェクト墨つぼ　ＥＶＯ&minus;Ｘ　剛糸・細糸　Ｍ【PS-EVOX-M】(3653480) 受注単位1[rn]
10-21382,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004394675.jpg?fitin=700:700,774.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　雨の日朱液１８０ｍｌ【PSS3-180  (180ML)】(3772225) 受注単位1,工事用品\測量用品\墨つぼ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ぬれた面でもにじまず打てます。<br>●墨打ち時に液の飛び散りが少なく、シャープな線が引けます。<br>●乾燥してもつぼ糸、つぼ綿が硬く固まらず、水を加えると溶けて元に戻ります。<br>●凍結しにくく寒冷地での作業が楽に行えます。<br>●塩分を含んでいません。<br>●竹、金属、樹脂、あらゆる墨差しにも対応します。",『カード対応OK！』■〒ＴＪＭデザイン/タジマ　雨の日朱液１８０ｍｌ【PSS3-180  (180ML)】(3772225) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　雨の日朱液１８０ｍｌ【PSS3-180  (180ML)】(3772225) 受注単位1,工事用品\測量用品\墨つぼ。『カード対応OK！』■〒ＴＪＭデザイン/タジマ　雨の日朱液１８０ｍｌ【PSS3-180  (180ML)】(3772225) 受注単位1[rn]
10-21383,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005138188.jpg?fitin=700:700,1791.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　パーフェクト墨つぼ　ＥＶＯ　Ｓ【PS-EVO-S】(3772161) 受注単位1,工事用品\測量用品\墨つぼ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●押さえやすく、先端が見やすい斜めカットカルコケースを採用しています。<br>●本体が工具なしで全開し、手入れや糸交換が簡単にできます。<br>●ゴムパッキンを要所に使用し、墨もれしにくく墨汁の乾燥を防ぎ、長期使用が可能です。<br>●墨含みを飛躍的に向上させたセルロース・スポンジ綿採用です。",『カード対応OK！』■〒ＴＪＭデザイン/タジマ　パーフェクト墨つぼ　ＥＶＯ　Ｓ【PS-EVO-S】(3772161) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　パーフェクト墨つぼ　ＥＶＯ　Ｓ【PS-EVO-S】(3772161) 受注単位1,工事用品\測量用品\墨つぼ。『カード対応OK！』■〒ＴＪＭデザイン/タジマ　パーフェクト墨つぼ　ＥＶＯ　Ｓ【PS-EVO-S】(3772161) 受注単位1[rn]
10-21384,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002811248.jpg?fitin=700:700,1791.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　ピーライン早巻【PL-CLHM】(2920352) 受注単位1,工事用品\測量用品\墨つぼ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●糸を3倍速く巻き取り可能です。<br>●軽量、落としても壊れにくいアルミダイカスト製です。<br>●ステンレスフック標準装備です。<br>●付属糸はパーフェクトライン用糸です。（太さ1mm）<br>●雨や湿気に強く、粉もれしない密閉構造です。",『カード対応OK！』■〒ＴＪＭデザイン/タジマ　ピーライン早巻【PL-CLHM】(2920352) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　ピーライン早巻【PL-CLHM】(2920352) 受注単位1,工事用品\測量用品\墨つぼ。『カード対応OK！』■〒ＴＪＭデザイン/タジマ　ピーライン早巻【PL-CLHM】(2920352) 受注単位1[rn]
10-21385,http://tshop.r10s.jp/clover9608/cabinet/pb5-1/t010004528158.jpg?fitin=700:700,116.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　坪糸（化繊）　＃１３　３５ｍ巻【TMI-2007】(2533197) 受注単位1,(2533197),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●特殊加工ナイロン糸により、墨つきがよく、腐りにくく、強く長く使えます。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　坪糸（化繊）　＃１３　３５ｍ巻【TMI-2007】(2533197) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　坪糸（化繊）　＃１３　３５ｍ巻【TMI-2007】(2533197) 受注単位1,(2533197)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　坪糸（化繊）　＃１３　３５ｍ巻【TMI-2007】(2533197) 受注単位1[rn]
