8-10505,http://tshop.r10s.jp/clover9608/cabinet/kotomi4/040045.jpg?fitin=700:700,225.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』カクダイ【0400- 58】丸目皿ｱﾐ,水栓金具\カクダイ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』カクダイ【0400- 58】丸目皿ｱﾐ：クローバー資材館,『カード対応OK！』カクダイ【0400- 58】丸目皿ｱﾐ,水栓金具\カクダイ。『カード対応OK！』カクダイ【0400- 58】丸目皿ｱﾐ[rn]
8-10556,,2544.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFSH-130-76】(4960319) ステンレス製自由蝶番　片開　全長７６ｍｍ 受注単位1,生産加工用品\建築金物\蝶番,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●扉を片方に開けることができます。<br>●常に扉が閉じた状態を保つようにばねが内蔵されています。<br>●トルクの調整が可能です。<br><br>●屋内用スイングドア等。<br><br>●全長(mm)：76<br>●幅(mm)：70<br>●厚み(mm)：1.5<br>●Ｄ2(mm)：20<br>●ねじ穴数：8<br>●穴径(mm)：5<br>●耐荷重(kg)2個使用時：7<br><br>●表面処理：バフ研磨<br>●取付方法：木ねじ（付属）<br>●片開タイプ<br>●開閉トルク調整付<br><br>●本体：ステンレス（SUS304）<br>●スプリング：SWCバネ鋼<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFSH-130-76】(4960319) ステンレス製自由蝶番　片開　全長７６ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFSH-130-76】(4960319) ステンレス製自由蝶番　片開　全長７６ｍｍ 受注単位1,生産加工用品\建築金物\蝶番。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFSH-130-76】(4960319) ステンレス製自由蝶番　片開　全長７６ｍｍ 受注単位1[rn]
8-10557,,8143.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFSH-150-153】(4960343) ステンレス製自由蝶番　両開　全長１５３ｍｍ 受注単位1,生産加工用品\建築金物\蝶番,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●扉を内・外どちらでも開けることができます。<br>●常に扉が閉じた状態を保つようにばねが内蔵されています。<br>●トルクの調整が可能です。<br><br>●屋内用スイングドア等。<br><br>●全長(mm)：153<br>●幅(mm)：38<br>●厚み(mm)：1.8<br>●Ｄ2(mm)：72<br>●ねじ穴数：10<br>●穴径(mm)：5<br>●耐荷重(kg)2個使用時：15<br>●D1(mm)：40<br><br>●表面処理：バフ研磨<br>●取付方法：木ねじ（付属）<br>●両開タイプ<br>●開閉トルク調整付<br><br>●本体：ステンレス（SUS304）<br>●スプリング：SWCバネ鋼<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFSH-150-153】(4960343) ステンレス製自由蝶番　両開　全長１５３ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFSH-150-153】(4960343) ステンレス製自由蝶番　両開　全長１５３ｍｍ 受注単位1,生産加工用品\建築金物\蝶番。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFSH-150-153】(4960343) ステンレス製自由蝶番　両開　全長１５３ｍｍ 受注単位1[rn]
8-10558,,3223.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFSH-150-76】(4960360) ステンレス製自由蝶番　両開　全長７６ｍｍ 受注単位1,生産加工用品\建築金物\蝶番,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●扉を内・外どちらでも開けることができます。<br>●常に扉が閉じた状態を保つようにばねが内蔵されています。<br>●トルクの調整が可能です。<br><br>●屋内用スイングドア等。<br><br>●全長(mm)：76<br>●幅(mm)：24<br>●厚み(mm)：1.5<br>●Ｄ2(mm)：51<br>●ねじ穴数：8<br>●穴径(mm)：5<br>●耐荷重(kg)2個使用時：7<br>●D1(mm)：23<br><br>●表面処理：バフ研磨<br>●取付方法：木ねじ（付属）<br>●両開タイプ<br>●開閉トルク調整付<br><br>●本体：ステンレス（SUS304）<br>●スプリング：SWCバネ鋼<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFSH-150-76】(4960360) ステンレス製自由蝶番　両開　全長７６ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFSH-150-76】(4960360) ステンレス製自由蝶番　両開　全長７６ｍｍ 受注単位1,生産加工用品\建築金物\蝶番。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFSH-150-76】(4960360) ステンレス製自由蝶番　両開　全長７６ｍｍ 受注単位1[rn]
8-10559,,3732.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFSH-150-102】(4960327) ステンレス製自由蝶番　両開　全長１０２ｍｍ 受注単位1,生産加工用品\建築金物\蝶番,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●扉を内・外どちらでも開けることができます。<br>●常に扉が閉じた状態を保つようにばねが内蔵されています。<br>●トルクの調整が可能です。<br><br>●屋内用スイングドア等。<br><br>●全長(mm)：102<br>●幅(mm)：28<br>●厚み(mm)：1.5<br>●Ｄ2(mm)：57<br>●ねじ穴数：8<br>●穴径(mm)：5<br>●耐荷重(kg)2個使用時：10<br>●D1(mm)：29<br><br>●表面処理：バフ研磨<br>●取付方法：木ねじ（付属）<br>●両開タイプ<br>●開閉トルク調整付<br><br>●本体：ステンレス（SUS304）<br>●スプリング：SWCバネ鋼<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFSH-150-102】(4960327) ステンレス製自由蝶番　両開　全長１０２ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFSH-150-102】(4960327) ステンレス製自由蝶番　両開　全長１０２ｍｍ 受注単位1,生産加工用品\建築金物\蝶番。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFSH-150-102】(4960327) ステンレス製自由蝶番　両開　全長１０２ｍｍ 受注単位1[rn]
8-10560,,2544.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFSH-150-64】(4960351) ステンレス製自由蝶番　両開　全長６４ｍｍ 受注単位1,生産加工用品\建築金物\蝶番,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●扉を内・外どちらでも開けることができます。<br>●常に扉が閉じた状態を保つようにばねが内蔵されています。<br>●トルクの調整が可能です。<br><br>●屋内用スイングドア等。<br><br>●全長(mm)：64<br>●幅(mm)：22<br>●厚み(mm)：1.5<br>●Ｄ2(mm)：44.7<br>●ねじ穴数：6<br>●穴径(mm)：5<br>●耐荷重(kg)2個使用時：5<br>●D1(mm)：19<br><br>●表面処理：バフ研磨<br>●取付方法：木ねじ（付属）<br>●両開タイプ<br>●開閉トルク調整付<br><br>●本体：ステンレス（SUS304）<br>●スプリング：SWCバネ鋼<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFSH-150-64】(4960351) ステンレス製自由蝶番　両開　全長６４ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFSH-150-64】(4960351) ステンレス製自由蝶番　両開　全長６４ｍｍ 受注単位1,生産加工用品\建築金物\蝶番。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFSH-150-64】(4960351) ステンレス製自由蝶番　両開　全長６４ｍｍ 受注単位1[rn]
8-10561,,5768.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFSH-150-127】(4960335) ステンレス製自由蝶番　両開　全長１２７ｍｍ 受注単位1,生産加工用品\建築金物\蝶番,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●扉を内・外どちらでも開けることができます。<br>●常に扉が閉じた状態を保つようにばねが内蔵されています。<br>●トルクの調整が可能です。<br><br>●屋内用スイングドア等。<br><br>●全長(mm)：127<br>●幅(mm)：35<br>●厚み(mm)：1.8<br>●Ｄ2(mm)：66<br>●ねじ穴数：10<br>●穴径(mm)：5<br>●耐荷重(kg)2個使用時：13<br>●D1(mm)：29<br><br>●表面処理：バフ研磨<br>●取付方法：木ねじ（付属）<br>●両開タイプ<br>●開閉トルク調整付<br><br>●本体：ステンレス（SUS304）<br>●スプリング：SWCバネ鋼<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFSH-150-127】(4960335) ステンレス製自由蝶番　両開　全長１２７ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFSH-150-127】(4960335) ステンレス製自由蝶番　両開　全長１２７ｍｍ 受注単位1,生産加工用品\建築金物\蝶番。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFSH-150-127】(4960335) ステンレス製自由蝶番　両開　全長１２７ｍｍ 受注単位1[rn]
8-10562,,2884.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFSH-130-102】(4960301) ステンレス製自由蝶番　片開　全長１０２ｍｍ 受注単位1,生産加工用品\建築金物\蝶番,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●扉を片方に開けることができます。<br>●常に扉が閉じた状態を保つようにばねが内蔵されています。<br>●トルクの調整が可能です。<br><br>●屋内用スイングドア等。<br><br>●全長(mm)：102<br>●幅(mm)：80<br>●厚み(mm)：1.5<br>●Ｄ2(mm)：20<br>●ねじ穴数：8<br>●穴径(mm)：5<br>●耐荷重(kg)2個使用時：10<br><br>●表面処理：バフ研磨<br>●取付方法：木ねじ（付属）<br>●片開タイプ<br>●開閉トルク調整付<br><br>●本体：ステンレス（SUS304）<br>●スプリング：SWCバネ鋼<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFSH-130-102】(4960301) ステンレス製自由蝶番　片開　全長１０２ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFSH-130-102】(4960301) ステンレス製自由蝶番　片開　全長１０２ｍｍ 受注単位1,生産加工用品\建築金物\蝶番。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFSH-130-102】(4960301) ステンレス製自由蝶番　片開　全長１０２ｍｍ 受注単位1[rn]
8-10563,,371.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スガツネ工業【GH34-8SS】(4973534) ステンレス製ガラス丁番（１７０－０８３－５３０） 受注単位1,生産加工用品\建築金物\蝶番,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ガラス扉および樹脂扉用の丁番です。<br><br><br>●ねじ穴数：3<br>●扉幅(mm)：450以下<br>●扉高さ(mm)：700以下<br>●適合ガラス厚(mm)：4、5、6<br>●扉質量：4kg以下/2ｺ<br>●質量(g)：21<br><br>●推奨扉質量：4kg以下×2セット<br>●推奨扉幅×高さ：450×700mm以下<br>●かぶせ扉用<br><br>●本体、アーム：ステンレス(SUS304)<br>●化粧プレート：アルミニウム合金<br>●ワッシャー：塩ビ<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒スガツネ工業【GH34-8SS】(4973534) ステンレス製ガラス丁番（１７０&minus;０８３&minus;５３０） 受注単位1：クローバー資材館,『カード対応OK！』■〒スガツネ工業【GH34-8SS】(4973534) ステンレス製ガラス丁番（１７０&minus;０８３&minus;５３０） 受注単位1,生産加工用品\建築金物\蝶番。『カード対応OK！』■〒スガツネ工業【GH34-8SS】(4973534) ステンレス製ガラス丁番（１７０&minus;０８３&minus;５３０） 受注単位1[rn]
8-10564,,193.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＰＥＧＵＥＴ社/ＰＥＧＵＥＴ 荷役金具【MRNZ05.0】(8191933) ＰＥＧＵＥＴ ＭＲ クイックリンク スチール製 オーバル 5．0mm 発注単位1,生産加工用品\建築金物,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●スムーズなナットで、簡単に開閉でき、ロープなどとしっかり繋ぐことができます。<br>
●EN規格品なので、安心して作業できます。<br>
●チェーンなどの取り付け、ジョイント金具として。<br>
●D(mm):5<br>
●S(mm):6.5<br>
●L(mm):39.5<br>
●E(mm):7<br>
●使用荷重(kN):280<br>
●B1(mm):13<br>
●EN362<br>
●EN12275<br>
●タイプ:オーバルシェイプ型<br>
●スチール<br>
●表面処理:亜鉛メッキ仕上げ<p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",■〒ＰＥＧＵＥＴ社/ＰＥＧＵＥＴ 荷役金具【MRNZ05.0】(8191933) ＰＥＧＵＥＴ ＭＲ クイックリンク スチール製 オーバル 5．0mm 発注単位1：クローバー資材館,■〒ＰＥＧＵＥＴ社/ＰＥＧＵＥＴ 荷役金具【MRNZ05.0】(8191933) ＰＥＧＵＥＴ ＭＲ クイックリンク スチール製 オーバル 5．0mm 発注単位1,生産加工用品\建築金物。■〒ＰＥＧＵＥＴ社/ＰＥＧＵＥＴ 荷役金具【MRNZ05.0】(8191933) ＰＥＧＵＥＴ ＭＲ クイックリンク スチール製 オーバル 5．0mm 発注単位1[rn]
8-10565,,2412.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒和気産業/ＷＡＫＩ 金物【EMP040】(8190049) ＷＡＫＩ メッシュパネル 600Ｘ900mm 黒 発注単位1,生産加工用品\建築金物,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●物を引っ掛けて置けるメッシュパネルです。<br>
●壁に穴をあけずに空間収納ができます。<br>
●フックと併せて工具やメジャーの収納に。<br>
●幅(mm):600<br>
●高さ(mm):900<br>
●厚み(mm):6<br>
●色:黒<br>
●耐荷重：１０ｋｇ<br>
●スチール（エポキシ粉体塗装）<br>
●外枠：φ６ｍｍ<br>
●ネット部：φ３ｍｍ<br>
●取り付け方により耐荷重は変わります。<p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",■〒和気産業/ＷＡＫＩ 金物【EMP040】(8190049) ＷＡＫＩ メッシュパネル 600Ｘ900mm 黒 発注単位1：クローバー資材館,■〒和気産業/ＷＡＫＩ 金物【EMP040】(8190049) ＷＡＫＩ メッシュパネル 600Ｘ900mm 黒 発注単位1,生産加工用品\建築金物。■〒和気産業/ＷＡＫＩ 金物【EMP040】(8190049) ＷＡＫＩ メッシュパネル 600Ｘ900mm 黒 発注単位1[rn]
8-10566,,441.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ニッサチェイン/ニッサチェイン スリング【K-207】(7886616) ニッサチェイン フリーチェイン ステンレス2．6×600mm 発注単位1,生産加工用品\建築金物,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●切断済チェーンで両端に溶接リングが付いたタイプです。<br>
●ステンレス製で錆に強いです。<br>
●連結部品。<br>
●盗難防止。<br>
●転倒防止。<br>
●全長(mm):600<br>
●チェーン径(mm):2.6<br>
●線径d(mm):2.6<br>
●内長P(mm):13.2<br>
●内幅W(mm):6.4<br>
●使用荷重(kN):0.98<br>
●ステンレス（SUS304）<br>
●表面処理:電解研磨<p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",■〒ニッサチェイン/ニッサチェイン スリング【K-207】(7886616) ニッサチェイン フリーチェイン ステンレス2．6&times;600mm 発注単位1：クローバー資材館,■〒ニッサチェイン/ニッサチェイン スリング【K-207】(7886616) ニッサチェイン フリーチェイン ステンレス2．6&times;600mm 発注単位1,生産加工用品\建築金物。■〒ニッサチェイン/ニッサチェイン スリング【K-207】(7886616) ニッサチェイン フリーチェイン ステンレス2．6&times;600mm 発注単位1[rn]
8-10567,,503.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TWCF-016】(4971892) 鍛造ワイヤクリップ　１６ｍｍ　メッキ 受注単位1,生産加工用品\建築金物\荷役金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ワイヤのアイ加工が現場で容易に行えます。<br>●メッキ付の為、耐食性にも優れています。<br>●鍛造品ですので荷重がかかる場面での使用にも適します。<br><br>●ワイヤロープの端末加工に。<br><br>●適用ロープ径(mm)：16<br>●ねじ径：Ｍ14<br>●取り付け個数：4<br>●L(mm)：75<br>●G(mm)：32<br>●C(mm)：60<br><br>●JIS B2809 規格適合品（6mm、9mmは除く）<br><br>●本体：鉄<br>●Uボルト・ナット：鉄<br>●表面処理：ドブメッキ<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TWCF-016】(4971892) 鍛造ワイヤクリップ　１６ｍｍ　メッキ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TWCF-016】(4971892) 鍛造ワイヤクリップ　１６ｍｍ　メッキ 受注単位1,生産加工用品\建築金物\荷役金具。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TWCF-016】(4971892) 鍛造ワイヤクリップ　１６ｍｍ　メッキ 受注単位1[rn]
8-10568,,238.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TWCF-08】(4971841) 鍛造ワイヤクリップ　８ｍｍ　メッキ 受注単位1,生産加工用品\建築金物\荷役金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ワイヤのアイ加工が現場で容易に行えます。<br>●メッキ付の為、耐食性にも優れています。<br>●鍛造品ですので荷重がかかる場面での使用にも適します。<br><br>●ワイヤロープの端末加工に。<br><br>●適用ロープ径(mm)：8<br>●ねじ径：Ｍ8<br>●取り付け個数：4<br>●L(mm)：40<br>●G(mm)：18<br>●C(mm)：36<br><br>●JIS B2809 規格適合品（6mm、9mmは除く）<br><br>●本体：鉄<br>●Uボルト・ナット：鉄<br>●表面処理：ドブメッキ<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TWCF-08】(4971841) 鍛造ワイヤクリップ　８ｍｍ　メッキ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TWCF-08】(4971841) 鍛造ワイヤクリップ　８ｍｍ　メッキ 受注単位1,生産加工用品\建築金物\荷役金具。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TWCF-08】(4971841) 鍛造ワイヤクリップ　８ｍｍ　メッキ 受注単位1[rn]
8-10569,,114.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ニッサチェイン【A-820】(7561211) 塩ビ被覆線Ｓフック　白　１５０ｍｍ（２個入り） 受注単位1,生産加工用品\建築金物\荷役金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●被覆線ですのでサビず、相手側にキズをつけません。<br><br>●一般商品の収納の吊具として。物の吊り下げ、引っ掛けとして<br><br>●使用荷重(kN)：0.11<br>●L(mm)：150<br>●D(mm)：5.0<br>●S(mm)：38<br>●質量(g)：22<br>●色：白<br><br>●150mm<br>●白<br><br>●塩ビ被覆線<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ニッサチェイン【A-820】(7561211) 塩ビ被覆線Ｓフック　白　１５０ｍｍ（２個入り） 受注単位1：クローバー資材館,『カード対応OK！』■〒ニッサチェイン【A-820】(7561211) 塩ビ被覆線Ｓフック　白　１５０ｍｍ（２個入り） 受注単位1,生産加工用品\建築金物\荷役金具。『カード対応OK！』■〒ニッサチェイン【A-820】(7561211) 塩ビ被覆線Ｓフック　白　１５０ｍｍ（２個入り） 受注単位1[rn]
8-10570,,99.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ニッサチェイン【A-705】(7561164) 塩ビ被覆線Ｓフック　黒　５０ｍｍ（４個入り） 受注単位1,生産加工用品\建築金物\荷役金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●被覆線ですのでサビず、相手側にキズをつけません。<br><br>●一般商品の収納の吊具として。物の吊り下げ、引っ掛けとして<br><br>●使用荷重(kN)：0.08<br>●L(mm)：50<br>●D(mm)：4.0<br>●S(mm)：15<br>●質量(g)：22<br>●色：黒<br><br>●50mm<br>●黒<br><br>●塩ビ被覆線<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ニッサチェイン【A-705】(7561164) 塩ビ被覆線Ｓフック　黒　５０ｍｍ（４個入り） 受注単位1：クローバー資材館,『カード対応OK！』■〒ニッサチェイン【A-705】(7561164) 塩ビ被覆線Ｓフック　黒　５０ｍｍ（４個入り） 受注単位1,生産加工用品\建築金物\荷役金具。『カード対応OK！』■〒ニッサチェイン【A-705】(7561164) 塩ビ被覆線Ｓフック　黒　５０ｍｍ（４個入り） 受注単位1[rn]
8-10571,,339.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TWCF-012】(4971876) 鍛造ワイヤクリップ　１２ｍｍ　メッキ 受注単位1,生産加工用品\建築金物\荷役金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ワイヤのアイ加工が現場で容易に行えます。<br>●メッキ付の為、耐食性にも優れています。<br>●鍛造品ですので荷重がかかる場面での使用にも適します。<br><br>●ワイヤロープの端末加工に。<br><br>●適用ロープ径(mm)：12<br>●ねじ径：Ｍ12<br>●取り付け個数：4<br>●L(mm)：60<br>●G(mm)：26<br>●C(mm)：51<br><br>●JIS B2809 規格適合品（6mm、9mmは除く）<br><br>●本体：鉄<br>●Uボルト・ナット：鉄<br>●表面処理：ドブメッキ<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TWCF-012】(4971876) 鍛造ワイヤクリップ　１２ｍｍ　メッキ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TWCF-012】(4971876) 鍛造ワイヤクリップ　１２ｍｍ　メッキ 受注単位1,生産加工用品\建築金物\荷役金具。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TWCF-012】(4971876) 鍛造ワイヤクリップ　１２ｍｍ　メッキ 受注単位1[rn]
8-10572,,120.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ニッサチェイン【A-785】(7561202) 塩ビ被覆線Ｓフック　黒　１００ｍｍ（３個入り） 受注単位1,生産加工用品\建築金物\荷役金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●被覆線ですのでサビず、相手側にキズをつけません。<br><br>●一般商品の収納の吊具として。物の吊り下げ、引っ掛けとして<br><br>●使用荷重(kN)：0.13<br>●L(mm)：100<br>●D(mm)：5.0<br>●S(mm)：30<br>●質量(g)：22<br>●色：黒<br><br>●100mm<br>●黒<br><br>●塩ビ被覆線<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ニッサチェイン【A-785】(7561202) 塩ビ被覆線Ｓフック　黒　１００ｍｍ（３個入り） 受注単位1：クローバー資材館,『カード対応OK！』■〒ニッサチェイン【A-785】(7561202) 塩ビ被覆線Ｓフック　黒　１００ｍｍ（３個入り） 受注単位1,生産加工用品\建築金物\荷役金具。『カード対応OK！』■〒ニッサチェイン【A-785】(7561202) 塩ビ被覆線Ｓフック　黒　１００ｍｍ（３個入り） 受注単位1[rn]
