17-104399,http://tshop.r10s.jp/gold/1make/images2/67.jpg?fitin=700:700,1428.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > トリートメント,デミ ヘアシーズンズトリートメント スムース 250g  [ヘルスケア&ケア用品]送料無料!!!!,指通りの良い髪に仕上るトリートメント☆,"<center><font size=""2"" color=""#FF0000"">※※※ご注文前に必ずお読みください※※※<br>→【配送方法の選択に関して】←</font></center><br>
<br>
<b>旬(SEASON)とは、すべてが美しく輝き、魅力に溢れている瞬間です。
その旬な輝きや美しさに人は心を奪われ、永遠に続くよう望み憧れます。
すべての女性は髪にもそんな旬の輝き、美しさを求めています。
<br>
“HAIR SEASONS”<br>
いつまでも美しく輝く髪へと導くヘアケアシリーズです。</b><br>
<br>
手肌が荒れやすい方、頭皮が乾燥しやすい方、マイルドな洗浄力で洗い上げたい方におすすめです☆
<br>
キューティクルを補強し、サラサラとした指通りの良い髪に導きます。 
<br>",デミ ヘアシーズンズトリートメント スムース 250g  [ヘルスケア&amp;ケア用品]送料無料!!!!：サロン専売品の通販サイト／1make,サロン専売品通販シャンプートリートメント美容院美容室デミ ヘアシーズンズトリートメント スムース 250g  [ヘルスケア&amp;ケア用品]送料無料!!!!,指通りの良い髪に仕上るトリートメント☆。デミ ヘアシーズンズトリートメント スムース 250g  [ヘルスケア&amp;ケア用品]送料無料!!!![rn]
17-104410,http://tshop.r10s.jp/barber-bi/cabinet/03140378/img63335526.gif?fitin=700:700,241.6000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,阪本高生堂 ファインコスメティクス クールグリース ［30g］シリーズ【6種類よりお選び下さい】 クックグリース/クールグリース/ファイバーグリース【10P27May16】【コンビニ受取対応商品】,coolgrease/FINE COSMETICS/ミニ/ワックス/スタイリング剤,,阪本高生堂 ファインコスメティクス クールグリース ［30g］シリーズ【6種類よりお選び下さい】 クックグリース/クールグリース/ファイバーグリース【10P27May16】【コンビニ受取対応商品】：千客万来BARBER美,阪本高生堂 ファインコスメティクス クールグリース ［30g］シリーズ【6種類よりお選び下さい】 クックグリース/クールグリース/ファイバーグリース【10P27May16】【コンビニ受取対応商品】,coolgrease/FINE COSMETICS/ミニ/ワックス/スタイリング剤。阪本高生堂 ファインコスメティクス クールグリース ［30g］シリーズ【6種類よりお選び下さい】 クックグリース/クールグリース/ファイバーグリース【10P27May16】【コンビニ受取対応商品】[rn]
17-104411,http://tshop.r10s.jp/barber-bi/cabinet/03140378/img63348032.gif?fitin=700:700,950.4000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,阪本高生堂 ファインコスメティクス チャーミングポマード・クラシック ［200g］本格的リーゼントやオールバックにはこちらが最適【10P27May16】【コンビニ受取対応商品】,coolgrease/FINE COSMETICS/ミニ/ワックス/スタイリング剤,,阪本高生堂 ファインコスメティクス チャーミングポマード・クラシック ［200g］本格的リーゼントやオールバックにはこちらが最適【10P27May16】【コンビニ受取対応商品】：千客万来BARBER美,阪本高生堂 ファインコスメティクス チャーミングポマード・クラシック ［200g］本格的リーゼントやオールバックにはこちらが最適【10P27May16】【コンビニ受取対応商品】,coolgrease/FINE COSMETICS/ミニ/ワックス/スタイリング剤。阪本高生堂 ファインコスメティクス チャーミングポマード・クラシック ［200g］本格的リーゼントやオールバックにはこちらが最適【10P27May16】【コンビニ受取対応商品】[rn]
17-104412,http://tshop.r10s.jp/barber-bi/cabinet/01540775/nakano6/img57743846.jpg?fitin=700:700,518.4000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,棚卸し在庫処分!!イリヤ フィクスマニア シャープシェイプ 48ｇ ヘアワックス【HLS_DU】【10P27May16】【コンビニ受取対応商品】,,,棚卸し在庫処分!!イリヤ フィクスマニア シャープシェイプ 48ｇ ヘアワックス【HLS_DU】【10P27May16】【コンビニ受取対応商品】：千客万来BARBER美,棚卸し在庫処分!!イリヤ フィクスマニア シャープシェイプ 48ｇ ヘアワックス【HLS_DU】【10P27May16】【コンビニ受取対応商品】,棚卸し在庫処分!!イリヤ フィクスマニア シャープシェイプ 48ｇ ヘアワックス【HLS_DU】【10P27May16】【コンビニ受取対応商品】[rn]
17-104413,http://tshop.r10s.jp/barber-bi/cabinet/na/04840211/imgrc0067992140.jpg?fitin=700:700,1088.8000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,N.B.A.A. UP STYLING ナチュラルグロス 75g【NB-CG02】髪質にナチュラルな艶感！ベースグロス/毛束や毛先に美しいツヤ【HLS_DU】【10P27May16】【コンビニ受取対応商品】,ワックス/スタイリング/N.B.A.A./ナチュラルなツヤ/スタイリング,"<Img Src=""http://image.rakuten.co.jp/barber-bi/cabinet/na/04206096/imgrc0067948189.jpg""><br>
<Img Src=""http://image.rakuten.co.jp/barber-bi/cabinet/na/04840211/imgrc0067974809.jpg""><br><br>

<br>商品名:N.B.A.A. アップスタイリング ナチュラルグロス 75g<br>   
説明:髪質にナチュラルな艶感と扱い易さを与えるために使用するベースグロス。髪質や乾燥状態に合わせ、「ドライファイバーワックス」と混ぜ合わせて艶感・柔らかさ、馴染みやすさをコントロールします。フィニッシングブラシなどを使い毛束や毛先に美しい艶を与えます。<br>
使用方法:1、手の平にドライファイバーとナチュラルグロスを2；1も割合で手に取り、よく混ぜ合わせる。2、バックの内側根元から中間部を握るように梳かし、塗布する。3、再度～フロントトップに中間から毛先に向かって梳かすよう塗布する。4、ブラッシングブラシを使って全体を馴染ませる。状態に合わせて繰り返し塗布する。5、毛先にもしっかり馴染ませる。6、仕込み完了<br>
成分:水、イソステアレス-15、セテス-40、PEG-20水添ヒマシ油、BG、グリセリン、PEG-40水添ヒマシ油、キャンデリラロウ、ジメチルPABAエチルヘキシル、フェノキシエタノール、メチルパラベン、プロピルパラベン、香料<br><br>",N.B.A.A. UP STYLING ナチュラルグロス 75g【NB-CG02】髪質にナチュラルな艶感！ベースグロス/毛束や毛先に美しいツヤ【HLS_DU】【10P27May16】【コンビニ受取対応商品】：千客万来BARBER美,N.B.A.A. UP STYLING ナチュラルグロス 75g【NB-CG02】髪質にナチュラルな艶感！ベースグロス/毛束や毛先に美しいツヤ【HLS_DU】【10P27May16】【コンビニ受取対応商品】,ワックス/スタイリング/N.B.A.A./ナチュラルなツヤ/スタイリング。N.B.A.A. UP STYLING ナチュラルグロス 75g【NB-CG02】髪質にナチュラルな艶感！ベースグロス/毛束や毛先に美しいツヤ【HLS_DU】【10P27May16】【コンビニ受取対応商品】[rn]
17-104414,http://tshop.r10s.jp/barber-bi/cabinet/na/04840211/imgrc0067959488.jpg?fitin=700:700,1088.8000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,N.B.A.A. UP STYLING スムージーワックス 75g【NB-CW01】軽いまとまりやしなやかさ自然な動きを表現！エアリーでリメイク可能！【HLS_DU】【10P27May16】【コンビニ受取対応商品】,ワックス/スタイリング/N.B.A.A./自然な動き/スタイリング剤,"<Img Src=""http://image.rakuten.co.jp/barber-bi/cabinet/na/04206096/imgrc0067948189.jpg""><br>
<Img Src=""http://image.rakuten.co.jp/barber-bi/cabinet/na/04840211/imgrc0067956828.jpg""><br><br>

<br>商品名:N.B.A.A. アップスタイリング スムージーワックス <br> 
 
 容量:75g<br>  
 説明:梳かし直しができ、軽いまとまり感としなやかなテクスチャーを表現するスムージーで自然な動きを表現するクリームタイプのワックス。エアリーでリメイクが容易なので、アップスタイル初心者はドライファイバーワックスとの併用もお勧め。編み込みスタイル創作にも最適。
<br>
  使用方法:手の平に適量をとり馴染ませてから、梳かしつける、又は握りこむように塗布。N,B,A,Aワックスシリーズやグロスシリーズと混ぜ合わせて艶感、柔らかさ、馴染み等をコントロールする。 <br>
  成分:水、ミリスチルアルコール、ステアラミドプロピルジメチルアミン、ベヘニルアルコール、パルミチン酸イソプロピル、ヘキシルデカノール、ミリスチン酸、ダイマージリノール酸（フィトステリル/イソステアリル/セチル/ステアリル/ベヘニル、ヒアルロン酸Na、ラフィノース、ココイルアルギニンエチルPCA、加水分解シルク、セラミドNP、セラミドAP、セラミドEOP、フィトスフィンゴシン、コレステロール、ラウロイルラクチレートNa、カルボマー、キサンタンガム、乳酸、フェノキシエタノール、エタノール、メチルパラベン、プロピルパラベン、ブチルパラベン、香料  <br><br>",N.B.A.A. UP STYLING スムージーワックス 75g【NB-CW01】軽いまとまりやしなやかさ自然な動きを表現！エアリーでリメイク可能！【HLS_DU】【10P27May16】【コンビニ受取対応商品】：千客万来BARBER美,N.B.A.A. UP STYLING スムージーワックス 75g【NB-CW01】軽いまとまりやしなやかさ自然な動きを表現！エアリーでリメイク可能！【HLS_DU】【10P27May16】【コンビニ受取対応商品】,ワックス/スタイリング/N.B.A.A./自然な動き/スタイリング剤。N.B.A.A. UP STYLING スムージーワックス 75g【NB-CW01】軽いまとまりやしなやかさ自然な動きを表現！エアリーでリメイク可能！【HLS_DU】【10P27May16】【コンビニ受取対応商品】[rn]
17-104415,http://tshop.r10s.jp/barber-bi/cabinet/na/04840211/imgrc0067959722.jpg?fitin=700:700,1088.8000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,N.B.A.A. UP STYLING ドライファイバーワックス 75g【NB-CW02】しなやかな伸びとマットな質感セットアップのベース創りで必須のドライファイバーワックス。【HLS_DU】【10P27May16】【コンビニ受取対応商品】,ワックス/スタイリング/N.B.A.A./ベースワックス/スタイリング剤,"<Img Src=""http://image.rakuten.co.jp/barber-bi/cabinet/na/04206096/imgrc0067948189.jpg""><br>
<Img Src=""http://image.rakuten.co.jp/barber-bi/cabinet/na/04840211/imgrc0067956828.jpg""><br><br>


<br>商品名:N.B.A.A. アップスタイリング ドライファイバーワックス75g<br>   
説明:しなやかな伸びとマットな質感でありながらリメイク性に優れ、セットアップのベース創りとして必須のドライファイバーワックス。髪の摩擦係数を上げ、梳かしたままの状態にしたり逆毛の立ちやすい状態にも導きます。髪質や乾燥状態に合わせ、「ナチュラルグロス」と混ぜ合わせて艶感・柔らかさ、馴染みをコントロールします。<br>
使用方法:1、手の平にドライファイバーとナチュラルグロスを2；1も割合で手に取り、よく混ぜ合わせる。2、バックの内側根元から中間部を握るように梳かし、塗布する。3、再度～フロントトップに中間から毛先に向かって梳かすよう塗布する。4、ブラッシングブラシを使って全体を馴染ませる。状態に合わせて繰り返し塗布する。5、毛先にもしっかり馴染ませる。6、仕込み完了 <br>
成分:水、PG、水添ナタネ種子油、ステアロイル乳酸Na、ミネラルオイル、セレシン、ジステアリン酸PEG-3、アラキジルアルコール、オレス-2、ステアリン酸スクロール、ステアリン酸ステアリル、イソノナン酸イソノニル、PPC-12-PEG-50ラノリン、フェノキシエタノール、ポリクオタニウム-11、（アミノエチルアミノプロピルメチコン/ジメチコン）コポリマー、グリコール酸、ジメチルPABAエチルヘキシル、PEG-45M、水酸化K、（C12-14）パレス12、BG、乳酸、メチルパラベン、ブチルパラベン、香料<br><br>",N.B.A.A. UP STYLING ドライファイバーワックス 75g【NB-CW02】しなやかな伸びとマットな質感セットアップのベース創りで必須のドライファイバーワックス。【HLS_DU】【10P27May16】【コンビニ受取対応商品】：千客万来BARBER美,N.B.A.A. UP STYLING ドライファイバーワックス 75g【NB-CW02】しなやかな伸びとマットな質感セットアップのベース創りで必須のドライファイバーワックス。【HLS_DU】【10P27May16】【コンビニ受取対応商品】,ワックス/スタイリング/N.B.A.A./ベースワックス/スタイリング剤。N.B.A.A. UP STYLING ドライファイバーワックス 75g【NB-CW02】しなやかな伸びとマットな質感セットアップのベース創りで必須のドライファイバーワックス。【HLS_DU】【10P27May16】【コンビニ受取対応商品】[rn]
17-104416,http://tshop.r10s.jp/barber-bi/cabinet/na/04840211/imgrc0067981128.jpg?fitin=700:700,1088.8000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,N.B.A.A. UP STYLING スムージーグロス 55g【NB-CG01】扱いづらい髪、傷んだ髪をしなやかに！なめらかグロステクスチャー【HLS_DU】【10P27May16】【コンビニ受取対応商品】,ワックス/スタイリング/N.B.A.A./しなやか/スタイリング,"<Img Src=""http://image.rakuten.co.jp/barber-bi/cabinet/na/04206096/imgrc0067948189.jpg""><br>
<Img Src=""http://image.rakuten.co.jp/barber-bi/cabinet/na/04840211/imgrc0067974809.jpg""><br><br>

<br>商品名:N.B.A.A. アップスタイリング スムージーグロス 75g<br>   
説明:なめらかグロステクスチャーで、パーマヘア、ウェーブヘア、デジタルパーマ、強いくせ毛、ハード毛で扱いづらい髪、傷んだ髪をしなやかに馴染ませ、梳かしやすくするワックス。練習によって傷んだウィッグの毛質コントロールにも使用できます。編み込みスタイルを創作するときにも最適。<br>
使用方法:手の平に適量をとり馴染ませてから、梳かしつける、又は握りこむように塗布。N,B,A,Aワックスシリーズやグロスシリーズと混ぜ合わせて艶感、柔らかさ、馴染み等をコントロールする。<br>
成分:ミネラルオイル、ワセリン、マイクロクリスタリンワックス、ラネス-5、セラミドNP、セラミドAP、セラミドEOP、フィトスフィンゴシン、コレステロール、ラウロイルラクチレートNa、カルボマー、キサンタンガム、メチルパラベン、プロビルパラベン、水、BHT、香料<br><br>",N.B.A.A. UP STYLING スムージーグロス 55g【NB-CG01】扱いづらい髪、傷んだ髪をしなやかに！なめらかグロステクスチャー【HLS_DU】【10P27May16】【コンビニ受取対応商品】：千客万来BARBER美,N.B.A.A. UP STYLING スムージーグロス 55g【NB-CG01】扱いづらい髪、傷んだ髪をしなやかに！なめらかグロステクスチャー【HLS_DU】【10P27May16】【コンビニ受取対応商品】,ワックス/スタイリング/N.B.A.A./しなやか/スタイリング。N.B.A.A. UP STYLING スムージーグロス 55g【NB-CG01】扱いづらい髪、傷んだ髪をしなやかに！なめらかグロステクスチャー【HLS_DU】【10P27May16】【コンビニ受取対応商品】[rn]
17-104417,http://tshop.r10s.jp/barber-bi/cabinet/na/04840211/imgrc0067992142.jpg?fitin=700:700,1331.2000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,N.B.A.A. UP STYLING ハード フィットグロス 75g【NB-CG03】毛面をハードフィットさせるグロスウエット感でハードにフィット【HLS_DU】【10P27May16】【コンビニ受取対応商品】,ワックス/スタイリング/N.B.A.A./束感キープ/スタイリング剤,"<Img Src=""http://image.rakuten.co.jp/barber-bi/cabinet/na/04206096/imgrc0067948189.jpg""><br>
<Img Src=""http://image.rakuten.co.jp/barber-bi/cabinet/na/04840211/imgrc0067974809.jpg""><br><br>

<br>商品名:N.B.A.A. アップスタイリング  ハードフィットグロス  75g<br>   
説明:アップスタイルにおいて、毛面をハードフィットさせるグロス。わずかなウエット感でハードにフィットしたいときに使用。襟足・表

面・シニヨンなどくせ毛、後れ毛、短毛をフィニッシングブラシなどで梳かしつけ、美しい毛面を表現。カールやウェーブ、束感キープ

などにも。<br>
使用方法:手の平に適量とり馴染ませてから、髪に梳かしつけるように塗布。仕上げ用ブラシを使用するときは、ブラシで叩くよう

に少量つけて手の平で馴染ませてから髪に使用。創作中のマストアイテム。<br>
成分:水、イソステアレス-15、セテス-40、プロピレングリコール、グリセン、PEG-20水添ヒマシ油、PEG-40水添ヒマシ油、ミ

ネラルオイル、セテアレス-60ミリスチルグリコール、ジステアリン酸PEG-150、ヤシ油脂肪酸PEG-7グリセリル、BHT、ココイルグ

ルタミン酸TEA、ペンテト酸50Na、フェノキシエタノール、メチルパラベン、プロピルパラベン、エチルパラベン、メチルイソチアゾリノン、

香料<br><br>",N.B.A.A. UP STYLING ハード フィットグロス 75g【NB-CG03】毛面をハードフィットさせるグロスウエット感でハードにフィット【HLS_DU】【10P27May16】【コンビニ受取対応商品】：千客万来BARBER美,N.B.A.A. UP STYLING ハード フィットグロス 75g【NB-CG03】毛面をハードフィットさせるグロスウエット感でハードにフィット【HLS_DU】【10P27May16】【コンビニ受取対応商品】,ワックス/スタイリング/N.B.A.A./束感キープ/スタイリング剤。N.B.A.A. UP STYLING ハード フィットグロス 75g【NB-CG03】毛面をハードフィットさせるグロスウエット感でハードにフィット【HLS_DU】【10P27May16】【コンビニ受取対応商品】[rn]
17-104418,http://tshop.r10s.jp/barber-bi/cabinet/na/04840211/imgrc0067959757.jpg?fitin=700:700,1209.6000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,N.B.A.A. UP STYLING SP ハードワックス 75g【NB-CW03】急激に立ち上がりや引っかかりを与えるスーパーハード【HLS_DU】【10P27May16】【コンビニ受取対応商品】,ワックス/スタイリング/N.B.A.A./スーパーハード/スタイリング剤,"<Img Src=""http://image.rakuten.co.jp/barber-bi/cabinet/na/04206096/imgrc0067948189.jpg""><br>
<Img Src=""http://image.rakuten.co.jp/barber-bi/cabinet/na/04840211/imgrc0067956828.jpg""><br><br>


<br>商品名:N.B.A.A. アップスタイリング SPハードワックス 75g<br>   
説明:手のひらでは伸びやすく、髪につけた時に急激に立ち上がりや、引っかかりを与えるハードタイプのワックス。パサパサな生え際やうぶ毛のフィッティングに最適。メンズのショートヘアにもオススメ。フィニッシングブラシには手のひらでなじませてご使用ください。<br>
使用方法:手の平に適量とり馴染ませてから、髪に梳かしつけるように塗布。仕上げ用ブラシを使用するときは、ブラシで叩くように少量つけて手の平で馴染ませてから髪に使用。創作中のマストアイテム。<br>
成分:水、マイクロクリスタリンワックス、キャンデリラロウ、PG、ステアリン酸、エチルヘキ酸セチル、ステアリン酸、グリセリル（SE）、セテス-6、ジメチコン、PEG-10ヒマワリグリセリズ、PEG-45M、（ジメチコン/ビニルジメチコン）クロスポリマー、カルボマー、水酸化Na、シリカ、セテス-20、酢酸Na、トコフェロール、フェノキシエタノール、メチルパラベン、香料<br><br>",N.B.A.A. UP STYLING SP ハードワックス 75g【NB-CW03】急激に立ち上がりや引っかかりを与えるスーパーハード【HLS_DU】【10P27May16】【コンビニ受取対応商品】：千客万来BARBER美,N.B.A.A. UP STYLING SP ハードワックス 75g【NB-CW03】急激に立ち上がりや引っかかりを与えるスーパーハード【HLS_DU】【10P27May16】【コンビニ受取対応商品】,ワックス/スタイリング/N.B.A.A./スーパーハード/スタイリング剤。N.B.A.A. UP STYLING SP ハードワックス 75g【NB-CW03】急激に立ち上がりや引っかかりを与えるスーパーハード【HLS_DU】【10P27May16】【コンビニ受取対応商品】[rn]
17-104419,http://tshop.r10s.jp/ymura7200/cabinet/deimi/dm-duv-rd30.jpg?fitin=700:700,550.4000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,デミ ウェーボ デザインキューブ ラウンドワックス 30g　【ケース：ライトオレンジ,DEMI｜uevo design cube｜round wax｜,"<!-- sp html start -->




<table border=""1"" cellpadding=""3"" bordercolor=""#FFFFFF"" bgcolor=""#FFFFFF"">

<tr bordercolor=""#FFFFFF"">
<td bgcolor=""#FFFFFF"">
DEMI uevo design cube<br>
デミ　ウェーボ　デザインキューブ<br>
ラウンド　ワックス<br>
<img width=""100%"" src=""http://image.rakuten.co.jp/ymura7200/cabinet/deimi/dcube.jpg"">
<img width=""100%"" src=""http://image.rakuten.co.jp/ymura7200/cabinet/deimi/demi-posi.jpg"">
</td>
</tr>
<tr bordercolor=""#FFFFFF"">
<td bordercolor=""#666666"" bgcolor=""#FFFFFF"">
<p>ほどよいセット力で、ツヤ感・動きのある仕上がり。<br>
<br>
<b><font color=""#0099FF"">ご使用方法</font></b><br>
手のひらでよく伸ばし、特に中間から毛先を中心に持ち上げるようになじませます。<br>
<b><font color=""#FF9900""><br>
内容量</font></b><br>
30g<br>
<br>
<b>成分</b><br>
水、コハク酸ジオクチル、シクロペンタシロキサン、キャンデリラロウ、ミリスチン酸オクチルドデシル、ステアリン酸、セテス-20、PG、セテアリルアルコール、セテス-10、セテス-6、BG、マイクロクリスタリンワックス、TEA、ステアリン酸グリセリル(SE)、加水分解卵殻膜、加水分解コンキオリン、メトキシケイヒ酸エチルヘキシル、マイカ、酸化チタン、ジメチコン、アミノプロピルジメチコン、メチルイソチアゾリノン、メチルパラベン、プロピルパラベン、香料、赤106<br>
<br>
<b><font color=""#FF0000"">ご使用上の注意</font></b><br>
・頭皮に傷、はれもの等の異常があるときは、使用しないでください。<br>
・異常が現れたときは、ご使用をおやめください。<br>
・お肌に合わない時は、ご使用をおやめください。<br>
・高温または、直射日光のあたる場所には保管しないでください。<br>
・お子様の手の届かない場所に保管してください。</p>
</td>
</tr>

</table>
<br>
<table border=""1"" cellpadding=""5"" bordercolor=""#FFFFFF"" bgcolor=""#666666"">
<tr>
<td bordercolor=""#FFC0CB"" bgcolor=""#FFC0CB"">区分</td>
<td bordercolor=""#FFFFFF"" bgcolor=""#FFFFFF"">化粧品｜日本製</td>
</tr>
<tr>
<td bordercolor=""#FFC0CB"" bgcolor=""#FFC0CB"">メーカー｜製造元</td>
<td bordercolor=""#FFFFFF"" bgcolor=""#FFFFFF"">デミ コスメティクス</td>
</tr>
<tr>
<td bordercolor=""#FFC0CB"" bgcolor=""#FFC0CB"">広告文責</td>
<td bordercolor=""#FFFFFF"" bgcolor=""#FFFFFF"">株式会社コスメバンク<br>
072-961-7200</td>
</tr>
</table>
<img width=""100%"" src=""http://image.rakuten.co.jp/ymura7200/cabinet/ct/noki-4.jpg"">
<br>

<!-- sp html end -->",デミ ウェーボ デザインキューブ ラウンドワックス 30g　【ケース：ライトオレンジ：総合卸ヨシムラ,ケラスターゼ楽天最安値％ＯＦＦ送料無料サロン専売品ケラスターゼシュワルツコフＢＣクアＢＣオイルミルボン業務用デミカールアイロンマイナスイオンドライヤーバリカンシャンプートリートメントコンディショナーヘアマスクデミ ウェーボ デザインキューブ ラウンドワックス 30g　【ケース：ライトオレンジ,DEMI｜uevo design cube｜round wax｜。デミ ウェーボ デザインキューブ ラウンドワックス 30g　【ケース：ライトオレンジ[rn]
17-104420,http://tshop.r10s.jp/ymura7200/cabinet/haircare3/no3/dexuer6-1.jpg?fitin=700:700,627.2000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,ナンバースリー　デューサー 【ドライペーストワックス ６】  80g,【51％OFF！】NUMBER THREE／DEUXER☆,"◇お取り寄せ、納期は５～７営業日程度頂戴します。<br>取引先の都合で納期が遅れる場合もございますので、余裕を持ってご注文をお願いします◇<br>
デューサーの特徴はシンプルで機能的。自由度の高いワックスに共通の特徴を持たせることで、1つのスタイルで2つ以上のワックスを使うことも可能になります。<br>
軽いのに自由自在にアレンジ。<br>
強いセット力でありながら、ドライで軽やかな質感を表現。<br>
ボリューム感の演出に最適。<br>
無造作な動きにポイントで使用するのも効果的。<br>
スタイルくずれはほとんどありませんが、スタイリング後のリセットも可能です。<br>
内容量：80g<br><br>",ナンバースリー　デューサー 【ドライペーストワックス ６】  80g：総合卸ヨシムラ,ケラスターゼ楽天最安値％ＯＦＦ送料無料サロン専売品ケラスターゼシュワルツコフＢＣクアＢＣオイルミルボン業務用デミカールアイロンマイナスイオンドライヤーバリカンシャンプートリートメントコンディショナーヘアマスクナンバースリー　デューサー 【ドライペーストワックス ６】  80g,【51％OFF！】NUMBER THREE／DEUXER☆。ナンバースリー　デューサー 【ドライペーストワックス ６】  80g[rn]
17-104421,http://tshop.r10s.jp/ymura7200/cabinet/deimi/dm-duv-hrd801.jpg?fitin=700:700,720.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > スタイリング剤 > スタイリングワックス,デミ ウェーボ デザインキューブ ハードワックス  80g 　【　ケース：イエロー,DEMI｜uevo design cube｜hard wax｜,"<!-- sp html start -->




<table border=""1"" cellpadding=""3"" bordercolor=""#FFFFFF"" bgcolor=""#FFFFFF"">

<tr bordercolor=""#FFFFFF"">
<td bgcolor=""#FFFFFF"">
DEMI uevo design cube<br>
デミ　ウェーボ　デザインキューブ<br>
ハード　ワックス<br>
<img width=""100%"" src=""http://image.rakuten.co.jp/ymura7200/cabinet/deimi/dcube.jpg"">
<img width=""100%"" src=""http://image.rakuten.co.jp/ymura7200/cabinet/deimi/demi-posi.jpg"">
</td>
</tr>
<tr bordercolor=""#FFFFFF"">
<td bordercolor=""#666666"" bgcolor=""#FFFFFF"">
<p>強めのセット力で、毛束感・立体感のある仕上がり。<br>
<br>
<b><font color=""#0099FF"">ご使用方法</font></b><br>
手のひらでよく伸ばし、特に中間から毛先を中心に持ち上げるようになじませます。<br>
<b><font color=""#FF9900""><br>
内容量</font></b><br>
80g<br>
<br>
<b>成分</b><br>
水、マイクロクリスタリンワックス、コハク酸ジオクチル、セテス-10、ヒドロキシステアリン酸、キャンデリラロウ、BG、セテス-6、シア脂、ステアリン酸グリセリル(SE)、加水分解卵殻膜、加水分解コンキオリン、メトキシケイヒ酸エチルヘキシル、ポリウレタン-14、アクリレーツコポリマー、AMP、PEG-9M、マイカ、酸化チタン、変性アルコール、水酸化Na、水酸化Al、メチルイソチアゾリノン、メチルパラベン、プロピルパラベン、香料、黄203、緑201<br>
<br>
<b><font color=""#FF0000"">ご使用上の注意</font></b><br>
・頭皮に傷、はれもの等の異常があるときは、使用しないでください。<br>
・異常が現れたときは、ご使用をおやめください。<br>
・お肌に合わない時は、ご使用をおやめください。<br>
・高温または、直射日光のあたる場所には保管しないでください。<br>
・お子様の手の届かない場所に保管してください。</p>
</td>
</tr>

</table>
<br>
<table border=""1"" cellpadding=""5"" bordercolor=""#FFFFFF"" bgcolor=""#666666"">
<tr>
<td bordercolor=""#FFC0CB"" bgcolor=""#FFC0CB"">区分</td>
<td bordercolor=""#FFFFFF"" bgcolor=""#FFFFFF"">化粧品｜日本製</td>
</tr>
<tr>
<td bordercolor=""#FFC0CB"" bgcolor=""#FFC0CB"">メーカー｜製造元</td>
<td bordercolor=""#FFFFFF"" bgcolor=""#FFFFFF"">デミ コスメティクス</td>
</tr>
<tr>
<td bordercolor=""#FFC0CB"" bgcolor=""#FFC0CB"">広告文責</td>
<td bordercolor=""#FFFFFF"" bgcolor=""#FFFFFF"">株式会社コスメバンク<br>
072-961-7200</td>
</tr>
</table>
<img width=""100%"" src=""http://image.rakuten.co.jp/ymura7200/cabinet/ct/noki-4.jpg"">
<br>

<!-- sp html end -->",デミ ウェーボ デザインキューブ ハードワックス  80g 　【　ケース：イエロー：総合卸ヨシムラ,ケラスターゼ楽天最安値％ＯＦＦ送料無料サロン専売品ケラスターゼシュワルツコフＢＣクアＢＣオイルミルボン業務用デミカールアイロンマイナスイオンドライヤーバリカンシャンプートリートメントコンディショナーヘアマスクデミ ウェーボ デザインキューブ ハードワックス  80g 　【　ケース：イエロー,DEMI｜uevo design cube｜hard wax｜。デミ ウェーボ デザインキューブ ハードワックス  80g 　【　ケース：イエロー[rn]
