17-159999,http://tshop.r10s.jp/bp-shop/cabinet/03033808/img58871257.jpg?fitin=700:700,2399.2000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,送料無料 !　特大 サイズ　ワイヤー カッター 36インチ　チェーンカッター クリッパー 切断機 木 チェーン簡易切断 DIY 工具 送料込 ◇ 特大ワイヤーカッター ◎,,"<table width=""100%"" bgcolor=""#cf0000"" cellpadding=""4"" cellspacing=""0"" border=""0"">
<tr>
<td align=""center""><font size=""+1"" color=""#ffffff""><b>送料無料!</b></font></td>
</tr>
</table><BR><table border=""0"" cellpadding=""10"">
    <tr>
      <td align=""center"" bgcolor=""#330000"" width=""531""><font color=""#ffff00"" size=""+3""><font color=""#ffff00""><b><font size=""-2""><font color=""#ffff00"" size=""+2"">パイプ・ワイヤー・チェーン！何でも簡単に切断！</font></font><br>
      36インチ 特大ワイヤーカッター</b></font></font></td>
    </tr>
</table>
<p><font size=""-1"" color=""#000099""><b><BR>
</b></font></p>
<p><font size=""+2""><b><font color=""#0000ff"">困ったときに大活躍の特大ワイヤーカッターです!!<br>
<br>
パイプ・ワイヤー・太いチェーンなど簡単に切断可能!!<br>
<br>ビッグサイズで超強力!<br>
<br>カギをなくした南京錠やチェーンなども簡単に切断できます!!</font><br>
</b></font></p>
<p><font size=""-1"" color=""#000099""><b><br>
</b></font></p>
<table border=""1"" width=""354"">
    <tr>
      <td colspan=""2"" align=""center"" bgcolor=""#ccffcc""><font size=""-1""><b>◇商品仕様◇</b></font></td>
    </tr>
    <tr>
    <td align=""center"" bgcolor=""#ccffcc"" width=""98""><b><font size=""-1"">サイズ</font></b></td>
    <td width=""133""><font size=""-1"">全長約92cm</font></td>
  </tr><tr>
    <td align=""center"" bgcolor=""#ccffcc"" width=""98""><b><font size=""-1"">最大切断能力</font></b></td>
    <td width=""133""><font size=""-1"">約20mm</font></td>
  </tr></table>
<p><br>
</p><table width=""100%"" bgcolor=""#cf0000"" cellpadding=""4"" cellspacing=""0"" border=""0"">
<tr>
<td align=""center""><font size=""+1"" color=""#ffffff""><b>送料無料!</b></font></td>
</tr>
</table><BR><br><img src=""http://image.rakuten.co.jp/bp-shop/cabinet/04789452/imgrc0062852859.gif"" width=""100%""><BR><img src=""http://image.rakuten.co.jp/bp-shop/cabinet/products2/imgrc0063143903.jpg"" width=""100%""><BR>",送料無料 !　特大 サイズ　ワイヤー カッター 36インチ　チェーンカッター クリッパー 切断機 木 チェーン簡易切断 DIY 工具 送料込 ◇ 特大ワイヤーカッター ◎：ベストプライスショップ,送料無料 !　特大 サイズ　ワイヤー カッター 36インチ　チェーンカッター クリッパー 切断機 木 チェーン簡易切断 DIY 工具 送料込 ◇ 特大ワイヤーカッター ◎,送料無料 !　特大 サイズ　ワイヤー カッター 36インチ　チェーンカッター クリッパー 切断機 木 チェーン簡易切断 DIY 工具 送料込 ◇ 特大ワイヤーカッター ◎[rn]
17-160036,,4240.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TNB-5-K】(4846010)ナットブレーカー Ｎｏ．５用替刃・押しネジ 受注単位1,作業用品\ハサミ・カッター・板金用工具\ワイヤカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ナットブレーカー用の替刃です。<br>●全長(mm):140<br>●刃幅(mm):20<br>●対辺寸法(mm):21<br>●質量(g):330<br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TNB-5-K】(4846010)ナットブレーカー Ｎｏ．５用替刃・押しネジ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TNB-5-K】(4846010)ナットブレーカー Ｎｏ．５用替刃・押しネジ 受注単位1,作業用品\ハサミ・カッター・板金用工具\ワイヤカッター。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TNB-5-K】(4846010)ナットブレーカー Ｎｏ．５用替刃・押しネジ 受注単位1[rn]
17-160037,,1590.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TNB-4-K】(4845994)ナットブレーカー Ｎｏ．４用替刃・押しネジ 受注単位1,作業用品\ハサミ・カッター・板金用工具\ワイヤカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ナットブレーカー用の替刃です。<br>●全長(mm):130<br>●刃幅(mm):16<br>●対辺寸法(mm):21<br>●質量(g):200<br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TNB-4-K】(4845994)ナットブレーカー Ｎｏ．４用替刃・押しネジ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TNB-4-K】(4845994)ナットブレーカー Ｎｏ．４用替刃・押しネジ 受注単位1,作業用品\ハサミ・カッター・板金用工具\ワイヤカッター。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TNB-4-K】(4845994)ナットブレーカー Ｎｏ．４用替刃・押しネジ 受注単位1[rn]
17-160038,,1139.2000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TNB-2-K】(4845978)ナットブレーカー Ｎｏ．２用替刃・押しネジ 受注単位1,作業用品\ハサミ・カッター・板金用工具\ワイヤカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ナットブレーカー用の替刃です。<br>●全長(mm):94<br>●刃幅(mm):10<br>●対辺寸法(mm):14<br>●質量(g):50<br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TNB-2-K】(4845978)ナットブレーカー Ｎｏ．２用替刃・押しネジ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TNB-2-K】(4845978)ナットブレーカー Ｎｏ．２用替刃・押しネジ 受注単位1,作業用品\ハサミ・カッター・板金用工具\ワイヤカッター。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TNB-2-K】(4845978)ナットブレーカー Ｎｏ．２用替刃・押しネジ 受注単位1[rn]
17-160039,,5460.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TNB-5】(4846001)ナットブレーカー Ｎｏ．５ 受注単位1,作業用品\ハサミ・カッター・板金用工具\ワイヤカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●熱処理を完璧に行った全鍛造品で強さに優れています。<br>●サビや傷で動かないナットを割る専用工具です。<br>●全長(mm):165<br>●刃幅(mm):20<br>●全幅(mm):67<br>●対辺寸法(mm):21<br>●割れるナット二面幅(mm):27～32<br>●質量(g):980<br>●ステンレス・焼き入れ済みナットは使用不可。<br>●インパクトレンチでの使用は不可。<br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TNB-5】(4846001)ナットブレーカー Ｎｏ．５ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TNB-5】(4846001)ナットブレーカー Ｎｏ．５ 受注単位1,作業用品\ハサミ・カッター・板金用工具\ワイヤカッター。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TNB-5】(4846001)ナットブレーカー Ｎｏ．５ 受注単位1[rn]
17-160040,,1324.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TNB-3-K】(4845986)ナットブレーカー Ｎｏ．３用替刃・押しネジ 受注単位1,作業用品\ハサミ・カッター・板金用工具\ワイヤカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ナットブレーカー用の替刃です。<br>●全長(mm):112<br>●刃幅(mm):14<br>●対辺寸法(mm):19<br>●質量(g):120<br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TNB-3-K】(4845986)ナットブレーカー Ｎｏ．３用替刃・押しネジ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TNB-3-K】(4845986)ナットブレーカー Ｎｏ．３用替刃・押しネジ 受注単位1,作業用品\ハサミ・カッター・板金用工具\ワイヤカッター。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TNB-3-K】(4845986)ナットブレーカー Ｎｏ．３用替刃・押しネジ 受注単位1[rn]
17-160041,,244.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,『カード対応OK！』■〒オルファ（株）/ＯＬＦＡ 【216BY】(4698576)デザイナーズナイフ イエロー 受注単位1,作業用品\ハサミ・カッター・板金用工具\デザインナイフ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●強力な固定力で刃がブレず、超細密カットに適したペンタイプナイフです。<br>●本体後部はへら状になっており、パテの形成や筋入れなど様々な用途に使えます。<br>●替刃ケースと組み合わせることにより、作業環境を充実させます。<br>●全長(mm):151<br>●適合替刃:XB216<br>●質量(g):15.5<br>●色：イエロー<br>●刃厚：0.38mm<br>●本体（樹脂部）：ポリプロピレン樹脂<br>●本体（金属部）：真鍮<br>●刃固定部：亜鉛ダイカスト<br>●キャップ：ポリプロピレン樹脂<br>●刃：合金工具鋼<br>",『カード対応OK！』■〒オルファ（株）/ＯＬＦＡ 【216BY】(4698576)デザイナーズナイフ イエロー 受注単位1：クローバー資材館,『カード対応OK！』■〒オルファ（株）/ＯＬＦＡ 【216BY】(4698576)デザイナーズナイフ イエロー 受注単位1,作業用品\ハサミ・カッター・板金用工具\デザインナイフ。『カード対応OK！』■〒オルファ（株）/ＯＬＦＡ 【216BY】(4698576)デザイナーズナイフ イエロー 受注単位1[rn]
17-160042,,244.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,『カード対応OK！』■〒オルファ（株）/ＯＬＦＡ 【216BBK】(4698568)デザイナーズナイフ ブラック 受注単位1,作業用品\ハサミ・カッター・板金用工具\デザインナイフ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●強力な固定力で刃がブレず、超細密カットに適したペンタイプナイフです。<br>●本体後部はへら状になっており、パテの形成や筋入れなど様々な用途に使えます。<br>●替刃ケースと組み合わせることにより、作業環境を充実させます。<br>●全長(mm):151<br>●適合替刃:XB216<br>●質量(g):15.5<br>●色：ブラック<br>●本体（樹脂部）：ポリプロピレン樹脂<br>●本体（金属部）：真鍮<br>●刃固定部：亜鉛ダイカスト<br>●キャップ：ポリプロピレン樹脂<br>●刃：合金工具鋼<br>",『カード対応OK！』■〒オルファ（株）/ＯＬＦＡ 【216BBK】(4698568)デザイナーズナイフ ブラック 受注単位1：クローバー資材館,『カード対応OK！』■〒オルファ（株）/ＯＬＦＡ 【216BBK】(4698568)デザイナーズナイフ ブラック 受注単位1,作業用品\ハサミ・カッター・板金用工具\デザインナイフ。『カード対応OK！』■〒オルファ（株）/ＯＬＦＡ 【216BBK】(4698568)デザイナーズナイフ ブラック 受注単位1[rn]
17-160043,,152.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,『カード対応OK！』■〒オルファ（株）/ＯＬＦＡ 【XB216】(4698592)デザイナーズナイフ替刃３０枚入 受注単位1,作業用品\ハサミ・カッター・板金用工具\デザインナイフ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●216BY デザイナーズナイフ イエロー、216BBK デザイナーズナイフ ブラック用の替刃です。<br>●替刃ケースはデザイナーズナイフ本体のキャップと組み合わせることで、充実した作業環境を実現します。<br>●箱入数(枚):30<br>●質量(g):0.1<br>●刃：合金工具鋼<br>●針(1本)：プラスチックやアルミのケガキ用に使えます。<br>",『カード対応OK！』■〒オルファ（株）/ＯＬＦＡ 【XB216】(4698592)デザイナーズナイフ替刃３０枚入 受注単位1：クローバー資材館,『カード対応OK！』■〒オルファ（株）/ＯＬＦＡ 【XB216】(4698592)デザイナーズナイフ替刃３０枚入 受注単位1,作業用品\ハサミ・カッター・板金用工具\デザインナイフ。『カード対応OK！』■〒オルファ（株）/ＯＬＦＡ 【XB216】(4698592)デザイナーズナイフ替刃３０枚入 受注単位1[rn]
17-160044,,271.2000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,『カード対応OK！』■〒エヌティー（株）/ＮＴ【BC-400P】(4808614)円切りカッター用替刃１０枚入り 受注単位1,作業用品\ハサミ・カッター・板金用工具\ロータリーカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ハード作業用円切りカッター替刃<br>●左右非対称型で一方向専用ですが低価格です<br>●カーペットにパイプ等を通す穴を切り抜いたり、コーナーのR切りに適します。<br>●適合本体:C-2500P、C-3000GP、CL-100P<br>●刃厚(mm):1.0<br>●刃厚(mm):1.0<br>●適合本体:C-2500P、C-3000GP、CL-100P<br>●パック入数(枚):10<br>●質量(g):17<br>●刃厚:1.0mm<br>●刃:合金工具鋼(SKS81)<br>●別途送料<br>",『カード対応OK！』■〒エヌティー（株）/ＮＴ【BC-400P】(4808614)円切りカッター用替刃１０枚入り 受注単位1：クローバー資材館,『カード対応OK！』■〒エヌティー（株）/ＮＴ【BC-400P】(4808614)円切りカッター用替刃１０枚入り 受注単位1,作業用品\ハサミ・カッター・板金用工具\ロータリーカッター。『カード対応OK！』■〒エヌティー（株）/ＮＴ【BC-400P】(4808614)円切りカッター用替刃１０枚入り 受注単位1[rn]
17-160045,,428.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,『カード対応OK！』■〒オルファ（株）/ＯＬＦＡ 【218B】(4741391)ゼロハイパーＬ型（ネジロック） 受注単位1,作業用品\ハサミ・カッター・板金用工具\カッターナイフ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●滑らずチカラのかけやすい形状を追求したＸ（エックス）デザインのラバーグリップを採用しています。<br>●落下防止用コードを装着できる大きなリングを装備しています。<br>●全長(mm):166<br>●適合替刃:LB10K・LB50K・LBB10K・LBB50K<br>●質量(g):86<br>●刃厚：0.5mm<br>●本体（樹脂部）：ポリプロピレン樹脂／エラストマ―樹脂<br>●本体（金属部）：ステンレス鋼(SUS430)<br>●リング部：炭素鋼(S65C)<br>",『カード対応OK！』■〒オルファ（株）/ＯＬＦＡ 【218B】(4741391)ゼロハイパーＬ型（ネジロック） 受注単位1：クローバー資材館,『カード対応OK！』■〒オルファ（株）/ＯＬＦＡ 【218B】(4741391)ゼロハイパーＬ型（ネジロック） 受注単位1,作業用品\ハサミ・カッター・板金用工具\カッターナイフ。『カード対応OK！』■〒オルファ（株）/ＯＬＦＡ 【218B】(4741391)ゼロハイパーＬ型（ネジロック） 受注単位1[rn]
17-160046,,5220.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,『カード対応OK！』■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/リジッド 【18368】(4743431)Ｒ１８Ｓ ヘッドアッセンブリ 受注単位1,作業用品\ハサミ・カッター・板金用工具\ボルトカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ボルトカッタ用交換用ヘッドです。<br>●適合本体：14218<br>●質量(kg):0.9<br>",『カード対応OK！』■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/リジッド 【18368】(4743431)Ｒ１８Ｓ ヘッドアッセンブリ 受注単位1：クローバー資材館,『カード対応OK！』■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/リジッド 【18368】(4743431)Ｒ１８Ｓ ヘッドアッセンブリ 受注単位1,作業用品\ハサミ・カッター・板金用工具\ボルトカッター。『カード対応OK！』■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/リジッド 【18368】(4743431)Ｒ１８Ｓ ヘッドアッセンブリ 受注単位1[rn]
17-160047,,6230.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,『カード対応OK！』■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/リジッド 【18373】(4743440)Ｒ２４Ｓ ヘッドアッセンブリ 受注単位1,作業用品\ハサミ・カッター・板金用工具\ボルトカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ボルトカッタ用交換用ヘッドです。<br>●適合本体：14223<br>●質量(kg):0.9<br>",『カード対応OK！』■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/リジッド 【18373】(4743440)Ｒ２４Ｓ ヘッドアッセンブリ 受注単位1：クローバー資材館,『カード対応OK！』■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/リジッド 【18373】(4743440)Ｒ２４Ｓ ヘッドアッセンブリ 受注単位1,作業用品\ハサミ・カッター・板金用工具\ボルトカッター。『カード対応OK！』■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/リジッド 【18373】(4743440)Ｒ２４Ｓ ヘッドアッセンブリ 受注単位1[rn]
17-160048,,2034.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,『カード対応OK！』■〒スナップオン・ツールズ（株）/バーコ 【2448】(4707737)木用ワーキングナイフ 受注単位1,作業用品\ハサミ・カッター・板金用工具\電工ナイフ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●木用のワーキングナイフになります。<br>●切る、削ぐ、削るをこれ一本で作業できます。<br>●ハンドルのエンド部分を叩く事が出来ます。<br>●刃に厚みのある部分があり、叩いて作業することができます。<br>●全長(mm):231<br>●刃長(mm):100<br>●質量(g):200<br>●合成樹脂ポリマーアロイ（ＰＰＥ）<br>",『カード対応OK！』■〒スナップオン・ツールズ（株）/バーコ 【2448】(4707737)木用ワーキングナイフ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ（株）/バーコ 【2448】(4707737)木用ワーキングナイフ 受注単位1,作業用品\ハサミ・カッター・板金用工具\電工ナイフ。『カード対応OK！』■〒スナップオン・ツールズ（株）/バーコ 【2448】(4707737)木用ワーキングナイフ 受注単位1[rn]
17-160049,,16424.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,『カード対応OK！』■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/リジッド 【14233】(4743407)Ｒ－３６Ｓ ボルトカッター 受注単位1,作業用品\ハサミ・カッター・板金用工具\ボルトカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●一段内蔵カム機構により、迅速かつ簡単に切断刃の正確な位置合わせができます。<br>●切断目安：ソフト(軟鋼)、ミディアム(鉄および鋼）、ハード(ステンレス鋼、ばね鋼)<br>●全長(mm):958<br>●切断能力(mm)ソフト(15RC)：14.3<br>●切断能力(mm)ミディアム(31RC)：12.7<br>●切断能力(mm)ハード(42RC)：11<br>●質量(kg):6.1<br>",『カード対応OK！』■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/リジッド 【14233】(4743407)Ｒ&minus;３６Ｓ ボルトカッター 受注単位1：クローバー資材館,『カード対応OK！』■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/リジッド 【14233】(4743407)Ｒ&minus;３６Ｓ ボルトカッター 受注単位1,作業用品\ハサミ・カッター・板金用工具\ボルトカッター。『カード対応OK！』■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/リジッド 【14233】(4743407)Ｒ&minus;３６Ｓ ボルトカッター 受注単位1[rn]
17-160050,,12646.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,『カード対応OK！』■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/リジッド 【14228】(4743393)Ｒ－３０Ｓ ボルトカッター 受注単位1,作業用品\ハサミ・カッター・板金用工具\ボルトカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●一段内蔵カム機構により、迅速かつ簡単に切断刃の正確な位置合わせができます。<br>●切断目安：ソフト(軟鋼)、ミディアム(鉄および鋼）、ハード(ステンレス鋼、ばね鋼)<br>●全長(mm):800<br>●切断能力(mm)ソフト(15RC)：12.7<br>●切断能力(mm)ミディアム(31RC)：11<br>●切断能力(mm)ハード(42RC)：9.5<br>●質量(kg):4<br>",『カード対応OK！』■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/リジッド 【14228】(4743393)Ｒ&minus;３０Ｓ ボルトカッター 受注単位1：クローバー資材館,『カード対応OK！』■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/リジッド 【14228】(4743393)Ｒ&minus;３０Ｓ ボルトカッター 受注単位1,作業用品\ハサミ・カッター・板金用工具\ボルトカッター。『カード対応OK！』■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/リジッド 【14228】(4743393)Ｒ&minus;３０Ｓ ボルトカッター 受注単位1[rn]
17-160051,,4609.6000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,『カード対応OK！』■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/リジッド 【18363】(4743423)Ｒ１４Ｓ ヘッドアッセンブリ 受注単位1,作業用品\ハサミ・カッター・板金用工具\ボルトカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ボルトカッタ用交換用ヘッドです。<br>●適合本体：14213<br>●質量(kg):0.5<br>",『カード対応OK！』■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/リジッド 【18363】(4743423)Ｒ１４Ｓ ヘッドアッセンブリ 受注単位1：クローバー資材館,『カード対応OK！』■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/リジッド 【18363】(4743423)Ｒ１４Ｓ ヘッドアッセンブリ 受注単位1,作業用品\ハサミ・カッター・板金用工具\ボルトカッター。『カード対応OK！』■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/リジッド 【18363】(4743423)Ｒ１４Ｓ ヘッドアッセンブリ 受注単位1[rn]
17-160052,,6948.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,『カード対応OK！』■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/リジッド 【14218】(4743377)Ｒ－１８Ｓ ボルトカッター 受注単位1,作業用品\ハサミ・カッター・板金用工具\ボルトカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●一段内蔵カム機構により、迅速かつ簡単に切断刃の正確な位置合わせができます。<br>●切断目安：ソフト(軟鋼)、ミディアム(鉄および鋼）、ハード(ステンレス鋼、ばね鋼)<br>●全長(mm):485<br>●切断能力(mm)ソフト(15RC)：9.5<br>●切断能力(mm)ミディアム(31RC)：7.9<br>●切断能力(mm)ハード(42RC)：6.4<br>●質量(kg):1.5<br>",『カード対応OK！』■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/リジッド 【14218】(4743377)Ｒ&minus;１８Ｓ ボルトカッター 受注単位1：クローバー資材館,『カード対応OK！』■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/リジッド 【14218】(4743377)Ｒ&minus;１８Ｓ ボルトカッター 受注単位1,作業用品\ハサミ・カッター・板金用工具\ボルトカッター。『カード対応OK！』■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/リジッド 【14218】(4743377)Ｒ&minus;１８Ｓ ボルトカッター 受注単位1[rn]
17-160053,,9408.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,『カード対応OK！』■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/リジッド 【14223】(4743385)Ｒ－２４Ｓ ボルトカッター 受注単位1,作業用品\ハサミ・カッター・板金用工具\ボルトカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●一段内蔵カム機構により、迅速かつ簡単に切断刃の正確な位置合わせができます。<br>●切断目安：ソフト(軟鋼)、ミディアム(鉄および鋼）、ハード(ステンレス鋼、ばね鋼)<br>●全長(mm):652<br>●切断能力(mm)ソフト(15RC)：11<br>●切断能力(mm)ミディアム(31RC)：9.5<br>●切断能力(mm)ハード(42RC)：7.9<br>●質量(kg):2.7<br>",『カード対応OK！』■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/リジッド 【14223】(4743385)Ｒ&minus;２４Ｓ ボルトカッター 受注単位1：クローバー資材館,『カード対応OK！』■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/リジッド 【14223】(4743385)Ｒ&minus;２４Ｓ ボルトカッター 受注単位1,作業用品\ハサミ・カッター・板金用工具\ボルトカッター。『カード対応OK！』■〒Ｒｉｄｇｅ Ｔｏｏｌ Ｃｏｍｐａｎ/リジッド 【14223】(4743385)Ｒ&minus;２４Ｓ ボルトカッター 受注単位1[rn]
