17-47199,http://tshop.r10s.jp/ky-kanariya/cabinet/01425685/img56576883.jpg?fitin=700:700,266.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,オリムパス・手芸キットワールド ミサンガＰＲ-２３オランダ,手芸キット　ワールドミサンガ　オランダ　オリンピックの応援に,,オリムパス・手芸キットワールド ミサンガＰＲ-２３オランダ：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンオリムパス・手芸キットワールド ミサンガＰＲ-２３オランダ,手芸キット　ワールドミサンガ　オランダ　オリンピックの応援に。オリムパス・手芸キットワールド ミサンガＰＲ-２３オランダ[rn]
17-47210,http://tshop.r10s.jp/ky-kanariya/cabinet/hamanaka/02775943/imgrc0068016874.jpg?fitin=700:700,576.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,現品限り ハマナカ　ガラスペレット500g H４３０－０５７テディベア・ぬいぐるみの中詰用 クロネコＤＭ便発送　不可,ガラスペレット,"パッケージに汚れがあります。<BR>ガラスペレット<br>少量で重さがだせるのでミニチュアサイズには最適！<br>テディベア・ぬいぐるみの中詰用<br>≪容量≫５００ｇ（２００ｇ×１袋、３００ｇ×１袋）<br><br>発売元 ： ハマナカ株式会社<br><P><FONT color=""#ff0000"">ご注意</FONT>：モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。<br>クロネコＤＭ便　発送　不可</P>",現品限り ハマナカ　ガラスペレット500g H４３０&minus;０５７テディベア・ぬいぐるみの中詰用 クロネコＤＭ便発送　不可：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン現品限り ハマナカ　ガラスペレット500g H４３０&minus;０５７テディベア・ぬいぐるみの中詰用 クロネコＤＭ便発送　不可,ガラスペレット。現品限り ハマナカ　ガラスペレット500g H４３０&minus;０５７テディベア・ぬいぐるみの中詰用 クロネコＤＭ便発送　不可[rn]
17-47211,http://tshop.r10s.jp/ky-kanariya/cabinet/02385600/04152266/imgrc0070534142.jpg?fitin=700:700,752.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,※現品限り【難あり】メタリックヤーンで作る《お花のタペストリー》MF-102　パンジー,メタリックヤーンで作る《お花のタペストリー》パンジー,"【Panami】<br>
 メタリックヤーンで作る《お花のタペストリー》<br>
パンジー　額つき<br><br>
サイズ<br>
　本体・・・約１４ｃｍ×１４ｃｍ<br>
　額・・・・約１７.８ｃｍ×１７.８ｃｍ<br>
用意するもの：はさみ・ボンド<br><br>
発売元：タカギ繊維株式会社<br><br>
※永年持越し品のため、パッケージの汚れ、ヤケが見られる物も御座います。<br>
ご了承の上、お買い求めください。<br><br>
クロネコＤＭ便発送　可能<br>
<br>モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。",※現品限り【難あり】メタリックヤーンで作る《お花のタペストリー》MF-102　パンジー：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン※現品限り【難あり】メタリックヤーンで作る《お花のタペストリー》MF-102　パンジー,メタリックヤーンで作る《お花のタペストリー》パンジー。※現品限り【難あり】メタリックヤーンで作る《お花のタペストリー》MF-102　パンジー[rn]
17-47212,http://tshop.r10s.jp/ky-kanariya/cabinet/02385600/04152266/imgrc0070534234.jpg?fitin=700:700,752.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,※現品限り【難あり】メタリックヤーンで作る《お花のタペストリー》MF-103　朝顔,メタリックヤーンで作る《お花のタペストリー》朝顔,"【Panami】<br>
 メタリックヤーンで作る《お花のタペストリー》<br>
朝顔　額つき<br><br>
サイズ<br>
　本体・・・約１４ｃｍ×１４ｃｍ<br>
　額・・・・約１７.８ｃｍ×１７.８ｃｍ<br>
用意するもの：はさみ・ボンド<br><br>
発売元：タカギ繊維株式会社<br><br>
※永年持越し品のため、パッケージの汚れ、ヤケが見られる物も御座います。<br>
ご了承の上、お買い求めください。<br><br>
クロネコＤＭ便発送　可能<br>
<br>モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。",※現品限り【難あり】メタリックヤーンで作る《お花のタペストリー》MF-103　朝顔：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン※現品限り【難あり】メタリックヤーンで作る《お花のタペストリー》MF-103　朝顔,メタリックヤーンで作る《お花のタペストリー》朝顔。※現品限り【難あり】メタリックヤーンで作る《お花のタペストリー》MF-103　朝顔[rn]
17-47213,http://tshop.r10s.jp/ky-kanariya/cabinet/02385600/04152266/imgrc0070534280.jpg?fitin=700:700,752.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,※現品限り【難あり】メタリックヤーンで作る《お花のタペストリー》MF-104　桜,メタリックヤーンで作る《お花のタペストリー》桜,"【Panami】<br>
 メタリックヤーンで作る《お花のタペストリー》<br>
桜　額つき<br><br>
サイズ<br>
　本体・・・約１４ｃｍ×１４ｃｍ<br>
　額・・・・約１７.８ｃｍ×１７.８ｃｍ<br>
用意するもの：はさみ・ボンド<br><br>
発売元：タカギ繊維株式会社<br><br>
※永年持越し品のため、パッケージの汚れ、ヤケが見られる物も御座います。<br>
ご了承の上、お買い求めください。<br><br>
クロネコＤＭ便発送　可能<br>
<br>モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。",※現品限り【難あり】メタリックヤーンで作る《お花のタペストリー》MF-104　桜：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン※現品限り【難あり】メタリックヤーンで作る《お花のタペストリー》MF-104　桜,メタリックヤーンで作る《お花のタペストリー》桜。※現品限り【難あり】メタリックヤーンで作る《お花のタペストリー》MF-104　桜[rn]
17-47214,http://tshop.r10s.jp/ky-kanariya/cabinet/02385600/04152266/imgrc0070534383.jpg?fitin=700:700,752.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,※現品限り【難あり】メタリックヤーンで作る《お花のタペストリー》MF-105　チューリップ,メタリックヤーンで作る《お花のタペストリー》チューリップ,"【Panami】<br>
 メタリックヤーンで作る《お花のタペストリー》<br>
チューリップ　額つき<br><br>
サイズ<br>
　本体・・・約１４ｃｍ×１４ｃｍ<br>
　額・・・・約１７.８ｃｍ×１７.８ｃｍ<br>
用意するもの：はさみ・ボンド<br><br>
発売元：タカギ繊維株式会社<br><br>
※永年持越し品のため、パッケージの汚れ、ヤケが見られる物も御座います。<br>
ご了承の上、お買い求めください。<br><br>
クロネコＤＭ便発送　可能<br>
<br>モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。",※現品限り【難あり】メタリックヤーンで作る《お花のタペストリー》MF-105　チューリップ：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン※現品限り【難あり】メタリックヤーンで作る《お花のタペストリー》MF-105　チューリップ,メタリックヤーンで作る《お花のタペストリー》チューリップ。※現品限り【難あり】メタリックヤーンで作る《お花のタペストリー》MF-105　チューリップ[rn]
17-47215,http://tshop.r10s.jp/ky-kanariya/cabinet/01555990/imgrc0068149355.jpg?fitin=700:700,272.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,クロバー　 ちいさなてしごとクロスステッチ用抜きキャンバス１００目（２５カウント）７９－６４７クロネコＤＭ便発送　可能,,"サイズ　：　約 ２０×１４ｃｍ<br>材質　：　綿１００％<br>※使い方説明書付き<br>織り目が細かく、目がひろいにくい生地や、ニット地などにもクロスステッチを刺すことができます。 <BR>発売元 ： クロバー株式会社<br>ベルギー製 <BR><br>クロネコＤＭ便発送　可能<br><br><P><FONT color=""#ff0000"">ご注意</FONT>：　キット内容の生地・色・柄が写真と異なる場合があります。<br>モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。</P><br>実店舗に在庫があれば（土日祝日を除き）２～４日以内に発送。<br>",クロバー　 ちいさなてしごとクロスステッチ用抜きキャンバス１００目（２５カウント）７９&minus;６４７クロネコＤＭ便発送　可能：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンクロバー　 ちいさなてしごとクロスステッチ用抜きキャンバス１００目（２５カウント）７９&minus;６４７クロネコＤＭ便発送　可能,クロバー　 ちいさなてしごとクロスステッチ用抜きキャンバス１００目（２５カウント）７９&minus;６４７クロネコＤＭ便発送　可能[rn]
17-47216,http://tshop.r10s.jp/ky-kanariya/cabinet/01425685/img56772034.jpg?fitin=700:700,576.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,※メーカー完売しました　クロバーちいさなてしごとクロスステッチのシュシュ７９－６７０クロネコＤＭ便発送　可能,,クロスステッチのシュシュ<br><br>　　　　　　　　　　　　　　　　　　　　　　ボタン部分の直径 ： 約 ２.２cm 、 製作時間.約３時間<br>                                          キット内容　：　生地・接着芯・クロスステッチ針・丸ゴム・くるみボタンベース・レーステープ・刺しゅう糸・作り方説明書・クロスステッチ図案集(パリ)・てしごとのきほん・～クロスステッチ編２～<br><br><br>発売元 ： クロバー株式会社<br>クロネコＤＭ便発送　可能<br>ご注意　：　キット内容の生地・色・柄が写真と異なる場合があります。<br>モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。,※メーカー完売しました　クロバーちいさなてしごとクロスステッチのシュシュ７９&minus;６７０クロネコＤＭ便発送　可能：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン※メーカー完売しました　クロバーちいさなてしごとクロスステッチのシュシュ７９&minus;６７０クロネコＤＭ便発送　可能,※メーカー完売しました　クロバーちいさなてしごとクロスステッチのシュシュ７９&minus;６７０クロネコＤＭ便発送　可能[rn]
17-47217,http://tshop.r10s.jp/ky-kanariya/cabinet/01555990/imgrc0068149356.jpg?fitin=700:700,330.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,クロバー　 ちいさなてしごと刺しゅう用リネン生地　ベルファスト１２６目（３２カウント）７９－６７７クロネコＤＭ便発送　可能,,"サイズ　：　約 １６×１８ｃｍ<br>材質　：　麻１００％<br>刺しゅう専用のリネン生地です。縦横の織り目が整っているので、クロスステッチを刺しても図案の比率が変わらず、図案のイメージを損ないません。 <BR>発売元 ： クロバー株式会社<br>ドイツ製 <BR><br>クロネコＤＭ便発送　可能<br><br><P><FONT color=""#ff0000"">ご注意</FONT>：　キット内容の生地・色・柄が写真と異なる場合があります。<br>モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。</P><br>実店舗に在庫があれば（土日祝日を除き）２～４日以内に発送。<br>",クロバー　 ちいさなてしごと刺しゅう用リネン生地　ベルファスト１２６目（３２カウント）７９&minus;６７７クロネコＤＭ便発送　可能：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンクロバー　 ちいさなてしごと刺しゅう用リネン生地　ベルファスト１２６目（３２カウント）７９&minus;６７７クロネコＤＭ便発送　可能,クロバー　 ちいさなてしごと刺しゅう用リネン生地　ベルファスト１２６目（３２カウント）７９&minus;６７７クロネコＤＭ便発送　可能[rn]
17-47218,http://tshop.r10s.jp/ky-kanariya/cabinet/01425685/img56774866.jpg?fitin=700:700,576.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,クロバーちいさなてしごとクロッシェのシュシュアイボリー７９－６８３クロネコＤＭ便発送　可能,,クロッシェのシュシュ(アイボリー）<br><br>作品サイズ　：　円周約 １７cm 、 製作時間.約２時間<br>                                        　　キット内容　：　・フレンチリネン糸・丸ゴム(細)・かぎ針２/０号・とじ針・作り方説明書<br><br>作品の作り方とかぎ針あみの基本を詳しく説明した「てしごとのきほん～かぎ針あみのエジング＆ブレード編～」がついています。<br>                 <br>発売元 ： クロバー株式会社<br>クロネコＤＭ便発送　可能<BR>ご注意　：　キット内容の生地・色・柄が写真と異なる場合があります。<br>モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。<br>実店舗に在庫があれば（土日祝日を除き）２～４日以内に発送。<br>,クロバーちいさなてしごとクロッシェのシュシュアイボリー７９&minus;６８３クロネコＤＭ便発送　可能：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンクロバーちいさなてしごとクロッシェのシュシュアイボリー７９&minus;６８３クロネコＤＭ便発送　可能,クロバーちいさなてしごとクロッシェのシュシュアイボリー７９&minus;６８３クロネコＤＭ便発送　可能[rn]
17-47219,http://tshop.r10s.jp/ky-kanariya/cabinet/01425685/img56774915.jpg?fitin=700:700,576.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,クロバーちいさなてしごとクロッシェのシュシュ　ナチュラル７９－６８４クロネコＤＭ便発送　可能,,クロッシェのシュシュ(ナチュラル）<br><br>作品サイズ　：　円周約 １７cm 、 製作時間.約２時間<br>                                        　　キット内容　：　・フレンチリネン糸・丸ゴム(細)・かぎ針２/０号・とじ針・作り方説明書<br><br>作品の作り方とかぎ針あみの基本を詳しく説明した「てしごとのきほん～かぎ針あみのエジング＆ブレード編～」がついています。<br>                 <br>発売元 ： クロバー株式会社<br>クロネコＤＭ便発送　可能<br>ご注意　：　キット内容の生地・色・柄が写真と異なる場合があります。<br>モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。<br>実店舗に在庫があれば（土日祝日を除き）２～４日以内に発送。<br>,クロバーちいさなてしごとクロッシェのシュシュ　ナチュラル７９&minus;６８４クロネコＤＭ便発送　可能：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンクロバーちいさなてしごとクロッシェのシュシュ　ナチュラル７９&minus;６８４クロネコＤＭ便発送　可能,クロバーちいさなてしごとクロッシェのシュシュ　ナチュラル７９&minus;６８４クロネコＤＭ便発送　可能[rn]
17-47220,http://tshop.r10s.jp/ky-kanariya/cabinet/01425685/img56774967.jpg?fitin=700:700,612.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,クロバーちいさなてしごとクロッシェのヘアゴムナチュラル７９－８０５クロネコＤＭ便発送　可能,,クロッシェのヘアゴム(ナチュラル）<br><br>作品サイズ　：　直径約 ４cm(モチーフ部分)、 製作時間.約３時間<br>                                        　　キット内容　：　・フレンチリネン糸・丸ゴム(細)・かぎ針２/０号・とじ針・作り方説明書<br><br>作品の作り方とかぎ針あみの基本を詳しく説明した「てしごとのきほん～かぎ針あみのモチーフ編～」がついています。<br>                 　　　　　  <br>発売元 ： クロバー株式会社<br>クロネコＤＭ便発送　可能<br>ご注意　：　キット内容の生地・色・柄が写真と異なる場合があります。<br>モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。<br>実店舗に在庫があれば（土日祝日を除き）２～４日以内に発送。<br>,クロバーちいさなてしごとクロッシェのヘアゴムナチュラル７９&minus;８０５クロネコＤＭ便発送　可能：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンクロバーちいさなてしごとクロッシェのヘアゴムナチュラル７９&minus;８０５クロネコＤＭ便発送　可能,クロバーちいさなてしごとクロッシェのヘアゴムナチュラル７９&minus;８０５クロネコＤＭ便発送　可能[rn]
17-47221,http://tshop.r10s.jp/ky-kanariya/cabinet/01425685/img56774989.jpg?fitin=700:700,612.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > アクセサリークラフトキット > その他,※メーカー完売です　クロバーちいさなてしごとクロッシェのヘアゴム　ローズピンク７９－８０６クロネコＤＭ便発送　可能,,クロッシェのヘアゴム(ローズピンク）<br><br>作品サイズ　：　直径約 ４cm(モチーフ部分)、 製作時間.約３時間<br>                                        　　キット内容　：　・フレンチリネン糸・丸ゴム(細)・かぎ針２/０号・とじ針・作り方説明書<br><br>作品の作り方とかぎ針あみの基本を詳しく説明した「てしごとのきほん～かぎ針あみのモチーフ編～」がついています。<br>                 　　　　　  <br>発売元 ： クロバー株式会社<br>クロネコＤＭ便発送　可能<br>ご注意　：　キット内容の生地・色・柄が写真と異なる場合があります。<br>モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。,※メーカー完売です　クロバーちいさなてしごとクロッシェのヘアゴム　ローズピンク７９&minus;８０６クロネコＤＭ便発送　可能：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン※メーカー完売です　クロバーちいさなてしごとクロッシェのヘアゴム　ローズピンク７９&minus;８０６クロネコＤＭ便発送　可能,※メーカー完売です　クロバーちいさなてしごとクロッシェのヘアゴム　ローズピンク７９&minus;８０６クロネコＤＭ便発送　可能[rn]
