17-21699,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004371388.jpg?fitin=700:700,8425.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒サンドビック/サンドビック　コロターン１１１　旋削用ポジ・チップ　４２２５【CPMT 06 02 04-PM  4225】(6068839) 受注単位10,切削工具\旋削・フライス加工工具\チップ,,『カード対応OK！』■〒サンドビック/サンドビック　コロターン１１１　旋削用ポジ・チップ　４２２５【CPMT 06 02 04-PM  4225】(6068839) 受注単位10：クローバー資材館,『カード対応OK！』■〒サンドビック/サンドビック　コロターン１１１　旋削用ポジ・チップ　４２２５【CPMT 06 02 04-PM  4225】(6068839) 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒サンドビック/サンドビック　コロターン１１１　旋削用ポジ・チップ　４２２５【CPMT 06 02 04-PM  4225】(6068839) 受注単位10[rn]
17-21748,,3856.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大日商【KA2】(3562221) コーナービット　角面２分（４５°） 受注単位1,切削工具\穴あけ工具\木工用ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●デコラ・合板・木材・プラスチック・人造大理石などの面取りが誰でも簡単にでき、きれいに仕上がります。<br>●ベアリングがガイドとなるため、曲線・直線・内側・外側・コーナーの面取りが自由自在にできます。<br>●加工用途に王子最適な刃物を選定ください。<br><br>●被削材：デコラ、合板、木材、プラスチック、人造大理石など。<br>●面取り、目地払い、切り抜き、穴ほり、アリ（オスメス）加工など、さまざまな作業に。<br><br>●刃数：2<br>●軸径(mm)：6<br>●刃径(mm)：20<br>●刃長(mm)：10<br>●全長(mm)：40<br>●質量(g)：31<br><br>●使用ベアリング：B8<br>●使用電動工具：トリマー<br>●角面<br><br>●刃先：超硬チップ<br>",『カード対応OK！』■〒大日商【KA2】(3562221) コーナービット　角面２分（４５&deg;） 受注単位1：クローバー資材館,『カード対応OK！』■〒大日商【KA2】(3562221) コーナービット　角面２分（４５&deg;） 受注単位1,切削工具\穴あけ工具\木工用ビット。『カード対応OK！』■〒大日商【KA2】(3562221) コーナービット　角面２分（４５&deg;） 受注単位1[rn]
17-21749,,1644.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大日商【S661P】(3561941) 木工ビット　超硬ストレート６×６（１Ｐ） 受注単位1,切削工具\穴あけ工具\木工用ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1分間に約20000～30000回転で切削できます。<br>●切れ味が良く長寿命で、きれいに加工できます。<br>●木材系材料・樹脂系（人造大理石）材料の穴掘り、溝堀り、切り抜き作業に最適です。<br><br>●被削材：木材、樹脂、人造大理石など。<br><br>●刃数：1<br>●軸径(mm)：6<br>●刃径(mm)：6<br>●刃長(mm)：20<br>●全長(mm)：50<br>●質量(g)：20<br><br>●使用電動工具：トリマー<br><br>●刃先：超硬チップ<br>",『カード対応OK！』■〒大日商【S661P】(3561941) 木工ビット　超硬ストレート６&times;６（１Ｐ） 受注単位1：クローバー資材館,『カード対応OK！』■〒大日商【S661P】(3561941) 木工ビット　超硬ストレート６&times;６（１Ｐ） 受注単位1,切削工具\穴あけ工具\木工用ビット。『カード対応OK！』■〒大日商【S661P】(3561941) 木工ビット　超硬ストレート６&times;６（１Ｐ） 受注単位1[rn]
17-21750,,9299.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大日商【B5】(3973921) コーナービット　ボーズ５分 受注単位1,切削工具\穴あけ工具\木工用ビット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●デコラ・合板・木材・プラスチック・人造大理石などの面取りが誰でも簡単にでき、きれいに仕上がります。<br>●ベアリングがガイドとなるため、曲線・直線・内側・外側・コーナーの面取りが自由自在にできます。<br>●加工用途に応じ最適な刃物を選定ください。<br><br>●被削材：デコラ、合板、木材、プラスチック、人造大理石など。<br>●面取り、目地払い、切り抜き、穴ほり、アリ（オスメス）加工など、さまざまな作業に。<br><br>●刃数：2<br>●軸径(mm)：12<br>●刃径(mm)：49<br>●刃長(mm)：18<br>●全長(mm)：58.5<br>●質量(g)：150<br>●R半径(mm)：15<br><br>●使用ベアリング：B19<br>●使用電動工具：ルーター(※電動工具の付属アダプターをご使用ください)<br>●ボーズ面<br><br>●刃先：超硬チップ<br>",『カード対応OK！』■〒大日商【B5】(3973921) コーナービット　ボーズ５分 受注単位1：クローバー資材館,『カード対応OK！』■〒大日商【B5】(3973921) コーナービット　ボーズ５分 受注単位1,切削工具\穴あけ工具\木工用ビット。『カード対応OK！』■〒大日商【B5】(3973921) コーナービット　ボーズ５分 受注単位1[rn]
17-21751,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002869766.jpg?fitin=700:700,11158.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋバイオレットラフィングエンドミル【VAMRD1800 (VA-MR-18)】 (1143824) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●高級粉末ハイスの母材に、新開発のバイオレットコーティングを施したラフィングエンドミルです。<br>●ステンレスや合金鋼などの難削材加工でもチッピングが発生しにくく長寿命です。",『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋバイオレットラフィングエンドミル【VAMRD1800 (VA-MR-18)】 (1143824) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋバイオレットラフィングエンドミル【VAMRD1800 (VA-MR-18)】 (1143824) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル。『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋバイオレットラフィングエンドミル【VAMRD1800 (VA-MR-18)】 (1143824) 受注単位1[rn]
17-21752,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002869765.jpg?fitin=700:700,10160.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋバイオレットファインラフィンエンドミル【VAMFPRD1400 (VA-MFPR-14)】 (1642847) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●高級粉末ハイスの母材に、新開発のバイオレットコーティングを施したラフィングエンドミルです。<br>●ファインピッチニックによりステンレスや合金鋼などの難削材の加工でもチッピングが発生しにくく、長寿命です。",『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋバイオレットファインラフィンエンドミル【VAMFPRD1400 (VA-MFPR-14)】 (1642847) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋバイオレットファインラフィンエンドミル【VAMFPRD1400 (VA-MFPR-14)】 (1642847) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル。『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋバイオレットファインラフィンエンドミル【VAMFPRD1400 (VA-MFPR-14)】 (1642847) 受注単位1[rn]
17-21753,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002869763.jpg?fitin=700:700,96000.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋバイオレットラフィングエンドミル【VAJRD5000 (VA-JR50)】 (1145541) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●高級粉末ハイスの母材に、新開発のバイオレットコーティングを施したロング刃です。<br>●ステンレス、合金鋼等の難削材加工でもチッピングしにくく長寿命です。",『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋバイオレットラフィングエンドミル【VAJRD5000 (VA-JR50)】 (1145541) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋバイオレットラフィングエンドミル【VAJRD5000 (VA-JR50)】 (1145541) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル。『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋバイオレットラフィングエンドミル【VAJRD5000 (VA-JR50)】 (1145541) 受注単位1[rn]
17-21754,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002867920.jpg?fitin=700:700,24436.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋラフィングエンドミル３５ｍｍ (Ｌタイプ）【LRD3500 (LR-35)】 (1089749) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●フルRの波刃刃形を採用しており、切削抵抗を軽減し、重切削を可能にする粗切削用シリーズです。<br>●全サイズセンター穴付です。",『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋラフィングエンドミル３５ｍｍ (Ｌタイプ）【LRD3500 (LR-35)】 (1089749) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋラフィングエンドミル３５ｍｍ (Ｌタイプ）【LRD3500 (LR-35)】 (1089749) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル。『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋラフィングエンドミル３５ｍｍ (Ｌタイプ）【LRD3500 (LR-35)】 (1089749) 受注単位1[rn]
17-21755,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004840297.jpg?fitin=700:700,53850.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスエンドミル【VP-DE-RESF-40  (8456740)】(6342787) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル,,『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスエンドミル【VP-DE-RESF-40  (8456740)】(6342787) 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスエンドミル【VP-DE-RESF-40  (8456740)】(6342787) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル。『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスエンドミル【VP-DE-RESF-40  (8456740)】(6342787) 受注単位1[rn]
17-21756,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002566985.jpg?fitin=700:700,10320.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　Ｇラフィング【GSFPRD2000】(6650988) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル,,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　Ｇラフィング【GSFPRD2000】(6650988) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　Ｇラフィング【GSFPRD2000】(6650988) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　Ｇラフィング【GSFPRD2000】(6650988) 受注単位1[rn]
17-21757,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002867913.jpg?fitin=700:700,11158.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱マテリアルツールズ/三菱ＫＧＭＲラフィングエンドミル２２．０ｍｍ【GMRD2200 (GMR-22)】 (1143581) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●TiNコーティングしたラフィングエンドミルで一般鋼材から高硬度材、難削材に至る広い加工に性能を発揮します。",『カード対応OK！』■〒三菱マテリアルツールズ/三菱ＫＧＭＲラフィングエンドミル２２．０ｍｍ【GMRD2200 (GMR-22)】 (1143581) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱マテリアルツールズ/三菱ＫＧＭＲラフィングエンドミル２２．０ｍｍ【GMRD2200 (GMR-22)】 (1143581) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル。『カード対応OK！』■〒三菱マテリアルツールズ/三菱ＫＧＭＲラフィングエンドミル２２．０ｍｍ【GMRD2200 (GMR-22)】 (1143581) 受注単位1[rn]
17-21758,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004838419.jpg?fitin=700:700,30398.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスエンドミル【EX-REXL-35X215X125X32(83258)】(6310559) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスエンドミル【EX-REXL-35X215X125X32(83258)】(6310559) 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスエンドミル【EX-REXL-35X215X125X32(83258)】(6310559) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル。『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスエンドミル【EX-REXL-35X215X125X32(83258)】(6310559) 受注単位1[rn]
17-21759,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005502773.jpg?fitin=700:700,93668.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立ツール　ＡＴコートラフィング　ロング刃　ＲＱＬ５０－ＡＴ【RQL50-AT】(4294441) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル,,『カード対応OK！』■〒日立ツール　ＡＴコートラフィング　ロング刃　ＲＱＬ５０&minus;ＡＴ【RQL50-AT】(4294441) 受注単位1：クローバー資材館,『カード対応OK！』■〒日立ツール　ＡＴコートラフィング　ロング刃　ＲＱＬ５０&minus;ＡＴ【RQL50-AT】(4294441) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル。『カード対応OK！』■〒日立ツール　ＡＴコートラフィング　ロング刃　ＲＱＬ５０&minus;ＡＴ【RQL50-AT】(4294441) 受注単位1[rn]
17-21760,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004840017.jpg?fitin=700:700,17588.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスエンドミル【RF-TSC-30X10X145X10X16  (83635)】(6334903) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル,,『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスエンドミル【RF-TSC-30X10X145X10X16  (83635)】(6334903) 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスエンドミル【RF-TSC-30X10X145X10X16  (83635)】(6334903) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル。『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスエンドミル【RF-TSC-30X10X145X10X16  (83635)】(6334903) 受注単位1[rn]
17-21761,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002869818.jpg?fitin=700:700,11595.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋバイオレットラフィングエンドミル【VASFPRD1800 (VA-SFPR-18)】 (1143107) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●高級粉末ハイスの母材に、新開発のバイオレットコーティングを施しました。<br>●ファインピッチニックによりステンレス材や合金鋼などの難削材の加工に威力を発揮します。",『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋバイオレットラフィングエンドミル【VASFPRD1800 (VA-SFPR-18)】 (1143107) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋバイオレットラフィングエンドミル【VASFPRD1800 (VA-SFPR-18)】 (1143107) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル。『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋバイオレットラフィングエンドミル【VASFPRD1800 (VA-SFPR-18)】 (1143107) 受注単位1[rn]
17-21762,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002571984.jpg?fitin=700:700,11793.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ラフィングショートエンドミル２８ｍｍ【SRD2800】(6783333) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル,,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ラフィングショートエンドミル２８ｍｍ【SRD2800】(6783333) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ラフィングショートエンドミル２８ｍｍ【SRD2800】(6783333) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ラフィングショートエンドミル２８ｍｍ【SRD2800】(6783333) 受注単位1[rn]
17-21763,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002869765.jpg?fitin=700:700,29548.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋバイオレットファインラフィンエンドミル【VAMFPRD2800 (VA-MFPR-28)】 (1642928) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●高級粉末ハイスの母材に、新開発のバイオレットコーティングを施したラフィングエンドミルです。<br>●ファインピッチニックによりステンレスや合金鋼などの難削材の加工でもチッピングが発生しにくく、長寿命です。",『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋバイオレットファインラフィンエンドミル【VAMFPRD2800 (VA-MFPR-28)】 (1642928) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋバイオレットファインラフィンエンドミル【VAMFPRD2800 (VA-MFPR-28)】 (1642928) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル。『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋバイオレットファインラフィンエンドミル【VAMFPRD2800 (VA-MFPR-28)】 (1642928) 受注単位1[rn]
17-21764,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004840058.jpg?fitin=700:700,4499.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスエンドミル【TIN-LS-RESF-8  (71358)】(6341420) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル,,『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスエンドミル【TIN-LS-RESF-8  (71358)】(6341420) 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスエンドミル【TIN-LS-RESF-8  (71358)】(6341420) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル。『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスエンドミル【TIN-LS-RESF-8  (71358)】(6341420) 受注単位1[rn]
17-21765,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004838647.jpg?fitin=700:700,5911.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスエンドミル【EX-TIN-RENF-10(88460)】(6320503) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスエンドミル【EX-TIN-RENF-10(88460)】(6320503) 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスエンドミル【EX-TIN-RENF-10(88460)】(6320503) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル。『カード対応OK！』■〒オーエスジー/ＯＳＧ　ハイスエンドミル【EX-TIN-RENF-10(88460)】(6320503) 受注単位1[rn]
17-21766,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002867920.jpg?fitin=700:700,16520.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋラフィングエンドミル３０ｍｍ (Ｌタイプ）【LRD3000S25 (LR-30X25)】 (1089731) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●フルRの波刃刃形を採用しており、切削抵抗を軽減し、重切削を可能にする粗切削用シリーズです。<br>●全サイズセンター穴付です。",『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋラフィングエンドミル３０ｍｍ (Ｌタイプ）【LRD3000S25 (LR-30X25)】 (1089731) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋラフィングエンドミル３０ｍｍ (Ｌタイプ）【LRD3000S25 (LR-30X25)】 (1089731) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル。『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋラフィングエンドミル３０ｍｍ (Ｌタイプ）【LRD3000S25 (LR-30X25)】 (1089731) 受注単位1[rn]
17-21767,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002566985.jpg?fitin=700:700,8985.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　Ｇラフィング【GSFPRD1600】(6650953) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル,,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　Ｇラフィング【GSFPRD1600】(6650953) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　Ｇラフィング【GSFPRD1600】(6650953) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　Ｇラフィング【GSFPRD1600】(6650953) 受注単位1[rn]
17-21768,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002566985.jpg?fitin=700:700,8564.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　Ｇラフィング【GSFPRD1500】(6650945) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル,,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　Ｇラフィング【GSFPRD1500】(6650945) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　Ｇラフィング【GSFPRD1500】(6650945) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　Ｇラフィング【GSFPRD1500】(6650945) 受注単位1[rn]
17-21769,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002571589.jpg?fitin=700:700,12566.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ＪＲラフィングエンドミル２５．０ｍｍ【JRD2500(RJR-250)】(6753604) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル,,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ＪＲラフィングエンドミル２５．０ｍｍ【JRD2500(RJR-250)】(6753604) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ＪＲラフィングエンドミル２５．０ｍｍ【JRD2500(RJR-250)】(6753604) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ＪＲラフィングエンドミル２５．０ｍｍ【JRD2500(RJR-250)】(6753604) 受注単位1[rn]
17-21770,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002860607.jpg?fitin=700:700,1084.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イシハシ精工/ＩＳパック入コバルト正宗ドリル８．０ｍｍ【P-COD-8.0 (M42-8.0) (8.0MM)】 (1039491) 受注単位1,切削工具\穴あけ工具\ハイスドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●高コバルト系ハイス（HSCO-M42）を母材とし、ステンレス、難削材に最適です。<br>●ステンレス鋼、チタン合金硬鋼などの難削材を問題にしない切れ味のドリルです。<br>●先端部シャープな尖鋭の切刃になっており、完全な求心性と2倍以上の食い込み早さで素晴らしい切削性を発揮します。",『カード対応OK！』■〒イシハシ精工/ＩＳパック入コバルト正宗ドリル８．０ｍｍ【P-COD-8.0 (M42-8.0) (8.0MM)】 (1039491) 受注単位1：クローバー資材館,『カード対応OK！』■〒イシハシ精工/ＩＳパック入コバルト正宗ドリル８．０ｍｍ【P-COD-8.0 (M42-8.0) (8.0MM)】 (1039491) 受注単位1,切削工具\穴あけ工具\ハイスドリル。『カード対応OK！』■〒イシハシ精工/ＩＳパック入コバルト正宗ドリル８．０ｍｍ【P-COD-8.0 (M42-8.0) (8.0MM)】 (1039491) 受注単位1[rn]
17-21771,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002872872.jpg?fitin=700:700,392.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋステンレス用ストレートドリルブリスタータイプ【BKSDD0240 (B-KSD-2.4)】 (2019264) 受注単位1,切削工具\穴あけ工具\ハイスドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●刃先の切れ味がよく、特に200HB以下のステンレス材の加工に最適です。",『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋステンレス用ストレートドリルブリスタータイプ【BKSDD0240 (B-KSD-2.4)】 (2019264) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋステンレス用ストレートドリルブリスタータイプ【BKSDD0240 (B-KSD-2.4)】 (2019264) 受注単位1,切削工具\穴あけ工具\ハイスドリル。『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋステンレス用ストレートドリルブリスタータイプ【BKSDD0240 (B-KSD-2.4)】 (2019264) 受注単位1[rn]
