17-133199,http://tshop.r10s.jp/ky-kanariya/cabinet/daiya/img59269347.jpg?fitin=700:700,456.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　　タスマニアンメリノ,編みやすい並太毛糸,"重さ：40ｇ<br>
糸長：約120ｍ<br>
太さ：棒針5～6号、かぎ針4/0～5/0号<br>
素材：ウール　100％（タスマニアンメリノ）<br>
その他：メリヤス編標準ゲージ22～23目/30～32段<br>
婦人セーター　約9玉、婦人ベスト　約6玉、紳士セーター約12玉<br>
<br>
糸の特徴：豊かな自然の中で育てられた高級ウール、タスマニアンメリノ100％の上質ストレートヤーンです。<br>ぬめり感のあるソフトなタッチは、編みやすく、着心地の良さを実感できます。<br>白度に優れたウールですから、美しい発色を生み出しています。またトップ染で素材の風合いが生き、ロット表示もありません。
<br>
ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。",ダイヤ毛糸　　　タスマニアンメリノ：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　　タスマニアンメリノ,編みやすい並太毛糸。ダイヤ毛糸　　　タスマニアンメリノ[rn]
17-133273,http://tshop.r10s.jp/ky-kanariya/cabinet/04781109/imgrc0070717539.jpg?fitin=700:700,921.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,リッチモア毛糸（ハマナカ毛糸）サイエ（綵絵）　イタリア製,気軽に編むだけで自然に生まれる色のマジカルワールド,"重さ50ｇ<br>
糸長：105ｍ<br>
太さ：棒針　14～15号<br>
素材：ウール88％、ナイロン12％<br>
その他：メリヤス編標準ゲージ14目/21段<br>
婦人セーター7～8玉、婦人ベスト　約4～5玉<br><br>
糸の特徴：8色の色が大変複雑なテクニックでミクスチャー。<br>
気軽に編むだけで自然に生まれるマジカルワールド。<br>(注)この商品は複数の色が非常に複雑な技法でミックスされています。<br>同じ色番でも玉によって、色の出方やイメージが異なりますので、あらかじめご承知おきください。<br><br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。<br><br>
クロネコＤＭ便不可<br>",リッチモア毛糸（ハマナカ毛糸）サイエ（綵絵）　イタリア製：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンリッチモア毛糸（ハマナカ毛糸）サイエ（綵絵）　イタリア製,気軽に編むだけで自然に生まれる色のマジカルワールド。リッチモア毛糸（ハマナカ毛糸）サイエ（綵絵）　イタリア製[rn]
17-133274,http://tshop.r10s.jp/ky-kanariya/cabinet/hamanaka/img61754182.jpg?fitin=700:700,340.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,リッチモア毛糸（ハマナカ毛糸）カリオカ在庫限り,マルチカラーの綿スラブ糸とラメのリリヤーンネップを撚糸,重さ：40ｇ<br>糸長：90ｍ<br>太さ：棒針　6～7号<br>素材：綿　66％、ナイロン　32％、ポリエステル　2％<br>その他：メリヤス編標準ゲージ18目/27段<br>婦人セーター（半袖）7～8玉　、婦人ベスト　約6～7玉<br><br>糸の特徴：マルチカラーの綿スラブ糸とラメのリリヤーンネップをミキシング。ゴージャスで繊細な色ミックスの世界。<br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。<br><br>クロネコＤＭ便不可,リッチモア毛糸（ハマナカ毛糸）カリオカ在庫限り：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンリッチモア毛糸（ハマナカ毛糸）カリオカ在庫限り,マルチカラーの綿スラブ糸とラメのリリヤーンネップを撚糸。リッチモア毛糸（ハマナカ毛糸）カリオカ在庫限り[rn]
17-133275,http://tshop.r10s.jp/ky-kanariya/cabinet/04781109/imgrc0070713449.jpg?fitin=700:700,993.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,リッチモア毛糸（ハマナカ毛糸）アルパカレジェーロ　ALPACA　LEGGEROイタリア製,スーパーファインアルパカを使用した自然なタッチの超軽量糸,"重さ50ｇ<br>
糸長：225ｍ<br>太さ：棒針　10～11号<br>
素材：アルパカ　75％、ナイロン　25％<br>
その他：メリヤス編標準ゲージ18目/24段<br>
婦人セーター4～5玉　、婦人ベスト　約2～3玉<br><br>糸の特徴：スーパーファインアルパカのソフト感やなめらかさが感動的な超軽量素材。<br>アルパカの自然なタッチに癒される。※アルパカはなめらかなスーパーファインアルパカを使用。<br>糸長が長く少ない玉数で作品が編めます。<br><br>
ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。<br><br>
クロネコＤＭ便不可<br>",リッチモア毛糸（ハマナカ毛糸）アルパカレジェーロ　ALPACA　LEGGEROイタリア製：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンリッチモア毛糸（ハマナカ毛糸）アルパカレジェーロ　ALPACA　LEGGEROイタリア製,スーパーファインアルパカを使用した自然なタッチの超軽量糸。リッチモア毛糸（ハマナカ毛糸）アルパカレジェーロ　ALPACA　LEGGEROイタリア製[rn]
17-133276,http://tshop.r10s.jp/ky-kanariya/cabinet/hamanaka/img61772978.jpg?fitin=700:700,432.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,リッチモア毛糸（ハマナカ毛糸）綿麻絣（めんあさかすり）,綿と麻の交撚ヤーン。綿糸にロングピッチプリントを加味,重さ：25ｇ<br>糸長：75ｍ<br>太さ：棒針3～5号・かぎ針3/0～5/0号<br>素材：麻（リネン）50%・綿50%<br>その他：メリヤス編標準ゲージ21目31段（棒針）・22目9段（かぎ針）<br>婦人セーター（半袖）7～8玉　、婦人ベスト　約6～7玉<br><br>綿と麻の交撚ヤーンですが、綿糸の一部にロングピッチプリントを加えてアート感覚をプラス。編地にやわらかでぼかし調の色変化を表現　<br><br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます,リッチモア毛糸（ハマナカ毛糸）綿麻絣（めんあさかすり）：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンリッチモア毛糸（ハマナカ毛糸）綿麻絣（めんあさかすり）,綿と麻の交撚ヤーン。綿糸にロングピッチプリントを加味。リッチモア毛糸（ハマナカ毛糸）綿麻絣（めんあさかすり）[rn]
17-133277,http://tshop.r10s.jp/ky-kanariya/cabinet/02385600/03410892/img61763157.jpg?fitin=700:700,612.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,リッチモア毛糸（ハマナカ毛糸）スピンゴールド,世界最高級の超長綿素材,重さ：40ｇ<br>糸長：135ｍ<br>太さ：棒針　4～6号<br>素材：綿　100％<br>その他：メリヤス編標準ゲージ26目/32段<br>婦人セーター（半袖）5～6玉　、婦人ベスト　約4～5玉<br>糸の特徴：インド古綿のスジャータと海島綿ヴィンセント種のハイブリッド。繊度は最も細く、繊維長も長い、まさに世界最高級の超長綿素材です。天然のろう分と油脂分により絹のような光沢とドレープ性、ぬめり感を獲得。発色性も申し分ありません。<br><br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。,リッチモア毛糸（ハマナカ毛糸）スピンゴールド：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンリッチモア毛糸（ハマナカ毛糸）スピンゴールド,世界最高級の超長綿素材。リッチモア毛糸（ハマナカ毛糸）スピンゴールド[rn]
17-133278,http://tshop.r10s.jp/ky-kanariya/cabinet/04781109/imgrc0070713233.jpg?fitin=700:700,1425.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,リッチモア毛糸（ハマナカ毛糸）コウリン　KORINイタリア製,スーパーキッドモヘア使用を使用したまろやかな高級ラメ糸,"重さ40ｇ<br>
糸長：64ｍ<br>
太さ：棒針　14～15号<br>
素材：モヘア　52％、ポリエステル　20％、ナイロン　１９％、ウール　9％<br>
その他：メリヤス編標準ゲージ13目/19段<br>
婦人セーター10～11玉　、婦人ベスト　約6～7玉<br><br>
糸の特徴：スーパーキッドモヘヤ使用により、ラメの硬質感をまろやかに表現した極太ラメヤーン。<br>金屏風をイメージさせるゴージャスな仕上がり。<br>モヘヤはソフトなスーパーキッドモヘヤを使用してます。<br><br>
ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。<br><br>
クロネコＤＭ便不可<br>",リッチモア毛糸（ハマナカ毛糸）コウリン　KORINイタリア製：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンリッチモア毛糸（ハマナカ毛糸）コウリン　KORINイタリア製,スーパーキッドモヘア使用を使用したまろやかな高級ラメ糸。リッチモア毛糸（ハマナカ毛糸）コウリン　KORINイタリア製[rn]
17-133279,http://tshop.r10s.jp/ky-kanariya/cabinet/hamanaka/img61754472.jpg?fitin=700:700,480.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,リッチモア毛糸（ハマナカ毛糸）アミーゴ在庫限り,陽気なラテンアメリカのカラフルテイスト　綿生地糸　,重さ40ｇ<br>糸長：40ｍ<br>太さ：棒針　12～7号<br>素材：綿　100％<br>その他：メリヤス編標準ゲージ12目/18段<br>婦人セーター（半袖）9～10玉　、婦人ベスト　約8～9玉<br><br>4色の綿糸でボーダー柄の生地を編みたて縦方向にスリットさせたテープヤーン。陽気なラテンアメリカのカラフルテイストが面白い。<br><br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。<br><br>クロネコＤＭ便不可,リッチモア毛糸（ハマナカ毛糸）アミーゴ在庫限り：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンリッチモア毛糸（ハマナカ毛糸）アミーゴ在庫限り,陽気なラテンアメリカのカラフルテイスト　綿生地糸　。リッチモア毛糸（ハマナカ毛糸）アミーゴ在庫限り[rn]
17-133280,http://tshop.r10s.jp/ky-kanariya/cabinet/hamanaka/img61754465.jpg?fitin=700:700,468.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,リッチモア毛糸（ハマナカ毛糸）リンド,エレガントイメージのストレートヤーン,重さ：30ｇ<br>糸長：100ｍ<br>太さ：棒針　5～7号、かぎ針　5/0～7/0号<br>素材：ナイロン　44％、綿　28％、レーヨン　28％<br>その他：メリヤス編標準ゲージ24目/34段<br>婦人セーター（半袖）7～8玉　、婦人ベスト　約6～7玉<br><br>ナイロンリリヤーンを綿とレーヨンの切り替えリリヤーンで包み込んだ二重構造。内側のナイロンで膨らみ感と軽やかさを、外側の綿レーヨンでダル＆ブライトな表情を。エレガントイメージのストレートヤーン。<br><br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。,リッチモア毛糸（ハマナカ毛糸）リンド：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンリッチモア毛糸（ハマナカ毛糸）リンド,エレガントイメージのストレートヤーン。リッチモア毛糸（ハマナカ毛糸）リンド[rn]
17-133281,http://tshop.r10s.jp/ky-kanariya/cabinet/02385600/03410892/img61763262.jpg?fitin=700:700,612.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,リッチモア毛糸（ハマナカ毛糸）スピンゴールド＜テープ＞,世界最高級の超長綿素材をリリヤーン編みした糸,重さ：30ｇ<br>糸長：125ｍ<br>太さ：棒針　4～6号<br>素材：綿　100％<br>その他：メリヤス編標準ゲージ26目/38段<br>婦人セーター（半袖）6～7玉　、婦人ベスト　約5～6玉<br>糸の特徴：超長綿スビンゴールドを100％使用。リリヤーン編みした最高級のテープヤーン。光沢と独特のぬめり感が驚き。透明なパステルカラーから華麗なディープカラーまでワイドなカラーレンジ。<br><br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます,リッチモア毛糸（ハマナカ毛糸）スピンゴールド＜テープ＞：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンリッチモア毛糸（ハマナカ毛糸）スピンゴールド＜テープ＞,世界最高級の超長綿素材をリリヤーン編みした糸。リッチモア毛糸（ハマナカ毛糸）スピンゴールド＜テープ＞[rn]
17-133282,http://tshop.r10s.jp/ky-kanariya/cabinet/paki/imgrc0067878724.jpg?fitin=700:700,2483.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,パーキーエクトリー超ロング段染アルチザン,,"<TABLE border=""0"">    <TR>      <TD><IMG src=""http://image.rakuten.co.jp/ky-kanariya/cabinet/paki/imgrc0067807875.jpg"" width=""153"" height=""198"" border=""0""></TD>      <TD><FONT color=""#660000"">　手づくりニット界のカリスマデザイナー<BR>      　”若月キミコ”の選りすぐりの毛糸です。♪</FONT></TD> </TR></TABLE><TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">毛73％<br>（スーパーキッドモヘア19％　ウール54％）<br>絹20％　ナイロン5％<br>ポリエステル2％</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">100g王巻（約270m）</FONT></TD>    </TR>    </TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",パーキーエクトリー超ロング段染アルチザン：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパーキーエクトリー超ロング段染アルチザン,パーキーエクトリー超ロング段染アルチザン[rn]
17-133283,http://tshop.r10s.jp/ky-kanariya/cabinet/paki/imgrc0068044288.jpg?fitin=700:700,569.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,パーキー　エクトリーフリースモール,,"<TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">ナイロン100%</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">30ｇ玉巻（約150m）</FONT></TD>    </TR>    </TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",パーキー　エクトリーフリースモール：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパーキー　エクトリーフリースモール,パーキー　エクトリーフリースモール[rn]
17-133284,http://tshop.r10s.jp/ky-kanariya/cabinet/paki/imgrc0068201322.jpg?fitin=700:700,928.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,パーキー　エクトリープラチナヤーン細,,"<TABLE border=""0"">    <TR>      <TD><IMG src=""http://image.rakuten.co.jp/ky-kanariya/cabinet/paki/imgrc0067807875.jpg"" width=""76"" height=""99"" border=""0""></TD>      <TD><FONT color=""#660000"">　手づくりニット界のカリスマデザイナー<BR>     　 ”若月キミコ”の選りすぐりの毛糸です。♪</FONT></TD></TR></TABLE><TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">レーヨン79%・ポリエステル21％</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">40ｇ玉巻（約465ｍ）</FONT></TD>    </TR>    </TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",パーキー　エクトリープラチナヤーン細：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパーキー　エクトリープラチナヤーン細,パーキー　エクトリープラチナヤーン細[rn]
17-133285,http://tshop.r10s.jp/ky-kanariya/cabinet/paki/imgrc0067809677.jpg?fitin=700:700,569.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,パーキー　エクトリーＥグラッチェ,,"<TABLE border=""0"">    <TR>      <TD><IMG src=""http://image.rakuten.co.jp/ky-kanariya/cabinet/paki/imgrc0067807875.jpg"" width=""153"" height=""198"" border=""0""></TD>      <TD><FONT color=""#660000"">　手づくりニット界のカリスマデザイナー<BR>      　”若月キミコ”の選りすぐりの毛糸です。♪</FONT></TD> </TR></TABLE><TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">コットン42％　レーヨン32％<br>ナイロン19％　ポリエステル7％</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">30g王巻（約123m）</FONT></TD>    </TR>    </TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",パーキー　エクトリーＥグラッチェ：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパーキー　エクトリーＥグラッチェ,パーキー　エクトリーＥグラッチェ[rn]
17-133286,http://tshop.r10s.jp/ky-kanariya/cabinet/paki/imgrc0068196233.jpg?fitin=700:700,947.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,【楽天ランキング入賞商品】極細毛糸 パーキー　エクトリー クリスタルシルク,,"【楽天ランキング3位入賞商品】<br>
2017年1月5日極細毛糸ランキング３位受賞しました。<br>
ありがとうございます。<br>
<img src=""http://image.rakuten.co.jp/ky-kanariya/cabinet/02991264/imgrc0071432754.jpg""><br> 
<BR> <TABLE border=""0"">    <TR>      <TD><IMG src=""http://image.rakuten.co.jp/ky-kanariya/cabinet/paki/imgrc0067807875.jpg"" width=""76"" height=""99"" border=""0""></TD>      <TD><FONT color=""#660000"">　手づくりニット界のカリスマデザイナー<BR>     　 ”若月キミコ”の選りすぐりの毛糸です。♪</FONT></TD></TR></TABLE><TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">絹20%・レーヨン80%</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">40gコーン巻（約880m）</FONT></TD>    </TR>    </TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",【楽天ランキング入賞商品】極細毛糸 パーキー　エクトリー クリスタルシルク：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン【楽天ランキング入賞商品】極細毛糸 パーキー　エクトリー クリスタルシルク,【楽天ランキング入賞商品】極細毛糸 パーキー　エクトリー クリスタルシルク[rn]
17-133287,http://tshop.r10s.jp/ky-kanariya/cabinet/paki/imgrc0067879579.jpg?fitin=700:700,691.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,パーキー　エクトリー超高級糸モヘアスペシャル細細,極細のモヘアです。添え糸としても高級感が増し素敵です,素材：毛（ベビーキッドモヘヤ）　74％、 ナイロン　26％<BR>長さ：約480m、約20ｇ　玉まき<BR>ご注意：　色番003は完売です。モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。,パーキー　エクトリー超高級糸モヘアスペシャル細細：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパーキー　エクトリー超高級糸モヘアスペシャル細細,極細のモヘアです。添え糸としても高級感が増し素敵です。パーキー　エクトリー超高級糸モヘアスペシャル細細[rn]
17-133288,http://tshop.r10s.jp/ky-kanariya/cabinet/paki/imgrc0067890599.jpg?fitin=700:700,505.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,パーキー　エクトリースパークモヘア,,"<TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">毛55％・ナイロン45％</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">30g玉巻（約258ｍ）<br></FONT></TD>    </TR>    </TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",パーキー　エクトリースパークモヘア：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパーキー　エクトリースパークモヘア,パーキー　エクトリースパークモヘア[rn]
