17-26199,http://tshop.r10s.jp/kys/cabinet/ts-31/t010005396672.jpg?fitin=700:700,125828.8000,,花・ガーデン・DIY > DIY・工具 > その他,運賃見積り 直送品 KSK ハンドリフト HL300,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●京町産業車輌（株）<br>
<br>
【特長】<br>
●リンクチェーンを使用し、メンテナンスも簡単です。<br>
<br>
【用途】<br>
●荷物の上げ下げや運搬に。<br>
<br>
【仕様】<br>
●均等荷重(kg):300<br>
●全高(mm):1650<br>
●荷重中心距離(mm):250<br>
●フォーク寸法(mm)スライド外幅:90～580<br>
●フォーク高さ(mm):90～1200<br>
●ハンドル回転数(回):53<br>
●ストローク(mm):1110<br>
●車輪径(mm)前輪/後輪:90（ウレタン）/125（ゴム）<br>
●フォーク寸法(mm)幅×長さ:40×500<br>
●手動走行式<br>
●昇降方式:手巻式<br>
●前車輪:固定キャスター2個、後車輪:自在ストッパー付キャスター2個<br>
<br>
【注意】<br>
●車上渡しになります。重量物ですのでご注意ください。<br>
<br>
【質量】<br>
●70KG</p>",運賃見積り 直送品 KSK ハンドリフト HL300：KanamonoYaSan  ＫＹＳ,工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYS運賃見積り 直送品 KSK ハンドリフト HL300,運賃見積り 直送品 KSK ハンドリフト HL300[rn]
17-26249,http://tshop.r10s.jp/kys/cabinet/ts-14/t010002969590.jpg?fitin=700:700,88361.6000,,花・ガーデン・DIY > DIY・工具 > その他,運賃見積り 直送品 TS ステンレスローラコンベヤ φ25XW100XP30X2000L LSU25-100320,【代表画像 色/サイズ等注意】,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●（株）寺内製作所<br>
<br>
【特長】<br>
●ベアリングから、割ピンに至るまでオールステンレスです。<br>
<br>
<br>
<br>
【仕様】<br>
●ローラー径(mm):25<br>
●肉厚(mm):1.0<br>
●ローラー幅(W)(mm):100<br>
●ピッチ(mm):30<br>
●機長(mm):2000<br>
●ローラー耐荷重(kg/本):35<br>
●ローラー径:25mm<br>
●肉厚:1.0mm<br>
●ピッチ:30mm<br>
●ローラー耐荷重:35kg/本<br>
<br>
【材質・仕上げ】<br>
●フレーム:ステンレス（SUS304）<br>
●ローラー:ステンレス（SUS304）<br>
<br>
【質量】<br>
●15KG</p>",運賃見積り 直送品 TS ステンレスローラコンベヤ φ25XW100XP30X2000L LSU25-100320：KanamonoYaSan  ＫＹＳ,工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYS運賃見積り 直送品 TS ステンレスローラコンベヤ φ25XW100XP30X2000L LSU25-100320,【代表画像 色/サイズ等注意】。運賃見積り 直送品 TS ステンレスローラコンベヤ φ25XW100XP30X2000L LSU25-100320[rn]
17-26250,http://tshop.r10s.jp/kys/cabinet/ts-27/t010005098489.jpg?fitin=700:700,1610.4000,,花・ガーデン・DIY > DIY・工具 > その他,イースタン 樹脂製デザインキャスターΦ75自在式(ブルー) CAR JB-PBU75,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●イースタン精工（株）<br>
<br>
【特長】<br>
●デザイン性を考慮し、ビジュアルを重視した樹脂製キャスターです。<br>
<br>
【用途】<br>
●室内用品のワゴン台車や家具等<br>
●オフィス用品<br>
<br>
【仕様】<br>
●許容荷重(kgf):30.6<br>
●色:ブルー<br>
●車輪径D(mm):75<br>
●車輪幅(mm):23<br>
●取付高H(mm):100<br>
●取付座A×B(mm):70×70<br>
●取付ピッチX×Y(mm):55×55<br>
●取付穴径P(mm):8.3<br>
●許容荷重(daＮ):30<br>
●プレート式<br>
●自在式<br>
●ベアリング入り<br>
<br>
【材質・仕上げ】<br>
●金具：ダイカスト<br>
●車輪：ポリカーボネートホイール、ウレタン車<br>
<br>
【質量】<br>
●312G</p>",イースタン 樹脂製デザインキャスターΦ75自在式(ブルー) CAR JB-PBU75：KanamonoYaSan  ＫＹＳ,工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYSイースタン 樹脂製デザインキャスターΦ75自在式(ブルー) CAR JB-PBU75,イースタン 樹脂製デザインキャスターΦ75自在式(ブルー) CAR JB-PBU75[rn]
17-26251,http://tshop.r10s.jp/kg-maido/cabinet/ts-38/t010005808817.jpg?fitin=700:700,10367.2000,,花・ガーデン・DIY > DIY・工具 > その他,KNIPEX 絶縁1000Vケーブルカッター 200mm 9516-200,,"<p><img src=""http://image.rakuten.co.jp/kg-maido/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●ＫＮＩＰＥＸ社<br>
<br>
【特長】<br>
●欧州規格EN60900適合品で1000V絶縁仕様です。<br>
●銅およびアルミの単線・複合線を切断することができます。<br>
●ブレードは精密に研磨され、焼き入れ処理が施されています。<br>
●ケーブルを変形させず、綺麗に切断することができます。<br>
●片手で簡単に作業できます。<br>
●イニシャルカット（先端側の刃を用いる予備切断）とファイナルカット（根元側の刃を用いる最終切断）を順に行うことで、直径２０ｍｍまでのケーブルを切断することができます。<br>
●スクリュージョイントは調節可能です。<br>
●鍛造ボディーにより大変頑丈です。<br>
<br>
<br>
<br>
【仕様】<br>
●全長(mm):200<br>
●切断能力:単線20mm/より線70mm[[の2乗]]/AWG 2/0<br>
<br>
【注意】<br>
●スチールワイヤーの切断はできません。<br>
<br>
【質量】<br>
●340G</p>",KNIPEX 絶縁1000Vケーブルカッター 200mm 9516-200：工具屋「まいど！」,工具電動工具作業工具充電工具大工松下日立ボッシュレーザー金物充電工具測定LANタスコジャパン電材KNIPEX 絶縁1000Vケーブルカッター 200mm 9516-200,KNIPEX 絶縁1000Vケーブルカッター 200mm 9516-200[rn]
17-26252,http://tshop.r10s.jp/kg-maido/cabinet/fku09/4954458300679.jpg?fitin=700:700,116.8000,,花・ガーデン・DIY > DIY・工具 > その他,TRAD ディスクペーパー(アランダム) #120,,"<p><img src=""http://image.rakuten.co.jp/kg-maido/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー名】<br>
●三共コーポレーション<br>
<br>
【特長】<br>
●金属用ディスクペーパー（ディスクグラインダー用）。コストパフォーマンスに優れた金属用ディスクペーパー◇注意：画像はサイズ違いのものになります<br>
<br>
【仕様】<br>
●外径/φ100mm<br>
●穴径/φ15mm<br>
●粒度/#120<br>
●砥材/A<br>
●最高使用回転数/13000rpm</p>",TRAD ディスクペーパー(アランダム) #120：工具屋「まいど！」,工具電動工具作業工具充電工具大工松下日立ボッシュレーザー金物充電工具測定LANタスコジャパン電材TRAD ディスクペーパー(アランダム) #120,TRAD ディスクペーパー(アランダム) #120[rn]
17-26253,http://tshop.r10s.jp/kg-maido/cabinet/fku09/4995770004012.jpg?fitin=700:700,853.6000,,花・ガーデン・DIY > DIY・工具 > その他,GA グリースガン用フレキノズル A401,,"<p><img src=""http://image.rakuten.co.jp/kg-maido/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー名】<br>
●グリーンエース<br>
<br>
【特長】<br>
●ノズル。<br>
<br>
【仕様】<br>
●長さ/300m</p>",GA グリースガン用フレキノズル A401：工具屋「まいど！」,工具電動工具作業工具充電工具大工松下日立ボッシュレーザー金物充電工具測定LANタスコジャパン電材GA グリースガン用フレキノズル A401,GA グリースガン用フレキノズル A401[rn]
17-26254,http://tshop.r10s.jp/kg-maido/cabinet/fku09/4954458300723.jpg?fitin=700:700,6325.6000,,花・ガーデン・DIY > DIY・工具 > その他,TRAD ツールチェスト 2段 TRD-TC2,,"<p><img src=""http://image.rakuten.co.jp/kg-maido/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー名】<br>
●三共コーポレーション<br>
<br>
【特長】<br>
●スチールと樹脂でできたNEWタイプのツールボックス!ホームツールの整理整頓に最適 <br>
<br>
【仕様】<br>
●本体サイズ/W497×D253×H230mm<br>
●引き出しサイズ/W382×D200×H38mm <br>
●材質/強化プラスチック、スチール <br>
●重量/約4.39kg <br>
●備考/2段、引き出し1個付き、中皿付き</p>",TRAD ツールチェスト 2段 TRD-TC2：工具屋「まいど！」,工具電動工具作業工具充電工具大工松下日立ボッシュレーザー金物充電工具測定LANタスコジャパン電材TRAD ツールチェスト 2段 TRD-TC2,TRAD ツールチェスト 2段 TRD-TC2[rn]
17-26255,http://tshop.r10s.jp/kg-maido/cabinet/fku09/4954458296163.jpg?fitin=700:700,84.0000,,花・ガーデン・DIY > DIY・工具 > その他,TRAD スリムビット(バラ) TDB-85,,"<p><img src=""http://image.rakuten.co.jp/kg-maido/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー名】<br>
●三共コーポレーション<br>
<br>
【特長】<br>
●ネジ穴が見えやすい！インパクト対応・マグネット付<br>
<br>
【仕様】<br>
●サイズ/+2×85mm<br>
●材質/S2<br>
●備考/六角軸6.35mm角</p>",TRAD スリムビット(バラ) TDB-85：工具屋「まいど！」,工具電動工具作業工具充電工具大工松下日立ボッシュレーザー金物充電工具測定LANタスコジャパン電材TRAD スリムビット(バラ) TDB-85,TRAD スリムビット(バラ) TDB-85[rn]
17-26256,http://tshop.r10s.jp/kys/cabinet/ts-43/t010006067326.jpg?fitin=700:700,2925.6000,,花・ガーデン・DIY > DIY・工具 > その他,積水 TS型コンテナ TS-33 青 TS-33:B,【代表画像 色/サイズ等注意】,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●積水テクノ成型（株）<br>
<br>
【特長】<br>
●TS-23、TS-40と積み重ねできます｡<br>
●スタッキングタイプ<br>
●高さ違いＴＳ２３、４０、４６とも嵌合します｡<br>
<br>
<br>
<br>
【仕様】<br>
●容量(L):33<br>
●色:ブルー<br>
●外形寸法(mm)間口×奥行×高さ:628×388×185<br>
●有効内寸(mm)間口×奥行×高さ:560×320×170<br>
●適合フタ(別売):TS-02F<br>
●適用カード差し(別売):A85<br>
<br>
【材質・仕上げ】<br>
●ポリプロピレン(PP)<br>
<br>
【質量】<br>
●1.84KG</p>",積水 TS型コンテナ TS-33 青 TS-33:B：KanamonoYaSan  ＫＹＳ,工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYS積水 TS型コンテナ TS-33 青 TS-33:B,【代表画像 色/サイズ等注意】。積水 TS型コンテナ TS-33 青 TS-33:B[rn]
17-26257,http://tshop.r10s.jp/kg-maido/cabinet/fku09/4962069085298.jpg?fitin=700:700,1038.4000,,花・ガーデン・DIY > DIY・工具 > その他,長谷川刃物 アームレスラーストレート (三共) ASK-165,,"<p><img src=""http://image.rakuten.co.jp/kg-maido/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー名】<br>
●三共コーポレーション<br>
<br>
【特長】<br>
●ハードに使える定番タイプ。工芸・ DIY・ 手工芸・ オフィス・ 園芸・ 生け花使う人をサポートするユニバーサル設計<br>
<br>
【仕様】<br>
●全長/165mm<br>
●重量/60g<br>
●材質/ブレード/ハガネ(SK-5)、ハンドル/ポリプロピレン、キャップ/ポリプロピレン</p>",長谷川刃物 アームレスラーストレート (三共) ASK-165：工具屋「まいど！」,工具電動工具作業工具充電工具大工松下日立ボッシュレーザー金物充電工具測定LANタスコジャパン電材長谷川刃物 アームレスラーストレート (三共) ASK-165,長谷川刃物 アームレスラーストレート (三共) ASK-165[rn]
17-26258,http://tshop.r10s.jp/kg-maido/cabinet/fku09/4954458330997.jpg?fitin=700:700,395.2000,,花・ガーデン・DIY > DIY・工具 > その他,H&H 中間ソケット #088,,"<p><img src=""http://image.rakuten.co.jp/kg-maido/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー名】<br>
●三共コーポレーション<br>
<br>
【特長】<br>
●エアーホース用。ホース・機器の接続、ホースとホースの接続、またエアー分配時のホースとホースの接続に<br>
<br>
【仕様】<br>
●適用/Rc3/8×Rc3/8</p>",H&amp;H 中間ソケット #088：工具屋「まいど！」,工具電動工具作業工具充電工具大工松下日立ボッシュレーザー金物充電工具測定LANタスコジャパン電材H&amp;H 中間ソケット #088,H&amp;H 中間ソケット #088[rn]
17-26259,http://tshop.r10s.jp/kg-maido/cabinet/fku09/4954458261710.jpg?fitin=700:700,1155.2000,,花・ガーデン・DIY > DIY・工具 > その他,H&H BIMセーバーソー 鉄工・PC RB-5,,"<p><img src=""http://image.rakuten.co.jp/kg-maido/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー名】<br>
●三共コーポレーション<br>
<br>
【特長】<br>
●ブレード本体の柔らかい素材と刃先のかた素材を電着している為、折れにくい！ボッシュ・マキタ・日立・リョービ<br>
<br>
【仕様】<br>
●切断能力/口径115mm以下(軟鋼材)、口径115mm以下(アルミ)、口径115mm以下(ステン)、口径115mm以下塩ビパイプ<br>
●サイズ/200mm<br>
●山数/18<br>
●材質/BIM材</p>",H&amp;H BIMセーバーソー 鉄工・PC RB-5：工具屋「まいど！」,工具電動工具作業工具充電工具大工松下日立ボッシュレーザー金物充電工具測定LANタスコジャパン電材H&amp;H BIMセーバーソー 鉄工・PC RB-5,H&amp;H BIMセーバーソー 鉄工・PC RB-5[rn]
17-26260,http://tshop.r10s.jp/kg-maido/cabinet/fku09/4954458385881.jpg?fitin=700:700,500.0000,,花・ガーデン・DIY > DIY・工具 > その他,H&H ワンタッチ.Yユニオン #523,,"<p><img src=""http://image.rakuten.co.jp/kg-maido/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー名】<br>
●三共コーポレーション<br>
<br>
【特長】<br>
●工具不要のワンタッチ継手！ウレタンチューブ゛配管用<br>
<br>
【仕様】<br>
●使用圧力/0～1MPa<br>
●適用/外径10mmチューブ用</p>",H&amp;H ワンタッチ.Yユニオン #523：工具屋「まいど！」,工具電動工具作業工具充電工具大工松下日立ボッシュレーザー金物充電工具測定LANタスコジャパン電材H&amp;H ワンタッチ.Yユニオン #523,H&amp;H ワンタッチ.Yユニオン #523[rn]
17-26261,http://tshop.r10s.jp/kg-maido/cabinet/fku09/4954458330225.jpg?fitin=700:700,155.2000,,花・ガーデン・DIY > DIY・工具 > その他,H&H 中間ニップル(両ストレート) #052,,"<p><img src=""http://image.rakuten.co.jp/kg-maido/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー名】<br>
●三共コーポレーション<br>
<br>
【特長】<br>
●エアーホース用。ホース・機器の接続、ホースとホースの接続、またエアー分配時のホースとホースの接続に<br>
<br>
【仕様】<br>
●適用/G1/4×G1/4</p>",H&amp;H 中間ニップル(両ストレート) #052：工具屋「まいど！」,工具電動工具作業工具充電工具大工松下日立ボッシュレーザー金物充電工具測定LANタスコジャパン電材H&amp;H 中間ニップル(両ストレート) #052,H&amp;H 中間ニップル(両ストレート) #052[rn]
17-26262,http://tshop.r10s.jp/kg-maido/cabinet/fku09/4954458385904.jpg?fitin=700:700,378.4000,,花・ガーデン・DIY > DIY・工具 > その他,H&H ワンタッチ.ストレートユニオン #528,,"<p><img src=""http://image.rakuten.co.jp/kg-maido/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー名】<br>
●三共コーポレーション<br>
<br>
【特長】<br>
●工具不要のワンタッチ継手！ウレタンチューブ゛配管用<br>
<br>
【仕様】<br>
●使用圧力/0～1MPa<br>
●適用/外径10mmチューブ用</p>",H&amp;H ワンタッチ.ストレートユニオン #528：工具屋「まいど！」,工具電動工具作業工具充電工具大工松下日立ボッシュレーザー金物充電工具測定LANタスコジャパン電材H&amp;H ワンタッチ.ストレートユニオン #528,H&amp;H ワンタッチ.ストレートユニオン #528[rn]
17-26263,http://tshop.r10s.jp/plowshop/cabinet/kioritz/nkcg95ald-a.jpg?fitin=700:700,335200.0000,,花・ガーデン・DIY > DIY・工具 > その他,共立 運搬車 NKCG95ALD-A【リフトアップ機能】【エンジン式】,作業能力350kgの働き者,"■作業能力350kgの働き者<br>
<br>
●L型サイドクラッチで女性でも楽な旋回が可能です。<br>
●イコライザ転輪採用で安定した走行が可能です。<br>
●緊急停止スイッチつきで安心・安全。<br>
<br><br>
【製品仕様】
<table width=""100%"" border=""1"" cellpadding=""4"" cellspacing=""0"">
<tr>
  <th>寸法（長さ×幅×高さ）（mm）</th>
  <td>1760×680×880</td>
</tr>
<tr>
  <th>本体乾燥質量(kg)</th>
  <td>220</td>
</tr>
<tr>
  <th>最大作業能力(kg)</th>
  <td>350（リフト300）</td>
</tr>
<tr>
  <th>荷台長さ×幅（mm)</th>
  <td>950～1110ｘ520～900</td>
</tr>
<tr>
  <th>エンジン型式</th>
  <td>GB131LN</td>
</tr>
<tr>
  <th>エンジン最大出力（kW)</th>
  <td>3</td>
</tr>
<tr>
  <th>ダンプ形式</th>
  <td>油圧リフトorダンプ</td>
</tr>
<tr>
  <th>走行部</th>
  <td>クローラ</td>
</tr>
<tr>
  <th>前進走行速度(km/h)</th>
  <td>1.5、4.0</td>
</tr>
<tr>
  <th>後進走行速度（km/h）</th>
  <td>1.5、3.2</td>
</tr>
</table>
<!-- 大型貨物 アイコン-->
<p><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/kamotu-icon.gif""></p>
<!--//大型貨物 アイコン-->

<!--大型貨物配送表記-->
<p><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/jyuryo-80over.jpg"" width=""100%""></p>
<!--//大型貨物配送表記-->

<!-- 安心配達説明サービス -->
<p><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/banner/201509josetsuki_yoya.jpg""  width=""100%""><br /></p>
<center>

<img src=""http://image.rakuten.co.jp/honda-walk/cabinet/snow/2015jyo-yoyaku-top-b.jpg"" width=""90%"" border=""0"">
</center>
<!-- 安心配達説明サービス// -->",共立 運搬車 NKCG95ALD-A【リフトアップ機能】【エンジン式】：ＰＬＯＷ（プラウ）,薪割り機発電機耕運機芝刈り機草刈機スノーピークアウトドアスチールチェンソー除雪機ホンダヤマハユキオスアストロＰＬＯＷプラウクボタ精米機運搬車刈払機共立 運搬車 NKCG95ALD-A【リフトアップ機能】【エンジン式】,作業能力350kgの働き者。共立 運搬車 NKCG95ALD-A【リフトアップ機能】【エンジン式】[rn]
17-26264,http://tshop.r10s.jp/plowshop/cabinet/kioritz/kcgj800a.jpg?fitin=700:700,150400.0000,,花・ガーデン・DIY > DIY・工具 > その他,共立 運搬車 KCGJ800A【エンジン式】,コンパクトで簡単操作、誰でも使える普及品,"■コンパクトで簡単操作、誰でも使える普及品。<br>
<br>
●手元変速で楽な姿勢で作業ができます。<br>
●緊急停止スイッチつきで安心・安全。<br>
<br><br>
【製品仕様】
<table width=""100%"" border=""1"" cellpadding=""4"" cellspacing=""0"">
<tr>
  <th>寸法（長さ×幅×高さ）（mm）</th>
  <td>1460×630×900</td>
</tr>
<tr>
  <th>本体乾燥質量(kg)</th>
  <td>110</td>
</tr>
<tr>
  <th>最大作業能力(kg)</th>
  <td>200</td>
</tr>
<tr>
  <th>荷台長さ×幅（mm)</th>
  <td>900～1250ｘ520～820</td>
</tr>
<tr>
  <th>エンジン型式</th>
  <td>GB101LN</td>
</tr>
<tr>
  <th>エンジン最大出力（kW)</th>
  <td>2.2</td>
</tr>
<tr>
  <th>ダンプ形式</th>
  <td>固定式</td>
</tr>
<tr>
  <th>走行部</th>
  <td>クローラ</td>
</tr>
<tr>
  <th>前進走行速度(km/h)</th>
  <td>3.1</td>
</tr>
<tr>
  <th>後進走行速度（km/h）</th>
  <td>1.5</td>
</tr>
</table>
<!-- 大型貨物 アイコン-->
<p><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/kamotu-icon.gif""></p>
<!--//大型貨物 アイコン-->

<!--大型貨物配送表記-->
<p><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/jyuryo-80over.jpg"" width=""100%""></p>
<!--//大型貨物配送表記-->

<!-- 安心配達説明サービス -->
<p><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/banner/201509josetsuki_yoya.jpg""  width=""100%""><br /></p>
<center>

<img src=""http://image.rakuten.co.jp/honda-walk/cabinet/snow/2015jyo-yoyaku-top-b.jpg"" width=""90%"" border=""0"">
</center>
<!-- 安心配達説明サービス// -->",共立 運搬車 KCGJ800A【エンジン式】：ＰＬＯＷ（プラウ）,薪割り機発電機耕運機芝刈り機草刈機スノーピークアウトドアスチールチェンソー除雪機ホンダヤマハユキオスアストロＰＬＯＷプラウクボタ精米機運搬車刈払機共立 運搬車 KCGJ800A【エンジン式】,コンパクトで簡単操作、誰でも使える普及品。共立 運搬車 KCGJ800A【エンジン式】[rn]
17-26265,http://tshop.r10s.jp/plowshop/cabinet/kioritz/nkcg95ad-ja.jpg?fitin=700:700,303200.0000,,花・ガーデン・DIY > DIY・工具 > その他,共立 運搬車 NKCG95AD-JA【ダンプ機能】【エンジン式】,作業能力350kgの働き者,"■作業能力350kgの働き者<br>
<br>
●L型サイドクラッチで女性でも楽な旋回が可能です。<br>
●イコライザ転輪採用で安定した走行が可能です。<br>
●緊急停止スイッチつきで安心・安全。<br>
<br><br>
【製品仕様】
<table width=""100%"" border=""1"" cellpadding=""4"" cellspacing=""0"">
<tr>
  <th>寸法（長さ×幅×高さ）（mm）</th>
  <td>1830×825×880</td>
</tr>
<tr>
  <th>本体乾燥質量(kg)</th>
  <td>230</td>
</tr>
<tr>
  <th>最大作業能力(kg)</th>
  <td>350</td>
</tr>
<tr>
  <th>荷台長さ×幅（mm)</th>
  <td>1050ｘ745</td>
</tr>
<tr>
  <th>エンジン型式</th>
  <td>GB131LN</td>
</tr>
<tr>
  <th>エンジン最大出力（kW)</th>
  <td>3</td>
</tr>
<tr>
  <th>ダンプ形式</th>
  <td>油圧ダンプ</td>
</tr>
<tr>
  <th>走行部</th>
  <td>クローラ</td>
</tr>
<tr>
  <th>前進走行速度(km/h)</th>
  <td>1.5、4.0</td>
</tr>
<tr>
  <th>後進走行速度（km/h）</th>
  <td>1.5、3.2</td>
</tr>
</table>
<!-- 大型貨物 アイコン-->
<p><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/kamotu-icon.gif""></p>
<!--//大型貨物 アイコン-->

<!--大型貨物配送表記-->
<p><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/jyuryo-80over.jpg"" width=""100%""></p>
<!--//大型貨物配送表記-->

<!-- 安心配達説明サービス -->
<p><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/banner/201509josetsuki_yoya.jpg""  width=""100%""><br /></p>
<center>

<img src=""http://image.rakuten.co.jp/honda-walk/cabinet/snow/2015jyo-yoyaku-top-b.jpg"" width=""90%"" border=""0"">
</center>
<!-- 安心配達説明サービス// -->",共立 運搬車 NKCG95AD-JA【ダンプ機能】【エンジン式】：ＰＬＯＷ（プラウ）,薪割り機発電機耕運機芝刈り機草刈機スノーピークアウトドアスチールチェンソー除雪機ホンダヤマハユキオスアストロＰＬＯＷプラウクボタ精米機運搬車刈払機共立 運搬車 NKCG95AD-JA【ダンプ機能】【エンジン式】,作業能力350kgの働き者。共立 運搬車 NKCG95AD-JA【ダンプ機能】【エンジン式】[rn]
17-26266,http://tshop.r10s.jp/plowshop/cabinet/kioritz/kcg954a.jpg?fitin=700:700,234400.0000,,花・ガーデン・DIY > DIY・工具 > その他,共立 運搬車 KCG954A【エンジン式】,作業能力350kgの働き者,"■作業能力350kgの働き者<br>
<br>
●L型サイドクラッチで女性でも楽な旋回が可能です。<br>
●イコライザ転輪採用で安定した走行が可能です。<br>
●緊急停止スイッチつきで安心・安全。<br>
<br><br>
【製品仕様】
<table width=""100%"" border=""1"" cellpadding=""4"" cellspacing=""0"">
<tr>
  <th>寸法（長さ×幅×高さ）（mm）</th>
  <td>1720×680×880</td>
</tr>
<tr>
  <th>本体乾燥質量(kg)</th>
  <td>175</td>
</tr>
<tr>
  <th>最大作業能力(kg)</th>
  <td>350</td>
</tr>
<tr>
  <th>荷台長さ×幅（mm)</th>
  <td>950～1110ｘ520～900</td>
</tr>
<tr>
  <th>エンジン型式</th>
  <td>GB131LN</td>
</tr>
<tr>
  <th>エンジン最大出力（kW)</th>
  <td>3</td>
</tr>
<tr>
  <th>ダンプ形式</th>
  <td>手動ダンプ</td>
</tr>
<tr>
  <th>走行部</th>
  <td>クローラ</td>
</tr>
<tr>
  <th>前進走行速度(km/h)</th>
  <td>1.5、4.0</td>
</tr>
<tr>
  <th>後進走行速度（km/h）</th>
  <td>1.5、3.2</td>
</tr>
</table>
<!-- 大型貨物 アイコン-->
<p><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/kamotu-icon.gif""></p>
<!--//大型貨物 アイコン-->

<!--大型貨物配送表記-->
<p><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/jyuryo-80over.jpg"" width=""100%""></p>
<!--//大型貨物配送表記-->

<!-- 安心配達説明サービス -->
<p><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/banner/201509josetsuki_yoya.jpg""  width=""100%""><br /></p>
<center>

<img src=""http://image.rakuten.co.jp/honda-walk/cabinet/snow/2015jyo-yoyaku-top-b.jpg"" width=""90%"" border=""0"">
</center>
<!-- 安心配達説明サービス// -->",共立 運搬車 KCG954A【エンジン式】：ＰＬＯＷ（プラウ）,薪割り機発電機耕運機芝刈り機草刈機スノーピークアウトドアスチールチェンソー除雪機ホンダヤマハユキオスアストロＰＬＯＷプラウクボタ精米機運搬車刈払機共立 運搬車 KCG954A【エンジン式】,作業能力350kgの働き者。共立 運搬車 KCG954A【エンジン式】[rn]
