17-100499,http://tshop.r10s.jp/voice/cabinet/stamp/stamp2/kh-rhs_1.jpg?fitin=700:700,481.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,消しゴムはんこ　ラクほりセット　シード,　【つまようじで彫る？！】,"つまようじで彫れる新素材の消しゴム<br />
  大きさ：W105×H15×D157<br>
<br>
＜セット内容＞<br>
1.けしごむ（オレンジの香り付き）<br>
2.掘りクズのお掃除ねりけし<br>
3.説明書<br>
4.トレーシングペーパー<br>
5.スタンプ用特製ヘラ＆つまようじ",消しゴムはんこ　ラクほりセット　シード：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨消しゴムはんこ　ラクほりセット　シード,　【つまようじで彫る？！】。消しゴムはんこ　ラクほりセット　シード[rn]
17-100543,http://tshop.r10s.jp/voice/cabinet/scrap5/361-887.jpg?fitin=700:700,33.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,キャンソンミタントA4　『スティジャンブラック』　スクラップブッキングにも　※メール便指定OK,　,"水に強く、インク、マーカー、クレヨン、色鉛筆のほか、インクジェットプリンターにも使えます。もちろんスクラップブッキングにも☆
※ブラック以外は中性紙です。<br>
質感は２枚目の画像で雰囲気をご確認ください。
表面は蜂の巣状にやや凸凹がありますが、
裏面はスムース。
お好みで、どちらでもオモテとしてお使いいただけます。
<br>
自然素材でできておりますので、<br>
漉きムラや、ちいさな異物が入っている場合がございますが、<br>
なにとぞご了承ください。<br>

メール便はペーパーだけで封筒にお入れする形です。<br>
　　紙の傷みが気になる方は宅配便をお選びください<br>",キャンソンミタントA4　『スティジャンブラック』　スクラップブッキングにも　※メール便指定OK：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨キャンソンミタントA4　『スティジャンブラック』　スクラップブッキングにも　※メール便指定OK,　。キャンソンミタントA4　『スティジャンブラック』　スクラップブッキングにも　※メール便指定OK[rn]
17-100544,http://tshop.r10s.jp/voice/cabinet/scrap5/271-656.jpg?fitin=700:700,34.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,キャンソンミタントA4『ホワイト』　スクラップブッキングにも　※メール便指定OK【IAZ05】,　,"水に強く、インク、マーカー、クレヨン、色鉛筆のほか、インクジェットプリンターにも使えます。もちろんスクラップブッキングにも☆
※ブラック以外は中性紙です。<br>
質感は２枚目の画像で雰囲気をご確認ください。
表面は蜂の巣状にやや凸凹がありますが、
裏面はスムース。
お好みで、どちらでもオモテとしてお使いいただけます。
<br>
自然素材でできておりますので、<br>
漉きムラや、ちいさな異物が入っている場合がございますが、<br>
なにとぞご了承ください。<br>

メール便はペーパーだけで封筒にお入れする形です。<br>
　　紙の傷みが気になる方は宅配便をお選びください<br>",キャンソンミタントA4『ホワイト』　スクラップブッキングにも　※メール便指定OK【IAZ05】：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨キャンソンミタントA4『ホワイト』　スクラップブッキングにも　※メール便指定OK【IAZ05】,　。キャンソンミタントA4『ホワイト』　スクラップブッキングにも　※メール便指定OK【IAZ05】[rn]
17-100545,http://tshop.r10s.jp/voice/cabinet/scrap5/321-822.jpg?fitin=700:700,33.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,キャンソンミタントA4　『オーキッド』　スクラップブッキングにも　※メール便指定OK,　,"水に強く、インク、マーカー、クレヨン、色鉛筆のほか、インクジェットプリンターにも使えます。もちろんスクラップブッキングにも☆
※ブラック以外は中性紙です。<br>
質感は２枚目の画像で雰囲気をご確認ください。
表面は蜂の巣状にやや凸凹がありますが、
裏面はスムース。
お好みで、どちらでもオモテとしてお使いいただけます。
<br>
自然素材でできておりますので、<br>
漉きムラや、ちいさな異物が入っている場合がございますが、<br>
なにとぞご了承ください。<br>

メール便はペーパーだけで封筒にお入れする形です。<br>
　　紙の傷みが気になる方は宅配便をお選びください<br>",キャンソンミタントA4　『オーキッド』　スクラップブッキングにも　※メール便指定OK：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨キャンソンミタントA4　『オーキッド』　スクラップブッキングにも　※メール便指定OK,　。キャンソンミタントA4　『オーキッド』　スクラップブッキングにも　※メール便指定OK[rn]
17-100546,http://tshop.r10s.jp/voice/cabinet/bungu5/321-646p.jpg?fitin=700:700,33.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,キャンソンミタントA4　『アイボリー』　スクラップブッキングにも　※メール便指定OK,　,"水に強く、インク、マーカー、クレヨン、色鉛筆のほか、インクジェットプリンターにも使えます。もちろんスクラップブッキングにも☆
※ブラック以外は中性紙です。<br>
質感は２枚目の画像で雰囲気をご確認ください。
表面は蜂の巣状にやや凸凹がありますが、
裏面はスムース。
お好みで、どちらでもオモテとしてお使いいただけます。
<br>
自然素材でできておりますので、<br>
漉きムラや、ちいさな異物が入っている場合がございますが、<br>
なにとぞご了承ください。<br>

メール便はペーパーだけで封筒にお入れする形です。<br>
　　紙の傷みが気になる方は宅配便をお選びください<br>",キャンソンミタントA4　『アイボリー』　スクラップブッキングにも　※メール便指定OK：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨キャンソンミタントA4　『アイボリー』　スクラップブッキングにも　※メール便指定OK,　。キャンソンミタントA4　『アイボリー』　スクラップブッキングにも　※メール便指定OK[rn]
17-100547,http://tshop.r10s.jp/voice/cabinet/scrap5/321-821.jpg?fitin=700:700,33.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,キャンソンミタントA4　『ドーンピンク』　スクラップブッキングにも　※メール便指定OK,　,"水に強く、インク、マーカー、クレヨン、色鉛筆のほか、インクジェットプリンターにも使えます。もちろんスクラップブッキングにも☆
※ブラック以外は中性紙です。<br>
質感は２枚目の画像で雰囲気をご確認ください。
表面は蜂の巣状にやや凸凹がありますが、
裏面はスムース。
お好みで、どちらでもオモテとしてお使いいただけます。
<br>
自然素材でできておりますので、<br>
漉きムラや、ちいさな異物が入っている場合がございますが、<br>
なにとぞご了承ください。<br>

メール便はペーパーだけで封筒にお入れする形です。<br>
　　紙の傷みが気になる方は宅配便をお選びください<br>",キャンソンミタントA4　『ドーンピンク』　スクラップブッキングにも　※メール便指定OK：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨キャンソンミタントA4　『ドーンピンク』　スクラップブッキングにも　※メール便指定OK,　。キャンソンミタントA4　『ドーンピンク』　スクラップブッキングにも　※メール便指定OK[rn]
17-100548,http://tshop.r10s.jp/voice/cabinet/bungu5/321-686p.jpg?fitin=700:700,33.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,キャンソンミタントA4　『カドミウムイエローディープ』　スクラップブッキングにも　※メール便指定OK,　,"水に強く、インク、マーカー、クレヨン、色鉛筆のほか、インクジェットプリンターにも使えます。もちろんスクラップブッキングにも☆
※ブラック以外は中性紙です。<br>
質感は２枚目の画像で雰囲気をご確認ください。
表面は蜂の巣状にやや凸凹がありますが、
裏面はスムース。
お好みで、どちらでもオモテとしてお使いいただけます。
<br>
自然素材でできておりますので、<br>
漉きムラや、ちいさな異物が入っている場合がございますが、<br>
なにとぞご了承ください。<br>

メール便はペーパーだけで封筒にお入れする形です。<br>
　　紙の傷みが気になる方は宅配便をお選びください<br>",キャンソンミタントA4　『カドミウムイエローディープ』　スクラップブッキングにも　※メール便指定OK：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨キャンソンミタントA4　『カドミウムイエローディープ』　スクラップブッキングにも　※メール便指定OK,　。キャンソンミタントA4　『カドミウムイエローディープ』　スクラップブッキングにも　※メール便指定OK[rn]
17-100549,http://tshop.r10s.jp/voice/cabinet/scrap5/321-847.jpg?fitin=700:700,33.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,キャンソンミタントA4　『ヘンプ』　スクラップブッキングにも　※メール便指定OK,　,"水に強く、インク、マーカー、クレヨン、色鉛筆のほか、インクジェットプリンターにも使えます。もちろんスクラップブッキングにも☆
※ブラック以外は中性紙です。<br>
質感は２枚目の画像で雰囲気をご確認ください。
表面は蜂の巣状にやや凸凹がありますが、
裏面はスムース。
お好みで、どちらでもオモテとしてお使いいただけます。
<br>
自然素材でできておりますので、<br>
漉きムラや、ちいさな異物が入っている場合がございますが、<br>
なにとぞご了承ください。<br>

メール便はペーパーだけで封筒にお入れする形です。<br>
　　紙の傷みが気になる方は宅配便をお選びください<br>",キャンソンミタントA4　『ヘンプ』　スクラップブッキングにも　※メール便指定OK：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨キャンソンミタントA4　『ヘンプ』　スクラップブッキングにも　※メール便指定OK,　。キャンソンミタントA4　『ヘンプ』　スクラップブッキングにも　※メール便指定OK[rn]
17-100550,http://tshop.r10s.jp/voice/cabinet/bungu5/321-658p.jpg?fitin=700:700,33.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,キャンソンミタントA4　『パール』　スクラップブッキングにも　※メール便指定OK,　,"水に強く、インク、マーカー、クレヨン、色鉛筆のほか、インクジェットプリンターにも使えます。もちろんスクラップブッキングにも☆
※ブラック以外は中性紙です。<br>
質感は２枚目の画像で雰囲気をご確認ください。
表面は蜂の巣状にやや凸凹がありますが、
裏面はスムース。
お好みで、どちらでもオモテとしてお使いいただけます。
<br>
自然素材でできておりますので、<br>
漉きムラや、ちいさな異物が入っている場合がございますが、<br>
なにとぞご了承ください。<br>

メール便はペーパーだけで封筒にお入れする形です。<br>
　　紙の傷みが気になる方は宅配便をお選びください<br>",キャンソンミタントA4　『パール』　スクラップブッキングにも　※メール便指定OK：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨キャンソンミタントA4　『パール』　スクラップブッキングにも　※メール便指定OK,　。キャンソンミタントA4　『パール』　スクラップブッキングにも　※メール便指定OK[rn]
17-100551,http://tshop.r10s.jp/voice/cabinet/bungu5/321-647p.jpg?fitin=700:700,33.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,キャンソンミタントA4　『エッグシェル』　スクラップブッキングにも　※メール便指定OK,　,"水に強く、インク、マーカー、クレヨン、色鉛筆のほか、インクジェットプリンターにも使えます。もちろんスクラップブッキングにも☆
※ブラック以外は中性紙です。<br>
質感は２枚目の画像で雰囲気をご確認ください。
表面は蜂の巣状にやや凸凹がありますが、
裏面はスムース。
お好みで、どちらでもオモテとしてお使いいただけます。
<br>
自然素材でできておりますので、<br>
漉きムラや、ちいさな異物が入っている場合がございますが、<br>
なにとぞご了承ください。<br>

メール便はペーパーだけで封筒にお入れする形です。<br>
　　紙の傷みが気になる方は宅配便をお選びください<br>",キャンソンミタントA4　『エッグシェル』　スクラップブッキングにも　※メール便指定OK：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨キャンソンミタントA4　『エッグシェル』　スクラップブッキングにも　※メール便指定OK,　。キャンソンミタントA4　『エッグシェル』　スクラップブッキングにも　※メール便指定OK[rn]
17-100552,http://tshop.r10s.jp/voice/cabinet/bungu5/331-662p.jpg?fitin=700:700,33.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,キャンソンミタントA4　『スカイブルー（スカイグレー）』　スクラップブッキングにも　※メール便指定OK,　,"水に強く、インク、マーカー、クレヨン、色鉛筆のほか、インクジェットプリンターにも使えます。もちろんスクラップブッキングにも☆
※ブラック以外は中性紙です。<br>
質感は２枚目の画像で雰囲気をご確認ください。
表面は蜂の巣状にやや凸凹がありますが、
裏面はスムース。
お好みで、どちらでもオモテとしてお使いいただけます。
<br>
自然素材でできておりますので、<br>
漉きムラや、ちいさな異物が入っている場合がございますが、<br>
なにとぞご了承ください。<br>

メール便はペーパーだけで封筒にお入れする形です。<br>
　　紙の傷みが気になる方は宅配便をお選びください<br>",キャンソンミタントA4　『スカイブルー（スカイグレー）』　スクラップブッキングにも　※メール便指定OK：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨キャンソンミタントA4　『スカイブルー（スカイグレー）』　スクラップブッキングにも　※メール便指定OK,　。キャンソンミタントA4　『スカイブルー（スカイグレー）』　スクラップブッキングにも　※メール便指定OK[rn]
17-100553,http://tshop.r10s.jp/voice/cabinet/655074-r1.jpg?fitin=700:700,2172.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,アブラクサス　シーリングワックス スタンプ,　,"別売りのロウを溶かして、上から押し付けると模様がつきます。<br>
封かんやスクラップブッキングなど、手づくりペーパークラフトに。<br>
※お選び頂けないアルファベット、【CA】、【CB】は完売しました。<br>",アブラクサス　シーリングワックス スタンプ：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨アブラクサス　シーリングワックス スタンプ,　。アブラクサス　シーリングワックス スタンプ[rn]
17-100554,http://tshop.r10s.jp/voice/cabinet/carlpunch/cp-1snake_01.jpg?fitin=700:700,380.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,カール クラフトパンチ＜ヘビ＞スモールサイズ CP-1N　カーラクラフト　Carlacraft　【IAH】,,"絵柄のサイズ：縦14×横13mm<br>
本体サイズ　Ｌ44×Ｗ33×Ｈ30 mm<br>
適正用紙厚：コピー用紙2枚程度<br>
　　　　　　四六判　120kg程度<br>　
紙以外には使用できません。<br>
スクラップブッキングにも",カール クラフトパンチ＜ヘビ＞スモールサイズ CP-1N　カーラクラフト　Carlacraft　【IAH】：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨カール クラフトパンチ＜ヘビ＞スモールサイズ CP-1N　カーラクラフト　Carlacraft　【IAH】,カール クラフトパンチ＜ヘビ＞スモールサイズ CP-1N　カーラクラフト　Carlacraft　【IAH】[rn]
17-100555,http://tshop.r10s.jp/gold/voice/gazo/carl1/cn12084.gif?fitin=700:700,276.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,カール ミニクラフトパンチ　＜クロス （Cross）＞　カーラクラフト　Carlacraft,　,"<font size=""4"" color=""#FF0000"">スクラップブッキングやペーパークラフトに</font><br>
<br>
文字の大きさ：約８mm<br>
適正紙圧：コピー用紙２枚程度です。<br>",カール ミニクラフトパンチ　＜クロス （Cross）＞　カーラクラフト　Carlacraft：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨カール ミニクラフトパンチ　＜クロス （Cross）＞　カーラクラフト　Carlacraft,　。カール ミニクラフトパンチ　＜クロス （Cross）＞　カーラクラフト　Carlacraft[rn]
17-100556,http://tshop.r10s.jp/voice/cabinet/carlpunch/280413_01.jpg?fitin=700:700,380.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,カール クラフトパンチ＜ユキ-B＞スモールサイズ CP-1N　カーラクラフト　Carlacraft,,"絵柄のサイズ：結晶の直径は約16mmです<br>
本体サイズ　Ｌ44×Ｗ33×Ｈ30 mm<br>
適正用紙厚：コピー用紙2枚程度<br>
　　　　　　四六判　120kg程度<br>　

スクラップブッキングやペーパークラフトに<br>",カール クラフトパンチ＜ユキ-B＞スモールサイズ CP-1N　カーラクラフト　Carlacraft：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨カール クラフトパンチ＜ユキ-B＞スモールサイズ CP-1N　カーラクラフト　Carlacraft,カール クラフトパンチ＜ユキ-B＞スモールサイズ CP-1N　カーラクラフト　Carlacraft[rn]
17-100557,http://tshop.r10s.jp/voice/cabinet/carlpunch/114814_01.jpg?fitin=700:700,380.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,カール クラフトパンチ＜キキョウ（M）＞スモールサイズ CP-1N　カーラクラフト　Carlacraft,,"絵柄のサイズ：縦約11.5mm×横約12mm<br>
本体サイズ　Ｌ44×Ｗ33×Ｈ30mm<br>
適正用紙厚：コピー用紙2枚程度<br>
　　　　　　四六判　120kg程度<br>　

<br>スクラップブッキングにも",カール クラフトパンチ＜キキョウ（M）＞スモールサイズ CP-1N　カーラクラフト　Carlacraft：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨カール クラフトパンチ＜キキョウ（M）＞スモールサイズ CP-1N　カーラクラフト　Carlacraft,カール クラフトパンチ＜キキョウ（M）＞スモールサイズ CP-1N　カーラクラフト　Carlacraft[rn]
17-100558,http://tshop.r10s.jp/voice/cabinet/carlpunch/144449_01.jpg?fitin=700:700,380.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,カール クラフトパンチ＜メイプル＞スモールサイズ CP-1N　カーラクラフト　Carlacraft,,"絵柄のサイズ：縦約15mm×横幅約14mm<br>
本体サイズ　Ｌ44×Ｗ33×Ｈ30 mm<br>
適正用紙厚：コピー用紙2枚程度<br>
　　　　　　四六判　120kg程度<br>　

<br>スクラップブッキングにも",カール クラフトパンチ＜メイプル＞スモールサイズ CP-1N　カーラクラフト　Carlacraft：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨カール クラフトパンチ＜メイプル＞スモールサイズ CP-1N　カーラクラフト　Carlacraft,カール クラフトパンチ＜メイプル＞スモールサイズ CP-1N　カーラクラフト　Carlacraft[rn]
17-100559,http://tshop.r10s.jp/voice/cabinet/carlpunch/145682_01.jpg?fitin=700:700,380.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,カール クラフトパンチ＜クマ＞スモールサイズ CP-1N　カーラクラフト　Carlacraft,,"絵柄のサイズ：縦14.5mm×横13mm<br>
本体サイズ　Ｌ44×Ｗ33×Ｈ30mm<br>
適正用紙厚：コピー用紙2枚程度<br>
　　　　　　四六判　120kg程度<br>　

<br>スクラップブッキングにも。",カール クラフトパンチ＜クマ＞スモールサイズ CP-1N　カーラクラフト　Carlacraft：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨カール クラフトパンチ＜クマ＞スモールサイズ CP-1N　カーラクラフト　Carlacraft,カール クラフトパンチ＜クマ＞スモールサイズ CP-1N　カーラクラフト　Carlacraft[rn]
17-100560,http://tshop.r10s.jp/voice/cabinet/carlpunch/cp-1_280901.jpg?fitin=700:700,380.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,カール クラフトパンチ＜ペタル６＞スモールサイズ CP-1N　カーラクラフト　Carlacraft,,"スクラップブッキングやペーパークラフトなど<br>
クラフトパンチを使って、デコレーション。<br>
手作りカードにもおすすめ！<br>
■絵柄のサイズ：17×17mm<br>
■本体サイズ　約30×40×高さ30mm<br>
■適正用紙厚：コピー用紙2枚程度<br>
　　　　　　四六判　120kg程度<br>　
<br>
お伝えしたいこと<br>
こちらのクラフトパンチは紙専用です。<br>
コピー用紙２枚程度が最適です。<br>
薄い紙の場合は、1枚はさむときれいにパンチできます。<br>
厚い紙は詰まる原因になりますので、お気をつけください。",カール クラフトパンチ＜ペタル６＞スモールサイズ CP-1N　カーラクラフト　Carlacraft：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨カール クラフトパンチ＜ペタル６＞スモールサイズ CP-1N　カーラクラフト　Carlacraft,カール クラフトパンチ＜ペタル６＞スモールサイズ CP-1N　カーラクラフト　Carlacraft[rn]
17-100561,http://tshop.r10s.jp/voice/cabinet/carlpunch/990800_01.jpg?fitin=700:700,468.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,カール クラフトパンチ＜リーフ＞ミドルサイズ CP-2　カーラクラフト　Carlacraft,,"絵柄のサイズ：縦約25mm×横約14mm<br>
本体サイズ：W45×L53×H45mm<br>
適正用紙厚：コピー用紙2枚程度<br>
　　　　　　四六判　120kg程度<br>
スクラップブッキングやペーパークラフトに最適<br>",カール クラフトパンチ＜リーフ＞ミドルサイズ CP-2　カーラクラフト　Carlacraft：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨カール クラフトパンチ＜リーフ＞ミドルサイズ CP-2　カーラクラフト　Carlacraft,カール クラフトパンチ＜リーフ＞ミドルサイズ CP-2　カーラクラフト　Carlacraft[rn]
17-100562,http://tshop.r10s.jp/voice/cabinet/carlpunch/145033_01.jpg?fitin=700:700,468.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,カール クラフトパンチ＜クマ＞ミドルサイズ CP-2　カーラクラフト　Carlacraft,,"絵柄のサイズ：縦約22mm×幅約22mm<br>
本体サイズ：W45×L53×H45mm<br>
適正用紙厚：コピー用紙2枚程度<br>
　　　　　　四六判　120kg程度<br>
スクラップブッキングやペーパークラフトに最適<br>",カール クラフトパンチ＜クマ＞ミドルサイズ CP-2　カーラクラフト　Carlacraft：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨カール クラフトパンチ＜クマ＞ミドルサイズ CP-2　カーラクラフト　Carlacraft,カール クラフトパンチ＜クマ＞ミドルサイズ CP-2　カーラクラフト　Carlacraft[rn]
17-100563,http://tshop.r10s.jp/voice/cabinet/carlpunch/12107_1.jpg?fitin=700:700,276.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,カール ミニクラフトパンチ　＜ストロベリーSTRAWBERRY＞　カーラクラフト　Carlacraft,,"<font size=""4"" color=""#FF0000"">スクラップブッキングやペーパークラフトに</font><br>
<br>
文字の大きさ：約８mm<br>
適正紙圧：コピー用紙２枚程度です。<br>",カール ミニクラフトパンチ　＜ストロベリーSTRAWBERRY＞　カーラクラフト　Carlacraft：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨カール ミニクラフトパンチ　＜ストロベリーSTRAWBERRY＞　カーラクラフト　Carlacraft,カール ミニクラフトパンチ　＜ストロベリーSTRAWBERRY＞　カーラクラフト　Carlacraft[rn]
17-100564,http://tshop.r10s.jp/voice/cabinet/carlpunch/278014_01.jpg?fitin=700:700,380.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,カール クラフトパンチ＜アシアト-A＞スモールサイズ CP-1N　カーラクラフト　Carlacraft,,"アシアト：直径14mmの円周上にはいる大きさ<br>
本体サイズ　Ｌ44×Ｗ33×Ｈ30mm<br>
適正用紙厚：コピー用紙2枚程度<br>
　　　　　　四六判　120kg程度<br>　
<br>スクラップブッキングにも最適。",カール クラフトパンチ＜アシアト-A＞スモールサイズ CP-1N　カーラクラフト　Carlacraft：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨カール クラフトパンチ＜アシアト-A＞スモールサイズ CP-1N　カーラクラフト　Carlacraft,カール クラフトパンチ＜アシアト-A＞スモールサイズ CP-1N　カーラクラフト　Carlacraft[rn]
17-100565,http://tshop.r10s.jp/voice/cabinet/carlpunch/144166_01.jpg?fitin=700:700,380.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,カール クラフトパンチ＜エンジェル＞スモールサイズ CP-1N　カーラクラフト　Carlacraft,,"絵柄のサイズ：縦14mm×横12mm<br>
本体サイズ　Ｌ44×Ｗ33×Ｈ30mm<br>
適正用紙厚：コピー用紙2枚程度<br>
　　　　　　四六判　120kg程度<br>　

<br>スクラップブッキングにも。",カール クラフトパンチ＜エンジェル＞スモールサイズ CP-1N　カーラクラフト　Carlacraft：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨カール クラフトパンチ＜エンジェル＞スモールサイズ CP-1N　カーラクラフト　Carlacraft,カール クラフトパンチ＜エンジェル＞スモールサイズ CP-1N　カーラクラフト　Carlacraft[rn]
