17-18399,http://tshop.r10s.jp/alukom/cabinet/kitchen/kitchen02/cs_01.jpg?fitin=700:700,740.8000,,日用品雑貨・文房具・手芸 > バス用品 > その他,すす竹・コーヒースプーン　2本セット,シンプルで使いやすいスプーン,"ウィル・ウッドトップ ＞ カテゴリトップ  ＞ ホーム・インテリア ＞ 日本の小物・和雑貨
<br>
<br>サイズ:約14cm×23cm×2cm<br>

材質:中身：ひのき・朴の木・ひば・その他ブレンドチップ<br>
袋：不織布<br>

生産国：日本
<br>
<img src=""http://image.rakuten.co.jp/alukom/cabinet/sozai/siiresyouhinn_01.jpg"" width=100%>
<br>
<br>
■ラッピング(有料)をご希望の方は、ご購入手続き時に「ラッピング・のし変更」部分から包装紙（用途）をお選びください。<br>
<br>
【ギフト分類：成人】",すす竹・コーヒースプーン　2本セット：木製玩具＆キッチン ウィルウッド,木製品木工品人造大理石人工大理石オリジナルジェンガ日本製のし台こね台ドミノ木のおもちゃ積み木ワインラックままごとキッチン調理道具めん台パンこね台製菓道具枡木製すす竹・コーヒースプーン　2本セット,シンプルで使いやすいスプーン。すす竹・コーヒースプーン　2本セット[rn]
17-18410,http://tshop.r10s.jp/soukai/cabinet/23/4962619201123.jpg?fitin=700:700,5185.6000,,日用品雑貨・文房具・手芸 > バス用品 > その他,プレステージ M-10 ブルー・アイボリー(1枚入(2枚割))[風呂 掃除]【送料無料】,風呂 掃除☆送料無料☆,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞日用品＞お風呂用品＞風呂フタ＞プレステージ M-10 ブルー・アイボリー (1枚入(2枚割))<br><br>☆送料無料☆<br><br>【プレステージ M-10 ブルー・アイボリーの商品詳細】<br>●ご自宅の浴槽サイズに合わせて、組み合わせ自由に可能。<br>●かさばらずスッキリ収納、しかも軽い(1枚あたり)ので片手でラクラク。<br>※サイズ品番により2枚割(組)と3枚割(組)があります。<br>●カラーは浴室・気分に合わせて選べるリバーシブルカラー(ブルー・アイボリー)<br>●表面はアルミで樹脂とのサンドイッチ構造により高級かつ耐久性に優れます。<br>●枠部分はスベリを抑える安全なエッジ巻き。<br>●四隅は優しいアール処理により万が一の落下時のケガ・破損を防ぎます。<br>※すべての落下等によるケガ・破損を保障するものではありません。<br>●表面がフラットなのでお掃除はカンタン抗菌・防カビ加工でいつも清潔。<br><br>【商品概要】<br>材質・・・アルミ樹脂複合板製<br>適合浴槽サイズ(目安)・・・約70X100cm<br>商品実寸サイズ(mm巾長さ)・・・約680X980<br><br>【ご注意】<br>・ご購入前にお使いの浴槽のサイズをよくお確かめになり適合するサイズの風呂ふたを<br>お選びください。<br><br>【発売元、製造元、輸入元又は販売元】<br>ミエ産業<br><br>ミエ産業<br>578-0984 大阪府東大阪市菱江2-10-27<br>0729-61-1051<br><br>広告文責：株式会社爽快ドラッグ<br><br>[お風呂用品],プレステージ M-10 ブルー・アイボリー(1枚入(2枚割))[風呂 掃除]【送料無料】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションプレステージ M-10 ブルー・アイボリー(1枚入(2枚割))[風呂 掃除]【送料無料】,風呂 掃除☆送料無料☆。プレステージ M-10 ブルー・アイボリー(1枚入(2枚割))[風呂 掃除]【送料無料】[rn]
17-18411,http://tshop.r10s.jp/soukai/cabinet/13/4962619221213.jpg?fitin=700:700,2652.0000,,日用品雑貨・文房具・手芸 > バス用品 > その他,プレステージ L-4 ブルー・アイボリー(1枚入)[風呂 掃除]【送料無料】,風呂 掃除☆送料無料☆,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞日用品＞お風呂用品＞風呂フタ＞プレステージ L-4 ブルー・アイボリー (1枚入)<br><br>☆送料無料☆<br><br>【プレステージ L-4 ブルー・アイボリーの商品詳細】<br>●ご自宅の浴槽サイズに合わせて、組み合わせ自由に可能。<br>●かさばらずスッキリ収納、しかも軽い(1枚あたり)ので片手でラクラク。<br>※サイズ品番により2枚割(組)と3枚割(組)があります。<br>●カラーは浴室・気分に合わせて選べるリバーシブルカラー(ブルー・アイボリー)<br>●表面はアルミで樹脂とのサンドイッチ構造により高級かつ耐久性に優れます。<br>●枠部分はスベリを抑える安全なエッジ巻き。<br>●四隅は優しいアール処理により万が一の落下時のケガ・破損を防ぎます。<br>※すべての落下等によるケガ・破損を保障するものではありません。<br>●表面がフラットなのでお掃除はカンタン抗菌・防カビ加工でいつも清潔。<br><br>【浴槽サイズの測り方】<br>・浴槽の端から反対の端の中央付近の寸法をお測りのうえ、それ以上に合う<br>サイズの風呂ふたをご使用ください<br><br>【商品概要】<br>材質・・・アルミ樹脂複合板製<br>適合浴槽サイズ(目安)・・・浴槽サイズに合わせてお客様にてお選びください。<br>商品実寸サイズ(mm巾長さ)・・・約730X400<br><br>【ご注意】<br>・ご購入前にお使いの浴槽のサイズをよくお確かめになり適合するサイズの風呂ふたを<br>お選びください。<br><br>【発売元、製造元、輸入元又は販売元】<br>ミエ産業<br><br>ミエ産業<br>578-0984 大阪府東大阪市菱江2-10-27<br>0729-61-1051<br><br>広告文責：株式会社爽快ドラッグ<br><br>[お風呂用品],プレステージ L-4 ブルー・アイボリー(1枚入)[風呂 掃除]【送料無料】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションプレステージ L-4 ブルー・アイボリー(1枚入)[風呂 掃除]【送料無料】,風呂 掃除☆送料無料☆。プレステージ L-4 ブルー・アイボリー(1枚入)[風呂 掃除]【送料無料】[rn]
17-18412,http://tshop.r10s.jp/soukai/cabinet/68/4962619033168.jpg?fitin=700:700,2208.0000,,日用品雑貨・文房具・手芸 > バス用品 > その他,ラヴィ L-11 アイボリー(1枚入)[風呂 掃除]【送料無料】,風呂 掃除☆送料無料☆,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞日用品＞お風呂用品＞風呂フタ＞ラヴィ L-11 アイボリー (1枚入)<br><br>☆送料無料☆<br><br>【ラヴィ L-11 アイボリーの商品詳細】<br>●約30％の軽量化！お年寄や女性に優しい軽さの風呂ふた <br>●従来の塩樹脂製と比較し約30％軽くなりました(当社PVC製比)<br>●素材に環境に優しいリサイル樹脂を使用しております<br>(エコマーク認定商品)<br>●高い保温性<br>●スベリ止め裏面加工<br>●両サイドに安心なエッジキャップ <br>●ご自分でも変形等の加工が可能！(別売DIYキャップ取り付けにより)<br><br>【浴槽サイズの測り方】<br>・浴槽の端から反対の端の中央付近の寸法をお測りのうえ、それ以上に合うサイズの<br>風呂ふたをご使用ください。<br><br>【商品概要】<br>材質・・・PS樹脂製<br>適合浴槽(目安)・・・約75X110cm<br>商品実寸サイズ(mm巾長さ)・・・約750X1120<br><br>【ご注意】<br>・ご購入前にお使いの浴槽のサイズをよくお確かめになり適合するサイズの風呂ふたを<br>お選びください。<br>・実寸サイズにつきましては、巾方向±5mm長さ方向±10mm程度誤差がでる場合が<br>ございます。<br><br>【発売元、製造元、輸入元又は販売元】<br>ミエ産業<br><br>/(/F206809/)/<br><br>ミエ産業<br>578-0984 大阪府東大阪市菱江2-10-27<br>0729-61-1051<br><br>広告文責：株式会社爽快ドラッグ<br><br>[お風呂用品],ラヴィ L-11 アイボリー(1枚入)[風呂 掃除]【送料無料】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションラヴィ L-11 アイボリー(1枚入)[風呂 掃除]【送料無料】,風呂 掃除☆送料無料☆。ラヴィ L-11 アイボリー(1枚入)[風呂 掃除]【送料無料】[rn]
17-18413,http://tshop.r10s.jp/soukai/cabinet/20/4962619033120.jpg?fitin=700:700,1837.6000,,日用品雑貨・文房具・手芸 > バス用品 > その他,ラヴィ M-10 アイボリー(1枚入)[風呂 掃除]【送料無料】,風呂 掃除☆送料無料☆,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞日用品＞お風呂用品＞風呂フタ＞ラヴィ M-10 アイボリー (1枚入)<br><br>☆送料無料☆<br><br>【ラヴィ M-10 アイボリーの商品詳細】<br>●約30％の軽量化！お年寄や女性に優しい軽さの風呂ふた <br>●従来の塩樹脂製と比較し約30％軽くなりました(当社PVC製比)<br>●素材に環境に優しいリサイル樹脂を使用しております<br>(エコマーク認定商品)<br>●高い保温性<br>●スベリ止め裏面加工<br>●両サイドに安心なエッジキャップ <br>●ご自分でも変形等の加工が可能！(別売DIYキャップ取り付けにより)<br><br>【浴槽サイズの測り方】<br>・浴槽の端から反対の端の中央付近の寸法をお測りのうえ、それ以上に合うサイズの<br>風呂ふたをご使用ください。<br><br>【商品概要】<br>材質・・・PS樹脂製<br>適合浴槽(目安)・・・約70X100cm<br>商品実寸サイズ(mm巾長さ)・・・約700X1015<br><br>【ご注意】<br>・ご購入前にお使いの浴槽のサイズをよくお確かめになり適合するサイズの風呂ふたを<br>お選びください。<br>・実寸サイズにつきましては、巾方向±5mm長さ方向±10mm程度誤差がでる場合が<br>ございます。<br><br>【発売元、製造元、輸入元又は販売元】<br>ミエ産業<br><br>ミエ産業<br>578-0984 大阪府東大阪市菱江2-10-27<br>0729-61-1051<br><br>広告文責：株式会社爽快ドラッグ<br><br>[お風呂用品],ラヴィ M-10 アイボリー(1枚入)[風呂 掃除]【送料無料】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションラヴィ M-10 アイボリー(1枚入)[風呂 掃除]【送料無料】,風呂 掃除☆送料無料☆。ラヴィ M-10 アイボリー(1枚入)[風呂 掃除]【送料無料】[rn]
17-18414,http://tshop.r10s.jp/soukai/cabinet/13/4962619033113.jpg?fitin=700:700,1689.6000,,日用品雑貨・文房具・手芸 > バス用品 > その他,ラヴィ M-9 アイボリー(1枚入)[風呂 掃除]【送料無料】,風呂 掃除☆送料無料☆,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞日用品＞お風呂用品＞風呂フタ＞ラヴィ M-9 アイボリー (1枚入)<br><br>☆送料無料☆<br><br>【ラヴィ M-9 アイボリーの商品詳細】<br>●約30％の軽量化！お年寄や女性に優しい軽さの風呂ふた <br>●従来の塩樹脂製と比較し約30％軽くなりました(当社PVC製比)<br>●素材に環境に優しいリサイル樹脂を使用しております<br>(エコマーク認定商品)<br>●高い保温性<br>●スベリ止め裏面加工<br>●両サイドに安心なエッジキャップ <br>●ご自分でも変形等の加工が可能！(別売DIYキャップ取り付けにより)<br><br>【浴槽サイズの測り方】<br>・浴槽の端から反対の端の中央付近の寸法をお測りのうえ、それ以上に合うサイズの<br>風呂ふたをご使用ください。<br><br>【商品概要】<br>材質・・・PS樹脂製<br>適合浴槽(目安)・・・約70X90cm<br>商品実寸サイズ(mm巾長さ)・・・約700X915<br><br>【ご注意】<br>・ご購入前にお使いの浴槽のサイズをよくお確かめになり適合するサイズの風呂ふたを<br>お選びください。<br>・実寸サイズにつきましては、巾方向±5mm長さ方向±10mm程度誤差がでる場合が<br>ございます。<br><br>【発売元、製造元、輸入元又は販売元】<br>ミエ産業<br><br>ミエ産業<br>578-0984 大阪府東大阪市菱江2-10-27<br>0729-61-1051<br><br>広告文責：株式会社爽快ドラッグ<br><br>[お風呂用品],ラヴィ M-9 アイボリー(1枚入)[風呂 掃除]【送料無料】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションラヴィ M-9 アイボリー(1枚入)[風呂 掃除]【送料無料】,風呂 掃除☆送料無料☆。ラヴィ M-9 アイボリー(1枚入)[風呂 掃除]【送料無料】[rn]
17-18415,http://tshop.r10s.jp/soukai/cabinet/06/4962619033106.jpg?fitin=700:700,1540.8000,,日用品雑貨・文房具・手芸 > バス用品 > その他,ラヴィ M-8 アイボリー(1枚入)[風呂 掃除]【送料無料】,風呂 掃除☆送料無料☆,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞日用品＞お風呂用品＞風呂フタ＞ラヴィ M-8 アイボリー (1枚入)<br><br>☆送料無料☆<br><br>【ラヴィ M-8 アイボリーの商品詳細】<br>●約30％の軽量化！お年寄や女性に優しい軽さの風呂ふた <br>●従来の塩樹脂製と比較し約30％軽くなりました(当社PVC製比)<br>●素材に環境に優しいリサイル樹脂を使用しております<br>(エコマーク認定商品)<br>●高い保温性<br>●スベリ止め裏面加工<br>●両サイドに安心なエッジキャップ <br>●ご自分でも変形等の加工が可能！(別売DIYキャップ取り付けにより)<br><br>【浴槽サイズの測り方】<br>・浴槽の端から反対の端の中央付近の寸法をお測りのうえ、それ以上に合うサイズの<br>風呂ふたをご使用ください。<br><br>【商品概要】<br>材質・・・PS樹脂製<br>適合浴槽(目安)・・・約70X80cm<br>商品実寸サイズ(mm巾長さ)・・・約700X810<br><br>【ご注意】<br>・ご購入前にお使いの浴槽のサイズをよくお確かめになり適合するサイズの風呂ふたを<br>お選びください。<br>・実寸サイズにつきましては、巾方向±5mm長さ方向±10mm程度誤差がでる場合が<br>ございます。<br><br>【発売元、製造元、輸入元又は販売元】<br>ミエ産業<br><br>ミエ産業<br>578-0984 大阪府東大阪市菱江2-10-27<br>0729-61-1051<br><br>広告文責：株式会社爽快ドラッグ<br><br>[お風呂用品],ラヴィ M-8 アイボリー(1枚入)[風呂 掃除]【送料無料】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションラヴィ M-8 アイボリー(1枚入)[風呂 掃除]【送料無料】,風呂 掃除☆送料無料☆。ラヴィ M-8 アイボリー(1枚入)[風呂 掃除]【送料無料】[rn]
17-18416,http://tshop.r10s.jp/soukai/cabinet/87/4903320637887.jpg?fitin=700:700,184.0000,,日用品雑貨・文房具・手芸 > バス用品 > その他,FEヘアーストッパー M(1コ入)[風呂 掃除],風呂 掃除★税抜1900円以上で送料無料★,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞日用品＞お風呂用品＞風呂・洗面用品 その他＞FEヘアーストッパー M (1コ入)<br><br>★税抜1900円以上で送料無料★<br><br>【FEヘアーストッパー Mの商品詳細】<br>●浴室・洗面台の排水口に。<br>●髪の毛や小さなゴミをキャッチし、排水管のつまりを防ぎます。<br>●目詰まりしにくいドーム型構造。<br>●取り外しに便利なつまみ付き。<br>●やわらかい素材でぴったりフィット！<br>●ずれを防止するミニ吸盤付きなので、水に流されません。<br><br>【規格概要】<br>商品サイズ・・・120*120*25mm<br><br>【発売元、製造元、輸入元又は販売元】<br>レック<br><br>レック<br>103-0007 東京都中央区日本橋浜町3-15-1 日本橋安田スカイゲート6F<br>03-5847-0616<br><br>広告文責：株式会社爽快ドラッグ<br><br>[お風呂用品],FEヘアーストッパー M(1コ入)[風呂 掃除]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションFEヘアーストッパー M(1コ入)[風呂 掃除],風呂 掃除★税抜1900円以上で送料無料★。FEヘアーストッパー M(1コ入)[風呂 掃除][rn]
17-18417,http://tshop.r10s.jp/soukai/cabinet/22/4980356012222.jpg?fitin=700:700,1200.0000,,日用品雑貨・文房具・手芸 > バス用品 > その他,レットー 湯手おけ(1コ入)【レットー】[風呂 掃除],レットー / 風呂 掃除★税抜1900円以上で送料無料★,お店TOP＞日用品＞お風呂用品＞洗面器＞レットー 湯手おけ (1コ入)<br><br>★税抜1900円以上で送料無料★<br><br><img src='http://image.rakuten.co.jp/soukai/cabinet/z22/z4980356012222.jpg' width='100%'><br><br>【レットー 湯手おけの商品詳細】<br>●バスタイムを快適に彩る湯手おけ<br>●見た目にも、体の為にも入浴タイムをよりいっそう快適にクリエイトします。<br>●優しいカーブと持ち手の穴が使いやすく、フック掛けにも便利な湯手おけ<br>●お湯を汲む、かける、顔を洗うという湯おけと手おけの機能をひとつに<br><br>【規格概要】<br>サイズ・・・約幅25*奥行き24*高さ13.5cm<br>重量・・・約0.27kg<br>材質・・・ポリプロピレン<br><br>【ブランド】<br>レットー<br><br>【発売元、製造元、輸入元又は販売元】<br>岩谷マテリアル<br><br>(RETTO 湯手桶)<br><br>/(/F206809/)/<br><br>岩谷マテリアル<br>104-0032 東京都中央区八丁堀3-14-2 東八重洲シティービル<br>03-3555-3021<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[お風呂用品/ブランド：レットー/],レットー 湯手おけ(1コ入)【レットー】[風呂 掃除]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションレットー 湯手おけ(1コ入)【レットー】[風呂 掃除],レットー / 風呂 掃除★税抜1900円以上で送料無料★。レットー 湯手おけ(1コ入)【レットー】[風呂 掃除][rn]
17-18418,http://tshop.r10s.jp/soukai/cabinet/86/4980356017586.jpg?fitin=700:700,1040.0000,,日用品雑貨・文房具・手芸 > バス用品 > その他,レットー 湯手おけ 角 ホワイト(1コ入)【レットー】[風呂 掃除],レットー / 風呂 掃除★税抜1900円以上で送料無料★,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞日用品＞お風呂用品＞洗面器＞レットー 湯手おけ 角 ホワイト (1コ入)<br><br>★税抜1900円以上で送料無料★<br><br><img src='http://image.rakuten.co.jp/soukai/cabinet/z86/z4980356017586.jpg' width='100%'><br><br>【レットー 湯手おけ 角 ホワイトの商品詳細】<br>●上質なリラックスタイムをあなたのバスルームに<br>●モダンなバスルームにマッチするシンプルで美しいフォルムのバスチェアと湯手おけ<br>●バスチェアは従来よりも座面を高く設計し、座る・立つという動作を楽にしました。<br>●湯おけと手おけの機能をひとつにした使いやすいサイズ<br>●どちらもコンパクトに収納できるスクエア形状で、乾燥させたいときも掛けやすい設計です。<br><br>【規格概要】<br>サイズ・・・約幅18*奥行き23.2*高さ13.3cm<br>容量・・・2.1L<br>重量・・・約0.25kg<br>材質・・・ポリプロピレン<br><br>【ブランド】<br>レットー<br><br>【発売元、製造元、輸入元又は販売元】<br>岩谷マテリアル<br><br><font color='red'>弊社での販売が在庫限りで終了となるため訳あり処分価格になっております。</font><br><br>(RETTO 湯手桶)<br><br>岩谷マテリアル<br>104-0032 東京都中央区八丁堀3-14-2 東八重洲シティービル<br>03-3555-3021<br><br>広告文責：株式会社爽快ドラッグ<br><br>[お風呂用品/ブランド：レットー/],レットー 湯手おけ 角 ホワイト(1コ入)【レットー】[風呂 掃除]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションレットー 湯手おけ 角 ホワイト(1コ入)【レットー】[風呂 掃除],レットー / 風呂 掃除★税抜1900円以上で送料無料★。レットー 湯手おけ 角 ホワイト(1コ入)【レットー】[風呂 掃除][rn]
17-18419,http://tshop.r10s.jp/soukai/cabinet/93/4980356017593.jpg?fitin=700:700,1040.0000,,日用品雑貨・文房具・手芸 > バス用品 > その他,レットー 湯手おけ 角 ブラック(1コ入)【レットー】[風呂 掃除],レットー / 風呂 掃除★税抜1900円以上で送料無料★,お店TOP＞日用品＞お風呂用品＞洗面器＞レットー 湯手おけ 角 ブラック (1コ入)<br><br>★税抜1900円以上で送料無料★<br><br><img src='http://image.rakuten.co.jp/soukai/cabinet/z93/z4980356017593.jpg' width='100%'><br><br>【レットー 湯手おけ 角 ブラックの商品詳細】<br>●上質なリラックスタイムをあなたのバスルームに<br>●モダンなバスルームにマッチするシンプルで美しいフォルムのバスチェアと湯手おけ<br>●バスチェアは従来よりも座面を高く設計し、座る・立つという動作を楽にしました。<br>●湯おけと手おけの機能をひとつにした使いやすいサイズ<br>●どちらもコンパクトに収納できるスクエア形状で、乾燥させたいときも掛けやすい設計です。<br><br>【規格概要】<br>サイズ・・・約幅18*奥行き23.2*高さ13.3cm<br>容量・・・2.1L<br>重量・・・約0.25kg<br>材質・・・ポリプロピレン<br><br>【ブランド】<br>レットー<br><br>【発売元、製造元、輸入元又は販売元】<br>岩谷マテリアル<br><br><font color='red'>本品はメーカー製造中止のため、在庫限りで販売終了となります。</font><br><br>(RETTO 湯手桶)<br><br>岩谷マテリアル<br>104-0032 東京都中央区八丁堀3-14-2 東八重洲シティービル<br>03-3555-3021<br><br>広告文責：株式会社爽快ドラッグ<br>0570-666-632<br><br>[お風呂用品/ブランド：レットー/],レットー 湯手おけ 角 ブラック(1コ入)【レットー】[風呂 掃除]：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションレットー 湯手おけ 角 ブラック(1コ入)【レットー】[風呂 掃除],レットー / 風呂 掃除★税抜1900円以上で送料無料★。レットー 湯手おけ 角 ブラック(1コ入)【レットー】[風呂 掃除][rn]
