17-21499,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005492034.jpg?fitin=700:700,3240.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日進工具/ＮＳ　ロングネックラジアスＥＭ　ＭＨＲ２３０Ｒ　φ１ＸＲ０．０５Ｘ８（Ｄ４）【MHR230R 1XR0.05X8D4】(4254236) 受注単位1,切削工具\旋削・フライス加工工具\超硬ラジアスエンドミル,,『カード対応OK！』■〒日進工具/ＮＳ　ロングネックラジアスＥＭ　ＭＨＲ２３０Ｒ　φ１ＸＲ０．０５Ｘ８（Ｄ４）【MHR230R 1XR0.05X8D4】(4254236) 受注単位1：クローバー資材館,『カード対応OK！』■〒日進工具/ＮＳ　ロングネックラジアスＥＭ　ＭＨＲ２３０Ｒ　φ１ＸＲ０．０５Ｘ８（Ｄ４）【MHR230R 1XR0.05X8D4】(4254236) 受注単位1,切削工具\旋削・フライス加工工具\超硬ラジアスエンドミル。『カード対応OK！』■〒日進工具/ＮＳ　ロングネックラジアスＥＭ　ＭＨＲ２３０Ｒ　φ１ＸＲ０．０５Ｘ８（Ｄ４）【MHR230R 1XR0.05X8D4】(4254236) 受注単位1[rn]
17-21548,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005109644.jpg?fitin=700:700,3378.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スターエム/スターエム　充電ドリル用自在錐　３０×１２０【36X】(4042832) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●穴径30～120mmまでの加工がインパクトドライバーで自由自在に行えます。<br>●薄板・石こうボード12mm厚までの穴あけに最適です。",『カード対応OK！』■〒スターエム/スターエム　充電ドリル用自在錐　３０&times;１２０【36X】(4042832) 受注単位1：クローバー資材館,『カード対応OK！』■〒スターエム/スターエム　充電ドリル用自在錐　３０&times;１２０【36X】(4042832) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒スターエム/スターエム　充電ドリル用自在錐　３０&times;１２０【36X】(4042832) 受注単位1[rn]
17-21549,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002863647.jpg?fitin=700:700,641.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大西工業/大西　木工用ショートビット５．０ｍｍ【NO1-50(5.0MM)】(2521067) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●板およびボードの穴あけに最適です。<br>●インパクトドライバーではφ21mmまでの穴あけが可能です。<br>●6角軸（6.35mm）部分は2つのボール溝を設け、手動用ハンドルとインパクトドライバーの両方に対応可能です。",『カード対応OK！』■〒大西工業/大西　木工用ショートビット５．０ｍｍ【NO1-50(5.0MM)】(2521067) 受注単位1：クローバー資材館,『カード対応OK！』■〒大西工業/大西　木工用ショートビット５．０ｍｍ【NO1-50(5.0MM)】(2521067) 受注単位1,切削工具\穴あけ工具\木工用ドリル・カッター。『カード対応OK！』■〒大西工業/大西　木工用ショートビット５．０ｍｍ【NO1-50(5.0MM)】(2521067) 受注単位1[rn]
17-21550,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002851260.jpg?fitin=700:700,3240.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大見工業/大見　ＦＸホールカッターのみ　３２ｍｍ【FX32C(32ﾐﾘ)】(3039439) 受注単位1,切削工具\穴あけ工具\ホールカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ワンタッチで着脱方式「シンプルジョイントシステム」を使用しています。<br>●1本のシャンクでいろいろなサイズのカッターが使用可能です。<br>●分割刃（特許）による驚異の切れ味です。",『カード対応OK！』■〒大見工業/大見　ＦＸホールカッターのみ　３２ｍｍ【FX32C(32ﾐﾘ)】(3039439) 受注単位1：クローバー資材館,『カード対応OK！』■〒大見工業/大見　ＦＸホールカッターのみ　３２ｍｍ【FX32C(32ﾐﾘ)】(3039439) 受注単位1,切削工具\穴あけ工具\ホールカッター。『カード対応OK！』■〒大見工業/大見　ＦＸホールカッターのみ　３２ｍｍ【FX32C(32ﾐﾘ)】(3039439) 受注単位1[rn]
17-21551,http://tshop.r10s.jp/clover9608/cabinet/pb6/t010004532285.jpg?fitin=700:700,6600.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　超硬ステンレスホールカッター　６４ｍｍ【TTG64】(3522032) 受注単位1,(3522032),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●チップ付ホールカッターの代表作です。<br>●鋼板、ステンレスなどの穴あけに最適です。<br>●有効切削能力は5mm（TTG14は4mm）です。<br>●電気ドリルでご使用の場合φ40以上の時は低速用をお薦めします。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　超硬ステンレスホールカッター　６４ｍｍ【TTG64】(3522032) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　超硬ステンレスホールカッター　６４ｍｍ【TTG64】(3522032) 受注単位1,(3522032)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　超硬ステンレスホールカッター　６４ｍｍ【TTG64】(3522032) 受注単位1[rn]
17-21552,http://tshop.r10s.jp/clover9608/cabinet/pb6/t010004530194.jpg?fitin=700:700,16392.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＴＳＬホールカッター　１２５ｍｍ【TSL-125(125MM)】(2318296) 受注単位1,(2318296),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ロング刃長のため、幅広い分野の穴あけに適応します。<br>●独自のコバルトバイメタル刃を使用しています。<br>●排出用スプリング付です。<br>●不等ピッチ刃形で安定した切削と木材への軽快な穴あけを実現しました。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＴＳＬホールカッター　１２５ｍｍ【TSL-125(125MM)】(2318296) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＴＳＬホールカッター　１２５ｍｍ【TSL-125(125MM)】(2318296) 受注単位1,(2318296)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＴＳＬホールカッター　１２５ｍｍ【TSL-125(125MM)】(2318296) 受注単位1[rn]
17-21553,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002863663.jpg?fitin=700:700,11772.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大見工業/大見　超硬ロングホールカッター　６５ｍｍ【TL65(MS-65L)】(1051148) 受注単位1,切削工具\穴あけ工具\ホールカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●チップとカッター本体の接合には、高級銀ローを使用し、優れたロー付け技術により作業のスピードと安全性を高めました。",『カード対応OK！』■〒大見工業/大見　超硬ロングホールカッター　６５ｍｍ【TL65(MS-65L)】(1051148) 受注単位1：クローバー資材館,『カード対応OK！』■〒大見工業/大見　超硬ロングホールカッター　６５ｍｍ【TL65(MS-65L)】(1051148) 受注単位1,切削工具\穴あけ工具\ホールカッター。『カード対応OK！』■〒大見工業/大見　超硬ロングホールカッター　６５ｍｍ【TL65(MS-65L)】(1051148) 受注単位1[rn]
17-21554,http://tshop.r10s.jp/clover9608/cabinet/pb5-1/t010004523563.jpg?fitin=700:700,18604.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　Ｅ型ホールカッター　１０５ｍｍ【TE105】(3521451) 受注単位1,(3521451),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●引っ掛かりのない安全設計で鉄板の穴あけに最適です。<br>●鉄板、亜鉛鉄板、ブリキなどの穴あけに最適です。<br>●電気ドリル専用です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　Ｅ型ホールカッター　１０５ｍｍ【TE105】(3521451) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　Ｅ型ホールカッター　１０５ｍｍ【TE105】(3521451) 受注単位1,(3521451)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　Ｅ型ホールカッター　１０５ｍｍ【TE105】(3521451) 受注単位1[rn]
17-21555,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004381965.jpg?fitin=700:700,1759.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ユニカ/ユニカ　ＨＳＳ　ハイスホールソー２５ｍｍ【HSS-25】(3794814) 受注単位1,切削工具\穴あけ工具\ホールカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●木材から塩ビ、鉄板まで広範囲な被削材に対応し、抜群の使い勝手を実現しています。<br>●刃先はコバルト高速度鋼（SKH-59）を採用したバイメタル構造です。",『カード対応OK！』■〒ユニカ/ユニカ　ＨＳＳ　ハイスホールソー２５ｍｍ【HSS-25】(3794814) 受注単位1：クローバー資材館,『カード対応OK！』■〒ユニカ/ユニカ　ＨＳＳ　ハイスホールソー２５ｍｍ【HSS-25】(3794814) 受注単位1,切削工具\穴あけ工具\ホールカッター。『カード対応OK！』■〒ユニカ/ユニカ　ＨＳＳ　ハイスホールソー２５ｍｍ【HSS-25】(3794814) 受注単位1[rn]
17-21556,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004391901.jpg?fitin=700:700,6973.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ユニカ/ユニカ　メタコアトリプル　ツバ無し　５０ｍｍ【MCTR-50TN】(3795179) 受注単位1,切削工具\穴あけ工具\ホールカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●安全ストッパー（ツバ）を排除しているため、貫通作業に適しています。<br>●ハードな使用にもチップ飛びしにくい3枚組刃を採用しています。<br>●35ｍｍの有効長により、厚鋼板から厚肉金属パイプなどの曲面穿孔も可能です。",『カード対応OK！』■〒ユニカ/ユニカ　メタコアトリプル　ツバ無し　５０ｍｍ【MCTR-50TN】(3795179) 受注単位1：クローバー資材館,『カード対応OK！』■〒ユニカ/ユニカ　メタコアトリプル　ツバ無し　５０ｍｍ【MCTR-50TN】(3795179) 受注単位1,切削工具\穴あけ工具\ホールカッター。『カード対応OK！』■〒ユニカ/ユニカ　メタコアトリプル　ツバ無し　５０ｍｍ【MCTR-50TN】(3795179) 受注単位1[rn]
17-21557,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002860520.jpg?fitin=700:700,3949.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ユニカ/ユニカ　超硬ホールソーメタコア　３２ｍｍ【MCS-32】(3348105) 受注単位1,切削工具\穴あけ工具\ホールカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●超硬ホールソーの標準タイプです。<br>●ステップセンタードリルの採用で、センタードリル貫通時の衝撃を緩和します。<br>●ドリルチャック径を選ばない「10mm/13mmチャック兼用シャンク」を採用しています。",『カード対応OK！』■〒ユニカ/ユニカ　超硬ホールソーメタコア　３２ｍｍ【MCS-32】(3348105) 受注単位1：クローバー資材館,『カード対応OK！』■〒ユニカ/ユニカ　超硬ホールソーメタコア　３２ｍｍ【MCS-32】(3348105) 受注単位1,切削工具\穴あけ工具\ホールカッター。『カード対応OK！』■〒ユニカ/ユニカ　超硬ホールソーメタコア　３２ｍｍ【MCS-32】(3348105) 受注単位1[rn]
17-21558,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005130319.jpg?fitin=700:700,2580.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ユニカ/ユニカ　ハイスホールソー充電３３ｍｍ【HSSJ-33(33MM)】(3794962) 受注単位1,切削工具\穴あけ工具\ホールカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●インパクトドライバーで使用可能です。<br>●刃厚わずか0.5mmで刃部にコバルト高速度鋼を使用しており、鋭い切れ味と軽快で快適な作業を実現します。",『カード対応OK！』■〒ユニカ/ユニカ　ハイスホールソー充電３３ｍｍ【HSSJ-33(33MM)】(3794962) 受注単位1：クローバー資材館,『カード対応OK！』■〒ユニカ/ユニカ　ハイスホールソー充電３３ｍｍ【HSSJ-33(33MM)】(3794962) 受注単位1,切削工具\穴あけ工具\ホールカッター。『カード対応OK！』■〒ユニカ/ユニカ　ハイスホールソー充電３３ｍｍ【HSSJ-33(33MM)】(3794962) 受注単位1[rn]
17-21559,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004381964.jpg?fitin=700:700,2308.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ユニカ/ユニカ　ハイスホールソー充電２７ｍｍ【HSSJ-27(5800270071)(27MM)】(3794920) 受注単位1,切削工具\穴あけ工具\ホールカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●インパクトドライバーで使用可能です。<br>●刃厚わずか0.5mmで刃部にコバルト高速度鋼を使用しており、鋭い切れ味と軽快で快適な作業を実現します。",『カード対応OK！』■〒ユニカ/ユニカ　ハイスホールソー充電２７ｍｍ【HSSJ-27(5800270071)(27MM)】(3794920) 受注単位1：クローバー資材館,『カード対応OK！』■〒ユニカ/ユニカ　ハイスホールソー充電２７ｍｍ【HSSJ-27(5800270071)(27MM)】(3794920) 受注単位1,切削工具\穴あけ工具\ホールカッター。『カード対応OK！』■〒ユニカ/ユニカ　ハイスホールソー充電２７ｍｍ【HSSJ-27(5800270071)(27MM)】(3794920) 受注単位1[rn]
17-21560,http://tshop.r10s.jp/clover9608/cabinet/pb6/t010004530799.jpg?fitin=700:700,2920.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＴＳＬホールカッター　５４ｍｍ【TSL-54(54MM)】(2317940) 受注単位1,(2317940),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ロング刃長のため、幅広い分野の穴あけに適応します。<br>●独自のコバルトバイメタル刃を使用しています。<br>●排出用スプリング付です。<br>●不等ピッチ刃形で安定した切削と木材への軽快な穴あけを実現しました。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＴＳＬホールカッター　５４ｍｍ【TSL-54(54MM)】(2317940) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＴＳＬホールカッター　５４ｍｍ【TSL-54(54MM)】(2317940) 受注単位1,(2317940)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＴＳＬホールカッター　５４ｍｍ【TSL-54(54MM)】(2317940) 受注単位1[rn]
17-21561,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003824250.jpg?fitin=700:700,907.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/バーコ　バイメタルホルソー【3830-20-VIP】(3706826) 受注単位1,切削工具\穴あけ工具\ホールカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●コバルト入りマトリックスハイス製で、鉄、ステンレス、サイディング材、木材などの切断に最適です。<br>●すくい角6°、4/6山、内側アサリ値大、切りくず排出穴付です。<br>●荷重負荷に強いフラットキャップです。",『カード対応OK！』■〒スナップオン・ツールズ/バーコ　バイメタルホルソー【3830-20-VIP】(3706826) 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/バーコ　バイメタルホルソー【3830-20-VIP】(3706826) 受注単位1,切削工具\穴あけ工具\ホールカッター。『カード対応OK！』■〒スナップオン・ツールズ/バーコ　バイメタルホルソー【3830-20-VIP】(3706826) 受注単位1[rn]
17-21562,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002851260.jpg?fitin=700:700,2592.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大見工業/大見　ＦＸホールカッターのみ　２１ｍｍ【FX21C(21ﾐﾘ)】(3039293) 受注単位1,切削工具\穴あけ工具\ホールカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ワンタッチで着脱方式「シンプルジョイントシステム」を使用しています。<br>●1本のシャンクでいろいろなサイズのカッターが使用可能です。<br>●分割刃（特許）による驚異の切れ味です。",『カード対応OK！』■〒大見工業/大見　ＦＸホールカッターのみ　２１ｍｍ【FX21C(21ﾐﾘ)】(3039293) 受注単位1：クローバー資材館,『カード対応OK！』■〒大見工業/大見　ＦＸホールカッターのみ　２１ｍｍ【FX21C(21ﾐﾘ)】(3039293) 受注単位1,切削工具\穴あけ工具\ホールカッター。『カード対応OK！』■〒大見工業/大見　ＦＸホールカッターのみ　２１ｍｍ【FX21C(21ﾐﾘ)】(3039293) 受注単位1[rn]
17-21563,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003822901.jpg?fitin=700:700,8586.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大見工業/大見　超硬ステンレスホールカッター　６２ｍｍ【TG62(MS-62)】(1049313) 受注単位1,切削工具\穴あけ工具\ホールカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●5mm以下の金属板の穴あけに最適です。<br>●鋼板、ステンレスなどの穴あけに最適です。<br>●チップ付ホールカッターの代表作です。",『カード対応OK！』■〒大見工業/大見　超硬ステンレスホールカッター　６２ｍｍ【TG62(MS-62)】(1049313) 受注単位1：クローバー資材館,『カード対応OK！』■〒大見工業/大見　超硬ステンレスホールカッター　６２ｍｍ【TG62(MS-62)】(1049313) 受注単位1,切削工具\穴あけ工具\ホールカッター。『カード対応OK！』■〒大見工業/大見　超硬ステンレスホールカッター　６２ｍｍ【TG62(MS-62)】(1049313) 受注単位1[rn]
17-21564,,1650.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒タンガロイ【CTC-5L】(7054921) ＴＡＣ工具部品 受注単位1,切削工具\旋削・フライス加工工具\ホルダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br><br><br><br>●TAC工具部品<br>●押え金<br><br>",『カード対応OK！』■〒タンガロイ【CTC-5L】(7054921) ＴＡＣ工具部品 受注単位1：クローバー資材館,『カード対応OK！』■〒タンガロイ【CTC-5L】(7054921) ＴＡＣ工具部品 受注単位1,切削工具\旋削・フライス加工工具\ホルダー。『カード対応OK！』■〒タンガロイ【CTC-5L】(7054921) ＴＡＣ工具部品 受注単位1[rn]
17-21565,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002572023.jpg?fitin=700:700,7040.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　ＷＳ用チップ　ＣＯＡＴ【TAWNH1520T  VP15TF】(6878229) 受注単位1,切削工具\旋削・フライス加工工具\チップ,,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　ＷＳ用チップ　ＣＯＡＴ【TAWNH1520T  VP15TF】(6878229) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　ＷＳ用チップ　ＣＯＡＴ【TAWNH1520T  VP15TF】(6878229) 受注単位1,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　ＷＳ用チップ　ＣＯＡＴ【TAWNH1520T  VP15TF】(6878229) 受注単位1[rn]
17-21566,,13437.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒タンガロイ【ETEL2020-4T25】(7111487) ＴＡＣバイト角 受注単位1,切削工具\旋削・フライス加工工具\ホルダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br><br><br><br>●EasyCutシリーズ<br>●外径溝入れ加工用<br><br>",『カード対応OK！』■〒タンガロイ【ETEL2020-4T25】(7111487) ＴＡＣバイト角 受注単位1：クローバー資材館,『カード対応OK！』■〒タンガロイ【ETEL2020-4T25】(7111487) ＴＡＣバイト角 受注単位1,切削工具\旋削・フライス加工工具\ホルダー。『カード対応OK！』■〒タンガロイ【ETEL2020-4T25】(7111487) ＴＡＣバイト角 受注単位1[rn]
17-21567,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004371335.jpg?fitin=700:700,6484.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒サンドビック/サンドビック　コロターン１０７　旋削用ポジ・チップ　Ｈ１３Ａ【CCMT 09 T3 04-KF  H13A】(6034012) 受注単位10,切削工具\旋削・フライス加工工具\チップ,,『カード対応OK！』■〒サンドビック/サンドビック　コロターン１０７　旋削用ポジ・チップ　Ｈ１３Ａ【CCMT 09 T3 04-KF  H13A】(6034012) 受注単位10：クローバー資材館,『カード対応OK！』■〒サンドビック/サンドビック　コロターン１０７　旋削用ポジ・チップ　Ｈ１３Ａ【CCMT 09 T3 04-KF  H13A】(6034012) 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒サンドビック/サンドビック　コロターン１０７　旋削用ポジ・チップ　Ｈ１３Ａ【CCMT 09 T3 04-KF  H13A】(6034012) 受注単位10[rn]
17-21568,,2857.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【PC-E220】(7331461) 吸塵カバー　２２０ｍｍ 受注単位1,切削工具\穴あけ工具\コアドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●埃を嫌う現場に最適です。<br>●吸塵シャンクに対応します。<br><br><br>●適合最大刃径（mm）：220<br><br><br>●プラスチック伸縮式<br>",『カード対応OK！』■〒ボッシュ【PC-E220】(7331461) 吸塵カバー　２２０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【PC-E220】(7331461) 吸塵カバー　２２０ｍｍ 受注単位1,切削工具\穴あけ工具\コアドリル。『カード対応OK！』■〒ボッシュ【PC-E220】(7331461) 吸塵カバー　２２０ｍｍ 受注単位1[rn]
17-21569,,12383.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【PC-SR/LE】(7331568) 吸塵ストレートシャンクＬ 受注単位1,切削工具\穴あけ工具\コアドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ポリクリックカッター用のシャンクです。<br><br><br>●シャンク：13mmストレートシャンク<br>●質量(g)：605<br><br><br>●炭素鋼・ショットブラスト仕上げ<br>",『カード対応OK！』■〒ボッシュ【PC-SR/LE】(7331568) 吸塵ストレートシャンクＬ 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【PC-SR/LE】(7331568) 吸塵ストレートシャンクＬ 受注単位1,切削工具\穴あけ工具\コアドリル。『カード対応OK！』■〒ボッシュ【PC-SR/LE】(7331568) 吸塵ストレートシャンクＬ 受注単位1[rn]
17-21570,,6701.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【PGW-038C】(7534744) ガルバウッドコアカッター３８ｍｍ 受注単位1,切削工具\穴あけ工具\コアドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ガルバリウム鋼板と木材を一気に貫通できます。<br>●独自の2枚刃を使用し、金属への食いつきが抜群で、切粉の排出がスムーズです。<br><br>●ガルバリウム鋼板を使用した金属系サイディング、窒業系サイディング、木材、湿ったALC等の穴あけに。<br><br>●刃径(mm)：38<br>●有効長(mm)：130<br>●刃厚(mm)：3.5<br>●質量(g)：230<br><br>●適合機種：電気ドリル、軽量ハンマードリル、SDS-maxハンマードリル<br><br>●刃部：超硬チップ<br>",『カード対応OK！』■〒ボッシュ【PGW-038C】(7534744) ガルバウッドコアカッター３８ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【PGW-038C】(7534744) ガルバウッドコアカッター３８ｍｍ 受注単位1,切削工具\穴あけ工具\コアドリル。『カード対応OK！』■〒ボッシュ【PGW-038C】(7534744) ガルバウッドコアカッター３８ｍｍ 受注単位1[rn]
17-21571,,4626.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立工機/日立【0033-2513】(7677791) 溶着ダイヤモンドドリルビット　（六角軸）　２０．０ｍｍ 受注単位1,切削工具\穴あけ工具\コアドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●コアドリル採用で被削材への力が分散され、欠けが少なくきれいな仕上がりが可能です。<br>●先端部のスリット採用により注水及び切粉の排出を促進します。<br><br>●硬質タイル等の穴あけに。<br><br>●刃径(mm)：20<br>●有効長(mm)：35<br>●シャンク径(mm)：6.35<br>●全長(mm)：65<br>●質量(g)：60<br><br>●適合機種：インパクトドライバー、ドライバドリル<br><br>●刃部：ダイヤモンド<br>",『カード対応OK！』■〒日立工機/日立【0033-2513】(7677791) 溶着ダイヤモンドドリルビット　（六角軸）　２０．０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒日立工機/日立【0033-2513】(7677791) 溶着ダイヤモンドドリルビット　（六角軸）　２０．０ｍｍ 受注単位1,切削工具\穴あけ工具\コアドリル。『カード対応OK！』■〒日立工機/日立【0033-2513】(7677791) 溶着ダイヤモンドドリルビット　（六角軸）　２０．０ｍｍ 受注単位1[rn]
17-21572,,7620.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【PAL-075C】(7331169) ＡＬＣコア　カッター　７５ｍｍ 受注単位1,切削工具\穴あけ工具\コアドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ALCと鉄筋を同時にラクラク切断できます。<br>●高品質の超硬チップの採用で超長寿命です。<br><br>●ALC板の穴あけ<br><br>●刃径(mm)：75<br>●有効長(mm)：130<br>●刃厚(mm)：2.0<br>●全長(mm)：160<br>●質量(g)：550<br><br>●適合機種：電気ドリル、軽量ハンマードリル、SDS-maxハンマードリル<br><br>●刃部：超硬チップ<br>",『カード対応OK！』■〒ボッシュ【PAL-075C】(7331169) ＡＬＣコア　カッター　７５ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【PAL-075C】(7331169) ＡＬＣコア　カッター　７５ｍｍ 受注単位1,切削工具\穴あけ工具\コアドリル。『カード対応OK！』■〒ボッシュ【PAL-075C】(7331169) ＡＬＣコア　カッター　７５ｍｍ 受注単位1[rn]
