9-12803,,662.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ホイルブラシ　３８Ｘ１０ｍｍ穴　ステンレス線　線径０．３【TB-6313】(3291375) 受注単位1,(3291375),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●ブラシ形状が円盤型で、外面に向かって放射状に毛が植わっています。<br>●円盤状のブラシの中心に10mmの穴が開いていて工具、機械などに同径の軸がついていれば取り付けが可能です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ホイルブラシ　３８Ｘ１０ｍｍ穴　ステンレス線　線径０．３【TB-6313】(3291375) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ホイルブラシ　３８Ｘ１０ｍｍ穴　ステンレス線　線径０．３【TB-6313】(3291375) 受注単位1,(3291375)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ホイルブラシ　３８Ｘ１０ｍｍ穴　ステンレス線　線径０．３【TB-6313】(3291375) 受注単位1[rn]
9-12852,,28156.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NRD-6PB】(7534078) ドリル　６．５ｍｍ　１０１９９ 受注単位1,作業用品\空圧工具\エアドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●小型、軽量、強力なエアーモータを使用しているので、迅速な穴あけ作業が可能です。<br><br>●電気機器、サッシ、板金、プレハブなどの多くの産業で穴明け作業に。<br><br>●チャック能力(mm)：6.5<br>●穴あけ能力(mm)：6.5<br>●空気消費量([[立米]]/min)：0.5<br>●ホース取入口：Rc1/4<br>●排気：後方<br>●全長(mm)：150<br>●無負荷回転数(min[[の-1乗]])：2400<br>●能力ドリル径(mm)：6.5<br>●質量(kg)：0.8<br><br>●使用空気圧力：0.6MPa<br><br>●鋳物用アルミニウム合金,クロムモリブデン鋼<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NRD-6PB】(7534078) ドリル　６．５ｍｍ　１０１９９ 受注単位1：クローバー資材館,『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NRD-6PB】(7534078) ドリル　６．５ｍｍ　１０１９９ 受注単位1,作業用品\空圧工具\エアドリル。『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NRD-6PB】(7534078) ドリル　６．５ｍｍ　１０１９９ 受注単位1[rn]
9-12853,,35380.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　電源延長コード２０ｍ【COOD-20】(3940764) 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　電源延長コード２０ｍ【COOD-20】(3940764) 受注単位1：クローバー資材館,『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　電源延長コード２０ｍ【COOD-20】(3940764) 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー。『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　電源延長コード２０ｍ【COOD-20】(3940764) 受注単位1[rn]
9-12854,,22680.0000,,花・ガーデン・DIY > DIY・工具 > その他,∀『カード対応OK！』■〒富士製砥/高速　出力ケーブル　１０Ｍ【1410510】() 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー,"<p><font size=""4"" color=""#0033ff""><b>※こちらの商品は配送地域によって送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font></p><br><font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",&forall;『カード対応OK！』■〒富士製砥/高速　出力ケーブル　１０Ｍ【1410510】() 受注単位1：クローバー資材館,&forall;『カード対応OK！』■〒富士製砥/高速　出力ケーブル　１０Ｍ【1410510】() 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー。&forall;『カード対応OK！』■〒富士製砥/高速　出力ケーブル　１０Ｍ【1410510】() 受注単位1[rn]
9-12855,,28090.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　電源延長コード１０ｍ【COOD-10】(3940756) 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　電源延長コード１０ｍ【COOD-10】(3940756) 受注単位1：クローバー資材館,『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　電源延長コード１０ｍ【COOD-10】(3940756) 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー。『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　電源延長コード１０ｍ【COOD-10】(3940756) 受注単位1[rn]
9-12856,,55679.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ【HDGS-180A】(7639678) 高周波グラインダ１８０ｍｍ 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ギヤケースのローヘッド化（高さ68mm)になり作業範囲が拡大しました。<br>●サイドハンドルが本体上部に取付可能になりました。<br>●軽量型アングルグラインダです。<br><br><br>●砥石径(mm)：180（高速度用）<br>●消費電力(W)：1400<br>●無負荷回転数(min[[の-1乗]])：8000<br><br>●使用可能砥石の周速度：4800m/min<br>●電流：5.7A<br>●電源容量算定基準：2.5kVA<br>●コード長さ：2.5m<br>●4芯タイプ<br>●適用インバーター電源：HFI-130B(専用アダプター使用時HFI-044B、HFI-088B使用可能)<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ【HDGS-180A】(7639678) 高周波グラインダ１８０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ【HDGS-180A】(7639678) 高周波グラインダ１８０ｍｍ 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー。『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ【HDGS-180A】(7639678) 高周波グラインダ１８０ｍｍ 受注単位1[rn]
9-12857,,36352.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　高周波グラインダ１２５ｍｍ【HDG-13B】(3940781) 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●軽量で、回転速度の変動が少なく研削力に優れます。<br>●堅ろうな構造、長寿命、高能率です。<br>●作業時間短縮が実現できます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　高周波グラインダ１２５ｍｍ【HDG-13B】(3940781) 受注単位1：クローバー資材館,『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　高周波グラインダ１２５ｍｍ【HDG-13B】(3940781) 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー。『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　高周波グラインダ１２５ｍｍ【HDG-13B】(3940781) 受注単位1[rn]
9-12858,,96940.8000,,花・ガーデン・DIY > DIY・工具 > その他,↑#『カード対応OK！』■〒富士製砥/高速　高周波発生機【KFC-400P】() 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー,"<p><font size=""4"" color=""#0033ff""><b>※こちらの商品は問屋運送便となります。ご入金確認後のお手配です。</b></font></p><br><font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●小型・軽量・持ち運びに便利です。<br>●低騒音・低振動です。<br>●周波数50Hz/60Hz共用でどの地域でも使用できます。<br>●コンパクトなので狭い場所にも設置できます。<br>●省エネによりランニングコストが削減できます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",&uarr;#『カード対応OK！』■〒富士製砥/高速　高周波発生機【KFC-400P】() 受注単位1：クローバー資材館,&uarr;#『カード対応OK！』■〒富士製砥/高速　高周波発生機【KFC-400P】() 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー。&uarr;#『カード対応OK！』■〒富士製砥/高速　高周波発生機【KFC-400P】() 受注単位1[rn]
9-12859,,6124.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　ＨＤＧシリーズ専用アダプター【76331014】(3940748) 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　ＨＤＧシリーズ専用アダプター【76331014】(3940748) 受注単位1：クローバー資材館,『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　ＨＤＧシリーズ専用アダプター【76331014】(3940748) 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー。『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　ＨＤＧシリーズ専用アダプター【76331014】(3940748) 受注単位1[rn]
9-12860,,138801.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　高周波インバータ電源【HFI-044B】(3940853) 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●低騒音・低振動です。<br>●消費電力が少なく経済的です。<br>●各種保護機能を装備、万一にも安心のインバーター電源です。<br>●防じん構造により故障知らずです。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　高周波インバータ電源【HFI-044B】(3940853) 受注単位1：クローバー資材館,『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　高周波インバータ電源【HFI-044B】(3940853) 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー。『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　高周波インバータ電源【HFI-044B】(3940853) 受注単位1[rn]
9-12861,,56181.6000,,花・ガーデン・DIY > DIY・工具 > その他,↑#『カード対応OK！』■〒富士製砥/高速　高周波グラインダ【HGC-418】() 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー,"<p><font size=""4"" color=""#0033ff""><b>※こちらの商品は問屋運送便となります。ご入金確認後のお手配です。</b></font></p><br><font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●電源には、400Hzの高周波を提供する専用のインバータ電源装置（KFC-400P）を使用します。<br>●ソフトスタート/ソフトストップで始動、停止の衝撃が小さいです。軽い押付力で研削能率がアップします。<br>●周速度72m/S（4300m/min）の砥石が使用できます。<br>●作業をするときは出力ケーブル（10mもしくは20ｍ）をご使用ください。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",&uarr;#『カード対応OK！』■〒富士製砥/高速　高周波グラインダ【HGC-418】() 受注単位1：クローバー資材館,&uarr;#『カード対応OK！』■〒富士製砥/高速　高周波グラインダ【HGC-418】() 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー。&uarr;#『カード対応OK！』■〒富士製砥/高速　高周波グラインダ【HGC-418】() 受注単位1[rn]
9-12862,,44614.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　高周波スーパーグラインダ【SGHP-18A】(3940888) 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●ソフトスタート＆瞬時ストップ機能付です。<br>●軽量で、回転速度の変動が少なく研削力に優れます。<br>●作業時間短縮が実現できます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　高周波スーパーグラインダ【SGHP-18A】(3940888) 受注単位1：クローバー資材館,『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　高周波スーパーグラインダ【SGHP-18A】(3940888) 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー。『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　高周波スーパーグラインダ【SGHP-18A】(3940888) 受注単位1[rn]
9-12863,,24785.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　延長専用ケーブル３０ｍ【76331013】(3940730) 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　延長専用ケーブル３０ｍ【76331013】(3940730) 受注単位1：クローバー資材館,『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　延長専用ケーブル３０ｍ【76331013】(3940730) 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー。『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　延長専用ケーブル３０ｍ【76331013】(3940730) 受注単位1[rn]
9-12864,,3965.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ノリタケコーテッドアブレーシ/ＮＣＡ　ファブリックホイール（万能タイプ）【A10HFL004200X25】(3367754) 受注単位1,作業用品\研削研磨用品\グラインダー用研磨材,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●研磨力が強く、耐久性があります。<br>●バリ取りからサビ取りまで、幅広く使用できます。<br>●軽量で使用しやすくハンドツールにも装着可能です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ノリタケコーテッドアブレーシ/ＮＣＡ　ファブリックホイール（万能タイプ）【A10HFL004200X25】(3367754) 受注単位1：クローバー資材館,『カード対応OK！』■〒ノリタケコーテッドアブレーシ/ＮＣＡ　ファブリックホイール（万能タイプ）【A10HFL004200X25】(3367754) 受注単位1,作業用品\研削研磨用品\グラインダー用研磨材。『カード対応OK！』■〒ノリタケコーテッドアブレーシ/ＮＣＡ　ファブリックホイール（万能タイプ）【A10HFL004200X25】(3367754) 受注単位1[rn]
9-12865,http://tshop.r10s.jp/clover9608/cabinet/pb3-1/t010002804653.jpg?fitin=700:700,567.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　茶カツ仕上げバフ　外径Φ２５０Ｘ穴径１９．０５ｍｍ　１個入【TTB-250-6 (250ﾊﾟｲX7X19.05)】(2899949) 受注単位1,(2899949),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●青棒を付けて一般金属の仕上げ研磨ができる綿布バフです。樹脂用トリポリを付けて樹脂の研磨に使用できます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　茶カツ仕上げバフ　外径Φ２５０Ｘ穴径１９．０５ｍｍ　１個入【TTB-250-6 (250ﾊﾟｲX7X19.05)】(2899949) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　茶カツ仕上げバフ　外径Φ２５０Ｘ穴径１９．０５ｍｍ　１個入【TTB-250-6 (250ﾊﾟｲX7X19.05)】(2899949) 受注単位1,(2899949)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　茶カツ仕上げバフ　外径Φ２５０Ｘ穴径１９．０５ｍｍ　１個入【TTB-250-6 (250ﾊﾟｲX7X19.05)】(2899949) 受注単位1[rn]
9-12866,,1653.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFW100-25-400】(7682981) ＴＲＵＳＣＯ研磨輪　外径１００　幅２５　４００＃　２個入 受注単位1,作業用品\研削研磨用品\グラインダー用研磨材,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●加工物の形状になじみやすいです。<br>●回転数の変更で硬いものから柔らかいものまで自由な研磨ができます。<br><br>●各種金属の疵取り、スケール除去、仕上げ研磨に。<br>●各種金属のヘアーライン仕上げ、表面仕上げに。<br>●使用工具：フレキシブルグラインダー、両面グラインダー。<br>●プラスチック、成形品のバリ取り。<br>●丸棒・パイプ等の表面仕上げ。<br>●金属・木工等の曲面や異形面の研磨。<br><br>●粒度(#)：400<br>●外径(mm)：100<br>●厚み(mm)：25<br>●穴径(mm)：12.7<br>●最高使用回転数(rpm)：8000<br>●幅(mm)：25<br><br>●最高使用周速度：42m/s(2520m/min)<br><br>●アランダム<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFW100-25-400】(7682981) ＴＲＵＳＣＯ研磨輪　外径１００　幅２５　４００＃　２個入 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFW100-25-400】(7682981) ＴＲＵＳＣＯ研磨輪　外径１００　幅２５　４００＃　２個入 受注単位1,作業用品\研削研磨用品\グラインダー用研磨材。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFW100-25-400】(7682981) ＴＲＵＳＣＯ研磨輪　外径１００　幅２５　４００＃　２個入 受注単位1[rn]
9-12867,,752.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イチグチ/ＡＣ－白棒【WB】(3973689) 受注単位1,作業用品\研削研磨用品\グラインダー用研磨材,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●固形油性研磨剤です。<br>●ステンレス・アルミニウム・クロームメッキの仕上げには白棒のご使用をお勧めします。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒イチグチ/ＡＣ&minus;白棒【WB】(3973689) 受注単位1：クローバー資材館,『カード対応OK！』■〒イチグチ/ＡＣ&minus;白棒【WB】(3973689) 受注単位1,作業用品\研削研磨用品\グラインダー用研磨材。『カード対応OK！』■〒イチグチ/ＡＣ&minus;白棒【WB】(3973689) 受注単位1[rn]
9-12868,,451656.0000,,花・ガーデン・DIY > DIY・工具 > その他,##『カード対応OK！』■〒富士製砥/高速　高周波発生機【NFG-66】() 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー,"<p><font size=""4"" color=""#0033ff""><b>※こちらの商品は問屋運送便となります。ご入金確認後のお手配です。</b></font></p><br><font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●FGシリーズと比べて重量が1/2と大変軽量になっています。<br>●パイプフレーム・キャスター付きで衝撃防止と持ち運びが容易です。<br>●カバー標準装備で防じん性を高めました。発電機は永久磁石方式でメンテナンスフリーを実現しました。<br>●操作部をパネルにして、表示灯を採用し操作性が向上しました。<br>●モーター・発電機ブレーカー採用により発電機焼損を防止します。<br>●キャスターを外せば3段まで重ねて収納できます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",##『カード対応OK！』■〒富士製砥/高速　高周波発生機【NFG-66】() 受注単位1：クローバー資材館,##『カード対応OK！』■〒富士製砥/高速　高周波発生機【NFG-66】() 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー。##『カード対応OK！』■〒富士製砥/高速　高周波発生機【NFG-66】() 受注単位1[rn]
9-12869,http://tshop.r10s.jp/clover9608/cabinet/pb7/t010004855122.jpg?fitin=700:700,3445.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＧＰサンダーペーパー　ねじ込み式　Φ８０　５個入　６０＃【GPSP8025#60 (5ｺｲﾘ)】(1146114) 受注単位1,(1146114),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●一般金属用です。弾性があり、ディスクペーパー（平面使用）としても、フラップホイール（側面使用）としても使用できます。研磨布と研磨布の間が多少開いているため、目づまりが少なく最後まで使用できます。<br>●曲面にピッタリフィットします。<br>●直接ねじ込み式です。<br>●ひとつひとつ手植えし、かしめたプロ用研磨材です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＧＰサンダーペーパー　ねじ込み式　Φ８０　５個入　６０＃【GPSP8025#60 (5ｺｲﾘ)】(1146114) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＧＰサンダーペーパー　ねじ込み式　Φ８０　５個入　６０＃【GPSP8025#60 (5ｺｲﾘ)】(1146114) 受注単位1,(1146114)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＧＰサンダーペーパー　ねじ込み式　Φ８０　５個入　６０＃【GPSP8025#60 (5ｺｲﾘ)】(1146114) 受注単位1[rn]
9-12870,http://tshop.r10s.jp/clover9608/cabinet/pb7/t010004855116.jpg?fitin=700:700,5036.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＧＰサンダーナイロン　ねじ込み式　Φ１００　５個入　６００＃【GPSN10025#600 (5ｺｲﾘ)】(1169483) 受注単位1,(1169483),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●ステンレス、一般金属兼用です。上面、下面、側面の3面で研磨作業が可能です。絡み合ったナイロン研磨材を使用しているため、クッション性があり被研磨材を削りすぎず表面だけを仕上げます。また、側面を利用して直線作業で、美しいヘアライン加工ができます。<br>●ディスクグラインダーのシャフトに直接ねじ込んで取り付けます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＧＰサンダーナイロン　ねじ込み式　Φ１００　５個入　６００＃【GPSN10025#600 (5ｺｲﾘ)】(1169483) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＧＰサンダーナイロン　ねじ込み式　Φ１００　５個入　６００＃【GPSN10025#600 (5ｺｲﾘ)】(1169483) 受注単位1,(1169483)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＧＰサンダーナイロン　ねじ込み式　Φ１００　５個入　６００＃【GPSN10025#600 (5ｺｲﾘ)】(1169483) 受注単位1[rn]
9-12871,,72705.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　高周波ディスクグラインダ【HDGT-18PS】(3940837) 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●強力高出力防振型にソフトスタート＆ブレーキがつきました。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　高周波ディスクグラインダ【HDGT-18PS】(3940837) 受注単位1：クローバー資材館,『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　高周波ディスクグラインダ【HDGT-18PS】(3940837) 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー。『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　高周波ディスクグラインダ【HDGT-18PS】(3940837) 受注単位1[rn]
