13-6601,,4762.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ポップリベット・ファスナー　/Ｂ／Ｄ　１０．８Ｖリチウム電池用充電器【LC1013】(3908186) 受注単位1,作業用品\電動工具・油圧工具\インパクトドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●10.8Vリチウムイオン用充電器。",『カード対応OK！』■〒ポップリベット・ファスナー　/Ｂ／Ｄ　１０．８Ｖリチウム電池用充電器【LC1013】(3908186) 受注単位1：クローバー資材館,『カード対応OK！』■〒ポップリベット・ファスナー　/Ｂ／Ｄ　１０．８Ｖリチウム電池用充電器【LC1013】(3908186) 受注単位1,作業用品\電動工具・油圧工具\インパクトドライバー。『カード対応OK！』■〒ポップリベット・ファスナー　/Ｂ／Ｄ　１０．８Ｖリチウム電池用充電器【LC1013】(3908186) 受注単位1[rn]
13-6642,http://tshop.r10s.jp/clover9608/cabinet/pb9/t010005466983.jpg?fitin=700:700,905.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　コンパクトツールケース　シザーポケット　グレー【TCTC1509-GY】(3638618) 受注単位1,(3638618),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●超はっ水加工です。<br>●カラビナ付（アルミ製）です。<br>●現場で使用する携帯電話の収納に最適です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　コンパクトツールケース　シザーポケット　グレー【TCTC1509-GY】(3638618) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　コンパクトツールケース　シザーポケット　グレー【TCTC1509-GY】(3638618) 受注単位1,(3638618)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　コンパクトツールケース　シザーポケット　グレー【TCTC1509-GY】(3638618) 受注単位1[rn]
13-6643,,352.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒蝶プラ工業/蝶プラ　デスコＢＲ－４Ａフタ付き【690519】(3214893) 受注単位1,作業用品\工具箱・ツールバッグ\パーツケース,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●透明で中身が分かります。<br>●透明フタ付で、ホコリなどがつきません。",『カード対応OK！』■〒蝶プラ工業/蝶プラ　デスコＢＲ&minus;４Ａフタ付き【690519】(3214893) 受注単位1：クローバー資材館,『カード対応OK！』■〒蝶プラ工業/蝶プラ　デスコＢＲ&minus;４Ａフタ付き【690519】(3214893) 受注単位1,作業用品\工具箱・ツールバッグ\パーツケース。『カード対応OK！』■〒蝶プラ工業/蝶プラ　デスコＢＲ&minus;４Ａフタ付き【690519】(3214893) 受注単位1[rn]
13-6644,,1468.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＴＪＭデザイン/タジマ 測量品【TM-DE2】(8134666) タジマ タフマックス 電工腰袋(2段) 発注単位1,作業用品\工具箱・ツールバッグ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●芯材に当社独自のソフトEVAフォームを採用しています。<br>
●耐摩耗性に優れた特殊ナイロンとの組み合わせにより天然皮革のようなしなやかな生地を実現しました。<br>
●超軽量で水に強い撥水加工を施しております。<br>
●強力ダブルリベットで長持ちです。<br>
●建築・工事用腰袋。<br>
●幅(mm):180<br>
●高さ(mm):220<br>
●形状:腰袋2段<br>
●奥行(mm):110<br>
●撥水加工<br>
●目盛仕様:メートル目盛、JIS1級<br>
●テープ幅:19mm<br>
●テープ長さ:5.5ｍ<br>
●ヨンゴーゴーピッチ表示付<br>
●ストラップ付<br>
●大型ベルトクリップ付<br>
●爪飛び防止用プロテクター付<br>
●しなやかな三層生地<br>
●本体:ソフトEVAフォーム<br>
●本体:ナイロン<br>
●本製品はナイロン製ですので、火気のある場所でのご使用時には注意してください。",■〒ＴＪＭデザイン/タジマ 測量品【TM-DE2】(8134666) タジマ タフマックス 電工腰袋(2段) 発注単位1：クローバー資材館,■〒ＴＪＭデザイン/タジマ 測量品【TM-DE2】(8134666) タジマ タフマックス 電工腰袋(2段) 発注単位1,作業用品\工具箱・ツールバッグ。■〒ＴＪＭデザイン/タジマ 測量品【TM-DE2】(8134666) タジマ タフマックス 電工腰袋(2段) 発注単位1[rn]
13-6645,,1349.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　アラウンド・ザ・ウエスト　ステン工具ホルダーＦ型【AW-SKHF】(3354164) 受注単位1,作業用品\工具箱・ツールバッグ\ツールホルダ・バッグ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●直径6ミリの極太リングで、長い使用にも摩耗しません。<br>●体の動きを邪魔しない自在ジョイントを採用しています。<br>●極太仕様です。<br>●50mm幅のベルト専用です。<br>●取り付け工具の重量は2ｋｇ以下です。<br>●ポジションの高低が選べます。",『カード対応OK！』■〒ＴＪＭデザイン/タジマ　アラウンド・ザ・ウエスト　ステン工具ホルダーＦ型【AW-SKHF】(3354164) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　アラウンド・ザ・ウエスト　ステン工具ホルダーＦ型【AW-SKHF】(3354164) 受注単位1,作業用品\工具箱・ツールバッグ\ツールホルダ・バッグ。『カード対応OK！』■〒ＴＪＭデザイン/タジマ　アラウンド・ザ・ウエスト　ステン工具ホルダーＦ型【AW-SKHF】(3354164) 受注単位1[rn]
13-6646,http://tshop.r10s.jp/clover9608/cabinet/pb3-1/t010003804874.jpg?fitin=700:700,768.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ワンタッチパックルワーキングベルト　５０ｍｍ幅　ブルー【TC-50】(2320479) 受注単位1,(2320479),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●PPベルトにワンタッチバックル付です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ワンタッチパックルワーキングベルト　５０ｍｍ幅　ブルー【TC-50】(2320479) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ワンタッチパックルワーキングベルト　５０ｍｍ幅　ブルー【TC-50】(2320479) 受注単位1,(2320479)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ワンタッチパックルワーキングベルト　５０ｍｍ幅　ブルー【TC-50】(2320479) 受注単位1[rn]
13-6647,,679.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒明邦化学工業/メイホー　ハンディボックス　Ｓ【HBST】(4028767) 受注単位1,作業用品\工具箱・ツールバッグ\樹脂製工具箱,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●カッターナイフやドライバーなどのツール入れに最適です。<br>●中身が一目でわかるクリアータイプです。",『カード対応OK！』■〒明邦化学工業/メイホー　ハンディボックス　Ｓ【HBST】(4028767) 受注単位1：クローバー資材館,『カード対応OK！』■〒明邦化学工業/メイホー　ハンディボックス　Ｓ【HBST】(4028767) 受注単位1,作業用品\工具箱・ツールバッグ\樹脂製工具箱。『カード対応OK！』■〒明邦化学工業/メイホー　ハンディボックス　Ｓ【HBST】(4028767) 受注単位1[rn]
13-6648,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005201348.jpg?fitin=700:700,884.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒室本鉄工/メリー　樹脂板ＳＸ１５用（５個入り）【PBSX155P】(3689166) 受注単位1,作業用品\電設工具\ダクトカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●SX25の交換用樹脂板（5個入り）です。",『カード対応OK！』■〒室本鉄工/メリー　樹脂板ＳＸ１５用（５個入り）【PBSX155P】(3689166) 受注単位1：クローバー資材館,『カード対応OK！』■〒室本鉄工/メリー　樹脂板ＳＸ１５用（５個入り）【PBSX155P】(3689166) 受注単位1,作業用品\電設工具\ダクトカッター。『カード対応OK！』■〒室本鉄工/メリー　樹脂板ＳＸ１５用（５個入り）【PBSX155P】(3689166) 受注単位1[rn]
13-6649,,737.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ ハンドツール【1259-02】(7925069) ＫＮＩＰＥＸ 1259－02 1250－200用アゴ 発注単位1,作業用品\電設工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●適合機種:1250-200<br>
●品名:先端アゴ替え（1250-200用）",■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ ハンドツール【1259-02】(7925069) ＫＮＩＰＥＸ 1259&minus;02 1250&minus;200用アゴ 発注単位1：クローバー資材館,■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ ハンドツール【1259-02】(7925069) ＫＮＩＰＥＸ 1259&minus;02 1250&minus;200用アゴ 発注単位1,作業用品\電設工具。■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ ハンドツール【1259-02】(7925069) ＫＮＩＰＥＸ 1259&minus;02 1250&minus;200用アゴ 発注単位1[rn]
13-6650,,32397.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本ワイドミュラー/ワイドミュラー【9202210000】(4974841) ワイヤーストリッパー　Ｍｕｌｔｉ　Ｓｔｒｉｐａｘ　６－１６ｓｑ 受注単位1,作業用品\電設工具\ワイヤストリッパー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●金属部品で構成されており外皮の硬いケーブルにも対応します。<br>●標準装備された1mm単位で調整できるゲージにより一定の剥き長さでストリップ可能です。<br>●6.0-16mm2のPVCケーブルのストリップに最適です。<br><br>●PVC電線のストリップに。<br><br>●全長(mm)：250<br>●適合電線：6、10、16mm[[の2乗]] （PVCケーブル）<br>●剥き幅(mm)：3.0<br>●質量(g)：555<br><br><br>",『カード対応OK！』■〒日本ワイドミュラー/ワイドミュラー【9202210000】(4974841) ワイヤーストリッパー　Ｍｕｌｔｉ　Ｓｔｒｉｐａｘ　６&minus;１６ｓｑ 受注単位1：クローバー資材館,『カード対応OK！』■〒日本ワイドミュラー/ワイドミュラー【9202210000】(4974841) ワイヤーストリッパー　Ｍｕｌｔｉ　Ｓｔｒｉｐａｘ　６&minus;１６ｓｑ 受注単位1,作業用品\電設工具\ワイヤストリッパー。『カード対応OK！』■〒日本ワイドミュラー/ワイドミュラー【9202210000】(4974841) ワイヤーストリッパー　Ｍｕｌｔｉ　Ｓｔｒｉｐａｘ　６&minus;１６ｓｑ 受注単位1[rn]
13-6651,,324.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ホーザン/ＨＯＺＡＮ ペンチ【P-925】(7757581) ＨＯＺＡＮ 合格ゲージ 発注単位1,作業用品\電設工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●電線のストリップ・カットをより正確に行うことができます。<br>
●VVFストリッパー専用のストリップゲージ。<br>
●全長(mm):23<br>
●適合機種:P-956、957、958",■〒ホーザン/ＨＯＺＡＮ ペンチ【P-925】(7757581) ＨＯＺＡＮ 合格ゲージ 発注単位1：クローバー資材館,■〒ホーザン/ＨＯＺＡＮ ペンチ【P-925】(7757581) ＨＯＺＡＮ 合格ゲージ 発注単位1,作業用品\電設工具。■〒ホーザン/ＨＯＺＡＮ ペンチ【P-925】(7757581) ＨＯＺＡＮ 合格ゲージ 発注単位1[rn]
13-6652,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002817601.jpg?fitin=700:700,14918.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒興和化成/ＫＯＷＡ　バーディーカッター【KC-100】(3220818) 受注単位1,作業用品\電設工具\ダクトカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●刃部を硬質および軟質プラスチックの切断に最適な形状としたプラスチック切断用ツールです。<br>●受け部の凹部と付属スライドカバー・付属直角アタッチメントを併用することで配線ダクト・端子台カバーなど各種プラスチック材料の切断が容易に行えます。",『カード対応OK！』■〒興和化成/ＫＯＷＡ　バーディーカッター【KC-100】(3220818) 受注単位1：クローバー資材館,『カード対応OK！』■〒興和化成/ＫＯＷＡ　バーディーカッター【KC-100】(3220818) 受注単位1,作業用品\電設工具\ダクトカッター。『カード対応OK！』■〒興和化成/ＫＯＷＡ　バーディーカッター【KC-100】(3220818) 受注単位1[rn]
13-6653,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004397077.jpg?fitin=700:700,59328.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒泉精器製作所/泉　手動油圧式工具標準ダイス付【EP-150A】(3750523) 受注単位1,作業用品\電設工具\油圧式圧着工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●早送り機構付なので端子の仮押さえがハンドル操作3回以内でできます。<br>●ヘッドは180°回転可能です。",『カード対応OK！』■〒泉精器製作所/泉　手動油圧式工具標準ダイス付【EP-150A】(3750523) 受注単位1：クローバー資材館,『カード対応OK！』■〒泉精器製作所/泉　手動油圧式工具標準ダイス付【EP-150A】(3750523) 受注単位1,作業用品\電設工具\油圧式圧着工具。『カード対応OK！』■〒泉精器製作所/泉　手動油圧式工具標準ダイス付【EP-150A】(3750523) 受注単位1[rn]
13-6654,,7484.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒フジ矢/ビクター ペンチ【6002VA】(8144702) ビクター ＶＡ線ストッパー 発注単位1,作業用品\電設工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●VVF(VA線)、EM-EEF（エコ線)に対応しています。<br>
●電気工事に最適。<br>
●適合電線:2.0ｍｍ（2芯・3芯）<br>
●全長(mm):140<br>
●適合電線VVE線･EM-EEF線:2芯×2.0mm、3芯×2.0mm<br>
●アルミダイキャスト",■〒フジ矢/ビクター ペンチ【6002VA】(8144702) ビクター ＶＡ線ストッパー 発注単位1：クローバー資材館,■〒フジ矢/ビクター ペンチ【6002VA】(8144702) ビクター ＶＡ線ストッパー 発注単位1,作業用品\電設工具。■〒フジ矢/ビクター ペンチ【6002VA】(8144702) ビクター ＶＡ線ストッパー 発注単位1[rn]
13-6655,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005120607.jpg?fitin=700:700,24235.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大見工業/大見　電設用シメール３型【D3 (500KG)】(1166654) 受注単位1,作業用品\電設工具\通線工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒大見工業/大見　電設用シメール３型【D3 (500KG)】(1166654) 受注単位1：クローバー資材館,『カード対応OK！』■〒大見工業/大見　電設用シメール３型【D3 (500KG)】(1166654) 受注単位1,作業用品\電設工具\通線工具。『カード対応OK！』■〒大見工業/大見　電設用シメール３型【D3 (500KG)】(1166654) 受注単位1[rn]
13-6656,,19090.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【9539-720】(4970951) ９５３２－０６０用替刃 受注単位1,作業用品\電設工具\ケーブルカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br><br><br>●適合本体：9532-060<br>●質量(g)：600<br><br>●9532-060用替刃<br><br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【9539-720】(4970951) ９５３２&minus;０６０用替刃 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【9539-720】(4970951) ９５３２&minus;０６０用替刃 受注単位1,作業用品\電設工具\ケーブルカッター。『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【9539-720】(4970951) ９５３２&minus;０６０用替刃 受注単位1[rn]
13-6657,,2851.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒フジ矢/ビクター ペンチ【6000N】(7919123) ビクター ワイヤーストリッパー 発注単位1,作業用品\電設工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●超軽量のストリッパーで、ひと握りでビニール線の被覆を簡単に剥ぎ取ることができます。<br>
●便利なストリップガード付です。<br>
●電気工事、自動車の電気回路、電話の通信工事等<br>
●ビニール線の被覆作業に。<br>
●適合電線:0.5/1.2/1.6/2.0/2.6/3.2mm単線　0.2/1.0/2.0/3.5/5.5/8.5mm[[の2乗]]より線<br>
●全長(mm):170<br>
●プラスチック<br>
●IV線には使用できません。",■〒フジ矢/ビクター ペンチ【6000N】(7919123) ビクター ワイヤーストリッパー 発注単位1：クローバー資材館,■〒フジ矢/ビクター ペンチ【6000N】(7919123) ビクター ワイヤーストリッパー 発注単位1,作業用品\電設工具。■〒フジ矢/ビクター ペンチ【6000N】(7919123) ビクター ワイヤーストリッパー 発注単位1[rn]
13-6658,,66123.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒パナソニック（株）エコソリューショ/Ｐａｎａｓｏｎｉｃ【EZ9X302】(4755618)圧縮アタッチメント 受注単位1,作業用品\電設工具\油圧式圧着工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br>圧縮アタッチメントT型コネクタ圧縮アタッチメント<br>●適合機種:EZ4641K-H、EZ4544K-H<br>●質量(kg):2.9<br>●専用ケース付<br>",『カード対応OK！』■〒パナソニック（株）エコソリューショ/Ｐａｎａｓｏｎｉｃ【EZ9X302】(4755618)圧縮アタッチメント 受注単位1：クローバー資材館,『カード対応OK！』■〒パナソニック（株）エコソリューショ/Ｐａｎａｓｏｎｉｃ【EZ9X302】(4755618)圧縮アタッチメント 受注単位1,作業用品\電設工具\油圧式圧着工具。『カード対応OK！』■〒パナソニック（株）エコソリューショ/Ｐａｎａｓｏｎｉｃ【EZ9X302】(4755618)圧縮アタッチメント 受注単位1[rn]
13-6659,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005100077.jpg?fitin=700:700,4746.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＭＣＣコーポレーション/ＭＣＣ　活線ケーブルカッタ替刃　ＮＯ．１【ZCE0201】(3674029) 受注単位1,作業用品\電設工具\ケーブルカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒ＭＣＣコーポレーション/ＭＣＣ　活線ケーブルカッタ替刃　ＮＯ．１【ZCE0201】(3674029) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＭＣＣコーポレーション/ＭＣＣ　活線ケーブルカッタ替刃　ＮＯ．１【ZCE0201】(3674029) 受注単位1,作業用品\電設工具\ケーブルカッター。『カード対応OK！』■〒ＭＣＣコーポレーション/ＭＣＣ　活線ケーブルカッタ替刃　ＮＯ．１【ZCE0201】(3674029) 受注単位1[rn]
13-6660,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002817981.jpg?fitin=700:700,12630.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒フジ矢/フジ矢　ケーブルカッターラチェットタイプ【FRC-32A】(3096203) 受注単位1,作業用品\電設工具\ケーブルカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ハンドタイプのケーブルカッターに比べ、ラチェット機構を採用しているので太いケーブルが狭い場所でも楽に切断することができます。また、ストッパー部分が可動し、刃の途中解除が容易にできます。",『カード対応OK！』■〒フジ矢/フジ矢　ケーブルカッターラチェットタイプ【FRC-32A】(3096203) 受注単位1：クローバー資材館,『カード対応OK！』■〒フジ矢/フジ矢　ケーブルカッターラチェットタイプ【FRC-32A】(3096203) 受注単位1,作業用品\電設工具\ケーブルカッター。『カード対応OK！』■〒フジ矢/フジ矢　ケーブルカッターラチェットタイプ【FRC-32A】(3096203) 受注単位1[rn]
13-6661,,10342.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ジェフコム/デンサン　ジョイント釣り名人【JF-7550】(4218272) 受注単位1,作業用品\電設工具\通線工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●呼線・通線・配線工事の省力化（ロッド継ぎ足し＆秒速結線システム）中空壁・狭い天井・ケーブルラックなどの通線に最適です。<br>●継ぎ足せばいくらでも長くなります。（10m・20m以上の挿入索引も可能）",『カード対応OK！』■〒ジェフコム/デンサン　ジョイント釣り名人【JF-7550】(4218272) 受注単位1：クローバー資材館,『カード対応OK！』■〒ジェフコム/デンサン　ジョイント釣り名人【JF-7550】(4218272) 受注単位1,作業用品\電設工具\通線工具。『カード対応OK！』■〒ジェフコム/デンサン　ジョイント釣り名人【JF-7550】(4218272) 受注単位1[rn]
13-6662,,44017.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒パナソニックエコソリューショ/Ｐａｎａｓｏｎｉｃ 電動工具【EZ3591X】(7338414) Ｐａｎａｓｏｎｉｃ 充電ケーブルカッター 発注単位1,作業用品\電設工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●CV線200mm[[の2乗]]を約5秒でらくらく切断できます。<br>
●ケーブル切断作業を効率アップできます。<br>
●最大切断外径Φ32mmで太いCVT線もCV線も指一本で簡単に切断でき、さまざまな現場のケーブル切断作業を効率アップできます。<br>
●サイズ(mm):350×288×66<br>
●電源:AC100V<br>
●切断能力(mm[[の２乗]])CV線:200<br>
●切断能力(mm[[の２乗]])CVＴ線:60×3芯<br>
●切断能力(mm[[の２乗]])IV線:250<br>
●切断能力(mm[[の２乗]])VVR線:38×3芯<br>
●切断最小素線径:φ1.0mm<br>
●充電時間：22分<br>
●素線径Φ1mm以下の線材と銅・アルミニウム以外の線材（ピアノ線、ACSR、鋼線、鉄線など）は切断できません。",■〒パナソニックエコソリューショ/Ｐａｎａｓｏｎｉｃ 電動工具【EZ3591X】(7338414) Ｐａｎａｓｏｎｉｃ 充電ケーブルカッター 発注単位1：クローバー資材館,■〒パナソニックエコソリューショ/Ｐａｎａｓｏｎｉｃ 電動工具【EZ3591X】(7338414) Ｐａｎａｓｏｎｉｃ 充電ケーブルカッター 発注単位1,作業用品\電設工具。■〒パナソニックエコソリューショ/Ｐａｎａｓｏｎｉｃ 電動工具【EZ3591X】(7338414) Ｐａｎａｓｏｎｉｃ 充電ケーブルカッター 発注単位1[rn]
13-6663,,15603.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒パナソニック（株）エコソリューショ/Ｐａｎａｓｏｎｉｃ【EZ9X313】(4755651)Ｔダイス６０（ＥＺ９Ｘ３０２用Ｔダイス） 受注単位1,作業用品\電設工具\油圧式圧着工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br>Ｔダイス６０<br>●質量(kg):0.28<br>●圧縮能力（mm2）Tダイス:60<br>",『カード対応OK！』■〒パナソニック（株）エコソリューショ/Ｐａｎａｓｏｎｉｃ【EZ9X313】(4755651)Ｔダイス６０（ＥＺ９Ｘ３０２用Ｔダイス） 受注単位1：クローバー資材館,『カード対応OK！』■〒パナソニック（株）エコソリューショ/Ｐａｎａｓｏｎｉｃ【EZ9X313】(4755651)Ｔダイス６０（ＥＺ９Ｘ３０２用Ｔダイス） 受注単位1,作業用品\電設工具\油圧式圧着工具。『カード対応OK！』■〒パナソニック（株）エコソリューショ/Ｐａｎａｓｏｎｉｃ【EZ9X313】(4755651)Ｔダイス６０（ＥＺ９Ｘ３０２用Ｔダイス） 受注単位1[rn]
13-6664,,15603.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒パナソニック（株）エコソリューショ/Ｐａｎａｓｏｎｉｃ【EZ9X315】(4755677)Ｔダイス９８（ＥＺ９Ｘ３０２用Ｔダイス） 受注単位1,作業用品\電設工具\油圧式圧着工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br>Ｔダイス９８<br>●質量(kg):0.26<br>●圧縮能力（mm2）Tダイス:98<br>",『カード対応OK！』■〒パナソニック（株）エコソリューショ/Ｐａｎａｓｏｎｉｃ【EZ9X315】(4755677)Ｔダイス９８（ＥＺ９Ｘ３０２用Ｔダイス） 受注単位1：クローバー資材館,『カード対応OK！』■〒パナソニック（株）エコソリューショ/Ｐａｎａｓｏｎｉｃ【EZ9X315】(4755677)Ｔダイス９８（ＥＺ９Ｘ３０２用Ｔダイス） 受注単位1,作業用品\電設工具\油圧式圧着工具。『カード対応OK！』■〒パナソニック（株）エコソリューショ/Ｐａｎａｓｏｎｉｃ【EZ9X315】(4755677)Ｔダイス９８（ＥＺ９Ｘ３０２用Ｔダイス） 受注単位1[rn]
13-6665,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005466426.jpg?fitin=700:700,19119.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ジェフコム/デンサン　カーボンフィッシャー５ｍ・ライト付【DCF-5000L】(4213106) 受注単位1,作業用品\電設工具\通線工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ハイカーボン製だから非常に軽くてたわみが少ないです。<br>●竿にハイカーボンを採用(手元第1竿のみFRP製)軽くてたわみが少なく、使いやすいです。<br>●引っ掛けやすい先端機構です。<br>●尻金が割れないゴム製です。",『カード対応OK！』■〒ジェフコム/デンサン　カーボンフィッシャー５ｍ・ライト付【DCF-5000L】(4213106) 受注単位1：クローバー資材館,『カード対応OK！』■〒ジェフコム/デンサン　カーボンフィッシャー５ｍ・ライト付【DCF-5000L】(4213106) 受注単位1,作業用品\電設工具\通線工具。『カード対応OK！』■〒ジェフコム/デンサン　カーボンフィッシャー５ｍ・ライト付【DCF-5000L】(4213106) 受注単位1[rn]
