11-25501,,4628.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大和製砥所/チェリー【C43D 800】(4167538) 金型砥石　Ｃ（カーボン）　８００ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●中仕上げ、仕上げ用砥石です。<br>●乾式、湿式で使用できます。<br>●柔らかめの砥石です。<br>●＃120、＃180、＃240も製作可能です。<br><br>●金型研磨時のうねりとり。（シールビーム対策）<br>●ダイヤモンドペースト使用前の研磨。<br>●金型用研磨砥石。<br><br>●粒度(#)：800<br>●色：ブルーグレー<br>●長さ(mm)：100<br>●幅(mm)：13<br>●厚み(mm)：3<br>●質量(g)：85<br><br><br>●原料（Ｓｉｃ）<br>●結合剤（ＳｉＯ２）<br>",『カード対応OK！』■〒大和製砥所/チェリー【C43D 800】(4167538) 金型砥石　Ｃ（カーボン）　８００ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒大和製砥所/チェリー【C43D 800】(4167538) 金型砥石　Ｃ（カーボン）　８００ 受注単位1,作業用品\研削研磨用品\砥石。『カード対応OK！』■〒大和製砥所/チェリー【C43D 800】(4167538) 金型砥石　Ｃ（カーボン）　８００ 受注単位1[rn]
11-25547,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002662855.jpg?fitin=700:700,898.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ナカニシ/ナカニシ　内研用極小径電着ダイヤモンド・ＣＢＮバー　シャンク径φ３【12019】(2978237) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●極小径の穴加工や内面研削・ジグ研削に最適です。<br>●厳選された砥粒を最新の電着技術により強固に保持しています。<br>●高硬度専用軸を使用、高剛性は高精度加工を実現します。<br>●焼き入れ鋼材（SKH/SKD/SKS/SCM、耐熱合金）に適します。",『カード対応OK！』■〒ナカニシ/ナカニシ　内研用極小径電着ダイヤモンド・ＣＢＮバー　シャンク径φ３【12019】(2978237) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ナカニシ/ナカニシ　内研用極小径電着ダイヤモンド・ＣＢＮバー　シャンク径φ３【12019】(2978237) 受注単位1,作業用品\研削研磨用品\ダイヤモンドバー。『カード対応OK！』■〒ナカニシ/ナカニシ　内研用極小径電着ダイヤモンド・ＣＢＮバー　シャンク径φ３【12019】(2978237) 受注単位1[rn]
11-25548,,2103.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラキ/ＭＲＡ【CB1A002-90LE】(2880717) 超硬バー　Ａロングシリーズ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●シャンク径3mmのロングタイプです。<br><br><br>●形状：円筒エンド刃付（クロスカット）<br>●刃径(mm)：3.0<br>●刃長(mm)：14.0<br>●軸径(mm)：3<br>●軸長(mm)：76.0<br>●タイプ：オール超硬<br>●最高使用回転数(rpm)：-<br>●質量(g)：13<br><br><br>",『カード対応OK！』■〒ムラキ/ＭＲＡ【CB1A002-90LE】(2880717) 超硬バー　Ａロングシリーズ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ムラキ/ＭＲＡ【CB1A002-90LE】(2880717) 超硬バー　Ａロングシリーズ 受注単位1,作業用品\研削研磨用品\超硬バー。『カード対応OK！』■〒ムラキ/ＭＲＡ【CB1A002-90LE】(2880717) 超硬バー　Ａロングシリーズ 受注単位1[rn]
11-25549,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002833170.jpg?fitin=700:700,2273.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパー　超硬バ－シャンク径６ミリ（円筒型）アルミカット（刃径：６．０）【SB1C01SA】(2818043) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●独自開発の刃形状により、高速回転使用時にバーが不用意に被切削物に喰いこんでしまうことがないため、滑らかに加工でき能力アップに貢献します。<br>●アルミカットタイプです。",『カード対応OK！』■〒スーパーツール/スーパー　超硬バ&minus;シャンク径６ミリ（円筒型）アルミカット（刃径：６．０）【SB1C01SA】(2818043) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スーパーツール/スーパー　超硬バ&minus;シャンク径６ミリ（円筒型）アルミカット（刃径：６．０）【SB1C01SA】(2818043) 受注単位1,作業用品\研削研磨用品\超硬バー。『カード対応OK！』■〒スーパーツール/スーパー　超硬バ&minus;シャンク径６ミリ（円筒型）アルミカット（刃径：６．０）【SB1C01SA】(2818043) 受注単位1[rn]
11-25550,http://tshop.r10s.jp/clover9608/cabinet/pb5-1/t010004520561.jpg?fitin=700:700,498.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドバー　Φ２．５Ｘ刃長７Ｘ軸１．６　＃１４０【T1-122M】(1281194) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●乾式での使用は可能ですが、研削液を使用すれば精度・仕上がりが良くなり、切れ味・寿命も向上します。<br>●形の良い天然ダイヤモンドを厳選使用しています。独自の電着技術により、ダイヤモンド粒子は強固に固着されており超寿命を誇ります。<br>●加工時間の大幅短縮を実現します。<br>●豊かな仕上げ能力です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドバー　Φ２．５Ｘ刃長７Ｘ軸１．６　＃１４０【T1-122M】(1281194) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドバー　Φ２．５Ｘ刃長７Ｘ軸１．６　＃１４０【T1-122M】(1281194) 受注単位1,(1281194)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドバー　Φ２．５Ｘ刃長７Ｘ軸１．６　＃１４０【T1-122M】(1281194) 受注単位1[rn]
11-25551,http://tshop.r10s.jp/clover9608/cabinet/trusco2015pb5/t010004312429.jpg?fitin=700:700,1324.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　超硬バー　円筒型　Φ８Ｘ刃長１９Ｘ軸６　ダブルカット【TB1C080】(3840271) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●切れ味が良くスムーズな加工ができます。<br>●スチールシャンクです。<br>●ダブルカットの刃形状のため細かく切れた切粉となります。<br>●加工物に食いつかず、スムーズな加工ができます。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　超硬バー　円筒型　Φ８Ｘ刃長１９Ｘ軸６　ダブルカット【TB1C080】(3840271) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　超硬バー　円筒型　Φ８Ｘ刃長１９Ｘ軸６　ダブルカット【TB1C080】(3840271) 受注単位1,(3840271)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　超硬バー　円筒型　Φ８Ｘ刃長１９Ｘ軸６　ダブルカット【TB1C080】(3840271) 受注単位1[rn]
11-25552,http://tshop.r10s.jp/clover9608/cabinet/pb5-1/t010004520438.jpg?fitin=700:700,688.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドバー　Φ１．５Ｘ刃長１０Ｘ軸１．６　＃１４０【T1-100M】(2996952) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●乾式での使用は可能ですが、研削液を使用すれば精度・仕上がりが良くなり、切れ味・寿命も向上します。<br>●形の良い天然ダイヤモンドを厳選使用しています。独自の電着技術により、ダイヤモンド粒子は強固に固着されており超寿命を誇ります。<br>●加工時間の大幅短縮を実現します。<br>●豊かな仕上げ能力です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドバー　Φ１．５Ｘ刃長１０Ｘ軸１．６　＃１４０【T1-100M】(2996952) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドバー　Φ１．５Ｘ刃長１０Ｘ軸１．６　＃１４０【T1-100M】(2996952) 受注単位1,(2996952)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドバー　Φ１．５Ｘ刃長１０Ｘ軸１．６　＃１４０【T1-100M】(2996952) 受注単位1[rn]
11-25553,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002850082.jpg?fitin=700:700,6071.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径６ミリ（逆テーパー型）ダブルカット（刃径：１９．０【SB52C05】(3217400) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●独自開発の刃形状により、高速回転使用時にバーが不用意に被切削物に喰いこんでしまうことがないため、滑らかに加工でき能力アップに貢献します。",『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径６ミリ（逆テーパー型）ダブルカット（刃径：１９．０【SB52C05】(3217400) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径６ミリ（逆テーパー型）ダブルカット（刃径：１９．０【SB52C05】(3217400) 受注単位1,作業用品\研削研磨用品\超硬バー。『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径６ミリ（逆テーパー型）ダブルカット（刃径：１９．０【SB52C05】(3217400) 受注単位1[rn]
11-25554,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002864012.jpg?fitin=700:700,2081.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径６ミリ（円錐型シングルカット刃径：６．０波長：２５【SB5C03S】(3217477) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●独自開発の刃形状により、高速回転使用時にバーが不用意に被切削物に喰いこんでしまうことがないため、滑らかに加工でき能力アップに貢献します。",『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径６ミリ（円錐型シングルカット刃径：６．０波長：２５【SB5C03S】(3217477) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径６ミリ（円錐型シングルカット刃径：６．０波長：２５【SB5C03S】(3217477) 受注単位1,作業用品\研削研磨用品\超硬バー。『カード対応OK！』■〒スーパーツール/スーパー　超硬バーシャンク径６ミリ（円錐型シングルカット刃径：６．０波長：２５【SB5C03S】(3217477) 受注単位1[rn]
11-25555,http://tshop.r10s.jp/clover9608/cabinet/pb5-1/t010004521266.jpg?fitin=700:700,2120.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ディスクタイプＣＢＮバー　Φ１１Ｘｔ０．７Ｘ軸３　＃１４０【T3-171BM-07】(3523250) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●一体加工による高精度なシャンクです。<br>●サビにくいステンレス鋼を採用しています。<br>●CBNは鉄系金属の加工に最適です。<br>●マンドレールタイプに比べ高剛性です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ディスクタイプＣＢＮバー　Φ１１Ｘｔ０．７Ｘ軸３　＃１４０【T3-171BM-07】(3523250) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ディスクタイプＣＢＮバー　Φ１１Ｘｔ０．７Ｘ軸３　＃１４０【T3-171BM-07】(3523250) 受注単位1,(3523250)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ディスクタイプＣＢＮバー　Φ１１Ｘｔ０．７Ｘ軸３　＃１４０【T3-171BM-07】(3523250) 受注単位1[rn]
11-25556,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004376832.jpg?fitin=700:700,688.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドバー　Φ１．６Ｘ刃長７Ｘ軸２．３５　＃１４０【T2-840M】(1282417) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●乾式での使用は可能ですが、研削液を使用すれば精度・仕上がりが良くなり、切れ味・寿命も向上します。<br>●形の良い天然ダイヤモンドを厳選使用しています。独自の電着技術により、ダイヤモンド粒子は強固に固着されており超寿命を誇ります。<br>●加工時間の大幅短縮を実現します。<br>●豊かな仕上げ能力です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドバー　Φ１．６Ｘ刃長７Ｘ軸２．３５　＃１４０【T2-840M】(1282417) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドバー　Φ１．６Ｘ刃長７Ｘ軸２．３５　＃１４０【T2-840M】(1282417) 受注単位1,(1282417)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドバー　Φ１．６Ｘ刃長７Ｘ軸２．３５　＃１４０【T2-840M】(1282417) 受注単位1[rn]
11-25557,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005094305.jpg?fitin=700:700,2197.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパー　超硬バー（ロングシャンク：１００ｍｍ）【SB1A01E100】(3614948) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ロングシャンクタイプです。<br>●独自開発の刃形状により、高速回転使用時にバーが不用意に被切削物に喰いこんでしまうことがないため、滑らかに加工でき能力アップに貢献します。",『カード対応OK！』■〒スーパーツール/スーパー　超硬バー（ロングシャンク：１００ｍｍ）【SB1A01E100】(3614948) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スーパーツール/スーパー　超硬バー（ロングシャンク：１００ｍｍ）【SB1A01E100】(3614948) 受注単位1,作業用品\研削研磨用品\超硬バー。『カード対応OK！』■〒スーパーツール/スーパー　超硬バー（ロングシャンク：１００ｍｍ）【SB1A01E100】(3614948) 受注単位1[rn]
11-25558,http://tshop.r10s.jp/clover9608/cabinet/pb5-1/t010004520599.jpg?fitin=700:700,498.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドバー　Φ１．６Ｘ刃長１０Ｘ軸１．６　＃１４０【T1-141M】(1281259) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●乾式での使用は可能ですが、研削液を使用すれば精度・仕上がりが良くなり、切れ味・寿命も向上します。<br>●形の良い天然ダイヤモンドを厳選使用しています。独自の電着技術により、ダイヤモンド粒子は強固に固着されており超寿命を誇ります。<br>●加工時間の大幅短縮を実現します。<br>●豊かな仕上げ能力です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドバー　Φ１．６Ｘ刃長１０Ｘ軸１．６　＃１４０【T1-141M】(1281259) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドバー　Φ１．６Ｘ刃長１０Ｘ軸１．６　＃１４０【T1-141M】(1281259) 受注単位1,(1281259)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドバー　Φ１．６Ｘ刃長１０Ｘ軸１．６　＃１４０【T1-141M】(1281259) 受注単位1[rn]
11-25559,,4445.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラキ/ＭＲＡ【AC7C-100】(1055470) 超硬バー　ＡＣシリーズ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●アルミニウム切削用の超硬バーです。<br>●刃径6.0mm以下のものは、オール超硬（全長50.8mm）です。<br><br><br>●形状：テーパー先丸（アルミカット）<br>●刃径(mm)：9.5<br>●刃長(mm)：27.0<br>●軸径(mm)：6<br>●軸長(mm)：45.0<br>●タイプ：ロー付<br>●最高使用回転数(rpm)：20000<br>●角度(°)：14<br>●質量(g)：26<br><br>●シャンク径6mm<br><br>",『カード対応OK！』■〒ムラキ/ＭＲＡ【AC7C-100】(1055470) 超硬バー　ＡＣシリーズ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ムラキ/ＭＲＡ【AC7C-100】(1055470) 超硬バー　ＡＣシリーズ 受注単位1,作業用品\研削研磨用品\超硬バー。『カード対応OK！』■〒ムラキ/ＭＲＡ【AC7C-100】(1055470) 超硬バー　ＡＣシリーズ 受注単位1[rn]
11-25560,http://tshop.r10s.jp/clover9608/cabinet/pb5-1/t010004520651.jpg?fitin=700:700,688.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドバー　Φ３Ｘ刃長２．７Ｘ軸１．６　＃１４０【T1-281M】(2997029) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●乾式での使用は可能ですが、研削液を使用すれば精度・仕上がりが良くなり、切れ味・寿命も向上します。<br>●形の良い天然ダイヤモンドを厳選使用しています。独自の電着技術により、ダイヤモンド粒子は強固に固着されており超寿命を誇ります。<br>●加工時間の大幅短縮を実現します。<br>●豊かな仕上げ能力です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドバー　Φ３Ｘ刃長２．７Ｘ軸１．６　＃１４０【T1-281M】(2997029) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドバー　Φ３Ｘ刃長２．７Ｘ軸１．６　＃１４０【T1-281M】(2997029) 受注単位1,(2997029)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドバー　Φ３Ｘ刃長２．７Ｘ軸１．６　＃１４０【T1-281M】(2997029) 受注単位1[rn]
11-25561,http://tshop.r10s.jp/clover9608/cabinet/pb5-1/t010004520998.jpg?fitin=700:700,688.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドバー　Φ１．８Ｘ軸２．３５　＃１４０【T2-530M】(1281356) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●乾式での使用は可能ですが、研削液を使用すれば精度・仕上がりが良くなり、切れ味・寿命も向上します。<br>●形の良い天然ダイヤモンドを厳選使用しています。独自の電着技術により、ダイヤモンド粒子は強固に固着されており超寿命を誇ります。<br>●加工時間の大幅短縮を実現します。<br>●豊かな仕上げ能力です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドバー　Φ１．８Ｘ軸２．３５　＃１４０【T2-530M】(1281356) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドバー　Φ１．８Ｘ軸２．３５　＃１４０【T2-530M】(1281356) 受注単位1,(1281356)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドバー　Φ１．８Ｘ軸２．３５　＃１４０【T2-530M】(1281356) 受注単位1[rn]
11-25562,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002662855.jpg?fitin=700:700,997.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ナカニシ/ナカニシ　内研用極小径電着ダイヤモンド・ＣＢＮバー　シャンク径φ３【12015】(2978211) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●極小径の穴加工や内面研削・ジグ研削に最適です。<br>●厳選された砥粒を最新の電着技術により強固に保持しています。<br>●高硬度専用軸を使用、高剛性は高精度加工を実現します。<br>●焼き入れ鋼材（SKH/SKD/SKS/SCM、耐熱合金）に適します。",『カード対応OK！』■〒ナカニシ/ナカニシ　内研用極小径電着ダイヤモンド・ＣＢＮバー　シャンク径φ３【12015】(2978211) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ナカニシ/ナカニシ　内研用極小径電着ダイヤモンド・ＣＢＮバー　シャンク径φ３【12015】(2978211) 受注単位1,作業用品\研削研磨用品\ダイヤモンドバー。『カード対応OK！』■〒ナカニシ/ナカニシ　内研用極小径電着ダイヤモンド・ＣＢＮバー　シャンク径φ３【12015】(2978211) 受注単位1[rn]
11-25563,http://tshop.r10s.jp/clover9608/cabinet/pb5-1/t010004521757.jpg?fitin=700:700,2120.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドバー　Φ１１Ｘ刃長１０Ｘ軸６　＃２００【T6-206F(T6-206) #200】(1284975) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●形の良い天然ダイヤモンドを厳選使用しています。独自の電着技術により、ダイヤモンド粒子は強固に固着されており超寿命を誇ります。<br>●加工時間の大幅短縮を実現します。<br>●豊かな仕上げ能力です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドバー　Φ１１Ｘ刃長１０Ｘ軸６　＃２００【T6-206F(T6-206) #200】(1284975) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドバー　Φ１１Ｘ刃長１０Ｘ軸６　＃２００【T6-206F(T6-206) #200】(1284975) 受注単位1,(1284975)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドバー　Φ１１Ｘ刃長１０Ｘ軸６　＃２００【T6-206F(T6-206) #200】(1284975) 受注単位1[rn]
11-25564,http://tshop.r10s.jp/clover9608/cabinet/pb5-1/t010004521263.jpg?fitin=700:700,1881.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ディスクタイプモンドバー　Φ９Ｘｔ１．４Ｘ軸３　＃１４０【T3-169DM-14】(3523187) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●一体加工による高精度なシャンクです。<br>●合成ダイヤを使用することで、よりフラットなディスクを実現しました。<br>●サビにくいステンレス鋼を採用しています。<br>●マンドレールタイプに比べ高剛性です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ディスクタイプモンドバー　Φ９Ｘｔ１．４Ｘ軸３　＃１４０【T3-169DM-14】(3523187) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ディスクタイプモンドバー　Φ９Ｘｔ１．４Ｘ軸３　＃１４０【T3-169DM-14】(3523187) 受注単位1,(3523187)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ディスクタイプモンドバー　Φ９Ｘｔ１．４Ｘ軸３　＃１４０【T3-169DM-14】(3523187) 受注単位1[rn]
11-25565,http://tshop.r10s.jp/clover9608/cabinet/pb5-1/t010004521244.jpg?fitin=700:700,1722.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ディスクタイプＣＢＮバー　Φ７Ｘｔ１Ｘ軸３　＃１４０【T3-167BM-10】(3523161) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●一体加工による高精度なシャンクです。<br>●サビにくいステンレス鋼を採用しています。<br>●CBNは鉄系金属の加工に最適です。<br>●マンドレールタイプに比べ高剛性です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ディスクタイプＣＢＮバー　Φ７Ｘｔ１Ｘ軸３　＃１４０【T3-167BM-10】(3523161) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ディスクタイプＣＢＮバー　Φ７Ｘｔ１Ｘ軸３　＃１４０【T3-167BM-10】(3523161) 受注単位1,(3523161)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ディスクタイプＣＢＮバー　Φ７Ｘｔ１Ｘ軸３　＃１４０【T3-167BM-10】(3523161) 受注単位1[rn]
