11-132801,http://tshop.r10s.jp/parts/cabinet/detail-aa64/aa64-bz18730.jpg?fitin=700:700,2880.0000,,車用品・バイク用品 > カー用品 > バッテリー・メンテナンス用品 > フィルター > エアコンフィルター,BLITZ(ブリッツ) ハイブリッドエアコンフィルター 01/08- MCV30 ウィンダム,,光触媒で抗菌＆強力消臭！エアコンの空気をキレイにして、車内のイヤなニオイもとる。自動車用としては世界初の光触媒を採用したエアコンフィルター。光触媒（二酸化チタン）は光のエネルギーを使って働く触媒です。光エネルギーを化学エネルギーに変換したり、環境を汚染する物質や悪臭の除去、汚れの防止などに使われています。 <br>【特徴と効能】●光触媒で強力消臭 ●抗菌性も抜群 ●花粉・チリ・ホコリを強力除去 ●フィルター水洗いOK ●メンテナンス＆リサイクル可能<br>【納期】お取り寄せ商品のため通常3～4日でのお届けとなります。(日・祝日は除く)万が一欠品の場合は別途メールにてご連絡差し上げます。お急ぎの場合はご注文前に必ず納期確認を頂きますようお願い申し上げます。 <br>対応車種：01/08- MCV30 ウィンダム <br>　車検対応品<br>カーケア/カーケアその他,BLITZ(ブリッツ) ハイブリッドエアコンフィルター 01/08- MCV30 ウィンダム：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンBLITZ(ブリッツ) ハイブリッドエアコンフィルター 01/08- MCV30 ウィンダム,　。BLITZ(ブリッツ) ハイブリッドエアコンフィルター 01/08- MCV30 ウィンダム[rn]
11-132878,http://tshop.r10s.jp/parts/cabinet/detail-aa82/aa82-ap-z02.jpg?fitin=700:700,5485.6000,,車用品・バイク用品 > カー用品 > バッテリー・メンテナンス用品 > フィルター > エアコンフィルター,BOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） マツダ アテンザ エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） マツダ アテンザ スポーツ GHEFS 20.01-22.01,,車内の空気を新車のような空間へ！車のエアコンは女性でも交換できるのをご存知ですか？BOSCHテクノロジーの集大成のエアコンフィルターと女性でも簡単にできる交換方法をご紹介致します。◎脱臭：特殊高性能活性炭が周期成分を吸着、脱臭します。◎除塵：高性能合成繊維不織布、および帯電超極細不織布を採用！花粉の侵入をしっかりブロック！◎抗菌・防カビ：フィルター表面の菌・カビの繁殖を抑制し、クリーンな空気を車内へ供給します。◎植物由来のポリフェノールを採用した抗ウィルス機能・アレル物質抑制機能を追加！●エアコンフィルターの交換推奨時期は走行距離10000kmまたは1年です。<br><br>【交換難易度：　☆】　　☆：場合により工具必要　☆☆：工具必要、交換作業にやや時間がかかる　☆☆☆：工具、および技能が必要<br><br>※必ず適合（車種、年式、形式等）をご確認の上お買い求めください。※作業手順は例であり、実写と異なる場合があります。※製品に同梱されている取扱説明書の「取付・使用上の注意事項」をお読みください。※使用済のエアコンフィルターを清掃して再利用することは出来ません.<br><br><br>対応車種：マツダ アテンザ スポーツ 20.01-22.01 GHEFS 標準装備 <br><br>エレメント・フィルター ｜ エアコンフィルター<br>マツダ | アテンザ | GH系,BOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） マツダ アテンザ エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） マツダ アテンザ スポーツ GHEFS 20.01-22.01：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンBOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） マツダ アテンザ エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） マツダ アテンザ スポーツ GHEFS 20.01-22.01,高性能エアコンフィルター。BOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） マツダ アテンザ エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） マツダ アテンザ スポーツ GHEFS 20.01-22.01[rn]
11-132879,http://tshop.r10s.jp/parts/cabinet/detail-aa82/aa82-ap-s01.jpg?fitin=700:700,3816.8000,,車用品・バイク用品 > カー用品 > バッテリー・メンテナンス用品 > フィルター > エアコンフィルター,BOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） スズキ エブリイワゴン エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） スズキ エブリイ ワゴン DA62W/64W 13.09-17.08,,車内の空気を新車のような空間へ！車のエアコンは女性でも交換できるのをご存知ですか？BOSCHテクノロジーの集大成のエアコンフィルターと女性でも簡単にできる交換方法をご紹介致します。◎脱臭：特殊高性能活性炭が周期成分を吸着、脱臭します。◎除塵：高性能合成繊維不織布、および帯電超極細不織布を採用！花粉の侵入をしっかりブロック！◎抗菌・防カビ：フィルター表面の菌・カビの繁殖を抑制し、クリーンな空気を車内へ供給します。◎植物由来のポリフェノールを採用した抗ウィルス機能・アレル物質抑制機能を追加！●エアコンフィルターの交換推奨時期は走行距離10000kmまたは1年です。<br><br>【交換難易度：　☆】　　☆：場合により工具必要　☆☆：工具必要、交換作業にやや時間がかかる　☆☆☆：工具、および技能が必要<br><br>※必ず適合（車種、年式、形式等）をご確認の上お買い求めください。※作業手順は例であり、実写と異なる場合があります。※製品に同梱されている取扱説明書の「取付・使用上の注意事項」をお読みください。※使用済のエアコンフィルターを清掃して再利用することは出来ません.<br><br><br>対応車種：スズキ エブリイ ワゴン DA62W/64W 標準装備 装着可年月 13.09-17.08<br><br>エレメント・フィルター ｜ エアコンフィルター<br>スズキ | エブリイワゴン | DA64W,BOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） スズキ エブリイワゴン エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） スズキ エブリイ ワゴン DA62W/64W 13.09-17.08：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンBOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） スズキ エブリイワゴン エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） スズキ エブリイ ワゴン DA62W/64W 13.09-17.08,高性能エアコンフィルター。BOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） スズキ エブリイワゴン エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） スズキ エブリイ ワゴン DA62W/64W 13.09-17.08[rn]
11-132880,http://tshop.r10s.jp/parts/cabinet/detail-aa82/aa82-ap-z02.jpg?fitin=700:700,5485.6000,,車用品・バイク用品 > カー用品 > バッテリー・メンテナンス用品 > フィルター > エアコンフィルター,BOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） マツダ デミオ エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） マツダ デミオ DY3R/5R 15.11-19.05,,車内の空気を新車のような空間へ！車のエアコンは女性でも交換できるのをご存知ですか？BOSCHテクノロジーの集大成のエアコンフィルターと女性でも簡単にできる交換方法をご紹介致します。◎脱臭：特殊高性能活性炭が周期成分を吸着、脱臭します。◎除塵：高性能合成繊維不織布、および帯電超極細不織布を採用！花粉の侵入をしっかりブロック！◎抗菌・防カビ：フィルター表面の菌・カビの繁殖を抑制し、クリーンな空気を車内へ供給します。◎植物由来のポリフェノールを採用した抗ウィルス機能・アレル物質抑制機能を追加！●エアコンフィルターの交換推奨時期は走行距離10000kmまたは1年です。<br><br>【交換難易度：　☆】　　☆：場合により工具必要　☆☆：工具必要、交換作業にやや時間がかかる　☆☆☆：工具、および技能が必要<br><br>※必ず適合（車種、年式、形式等）をご確認の上お買い求めください。※作業手順は例であり、実写と異なる場合があります。※製品に同梱されている取扱説明書の「取付・使用上の注意事項」をお読みください。※使用済のエアコンフィルターを清掃して再利用することは出来ません.<br><br><br>対応車種：マツダ デミオ 15.11-19.05 DY3R/5R 標準装備 <br><br>エレメント・フィルター ｜ エアコンフィルター<br>マツダ | デミオ | DY3R（W）/DY5R(W),BOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） マツダ デミオ エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） マツダ デミオ DY3R/5R 15.11-19.05：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンBOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） マツダ デミオ エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） マツダ デミオ DY3R/5R 15.11-19.05,高性能エアコンフィルター。BOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） マツダ デミオ エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） マツダ デミオ DY3R/5R 15.11-19.05[rn]
11-132881,http://tshop.r10s.jp/parts/cabinet/detail-aa82/aa82-ap-s03.jpg?fitin=700:700,3816.8000,,車用品・バイク用品 > カー用品 > バッテリー・メンテナンス用品 > フィルター > エアコンフィルター,BOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） スズキ ワゴンR エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） スズキ ワゴンR MH21S/22S 15.09-20.09,,車内の空気を新車のような空間へ！車のエアコンは女性でも交換できるのをご存知ですか？BOSCHテクノロジーの集大成のエアコンフィルターと女性でも簡単にできる交換方法をご紹介致します。◎脱臭：特殊高性能活性炭が周期成分を吸着、脱臭します。◎除塵：高性能合成繊維不織布、および帯電超極細不織布を採用！花粉の侵入をしっかりブロック！◎抗菌・防カビ：フィルター表面の菌・カビの繁殖を抑制し、クリーンな空気を車内へ供給します。◎植物由来のポリフェノールを採用した抗ウィルス機能・アレル物質抑制機能を追加！●エアコンフィルターの交換推奨時期は走行距離10000kmまたは1年です。<br><br>【交換難易度：　☆】　　☆：場合により工具必要　☆☆：工具必要、交換作業にやや時間がかかる　☆☆☆：工具、および技能が必要<br><br>※必ず適合（車種、年式、形式等）をご確認の上お買い求めください。※作業手順は例であり、実写と異なる場合があります。※製品に同梱されている取扱説明書の「取付・使用上の注意事項」をお読みください。※使用済のエアコンフィルターを清掃して再利用することは出来ません.<br><br><br>対応車種：スズキ ワゴンR 15.09-20.09 MH21S/22S 標準装備 <br><br>エレメント・フィルター ｜ エアコンフィルター<br>スズキ | ワゴンR | MC11S/12S/21S/22S,BOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） スズキ ワゴンR エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） スズキ ワゴンR MH21S/22S 15.09-20.09：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンBOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） スズキ ワゴンR エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） スズキ ワゴンR MH21S/22S 15.09-20.09,高性能エアコンフィルター。BOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） スズキ ワゴンR エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） スズキ ワゴンR MH21S/22S 15.09-20.09[rn]
11-132882,http://tshop.r10s.jp/parts/cabinet/detail-aa82/aa82-ap-s01.jpg?fitin=700:700,3816.8000,,車用品・バイク用品 > カー用品 > バッテリー・メンテナンス用品 > フィルター > エアコンフィルター,BOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） マツダ ラピュタ エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） マツダ ラピュタ HP21S/22S 11.03-17.12,,車内の空気を新車のような空間へ！車のエアコンは女性でも交換できるのをご存知ですか？BOSCHテクノロジーの集大成のエアコンフィルターと女性でも簡単にできる交換方法をご紹介致します。◎脱臭：特殊高性能活性炭が周期成分を吸着、脱臭します。◎除塵：高性能合成繊維不織布、および帯電超極細不織布を採用！花粉の侵入をしっかりブロック！◎抗菌・防カビ：フィルター表面の菌・カビの繁殖を抑制し、クリーンな空気を車内へ供給します。◎植物由来のポリフェノールを採用した抗ウィルス機能・アレル物質抑制機能を追加！●エアコンフィルターの交換推奨時期は走行距離10000kmまたは1年です。<br><br>【交換難易度：　☆】　　☆：場合により工具必要　☆☆：工具必要、交換作業にやや時間がかかる　☆☆☆：工具、および技能が必要<br><br>※必ず適合（車種、年式、形式等）をご確認の上お買い求めください。※作業手順は例であり、実写と異なる場合があります。※製品に同梱されている取扱説明書の「取付・使用上の注意事項」をお読みください。※使用済のエアコンフィルターを清掃して再利用することは出来ません.<br><br><br>対応車種：マツダ ラピュタ 11.03-17.12 HP21S/22S 標準装備 <br><br>エレメント・フィルター ｜ エアコンフィルター<br>マツダ | ラピュタ | HP11S/12S/21S/22S,BOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） マツダ ラピュタ エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） マツダ ラピュタ HP21S/22S 11.03-17.12：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンBOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） マツダ ラピュタ エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） マツダ ラピュタ HP21S/22S 11.03-17.12,高性能エアコンフィルター。BOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） マツダ ラピュタ エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） マツダ ラピュタ HP21S/22S 11.03-17.12[rn]
11-132883,http://tshop.r10s.jp/parts/cabinet/detail-aa82/aa82-ap-s03.jpg?fitin=700:700,3816.8000,,車用品・バイク用品 > カー用品 > バッテリー・メンテナンス用品 > フィルター > エアコンフィルター,BOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） マツダ AZワゴン エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） マツダ AZ ワゴン MJ21S 15.10-17.09,,車内の空気を新車のような空間へ！車のエアコンは女性でも交換できるのをご存知ですか？BOSCHテクノロジーの集大成のエアコンフィルターと女性でも簡単にできる交換方法をご紹介致します。◎脱臭：特殊高性能活性炭が周期成分を吸着、脱臭します。◎除塵：高性能合成繊維不織布、および帯電超極細不織布を採用！花粉の侵入をしっかりブロック！◎抗菌・防カビ：フィルター表面の菌・カビの繁殖を抑制し、クリーンな空気を車内へ供給します。◎植物由来のポリフェノールを採用した抗ウィルス機能・アレル物質抑制機能を追加！●エアコンフィルターの交換推奨時期は走行距離10000kmまたは1年です。<br><br>【交換難易度：　☆】　　☆：場合により工具必要　☆☆：工具必要、交換作業にやや時間がかかる　☆☆☆：工具、および技能が必要<br><br>※必ず適合（車種、年式、形式等）をご確認の上お買い求めください。※作業手順は例であり、実写と異なる場合があります。※製品に同梱されている取扱説明書の「取付・使用上の注意事項」をお読みください。※使用済のエアコンフィルターを清掃して再利用することは出来ません.<br><br><br>対応車種：マツダ AZ ワゴン 15.10-17.09 MJ21S 標準装備 <br><br>エレメント・フィルター ｜ エアコンフィルター<br>マツダ | AZワゴン | MJ21S/22S,BOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） マツダ AZワゴン エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） マツダ AZ ワゴン MJ21S 15.10-17.09：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンBOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） マツダ AZワゴン エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） マツダ AZ ワゴン MJ21S 15.10-17.09,高性能エアコンフィルター。BOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） マツダ AZワゴン エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） マツダ AZ ワゴン MJ21S 15.10-17.09[rn]
11-132884,http://tshop.r10s.jp/parts/cabinet/detail-aa82/aa82-ap-h07.jpg?fitin=700:700,5485.6000,,車用品・バイク用品 > カー用品 > バッテリー・メンテナンス用品 > フィルター > エアコンフィルター,BOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） ホンダ シビック エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） ホンダ シビック セダン FD1 17.09-22.08,,車内の空気を新車のような空間へ！車のエアコンは女性でも交換できるのをご存知ですか？BOSCHテクノロジーの集大成のエアコンフィルターと女性でも簡単にできる交換方法をご紹介致します。◎脱臭：特殊高性能活性炭が周期成分を吸着、脱臭します。◎除塵：高性能合成繊維不織布、および帯電超極細不織布を採用！花粉の侵入をしっかりブロック！◎抗菌・防カビ：フィルター表面の菌・カビの繁殖を抑制し、クリーンな空気を車内へ供給します。◎植物由来のポリフェノールを採用した抗ウィルス機能・アレル物質抑制機能を追加！●エアコンフィルターの交換推奨時期は走行距離10000kmまたは1年です。<br><br>【交換難易度：　☆】　　☆：場合により工具必要　☆☆：工具必要、交換作業にやや時間がかかる　☆☆☆：工具、および技能が必要<br><br>※必ず適合（車種、年式、形式等）をご確認の上お買い求めください。※作業手順は例であり、実写と異なる場合があります。※製品に同梱されている取扱説明書の「取付・使用上の注意事項」をお読みください。※使用済のエアコンフィルターを清掃して再利用することは出来ません.<br><br><br>対応車種：ホンダ シビック セダン 17.09-22.08 FD1 標準装備 <br><br>エレメント・フィルター ｜ エアコンフィルター<br>ホンダ | シビック | FD/FN系,BOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） ホンダ シビック エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） ホンダ シビック セダン FD1 17.09-22.08：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンBOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） ホンダ シビック エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） ホンダ シビック セダン FD1 17.09-22.08,高性能エアコンフィルター。BOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） ホンダ シビック エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） ホンダ シビック セダン FD1 17.09-22.08[rn]
11-132885,http://tshop.r10s.jp/parts/cabinet/detail-aa82/aa82-ap-n02.jpg?fitin=700:700,5485.6000,,車用品・バイク用品 > カー用品 > バッテリー・メンテナンス用品 > フィルター > エアコンフィルター,BOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） 日産 フーガ エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） 日産 フーガ GY50 17.08-21.11,,車内の空気を新車のような空間へ！車のエアコンは女性でも交換できるのをご存知ですか？BOSCHテクノロジーの集大成のエアコンフィルターと女性でも簡単にできる交換方法をご紹介致します。◎脱臭：特殊高性能活性炭が周期成分を吸着、脱臭します。◎除塵：高性能合成繊維不織布、および帯電超極細不織布を採用！花粉の侵入をしっかりブロック！◎抗菌・防カビ：フィルター表面の菌・カビの繁殖を抑制し、クリーンな空気を車内へ供給します。◎植物由来のポリフェノールを採用した抗ウィルス機能・アレル物質抑制機能を追加！●エアコンフィルターの交換推奨時期は走行距離10000kmまたは1年です。<br><br>【交換難易度：　☆】　　☆：場合により工具必要　☆☆：工具必要、交換作業にやや時間がかかる　☆☆☆：工具、および技能が必要<br><br>※必ず適合（車種、年式、形式等）をご確認の上お買い求めください。※作業手順は例であり、実写と異なる場合があります。※製品に同梱されている取扱説明書の「取付・使用上の注意事項」をお読みください。※使用済のエアコンフィルターを清掃して再利用することは出来ません.<br><br><br>対応車種：日産 フーガ 17.08-21.11 GY50 標準装備 <br><br>エレメント・フィルター ｜ エアコンフィルター<br>日産 | フーガ | Y50系,BOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） 日産 フーガ エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） 日産 フーガ GY50 17.08-21.11：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンBOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） 日産 フーガ エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） 日産 フーガ GY50 17.08-21.11,高性能エアコンフィルター。BOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） 日産 フーガ エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） 日産 フーガ GY50 17.08-21.11[rn]
11-132886,http://tshop.r10s.jp/parts/cabinet/detail-aa82/aa82-ap-h06.jpg?fitin=700:700,4292.8000,,車用品・バイク用品 > カー用品 > バッテリー・メンテナンス用品 > フィルター > エアコンフィルター,BOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） ホンダ フィットアリア エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） ホンダ フィット アリア GD8/9 14.11-21.01,,車内の空気を新車のような空間へ！車のエアコンは女性でも交換できるのをご存知ですか？BOSCHテクノロジーの集大成のエアコンフィルターと女性でも簡単にできる交換方法をご紹介致します。◎脱臭：特殊高性能活性炭が周期成分を吸着、脱臭します。◎除塵：高性能合成繊維不織布、および帯電超極細不織布を採用！花粉の侵入をしっかりブロック！◎抗菌・防カビ：フィルター表面の菌・カビの繁殖を抑制し、クリーンな空気を車内へ供給します。◎植物由来のポリフェノールを採用した抗ウィルス機能・アレル物質抑制機能を追加！●エアコンフィルターの交換推奨時期は走行距離10000kmまたは1年です。<br><br>【交換難易度：　☆】　　☆：場合により工具必要　☆☆：工具必要、交換作業にやや時間がかかる　☆☆☆：工具、および技能が必要<br><br>※必ず適合（車種、年式、形式等）をご確認の上お買い求めください。※作業手順は例であり、実写と異なる場合があります。※製品に同梱されている取扱説明書の「取付・使用上の注意事項」をお読みください。※使用済のエアコンフィルターを清掃して再利用することは出来ません.<br><br><br>対応車種：ホンダ フィット アリア 14.11-21.01 GD8/9 標準装備 <br><br>エレメント・フィルター ｜ エアコンフィルター<br>ホンダ | フィットアリア | GD8/GD9,BOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） ホンダ フィットアリア エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） ホンダ フィット アリア GD8/9 14.11-21.01：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンBOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） ホンダ フィットアリア エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） ホンダ フィット アリア GD8/9 14.11-21.01,高性能エアコンフィルター。BOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） ホンダ フィットアリア エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） ホンダ フィット アリア GD8/9 14.11-21.01[rn]
11-132887,http://tshop.r10s.jp/parts/cabinet/detail-aa82/aa82-ap-h08.jpg?fitin=700:700,3732.8000,,車用品・バイク用品 > カー用品 > バッテリー・メンテナンス用品 > フィルター > エアコンフィルター,BOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） ホンダ ライフ JB7/8 15.10-20.11,,車内の空気を新車のような空間へ！車のエアコンは女性でも交換できるのをご存知ですか？BOSCHテクノロジーの集大成のエアコンフィルターと女性でも簡単にできる交換方法をご紹介致します。◎脱臭：特殊高性能活性炭が周期成分を吸着、脱臭します。◎除塵：高性能合成繊維不織布、および帯電超極細不織布を採用！花粉の侵入をしっかりブロック！◎抗菌・防カビ：フィルター表面の菌・カビの繁殖を抑制し、クリーンな空気を車内へ供給します。◎植物由来のポリフェノールを採用した抗ウィルス機能・アレル物質抑制機能を追加！●エアコンフィルターの交換推奨時期は走行距離10000kmまたは1年です。<br>【交換難易度：　☆】　　☆：場合により工具必要　☆☆：工具必要、交換作業にやや時間がかかる　☆☆☆：工具、および技能が必要<br>※必ず適合（車種、年式、形式等）をご確認の上お買い求めください。※作業手順は例であり、実写と異なる場合があります。※製品に同梱されている取扱説明書の「取付・使用上の注意事項」をお読みください。※使用済のエアコンフィルターを清掃して再利用することは出来ません.<br><br>対応車種：ホンダ ライフ 15.10-20.11 JB7/8 オプション設定 販売店オプション設定のフィルター装着車 フィルター未装着車は別途トレーまたはカバーが必要<br>エレメント・フィルター ｜ エアコンフィルター<br>ホンダ | ライフ | JB5～8,BOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） ホンダ ライフ JB7/8 15.10-20.11：ＰＡＲＴＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンBOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） ホンダ ライフ JB7/8 15.10-20.11,高性能エアコンフィルター。BOSCH（ボッシュ）エアコンフィルター アエリストプレミアム（抗ウイルスタイプ） ホンダ ライフ JB7/8 15.10-20.11[rn]
