11-151601,http://tshop.r10s.jp/s-stage/cabinet/parts_and_accessory/k/kcnc/524771_800.jpg?fitin=700:700,816.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用アクセサリー > ライト・ランプ,ケーシーエヌシー ライトアダプター KCNC LIGHT ADP 自転車 ライト 【パーツ総額8640円(税込)以上送料無料】,,"<font color=""red""><br>
※商品発送後、サイズやカラーの返品、交換は一切お受けすることができません。予め、ご了承ください。 
</font><br><br>
【LIGHT ADP】<br>
<br>
【製品仕様】<br>
・ ナイトライドの必需品。ハブにライトを取り付けるアダプター。<br>
・ クイックリリースのナットを外してアダプターに交換し、ライトなどを装着することができます。 <br>
・ 材質：6061アルミニウム合金<br>
・ 参考重量：10g <br>",ケーシーエヌシー ライトアダプター KCNC LIGHT ADP 自転車 ライト 【パーツ総額8640円(税込)以上送料無料】：サイクルショップ　Ｓ-ＳＴＡＧＥ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ケーシーエヌシー ライトアダプター KCNC LIGHT ADP 自転車 ライト 【パーツ総額8640円(税込)以上送料無料】,ケーシーエヌシー ライトアダプター KCNC LIGHT ADP 。ケーシーエヌシー ライトアダプター KCNC LIGHT ADP 自転車 ライト 【パーツ総額8640円(税込)以上送料無料】[rn]
11-151679,http://tshop.r10s.jp/qbei/cabinet/i20161104_01/pi-535261_1.jpg?fitin=700:700,6480.8000,,スポーツ・アウトドア > 自転車・サイクリング > ヘルメット,CAPOR（カポル） CAMELLIA（カメリア）[カジュアル][ヘルメット],【CAPOR カポル カジュアル 自転車パーツ 】,"<!-- ランキング画像 --><br><!-- 商品説明ここから --><img src=""http://image.rakuten.co.jp/qbei/cabinet/imager-2/pi-535261_2.jpg"" width=""100%""/><!-- 商品説明ここまで --><!-- 同時購入 --><!-- 関連商品ここから --><!-- 関連商品ここまで -->",CAPOR（カポル） CAMELLIA（カメリア）[カジュアル][ヘルメット]：自転車のQBEI 楽天市場支店,自転車MTBマウンテンバイクロードバイククロスバイクBMXピストミニベロロードレーサー折りたたみ自転車電動自転車小径車Bianchi ビアンキLouisgarneauルイガノGIOSジオスMAVICMASICAPOR（カポル） CAMELLIA（カメリア）[カジュアル][ヘルメット],【CAPOR カポル カジュアル 自転車パーツ 】。CAPOR（カポル） CAMELLIA（カメリア）[カジュアル][ヘルメット][rn]
11-151680,http://tshop.r10s.jp/qbei/cabinet/i20170309_01/pi-609180_1.jpg?fitin=700:700,1555.2000,,スポーツ・アウトドア > 自転車・サイクリング > ヘルメット,OGK Kabuto（オージーケーカブト) WG-1専用WINTERパッド[インナーパッド][ヘルメット],,"<p><img src=""http://image.rakuten.co.jp/qbei/cabinet/renewal/riyouguide/freeship7000.jpg"" alt=""パーツ・アクセサリー税別7,560円以上のご購入で送料無料"" border=""0"" width=""100%""></p><p>●リペアパーツ</p>",OGK Kabuto（オージーケーカブト) WG-1専用WINTERパッド[インナーパッド][ヘルメット]：自転車のQBEI 楽天市場支店,自転車MTBマウンテンバイクロードバイククロスバイクBMXピストミニベロロードレーサー折りたたみ自転車電動自転車小径車Bianchi ビアンキLouisgarneauルイガノGIOSジオスMAVICMASIOGK Kabuto（オージーケーカブト) WG-1専用WINTERパッド[インナーパッド][ヘルメット],OGK Kabuto（オージーケーカブト) WG-1専用WINTERパッド[インナーパッド][ヘルメット][rn]
11-151681,http://tshop.r10s.jp/qbei/cabinet/i20160411_08/f7a38172309dcf0f3_1.jpg?fitin=700:700,31824.0000,,スポーツ・アウトドア > 自転車・サイクリング > ヘルメット,OGK Kabuto （オージーケーカブト） IXA-C VICTAS （イクサ・C ヴィクタス）[エクストリーム用][ヘルメット],【OGK Kabuto オージーケーカブト 】,<!-- ランキング画像 --><br><!-- 商品説明ここから --><p>カーボン地を活かした、正統派グラフィック。<br>カラー：ホワイトレッド<br>サイズ：XS/S（54cm-56cm）、M/L（57cm-59cm）、XL/XXL（60cm-63cm）<br>規格：SNELL EN1078<br>性能：<br>●精密成型カーボン＆複合素材帽体（カーボンコンポジットシェル）<br>●内装フル脱着可能（インナー、チーク、あごひもカバー）<br>●スペアチークパッド（薄）1セット同梱<br>●スペアバイザー×1個同梱<br>●スペアビス×1個同梱</p><br><!-- 商品説明ここまで --><!-- 同時購入 --><!-- 関連商品ここから --><!-- 関連商品ここまで -->,OGK Kabuto （オージーケーカブト） IXA-C VICTAS （イクサ・C ヴィクタス）[エクストリーム用][ヘルメット]：自転車のQBEI 楽天市場支店,自転車MTBマウンテンバイクロードバイククロスバイクBMXピストミニベロロードレーサー折りたたみ自転車電動自転車小径車Bianchi ビアンキLouisgarneauルイガノGIOSジオスMAVICMASIOGK Kabuto （オージーケーカブト） IXA-C VICTAS （イクサ・C ヴィクタス）[エクストリーム用][ヘルメット],【OGK Kabuto オージーケーカブト 】。OGK Kabuto （オージーケーカブト） IXA-C VICTAS （イクサ・C ヴィクタス）[エクストリーム用][ヘルメット][rn]
11-151682,http://tshop.r10s.jp/qbei/cabinet/i20170329_01/pi-609535_1.jpg?fitin=700:700,3160.0000,,スポーツ・アウトドア > 自転車・サイクリング > ヘルメット,OGK Kabuto（オージーケーカブト) パイン（PINE） ヘルメット[カジュアル][ヘルメット],,"<p><img src=""http://image.rakuten.co.jp/qbei/cabinet/renewal/riyouguide/freeship7000.jpg"" alt=""パーツ・アクセサリー税別7,560円以上のご購入で送料無料"" border=""0"" width=""100%""></p><p>●「ママが被せやすい」をコンセプトに生まれた新システム、毎回の調整不要な新設計アジャスター「フィットバンド」を採用。帽子感覚でかぶれるヘルメットです。 インモールド成型のため、軽量で丈夫。</p><p>●マット調のオフカラーで、洋服に合わせやすい落ち着いたツートンカラーのファーストヘルメットです。</p><p>●年齢の目安：1～3才くらい</p>",OGK Kabuto（オージーケーカブト) パイン（PINE） ヘルメット[カジュアル][ヘルメット]：自転車のQBEI 楽天市場支店,自転車MTBマウンテンバイクロードバイククロスバイクBMXピストミニベロロードレーサー折りたたみ自転車電動自転車小径車Bianchi ビアンキLouisgarneauルイガノGIOSジオスMAVICMASIOGK Kabuto（オージーケーカブト) パイン（PINE） ヘルメット[カジュアル][ヘルメット],OGK Kabuto（オージーケーカブト) パイン（PINE） ヘルメット[カジュアル][ヘルメット][rn]
11-151683,http://tshop.r10s.jp/qbei/cabinet/i20160408_14/2bbb_047062_1.jpg?fitin=700:700,154.4000,,スポーツ・アウトドア > 自転車・サイクリング > ヘルメット,BBB （ビービービー） Pad （アゴヒモパッド） BHE-89[ヘルメット],【BBB ビービービー アクセサリ 】,<!-- ランキング画像 --><br><!-- 商品説明ここから --><!-- 商品説明ここまで --><!-- 同時購入 --><!-- 関連商品ここから --><!-- 関連商品ここまで -->,BBB （ビービービー） Pad （アゴヒモパッド） BHE-89[ヘルメット]：自転車のQBEI 楽天市場支店,自転車MTBマウンテンバイクロードバイククロスバイクBMXピストミニベロロードレーサー折りたたみ自転車電動自転車小径車Bianchi ビアンキLouisgarneauルイガノGIOSジオスMAVICMASIBBB （ビービービー） Pad （アゴヒモパッド） BHE-89[ヘルメット],【BBB ビービービー アクセサリ 】。BBB （ビービービー） Pad （アゴヒモパッド） BHE-89[ヘルメット][rn]
11-151684,http://tshop.r10s.jp/qbei/cabinet/i20161021_01/pi-220248_1.jpg?fitin=700:700,5288.0000,,スポーツ・アウトドア > 自転車・サイクリング > ヘルメット,BELL（ベル） 2017年モデル Local （ローカル）[一般][バイザー無し],【初心者の質問歓迎】,"<!-- ランキング画像 --><br><!-- 商品説明ここから --><p><img src=""http://image.rakuten.co.jp/qbei/cabinet/renewal/riyouguide/freeship7000.jpg"" alt=""パーツ・アクセサリー税別7,560円以上のご購入で送料無料"" border=""0"" width=""100%""/></p><hr><p><b>■クラシックで新しい。</b><br>全てが新しいローカルはクラシックスケートルックスでありながら、快適性を追求したテクノロジーが搭載されている。リファインされた成形フォームはより頭部との隙間を埋め、スマートなシルエットに見せることが可能であり、サイクルスタイル上がりのフィットシステムを搭載し、安全性を今まで以上に向上させている。パンプトラックからダートコース、岩場のライディングまで、快適な状態であなたのスタイルをキープできる。</p><hr><p><b>【詳細】</b><br><br> ●ベンチレーション： 10<br> ●重量：M（453g） L（481g）<br> ●安全規格： CPSC Bicycle/CE EN1078<br> ●ABSハードプラスティックシェルwithEPSライナー<br> ●アクションフィット</p><hr><p><b>【ヘルメットの安全規格について】</b><br><br><b>■CPSC（アメリカ合衆国消費者製品安全委員会）</b><br>CPSCは、アメリカにて1972年に設立された、法的権限を持つ大統領直属の独立政府機関。<br>自転車ヘルメットの規格は1999年に制定。<br>現在アメリカ国内及び世界で流通しているヘルメットの中で、標準の一つとして考えられている安全基準。<br>自転車乗車中の衝突や落下の際にヘルメットが頭を保護し、またあご紐ストラップが外れないかどうかなど複数のテストを行い判定。<br>また、5歳未満の子供用ヘルメットには、プロテクションエリアのより広い構造を求めるなど、最新の知見に基づいた規格にも特徴がある。<br>BELLは、自転車ヘルメットとして初めてCPSC規格を取得したヘルメットブランド。<br>日本で流通しているほとんどのBELLヘルメットが、この安全基準を取得している。</p><img src=""/contents/images/imageb-4/mark_cpsc.jpg""/><hr><p><b>■CE EN1078</b><br><br> CEマークは、EEA（欧州経済領域）において流通される商品が、すべてのEU加盟国の基準を満たすものに付けられるマーク。<br>その中でもEN1078が、自転車用ヘルメット、またスケートボード用ヘルメットの安全基準を制定した安全規準。<br> 衝撃検査や摩擦、あご紐ストラップの強度検査などを行っている。<br> 日本で販売しているBELLヘルメットでも、一部のヨーロッパ向けモデルにて採用。</p><img src=""/contents/images/imageb-4/mark_ec.jpg""/><!-- 商品説明ここまで --><!-- 同時購入 --><!-- 関連商品ここから --><!-- 関連商品ここまで -->",BELL（ベル） 2017年モデル Local （ローカル）[一般][バイザー無し]：自転車のQBEI 楽天市場支店,自転車MTBマウンテンバイクロードバイククロスバイクBMXピストミニベロロードレーサー折りたたみ自転車電動自転車小径車Bianchi ビアンキLouisgarneauルイガノGIOSジオスMAVICMASIBELL（ベル） 2017年モデル Local （ローカル）[一般][バイザー無し],【初心者の質問歓迎】。BELL（ベル） 2017年モデル Local （ローカル）[一般][バイザー無し][rn]
11-151685,http://tshop.r10s.jp/qbei/cabinet/i20161104_01/pi-535260_1.jpg?fitin=700:700,6139.2000,,スポーツ・アウトドア > 自転車・サイクリング > ヘルメット,CAPOR（カポル） OAK（オーク）[カジュアル][ヘルメット],【CAPOR カポル カジュアル 自転車パーツ 】,"<!-- ランキング画像 --><br><!-- 商品説明ここから --><img src=""http://image.rakuten.co.jp/qbei/cabinet/imager-2/pi-535260_2.jpg"" width=""100%""/><!-- 商品説明ここまで --><!-- 同時購入 --><!-- 関連商品ここから --><!-- 関連商品ここまで -->",CAPOR（カポル） OAK（オーク）[カジュアル][ヘルメット]：自転車のQBEI 楽天市場支店,自転車MTBマウンテンバイクロードバイククロスバイクBMXピストミニベロロードレーサー折りたたみ自転車電動自転車小径車Bianchi ビアンキLouisgarneauルイガノGIOSジオスMAVICMASICAPOR（カポル） OAK（オーク）[カジュアル][ヘルメット],【CAPOR カポル カジュアル 自転車パーツ 】。CAPOR（カポル） OAK（オーク）[カジュアル][ヘルメット][rn]
11-151686,http://tshop.r10s.jp/qbei/cabinet/i20170227_01/pi-609123_1.jpg?fitin=700:700,984.8000,,スポーツ・アウトドア > 自転車・サイクリング > ヘルメット,OGK Kabuto（オージーケーカブト) アルフェレディース専用 A.I ネット[その他][ヘルメット],,"<p><img src=""http://image.rakuten.co.jp/qbei/cabinet/renewal/riyouguide/freeship7000.jpg"" alt=""パーツ・アクセサリー税別7,560円以上のご購入で送料無料"" border=""0"" width=""100%""></p><p><img src=""http://image.rakuten.co.jp/qbei/cabinet/i20170227_01/khead_1.jpg"" width=""100%""/></p>",OGK Kabuto（オージーケーカブト) アルフェレディース専用 A.I ネット[その他][ヘルメット]：自転車のQBEI 楽天市場支店,自転車MTBマウンテンバイクロードバイククロスバイクBMXピストミニベロロードレーサー折りたたみ自転車電動自転車小径車Bianchi ビアンキLouisgarneauルイガノGIOSジオスMAVICMASIOGK Kabuto（オージーケーカブト) アルフェレディース専用 A.I ネット[その他][ヘルメット],OGK Kabuto（オージーケーカブト) アルフェレディース専用 A.I ネット[その他][ヘルメット][rn]
11-151687,http://tshop.r10s.jp/qbei/cabinet/i20161021_01/pi-220249_1.jpg?fitin=700:700,50544.0000,,スポーツ・アウトドア > 自転車・サイクリング > ヘルメット,BELL（ベル） 2017年モデル Full-9 （フルナイン）[エクストリーム用][ヘルメット],【初心者の質問歓迎】【送料無料】,"<!-- ランキング画像 --><br><!-- 商品説明ここから --><p><img src=""http://image.rakuten.co.jp/qbei/cabinet/renewal/riyouguide/freeship7000.jpg"" alt=""パーツ・アクセサリー税別7,560円以上のご購入で送料無料"" border=""0"" width=""100%""/></p><p>ベルほどモトクロスに深いルーツを持つブランドは他に無いだろう。ベルのエンジニアが数々の賞を受賞しているモトナインから学んだものの多くが、フルナインに注ぎ込まれている。その比類なき経験を用い、それをダウンヒルやBMXのチャンピオンから得たフィードバックと組み合わせて、勝利の方程式を手に入れたのだ。フルナインはもっとも厳格なASTMダウンヒルマウンテンバイクレース安全規格だけでなく、CPSC規格やCE自転車安全基準も満たしている。安全を重視するモトクロスから得たさらなるテクノロジーは、イジェクトヘルメットリムーバブルシステムとマグネティックチークパッド。その他にフルナインは、サウンドトラックスという組み込み式スピーカーポケットとオーディオケーブルの配線装備に加え、Go-ProやContourカメラ用の見事に組み込まれたマウントを装備している。軽量カーボンシェル、広い視界、オーバーブローベンチレーション、そしてベロシティーフローベンチレーションも装備し、世界で最先端のDHとBMX用ヘルメットとなっている。</p><hr><p><b>【詳細】</b></p><p> ●ベンチレーション： 10/3brow ports<br> ●重量： XS(1080g)、S(1070g)、M(1140g)、L(1100g)、XL(1180g)、XXL(1160g)<br> ※XS/Sサイズはマットブラック/グレイインテイクのみ<br> ●安全規格：CPSC Bicycle/CE EN1078/ASTM F1952-00(Downhill)/ASTM F2032-06(BMX)<br> ●ICEdot(アイスドット)採用<br> ●オーバーブローベンチレーション<br> ●インテグレーテッドブレークアウェイカメラマウント<br> ●XT-2 エクステンデッドウェアインテリア<br> ●マグネティックリムーバブルチークパッド<br> ●サウンドトラックススピーカーシステム<br> ●インテグレーテッドイジェクトコンパティビリティ<br> ●ブレークアウェイスクリュー<br> ●フライングブリッジバイザー<br> ●ライトウェイトフルカーボンシェル </p><hr><p><b>【ヘルメットの安全規格について】</b></p><p><b>■CPSC（アメリカ合衆国消費者製品安全委員会）</b></p><p>CPSCは、アメリカにて1972年に設立された、法的権限を持つ大統領直属の独立政府機関。自転車ヘルメットの規格は1999年に制定。現在アメリカ国内及び世界で流通しているヘルメットの中で、標準の一つとして考えられている安全基準。自転車乗車中の衝突や落下の際にヘルメットが頭を保護し、またあご紐ストラップが外れないかどうかなど複数のテストを行い判定。また、5歳未満の子供用ヘルメットには、プロテクションエリアのより広い構造を求めるなど、最新の知見に基づいた規格にも特徴がある。BELLは、自転車ヘルメットとして初めてCPSC規格を取得したヘルメットブランド。日本で流通しているほとんどのBELLヘルメットが、この安全基準を取得している。 </p><img src=""/contents/images/imageb-4/mark_cpsc.jpg""/><hr><p><b>■CE EN1078</b></p><p> CEマークは、EEA（欧州経済領域）において流通される商品が、すべてのEU加盟国の基準を満たすものに付けられるマーク。その中でもEN1078が、自転車用ヘルメット、またスケートボード用ヘルメットの安全基準を制定した安全規準。 衝撃検査や摩擦、あご紐ストラップの強度検査などを行っている。日本で販売しているBELLヘルメットでも、一部のヨーロッパ向けモデルにて採用。</p><img src=""/contents/images/imageb-4/mark_ec.jpg""/><hr><p><b>■ASTM（米国試験材料協会）</b></p><p>ASTM規格とは、世界最大規模の標準化団体である米国試験材料協会（ASTM Internationalが策定する規格。ASTMは世界最大級の民間規格制定機関（非営利団体）で、約130分野の標準試験方法、仕様、作業方法、ガイド、分類、用語集を作成し、出版している。 同じ米国を中心に行われているCPSCと比べると、全ての消費財がその基準を得なければいけないCPSCに比べ、ASTMは業界自主規制のため、現在ヘルメット分野での規格スタンダードはCPSCにその座を譲っている。 しかしながら、ASTMでは、追加基準としてフルフェイスモデルのチンガード部分の安全基準を設定しており、特に衝撃の激しいアクションスポーツで使用されるヘルメットの安全を証明する。 BELLでは、一部のフルフェイスモデル、ハーフキャップモデルにてASTM規格を取得している。</p><img src=""/contents/images/imageb-4/mark_a.jpg""/><hr><p><b>【テクノロジー詳細】</b></p><p><b>■ICEdot(アイスドット)採用</b></p><p>衝撃から頭を守ることに関するベルの絶え間ない追求は、実際の衝撃の最中から、その衝撃の後へと続いている。2015モデルより、一部モデルにてICEdot(アイスドット)ステッカーを同梱。ICEdotとは、オンライン上に登録した各個人の緊急時情報を、本人以外の人間と共有できる新しいサービスである。ICEdot保持者に何らかのアクシデントが発生した際、最初の発見者はステッカーIDに表記されているPINコードを、SMSで指定の番号へ送ります。その後、SMSメールを通じてすぐに返信が届き、緊急情報を読み出すことができる。欧米のアクションスポーツシーンで急速に関心を集めつつあるICEDOT。ベルは、自転車用ヘルメットでは数少ないパートナーブランドとして、ICEDOTの導入を積極的に行ってる。</p><hr><p><b>■OVERBROW VENTILATION(オーバーブロー ベンチレーション)</b></p><p> オーバーブロー ベンチレーショ システムは、ヘルメットの額部分にある取入口から冷たい風を頭上へと積極的に送るシステム。 専用設計のブリッジは、ヘルメットのエアーチャンネルを滞らせることなく頭全体のベンチレーションを最大限に高める。</p><hr><p><b>■INTEGRATED BREAKAWAY CAMERA MOUNT(インテグレーテッド ブレークアウェイ カメラ マウント)</b></p><p> インテグレーテッドブレークアウェイカメラマウントは、見た目の悪い両面テープや結束バンドを使うことなく、ウエアラブルカメラを最適な位置に装着できる。デッキが衝撃を受けた際にカメラが「外れて取れる」ことで、あなたとカメラを守るよう設計された。</p><hr><p><b>■SOUNDTRAX SPEAKER SYSTEM(サウンドトラックス スピーカーシステム)</b></p><p> サウンドトラックスは組み込み式スピーカーポケットとオーディオケーブルの配線装備を持つベルのシステムである。特別な加工は必要なく、BGMを流しながらトレーニングに集中することができる。</p><hr><p><b>■INTEGRATED COMPATIBILITY W/EJECT SYSTEM(インテグレーテッド コンパティビリティ イジェクト システム)</b></p><p> イジェクト ヘルメット リムーバブルシステムを一体化する設計により、最初の救助者は、慎重にヘルメットをライダーから脱がせることができ、二次損傷の恐れを低減できる。</p><hr><p><b>■BREAKAWAY SCREWS(ブレークアウェイ スクリュー)</b></p><p> 専用のブレークアウェイ スクリューは高速度の衝撃で折れてバイザーが破損するのを防ぐために設計された。ベルのまたもう一つの予防デザインである。</p><hr><p><b>■FLYING BRIDGE VISOR(フライング ブリッジ バイザー)</b></p><p> フライング ブリッジ バイザーは数々の賞を受賞し続けているベル モトナインモーターサイクル用ヘルメットのために開発されたもので、フルナインも採用している。その調節しやすいシステムは、手が届きにくい中央のスクリューを使わずにバイザーをしっかりと確実に固定するベル独自のカム機構を伴った、両側に取り付けられた調節スクリューを採用している。これにより、バイザー調節はグローブをはめたままでも簡単になった。</p><!-- 商品説明ここまで --><!-- 同時購入 --><!-- 関連商品ここから --><!-- 関連商品ここまで -->",BELL（ベル） 2017年モデル Full-9 （フルナイン）[エクストリーム用][ヘルメット]：自転車のQBEI 楽天市場支店,自転車MTBマウンテンバイクロードバイククロスバイクBMXピストミニベロロードレーサー折りたたみ自転車電動自転車小径車Bianchi ビアンキLouisgarneauルイガノGIOSジオスMAVICMASIBELL（ベル） 2017年モデル Full-9 （フルナイン）[エクストリーム用][ヘルメット],【初心者の質問歓迎】【送料無料】。BELL（ベル） 2017年モデル Full-9 （フルナイン）[エクストリーム用][ヘルメット][rn]
11-151688,http://tshop.r10s.jp/qbei/cabinet/i20170309_01/pi-609198_1.jpg?fitin=700:700,4587.2000,,スポーツ・アウトドア > 自転車・サイクリング > ヘルメット,OGK Kabuto（オージーケーカブト) CS-1[エクストリーム用][ヘルメット],,"<p><img src=""http://image.rakuten.co.jp/qbei/cabinet/renewal/riyouguide/freeship7000.jpg"" alt=""パーツ・アクセサリー税別7,560円以上のご購入で送料無料"" border=""0"" width=""100%""></p>",OGK Kabuto（オージーケーカブト) CS-1[エクストリーム用][ヘルメット]：自転車のQBEI 楽天市場支店,自転車MTBマウンテンバイクロードバイククロスバイクBMXピストミニベロロードレーサー折りたたみ自転車電動自転車小径車Bianchi ビアンキLouisgarneauルイガノGIOSジオスMAVICMASIOGK Kabuto（オージーケーカブト) CS-1[エクストリーム用][ヘルメット],OGK Kabuto（オージーケーカブト) CS-1[エクストリーム用][ヘルメット][rn]
11-151689,http://tshop.r10s.jp/qbei/cabinet/i20160411_02/pi-605274_1.jpg?fitin=700:700,9331.2000,,スポーツ・アウトドア > 自転車・サイクリング > ヘルメット,BELL（ベル） 2017年モデル HUB （ハブ）[ロード・MTB][バイザー付き][ヘルメット],【BELL ベル ロード・MTB 自転車パーツ 】,<!-- ランキング画像 --><br><!-- 商品説明ここから --><p>ハブは上位モデルと似た機能を持つが、ストリートでの使用を想定されている。オーバーブローベンチレーションシステムは通勤時にかく汗の量を減少させる。TAGフィットシステムはシンプル且つ安全であり、アイウェアとの相性もよい。その他のスマートな機能としてクールメッシュパッド、一体型クリップ式ライトマウント、リフレクターで縁取られたソフトブリムバイザーなどを有する。どんなウェアにも、ハブがあなたにスタイルを付け加えてくれる。</p><hr><p><b>【詳細】</b></p><p> ●ベンチレーション： 15/3overbrow ports<br> ●重量： M375g、 L390g<br> ●安全規格： CPSC Bicycle/CE EN1078<br> ●ICEdot(アイスドット)採用<br> ●オーバーブローベンチレーション<br> ●タグフィットシステム<br> ●ソフトブリムバイザーw/リフレクティブトリム<br> ●インテグレーテッドクリップ-オンライトマウント<br> ●ライトウェイトキット<br> ●パーフォレーテッドパッド<br> ●ラチェットバックル<br> ●リアリフレクティブデカール </p><hr><p><b>【ヘルメットの安全規格について】</b></p><p><b>■CPSC（アメリカ合衆国消費者製品安全委員会）</b></p><p>CPSCは、アメリカにて1972年に設立された、法的権限を持つ大統領直属の独立政府機関。自転車ヘルメットの規格は1999年に制定。現在アメリカ国内及び世界で流通しているヘルメットの中で、標準の一つとして考えられている安全基準。自転車乗車中の衝突や落下の際にヘルメットが頭を保護し、またあご紐ストラップが外れないかどうかなど複数のテストを行い判定。また、5歳未満の子供用ヘルメットには、プロテクションエリアのより広い構造を求めるなど、最新の知見に基づいた規格にも特徴がある。BELLは、自転車ヘルメットとして初めてCPSC規格を取得したヘルメットブランド。日本で流通しているほとんどのBELLヘルメットが、この安全基準を取得している。 </p><hr><p><b>■CE EN1078</b></p><p> CEマークは、EEA（欧州経済領域）において流通される商品が、すべてのEU加盟国の基準を満たすものに付けられるマーク。その中でもEN1078が、自転車用ヘルメット、またスケートボード用ヘルメットの安全基準を制定した安全規準。 衝撃検査や摩擦、あご紐ストラップの強度検査などを行っている。日本で販売しているBELLヘルメットでも、一部のヨーロッパ向けモデルにて採用。</p><!-- 商品説明ここまで --><!-- 同時購入 --><!-- 関連商品ここから --><!-- 関連商品ここまで -->,BELL（ベル） 2017年モデル HUB （ハブ）[ロード・MTB][バイザー付き][ヘルメット]：自転車のQBEI 楽天市場支店,自転車MTBマウンテンバイクロードバイククロスバイクBMXピストミニベロロードレーサー折りたたみ自転車電動自転車小径車Bianchi ビアンキLouisgarneauルイガノGIOSジオスMAVICMASIBELL（ベル） 2017年モデル HUB （ハブ）[ロード・MTB][バイザー付き][ヘルメット],【BELL ベル ロード・MTB 自転車パーツ 】。BELL（ベル） 2017年モデル HUB （ハブ）[ロード・MTB][バイザー付き][ヘルメット][rn]
11-151690,http://tshop.r10s.jp/qbei/cabinet/i20160411_08/pc-bbb-dcasytem_1.jpg?fitin=700:700,1314.4000,,スポーツ・アウトドア > 自転車・サイクリング > ヘルメット,BBB（ビービービー） DUAL CLOSE ADJUST SYSTEM デュアルクローズアジャストシステム BHE-91[ヘルメット],【BBB ビービービー アクセサリ 】,<!-- ランキング画像 --><br><!-- 商品説明ここから --><p>グリフォン/タウラス用。</p><br><!-- 商品説明ここまで --><!-- 同時購入 --><!-- 関連商品ここから --><!-- 関連商品ここまで -->,BBB（ビービービー） DUAL CLOSE ADJUST SYSTEM デュアルクローズアジャストシステム BHE-91[ヘルメット]：自転車のQBEI 楽天市場支店,自転車MTBマウンテンバイクロードバイククロスバイクBMXピストミニベロロードレーサー折りたたみ自転車電動自転車小径車Bianchi ビアンキLouisgarneauルイガノGIOSジオスMAVICMASIBBB（ビービービー） DUAL CLOSE ADJUST SYSTEM デュアルクローズアジャストシステム BHE-91[ヘルメット],【BBB ビービービー アクセサリ 】。BBB（ビービービー） DUAL CLOSE ADJUST SYSTEM デュアルクローズアジャストシステム BHE-91[ヘルメット][rn]
11-151691,http://tshop.r10s.jp/qbei/cabinet/i20160411_07/ci-607444-o16_1.jpg?fitin=700:700,9312.0000,,スポーツ・アウトドア > 自転車・サイクリング > ヘルメット,LAZER（レーザー） 2016年モデル Phoenix＋ （フェニックスプラス）[エクストリーム用][ヘルメット],【LAZER レーザー エクストリーム用 】,"<!-- ランキング画像 --><br><!-- 商品説明ここから --><p>ダウンヒルやエクストリームライド向けのフルフェイスモデル“フェニックス プラス”。</p><hr><p>●グラスファイバー コンポジットシェル<br> ●アジャスタブル バイザー付<br> ●6個の通気孔<br> ●M (56～58cm) / L (58～60cm)<br> ●1,170g(M)</p><hr><p>■【機能】</p><p><img src=""http://image.rakuten.co.jp/qbei/cabinet/imagem-5/536141_icon1.jpg""/></p><p>片手で無段階に全周調節できる フィッティングシステム ""ロールシス""</p><p><img src=""http://image.rakuten.co.jp/qbei/cabinet/imagem-5/536140_icon2.jpg""/></p><p>帽体に内蔵された補強のための リジッド ブレースシステム ""RBS""</p><p><img src=""http://image.rakuten.co.jp/qbei/cabinet/imagem-5/536141_icon2.jpg""/></p><p>ストラップを2つのDリングに 通して固定する“ダブル Dリング バックル”</p><p><img src=""http://image.rakuten.co.jp/qbei/cabinet/imagem-5/536141_icon3.jpg""/></p><p>バイザーの高さを変えられる""アジャスタブル バイザー""装備</p><hr><p><img src=""http://image.rakuten.co.jp/qbei/cabinet/imagem-5/536126_ce.jpg""/></p><p>■CE規格合格品</p><p>「CE」は、1997年EU加盟の18ヵ国によって規定された、ヨーロッパの安全規格です。LAZERヘルメットは子供用も含めて全てが「CE」をクリアしています。</p><!-- 商品説明ここまで --><!-- 同時購入 --><!-- 関連商品ここから --><!-- 関連商品ここまで -->",LAZER（レーザー） 2016年モデル Phoenix＋ （フェニックスプラス）[エクストリーム用][ヘルメット]：自転車のQBEI 楽天市場支店,自転車MTBマウンテンバイクロードバイククロスバイクBMXピストミニベロロードレーサー折りたたみ自転車電動自転車小径車Bianchi ビアンキLouisgarneauルイガノGIOSジオスMAVICMASILAZER（レーザー） 2016年モデル Phoenix＋ （フェニックスプラス）[エクストリーム用][ヘルメット],【LAZER レーザー エクストリーム用 】。LAZER（レーザー） 2016年モデル Phoenix＋ （フェニックスプラス）[エクストリーム用][ヘルメット][rn]
