16-26301,,412.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ビーハ社/Ｗｉｈａ レンチ【7041ZPH3X50】(7984049) Ｗｉｈａ プロフェッショナル1／4”プラスビットＥ63型 発注単位1,作業用品\ドライバービット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●1/4インチ（6.35mm）のE6.3型プラスビットです。<br>
●あらゆる産業のねじ締め<br>
●刃先:[[(+)]]3<br>
●全長(mm):50<br>
●塗装色:クローム<br>
●差込角(mm):6.35<br>
●シャンク径:6.35mm<br>
●DIN3126、ISO1173、E6.3型<br>
●クロムバナジウム鋼<br>
●全身焼き入れ",■〒ビーハ社/Ｗｉｈａ レンチ【7041ZPH3X50】(7984049) Ｗｉｈａ プロフェッショナル1／4&rdquo;プラスビットＥ63型 発注単位1：クローバー資材館,■〒ビーハ社/Ｗｉｈａ レンチ【7041ZPH3X50】(7984049) Ｗｉｈａ プロフェッショナル1／4&rdquo;プラスビットＥ63型 発注単位1,作業用品\ドライバービット。■〒ビーハ社/Ｗｉｈａ レンチ【7041ZPH3X50】(7984049) Ｗｉｈａ プロフェッショナル1／4&rdquo;プラスビットＥ63型 発注単位1[rn]
16-26354,,886.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒育良精機/育良 パンチャー【ISK-HH5500】(7929994) 育良 下方押え型トグルクランプ 水平ハンドル(31113) 発注単位1,作業用品\クランプ・バイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●溶接治具、組立治具、検査治具、加工治具に最適です。<br>
●フランジベースタイプです。<br>
●全長(mm):264<br>
●締付力(kN):3.4<br>
●付属ボルト径:M10×70<br>
●クランプアーム移動角度(°):95<br>
●ハンドル操作角度(°):75<br>
●スチール<br>
●ねじ先端ゴム:ニトリルゴム<br>
●2Sはステンレスタイプです。",■〒育良精機/育良 パンチャー【ISK-HH5500】(7929994) 育良 下方押え型トグルクランプ 水平ハンドル(31113) 発注単位1：クローバー資材館,■〒育良精機/育良 パンチャー【ISK-HH5500】(7929994) 育良 下方押え型トグルクランプ 水平ハンドル(31113) 発注単位1,作業用品\クランプ・バイス。■〒育良精機/育良 パンチャー【ISK-HH5500】(7929994) 育良 下方押え型トグルクランプ 水平ハンドル(31113) 発注単位1[rn]
16-26355,,665.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒育良精機/育良 パンチャー【ISK-070】(7929374) 育良 横押し型トグルクランプ(31407) 発注単位1,作業用品\クランプ・バイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●溶接治具、組立治具、検査治具、加工治具に最適です。<br>
●フランジベースタイプです。<br>
●全長(mm):127<br>
●付属ボルト径:M5×15<br>
●ハンドル操作角度(°):66<br>
●ストローク(mm):10<br>
●押圧力(kN):0.5<br>
●スチール",■〒育良精機/育良 パンチャー【ISK-070】(7929374) 育良 横押し型トグルクランプ(31407) 発注単位1：クローバー資材館,■〒育良精機/育良 パンチャー【ISK-070】(7929374) 育良 横押し型トグルクランプ(31407) 発注単位1,作業用品\クランプ・バイス。■〒育良精機/育良 パンチャー【ISK-070】(7929374) 育良 横押し型トグルクランプ(31407) 発注単位1[rn]
16-26356,,2548.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒大阪角田興業/角田 クランプ【KC-HH350-2S】(8086869) 角田 ステンレス製ハンドル横型トグルクランプ Ｎｏ．ＨＨ350－2Ｓ 発注単位1,作業用品\クランプ・バイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●HH350のステンレスタイプです。<br>
●ステンレス六角BT付属です。<br>
●全長(mm):138.1<br>
●付属ボルト径:M6×37（RBT-6-SUS)<br>
●クランプアーム移動角度(°):90<br>
●ハンドル操作角度(°):60<br>
●製品刻印:HH350-2S<br>
●締圧力(kN):0.9<br>
●ステンレス製<br>
●締圧力(kg):90<br>
●下方押え型<br>
●ハンドル横型<br>
●SUS304<br>
●M6×37六角ボルト<br>
●ナット２個<br>
●座金２枚<br>
●表記の締圧力は目安です。<br>
●締圧力はクランプアームの先端へ行くほど弱くなります。<br>
●衝撃や振動、内圧は、破損の原因になりますのでご注意ください。<br>
●手を挟まないように注意してください。<br>
●２Sタイプは、ゴム付ボルト別売です。",■〒大阪角田興業/角田 クランプ【KC-HH350-2S】(8086869) 角田 ステンレス製ハンドル横型トグルクランプ Ｎｏ．ＨＨ350&minus;2Ｓ 発注単位1：クローバー資材館,■〒大阪角田興業/角田 クランプ【KC-HH350-2S】(8086869) 角田 ステンレス製ハンドル横型トグルクランプ Ｎｏ．ＨＨ350&minus;2Ｓ 発注単位1,作業用品\クランプ・バイス。■〒大阪角田興業/角田 クランプ【KC-HH350-2S】(8086869) 角田 ステンレス製ハンドル横型トグルクランプ Ｎｏ．ＨＨ350&minus;2Ｓ 発注単位1[rn]
16-26357,,3575.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【8421-200】(4972562) サイクルプライヤー　２００ｍｍ　２０度ベントヘッド 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\プライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●薄いボルトやナットの締緩作業に最適なプライヤーです。<br><br><br>●全長(mm)：200<br>●厚み(mm)：3.5<br>●A(mm)：65<br>●落下防止用ひも取付穴：無<br><br><br>●オイル焼き入れ焼き戻し処理済み特殊工具鋼<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【8421-200】(4972562) サイクルプライヤー　２００ｍｍ　２０度ベントヘッド 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【8421-200】(4972562) サイクルプライヤー　２００ｍｍ　２０度ベントヘッド 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\プライヤー。『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【8421-200】(4972562) サイクルプライヤー　２００ｍｍ　２０度ベントヘッド 受注単位1[rn]
16-26358,,3428.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【8411-200】(4972554) サイクルプライヤー　２００ｍｍ 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\プライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●薄いボルトやナットの締緩作業に最適なプライヤーです。<br><br><br>●全長(mm)：200<br>●厚み(mm)：3.5<br>●A(mm)：65<br>●落下防止用ひも取付穴：無<br><br><br>●オイル焼き入れ焼き戻し処理済み特殊工具鋼<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【8411-200】(4972554) サイクルプライヤー　２００ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【8411-200】(4972554) サイクルプライヤー　２００ｍｍ 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\プライヤー。『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【8411-200】(4972554) サイクルプライヤー　２００ｍｍ 受注単位1[rn]
16-26359,,2948.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7002-140SB】(7666071) 電工ニッパー　１４０ｍｍ 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ニッパ電工用,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●様々な場面で活躍する汎用性の高い斜ニッパーです。<br>●高品質な原材料を用いることで、精密な作業を可能にし、ツール寿命も長くなっています。<br>●軟線・硬線を精密に切断することができます。<br>●刃の先端では細い銅線を丁寧に切断することができます。<br>●入念な焼入れ処理が施された刃の硬度は約ＨＲＣ６２です。<br>●ヘッド先端は細くなっており、狭い場所での作業も可能です。<br><br><br>●全長(mm)：140<br>●切断能力(mm)硬線：1.8<br>●ハンドル：コンフォートタイプ<br>●切断能力(mm)中硬線：2.5<br>●切断能力(mm)軟線：4.0<br>●質量(g)：150<br><br><br>●オイル焼き入れ焼き戻し処理済のバナジウム電気鋼<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7002-140SB】(7666071) 電工ニッパー　１４０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7002-140SB】(7666071) 電工ニッパー　１４０ｍｍ 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ニッパ電工用。『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7002-140SB】(7666071) 電工ニッパー　１４０ｍｍ 受注単位1[rn]
16-26360,,31400.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7302-160SB】(7666322) コンパクトニッパー　１６０ｍｍ 受注単位6,作業用品\プライヤー・ペンチ・ニッパ\ニッパ電工用,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●３枚合わせヒンジ採用で軽量化と高い安定性を実現しています。<br>●160mmの大きさで180mm級の切断能力を実現しています（当社比）。<br><br><br>●全長(mm)：160<br>●切断能力(mm)硬線：2.7<br>●切断能力(mm)軟線：4.8<br>●切断能力(mm)ピアノ線：2.2<br>●切断能力(mm)中硬線：3.8<br><br><br>●クロームバナジウム電気鋼<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7302-160SB】(7666322) コンパクトニッパー　１６０ｍｍ 受注単位6：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7302-160SB】(7666322) コンパクトニッパー　１６０ｍｍ 受注単位6,作業用品\プライヤー・ペンチ・ニッパ\ニッパ電工用。『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7302-160SB】(7666322) コンパクトニッパー　１６０ｍｍ 受注単位6[rn]
16-26361,,8366.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7372-180F】(4972490) ツインフォースニッパー　バネ付　１８０ｍｍ 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ニッパ電工用,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●理想の伝達力を産むダブルヒンジシステムです。<br>●非常に少ない力で切断でき、手に掛かる力を和らげます。<br>●従来の斜ニッパーと比べて最大50％切断能力がアップしています。<br>●切断するワイヤーをできるだけ中心部に挟み、２～３回切り込みを入れると４mm以上のものでも切断することが可能です。<br><br><br>●全長(mm)：180<br>●切断能力(mm)硬線：φ3.2<br>●切断能力(mm)軟線：φ5.5<br>●切断能力(mm)ピアノ線：3.0<br>●ハンドル：コンフォートタイプ<br>●切断能力(mm)中硬線：φ4.6<br>●ばね：有<br>●質量(g)：280<br><br>●バネ付<br><br>●クロームバナジウム電気鋼<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7372-180F】(4972490) ツインフォースニッパー　バネ付　１８０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7372-180F】(4972490) ツインフォースニッパー　バネ付　１８０ｍｍ 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ニッパ電工用。『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7372-180F】(4972490) ツインフォースニッパー　バネ付　１８０ｍｍ 受注単位1[rn]
16-26362,,18132.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7002-160SB】(7666080) 電工ニッパー　１６０ｍｍ 受注単位6,作業用品\プライヤー・ペンチ・ニッパ\ニッパ電工用,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●様々な場面で活躍する汎用性の高い斜ニッパーです。<br>●高品質な原材料を用いることで、精密な作業を可能にし、ツール寿命も長くなっています。<br>●軟線・硬線を精密に切断することができます。<br>●刃の先端では細い銅線を丁寧に切断することができます。<br>●入念な焼入れ処理が施された刃の硬度は約ＨＲＣ６２です。<br>●ヘッド先端は細くなっており、狭い場所での作業も可能です。<br><br><br>●全長(mm)：160<br>●切断能力(mm)硬線：2.0<br>●ハンドル：コンフォートタイプ<br>●切断能力(mm)中硬線：2.8<br>●切断能力(mm)軟線：4.0<br>●質量(g)：206<br><br><br>●オイル焼き入れ焼き戻し処理済のバナジウム電気鋼<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7002-160SB】(7666080) 電工ニッパー　１６０ｍｍ 受注単位6：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7002-160SB】(7666080) 電工ニッパー　１６０ｍｍ 受注単位6,作業用品\プライヤー・ペンチ・ニッパ\ニッパ電工用。『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7002-160SB】(7666080) 電工ニッパー　１６０ｍｍ 受注単位6[rn]
16-26363,,2937.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スリーピークス技研/スリーピークス【DN-195】(4961161) スリーピークス　電工Ｆニッパ　１９５ｍｍ 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ニッパ電工用,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●刃角度が7°で腕～手首～指先～刃先がほぼ直線になることで、自然で安定した作業姿勢になり作業効率がアップします。<br>●刃部は精密機械加工により薄くシャープになり、抜群の切れ味です。<br><br><br>●全長(mm)：205<br>●切断能力(mm)銅線：φ3.2<br>●切断能力(mm)VA線：2.0×3芯<br>●切断能力(mm)針金：φ2.0<br><br>●落下防止用ひも取付穴付<br><br>",『カード対応OK！』■〒スリーピークス技研/スリーピークス【DN-195】(4961161) スリーピークス　電工Ｆニッパ　１９５ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スリーピークス技研/スリーピークス【DN-195】(4961161) スリーピークス　電工Ｆニッパ　１９５ｍｍ 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ニッパ電工用。『カード対応OK！』■〒スリーピークス技研/スリーピークス【DN-195】(4961161) スリーピークス　電工Ｆニッパ　１９５ｍｍ 受注単位1[rn]
16-26364,,17248.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7002-125SB】(7666063) 電工ニッパー　１２５ｍｍ 受注単位6,作業用品\プライヤー・ペンチ・ニッパ\ニッパ電工用,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●様々な場面で活躍する汎用性の高い斜ニッパーです。<br>●高品質な原材料を用いることで、精密な作業を可能にし、ツール寿命も長くなっています。<br>●軟線・硬線を精密に切断することができます。<br>●刃の先端では細い銅線を丁寧に切断することができます。<br>●入念な焼入れ処理が施された刃の硬度は約ＨＲＣ６２です。<br>●ヘッド先端は細くなっており、狭い場所での作業も可能です。<br><br><br>●全長(mm)：125<br>●切断能力(mm)硬線：1.5<br>●ハンドル：コンフォートタイプ<br>●切断能力(mm)中硬線：2.3<br>●切断能力(mm)軟線：3.0<br>●質量(g)：119<br><br><br>●オイル焼き入れ焼き戻し処理済のバナジウム電気鋼<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7002-125SB】(7666063) 電工ニッパー　１２５ｍｍ 受注単位6：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7002-125SB】(7666063) 電工ニッパー　１２５ｍｍ 受注単位6,作業用品\プライヤー・ペンチ・ニッパ\ニッパ電工用。『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7002-125SB】(7666063) 電工ニッパー　１２５ｍｍ 受注単位6[rn]
16-26365,,19016.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7002-180SB】(7666098) 電工ニッパー　１８０ｍｍ 受注単位6,作業用品\プライヤー・ペンチ・ニッパ\ニッパ電工用,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●様々な場面で活躍する汎用性の高い斜ニッパーです。<br>●高品質な原材料を用いることで、精密な作業を可能にし、ツール寿命も長くなっています。<br>●軟線・硬線を精密に切断することができます。<br>●刃の先端では細い銅線を丁寧に切断することができます。<br>●入念な焼入れ処理が施された刃の硬度は約ＨＲＣ６２です。<br>●ヘッド先端は細くなっており、狭い場所での作業も可能です。<br><br><br>●全長(mm)：180<br>●切断能力(mm)硬線：2.5<br>●ハンドル：コンフォートタイプ<br>●切断能力(mm)中硬線：3.0<br>●切断能力(mm)軟線：4.0<br><br><br>●オイル焼き入れ焼き戻し処理済のバナジウム電気鋼<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7002-180SB】(7666098) 電工ニッパー　１８０ｍｍ 受注単位6：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7002-180SB】(7666098) 電工ニッパー　１８０ｍｍ 受注単位6,作業用品\プライヤー・ペンチ・ニッパ\ニッパ電工用。『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7002-180SB】(7666098) 電工ニッパー　１８０ｍｍ 受注単位6[rn]
16-26366,,2332.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トップ工業/ＴＯＰ【NI-220VF】(4812298) 偏芯ＶＦニッパ（フラット） 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ニッパ電工用,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●偏芯テコで楽々切断できます。<br>●刃先が長く一発で切断可能です。<br>●薄刃設計でシャープな切れ味です。<br><br>●VVF線などの各種被覆線・銅線などの金属線の切断に。<br><br>●全長(mm)：218<br>●切断能力(mm)銅線：φ3.5<br>●切断能力(mm)VA線：2.6×3芯<br><br>●フラット刃11°<br><br>●KA70<br>",『カード対応OK！』■〒トップ工業/ＴＯＰ【NI-220VF】(4812298) 偏芯ＶＦニッパ（フラット） 受注単位1：クローバー資材館,『カード対応OK！』■〒トップ工業/ＴＯＰ【NI-220VF】(4812298) 偏芯ＶＦニッパ（フラット） 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ニッパ電工用。『カード対応OK！』■〒トップ工業/ＴＯＰ【NI-220VF】(4812298) 偏芯ＶＦニッパ（フラット） 受注単位1[rn]
16-26367,,2360.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スリーピークス技研/スリーピークス【TC7Z】(4962958) スリーピークス　トップカッター（バネ付）　１４０ｍｍ 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ニッパプラスチック用,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●狭い箇所、奥深い箇所でのプラスチックゲートの切断に最適です。<br>●真上から刃が入ります。<br>●逆手持ち可能です。<br><br><br>●切断能力(mm)樹脂：φ4<br>●全長(mm)：140<br><br>●コイルばね付<br>●ラウンド刃<br><br>●クロムバナジウム鋼<br>",『カード対応OK！』■〒スリーピークス技研/スリーピークス【TC7Z】(4962958) スリーピークス　トップカッター（バネ付）　１４０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スリーピークス技研/スリーピークス【TC7Z】(4962958) スリーピークス　トップカッター（バネ付）　１４０ｍｍ 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ニッパプラスチック用。『カード対応OK！』■〒スリーピークス技研/スリーピークス【TC7Z】(4962958) スリーピークス　トップカッター（バネ付）　１４０ｍｍ 受注単位1[rn]
16-26368,,2224.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スリーピークス技研/スリーピークス【MTC-3】(4961935) ミニトップカッター（バネ付）　１１５ｍｍ 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ニッパプラスチック用,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●小型のトップカッターです。<br>●真上から刃が入ります。<br>●逆手持ち可能です。<br><br><br>●切断能力(mm)樹脂：φ1.5<br>●全長(mm)：117<br><br>●コイルばね付<br>●ラウンド刃<br><br>●バナジウム鋼<br>",『カード対応OK！』■〒スリーピークス技研/スリーピークス【MTC-3】(4961935) ミニトップカッター（バネ付）　１１５ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スリーピークス技研/スリーピークス【MTC-3】(4961935) ミニトップカッター（バネ付）　１１５ｍｍ 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ニッパプラスチック用。『カード対応OK！』■〒スリーピークス技研/スリーピークス【MTC-3】(4961935) ミニトップカッター（バネ付）　１１５ｍｍ 受注単位1[rn]
16-26369,,2894.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スリーピークス技研/スリーピークス【TC-10Z】(4962923) スリーピークス　トップカッター（バネ付）　１５０ｍｍ 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ニッパプラスチック用,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●狭い箇所、奥深い箇所でのプラスチックゲートの切断に最適です。<br>●真上から刃が入ります。<br>●逆手持ち可能です。<br><br><br>●切断能力(mm)樹脂：φ4<br>●全長(mm)：150<br><br>●ラウンド刃<br>●コイルばね付<br>●開きすぎ防止ピン付<br><br>●S58C<br>",『カード対応OK！』■〒スリーピークス技研/スリーピークス【TC-10Z】(4962923) スリーピークス　トップカッター（バネ付）　１５０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スリーピークス技研/スリーピークス【TC-10Z】(4962923) スリーピークス　トップカッター（バネ付）　１５０ｍｍ 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ニッパプラスチック用。『カード対応OK！』■〒スリーピークス技研/スリーピークス【TC-10Z】(4962923) スリーピークス　トップカッター（バネ付）　１５０ｍｍ 受注単位1[rn]
16-26370,,2360.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スリーピークス技研/スリーピークス【TC-5Z】(4962940) スリーピークス　トップカッター（バネ付）　１４０ｍｍ 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ニッパプラスチック用,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●狭い箇所、奥深い箇所でのプラスチックゲートの切断に最適です。<br>●真上から刃が入ります。<br>●逆手持ち可能です。<br><br><br>●切断能力(mm)樹脂：φ3<br>●全長(mm)：140<br><br>●コイルばね付<br>●ラウンド刃<br><br>●クロムバナジウム鋼<br>",『カード対応OK！』■〒スリーピークス技研/スリーピークス【TC-5Z】(4962940) スリーピークス　トップカッター（バネ付）　１４０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スリーピークス技研/スリーピークス【TC-5Z】(4962940) スリーピークス　トップカッター（バネ付）　１４０ｍｍ 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ニッパプラスチック用。『カード対応OK！』■〒スリーピークス技研/スリーピークス【TC-5Z】(4962940) スリーピークス　トップカッター（バネ付）　１４０ｍｍ 受注単位1[rn]
16-26371,,2224.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スリーピークス技研/スリーピークス【MTC-5】(4961943) ミニトップカッター（バネ付）　１１５ｍｍ 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ニッパプラスチック用,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●小型のトップカッターです。<br>●真上から刃が入ります。<br>●逆手持ち可能です。<br><br><br>●切断能力(mm)樹脂：φ1.5<br>●全長(mm)：117<br><br>●コイルばね付<br>●ラウンド刃<br><br>●バナジウム鋼<br>",『カード対応OK！』■〒スリーピークス技研/スリーピークス【MTC-5】(4961943) ミニトップカッター（バネ付）　１１５ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スリーピークス技研/スリーピークス【MTC-5】(4961943) ミニトップカッター（バネ付）　１１５ｍｍ 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ニッパプラスチック用。『カード対応OK！』■〒スリーピークス技研/スリーピークス【MTC-5】(4961943) ミニトップカッター（バネ付）　１１５ｍｍ 受注単位1[rn]
16-26372,,1598.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トップ工業/ＴＯＰ【PLN-150R】(7228708) プラスチックニッパ（バネ付）　ストッパー付　１５０ｍｍ 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ニッパプラスチック用,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●刃部の肉厚を薄くしてあり、プラスチック部品のゲート切りに最適です。<br><br>●プラスチック部品、ゲート切断専用<br><br>●切断能力(mm)樹脂：φ8<br>●全長(mm)：165<br>●質量(g)：160<br><br>●ラウンド刃<br>●ばね付<br><br>●Cr-V<br>",『カード対応OK！』■〒トップ工業/ＴＯＰ【PLN-150R】(7228708) プラスチックニッパ（バネ付）　ストッパー付　１５０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トップ工業/ＴＯＰ【PLN-150R】(7228708) プラスチックニッパ（バネ付）　ストッパー付　１５０ｍｍ 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ニッパプラスチック用。『カード対応OK！』■〒トップ工業/ＴＯＰ【PLN-150R】(7228708) プラスチックニッパ（バネ付）　ストッパー付　１５０ｍｍ 受注単位1[rn]
