16-132501,http://tshop.r10s.jp/ky-kanariya/cabinet/01092516/imgrc0070131103.jpg?fitin=700:700,352.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダルマ毛糸　メリノスタイル極太,,"<font color=""#2f4f4f"" size=""3"">
手編み糸に最適なクリンプの多いミクロンタイプの特別にセレクトされたメリノウールを使用。<br></font>
<BR>
<FONT color=""#000066"">[素材]</FONT>
<FONT color=""#660033"">　　　：ウール(メリノ)100%<BR></FONT>
<BR>
<FONT color=""#000066"">[重さ・長さ]</FONT>
<FONT color=""#660033"">：40g　約65m</FONT><BR>
<FONT color=""#000066"">[使用針]</FONT>
<FONT color=""#660033"">　　：棒針　9～11号<BR>
　　　　　　　かぎ針　8/0～9/0号</FONT><BR>
<FONT color=""#000066"">[標準ゲージ]</FONT>
<FONT color=""#660033"">：　</FONT><BR>
<FONT color=""#000066"">[使用糸量]</FONT>
<FONT color=""#660033"">　：婦人プルオーバー　10玉<BR>
　　　　　　　紳士プルオーバー　12～13玉</FONT><BR>
<BR>
<FONT color=""#ff0000"">ご注意</FONT>
<FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と<BR>
異なることがございます。また注文が集中した場合など、<BR>
発送が遅れたり、店頭販売と在庫が重複しているため在庫<BR>
切れで販売できなくなる場合がございます。
</FONT>
<br>クロネコＤＭ便　不可<br><br>",ダルマ毛糸　メリノスタイル極太：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダルマ毛糸　メリノスタイル極太,ダルマ毛糸　メリノスタイル極太[rn]
16-132512,http://tshop.r10s.jp/ky-kanariya/cabinet/daiya/img59269285.jpg?fitin=700:700,224.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,在庫処分 ダイヤ毛糸　　　エポカ　（廃盤色のみ）,メリノウール100％の色数豊富で、発色のきれいな,重さ：40ｇ<br>糸長：81ｍ<br>太さ：棒針7～8号、かぎ針5/0～6/0号<br>素材：ウール　100％(メリノウール）<br>その他：メリヤス編標準ゲージ20～21目/27～28段<br>婦人セーター　約11玉、婦人ベスト　約7玉、紳士セーター約15玉<br><br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。,在庫処分 ダイヤ毛糸　　　エポカ　（廃盤色のみ）：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン在庫処分 ダイヤ毛糸　　　エポカ　（廃盤色のみ）,メリノウール100％の色数豊富で、発色のきれいな。在庫処分 ダイヤ毛糸　　　エポカ　（廃盤色のみ）[rn]
16-132513,http://tshop.r10s.jp/ky-kanariya/cabinet/02027889/img58710422.jpg?fitin=700:700,280.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,在庫処分 イズスタジオエアウール在庫限り,軽くて　柔らかい　ふんわり,"重さ：30ｇ<br>
糸長：約26ｍ<br>
太さ：ジャンボ10mm<br>
素材：ウール70％、ナイロン22％、アクリル8％<br>
その他：メリヤス編標準10目/11段<br>
<br>
ご注意：モニターにより、色の見え方が実際の商品と異なることが<br>
ございます。また、注文が集中した場合など、発送が遅れたり、<br>
店頭販売と在庫が重複しているため、在庫切れで販売できなくなる<br>
可能性がございます。<br><br>クロネコＤＭ便不可",在庫処分 イズスタジオエアウール在庫限り：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン在庫処分 イズスタジオエアウール在庫限り,軽くて　柔らかい　ふんわり。在庫処分 イズスタジオエアウール在庫限り[rn]
16-132514,http://tshop.r10s.jp/ky-kanariya/cabinet/daiya/img58237650.jpg?fitin=700:700,185.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,在庫処分！ダイヤ毛糸　　イーノ（ストレート）　（廃盤）,在庫処分　極太毛糸,重さ：40ｇ<br>糸長：87ｍ<br>太さ：棒針8～10号、かぎ針6/0～7/0号<br>素材：ウール100％<br>その他：メリヤス編標準ゲージ17～18目/24～26段<br>婦人セーター　約9玉、婦人ベスト　約6玉、紳士セーター約12玉<br><br>ご注意：500番台と300番台のラベルがありますが、商品自体は同じです。<br>モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。,在庫処分！ダイヤ毛糸　　イーノ（ストレート）　（廃盤）：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン在庫処分！ダイヤ毛糸　　イーノ（ストレート）　（廃盤）,在庫処分　極太毛糸。在庫処分！ダイヤ毛糸　　イーノ（ストレート）　（廃盤）[rn]
16-132515,http://tshop.r10s.jp/ky-kanariya/cabinet/orimu/img58028034.jpg?fitin=700:700,340.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,在庫処分！オリムパス毛糸　ブランシェ（廃盤）,モヘアが少し入った段染め毛糸,重さ：40ｇ<br>糸長：約135ｍ<br>太さ：棒針５～６号、かぎ針5/0～6/0<br>素材：ウール90％、モヘヤ10％<br>その他：メリヤス編標準ゲージ20～22目/28～30段<br>婦人プルオーバー　約8玉、婦人ベスト　約5玉<br>紳士プルオーバー　約10玉、紳士ベスト　約6玉<br><br>,在庫処分！オリムパス毛糸　ブランシェ（廃盤）：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン在庫処分！オリムパス毛糸　ブランシェ（廃盤）,モヘアが少し入った段染め毛糸。在庫処分！オリムパス毛糸　ブランシェ（廃盤）[rn]
16-132516,http://tshop.r10s.jp/ky-kanariya/cabinet/02027889/imgrc0069720416.jpg?fitin=700:700,144.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,在庫処分 イズスタジオ　リネングラデーション　（　廃盤品　）在庫限り,リネン（麻）100％の色の取り合わせが楽しい　,重さ：30ｇ<br>糸長：約45ｍ<br>太さ：棒針　6～7号<br>素材：麻　100％<br>その他：メリヤス編標準17目/27段<br>　その他：風合いを保つため洗濯機のご使用は避けてください。<br>ご注意：モニターにより、色の見え方が実際の商品と異なることが<br>ございます。また、注文が集中した場合など、発送が遅れたり、<br>店頭販売と在庫が重複しているため、在庫切れで販売できなくなる<br>可能性がございます。,在庫処分 イズスタジオ　リネングラデーション　（　廃盤品　）在庫限り：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットン在庫処分 イズスタジオ　リネングラデーション　（　廃盤品　）在庫限り,リネン（麻）100％の色の取り合わせが楽しい　。在庫処分 イズスタジオ　リネングラデーション　（　廃盤品　）在庫限り[rn]
16-132517,http://tshop.r10s.jp/ky-kanariya/cabinet/04781109/imgrc0067301379.jpg?fitin=700:700,568.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,リッチモア毛糸（ハマナカ毛糸）エルク ELK　イタリア製,,"<font color=""#6a1917"" size=""2"">スーパーファインアルパカとメリノウール使いのフェイクファーヤーン。<br>トップ染めによる深みある色合いとのマッチングがリアルファーのようなゴージャス感。</font><TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">アクリル34%・アルパカ33%<br>ナイロン24%・ウール9%<br>（アルパカはスーパーファインアルパカ、ウールはメリノウールを採用）</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">30g玉巻（約54m）</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[使　用　針]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">棒針　14～15号<br>かぎ針　</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[標準ゲージ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">11目19段（棒針）</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[使用糸量　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">婦人プルオーバー　10～11玉<BR>婦人ベスト　6～7玉</FONT></TD>    </TR></TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",リッチモア毛糸（ハマナカ毛糸）エルク ELK　イタリア製：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンリッチモア毛糸（ハマナカ毛糸）エルク ELK　イタリア製,リッチモア毛糸（ハマナカ毛糸）エルク ELK　イタリア製[rn]
16-132518,http://tshop.r10s.jp/ky-kanariya/cabinet/hamanaka/imgrc0063574179.jpg?fitin=700:700,633.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,リッチモア毛糸（ハマナカ毛糸）スターメ　Stame,,"<TABLE border=""0"" width=""430"">    <TR>      <TD colspan=""2""> <font color=""#6a1917"" size=""3"">アルパカのぬめり感とメリノウールのソフトさをブレンド。<BR>かさ高い上質アクリルは糸に軽さをもたらします。<BR>ウェアからマフラー、キャップまで幅広く使えます。</font>      </TD>    </TR>       <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">毛70%（メリノウール50%・アルパカ20%）<BR>アクリル30%</FONT></TD>    </TR>    <TR>      <TD width=""150"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">50g　約100ｍ</FONT></TD>    </TR>    <TR>      <TD width=""150""><FONT color=""#000066"">[使　用　針]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">棒針9～11号</FONT></TD>    </TR>    <TR>      <TD width=""150""><FONT color=""#000066"">[標準ゲージ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">17目24段</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[使用糸量　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">婦人プルオーバー　8～9玉<BR>紳士プルオーバー　10～11玉</FONT></TD>    </TR></TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999""><TR><TD bgcolor=""#ffffff"" width=""400""><FONT color=""#ff0000"">ご注意</FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD></TR></TABLE>
<br><br>クロネコＤＭ便便　不可<br><br>",リッチモア毛糸（ハマナカ毛糸）スターメ　Stame：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンリッチモア毛糸（ハマナカ毛糸）スターメ　Stame,リッチモア毛糸（ハマナカ毛糸）スターメ　Stame[rn]
16-132519,http://tshop.r10s.jp/ky-kanariya/cabinet/paki/imgrc0067951805.jpg?fitin=700:700,627.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,パーキー　エクトリーモヘアスペシャル,,"<TABLE border=""0"">    <TR>      <TD><IMG src=""http://image.rakuten.co.jp/ky-kanariya/cabinet/paki/imgrc0067807875.jpg"" width=""153"" height=""198"" border=""0""></TD>      <TD><FONT color=""#660000"">　手づくりニット界のカリスマデザイナー<BR>     　 ”若月キミコ”の選りすぐりの毛糸です。♪</FONT></TD>    </TR></TABLE><TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">毛91％・（キッドモヘア50％）<br>ナイロン9%</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">40g王巻（約122m）</FONT></TD>    </TR>    </TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",パーキー　エクトリーモヘアスペシャル：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパーキー　エクトリーモヘアスペシャル,パーキー　エクトリーモヘアスペシャル[rn]
16-132520,http://tshop.r10s.jp/ky-kanariya/cabinet/paki/imgrc0067953422.jpg?fitin=700:700,947.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,パーキー　エクトリーＥニューボン段染,,"<TABLE border=""0"">    <TR>      <TD><IMG src=""http://image.rakuten.co.jp/ky-kanariya/cabinet/paki/imgrc0067807875.jpg"" width=""153"" height=""198"" border=""0""></TD>      <TD><FONT color=""#660000"">　手づくりニット界のカリスマデザイナー<BR>     　 ”若月キミコ”の選りすぐりの毛糸です。♪</FONT></TD>    </TR></TABLE><TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">ファインベビーアルパカ72％<br>ナイロン28％</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">40g王巻（約64m）</FONT></TD>    </TR>    </TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",パーキー　エクトリーＥニューボン段染：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパーキー　エクトリーＥニューボン段染,パーキー　エクトリーＥニューボン段染[rn]
16-132521,http://tshop.r10s.jp/ky-kanariya/cabinet/01083991/imgrc0066536261.jpg?fitin=700:700,883.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,パーキー　エクトリーヌーベルストレッチ太イタリア製,,"素材：ウール46% アクリル42%<BR>　　　ナイロン12%<BR>長さ：約90m、約50ｇ　玉まき<BR><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""400""> <TR>  <TD bgcolor=""#ffffff"">    <FONT color=""#ff0000""><B>ご注意</B></FONT>    <FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT>  </TD> </TR></TABLE><br><font color=""#ff0000"" size=""3"">★(土日祝日を除き）２～４日以内に発送<br>★在庫が無ければメーカー取り寄せとなります。</font>",パーキー　エクトリーヌーベルストレッチ太イタリア製：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパーキー　エクトリーヌーベルストレッチ太イタリア製,パーキー　エクトリーヌーベルストレッチ太イタリア製[rn]
16-132522,http://tshop.r10s.jp/ky-kanariya/cabinet/00379712/img59302756.jpg?fitin=700:700,288.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,オリムパス毛糸　メイクメイクスマイル,マットなウールとカラフルなアクリルが交互にでます,重さ：25ｇ<br>糸長：約50ｍ<br>太さ：棒針7～9号、かぎ針7/0～8/0<br>素材：ウール54％、アクリル40％、モヘヤ6％<br>その他：メリヤス編標準ゲージ16～18目/22～24段<br>婦人プルオーバー　約17玉、婦人ベスト　約11玉<br>紳士プルオーバー　約22玉、紳士ベスト　約13玉<br><br>ご注意：モニターにより、色の見え方が実際の商品と異なることが<br>ございます。また、注文が集中した場合など、発送が遅れたり、<br>店頭販売と在庫が重複しているため、在庫切れで販売できなくなる<br>可能性がございます。,オリムパス毛糸　メイクメイクスマイル：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンオリムパス毛糸　メイクメイクスマイル,マットなウールとカラフルなアクリルが交互にでます。オリムパス毛糸　メイクメイクスマイル[rn]
16-132523,http://tshop.r10s.jp/ky-kanariya/cabinet/hamanaka/imgrc0063574474.jpg?fitin=700:700,320.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,リッチモア毛糸（ハマナカ毛糸）エクセレントモヘア カウント10（廃盤色の40番色　のみ）　在庫限り　Excellent Mohair Count10,,"<br><TABLE border=""0"" width=""430"">    <TR>      <TD colspan=""2""> <font color=""#6a1917"" size=""3"">生後半年目に刈り取った子ヤギの産毛（スーパーキッドモヘア）を使用。<br>アンゴラタッチでチクチク肌を刺しにくいモヘアです。<br>非常に軽く、作品が仕上がるのも魅力。<br>リッチモアの定番モヘアです。引き揃えにも最適です。<br></font>      </TD>    </TR>       <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">毛76%<br>　（スーパーキッドモヘヤ71%・ラムウール5%）<br>ナイロン24%</FONT></TD>    </TR>    <TR>      <TD width=""150"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">20g　約200m</FONT></TD>    </TR>    <TR>      <TD width=""150""><FONT color=""#000066"">[使　用　針]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">棒針4～5号（1本どり）<br>　　6～8号（2本どり）</FONT></TD>    </TR>    <TR>      <TD width=""150""><FONT color=""#000066"">[標準ゲージ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">25目36段（4～5号）<br>19目28段（6～8号）</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top""><FONT color=""#000066"">[使用糸量　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">婦人プルオーバー　8～9玉<BR>婦人ベスト　4～5玉</FONT></TD>    </TR></TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"">  <TR>    <TD bgcolor=""#ffffff"" width=""400""><FONT color=""#ff0000"">ご注意</FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT>   </TD>  </TR></TABLE>
<br><br>クロネコＤＭ便便　不可<br><br>",リッチモア毛糸（ハマナカ毛糸）エクセレントモヘア カウント10（廃盤色の40番色　のみ）　在庫限り　Excellent Mohair Count10：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンリッチモア毛糸（ハマナカ毛糸）エクセレントモヘア カウント10（廃盤色の40番色　のみ）　在庫限り　Excellent Mohair Count10,リッチモア毛糸（ハマナカ毛糸）エクセレントモヘア カウント10（廃盤色の40番色　のみ）　在庫限り　Excellent Mohair Count10[rn]
16-132524,http://tshop.r10s.jp/ky-kanariya/cabinet/00379711/img59271182.jpg?fitin=700:700,530.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　マスターシードコットン（ラメ）,ソフトで光沢のある上質コットンにラメ糸をプラス,重さ：30ｇ<br>糸長：102ｍ<br>太さ：棒針4～5号、かぎ針3/0～4/0号<br>素材：綿98％（マスターシード）、ポリエステル2%<br>その他：メリヤス編標準ゲージ25～26目/33～35段<br>婦人セーター　半袖約9玉、婦人ベスト　約7玉、紳士セーター半袖約12玉<br><br>ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。,ダイヤ毛糸　　マスターシードコットン（ラメ）：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　マスターシードコットン（ラメ）,ソフトで光沢のある上質コットンにラメ糸をプラス。ダイヤ毛糸　　マスターシードコットン（ラメ）[rn]
