16-44201,http://tshop.r10s.jp/yminfo/cabinet/ikou_20090730/img10384431813.jpg?fitin=700:700,7329.6000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > その他,卓上ミニボール盤　MDP-100,,【ここがポイント！】●アルミなどの軟金属、木材、プラスチックやアクリルなどの正確な垂直穴あけ作業に！●ホビーに便利なミニサイズです。●深さ調整機能付！●プーリによる３段階変速●速度調節機能付で、最適な回転速度の設定が可能です。,卓上ミニボール盤　MDP-100：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング卓上ミニボール盤　MDP-100,卓上ミニボール盤　MDP-100[rn]
16-44248,http://tshop.r10s.jp/yminfo/cabinet/00171276/toa-6-40.jpg?fitin=700:700,444.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)引き取手（めねじ）8×120mm　TOA-8-120　,ステンレスの取手！どこにでも付けられます,"【ここがポイント！】 
● めねじタイプの取手です。鏡面仕上げでキレイに仕上がってます。 
 
【商品仕様】 
D 8mm  
L 128mm 
P 120mm 
H 40mm 
B 8mm 
ネジ M5 
材質 SUS304 
使用荷重 0.44kN（45kgf",MM　ステンレス（SUS304)引き取手（めねじ）8&times;120mm　TOA-8-120　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)引き取手（めねじ）8&times;120mm　TOA-8-120　,ステンレスの取手！どこにでも付けられます。MM　ステンレス（SUS304)引き取手（めねじ）8&times;120mm　TOA-8-120　[rn]
16-44249,http://tshop.r10s.jp/yminfo/cabinet/00171276/tob-4-20.jpg?fitin=700:700,1664.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)引き取手（おねじ：六角ナットスプリングワッシャー付き）12×288mm　TOB-12-288,引き出しなどの取っ手に,"【ここがポイント！】 
● 引くためのの取っ手。おねじタイプ。六角ナット・ワッシャーが付属しているので安心です。鏡面仕上げ。 
 
【商品仕様】 
こちらTOB-12-288になります。
材質：ステンレスSUS304
六角ナット・スプリングワッシャー各2個付",MM　ステンレス（SUS304)引き取手（おねじ：六角ナットスプリングワッシャー付き）12&times;288mm　TOB-12-288：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)引き取手（おねじ：六角ナットスプリングワッシャー付き）12&times;288mm　TOB-12-288,引き出しなどの取っ手に。MM　ステンレス（SUS304)引き取手（おねじ：六角ナットスプリングワッシャー付き）12&times;288mm　TOB-12-288[rn]
16-44250,http://tshop.r10s.jp/yminfo/cabinet/00171276/tob-6-40.jpg?fitin=700:700,1577.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)引き取手（おねじ）12×250mm　TOB-12-250　,ステンレスの取手！六角ナット、スプリングワッシャー付き,"【ここがポイント！】 
● おねじタイプの取手です。六角ナット・スプリングワッシャーが各2個ついてます。鏡面仕上げでキレイに仕上がってます。 
 
【商品仕様】 
D 12mm  
L 262mm 
P 250mm 
H 50mm 
B 20mm 
ネジ M8 
材質 SUS304 
使用荷重 0.74kN（75kgf）",MM　ステンレス（SUS304)引き取手（おねじ）12&times;250mm　TOB-12-250　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)引き取手（おねじ）12&times;250mm　TOB-12-250　,ステンレスの取手！六角ナット、スプリングワッシャー付き。MM　ステンレス（SUS304)引き取手（おねじ）12&times;250mm　TOB-12-250　[rn]
16-44251,http://tshop.r10s.jp/yminfo/cabinet/00171276/toa-6-40.jpg?fitin=700:700,223.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)引き取手（めねじ）6×60mm　TOA-6-60　,ステンレスの取手！どこにでも付けられます,"【ここがポイント！】 
● めねじタイプの取手です。鏡面仕上げでキレイに仕上がってます。 
 
【商品仕様】 
D 6mm  
L 66m 
P 60mm 
H 23mm 
B 7mm 
ネジ M4 
材質 SUS304 
使用荷重 0.20kN（20kgf）",MM　ステンレス（SUS304)引き取手（めねじ）6&times;60mm　TOA-6-60　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)引き取手（めねじ）6&times;60mm　TOA-6-60　,ステンレスの取手！どこにでも付けられます。MM　ステンレス（SUS304)引き取手（めねじ）6&times;60mm　TOA-6-60　[rn]
16-44252,http://tshop.r10s.jp/yminfo/cabinet/00171276/muk_1462_sb_01.jpg?fitin=700:700,6400.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,杉山製作所 FIT アイアンワークムクタオルバーB400　サンドブラック　MUK-1462-SBつや消し黒のおしゃれタオルホルダー幅480×奥行70×高さ50mm日本製メーカー直送のため代引不可,タオル掛けがかなりおしゃれに！,"<P><IMG src=""http://image.rakuten.co.jp/yminfo/cabinet/ichioshi/img55764579.gif"" border=""0""><BR>
<FONT size=""-1""><BR>
【ここがポイント！】 <BR>
鉄の素材を活かしたデザイン。手作業にこだわった職人のモノづくり。<BR>
シンプルな形状のタオルバーです。<BR>
自然素材を用いた空間とも相性抜群。<BR>
日本の職人がこだわった逸品をご使用ください<BR>
<BR>
【商品仕様】 <BR>
サイズ　幅4280×奥行760×高さ50mm<BR>
M5×25　皿ビス4個付<BR>
</FONT><FONT size=""-1"" color=""#ff0000"">※必ず下地を探し壁裏の柱に取りつけてください。<BR>
※サイディングボードだけだと壊れる可能性がございます</FONT><BR>
<FONT size=""-1""><BR>
関連商品<BR>
杉山製作所　アイアン建材<BR>
下地探し<BR>
</FONT></P>",杉山製作所 FIT アイアンワークムクタオルバーB400　サンドブラック　MUK-1462-SBつや消し黒のおしゃれタオルホルダー幅480&times;奥行70&times;高さ50mm日本製メーカー直送のため代引不可：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング杉山製作所 FIT アイアンワークムクタオルバーB400　サンドブラック　MUK-1462-SBつや消し黒のおしゃれタオルホルダー幅480&times;奥行70&times;高さ50mm日本製メーカー直送のため代引不可,タオル掛けがかなりおしゃれに！。杉山製作所 FIT アイアンワークムクタオルバーB400　サンドブラック　MUK-1462-SBつや消し黒のおしゃれタオルホルダー幅480&times;奥行70&times;高さ50mm日本製メーカー直送のため代引不可[rn]
16-44253,http://tshop.r10s.jp/yminfo/cabinet/00171276/tob-4-20.jpg?fitin=700:700,556.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)引き取手（おねじ：六角ナットスプリングワッシャー付き）10×110mm 高さ40mm　TOB-10-110S,引き出しなどの取っ手に,"【ここがポイント！】 
● 引くためのの取っ手。おねじタイプ。六角ナット・ワッシャーが付属しているので安心です。鏡面仕上げ。 
 
【商品仕様】 
こちらTOB-10-110Sになります。
材質：ステンレスSUS304
六角ナット・スプリングワッシャー各2個付",MM　ステンレス（SUS304)引き取手（おねじ：六角ナットスプリングワッシャー付き）10&times;110mm 高さ40mm　TOB-10-110S：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)引き取手（おねじ：六角ナットスプリングワッシャー付き）10&times;110mm 高さ40mm　TOB-10-110S,引き出しなどの取っ手に。MM　ステンレス（SUS304)引き取手（おねじ：六角ナットスプリングワッシャー付き）10&times;110mm 高さ40mm　TOB-10-110S[rn]
16-44254,http://tshop.r10s.jp/yminfo/cabinet/00171276/ho-16-150.jpg?fitin=700:700,11969.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【頑張って送料無料！】MM　ステンレス（SUS304)ドアハンドル28×570mm　HO-28-600　,便利なドアハンドル！！,"【ここがポイント！】 
● ドア用のハンドルです。2個入ってて組になってます。鏡面仕上、ヘアーライン仕上げがあります。 
 
【商品仕様】 
D 28mm  
L 598mm 
P 570mm 
H 69mm 
付属ボルト
ネジ-首下 M8-50mm、M8-70mm 
適応扉厚 10～45mm 
材質 SUS304",【頑張って送料無料！】MM　ステンレス（SUS304)ドアハンドル28&times;570mm　HO-28-600　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【頑張って送料無料！】MM　ステンレス（SUS304)ドアハンドル28&times;570mm　HO-28-600　,便利なドアハンドル！！。【頑張って送料無料！】MM　ステンレス（SUS304)ドアハンドル28&times;570mm　HO-28-600　[rn]
16-44255,http://tshop.r10s.jp/yminfo/cabinet/00171276/cw-1040.jpg?fitin=700:700,707.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　ワイヤーキャッチ　φ2×100mm　CW-2100　,ワイヤーが輪っかになります！,"【ここがポイント！】 
● ネットや看板等の固定に便利！またツールのまとめに便利。 
 
【商品仕様】 
D 2mm  
L 100mm 
A 20mm 
B 7mm 
E 6mm 
全長 320mm 
使用荷重 0.59kN（60kgf） 
材質 SUS304",MM　ステンレス（SUS304)　ワイヤーキャッチ　φ2&times;100mm　CW-2100　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　ワイヤーキャッチ　φ2&times;100mm　CW-2100　,ワイヤーが輪っかになります！。MM　ステンレス（SUS304)　ワイヤーキャッチ　φ2&times;100mm　CW-2100　[rn]
16-44256,http://tshop.r10s.jp/yminfo/cabinet/00171276/uw-1050.jpg?fitin=700:700,1156.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　ワイヤーUボルト　φ3×495mm　UW-3150　,ワイヤーのUボルト,"【ここがポイント！】 
● パイプ等の固定に便利です。 
 六角ナット4個・丸ワッシャー4枚付き 
 
【商品仕様】 
D 3mm  
L 495mm 
T 50mm 
W 150mm 
ネジ M6 
使用荷重 0.49kN（50kgf） 
材質 SUS304",MM　ステンレス（SUS304)　ワイヤーUボルト　φ3&times;495mm　UW-3150　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　ワイヤーUボルト　φ3&times;495mm　UW-3150　,ワイヤーのUボルト。MM　ステンレス（SUS304)　ワイヤーUボルト　φ3&times;495mm　UW-3150　[rn]
16-44257,http://tshop.r10s.jp/yminfo/cabinet/00171276/cw-1040.jpg?fitin=700:700,993.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　ワイヤーキャッチ　φ3×120mm　CW-3120　,ワイヤーが輪っかになります！,"【ここがポイント！】 
● ネットや看板等の固定に便利！またツールのまとめに便利。 
 ものを吊る場合に使用しないでください 
 
【商品仕様】 
D 3mm  
L 120mm 
A 15mm 
B 8mm 
E 6mm 
全長 385mm 
使用荷重 0.78kN（80kgf） 
材質 SUS304",MM　ステンレス（SUS304)　ワイヤーキャッチ　φ3&times;120mm　CW-3120　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　ワイヤーキャッチ　φ3&times;120mm　CW-3120　,ワイヤーが輪っかになります！。MM　ステンレス（SUS304)　ワイヤーキャッチ　φ3&times;120mm　CW-3120　[rn]
16-44258,http://tshop.r10s.jp/yminfo/cabinet/00171276/cw-1040.jpg?fitin=700:700,1928.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　ワイヤーキャッチ　φ4×300mm　CW-4300　,ワイヤーが輪っかになります！,"【ここがポイント！】 
● ネットや看板等の固定に便利！またツールのまとめに便利。 
 ものを吊る場合に使用しないでください 
 
【商品仕様】 
D 4mm  
L 300mm 
A 18mm 
B 9mm 
E 7mm 
全長 1000mm 
使用荷重 0.98kN（100kgf） 
材質 SUS304",MM　ステンレス（SUS304)　ワイヤーキャッチ　φ4&times;300mm　CW-4300　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　ワイヤーキャッチ　φ4&times;300mm　CW-4300　,ワイヤーが輪っかになります！。MM　ステンレス（SUS304)　ワイヤーキャッチ　φ4&times;300mm　CW-4300　[rn]
16-44259,http://tshop.r10s.jp/yminfo/cabinet/ikou_20090730_001/img1038566113.jpg?fitin=700:700,106.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,一般鋼管Ｕボルト　UK-6M10A,ナットは別売りです,"D L Ｔ W ネジ径 重量（g） 
5.3 33 18 25 M-6 15",一般鋼管Ｕボルト　UK-6M10A：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング一般鋼管Ｕボルト　UK-6M10A,ナットは別売りです。一般鋼管Ｕボルト　UK-6M10A[rn]
16-44260,http://tshop.r10s.jp/yminfo/cabinet/00171276/cw-1040.jpg?fitin=700:700,1134.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　ワイヤーキャッチ　φ4×80mm　CW-4080　,ワイヤーが輪っかになります！,"【ここがポイント！】 
● ネットや看板等の固定に便利！またツールのまとめに便利。 
 ものを吊る場合に使用しないでください 
 
【商品仕様】 
D 4mm  
L 80mm 
A 25mm 
B 9mm 
E 7mm 
全長 270mm 
使用荷重 0.98kN（100kgf） 
材質 SUS304",MM　ステンレス（SUS304)　ワイヤーキャッチ　φ4&times;80mm　CW-4080　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　ワイヤーキャッチ　φ4&times;80mm　CW-4080　,ワイヤーが輪っかになります！。MM　ステンレス（SUS304)　ワイヤーキャッチ　φ4&times;80mm　CW-4080　[rn]
16-44261,http://tshop.r10s.jp/yminfo/cabinet/ikou_20090730_001/img1038566113.jpg?fitin=700:700,127.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,一般鋼管Ｕボルト　UK-6M20A,ナットは別売りです,"D L Ｔ W ネジ径 重量（g） 
5.3 42 18 34 M-6 19",一般鋼管Ｕボルト　UK-6M20A：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング一般鋼管Ｕボルト　UK-6M20A,ナットは別売りです。一般鋼管Ｕボルト　UK-6M20A[rn]
16-44262,http://tshop.r10s.jp/yminfo/cabinet/00171276/cw-1040.jpg?fitin=700:700,1478.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　ワイヤーキャッチ　φ3×300mm　CW-3300　,ワイヤーが輪っかになります！,"【ここがポイント！】 
● ネットや看板等の固定に便利！またツールのまとめに便利。 
 ものを吊る場合に使用しないでください 
 
【商品仕様】 
D 3mm  
L 300mm 
A 15mm 
B 8mm 
E 6mm 
全長 990mm 
使用荷重 0.78kN（80kgf） 
材質 SUS304",MM　ステンレス（SUS304)　ワイヤーキャッチ　φ3&times;300mm　CW-3300　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　ワイヤーキャッチ　φ3&times;300mm　CW-3300　,ワイヤーが輪っかになります！。MM　ステンレス（SUS304)　ワイヤーキャッチ　φ3&times;300mm　CW-3300　[rn]
16-44263,http://tshop.r10s.jp/yminfo/cabinet/00171276/nw-2020.jpg?fitin=700:700,993.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　ワイヤーナット　φ3×300mm　NW-3030　,ちょっとした固定に！,"【ここがポイント！】 
● パイプ等の固定に便利です。 
 
【商品仕様】 
D 3mm  
L 300mm 
T 22mm 
A 32mm 
B 8mm 
C 9mm 
ネジ M6 
使用荷重 0.49kN（50kgf） 
材質 SUS304",MM　ステンレス（SUS304)　ワイヤーナット　φ3&times;300mm　NW-3030　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　ワイヤーナット　φ3&times;300mm　NW-3030　,ちょっとした固定に！。MM　ステンレス（SUS304)　ワイヤーナット　φ3&times;300mm　NW-3030　[rn]
16-44264,http://tshop.r10s.jp/yminfo/cabinet/00171276/nw-2020.jpg?fitin=700:700,707.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　ワイヤーナット　φ2×200mm　NW-2020　,ちょっとした固定に！,"【ここがポイント！】 
● パイプ等の固定に便利です。 
 
【商品仕様】 
D 2mm  
L 200mm 
T 18mm 
A 26mm 
B 8mm 
C 9mm 
ネジ M6 
使用荷重 0.39kN（40kgf） 
材質 SUS304",MM　ステンレス（SUS304)　ワイヤーナット　φ2&times;200mm　NW-2020　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　ワイヤーナット　φ2&times;200mm　NW-2020　,ちょっとした固定に！。MM　ステンレス（SUS304)　ワイヤーナット　φ2&times;200mm　NW-2020　[rn]
16-44265,http://tshop.r10s.jp/yminfo/cabinet/00171276/cw-1040.jpg?fitin=700:700,567.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　ワイヤーキャッチ　φ1×80mm　CW-1080　,ワイヤーが輪っかになります！,"【ここがポイント！】 
● ネットや看板等の固定に便利！またツールのまとめに便利。 
 
【商品仕様】 
D 1mm  
L 80mm 
A 11mm 
B 6mm 
E 5mm 
全長 270mm 
使用荷重 0.20kN（20kgf） 
材質 SUS304",MM　ステンレス（SUS304)　ワイヤーキャッチ　φ1&times;80mm　CW-1080　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　ワイヤーキャッチ　φ1&times;80mm　CW-1080　,ワイヤーが輪っかになります！。MM　ステンレス（SUS304)　ワイヤーキャッチ　φ1&times;80mm　CW-1080　[rn]
16-44266,http://tshop.r10s.jp/yminfo/cabinet/00171276/uw-1050.jpg?fitin=700:700,771.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　ワイヤーUボルト　φ2×215mm　UW-2050　,ワイヤーのUボルト,"【ここがポイント！】 
● パイプ等の固定に便利です。 
 六角ナット4個・丸ワッシャー4枚付き 
 
【商品仕様】 
D 2mm  
L 215mm 
T 40mm 
W 50mm 
ネジ M5 
使用荷重 0.29kN（30kgf） 
材質 SUS304",MM　ステンレス（SUS304)　ワイヤーUボルト　φ2&times;215mm　UW-2050　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　ワイヤーUボルト　φ2&times;215mm　UW-2050　,ワイヤーのUボルト。MM　ステンレス（SUS304)　ワイヤーUボルト　φ2&times;215mm　UW-2050　[rn]
16-44267,http://tshop.r10s.jp/yminfo/cabinet/ikou_20090730_001/img1038566113.jpg?fitin=700:700,112.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,一般鋼管Ｕボルト　UK-6M15A,ナットは別売りです,"D L Ｔ W ネジ径 重量（g） 
5.3 36 18 29.5 M-6 17",一般鋼管Ｕボルト　UK-6M15A：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング一般鋼管Ｕボルト　UK-6M15A,ナットは別売りです。一般鋼管Ｕボルト　UK-6M15A[rn]
16-44268,http://tshop.r10s.jp/yminfo/cabinet/ikou_20090730_001/img1038566113.jpg?fitin=700:700,172.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,一般鋼管Ｕボルト　UK-6M32A,ナットは別売りです,"D L Ｔ W ネジ径 重量（g） 
5.3 57 25 50.5 M-6 26",一般鋼管Ｕボルト　UK-6M32A：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング一般鋼管Ｕボルト　UK-6M32A,ナットは別売りです。一般鋼管Ｕボルト　UK-6M32A[rn]
16-44269,http://tshop.r10s.jp/yminfo/cabinet/00171276/cw-1040.jpg?fitin=700:700,602.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　ワイヤーキャッチ　φ2×50mm　CW-2050　,ワイヤーが輪っかになります！,"【ここがポイント！】 
● ネットや看板等の固定に便利！またツールのまとめに便利。 
 
【商品仕様】 
D 2mm  
L 50mm 
A 20mm 
B 7mm 
E 6mm 
全長 175mm 
使用荷重 0.59kN（60kgf） 
材質 SUS304",MM　ステンレス（SUS304)　ワイヤーキャッチ　φ2&times;50mm　CW-2050　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　ワイヤーキャッチ　φ2&times;50mm　CW-2050　,ワイヤーが輪っかになります！。MM　ステンレス（SUS304)　ワイヤーキャッチ　φ2&times;50mm　CW-2050　[rn]
16-44270,http://tshop.r10s.jp/yminfo/cabinet/00171276/nw-2020.jpg?fitin=700:700,1273.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　ワイヤーナット　φ4×400mm　NW-4040　,ちょっとした固定に！,"【ここがポイント！】 
● パイプ等の固定に便利です。 
 
【商品仕様】 
D 4mm  
L 400mm 
T 25mm 
A 34mm 
B 8mm 
C 9mm 
ネジ M8 
使用荷重 0.78kN（80kgf） 
材質 SUS304",MM　ステンレス（SUS304)　ワイヤーナット　φ4&times;400mm　NW-4040　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　ワイヤーナット　φ4&times;400mm　NW-4040　,ちょっとした固定に！。MM　ステンレス（SUS304)　ワイヤーナット　φ4&times;400mm　NW-4040　[rn]
16-44271,http://tshop.r10s.jp/yminfo/cabinet/00171276/cw-1040.jpg?fitin=700:700,496.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　ワイヤーキャッチ　φ1×40mm　CW-1040　,ワイヤーが輪っかになります！,"【ここがポイント！】 
● ネットや看板等の固定に便利！またツールのまとめに便利。 
 
【商品仕様】 
D 1mm  
L 40mm 
A 18mm 
B 6mm 
E 5mm 
全長 150mm 
使用荷重 0.20kN（20kgf） 
材質 SUS304",MM　ステンレス（SUS304)　ワイヤーキャッチ　φ1&times;40mm　CW-1040　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　ワイヤーキャッチ　φ1&times;40mm　CW-1040　,ワイヤーが輪っかになります！。MM　ステンレス（SUS304)　ワイヤーキャッチ　φ1&times;40mm　CW-1040　[rn]
16-44272,http://tshop.r10s.jp/yminfo/cabinet/00171276/cw-1040.jpg?fitin=700:700,1694.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　ワイヤーキャッチ　φ3×500mm　CW-3500　,ワイヤーが輪っかになります！,"【ここがポイント！】 
● ネットや看板等の固定に便利！またツールのまとめに便利。 
 ものを吊る場合に使用しないでください 
 
【商品仕様】 
D 3mm  
L 500mm 
A 15mm 
B 8mm 
E 6mm 
全長 1680mm 
使用荷重 0.78kN（80kgf） 
材質 SUS304",MM　ステンレス（SUS304)　ワイヤーキャッチ　φ3&times;500mm　CW-3500　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　ワイヤーキャッチ　φ3&times;500mm　CW-3500　,ワイヤーが輪っかになります！。MM　ステンレス（SUS304)　ワイヤーキャッチ　φ3&times;500mm　CW-3500　[rn]
