16-26201,,21452.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7402-160SB】(7666357) 強力型ニッパー　１６０ｍｍ 受注単位6,作業用品\プライヤー・ペンチ・ニッパ\ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ジョイント部は鍛造軸カシメを採用し耐久性に優れています。<br>●ピアノ線を含む様々なワイヤの切断に適しています。<br>●最適な刃の位置と角度・てこの原理を最大限発揮するデザイン・人間工学に基づいたハンドル形状-この３つの利点により、少ない力で高い切断能力を発揮します。<br>●入念な焼入れ処理が施された刃の硬度は約ＨＲＣ64です。<br><br><br>●全長(mm)：160<br>●切断能力(mm)硬線：φ2.5<br>●切断能力(mm)ピアノ線：2<br>●ハンドル：コンフォートタイプ<br>●切断能力(mm)中硬線：φ3.4<br>●質量(g)：209<br><br><br>●オイル焼き入れ焼き戻し処理済みクロームバナジウム電気鋼<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7402-160SB】(7666357) 強力型ニッパー　１６０ｍｍ 受注単位6：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7402-160SB】(7666357) 強力型ニッパー　１６０ｍｍ 受注単位6,作業用品\プライヤー・ペンチ・ニッパ\ニッパ。『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7402-160SB】(7666357) 強力型ニッパー　１６０ｍｍ 受注単位6[rn]
16-26253,,15728.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセイ社/ベッセイ【TGN40T30】(3974553) クランプＴＧ－Ｔ型開き４００ｍｍフトコロ３００ｍｍ 受注単位1,作業用品\クランプ・バイス\Ｌ型クランプ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●フトコロが広いので奥深く締め付けることができます。<br><br>●板金、溶接業<br><br>●全長(mm)：510<br>●最大口開き(mm)：400<br>●フトコロ(mm)：300<br>●開き(mm)×フトコロ(mm)：400×300<br>●レール(mm)：45×11<br>●質量(kg)：5.60<br><br><br>●スチール<br>",『カード対応OK！』■〒ベッセイ社/ベッセイ【TGN40T30】(3974553) クランプＴＧ&minus;Ｔ型開き４００ｍｍフトコロ３００ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ベッセイ社/ベッセイ【TGN40T30】(3974553) クランプＴＧ&minus;Ｔ型開き４００ｍｍフトコロ３００ｍｍ 受注単位1,作業用品\クランプ・バイス\Ｌ型クランプ。『カード対応OK！』■〒ベッセイ社/ベッセイ【TGN40T30】(3974553) クランプＴＧ&minus;Ｔ型開き４００ｍｍフトコロ３００ｍｍ 受注単位1[rn]
16-26254,,13415.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセイ社/ベッセイ【TGN40T25】(3974545) クランプＴＧ－Ｔ型開き４００ｍｍフトコロ２５０ｍｍ 受注単位1,作業用品\クランプ・バイス\Ｌ型クランプ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●フトコロが広いので奥深く締め付けることができます。<br><br>●板金、溶接業<br><br>●全長(mm)：510<br>●最大口開き(mm)：400<br>●フトコロ(mm)：250<br>●開き(mm)×フトコロ(mm)：400×250<br>●レール(mm)：40×11<br>●質量(kg)：4.50<br><br><br>●スチール<br>",『カード対応OK！』■〒ベッセイ社/ベッセイ【TGN40T25】(3974545) クランプＴＧ&minus;Ｔ型開き４００ｍｍフトコロ２５０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ベッセイ社/ベッセイ【TGN40T25】(3974545) クランプＴＧ&minus;Ｔ型開き４００ｍｍフトコロ２５０ｍｍ 受注単位1,作業用品\クランプ・バイス\Ｌ型クランプ。『カード対応OK！』■〒ベッセイ社/ベッセイ【TGN40T25】(3974545) クランプＴＧ&minus;Ｔ型開き４００ｍｍフトコロ２５０ｍｍ 受注単位1[rn]
16-26255,,17622.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセイ社/ベッセイ【TGN60T30】(3974588) クランプＴＧ－Ｔ型開き６００ｍｍフトコロ３００ｍｍ 受注単位1,作業用品\クランプ・バイス\Ｌ型クランプ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●フトコロが広いので奥深く締め付けることができます。<br><br>●板金、溶接業<br><br>●全長(mm)：710<br>●最大口開き(mm)：600<br>●フトコロ(mm)：300<br>●開き(mm)×フトコロ(mm)：600×300<br>●レール(mm)：45×11<br>●質量(kg)：6.50<br><br><br>●スチール<br>",『カード対応OK！』■〒ベッセイ社/ベッセイ【TGN60T30】(3974588) クランプＴＧ&minus;Ｔ型開き６００ｍｍフトコロ３００ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ベッセイ社/ベッセイ【TGN60T30】(3974588) クランプＴＧ&minus;Ｔ型開き６００ｍｍフトコロ３００ｍｍ 受注単位1,作業用品\クランプ・バイス\Ｌ型クランプ。『カード対応OK！』■〒ベッセイ社/ベッセイ【TGN60T30】(3974588) クランプＴＧ&minus;Ｔ型開き６００ｍｍフトコロ３００ｍｍ 受注単位1[rn]
16-26256,,15116.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセイ社/ベッセイ【TGN60T25】(3974570) クランプＴＧ－Ｔ型開き６００ｍｍフトコロ２５０ｍｍ 受注単位1,作業用品\クランプ・バイス\Ｌ型クランプ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●フトコロが広いので奥深く締め付けることができます。<br><br>●板金、溶接業<br><br>●全長(mm)：710<br>●最大口開き(mm)：600<br>●フトコロ(mm)：250<br>●開き(mm)×フトコロ(mm)：600×250<br>●レール(mm)：40×11<br>●質量(kg)：5.10<br><br><br>●スチール<br>",『カード対応OK！』■〒ベッセイ社/ベッセイ【TGN60T25】(3974570) クランプＴＧ&minus;Ｔ型開き６００ｍｍフトコロ２５０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ベッセイ社/ベッセイ【TGN60T25】(3974570) クランプＴＧ&minus;Ｔ型開き６００ｍｍフトコロ２５０ｍｍ 受注単位1,作業用品\クランプ・バイス\Ｌ型クランプ。『カード対応OK！』■〒ベッセイ社/ベッセイ【TGN60T25】(3974570) クランプＴＧ&minus;Ｔ型開き６００ｍｍフトコロ２５０ｍｍ 受注単位1[rn]
16-26257,,11997.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセイ社/ベッセイ【TGN60T20】(3974561) クランプＴＧ－Ｔ型開き６００ｍｍフトコロ２００ｍｍ 受注単位1,作業用品\クランプ・バイス\Ｌ型クランプ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●フトコロが広いので奥深く締め付けることができます。<br><br>●板金、溶接業<br><br>●全長(mm)：710<br>●最大口開き(mm)：600<br>●フトコロ(mm)：200<br>●開き(mm)×フトコロ(mm)：600×200<br>●レール(mm)：35×11<br>●質量(kg)：4.00<br><br><br>●スチール<br>",『カード対応OK！』■〒ベッセイ社/ベッセイ【TGN60T20】(3974561) クランプＴＧ&minus;Ｔ型開き６００ｍｍフトコロ２００ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ベッセイ社/ベッセイ【TGN60T20】(3974561) クランプＴＧ&minus;Ｔ型開き６００ｍｍフトコロ２００ｍｍ 受注単位1,作業用品\クランプ・バイス\Ｌ型クランプ。『カード対応OK！』■〒ベッセイ社/ベッセイ【TGN60T20】(3974561) クランプＴＧ&minus;Ｔ型開き６００ｍｍフトコロ２００ｍｍ 受注単位1[rn]
16-26258,,1580.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＯＮＥ【SRPH-175B】(7607644) スナップリングプライヤ（ベントタイプ　穴用） 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●先端部は逆テーパー状でスナップリングを確実に保持します。<br>●ソフトな感触で握り心地が良く滑りにくいグリップです。<br>●一体成型で、消耗によるがたつきや折れ、破損に高い耐久性を実現しています。<br><br><br>●爪先端径(mm)：1.8<br>●リング使用範囲(mm)：19～60<br>●全長(mm)：170<br>●爪形状：曲爪<br>●質量(g)：162<br><br><br>",『カード対応OK！』■〒ＴＯＮＥ【SRPH-175B】(7607644) スナップリングプライヤ（ベントタイプ　穴用） 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＯＮＥ【SRPH-175B】(7607644) スナップリングプライヤ（ベントタイプ　穴用） 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー。『カード対応OK！』■〒ＴＯＮＥ【SRPH-175B】(7607644) スナップリングプライヤ（ベントタイプ　穴用） 受注単位1[rn]
16-26259,,19090.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【002004SB】(4972376) ８本組　精密スナップリングプライヤーセット 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●使用頻度の高い軸用・穴用精密スナップリングプライヤーの８本セットです。<br>●パッケージ材質は頑丈なプラスチック製で、ツールキャビネット内のツールトレイとしてご使用頂けます。<br><br><br>●セット内容(本)：8<br>●セット内容：4811-J1、4811-J2、4911-A1、4911-A2、4821-J11、4821-J21、4921-A11、4921-A21<br>●質量(g)：1275<br><br><br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【002004SB】(4972376) ８本組　精密スナップリングプライヤーセット 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【002004SB】(4972376) ８本組　精密スナップリングプライヤーセット 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー。『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【002004SB】(4972376) ８本組　精密スナップリングプライヤーセット 受注単位1[rn]
16-26260,,8302.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【2928-200】(4979231) 穴軸兼用スナップリンクプライヤー 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●穴軸兼用スナップリングプライヤーです。<br>●切り替えは、中央部にある切り替えレバーでワンタッチで切り替えできます。<br>●爪の取り換えは六角ネジでしっかりと固定できます。<br><br><br>●爪先端径(mm)：0.9、1.2、1.8<br>●リング使用範囲(mm)：穴リング10～51、軸リング7～51<br>●全長(mm)：200<br>●爪形状：直爪、曲爪<br>●質量(g)：230<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/バーコ【2928-200】(4979231) 穴軸兼用スナップリンクプライヤー 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【2928-200】(4979231) 穴軸兼用スナップリンクプライヤー 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー。『カード対応OK！』■〒スナップオン・ツールズ/バーコ【2928-200】(4979231) 穴軸兼用スナップリンクプライヤー 受注単位1[rn]
16-26261,,1523.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＯＮＥ【SRPS-175】(7607717) スナップリングプライヤ（ストレートタイプ　軸用） 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●先端部は逆テーパー状でスナップリングを確実に保持します。<br>●ソフトな感触で握り心地が良く滑りにくいグリップです。<br>●一体成型で、消耗によるがたつきや折れ、破損に高い耐久性を実現しています。<br><br><br>●爪先端径(mm)：1.8<br>●リング使用範囲(mm)：19～60<br>●全長(mm)：180<br>●爪形状：直爪<br>●質量(g)：163<br><br>●ばね付<br><br>",『カード対応OK！』■〒ＴＯＮＥ【SRPS-175】(7607717) スナップリングプライヤ（ストレートタイプ　軸用） 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＯＮＥ【SRPS-175】(7607717) スナップリングプライヤ（ストレートタイプ　軸用） 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー。『カード対応OK！』■〒ＴＯＮＥ【SRPS-175】(7607717) スナップリングプライヤ（ストレートタイプ　軸用） 受注単位1[rn]
16-26262,,1426.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＯＮＥ【SRPH-125BF】(7607610) スナップリングプライヤ（ベントタイプ　穴用） 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●先端部は逆テーパー状でスナップリングを確実に保持します。<br>●ソフトな感触で握り心地が良く滑りにくいグリップです。<br>●一体成型で、消耗によるがたつきや折れ、破損に高い耐久性を実現しています。<br><br><br>●爪先端径(mm)：0.9<br>●リング使用範囲(mm)：8～25<br>●全長(mm)：130<br>●爪形状：曲爪<br>●質量(g)：94<br><br><br>",『カード対応OK！』■〒ＴＯＮＥ【SRPH-125BF】(7607610) スナップリングプライヤ（ベントタイプ　穴用） 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＯＮＥ【SRPH-125BF】(7607610) スナップリングプライヤ（ベントタイプ　穴用） 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー。『カード対応OK！』■〒ＴＯＮＥ【SRPH-125BF】(7607610) スナップリングプライヤ（ベントタイプ　穴用） 受注単位1[rn]
16-26263,,1903.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＯＮＥ【SRPS-200】(7607733) スナップリングプライヤ（ストレートタイプ　軸用） 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●先端部は逆テーパー状でスナップリングを確実に保持します。<br>●ソフトな感触で握り心地が良く滑りにくいグリップです。<br>●一体成型で、消耗によるがたつきや折れ、破損に高い耐久性を実現しています。<br><br><br>●爪先端径(mm)：2.3<br>●リング使用範囲(mm)：40～100<br>●全長(mm)：225<br>●爪形状：直爪<br>●質量(g)：216<br><br>●ばね付<br><br>",『カード対応OK！』■〒ＴＯＮＥ【SRPS-200】(7607733) スナップリングプライヤ（ストレートタイプ　軸用） 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＯＮＥ【SRPS-200】(7607733) スナップリングプライヤ（ストレートタイプ　軸用） 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー。『カード対応OK！』■〒ＴＯＮＥ【SRPS-200】(7607733) スナップリングプライヤ（ストレートタイプ　軸用） 受注単位1[rn]
16-26264,,1903.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＯＮＥ【SRPH-200】(7607652) スナップリングプライヤ（ストレートタイプ　穴用） 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●先端部は逆テーパー状でスナップリングを確実に保持します。<br>●ソフトな感触で握り心地が良く滑りにくいグリップです。<br>●一体成型で、消耗によるがたつきや折れ、破損に高い耐久性を実現しています。<br><br><br>●爪先端径(mm)：2.3<br>●リング使用範囲(mm)：40～100<br>●全長(mm)：225<br>●爪形状：直爪<br>●質量(g)：199<br><br><br>",『カード対応OK！』■〒ＴＯＮＥ【SRPH-200】(7607652) スナップリングプライヤ（ストレートタイプ　穴用） 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＯＮＥ【SRPH-200】(7607652) スナップリングプライヤ（ストレートタイプ　穴用） 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー。『カード対応OK！』■〒ＴＯＮＥ【SRPH-200】(7607652) スナップリングプライヤ（ストレートタイプ　穴用） 受注単位1[rn]
16-26265,,1955.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＯＮＥ【SRPH-200B】(7607661) スナップリングプライヤ（ベントタイプ　穴用） 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●先端部は逆テーパー状でスナップリングを確実に保持します。<br>●ソフトな感触で握り心地が良く滑りにくいグリップです。<br>●一体成型で、消耗によるがたつきや折れ、破損に高い耐久性を実現しています。<br><br><br>●爪先端径(mm)：2.3<br>●リング使用範囲(mm)：40～100<br>●全長(mm)：210<br>●爪形状：曲爪<br>●質量(g)：193<br><br><br>",『カード対応OK！』■〒ＴＯＮＥ【SRPH-200B】(7607661) スナップリングプライヤ（ベントタイプ　穴用） 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＯＮＥ【SRPH-200B】(7607661) スナップリングプライヤ（ベントタイプ　穴用） 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー。『カード対応OK！』■〒ＴＯＮＥ【SRPH-200B】(7607661) スナップリングプライヤ（ベントタイプ　穴用） 受注単位1[rn]
16-26266,,23416.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【9938】(4980671) スナップリンクセット 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br><br><br>●質量(g)：1640<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/バーコ【9938】(4980671) スナップリンクセット 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【9938】(4980671) スナップリンクセット 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー。『カード対応OK！』■〒スナップオン・ツールズ/バーコ【9938】(4980671) スナップリンクセット 受注単位1[rn]
16-26267,,18721.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【4410-J6】(4968409) ２５２－４００ｍｍ　穴用スナップリングプライヤー 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ロック機構付です。（解除可能）<br>●先端チップは焼き入れ処理済みで交換も可能です。<br>●ハンドルはブラックパウダーコーティング仕上げです。<br><br><br>●爪先端径(mm)：4.5<br>●リング使用範囲(mm)：252～400<br>●全長(mm)：580<br>●爪形状：直爪<br>●質量(g)：1775<br><br><br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【4410-J6】(4968409) ２５２&minus;４００ｍｍ　穴用スナップリングプライヤー 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【4410-J6】(4968409) ２５２&minus;４００ｍｍ　穴用スナップリングプライヤー 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー。『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【4410-J6】(4968409) ２５２&minus;４００ｍｍ　穴用スナップリングプライヤー 受注単位1[rn]
16-26268,,1426.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＯＮＥ【SRPS-125B】(7607687) スナップリングプライヤ（ベントタイプ　軸用） 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●先端部は逆テーパー状でスナップリングを確実に保持します。<br>●ソフトな感触で握り心地が良く滑りにくいグリップです。<br>●一体成型で、消耗によるがたつきや折れ、破損に高い耐久性を実現しています。<br><br><br>●爪先端径(mm)：1.3<br>●リング使用範囲(mm)：10～25<br>●全長(mm)：130<br>●爪形状：曲爪<br>●質量(g)：108<br><br>●ばね付<br><br>",『カード対応OK！』■〒ＴＯＮＥ【SRPS-125B】(7607687) スナップリングプライヤ（ベントタイプ　軸用） 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＯＮＥ【SRPS-125B】(7607687) スナップリングプライヤ（ベントタイプ　軸用） 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー。『カード対応OK！』■〒ＴＯＮＥ【SRPS-125B】(7607687) スナップリングプライヤ（ベントタイプ　軸用） 受注単位1[rn]
16-26269,,5878.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【2928-160】(4979222) 穴軸兼用スナップリンクプライヤー 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●穴軸兼用スナップリングプライヤーです。<br>●切り替えは、中央部にある切り替えレバーでワンタッチで切り替えできます。<br>●爪の取り換えは六角ネジでしっかりと固定できます。<br><br><br>●爪先端径(mm)：0.6、0.9、1.2<br>●リング使用範囲(mm)：穴リング7～26、軸リング3～26<br>●全長(mm)：160<br>●爪形状：直爪、曲爪<br>●質量(g)：120<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/バーコ【2928-160】(4979222) 穴軸兼用スナップリンクプライヤー 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【2928-160】(4979222) 穴軸兼用スナップリンクプライヤー 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー。『カード対応OK！』■〒スナップオン・ツールズ/バーコ【2928-160】(4979222) 穴軸兼用スナップリンクプライヤー 受注単位1[rn]
16-26270,,1580.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＯＮＥ【SRPS-175B】(7607725) スナップリングプライヤ（ベントタイプ　軸用） 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●先端部は逆テーパー状でスナップリングを確実に保持します。<br>●ソフトな感触で握り心地が良く滑りにくいグリップです。<br>●一体成型で、消耗によるがたつきや折れ、破損に高い耐久性を実現しています。<br><br><br>●爪先端径(mm)：1.8<br>●リング使用範囲(mm)：19～60<br>●全長(mm)：170<br>●爪形状：曲爪<br>●質量(g)：163<br><br>●ばね付<br><br>",『カード対応OK！』■〒ＴＯＮＥ【SRPS-175B】(7607725) スナップリングプライヤ（ベントタイプ　軸用） 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＯＮＥ【SRPS-175B】(7607725) スナップリングプライヤ（ベントタイプ　軸用） 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー。『カード対応OK！』■〒ＴＯＮＥ【SRPS-175B】(7607725) スナップリングプライヤ（ベントタイプ　軸用） 受注単位1[rn]
16-26271,,1523.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＯＮＥ【SRPH-175】(7607636) スナップリングプライヤ（ストレートタイプ　穴用） 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●先端部は逆テーパー状でスナップリングを確実に保持します。<br>●ソフトな感触で握り心地が良く滑りにくいグリップです。<br>●一体成型で、消耗によるがたつきや折れ、破損に高い耐久性を実現しています。<br><br><br>●爪先端径(mm)：1.8<br>●リング使用範囲(mm)：19～60<br>●全長(mm)：180<br>●爪形状：直爪<br>●質量(g)：163<br><br><br>",『カード対応OK！』■〒ＴＯＮＥ【SRPH-175】(7607636) スナップリングプライヤ（ストレートタイプ　穴用） 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＯＮＥ【SRPH-175】(7607636) スナップリングプライヤ（ストレートタイプ　穴用） 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー。『カード対応OK！』■〒ＴＯＮＥ【SRPH-175】(7607636) スナップリングプライヤ（ストレートタイプ　穴用） 受注単位1[rn]
16-26272,,2211.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【4419-J6】(4968417) ４４１０－Ｊ６用　先端部スペア　２個 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br><br>●4410-J6用の先端部替爪です。<br><br>●適合本体：4410-J6<br>●質量(g)：87<br><br><br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【4419-J6】(4968417) ４４１０&minus;Ｊ６用　先端部スペア　２個 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【4419-J6】(4968417) ４４１０&minus;Ｊ６用　先端部スペア　２個 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー。『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【4419-J6】(4968417) ４４１０&minus;Ｊ６用　先端部スペア　２個 受注単位1[rn]
