16-27601,,660.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト【LDA5L-H-4T1】(8184627) ＩＲＩＳ ＬＥＤ電球 電球色 40Ｗ 485ｌｍ 発注単位1,工事用品\作業灯・照明用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●トップランナー制度対応、2017年度省エネ法目標基準達成のLED電球です。<br>
●口金サイズがE26口金なので、照明器具を替えることなくご使用いただけます。<br>
●密閉形器具にもご使用可能です。<br>
●長寿命約40000時間でランプ交換の手間が少ないLED電球です。<br>
●明るさ(lm):485<br>
●外径(mm):58<br>
●全長(mm):107<br>
●定格寿命(時間):40000<br>
●消費電力(W):4.9<br>
●標準消費電力料金:0.13円/h<br>
●口金:E26<br>
●相当電球(W形):40<br>
●配光角度:120度<br>
●光源色:電球色<br>
●光源色:電球色相当<br>
●電源:AC100V(50/60Hz)<br>
●配光角度:120度<br>
●定格寿命：40001時間<br>
●アルミ、ポリカーボネート、PBT",■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト【LDA5L-H-4T1】(8184627) ＩＲＩＳ ＬＥＤ電球 電球色 40Ｗ 485ｌｍ 発注単位1：クローバー資材館,■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト【LDA5L-H-4T1】(8184627) ＩＲＩＳ ＬＥＤ電球 電球色 40Ｗ 485ｌｍ 発注単位1,工事用品\作業灯・照明用品。■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト【LDA5L-H-4T1】(8184627) ＩＲＩＳ ＬＥＤ電球 電球色 40Ｗ 485ｌｍ 発注単位1[rn]
16-27650,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002834035.jpg?fitin=700:700,1751.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒フジ矢/フジ矢　プロテックニッパ　１２５ｍｍ【PP60-125 (125MM)】(2763028) 受注単位1,作業用品\作業工具\ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●マイクロミラーブレードで刃部精度1/1000ミリを実現、切断能力20%向上（当社比）しました。<br>●連続作業に適したばね付です。<br>●精密機器、通信機器の電線の切断に最適です。<br>●手になじむエラストマー樹脂グリップです。",『カード対応OK！』■〒フジ矢/フジ矢　プロテックニッパ　１２５ｍｍ【PP60-125 (125MM)】(2763028) 受注単位1：クローバー資材館,『カード対応OK！』■〒フジ矢/フジ矢　プロテックニッパ　１２５ｍｍ【PP60-125 (125MM)】(2763028) 受注単位1,作業用品\作業工具\ニッパ。『カード対応OK！』■〒フジ矢/フジ矢　プロテックニッパ　１２５ｍｍ【PP60-125 (125MM)】(2763028) 受注単位1[rn]
16-27651,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002867325.jpg?fitin=700:700,3143.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/バーコ　強力軟硬線ニッパー【2101G-125】(3249417) 受注単位1,作業用品\作業工具\ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●軟線（銅線・ケーブルなど）の切断は刃先で、硬線（ピアノ線など）の切断はジョイント近くの刃底で切断できます。<br>●オン・オフ機能のリターン・スプリングが付いています。<br>●エルゴハンドルです。",『カード対応OK！』■〒スナップオン・ツールズ/バーコ　強力軟硬線ニッパー【2101G-125】(3249417) 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/バーコ　強力軟硬線ニッパー【2101G-125】(3249417) 受注単位1,作業用品\作業工具\ニッパ。『カード対応OK！』■〒スナップオン・ツールズ/バーコ　強力軟硬線ニッパー【2101G-125】(3249417) 受注単位1[rn]
16-27652,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003807644.jpg?fitin=700:700,1814.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トップ工業/ＴＯＰ　パワーニッパ　１７５ｍｍ【NI-175H】(3692051) 受注単位1,作業用品\作業工具\ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●偏芯テコ原理により鉄線を楽に切断できます。",『カード対応OK！』■〒トップ工業/ＴＯＰ　パワーニッパ　１７５ｍｍ【NI-175H】(3692051) 受注単位1：クローバー資材館,『カード対応OK！』■〒トップ工業/ＴＯＰ　パワーニッパ　１７５ｍｍ【NI-175H】(3692051) 受注単位1,作業用品\作業工具\ニッパ。『カード対応OK！』■〒トップ工業/ＴＯＰ　パワーニッパ　１７５ｍｍ【NI-175H】(3692051) 受注単位1[rn]
16-27653,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004395559.jpg?fitin=700:700,1420.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スリーピークス技研/スリーピークス　プラスチックニッパー【SP-33】(3819451) 受注単位1,作業用品\作業工具\ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●プラスチック専用です。金属線切断不可です。<br>●手になじむエラストマー樹脂グリップです。",『カード対応OK！』■〒スリーピークス技研/スリーピークス　プラスチックニッパー【SP-33】(3819451) 受注単位1：クローバー資材館,『カード対応OK！』■〒スリーピークス技研/スリーピークス　プラスチックニッパー【SP-33】(3819451) 受注単位1,作業用品\作業工具\ニッパ。『カード対応OK！』■〒スリーピークス技研/スリーピークス　プラスチックニッパー【SP-33】(3819451) 受注単位1[rn]
16-27654,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003803716.jpg?fitin=700:700,1747.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ロブテックス/エビ　マイクロニッパー１１０ｍｍ（バネ付）【MN110】(3722988) 受注単位1,作業用品\作業工具\ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●小型で軽量な使いやすい形状です。<br>●コイルばね付で連続作業も快適です。",『カード対応OK！』■〒ロブテックス/エビ　マイクロニッパー１１０ｍｍ（バネ付）【MN110】(3722988) 受注単位1：クローバー資材館,『カード対応OK！』■〒ロブテックス/エビ　マイクロニッパー１１０ｍｍ（バネ付）【MN110】(3722988) 受注単位1,作業用品\作業工具\ニッパ。『カード対応OK！』■〒ロブテックス/エビ　マイクロニッパー１１０ｍｍ（バネ付）【MN110】(3722988) 受注単位1[rn]
16-27655,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005198405.jpg?fitin=700:700,1728.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒前田金属工業/ＴＯＮＥ　強力ニッパ（マスターグリップタイプ）　１７０ｍｍ【KN-150G】(3900037) 受注単位1,作業用品\作業工具\ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●銅線や細い鉄線を切る工具です。<br>●電気通信機器やラジオ、テレビなどの配線・細工・修理などに使用できます。",『カード対応OK！』■〒前田金属工業/ＴＯＮＥ　強力ニッパ（マスターグリップタイプ）　１７０ｍｍ【KN-150G】(3900037) 受注単位1：クローバー資材館,『カード対応OK！』■〒前田金属工業/ＴＯＮＥ　強力ニッパ（マスターグリップタイプ）　１７０ｍｍ【KN-150G】(3900037) 受注単位1,作業用品\作業工具\ニッパ。『カード対応OK！』■〒前田金属工業/ＴＯＮＥ　強力ニッパ（マスターグリップタイプ）　１７０ｍｍ【KN-150G】(3900037) 受注単位1[rn]
16-27656,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002866874.jpg?fitin=700:700,2385.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒フジ矢/フジ矢　プロテックプラスチックニッパ　１５０ｍｍ【PP90-150 (150MM)】(2763079) 受注単位1,作業用品\作業工具\ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●刃部は当社独自のマイクロミラーブレードでシャープな切れ味に加え、切断面もきれいに仕上がります。<br>●刃部のくい違い防止ストッパーねじ付です。<br>●手になじむエラストマー樹脂グリップです。",『カード対応OK！』■〒フジ矢/フジ矢　プロテックプラスチックニッパ　１５０ｍｍ【PP90-150 (150MM)】(2763079) 受注単位1：クローバー資材館,『カード対応OK！』■〒フジ矢/フジ矢　プロテックプラスチックニッパ　１５０ｍｍ【PP90-150 (150MM)】(2763079) 受注単位1,作業用品\作業工具\ニッパ。『カード対応OK！』■〒フジ矢/フジ矢　プロテックプラスチックニッパ　１５０ｍｍ【PP90-150 (150MM)】(2763079) 受注単位1[rn]
16-27657,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003807598.jpg?fitin=700:700,1620.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トップ工業/ＴＯＰ　エレクトロニッパ　１１５ｍｍ【ENI-115 (ｽﾃﾝﾚｽｾｲ)】(3690814) 受注単位1,作業用品\作業工具\ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●独自の刃付けにより、初期の切れ味を持続します。<br>●先端を細く、丸みをつけているので狭い箇所に便利です。<br>●特殊グリップで作業性が高まります。",『カード対応OK！』■〒トップ工業/ＴＯＰ　エレクトロニッパ　１１５ｍｍ【ENI-115 (ｽﾃﾝﾚｽｾｲ)】(3690814) 受注単位1：クローバー資材館,『カード対応OK！』■〒トップ工業/ＴＯＰ　エレクトロニッパ　１１５ｍｍ【ENI-115 (ｽﾃﾝﾚｽｾｲ)】(3690814) 受注単位1,作業用品\作業工具\ニッパ。『カード対応OK！』■〒トップ工業/ＴＯＰ　エレクトロニッパ　１１５ｍｍ【ENI-115 (ｽﾃﾝﾚｽｾｲ)】(3690814) 受注単位1[rn]
16-27658,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003806574.jpg?fitin=700:700,11294.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒室本鉄工/メリー　ヒートニッパＨＴ１３０【HT-130 (HT130-165)】(1115022) 受注単位1,作業用品\作業工具\ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ヒーターで刃先を加熱しているため、割れやすい材質の樹脂を切断しても、ひびが入ったり割れたりせず、その他の樹脂でも軽い力で切断可能です。",『カード対応OK！』■〒室本鉄工/メリー　ヒートニッパＨＴ１３０【HT-130 (HT130-165)】(1115022) 受注単位1：クローバー資材館,『カード対応OK！』■〒室本鉄工/メリー　ヒートニッパＨＴ１３０【HT-130 (HT130-165)】(1115022) 受注単位1,作業用品\作業工具\ニッパ。『カード対応OK！』■〒室本鉄工/メリー　ヒートニッパＨＴ１３０【HT-130 (HT130-165)】(1115022) 受注単位1[rn]
16-27659,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004395570.jpg?fitin=700:700,1771.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スリーピークス技研/スリーピークス　かるいニッパ（バネ付）　１５０ｍｍ【LN-150S (150MM)】(3819302) 受注単位1,作業用品\作業工具\ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●長時間の作業でも疲れにくい、軽量のニッパです。<br>●全長をほとんど変えず、ハンドルの形状と頭部の厚みを大幅に削りました。<br>●手になじむエラストマー樹脂グリップです。",『カード対応OK！』■〒スリーピークス技研/スリーピークス　かるいニッパ（バネ付）　１５０ｍｍ【LN-150S (150MM)】(3819302) 受注単位1：クローバー資材館,『カード対応OK！』■〒スリーピークス技研/スリーピークス　かるいニッパ（バネ付）　１５０ｍｍ【LN-150S (150MM)】(3819302) 受注単位1,作業用品\作業工具\ニッパ。『カード対応OK！』■〒スリーピークス技研/スリーピークス　かるいニッパ（バネ付）　１５０ｍｍ【LN-150S (150MM)】(3819302) 受注単位1[rn]
16-27660,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002834034.jpg?fitin=700:700,5380.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒フジ矢/フジ矢　プロテックニッパ超硬刃付　１２５ｍｍ【PP460-125 (125MM)】(2762901) 受注単位1,作業用品\作業工具\ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●刃部に超硬チップをインサートし、切断能力、耐久性で当社従来比3倍です。<br>●ピアノ線・スプリング線・光ファイバーの支持線を切断可能です。<br>●手になじむエラストマー樹脂グリップです。",『カード対応OK！』■〒フジ矢/フジ矢　プロテックニッパ超硬刃付　１２５ｍｍ【PP460-125 (125MM)】(2762901) 受注単位1：クローバー資材館,『カード対応OK！』■〒フジ矢/フジ矢　プロテックニッパ超硬刃付　１２５ｍｍ【PP460-125 (125MM)】(2762901) 受注単位1,作業用品\作業工具\ニッパ。『カード対応OK！』■〒フジ矢/フジ矢　プロテックニッパ超硬刃付　１２５ｍｍ【PP460-125 (125MM)】(2762901) 受注単位1[rn]
16-27661,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002866870.jpg?fitin=700:700,2131.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒フジ矢/フジ矢　電工名人強力ニッパ【770-200】(2762889) 受注単位1,作業用品\作業工具\ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●刃部が鋭利できれいな切断面です。<br>●あらゆる電気・弱電関係の作業に最適です。<br>●グリップが手に優しくフィットします。",『カード対応OK！』■〒フジ矢/フジ矢　電工名人強力ニッパ【770-200】(2762889) 受注単位1：クローバー資材館,『カード対応OK！』■〒フジ矢/フジ矢　電工名人強力ニッパ【770-200】(2762889) 受注単位1,作業用品\作業工具\ニッパ。『カード対応OK！』■〒フジ矢/フジ矢　電工名人強力ニッパ【770-200】(2762889) 受注単位1[rn]
16-27662,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005133594.jpg?fitin=700:700,260.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒室本鉄工/メリー　メリーバネＭＢＮ－０６【MBN-06】(2817489) 受注単位1,作業用品\作業工具\ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒室本鉄工/メリー　メリーバネＭＢＮ&minus;０６【MBN-06】(2817489) 受注単位1：クローバー資材館,『カード対応OK！』■〒室本鉄工/メリー　メリーバネＭＢＮ&minus;０６【MBN-06】(2817489) 受注単位1,作業用品\作業工具\ニッパ。『カード対応OK！』■〒室本鉄工/メリー　メリーバネＭＢＮ&minus;０６【MBN-06】(2817489) 受注単位1[rn]
16-27663,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005085969.jpg?fitin=700:700,6860.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒室本鉄工/メリー　アールカットニッパ（凸刃）ＣＸ２５Ｒ【CX25R-150】(3689131) 受注単位1,作業用品\作業工具\ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●凸R25の刃を付けています。<br>●刃のくい違い防止ストッパー付です。<br>●ばね落下防止ストッパー付です。",『カード対応OK！』■〒室本鉄工/メリー　アールカットニッパ（凸刃）ＣＸ２５Ｒ【CX25R-150】(3689131) 受注単位1：クローバー資材館,『カード対応OK！』■〒室本鉄工/メリー　アールカットニッパ（凸刃）ＣＸ２５Ｒ【CX25R-150】(3689131) 受注単位1,作業用品\作業工具\ニッパ。『カード対応OK！』■〒室本鉄工/メリー　アールカットニッパ（凸刃）ＣＸ２５Ｒ【CX25R-150】(3689131) 受注単位1[rn]
16-27664,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005081658.jpg?fitin=700:700,1841.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒フジ矢/フジ矢　ヨーロッパ型強力ニッパ【7-20000MM)】(3693538) 受注単位1,作業用品\作業工具\ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●海外で主流のデザインのニッパです。テコの原理を応用して頭部の支点を偏芯し、刃の内角を広くしているので、太い線なども軽い切れ味で切断できます。",『カード対応OK！』■〒フジ矢/フジ矢　ヨーロッパ型強力ニッパ【7-20000MM)】(3693538) 受注単位1：クローバー資材館,『カード対応OK！』■〒フジ矢/フジ矢　ヨーロッパ型強力ニッパ【7-20000MM)】(3693538) 受注単位1,作業用品\作業工具\ニッパ。『カード対応OK！』■〒フジ矢/フジ矢　ヨーロッパ型強力ニッパ【7-20000MM)】(3693538) 受注単位1[rn]
16-27665,,18848.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ【LWK-15M】(7547633) 充電式ＬＥＤケイ・ライトプラス　マグネット付アームタイプ 受注単位1,工事用品\作業灯・照明用品\投光器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●15ＷハイパワーLEDを採用しています。<br>●継ぎ足し充電可能なリチウムイオン電池使用しています。<br>●雨中でも安心の屋外用防雨型です。<br>●マグネット付アームセットタイプです。<br><br><br>●明るさ(lm)：960<br>●電源(V)：100<br>●消費電力(W)：15<br>●標準消費電力料金：0.41円/h<br>●質量(kg)：2.65<br>●全光束(lm)：960<br>●全光束(lm)：960<br><br>●電源：専用充電池（AC100V電源での使用も可能）<br>●連続点灯時間：連続約8時間<br>●充電時間：約８．５時間<br>●幅×高さＸ奥行(mm）：240Ｘ250Ｘ137<br><br>",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ【LWK-15M】(7547633) 充電式ＬＥＤケイ・ライトプラス　マグネット付アームタイプ 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ【LWK-15M】(7547633) 充電式ＬＥＤケイ・ライトプラス　マグネット付アームタイプ 受注単位1,工事用品\作業灯・照明用品\投光器。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ【LWK-15M】(7547633) 充電式ＬＥＤケイ・ライトプラス　マグネット付アームタイプ 受注単位1[rn]
16-27666,,94932.0000,,花・ガーデン・DIY > DIY・工具 > その他,###■〒ティーネットジャパン/ネオビーナス 照明器具【NV700XCW-FA80C】(8192752) ネオビーナス 700Ｘ 投光器型(アームＡタイプ) 発注単位1,工事用品\作業灯・照明用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br><br>
●安心の日本製です。<br>
●-40℃～+60℃と広い使用環境温度です。<br>
●レンズ選択で自由な照明設計ができます。<br>
●日亜化学工業（株）製LEDチップを採用しています。<br>
●超軽量化を実現（マグネシウム合金採用）しました。<br>
●高効率専用電源（日本製）を採用しております。<br>
●屋内、屋外の照明にお使い頂けます。<br>
●屋内、屋外の照明にお使い頂けます。<br>
●明るさ(lm):20000<br>
●消費電力(W):164W(AC200V)/167W(AC100V)<br>
●標準消費電力料金:2.62円/h<br>
●電源(V):AC100～254<br>
●配光角度(度):80<br>
●幅(mm):383<br>
●高さ(mm):407<br>
●相当水銀灯(W形):700<br>
●外径(mm):340<br>
●全長(mm):337<br>
●長さ(mm):383<br>
●タイプ:投光器型(アームAタイプ)<br>
●演色性:Ra70<br>
●電圧(V):AC100V～254V<br>
●光源色:白色<br>
●奥行(mm):337<br>
●相当W数:MF400<br>
●定格寿命(時間):60000h(55℃)/50000h(60℃)<br>
●配光角度:80<br>
●定格電圧(V):AC100～254<br>
●相当水銀灯(W形):700W形、メタルハライドランプ(W形):400W形<br>
●全光束(lm):20000<br>
●光源色:白色(5000K)<br>
●電源周波数：50/60Hz<br>
●電源別<br>
●保護等級:IP67<br>
●定格電圧：AC100V～AC254V（許容範囲AC90V～AC279V）<br>
●筐体：マグネシウム合金<br>
●取り付けには別途工事が必要です。",###■〒ティーネットジャパン/ネオビーナス 照明器具【NV700XCW-FA80C】(8192752) ネオビーナス 700Ｘ 投光器型(アームＡタイプ) 発注単位1：クローバー資材館,###■〒ティーネットジャパン/ネオビーナス 照明器具【NV700XCW-FA80C】(8192752) ネオビーナス 700Ｘ 投光器型(アームＡタイプ) 発注単位1,工事用品\作業灯・照明用品。###■〒ティーネットジャパン/ネオビーナス 照明器具【NV700XCW-FA80C】(8192752) ネオビーナス 700Ｘ 投光器型(アームＡタイプ) 発注単位1[rn]
16-27667,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002850152.jpg?fitin=700:700,227.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日動工業/日動　耐震球　クリア耐震球　１１０Ｖ２００Ｗ【CT-200】(3338959) 受注単位1,工事用品\作業灯・照明用品\作業用ハンディライト,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒日動工業/日動　耐震球　クリア耐震球　１１０Ｖ２００Ｗ【CT-200】(3338959) 受注単位1：クローバー資材館,『カード対応OK！』■〒日動工業/日動　耐震球　クリア耐震球　１１０Ｖ２００Ｗ【CT-200】(3338959) 受注単位1,工事用品\作業灯・照明用品\作業用ハンディライト。『カード対応OK！』■〒日動工業/日動　耐震球　クリア耐震球　１１０Ｖ２００Ｗ【CT-200】(3338959) 受注単位1[rn]
16-27668,,6746.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒山田照明/山田 照明器具【Z-108LED-GY】(7933878) 山田 ＬＥＤアームスタンド 発注単位1,工事用品\作業灯・照明用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●半世紀以上に渡って継承されたクラシックデザインZライトのLEDランプ搭載モデルです。<br>
●アルミ材を多用しシンプルデザインの中に効率と耐久性を向上しています。<br>
●明るさ(lm):706<br>
●消費電力(W):9<br>
●標準消費電力料金:0.24円/h<br>
●色:グレー<br>
●幅(mm):190<br>
●奥行(mm):637<br>
●高さ(mm):885<br>
●全光束(lm):706<br>
●電源:AC100V<br>
●取付:クランプ式（最大厚さ55mm、奥行40mm）<br>
●搭載ランプ:ＬＥＤ電球：ＬＤＡ7Ｎ-G-K/60W（昼白色）<br>
●セード部:PPT樹脂<br>
●アーム部:アルミ",■〒山田照明/山田 照明器具【Z-108LED-GY】(7933878) 山田 ＬＥＤアームスタンド 発注単位1：クローバー資材館,■〒山田照明/山田 照明器具【Z-108LED-GY】(7933878) 山田 ＬＥＤアームスタンド 発注単位1,工事用品\作業灯・照明用品。■〒山田照明/山田 照明器具【Z-108LED-GY】(7933878) 山田 ＬＥＤアームスタンド 発注単位1[rn]
16-27669,,3764.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ジェントス/ＧＥＮＴＯＳ ライト【SG-339R】(8193890) ＧＥＮＴＯＳ 閃339Ｒ 発注単位1,工事用品\作業灯・照明用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ブーストモード搭載で、より強力な明るさを実現しました。<br>
●全光束(lm):450<br>
●外径(mm):32.3<br>
●全長(mm):166<br>
●明るさ(lm):380<br>
●連続点灯時間:4.5<br>
●明るさ約450lm(ブースト時）、約380lm（ハイ時）、約200lm（ミドル時）、約30lm（エコ時）<br>
●点灯時間：4.5時間（ハイ時）、13時間（ミドル時）、37時間（エコ時）<br>
●充電時間：約3.5時間<br>
●電源：専用リチウムイオン充電池<br>
●保護等級:IP67<br>
●ＵＳＢ充電式ライト<br>
●ブーストモード搭載<br>
●スライドフォーカス<br>
●本体：アルミ<br>
●ストラップ<br>
●ＵＳＢケーブル",■〒ジェントス/ＧＥＮＴＯＳ ライト【SG-339R】(8193890) ＧＥＮＴＯＳ 閃339Ｒ 発注単位1：クローバー資材館,■〒ジェントス/ＧＥＮＴＯＳ ライト【SG-339R】(8193890) ＧＥＮＴＯＳ 閃339Ｒ 発注単位1,工事用品\作業灯・照明用品。■〒ジェントス/ＧＥＮＴＯＳ ライト【SG-339R】(8193890) ＧＥＮＴＯＳ 閃339Ｒ 発注単位1[rn]
16-27670,,642.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立アプライアンス（株）/日立【FPL-27EX N】(0012301)コンパクト型蛍光ランプ（パラライト昼白色） 受注単位1,工事用品\作業灯・照明用品\直管形ランプ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●明るくてコンパクトです。<br>●全光束(lm):1800<br>●定格寿命(時間):7500<br>●定格ランプ電力(W):27<br>●標準消費電力料金:0.73円/h<br>●口金:GY10q-4<br>●外径(mm):246<br>●管径(mm):20<br>●質量(g):106<br>●点灯方式:グロースタータ形<br>●光源色:昼白色<br>●色温度:5000K<br>●演色性:Ra84<br>●適合電子点灯管:FG-1E<br>",『カード対応OK！』■〒日立アプライアンス（株）/日立【FPL-27EX N】(0012301)コンパクト型蛍光ランプ（パラライト昼白色） 受注単位1：クローバー資材館,『カード対応OK！』■〒日立アプライアンス（株）/日立【FPL-27EX N】(0012301)コンパクト型蛍光ランプ（パラライト昼白色） 受注単位1,工事用品\作業灯・照明用品\直管形ランプ。『カード対応OK！』■〒日立アプライアンス（株）/日立【FPL-27EX N】(0012301)コンパクト型蛍光ランプ（パラライト昼白色） 受注単位1[rn]
