18-8301,http://tshop.r10s.jp/select-tool/cabinet/nandemo/se1-16.gif?fitin=700:700,720.0000,,花・ガーデン・DIY > DIY・工具 > その他,オーシカ  根太ボンド 建築用接着剤セレクティUR-20 1kg [ 接着剤 ボンド コンクリート レンガ タイル 木材 ],ウレタン樹脂系接着剤、木質床材・床束施工用。健康住宅対応！,★この商品は火気注意商品の為、船便・航空便では送ることは出来ません。<BR>無溶剤１液湿気硬化型ノズル付きアルミパックタイプの接着剤で、手でしぼるだけで簡単に塗布可能です。<BR>耐水、耐熱性に優れ、一般施工の他、補修作業にも最適です。<BR>ホルムアルデヒド・ フタル酸系可塑剤を使用してない！環境・安全に配慮した商品です。,オーシカ  根太ボンド 建築用接着剤セレクティUR-20 1kg [ 接着剤 ボンド コンクリート レンガ タイル 木材 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品オーシカ  根太ボンド 建築用接着剤セレクティUR-20 1kg [ 接着剤 ボンド コンクリート レンガ タイル 木材 ],ウレタン樹脂系接着剤、木質床材・床束施工用。健康住宅対応！。オーシカ  根太ボンド 建築用接着剤セレクティUR-20 1kg [ 接着剤 ボンド コンクリート レンガ タイル 木材 ][rn]
18-8351,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57334423.jpg?fitin=700:700,7024.8000,,花・ガーデン・DIY > DIY・工具 > その他,3.peaks　アルミニッパ　　190mmAN-190　※完全受注生産品,熟練の職人達がつくる3.peaksの商品です,"【ここがポイント！】 
● 超軽量アルミボディ。美しいデザインと形状です。世界初のアルミ合金鋼製ニッパです。完全受注生産品 
 

【商品仕様】 
サイズ 130mm 
重量 90g 
材質 アルミ合金鋼、クロムモリブデン鋼（刃部） 
硬さHRC 55～62（刃部） 
刃角度 15° 
 
 

【切断能力】 
鉄線 φ1.9mm 
銅線 φ2.6mm 
ピアノ線・ステン線 不可 
ブラスチック 可能 
VVF2芯 不可 
より線 2.0mm2",3.peaks　アルミニッパ　　190mmAN-190　※完全受注生産品：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング3.peaks　アルミニッパ　　190mmAN-190　※完全受注生産品,熟練の職人達がつくる3.peaksの商品です。3.peaks　アルミニッパ　　190mmAN-190　※完全受注生産品[rn]
18-8352,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57334269.jpg?fitin=700:700,1828.8000,,花・ガーデン・DIY > DIY・工具 > その他,3.peaks　かるいニッパ　　175mmLN-175,熟練の職人達がつくる3.peaksの商品です,"【ここがポイント！】 
● 業界最軽量。驚きの軽さです・ 
 

【商品仕様】 
サイズ 175mm 
重量 180g 
材質 S58C 
硬さHRC 56～64（刃部） 
刃角度 15° 
 
 

【切断能力】 
鉄線 φ2.2mm 
銅線 φ3.2mm 
ピアノ線・ステン線 不可 
ブラスチック 可能 
VVF2芯 φ1.6mm 
より線 2.0mm2",3.peaks　かるいニッパ　　175mmLN-175：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング3.peaks　かるいニッパ　　175mmLN-175,熟練の職人達がつくる3.peaksの商品です。3.peaks　かるいニッパ　　175mmLN-175[rn]
18-8353,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57334357.jpg?fitin=700:700,1173.6000,,花・ガーデン・DIY > DIY・工具 > その他,【ネコポス可能】3.peaks　先曲りリ－ドペンチ　　150mmSP-25,熟練の職人達がつくる3.peaksの商品です,"【ここがポイント！】 
● 従来の製品。昔から使い慣れた製品をどうぞ。 
 

【商品仕様】 
サイズ 145mm 
重量 57g 
材質 ステンレス鋼 
硬さHRC 48～53（本体） 
 
 
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと",【ネコポス可能】3.peaks　先曲りリ&minus;ドペンチ　　150mmSP-25：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】3.peaks　先曲りリ&minus;ドペンチ　　150mmSP-25,熟練の職人達がつくる3.peaksの商品です。【ネコポス可能】3.peaks　先曲りリ&minus;ドペンチ　　150mmSP-25[rn]
18-8354,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57334250.jpg?fitin=700:700,1592.8000,,花・ガーデン・DIY > DIY・工具 > その他,【ネコポス可能】3.peaks　かるいニッパ　バネ付　150mmLN-150S,熟練の職人達がつくる3.peaksの商品です,"【ここがポイント！】 
● 業界最軽量。驚きの軽さです・ 
 

【商品仕様】 
サイズ 150mm 
重量 122g 
材質 S58C 
硬さHRC 56～64（刃部） 
刃角度 15° 
 
 

【切断能力】 
鉄線 φ1.9mm 
銅線 φ3.2mm 
ピアノ線・ステン線 不可 
ブラスチック 可能 
VVF2芯 φ1.6mm 
より線 2.0mm2 
 
 
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと


メ",【ネコポス可能】3.peaks　かるいニッパ　バネ付　150mmLN-150S：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】3.peaks　かるいニッパ　バネ付　150mmLN-150S,熟練の職人達がつくる3.peaksの商品です。【ネコポス可能】3.peaks　かるいニッパ　バネ付　150mmLN-150S[rn]
18-8355,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57334320.jpg?fitin=700:700,2019.2000,,花・ガーデン・DIY > DIY・工具 > その他,【ネコポス可能】3.peaks　ミニトップカッタ－　　115mmMTC-3,熟練の職人達がつくる3.peaksの商品です,"【ここがポイント！】 
● 小型のトップカッター。連続作業が楽なコイルバネ。 
 

【商品仕様】 
サイズ 115mm 
重量 50g 
材質 バナジウム鋼 
硬さHRC 52～60（刃部） 
 
 

【切断能力】 
鉄線 不可 
銅線 不可 
ピアノ線・ステン線 不可 
ブラスチック φ1.5mm 
VVF2芯 不可 
より線 不可 
 
 
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと


300円",【ネコポス可能】3.peaks　ミニトップカッタ&minus;　　115mmMTC-3：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】3.peaks　ミニトップカッタ&minus;　　115mmMTC-3,熟練の職人達がつくる3.peaksの商品です。【ネコポス可能】3.peaks　ミニトップカッタ&minus;　　115mmMTC-3[rn]
18-8356,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57334325.jpg?fitin=700:700,2659.2000,,花・ガーデン・DIY > DIY・工具 > その他,【ネコポス可能】3.peaks　トップカッタ－　　150mmTC-10,熟練の職人達がつくる3.peaksの商品です,"【ここがポイント！】 
● 真上から刃が入ります。逆手持ち可能 
 

【商品仕様】 
サイズ 150mm 
重量 155g 
材質 S58C 
硬さHRC 52～60（刃部） 
 
 

【切断能力】 
鉄線 不可 
銅線 不可 
ピアノ線・ステン線 不可 
ブラスチック φ4.0mm 
VVF2芯 不可 
より線 不可 
 
 
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと",【ネコポス可能】3.peaks　トップカッタ&minus;　　150mmTC-10：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】3.peaks　トップカッタ&minus;　　150mmTC-10,熟練の職人達がつくる3.peaksの商品です。【ネコポス可能】3.peaks　トップカッタ&minus;　　150mmTC-10[rn]
18-8357,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57331010.jpg?fitin=700:700,1806.4000,,花・ガーデン・DIY > DIY・工具 > その他,3.peaks　新サイズペンチ　　エラストマー（ゴム質）成形グリップ付　190mmCP-190Z,熟練の職人達がつくる3.peaksの商品です,"【ここがポイント！】 
● エラストマー樹脂グリップで長時間でも疲れにくく、JIS規格にはない中間サイズ 
● 切断能力や耐久性はワンサイズ上のJIS規格品と同等。 
● 鉄・銅・より線など、さまざまな潜在に対応。 
 
 
【商品仕様】 
サイズ 190mm 
重量 315g 
材質 S58C 
硬さHRC 56～64（刃部） 
 
 
【切断能力】 
鉄線 φ3.4mm 
銅線 φ4.0mm 
ピアノ線・ステンレス線 不可 
ブラスチック 可能 
VVF3芯 φ1.6mm 
より線 5.5mm2",3.peaks　新サイズペンチ　　エラストマー（ゴム質）成形グリップ付　190mmCP-190Z：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング3.peaks　新サイズペンチ　　エラストマー（ゴム質）成形グリップ付　190mmCP-190Z,熟練の職人達がつくる3.peaksの商品です。3.peaks　新サイズペンチ　　エラストマー（ゴム質）成形グリップ付　190mmCP-190Z[rn]
18-8358,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57334291.jpg?fitin=700:700,2064.8000,,花・ガーデン・DIY > DIY・工具 > その他,【ネコポス可能】3.peaks　斜ニッパ（穴付）　　バネ付　150mmDNP-150ZH-S,熟練の職人達がつくる3.peaksの商品です,"【ここがポイント！】 
● 皮むきから割線まで一丁で各種電気配線工事を行います。刃角度37°斜め方向から刃を入れ入り組んだ部分や奥深い場所を切断します。皮むき用の刃穴付。 
 

【商品仕様】 
サイズ 150mm 
重量 155g 
材質 バナジウム鋼 
硬さHRC 64～62（刃部） 
刃角度 37° 
 
 

【切断能力】 
鉄線 φ1.4mm 
銅線 φ2.6mm 
ピアノ線・ステン線 不可 
ブラスチック 可能 
VVF2芯 φ1.6 
より線 2.0mm2 
 
 
  ネコポス発送可能（送",【ネコポス可能】3.peaks　斜ニッパ（穴付）　　バネ付　150mmDNP-150ZH-S：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】3.peaks　斜ニッパ（穴付）　　バネ付　150mmDNP-150ZH-S,熟練の職人達がつくる3.peaksの商品です。【ネコポス可能】3.peaks　斜ニッパ（穴付）　　バネ付　150mmDNP-150ZH-S[rn]
18-8359,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57334384.jpg?fitin=700:700,1752.8000,,花・ガーデン・DIY > DIY・工具 > その他,【ネコポス可能】3.peaks　ワイヤ－クラフトニッパ　　130mmCR-01,熟練の職人達がつくる3.peaksの商品です,"【ここがポイント！】 
● お子様や女性でも使いやすいよう軽量化。鋭利な刃で繊細に切断します。 
● 造形作家と共同開発した専用工具です。グッドデザイン賞受賞 
 
 
【商品仕様】 
サイズ 130mm 
重量 85g 
材質 バナジウム鋼 
硬さHRC 54～62（刃部） 
 
 
【切断能力】 
鉄線 φ1.5mm 
銅線 φ2.6mm 
アルミ線 φ4.0mm 
ブラスチック 可能 
ピアノ線・ステン線 不可 
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと
い",【ネコポス可能】3.peaks　ワイヤ&minus;クラフトニッパ　　130mmCR-01：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】3.peaks　ワイヤ&minus;クラフトニッパ　　130mmCR-01,熟練の職人達がつくる3.peaksの商品です。【ネコポス可能】3.peaks　ワイヤ&minus;クラフトニッパ　　130mmCR-01[rn]
18-8360,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57334419.jpg?fitin=700:700,2369.6000,,花・ガーデン・DIY > DIY・工具 > その他,3.peaks　くちプラウォーターポンププライヤ－　プラスチック成形グリップ付　250mmWPP-250KP,熟練の職人達がつくる3.peaksの商品です,"【ここがポイント！】 
● 特殊樹脂製くちプラ。3枚合わせ構造で確実につかみ固定します。指をはさみにくいストッパー付 
 
【商品仕様】 
サイズ 250mm 
重量 390g 
材質 クロムバナジウム鋼 
硬さHRC 40～50（本体） 
 
 
【使用範囲】 
六角ネジ 10～41
パイプ φ6～43mmmm",3.peaks　くちプラウォーターポンププライヤ&minus;　プラスチック成形グリップ付　250mmWPP-250KP：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング3.peaks　くちプラウォーターポンププライヤ&minus;　プラスチック成形グリップ付　250mmWPP-250KP,熟練の職人達がつくる3.peaksの商品です。3.peaks　くちプラウォーターポンププライヤ&minus;　プラスチック成形グリップ付　250mmWPP-250KP[rn]
18-8361,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57334221.jpg?fitin=700:700,1432.8000,,花・ガーデン・DIY > DIY・工具 > その他,【ネコポス可能】3.peaks　強力ニッパ（穴付）　　エラストマー（ゴム質）成形グリップ付　125mmNP-125ZH,熟練の職人達がつくる3.peaksの商品です,ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと,【ネコポス可能】3.peaks　強力ニッパ（穴付）　　エラストマー（ゴム質）成形グリップ付　125mmNP-125ZH：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】3.peaks　強力ニッパ（穴付）　　エラストマー（ゴム質）成形グリップ付　125mmNP-125ZH,熟練の職人達がつくる3.peaksの商品です。【ネコポス可能】3.peaks　強力ニッパ（穴付）　　エラストマー（ゴム質）成形グリップ付　125mmNP-125ZH[rn]
18-8362,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57334288.jpg?fitin=700:700,1912.8000,,花・ガーデン・DIY > DIY・工具 > その他,【ネコポス可能】3.peaks　斜ニッパ（穴付）　　ビニールグリップ付バネ付　150mmDNP-150GH-S,熟練の職人達がつくる3.peaksの商品です,"【ここがポイント！】 
● 皮むきから割線まで一丁で各種電気配線工事を行います。刃角度37°斜め方向から刃を入れ入り組んだ部分や奥深い場所を切断します。皮むき用の刃穴付。 
 

【商品仕様】 
サイズ 150mm 
重量 155g 
材質 バナジウム鋼 
硬さHRC 64～62（刃部） 
刃角度 37° 
 
 

【切断能力】 
鉄線 φ1.4mm 
銅線 φ2.6mm 
ピアノ線・ステン線 不可 
ブラスチック 可能 
VVF2芯 φ1.6 
より線 2.0mm2 
 
 
  ネコポス発送可能（送",【ネコポス可能】3.peaks　斜ニッパ（穴付）　　ビニールグリップ付バネ付　150mmDNP-150GH-S：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】3.peaks　斜ニッパ（穴付）　　ビニールグリップ付バネ付　150mmDNP-150GH-S,熟練の職人達がつくる3.peaksの商品です。【ネコポス可能】3.peaks　斜ニッパ（穴付）　　ビニールグリップ付バネ付　150mmDNP-150GH-S[rn]
18-8363,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57334200.jpg?fitin=700:700,1188.8000,,花・ガーデン・DIY > DIY・工具 > その他,【ネコポス可能】3.peaks　小ねじバイス　　130mmDS-130　外せないネジを外す！,熟練の職人達がつくる3.peaksの商品です,"【ここがポイント！】 
● 外せなくなったネジを強力につかんで回す小ねじバイス。 
● バイスプライヤーにネジはずし機能を加えました。2箇所のくわえ部でネジをつかみロックで固定。くわえ部は3peaks独自設計のダイヤ型。確実につかみます 
● 刃部で切断可能。切断能力針金φ1.2mm 
 
【商品仕様】 
サイズ 130mm 
重量 140g 
材質 クロムモリブデン鋼 
硬さHRC 42～48（くわえ部） 
 
 
【使用範囲】 
小ねじ φ3～10（M1.6～M5） 
六角ネジ 3～10mm 
くわえ",【ネコポス可能】3.peaks　小ねじバイス　　130mmDS-130　外せないネジを外す！：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】3.peaks　小ねじバイス　　130mmDS-130　外せないネジを外す！,熟練の職人達がつくる3.peaksの商品です。【ネコポス可能】3.peaks　小ねじバイス　　130mmDS-130　外せないネジを外す！[rn]
18-8364,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57334324.jpg?fitin=700:700,2156.8000,,花・ガーデン・DIY > DIY・工具 > その他,【ネコポス可能】3.peaks　トップカッタ－　エラストマー（ゴム質）成形グリップ付　140mmTC-7Z,熟練の職人達がつくる3.peaksの商品です,"【ここがポイント！】 
● 真上から刃が入ります。逆手持ち可能 
 

【商品仕様】 
サイズ 140mm 
重量 130g 
材質 クロムバナジウム鋼 
硬さHRC 52～60（刃部） 
 
 

【切断能力】 
鉄線 不可 
銅線 不可 
ピアノ線・ステン線 不可 
ブラスチック φ4.0mm 
VVF2芯 不可 
より線 不可 
 
 
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと",【ネコポス可能】3.peaks　トップカッタ&minus;　エラストマー（ゴム質）成形グリップ付　140mmTC-7Z：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】3.peaks　トップカッタ&minus;　エラストマー（ゴム質）成形グリップ付　140mmTC-7Z,熟練の職人達がつくる3.peaksの商品です。【ネコポス可能】3.peaks　トップカッタ&minus;　エラストマー（ゴム質）成形グリップ付　140mmTC-7Z[rn]
18-8365,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57334212.jpg?fitin=700:700,1303.2000,,花・ガーデン・DIY > DIY・工具 > その他,【ネコポス可能】3.peaks　強力ニッパ（穴付）　ビニールグリップ付　125mmNP-125GH,熟練の職人達がつくる3.peaksの商品です,"【ここがポイント！】 
● JIS規格の定番品。各種線材に対応素晴らしい切れ味と使い心地をお約束します。 
 

【商品仕様】 
サイズ 125mm 
重量 90g 
材質 S58C 
硬さHRC 56～64（刃部） 
刃角度 15° 
 
 

【切断能力】 
鉄線 φ1.5mm 
銅線 φ2.6mm 
ピアノ線・ステン線 不可 
ブラスチック 可能 
VVF2芯 不可 
より線 2.0mm2 
 
 
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと

20",【ネコポス可能】3.peaks　強力ニッパ（穴付）　ビニールグリップ付　125mmNP-125GH：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】3.peaks　強力ニッパ（穴付）　ビニールグリップ付　125mmNP-125GH,熟練の職人達がつくる3.peaksの商品です。【ネコポス可能】3.peaks　強力ニッパ（穴付）　ビニールグリップ付　125mmNP-125GH[rn]
18-8366,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57334152.jpg?fitin=700:700,2278.4000,,花・ガーデン・DIY > DIY・工具 > その他,3.peaks　パワ－ペンチ　　195mmPP-195ピアノ線・鋼硬線OK,熟練の職人達がつくる3.peaksの商品です,"【ここがポイント！】 
● 鋼の品質が違います。ピアノ線・鋼硬線OK！ 
● ハンドリに力が入りやすい設計。エラストマー樹脂グリップで手に馴染む 
 
 
【商品仕様】 
サイズ 195mm 
重量 285g 
材質 SK85（SK5） 
硬さHRC 62～67（刃部） 
 
 
【切断能力】 
鉄線 φ2.8mm 
銅線 φ3.5mm 
ピアノ線・ステンレス線 φ2.0mm 
ブラスチック 可能 
VVF3芯 φ2.6mm 
より線 5.5mm2",3.peaks　パワ&minus;ペンチ　　195mmPP-195ピアノ線・鋼硬線OK：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング3.peaks　パワ&minus;ペンチ　　195mmPP-195ピアノ線・鋼硬線OK,熟練の職人達がつくる3.peaksの商品です。3.peaks　パワ&minus;ペンチ　　195mmPP-195ピアノ線・鋼硬線OK[rn]
18-8367,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57334467.jpg?fitin=700:700,5577.6000,,花・ガーデン・DIY > DIY・工具 > その他,3.peaks　パワ－ワイドストリッパ－　バネ付　WS-1,熟練の職人達がつくる3.peaksの商品です,"【ここがポイント！】 
● より線切断・皮むき 
 

【商品仕様】 
サイズ 205mm 
重量 200g 
切断能力 より線　6.0mm2 
皮むき能力 より線　0.08～6.0mm2",3.peaks　パワ&minus;ワイドストリッパ&minus;　バネ付　WS-1：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング3.peaks　パワ&minus;ワイドストリッパ&minus;　バネ付　WS-1,熟練の職人達がつくる3.peaksの商品です。3.peaks　パワ&minus;ワイドストリッパ&minus;　バネ付　WS-1[rn]
18-8368,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57334476.jpg?fitin=700:700,488.0000,,花・ガーデン・DIY > DIY・工具 > その他,3.peaks　絶縁電工ナイフ　　替刃　　SK-101,熟練の職人達がつくる3.peaksの商品です,,3.peaks　絶縁電工ナイフ　　替刃　　SK-101：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング3.peaks　絶縁電工ナイフ　　替刃　　SK-101,熟練の職人達がつくる3.peaksの商品です。3.peaks　絶縁電工ナイフ　　替刃　　SK-101[rn]
18-8369,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57334359.jpg?fitin=700:700,1143.2000,,花・ガーデン・DIY > DIY・工具 > その他,【ネコポス可能】3.peaks　ショ－トリ－ドペンチ　　136mmSP-26,熟練の職人達がつくる3.peaksの商品です,"【ここがポイント！】 
● 従来の製品。昔から使い慣れた製品をどうぞ。 
 

【商品仕様】 
サイズ 135mm 
重量 56g 
材質 ステンレス鋼 
硬さHRC 48～53（本体） 
 
 
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと",【ネコポス可能】3.peaks　ショ&minus;トリ&minus;ドペンチ　　136mmSP-26：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】3.peaks　ショ&minus;トリ&minus;ドペンチ　　136mmSP-26,熟練の職人達がつくる3.peaksの商品です。【ネコポス可能】3.peaks　ショ&minus;トリ&minus;ドペンチ　　136mmSP-26[rn]
18-8370,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57334417.jpg?fitin=700:700,2172.0000,,花・ガーデン・DIY > DIY・工具 > その他,3.peaks　ダイヤ型ウォ－タ－　ビニールグリップ付　250mmWPP-250DG,熟練の職人達がつくる3.peaksの商品です,"【ここがポイント！】 
● 3枚合わせ構造で確実につかみ固定します。指をはさみにくいストッパー付 
 
【商品仕様】 
サイズ 250mm 
重量 390g 
材質 クロムバナジウム鋼 
硬さHRC 50～58（くわえ部） 
 
 
【使用範囲】 
六角ネジ 10～41mm 
パイプ φ6～43mm",3.peaks　ダイヤ型ウォ&minus;タ&minus;　ビニールグリップ付　250mmWPP-250DG：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング3.peaks　ダイヤ型ウォ&minus;タ&minus;　ビニールグリップ付　250mmWPP-250DG,熟練の職人達がつくる3.peaksの商品です。3.peaks　ダイヤ型ウォ&minus;タ&minus;　ビニールグリップ付　250mmWPP-250DG[rn]
18-8371,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57334247.jpg?fitin=700:700,2027.2000,,花・ガーデン・DIY > DIY・工具 > その他,【ネコポス可能】3.peaks　パワ－ニッパ　　165mmPN-165,熟練の職人達がつくる3.peaksの商品です,"【ここがポイント！】 
● 鋼が違う！ピアノ線、硬鋼線OK！ 
 

【商品仕様】 
サイズ 165mm 
重量 180g 
材質 SK85 
硬さHRC 62～67（刃部） 
刃角度 15° 
 
 

【切断能力】 
鉄線 φ1.9mm 
銅線 φ3.2mm 
ピアノ線・ステン線 φ1.0mm 
ブラスチック 可能 
VVF2芯 φ1.6mm 
より線 5.5mm2 
 
 
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと",【ネコポス可能】3.peaks　パワ&minus;ニッパ　　165mmPN-165：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】3.peaks　パワ&minus;ニッパ　　165mmPN-165,熟練の職人達がつくる3.peaksの商品です。【ネコポス可能】3.peaks　パワ&minus;ニッパ　　165mmPN-165[rn]
