18-13501,http://tshop.r10s.jp/yminfo/cabinet/00171276/kl-1630.jpg?fitin=700:700,444.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)コーナー金具　角　20×90mm　KL-2090　,コーナーの補強に。,"【ここがポイント！】 
● コーナーの金具。棚の補強等に大活躍です。ヘアーライン仕上げ。 
 
【商品仕様】 
L 90mm  
W 20mm 
T 3mm 
d 4.5mm 
A 15mm 
B 35mm 
C 30mm 
D 6.25mm 
材質 SUS304",MM　ステンレス（SUS304)コーナー金具　角　20&times;90mm　KL-2090　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)コーナー金具　角　20&times;90mm　KL-2090　,コーナーの補強に。。MM　ステンレス（SUS304)コーナー金具　角　20&times;90mm　KL-2090　[rn]
18-13558,http://tshop.r10s.jp/yminfo/cabinet/ikou_20090730/img1038560012.jpg?fitin=700:700,2028.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,Cカン　22ｍｍ,,＜PCより一部転載＞<br>B(mm)D(mm)L(mm)使用荷重（kg）          32      22      87      500    ステンレス製（SUS-304),Cカン　22ｍｍ：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングCカン　22ｍｍ,Cカン　22ｍｍ[rn]
18-13559,http://tshop.r10s.jp/yminfo/cabinet/00171276/mcs.jpg?fitin=700:700,1752.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　パワーCカン16mm　MCS-16,入れて連結,"<P><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/00171276/mcs.jpg width=100%> <BR><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/00171276/mcs-1.jpg  width=100%> <BR><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/00171276/mcs-2.jpg width=100%> <BR></p>
<P><BR>
<FONT size=-1><BR>
【ここがポイント！】 <BR>
連結できる！パワーCカン。平べったいです <BR>
【商品詳細】<BR>
材質　SUS304<BR>
こちらはMCS-16になります。数量1個の価格です</font></p>",MM　ステンレス（SUS304)　パワーCカン16mm　MCS-16：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　パワーCカン16mm　MCS-16,入れて連結。MM　ステンレス（SUS304)　パワーCカン16mm　MCS-16[rn]
18-13560,http://tshop.r10s.jp/yminfo/cabinet/ikou_20090730/img1038560012.jpg?fitin=700:700,332.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,Cカン　8ｍｍ,,＜PCより一部転載＞<br>B(mm)D(mm)L(mm)使用荷重（kg）          14      8      39      50    ステンレス製（SUS-304),Cカン　8ｍｍ：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングCカン　8ｍｍ,Cカン　8ｍｍ[rn]
18-13561,http://tshop.r10s.jp/yminfo/cabinet/ikou_20090730/img1038560012.jpg?fitin=700:700,2907.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,Cカン　25ｍｍ,,＜PCより一部転載＞<br>B(mm)D(mm)L(mm)使用荷重（kg）          35      25      100      750    ステンレス製（SUS-304),Cカン　25ｍｍ：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングCカン　25ｍｍ,Cカン　25ｍｍ[rn]
18-13562,http://tshop.r10s.jp/yminfo/cabinet/00171276/br-2.jpg?fitin=700:700,192720.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【頑張って送料無料！】MM　黄銅チェーン　8×30m　BR-8　,綺麗なチェーンです。アクセサリーに最適,"【ここがポイント！】 
● 素材を活かした美しい黄銅チェーン
 
 
【商品仕様】 
線径d 8mm  
内長P 38mm 
内巾W 12mm 
使用荷重 3.04kN 
耐力荷重 6.08kN 
長さ 30m 
重量 38.49kg 
材質 黄銅",【頑張って送料無料！】MM　黄銅チェーン　8&times;30m　BR-8　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【頑張って送料無料！】MM　黄銅チェーン　8&times;30m　BR-8　,綺麗なチェーンです。アクセサリーに最適。【頑張って送料無料！】MM　黄銅チェーン　8&times;30m　BR-8　[rn]
18-13563,http://tshop.r10s.jp/yminfo/cabinet/00171276/3t-b.jpg?fitin=700:700,34173.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【頑張って送料無料！】MM　ステンレス（SUS304)ツイストリングチェーン　4×30m　4T-B　,綺麗なチェーンです。アクセサリーに最適,"【ここがポイント！】 
● 錆びにくく美しいステンレスツイストリンクチェーン
 
 
【商品仕様】 
線径d 4mm  
内長P 24mm 
内巾W 6mm 
使用荷重 1.67kN 
耐力荷重 3.33kN 
長さ 30m 
重量 8.7kg 
材質 SUS304",【頑張って送料無料！】MM　ステンレス（SUS304)ツイストリングチェーン　4&times;30m　4T-B　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【頑張って送料無料！】MM　ステンレス（SUS304)ツイストリングチェーン　4&times;30m　4T-B　,綺麗なチェーンです。アクセサリーに最適。【頑張って送料無料！】MM　ステンレス（SUS304)ツイストリングチェーン　4&times;30m　4T-B　[rn]
18-13564,http://tshop.r10s.jp/yminfo/cabinet/00171276/br-2.jpg?fitin=700:700,75336.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【頑張って送料無料！】MM　黄銅チェーン　5×30m　BR-5　,綺麗なチェーンです。アクセサリーに最適,"【ここがポイント！】 
● 素材を活かした美しい黄銅チェーン
 
 
【商品仕様】 
線径d 5mm  
内長P 33mm 
内巾W 8.5mm 
使用荷重 1.47kN（150kgf） 
耐力荷重 2.94kN 
長さ 30m 
重量 13.77kg 
材質 黄銅",【頑張って送料無料！】MM　黄銅チェーン　5&times;30m　BR-5　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【頑張って送料無料！】MM　黄銅チェーン　5&times;30m　BR-5　,綺麗なチェーンです。アクセサリーに最適。【頑張って送料無料！】MM　黄銅チェーン　5&times;30m　BR-5　[rn]
18-13565,http://tshop.r10s.jp/yminfo/cabinet/00171276/b-2264.jpg?fitin=700:700,754.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　ポケットチェーンSP型　ブラック　φ1.2×300　B-2261　,携帯電話・財布の落下防止用チェーンとして,"【ここがポイント！】 
● 小さいチェーンなので携帯電話・ストラップ等落下防止用のチェーンとしてご利用いただけます。 
● 先がネジシャックルとミニクリップの2タイプ。色はシルバー・ゴールド・ブラックの3種類あります。 
● 商品は図面の1番、カラーはブラックになります 
 
【商品仕様】 
チェーン 1.2mm 
チェーン長さ 300mm 
二重リンク径 14mm 
先端 ネジシャックルSP-2 
使用荷重 0.01kN（1kgf） 
材質 SUS304（電解塗装）",MM　ステンレス（SUS304)　ポケットチェーンSP型　ブラック　φ1.2&times;300　B-2261　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　ポケットチェーンSP型　ブラック　φ1.2&times;300　B-2261　,携帯電話・財布の落下防止用チェーンとして。MM　ステンレス（SUS304)　ポケットチェーンSP型　ブラック　φ1.2&times;300　B-2261　[rn]
18-13566,http://tshop.r10s.jp/yminfo/cabinet/00171276/2ag.jpg?fitin=700:700,20591.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【頑張って送料無料！】MM　高級ミニチェーン　ゴールド（写真上）　2×15m　2AGMM　ステンレス（SUS304）　チェーンに18Kメッキ　,綺麗なチェーンです。アクセサリーに最適,"【ここがポイント！】 
● 素材を活かした美しい高級ミニチェーン
 
 
【商品仕様】 
線径d 2mm  
内長P 12mm 
内巾W 3.5mm 
使用荷重 0.29kN（30kgf） 
長さ 15m 
重量 1.13kg 
材質 SUS304+18金メッキ",【頑張って送料無料！】MM　高級ミニチェーン　ゴールド（写真上）　2&times;15m　2AGMM　ステンレス（SUS304）　チェーンに18Kメッキ　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【頑張って送料無料！】MM　高級ミニチェーン　ゴールド（写真上）　2&times;15m　2AGMM　ステンレス（SUS304）　チェーンに18Kメッキ　,綺麗なチェーンです。アクセサリーに最適。【頑張って送料無料！】MM　高級ミニチェーン　ゴールド（写真上）　2&times;15m　2AGMM　ステンレス（SUS304）　チェーンに18Kメッキ　[rn]
18-13567,http://tshop.r10s.jp/yminfo/cabinet/00171276/cf-6a.jpg?fitin=700:700,1052.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)チェーンホルダー着脱用　CF-6A　,チェーンを引っ掛けて固定,"【ここがポイント！】 
● チェーンを固定するチェーンホルダー 
 
【商品仕様】 
L1 77mm  
L2 57mm 
W1 62mm 
W2 40mm 
H 28mm 
S 25mm 
A 6.5mm 
B 34mm 
d 8.2mm 
T 4mm 
使用チェーン 6-B 
材質 SUS304",MM　ステンレス（SUS304)チェーンホルダー着脱用　CF-6A　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)チェーンホルダー着脱用　CF-6A　,チェーンを引っ掛けて固定。MM　ステンレス（SUS304)チェーンホルダー着脱用　CF-6A　[rn]
18-13568,http://tshop.r10s.jp/yminfo/cabinet/00171276/cf-3a.jpg?fitin=700:700,205.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)チェーンホルダー着脱用　CF-3A　,チェーンを引っ掛けて固定,"【ここがポイント！】 
● チェーンを固定するチェーンホルダー 
 
【商品仕様】 
L1 40mm  
L2 30mm 
W1 25mm 
W2 - 
H 12mm 
S 16mm 
A 3.3mm 
B 17mm 
d 4.2mm 
T 2mm 
使用チェーン 3-A、3-B 
材質 SUS304",MM　ステンレス（SUS304)チェーンホルダー着脱用　CF-3A　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)チェーンホルダー着脱用　CF-3A　,チェーンを引っ掛けて固定。MM　ステンレス（SUS304)チェーンホルダー着脱用　CF-3A　[rn]
18-13569,http://tshop.r10s.jp/yminfo/cabinet/metalparts/1038566058.jpg?fitin=700:700,1191.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,ツイストシャックル　10mm,,D：10(mm) <BR>L：50(mm) <BR>B：20(mm) <BR>d：20(mm)<BR>重量：132（g)<BR>使用荷重：350（kg） <BR>　ステンレス製（SUS-304),ツイストシャックル　10mm：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングツイストシャックル　10mm,ツイストシャックル　10mm[rn]
18-13570,http://tshop.r10s.jp/yminfo/cabinet/ikou_20090730_001/img1038564854.jpg?fitin=700:700,6096.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,カットレギュラーチェーン 12ｍｍ,,,カットレギュラーチェーン 12ｍｍ：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングカットレギュラーチェーン 12ｍｍ,カットレギュラーチェーン 12ｍｍ[rn]
18-13571,http://tshop.r10s.jp/yminfo/cabinet/metalparts/1038583100.jpg?fitin=700:700,448.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,角シャックル　9mm,,●ステンレス製（SUS-304)<BR><BR>L：36(mm) <BR>D：9（mm）<BR>d：18(mm)<BR>B：19（mm) <BR>重量：78(g）<BR>使用荷重：250（kg）,角シャックル　9mm：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング角シャックル　9mm,角シャックル　9mm[rn]
18-13572,http://tshop.r10s.jp/yminfo/cabinet/00171276/d-001.jpg?fitin=700:700,742.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　セーフティーミニチェーン　φ4×600mm　D-002,1回通してがっちり固定,"【ここがポイント！】 
● 両端に楕円リンクを採用しているので、1回通して対象物をしっかりホールド
 
● 自転車・オートバイ等の盗難防止やハシゴの転倒防止、門扉の施錠など身の回りをしっかりガード！ 
 
【商品仕様】 
L 600mm  
D1 4mm 
L1 26mm 
W1 12mm 
D2 2.5mm 
L2 14mm 
W2 4.5mm 
使用荷重 0.59kN（60kgf） 
材質 SUS304",MM　ステンレス（SUS304)　セーフティーミニチェーン　φ4&times;600mm　D-002：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　セーフティーミニチェーン　φ4&times;600mm　D-002,1回通してがっちり固定。MM　ステンレス（SUS304)　セーフティーミニチェーン　φ4&times;600mm　D-002[rn]
18-13573,http://tshop.r10s.jp/yminfo/cabinet/metalparts/1038564531.jpg?fitin=700:700,617.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,ネジシャックル　12mm,,●ステンレス製（SUS-304)<BR><BR>L：48(mm) <BR>D：12（mm）<BR>d：24(mm)<BR>B：24(mm) <BR>重量：203(g）<BR>使用荷重：350（kg）,ネジシャックル　12mm：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングネジシャックル　12mm,ネジシャックル　12mm[rn]
18-13574,http://tshop.r10s.jp/yminfo/cabinet/00171276/3t-b.jpg?fitin=700:700,43283.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【頑張って送料無料！】MM　ステンレス（SUS304)ツイストリングチェーン　5×30m　5T-B　,綺麗なチェーンです。アクセサリーに最適,"【ここがポイント！】 
● 錆びにくく美しいステンレスツイストリンクチェーン
 
 
【商品仕様】 
線径d 5mm  
内長P 25mm 
内巾W 7mm 
使用荷重 2.45kN 
耐力荷重 4.90kN 
長さ 30m 
重量 14.1kg 
材質 SUS304",【頑張って送料無料！】MM　ステンレス（SUS304)ツイストリングチェーン　5&times;30m　5T-B　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【頑張って送料無料！】MM　ステンレス（SUS304)ツイストリングチェーン　5&times;30m　5T-B　,綺麗なチェーンです。アクセサリーに最適。【頑張って送料無料！】MM　ステンレス（SUS304)ツイストリングチェーン　5&times;30m　5T-B　[rn]
18-13575,http://tshop.r10s.jp/yminfo/cabinet/metalparts/1038557924.jpg?fitin=700:700,476.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,沈みシャックル　9mm,,●ステンレス製（SUS-304)<BR><BR>D：9（mm）<BR>L：35(mm) <BR>B：18（mm) <BR>d：17(mm）<BR>重量：72(g）<BR>使用荷重：250（kg）,沈みシャックル　9mm：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング沈みシャックル　9mm,沈みシャックル　9mm[rn]
18-13576,http://tshop.r10s.jp/yminfo/cabinet/00171276/3t-b.jpg?fitin=700:700,61504.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【頑張って送料無料！】MM　ステンレス（SUS304)ツイストリングチェーン　6×30m　6T-B　,綺麗なチェーンです。アクセサリーに最適,"【ここがポイント！】 
● 錆びにくく美しいステンレスツイストリンクチェーン
 
 
【商品仕様】 
線径d 6mm  
内長P 28mm 
内巾W 9mm 
使用荷重 3.43kN 
耐力荷重 6.86kN 
長さ 30m 
重量 20.7kg 
材質 SUS304",【頑張って送料無料！】MM　ステンレス（SUS304)ツイストリングチェーン　6&times;30m　6T-B　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【頑張って送料無料！】MM　ステンレス（SUS304)ツイストリングチェーン　6&times;30m　6T-B　,綺麗なチェーンです。アクセサリーに最適。【頑張って送料無料！】MM　ステンレス（SUS304)ツイストリングチェーン　6&times;30m　6T-B　[rn]
18-13577,http://tshop.r10s.jp/yminfo/cabinet/00171276/slu-6.jpg?fitin=700:700,1927.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)SLUシャックル8mm　SLU-8販売は1個になります,緩み止ナットタイプのシャックルです！,"【ここがポイント！】 
● ゆるみ止ナットタイプのシャックル。従来のSBUシャックルと比較して長さも幅も約2倍 
 
【商品仕様】 
こちらSLU-8になります。
材質：ステンレスSUS304",MM　ステンレス（SUS304)SLUシャックル8mm　SLU-8販売は1個になります：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)SLUシャックル8mm　SLU-8販売は1個になります,緩み止ナットタイプのシャックルです！。MM　ステンレス（SUS304)SLUシャックル8mm　SLU-8販売は1個になります[rn]
18-13578,http://tshop.r10s.jp/yminfo/cabinet/00171276/cu-2.jpg?fitin=700:700,175200.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【頑張って送料無料！】MM　銅チェーン　7×30m　CU-7　,綺麗なチェーンです。アクセサリーに最適,"【ここがポイント！】 
● 素材を活かした美しい銅チェーン
 
 
【商品仕様】 
線径d 7mm  
内長P 37mm 
内巾W 11mm 
使用荷重 0.78kN（80kgf） 
耐力荷重 1.57kN 
長さ 30m 
重量 30.12kg 
材質 銅",【頑張って送料無料！】MM　銅チェーン　7&times;30m　CU-7　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【頑張って送料無料！】MM　銅チェーン　7&times;30m　CU-7　,綺麗なチェーンです。アクセサリーに最適。【頑張って送料無料！】MM　銅チェーン　7&times;30m　CU-7　[rn]
18-13579,http://tshop.r10s.jp/yminfo/cabinet/metalparts/1038564531.jpg?fitin=700:700,388.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,ネジシャックル　9mm,,●ステンレス製（SUS-304)<BR><BR>L：36(mm) <BR>D：9（mm）<BR>d：18(mm)<BR>B：18(mm) <BR>重量：82(g）<BR>使用荷重：250（kg）,ネジシャックル　9mm：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングネジシャックル　9mm,ネジシャックル　9mm[rn]
18-13580,http://tshop.r10s.jp/yminfo/cabinet/00171276/b-2264.jpg?fitin=700:700,696.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　ポケットチェーンMP型　ブラック　φ1.2×300　B-2262　,携帯電話・財布の落下防止用チェーンとして,"【ここがポイント！】 
● 小さいチェーンなので携帯電話・ストラップ等落下防止用のチェーンとしてご利用いただけます。 
● 先がネジシャックルとミニクリップの2タイプ。色はシルバー・ゴールド・ブラックの3種類あります。 
● 商品は図面の2番、カラーはブラックになります 
 
【商品仕様】 
チェーン 1.2mm 
チェーン長さ 300mm 
二重リンク径 14mm 
先端 ミニクリップMP-0 
使用荷重 0.01kN（1kgf） 
材質 SUS304（電解塗装）",MM　ステンレス（SUS304)　ポケットチェーンMP型　ブラック　φ1.2&times;300　B-2262　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　ポケットチェーンMP型　ブラック　φ1.2&times;300　B-2262　,携帯電話・財布の落下防止用チェーンとして。MM　ステンレス（SUS304)　ポケットチェーンMP型　ブラック　φ1.2&times;300　B-2262　[rn]
18-13581,http://tshop.r10s.jp/yminfo/cabinet/00171276/slu-6.jpg?fitin=700:700,2698.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)SLUシャックル10mm　SLU-10,緩み止ナットタイプのシャックルです！,"【ここがポイント！】 
● ゆるみ止ナットタイプのシャックル。従来のSBUシャックルと比較して長さも幅も約2倍 
 
【商品仕様】 
こちらSLU-10になります。
材質：ステンレスSUS304",MM　ステンレス（SUS304)SLUシャックル10mm　SLU-10：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)SLUシャックル10mm　SLU-10,緩み止ナットタイプのシャックルです！。MM　ステンレス（SUS304)SLUシャックル10mm　SLU-10[rn]
18-13582,http://tshop.r10s.jp/yminfo/cabinet/00171276/bf-1.jpg?fitin=700:700,210.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　ワイヤーフック　BF-1　,コードやワイヤーを引っ掛けて,"【ここがポイント！】 
● ちょっとした引っ掛けに便利なフック 
 
【商品仕様】 
D 5mm  
L 70mm 
L2 21mm 
W 35mm 
H 21mm 
S 11mm 
使用荷重 0.10N（10kgf） 
材質 SUS304",MM　ステンレス（SUS304)　ワイヤーフック　BF-1　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　ワイヤーフック　BF-1　,コードやワイヤーを引っ掛けて。MM　ステンレス（SUS304)　ワイヤーフック　BF-1　[rn]
18-13583,http://tshop.r10s.jp/yminfo/cabinet/00171276/ps-3c.jpg?fitin=700:700,228.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)カラーリベット式シャックル5mm　PS-5　全5色,外れない！叩くだけ！リベット式です。,"【ここがポイント！】 
● ハンマーで叩くと外れません！
レッド・ブルー・グリーン・ブラウン・ブラックの5色！リベットには色はついてません 
 
【商品仕様】 
こちらPS-5になります。
材質：ステンレスSUS304",MM　ステンレス（SUS304)カラーリベット式シャックル5mm　PS-5　全5色：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)カラーリベット式シャックル5mm　PS-5　全5色,外れない！叩くだけ！リベット式です。。MM　ステンレス（SUS304)カラーリベット式シャックル5mm　PS-5　全5色[rn]
18-13584,http://tshop.r10s.jp/yminfo/cabinet/00171276/g-1.jpg?fitin=700:700,701.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　ワリカン　16mm　G-16　,チェーンをつないだりする際に,"【ここがポイント！】 
● チェーンをつなぐ際に使用します。寸法はワリカンを閉じた時の寸法です。 
 
【商品仕様】 
D 16mm  
L 64mm 
W 24mm 
使用荷重 2.45N（250kgf） 
材質 SUS304",MM　ステンレス（SUS304)　ワリカン　16mm　G-16　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　ワリカン　16mm　G-16　,チェーンをつないだりする際に。MM　ステンレス（SUS304)　ワリカン　16mm　G-16　[rn]
18-13585,http://tshop.r10s.jp/yminfo/cabinet/metalparts/1038580407.jpg?fitin=700:700,3962.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,コデベルシャックル16mm,,●ステンレス製（SUS-304)<BR>●六角棒レンチで開け閉めしますので、防犯用に適しています。<BR>※六角棒レンチは付属しております,コデベルシャックル16mm：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングコデベルシャックル16mm,コデベルシャックル16mm[rn]
