27-9901,http://tshop.r10s.jp/egaos/cabinet/trusco-a/4/4044584.jpg?fitin=700:700,9882.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＮＯＧＡ　２－４２内径用ブレード６０°刃先１４°ＨＳＳ　ＫＰ０１３４０１４,,■用途<br>●２―４２内径カウンターシンク６０°用替刃<br><br>■仕様<br>●材質:高速度鋼<br>●適用本体:KP01-116<br>●刃先すくい角(°):14<br>●コーナー数:2<br>●面取り角度(°):60<br>●型式タイプ:2-42<br><br>■材質・仕上げ<br>●ハイス鋼,ＮＯＧＡ　２&minus;４２内径用ブレード６０&deg;刃先１４&deg;ＨＳＳ　ＫＰ０１３４０１４：GAOS　楽天市場店,ＮＯＧＡ　２&minus;４２内径用ブレード６０&deg;刃先１４&deg;ＨＳＳ　ＫＰ０１３４０１４,ＮＯＧＡ　２&minus;４２内径用ブレード６０&deg;刃先１４&deg;ＨＳＳ　ＫＰ０１３４０１４[rn]
27-9951,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4352831.jpg?fitin=700:700,453.6000,,花・ガーデン・DIY > DIY・工具 > その他,トンボ　プラ境界杭　ＷＡ７０赤　７０Ｘ７０Ｘ６００　赤キャップ付　ＷＡ７０Ｒ,,■用途<br>●測量会社・市町村・土地改良・国土調査用の民間境の杭に。<br>●草地・粘土質の畑・山林・砂地・水田などに。<br><br>■特長<br>●再生プラスチック利用によるエコマーク認定商品です。<br>●木製杭と比べ耐久性に優れ、腐食・劣化がありません。<br>●測量会社・市町村・土地改良・国土調査用の民間境の杭に最適です。<br><br>■仕様<br>●高さ(mm):600<br>●幅(mm):70<br>●キャップ色:赤<br>●天面刻印:田<br><br>■材質・仕上げ<br>●ポリプロピレン（ＰＰ）とポリエチレン（ＰＥ）の再生プラスチック<br><br>■注意事項<br>●熱可塑性樹脂を使用しているため、火気に近づけると変形する恐れがあります。<br>●横方向に衝撃を加えると折れる原因になることがございます。,トンボ　プラ境界杭　ＷＡ７０赤　７０Ｘ７０Ｘ６００　赤キャップ付　ＷＡ７０Ｒ：GAOS　楽天市場店,トンボ　プラ境界杭　ＷＡ７０赤　７０Ｘ７０Ｘ６００　赤キャップ付　ＷＡ７０Ｒ,トンボ　プラ境界杭　ＷＡ７０赤　７０Ｘ７０Ｘ６００　赤キャップ付　ＷＡ７０Ｒ[rn]
27-9952,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/7515278.jpg?fitin=700:700,604.8000,,花・ガーデン・DIY > DIY・工具 > その他,たくみ　７ＣＯＬＯＲ　細　イエロー　５００Ｍ　４８００,,■用途<br>●基礎工事、一般測量用に。<br>●土木、建築、一般測量用。<br><br>■特長<br>●伸縮ハンドルで、２通りの持ち方ができます。<br>●糸の残量がわかるABS樹脂製リールです。<br>●水糸専用の高品質ナイロンを使用しています。<br><br>■仕様<br>●色:蛍光イエロー<br>●線径(mm):約0.5mm<br>●糸長さ(m):500<br><br>■材質・仕上げ<br>●水糸：ナイロン<br>●リール：ＡＢＳ<br>●回転軸：ＰＳ,たくみ　７ＣＯＬＯＲ　細　イエロー　５００Ｍ　４８００：GAOS　楽天市場店,たくみ　７ＣＯＬＯＲ　細　イエロー　５００Ｍ　４８００,たくみ　７ＣＯＬＯＲ　細　イエロー　５００Ｍ　４８００[rn]
27-9953,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/3871568.jpg?fitin=700:700,2133.6000,,花・ガーデン・DIY > DIY・工具 > その他,タジマ　オプティマレベル１７０　金　ＯＰＴ１７０Ｇ,,■用途<br>●一般測定用水平器として。<br><br>■特長<br>●パイプにしっかり固定できるV字溝測定面です。<br>●本体上下の測定面でのマルチ測定が可能です。<br>●衝撃吸収バンパーを両端面に搭載しています。<br>●左右に2種類の通し孔付です。<br>●磁束密度約330ミリテスラ（mT）の強力ネオジ磁石付です。<br><br>■仕様<br>●長さ(mm):170<br>●高さ(mm):47<br>●厚み(mm):24<br>●マグネット:2ヵ所<br>●色:金<br>●精度:0.057°<br>●精度:±1.00mm/m=0.057°(水平）<br>●感度:-<br><br>■材質・仕上げ<br>●本体:アルミニウム<br>●気泡管:アクリル樹脂（PMMA）<br><br>■注意事項<br>●万が一気泡管の破損等による液漏れで身体に液が付着した場合は直ちに清浄な水で洗い流して下さい。目に入った場合は眼科医の手当てを受けて下さい。,タジマ　オプティマレベル１７０　金　ＯＰＴ１７０Ｇ：GAOS　楽天市場店,タジマ　オプティマレベル１７０　金　ＯＰＴ１７０Ｇ,タジマ　オプティマレベル１７０　金　ＯＰＴ１７０Ｇ[rn]
27-9954,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4745469.jpg?fitin=700:700,1620.0000,,花・ガーデン・DIY > DIY・工具 > その他,ＫＯＤ　マグネット付Ｉ型アルミ水平器　Ｌ１７０ＭＱ２３０ＭＭ,,■用途<br>●水平・垂直・45°の測定に。<br><br>■特長<br>●アイビーム型アルミ水平器のプロ仕様版です。<br>●端面カバー搭載で丈夫です。<br>●大型気泡管で見やすいです。<br>●磁石付で鉄骨工事の測定に便利です。<br><br>■仕様<br>●長さ(mm):230<br>●高さ(mm):56<br>●厚み(mm):26<br>●マグネット:1ヶ所<br>●感度:0.5mm/0.0286°<br>●精度:±1.5mm/ｍ=±0.0859°以内<br>●精度:±1.5mm/m=±0.0859°以内<br>●感度:0.5mm/m=0.0286°<br><br>■材質・仕上げ<br>●本体：アルミニウム<br>●気泡管：アクリル樹脂(PMMA),ＫＯＤ　マグネット付Ｉ型アルミ水平器　Ｌ１７０ＭＱ２３０ＭＭ：GAOS　楽天市場店,ＫＯＤ　マグネット付Ｉ型アルミ水平器　Ｌ１７０ＭＱ２３０ＭＭ,ＫＯＤ　マグネット付Ｉ型アルミ水平器　Ｌ１７０ＭＱ２３０ＭＭ[rn]
27-9955,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4104650.jpg?fitin=700:700,1620.0000,,花・ガーデン・DIY > DIY・工具 > その他,エビスダイヤモンド　クリスタルレベル　ＥＤ１０ＣＬＳ,,■用途<br>●水平・垂直・直角測定に。<br><br>■特長<br>●全面が測定面として使用できます。<br>●透明なので透かして測れます。<br>●小さくて携帯に便利です。<br><br>■仕様<br>●長さ(mm):100<br>●高さ(mm):40<br>●厚み(mm):15<br>●マグネット:なし<br>●精度:±2.50mm/m=±0.1432°以内<br>●感度:0.50mm/m=0.0286°<br><br>■材質・仕上げ<br>●本体：アクリル樹脂（PMMA）<br>●気泡管：アクリル樹脂（PMMA),エビスダイヤモンド　クリスタルレベル　ＥＤ１０ＣＬＳ：GAOS　楽天市場店,エビスダイヤモンド　クリスタルレベル　ＥＤ１０ＣＬＳ,エビスダイヤモンド　クリスタルレベル　ＥＤ１０ＣＬＳ[rn]
27-9956,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/3857280.jpg?fitin=700:700,9385.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＳＴＳ　デジタルウォーキングメジャー　ＤＷＳ－１６０Ｃ　ＤＷＳ１６０Ｃ,,■用途<br>●各種建築土木工事や見積、保険調査やスポーツ等<br><br>■特長<br>●信頼のデジタル表示です。<br>●バックライト付液晶表示で夜間でも数値読み取りが容易です。<br>●測定値が表示される液晶画面が手元にあるので、数値の確認が容易です。<br>●はね上げ式自立スタンド付です。<br>●収納ナイロンケース付です。<br>●最小表示0.02ｍ（2ｃｍ）<br>●面積計算機能搭載<br>●壁面がある場合に便利なモード切替機能付<br>●測定数値を固定できるホールド機能付<br><br>■仕様<br>●測定範囲:2cm～9999999.98m<br>●車輪径(mm):160<br>●縮長～全長(mm):680～1120<br>●電源:単4乾電池×2本<br>●測定誤差範囲:±0.5％<br>●電源:単4アルカリ乾電池×2本（付属）<br>●オートパワーＯＦＦ:有、最後に操作又は静止後約5分<br>●表示桁数:9,ＳＴＳ　デジタルウォーキングメジャー　ＤＷＳ&minus;１６０Ｃ　ＤＷＳ１６０Ｃ：GAOS　楽天市場店,ＳＴＳ　デジタルウォーキングメジャー　ＤＷＳ&minus;１６０Ｃ　ＤＷＳ１６０Ｃ,ＳＴＳ　デジタルウォーキングメジャー　ＤＷＳ&minus;１６０Ｃ　ＤＷＳ１６０Ｃ[rn]
27-9957,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/2465701.jpg?fitin=700:700,26324.0000,,花・ガーデン・DIY > DIY・工具 > その他,ＳＴＳ　測量器用三脚　ＳＴＳ－ＥＬ　エレベーター式５／８インチ　ＳＴＳＥＬ,,<br><br>■特長<br>●腰をかがめず、ワンタッチで簡単に脚の伸縮ができます。<br><br>■仕様<br>●ねじ径(インチ):5/8<br>●縮長～全長(mm):910～1630<br><br>■材質・仕上げ<br>●アルミ合金,ＳＴＳ　測量器用三脚　ＳＴＳ&minus;ＥＬ　エレベーター式５／８インチ　ＳＴＳＥＬ：GAOS　楽天市場店,ＳＴＳ　測量器用三脚　ＳＴＳ&minus;ＥＬ　エレベーター式５／８インチ　ＳＴＳＥＬ,ＳＴＳ　測量器用三脚　ＳＴＳ&minus;ＥＬ　エレベーター式５／８インチ　ＳＴＳＥＬ[rn]
27-9958,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4105826.jpg?fitin=700:700,525.6000,,花・ガーデン・DIY > DIY・工具 > その他,エビスダイヤモンド　丸型気泡管φ１６　Ｒ１６,,■用途<br>●水平測定に。<br><br>■特長<br>●機器に取り付けができます。<br><br>■仕様<br>●高さ(mm):8.5<br>●マグネット:なし<br>●感度:0.50mm/m=0.0286°<br>●直径(mm):16<br><br>■材質・仕上げ<br>●本体：アクリル樹脂（PMMA）<br>●気泡管：アクリル樹脂(PMMA),エビスダイヤモンド　丸型気泡管φ１６　Ｒ１６：GAOS　楽天市場店,エビスダイヤモンド　丸型気泡管φ１６　Ｒ１６,エビスダイヤモンド　丸型気泡管φ１６　Ｒ１６[rn]
27-9959,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4105907.jpg?fitin=700:700,1620.0000,,花・ガーデン・DIY > DIY・工具 > その他,エビスダイヤモンド　丸型気泡管φ２５・取付タイプ　Ｒ２５Ｔ,,■用途<br>●水平測定に。<br><br>■特長<br>●機器に取り付けができます。<br>●ホルダー付でねじ止めできます。<br><br>■仕様<br>●高さ(mm):11.5<br>●マグネット:なし<br>●感度:0.50mm/m=0.0286°<br>●直径(mm):42<br><br>■材質・仕上げ<br>●本体：アクリル樹脂（PMMA）<br>●ホルダ：アルミ合金<br>●気泡管：アクリル樹脂(PMMA),エビスダイヤモンド　丸型気泡管φ２５・取付タイプ　Ｒ２５Ｔ：GAOS　楽天市場店,エビスダイヤモンド　丸型気泡管φ２５・取付タイプ　Ｒ２５Ｔ,エビスダイヤモンド　丸型気泡管φ２５・取付タイプ　Ｒ２５Ｔ[rn]
27-9960,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/3771521.jpg?fitin=700:700,1364.8000,,花・ガーデン・DIY > DIY・工具 > その他,タジマ　Ｇロック－１９　５．５ｍ／尺相当目盛付／ブリスター　ＧＬ１９５５ＳＢＬ,,■用途<br>●一般測定用コンベックス。<br><br>■特長<br>●尺相当目盛付です。<br>●弾力ある弾性樹脂でコンベ全体をガード、落としても建材を傷つけにくいです。<br><br>■仕様<br>●テープ長さ(m):5.5<br>●テープ幅(mm):19<br>●水平保持(m):1.8<br>●移動爪<br>●ロックタイプ<br>●片面目盛<br>●455mmピッチ表示:あり<br>●減速ボタン:なし<br>●ショックアブソーバー:あり<br><br>■材質・仕上げ<br>●テープ:スチール<br><br>■注意事項<br>●本製品には通電性があります。感電に注意して下さい。<br>●テープのエッジで手を切る恐れがありますので、手袋を着用して下さい。,タジマ　Ｇロック&minus;１９　５．５ｍ／尺相当目盛付／ブリスター　ＧＬ１９５５ＳＢＬ：GAOS　楽天市場店,タジマ　Ｇロック&minus;１９　５．５ｍ／尺相当目盛付／ブリスター　ＧＬ１９５５ＳＢＬ,タジマ　Ｇロック&minus;１９　５．５ｍ／尺相当目盛付／ブリスター　ＧＬ１９５５ＳＢＬ[rn]
27-9961,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4105796.jpg?fitin=700:700,570.4000,,花・ガーデン・DIY > DIY・工具 > その他,エビスダイヤモンド　丸型気泡管φ１３　Ｒ１３,,■用途<br>●水平測定に。<br><br>■特長<br>●機器に取り付けができます。<br><br>■仕様<br>●高さ(mm):8<br>●マグネット:なし<br>●感度:1.50mm/m=0.0859°<br>●直径(mm):13<br><br>■材質・仕上げ<br>●本体：アクリル樹脂（PMMA）<br>●気泡管：アクリル樹脂(PMMA),エビスダイヤモンド　丸型気泡管φ１３　Ｒ１３：GAOS　楽天市場店,エビスダイヤモンド　丸型気泡管φ１３　Ｒ１３,エビスダイヤモンド　丸型気泡管φ１３　Ｒ１３[rn]
27-9962,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/3825108.jpg?fitin=700:700,2560.0000,,花・ガーデン・DIY > DIY・工具 > その他,マイゾックス　ハンディススチールグリーンボード　ＳＧ－１０６Ａ　ＳＧ１０６Ａ,,■用途<br>●現場写真工事記録<br><br>■特長<br>●耐久性に優れたスチールボードです。<br>●出し入れ簡単なトライアングルネット付です。<br><br>■仕様<br>●縦(mm):450<br>●横(mm):600<br>●暗線入<br>●緑色板面<br><br>■セット内容・付属品<br>●チョーク2本<br>●黒板消し1個<br>●収納ネット<br>●スタンド,マイゾックス　ハンディススチールグリーンボード　ＳＧ&minus;１０６Ａ　ＳＧ１０６Ａ：GAOS　楽天市場店,マイゾックス　ハンディススチールグリーンボード　ＳＧ&minus;１０６Ａ　ＳＧ１０６Ａ,マイゾックス　ハンディススチールグリーンボード　ＳＧ&minus;１０６Ａ　ＳＧ１０６Ａ[rn]
27-9963,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/7569122.jpg?fitin=700:700,690.4000,,花・ガーデン・DIY > DIY・工具 > その他,シンワ　ミニレベルＡ　７６０３７,,■用途<br>●水平の確認に。<br>●水平の確認に使用するレベル<br><br>■特長<br>●機械・機具等にビスで取り付けて使用できます。<br><br>■仕様<br>●高さ(mm):11<br>●マグネット:なし<br>●直径(mm):45<br>●精度:±2.5ｍｍ/m<br>●感度:0.5mm/ｍ<br><br>■材質・仕上げ<br>●本体：アクリル樹脂<br>●液体：石油系液<br><br>■注意事項<br>●測定面にゴミの付着や突起が無い事を確認してください,シンワ　ミニレベルＡ　７６０３７：GAOS　楽天市場店,シンワ　ミニレベルＡ　７６０３７,シンワ　ミニレベルＡ　７６０３７[rn]
27-9964,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/2920727.jpg?fitin=700:700,2332.0000,,花・ガーデン・DIY > DIY・工具 > その他,ＫＤＳ　ゴムタフミックカプセル１２巾３０ｍ個箱　ＧＫ１２３０Ｎ,,■用途<br>●耐水性・耐薬品性・電気絶縁性が必要な測定に。<br><br>■特長<br>●滑りにくいゴムタッチでホールド感に優れています。<br>●折れない、水洗いができる耐薬品性、電気絶縁性があるガラス繊維テープです。<br>●白/黄ツートンカラー両面目盛です。（表面:白色/2mm目盛・裏面:黄色/5mm目盛）<br><br>■仕様<br>●テープ長さ(m):30<br>●テープ幅(mm):12<br>●テープ厚(mm):0.5<br>●標準張力:10N<br>●JIS1級<br>●455mmピッチ表示:なし<br><br>■材質・仕上げ<br>●テープ:ガラス繊維,ＫＤＳ　ゴムタフミックカプセル１２巾３０ｍ個箱　ＧＫ１２３０Ｎ：GAOS　楽天市場店,ＫＤＳ　ゴムタフミックカプセル１２巾３０ｍ個箱　ＧＫ１２３０Ｎ,ＫＤＳ　ゴムタフミックカプセル１２巾３０ｍ個箱　ＧＫ１２３０Ｎ[rn]
27-9965,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/2297001.jpg?fitin=700:700,2020.0000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　箱型アルミレベル　マグネット付　１５０ｍｍ　ＬＡＢＭ１５０,,■用途<br>●水平・垂直測定に。<br><br>■特長<br>●レンズ効果で大きく見えるカマボコ型気泡管です。（水平）<br>●箱型フレーム・スケール目盛付です。<br>●蓄光シート、精度保持耐ショックカバー付です。<br>●4本目盛入です。<br>●垂直気泡管付です。<br>●調整方法:水平・垂直精度はそれぞれトルクスドライバーT10番で調節してください。（LAB-100、LABM-100の垂直は除く）<br>●磁石付で鉄骨工事の測定に便利です。<br>●垂直測定用端面マド付です。<br><br>■仕様<br>●長さ(mm):150<br>●高さ(mm):50.5<br>●厚み(mm):19<br>●マグネット:1ヵ所<br>●垂直気泡管:付<br>●精度:±1.5mm/m=±0.0859°以内<br>●感度:0.5mm/m=0.0286°<br>●マグネット付<br><br>■材質・仕上げ<br>●本体:アルミニウム<br>●気泡管:アクリル樹脂（PMMA）,ＴＲＵＳＣＯ　箱型アルミレベル　マグネット付　１５０ｍｍ　ＬＡＢＭ１５０：GAOS　楽天市場店,ＴＲＵＳＣＯ　箱型アルミレベル　マグネット付　１５０ｍｍ　ＬＡＢＭ１５０,ＴＲＵＳＣＯ　箱型アルミレベル　マグネット付　１５０ｍｍ　ＬＡＢＭ１５０[rn]
27-9966,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4443594.jpg?fitin=700:700,410.4000,,花・ガーデン・DIY > DIY・工具 > その他,タジマ　パーフェクト下地キャッチ２５用針（５本入）　ＰＷＳＣＨ２５,,■用途<br>●下地検知器用針<br><br>■特長<br>●強くて細いフッ素樹脂加工針の為、壁の傷を最小限に抑えます。<br><br>■仕様<br>●先端径(mm):0.7<br>●探知壁厚(mm):25<br>●適合機種:PW-SC25、PW-SC25M<br>●内容量:5本入り<br><br>■材質・仕上げ<br>●針:ステンレス,タジマ　パーフェクト下地キャッチ２５用針（５本入）　ＰＷＳＣＨ２５：GAOS　楽天市場店,タジマ　パーフェクト下地キャッチ２５用針（５本入）　ＰＷＳＣＨ２５,タジマ　パーフェクト下地キャッチ２５用針（５本入）　ＰＷＳＣＨ２５[rn]
27-9967,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/3981771.jpg?fitin=700:700,2916.0000,,花・ガーデン・DIY > DIY・工具 > その他,タジマ　モバイルレベル１２０　赤　ＭＬ１２０,,■用途<br>●水平、垂直の測定に。<br><br>■特長<br>●磁石付携帯型アルミ製水平器です。<br>●パイプにしっかり固定できるV字溝測定面です。<br>●大型通し孔付です。<br>●暗所でも読める蓄光プレートを採用しています。<br>●磁束密度約330ミリテスラ（mT）の強力ネオジ磁石を搭載しています。<br><br>■仕様<br>●長さ(mm):120<br>●高さ(mm):45<br>●厚み(mm):18<br>●マグネット:1ヵ所<br>●色:赤<br>●精度:0.0859°<br>●精度:1.50mm/m=0.08590°<br>●感度:-<br>●磁束密度約330ミリテスラ(mT)<br>●※10ガウス(G)＝1ミリテスラ(mT)<br>●＜指標線数＞ 水平:6本リング<br>●＜気泡管精度＞±1.5mm／1m(±0.0859°以内)<br>●アルミダイカストボディ<br><br>■材質・仕上げ<br>●本体：アルミダイカスト<br>●気泡管：アクリル樹脂(PMMA)<br><br>■注意事項<br>●万が一気泡管の破損等による液漏れで身体に液が付着した場合は直ちに清浄な水で洗い流して下さい。目に入った場合は眼科医の手当てを受けて下さい。,タジマ　モバイルレベル１２０　赤　ＭＬ１２０：GAOS　楽天市場店,タジマ　モバイルレベル１２０　赤　ＭＬ１２０,タジマ　モバイルレベル１２０　赤　ＭＬ１２０[rn]
27-9968,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/3527611.jpg?fitin=700:700,864.8000,,花・ガーデン・DIY > DIY・工具 > その他,ＫＤＳ　フリーマグ１６巾３．５ｍ追い番ミリ数字　ＯＭＦ１６３５ＭＡＧ,,■用途<br>●天面・壁面からの測定に便利。<br>●設備・機械の設置工事に。<br>●金属加工に。<br><br>■特長<br>●追い番ミリ目盛表示になっているので読み取り値を間違える可能性が少なく、瞬時に数値を把握できます。<br>●爪の先端にマグネットを使用しているので鉄製の物に吸着させて測定できます。<br><br>■仕様<br>●テープ長さ(m):3.5<br>●テープ幅(mm):16<br>●水平保持(m):1.5<br>●移動爪<br>●フリータイプ<br>●JIS1級<br>●片面目盛<br>●455mmピッチ表示:なし<br>●減速ボタン:なし<br>●ショックアブソーバー:あり<br><br>■材質・仕上げ<br>●テープ:スチール,ＫＤＳ　フリーマグ１６巾３．５ｍ追い番ミリ数字　ＯＭＦ１６３５ＭＡＧ：GAOS　楽天市場店,ＫＤＳ　フリーマグ１６巾３．５ｍ追い番ミリ数字　ＯＭＦ１６３５ＭＡＧ,ＫＤＳ　フリーマグ１６巾３．５ｍ追い番ミリ数字　ＯＭＦ１６３５ＭＡＧ[rn]
27-9969,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/3749347.jpg?fitin=700:700,1977.6000,,花・ガーデン・DIY > DIY・工具 > その他,タジマ　スパコン１９　５．５ｍ／尺相当目盛付／ブリスター　ＳＰ１９５５ＳＢ,,■用途<br>●一般測定用コンベックス。<br><br>■特長<br>●尺相当目盛付です。<br>●テープは使用感に優れたSK材にナイロンパイプで完全にコーティングしており、印刷のカスレを防ぎ、目盛を長持ちさせます。<br>●ばねは水を巻き込んでもさびにくいステンレス製です。<br><br>■仕様<br>●テープ長さ(m):5.5<br>●テープ幅(mm):19<br>●水平保持(m):1.7<br>●移動爪<br>●ロックタイプ<br>●片面目盛<br>●455mmピッチ表示:あり<br>●減速ボタン:なし<br>●ショックアブソーバー:あり<br><br>■材質・仕上げ<br>●テープ:スチール<br>●バネ:ステンレス(SUS301)<br><br>■注意事項<br>●本製品には通電性があります。感電に注意して下さい。<br>●テープのエッジで手を切る恐れがありますので、手袋を着用して下さい。,タジマ　スパコン１９　５．５ｍ／尺相当目盛付／ブリスター　ＳＰ１９５５ＳＢ：GAOS　楽天市場店,タジマ　スパコン１９　５．５ｍ／尺相当目盛付／ブリスター　ＳＰ１９５５ＳＢ,タジマ　スパコン１９　５．５ｍ／尺相当目盛付／ブリスター　ＳＰ１９５５ＳＢ[rn]
27-9970,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4104773.jpg?fitin=700:700,842.4000,,花・ガーデン・DIY > DIY・工具 > その他,エビスダイヤモンド　ハンディーレベルー２　イエロー　ＥＤ１０ＨＬＹ,,■用途<br>●水平・垂直の測定に。<br><br>■特長<br>●ボールチェーン付です。<br>●測定基準面にV溝付でパイプなどが測定できます。<br>●蓄光付で明るい所で光を蓄積して暗い所で数分間発光します。<br><br>■仕様<br>●長さ(mm):100<br>●高さ(mm):46<br>●厚み(mm):20<br>●マグネット:なし<br>●色:イエロー<br>●精度:±2.50mm/m=±0.1432°以内<br>●感度:0.50mm/m=0.0286°<br><br>■材質・仕上げ<br>●本体：アルミ合金押出材硬化処理<br>●気泡管：アクリル樹脂（PMMA）<br>●カバー：ABS樹脂,エビスダイヤモンド　ハンディーレベルー２　イエロー　ＥＤ１０ＨＬＹ：GAOS　楽天市場店,エビスダイヤモンド　ハンディーレベルー２　イエロー　ＥＤ１０ＨＬＹ,エビスダイヤモンド　ハンディーレベルー２　イエロー　ＥＤ１０ＨＬＹ[rn]
27-9971,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4756444.jpg?fitin=700:700,4276.8000,,花・ガーデン・DIY > DIY・工具 > その他,ＫＤＳ　レーザークロス三脚Ｍ　ＬＥＣ２Ｍ,,<br><br>■特長<br>●エレベーター式なので水平ラインの基準合わせが簡単に行えます。<br><br>■仕様<br>●最大長(mm):1650<br>●縮長～全長(mm):635～1650<br>●収納長(mm):635<br>●定芯棹(inch):5/8<br>●可動ゴムカバー付石突き<br>●ねじ径:5/8インチ<br><br>■材質・仕上げ<br>●アルミ合金<br><br>■セット内容・付属品<br>●専用ソフトケース,ＫＤＳ　レーザークロス三脚Ｍ　ＬＥＣ２Ｍ：GAOS　楽天市場店,ＫＤＳ　レーザークロス三脚Ｍ　ＬＥＣ２Ｍ,ＫＤＳ　レーザークロス三脚Ｍ　ＬＥＣ２Ｍ[rn]
27-9972,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4352874.jpg?fitin=700:700,248.8000,,花・ガーデン・DIY > DIY・工具 > その他,トンボ　プラ境界杭　ＷＡミニ４５赤　４５Ｘ４５Ｘ４５０　赤キャップ付　ＷＡＭ４５Ｒ,,■用途<br>●測量会社・市町村・土地改良・国土調査用の民間境の杭に。<br>●草地・粘土質の畑・山林・砂地・水田などに。<br><br>■特長<br>●再生プラスチック利用によるエコマーク認定商品です。<br>●木製杭と比べ耐久性に優れ、腐食・劣化がありません。<br>●測量会社・市町村・土地改良・国土調査用の民間境の杭に最適です。<br><br>■仕様<br>●高さ(mm):450<br>●幅(mm):45<br>●キャップ色:赤<br>●天面刻印:田<br><br>■材質・仕上げ<br>●ポリプロピレン（ＰＰ）とポリエチレン（ＰＥ）の再生プラスチック<br><br>■注意事項<br>●熱可塑性樹脂を使用しているため、火気に近づけると変形する恐れがあります。<br>●横方向に衝撃を加えると折れる原因になることがございます。,トンボ　プラ境界杭　ＷＡミニ４５赤　４５Ｘ４５Ｘ４５０　赤キャップ付　ＷＡＭ４５Ｒ：GAOS　楽天市場店,トンボ　プラ境界杭　ＷＡミニ４５赤　４５Ｘ４５Ｘ４５０　赤キャップ付　ＷＡＭ４５Ｒ,トンボ　プラ境界杭　ＷＡミニ４５赤　４５Ｘ４５Ｘ４５０　赤キャップ付　ＷＡＭ４５Ｒ[rn]
27-9973,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4741714.jpg?fitin=700:700,656.0000,,花・ガーデン・DIY > DIY・工具 > その他,シンワ　下地探しどこ太Ｓｍａｒｔ　３５ｍｍ　７８５８６,,■用途<br>●壁裏の間柱や下地材を探します。<br>●壁裏の間柱や下地材を探します。<br><br>■特長<br>●事故を防ぐため、LOCKとFREEの切替がしっかり固定される安全設計です。<br>●壁厚４５ｍｍまで探知可能で学校・病院など耐火壁のスタンダードになりつつある２１ｍｍ厚のボード２枚貼りにも対応可能です。<br>●携帯に便利なポケットサイズ（クリップ付）です。<br>●壁の厚さが分かる目盛付です。<br><br>■仕様<br>●先端径(mm):0.7<br>●全長(mm):133<br>●探知壁厚(mm):35<br>●ネイルキャッチ:なし<br>●縦x横x奥行(ｍｍ):133x17.5x21<br>●探知壁厚:35ｍｍ<br><br>■材質・仕上げ<br>●本体：ABS樹脂<br>●針：ステンレス,シンワ　下地探しどこ太Ｓｍａｒｔ　３５ｍｍ　７８５８６：GAOS　楽天市場店,シンワ　下地探しどこ太Ｓｍａｒｔ　３５ｍｍ　７８５８６,シンワ　下地探しどこ太Ｓｍａｒｔ　３５ｍｍ　７８５８６[rn]
27-9974,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/7569742.jpg?fitin=700:700,4763.2000,,花・ガーデン・DIY > DIY・工具 > その他,シンワ　下地センサーＨＧ　センタービジョン　７８５７８,,■用途<br>●壁裏の見えない間柱を探すために使用する下地センサー<br><br>■特長<br>●壁裏の金属・木材・プラスチック・電線を探知、点滅と電子音でお知らせします。<br>●壁の材質や厚さによってセンサーのモードを切り替えられます。<br><br>■仕様<br>●幅(mm):78<br>●高さ(mm):159<br>●厚み(mm):34<br>●製造国:メキシコ<br>●電源:9Vモニター用電池1個付き<br>●電源:積層型9V乾電池×1個（モニター用付属）<br>●内装材専用<br>●探知物検出深度(浅モード):約19mm<br><br>■材質・仕上げ<br>●本体：ABS樹脂<br><br>■セット内容・付属品<br>●９Ｖ電池１個（モニター用）付。<br><br>■注意事項<br>●壁の材質や構造によっては、正確に探知出来ない場合があります。,シンワ　下地センサーＨＧ　センタービジョン　７８５７８：GAOS　楽天市場店,シンワ　下地センサーＨＧ　センタービジョン　７８５７８,シンワ　下地センサーＨＧ　センタービジョン　７８５７８[rn]
