27-9401,http://tshop.r10s.jp/egaos/cabinet/trusco-h/2/12/3986161.jpg?fitin=700:700,756.0000,,花・ガーデン・DIY > DIY・工具 > その他,ナカバヤシ　工事用アルバム　４ッ切　ＦＰＨ７１Ｗ,,■用途<br>●工事写真の分類・整理・保管や官公庁や施工主様への提出用にもご利用頂けます。<br><br>■特長<br>●工事写真の分類整理、提出用に最適です。<br><br>■仕様<br>●色:白<br>●タイプ:25穴<br>●ロッ骨式<br>●サイズ:四ツ切＋方眼入フリー台紙(7枚）<br>●台紙:四ツ切判・方眼入フリー台紙7枚(貼付有効サイズ：タテ314×ヨコ245mm),ナカバヤシ　工事用アルバム　４ッ切　ＦＰＨ７１Ｗ：GAOS　楽天市場店,ナカバヤシ　工事用アルバム　４ッ切　ＦＰＨ７１Ｗ,ナカバヤシ　工事用アルバム　４ッ切　ＦＰＨ７１Ｗ[rn]
27-9454,http://tshop.r10s.jp/egaos/cabinet/trusco-d/9/3/4317122.jpg?fitin=700:700,690.4000,,花・ガーデン・DIY > DIY・工具 > その他,Ｗｅｒａ　サイクロップラチェット用ソケット　３／８　１３．０ｍｍ　３５５８,,<br><br>■特長<br>●対辺六角形状タイプのソケットです。<br>●クロムメッキ仕上げです。<br><br>■仕様<br>●対辺寸法(mm):13.0<br>●差込角(mm):9.5<br>●全長(mm):29.0<br>●サイクロップラチェット３／８用ソケット<br><br>■材質・仕上げ<br>●クロムメッキ仕上げ,Ｗｅｒａ　サイクロップラチェット用ソケット　３／８　１３．０ｍｍ　３５５８：GAOS　楽天市場店,Ｗｅｒａ　サイクロップラチェット用ソケット　３／８　１３．０ｍｍ　３５５８,Ｗｅｒａ　サイクロップラチェット用ソケット　３／８　１３．０ｍｍ　３５５８[rn]
27-9455,http://tshop.r10s.jp/egaos/cabinet/trusco-b/11/11/4403291.jpg?fitin=700:700,241.6000,,花・ガーデン・DIY > DIY・工具 > その他,カーボーイ　ソフトＳカン　２００　ブルー　ＳＳ１０８,,■用途<br>●道具の収納に。<br><br>■特長<br>●クッション性に優れたゴムで被膜しているので対象物を傷つけにくく、すべり止め効果も得られます。<br>●6色カラーによる区別が可能です。<br><br>■仕様<br>●D(mm):8<br>●L1(mm):200<br>●S(mm):32<br>●使用荷重(kN):0.12<br>●W(mm):57<br>●色:ブルー<br><br>■材質・仕上げ<br>●スチール<br>●NBR（発泡ゴム）被覆,カーボーイ　ソフトＳカン　２００　ブルー　ＳＳ１０８：GAOS　楽天市場店,カーボーイ　ソフトＳカン　２００　ブルー　ＳＳ１０８,カーボーイ　ソフトＳカン　２００　ブルー　ＳＳ１０８[rn]
27-9456,http://tshop.r10s.jp/egaos/cabinet/trusco-c/11/3210111.jpg?fitin=700:700,104101.6000,,花・ガーデン・DIY > DIY・工具 > その他,キトー　セレクト　電気チェーンブロック　２速選択　１００ｋｇ（ＳＤ）ｘ３ｍ　ＥＤ１０ＳＤ,,<br><br>■特長<br>●パワーとスピードを兼ね備えた小容量タイプです。<br>●デッドスペースを最小限にしたショートヘッドタイプです。<br>●メカニカルブレーキ付です。<br>●上限リミットスイッチ・過巻防止装置付です。<br>●作業に合わせた最適速度に調整可能です。<br>●強力ロードチェンを使用しています（特殊防錆処理の合金鋼焼き入れチェン）。<br><br>■仕様<br>●定格荷重(t):0.10<br>●標準揚程(m):3<br>●フック間最小距離(mm):315<br>●時間定格(min):15<br>●巻上速度(m/min)低速:1.5～9.0<br>●巻上速度(m/min)高速:1.5～15.0<br>●モータ出力(W):300<br>●電源:単相100V<br>●電源コード:5m<br>●2速選択形<br>●操作電圧:100V<br>●2点押ボタン式<br><br>■材質・仕上げ<br>●ロードチェーン:ニッケルメッキ特殊合金鋼,キトー　セレクト　電気チェーンブロック　２速選択　１００ｋｇ（ＳＤ）ｘ３ｍ　ＥＤ１０ＳＤ：GAOS　楽天市場店,キトー　セレクト　電気チェーンブロック　２速選択　１００ｋｇ（ＳＤ）ｘ３ｍ　ＥＤ１０ＳＤ,キトー　セレクト　電気チェーンブロック　２速選択　１００ｋｇ（ＳＤ）ｘ３ｍ　ＥＤ１０ＳＤ[rn]
27-9457,http://tshop.r10s.jp/egaos/cabinet/trusco-e/2/4046552.jpg?fitin=700:700,2246.4000,,花・ガーデン・DIY > DIY・工具 > その他,Ｒｅｅｌｅｘ　バリアリール　交換用シートＢ　危険・立入禁止　３Ｍ３Ａ０００３,,■用途<br>●バリアリールの交換用シート。<br><br>■特長<br>●シートが切断していない場合、バリアリール交換用シートを使って交換が可能です。<br><br>■仕様<br>●表示内容:危険・立入禁止<br>●シート厚み(mm):0.2<br>●シート幅(mm):60<br><br>■材質・仕上げ<br>●シート:軟質塩化ビニール<br>●ホルダー:ABS樹脂<br>●フック:ステンレス,Ｒｅｅｌｅｘ　バリアリール　交換用シートＢ　危険・立入禁止　３Ｍ３Ａ０００３：GAOS　楽天市場店,Ｒｅｅｌｅｘ　バリアリール　交換用シートＢ　危険・立入禁止　３Ｍ３Ａ０００３,Ｒｅｅｌｅｘ　バリアリール　交換用シートＢ　危険・立入禁止　３Ｍ３Ａ０００３[rn]
27-9458,http://tshop.r10s.jp/unidy/cabinet/0000972725/t010005158239.jpg?fitin=700:700,184.0000,,花・ガーデン・DIY > DIY・工具 > その他,【ユタカ】ユタカ　最軽量ブルーシート１．８ｍ×１．８ｍ　ＢＳＣ０１ＭＫ【安全用品/保護シート】【TC】【TN】,　,"<center><img src=http://image.rakuten.co.jp/arimas/cabinet/arimas02/t010003841445.jpg></center><BR>幅×長さ（mm×m）:1800×1.8<BR>ハトメ数（個）:8<BR>ハトメピッチ（cm）:90<BR>短期使用（使い捨て）タイプです。<br><br><br><br><font color=red>ご注文状況により二週間程度お時間をいただく場合がございます。予めご了承ください。</font><br><br><font color=red>※商品仕様等のお問い合わせは、メーカー：（株）ユタカメイクにお問い合わせ下さい。</font><br><br><font color=red>※画像はイメージです。リニューアル等により実物と異なる場合がありますので、メーカーHP等でご確認の上お買い求め下さい。</font><style type=""text/css"">
<!--
/*BODY {
	BACKGROUND-POSITION: left 50%; BACKGROUND-ATTACHMENT: scroll; BACKGROUND-IMAGE: url(http://image.rakuten.co.jp/unidy/cabinet/v/140601sst.jpg); BACKGROUND-REPEAT: repeat-y
}*/
-->
</style>


<!--　店舗入れ込み　-->

<!--▼楽天企画クーポンバナー▼-->

<!--
<br>
<img src=""http://image.rakuten.co.jp/unidy/cabinet/20140926a/imgrc0067588187.jpg"" border=""0""></td>
<br><br>

　-->

<!--　-->


<!---->



<!--
-->",【ユタカ】ユタカ　最軽量ブルーシート１．８ｍ&times;１．８ｍ　ＢＳＣ０１ＭＫ【安全用品/保護シート】【TC】【TN】：ゆにでのこづち,電動工具　ボッシュ　BOSCH　フィッツプラス台車　こまわり君防災用品イレクターフィッツプラスプレミアムインテリア花束キッチン用品ワンステップクリーナータイルカーペット　東リ台車カッター替刃軍手混合栓ビジネスバッグガーデンテーブルロッカー収納庫棚【ユタカ】ユタカ　最軽量ブルーシート１．８ｍ&times;１．８ｍ　ＢＳＣ０１ＭＫ【安全用品/保護シート】【TC】【TN】,　。【ユタカ】ユタカ　最軽量ブルーシート１．８ｍ&times;１．８ｍ　ＢＳＣ０１ＭＫ【安全用品/保護シート】【TC】【TN】[rn]
27-9459,http://tshop.r10s.jp/egaos/cabinet/trusco-b/17/12/4216733.jpg?fitin=700:700,1015.2000,,花・ガーデン・DIY > DIY・工具 > その他,パンドウイット　粘着剤付き熱収縮チューブ　収縮率２：１　エコノミーパック　ＨＳＴＴＶＡ７５Ｙ,,■用途<br>●機器内配線の絶縁や保護、端末処理、識別に最適です。<br><br>■特長<br>●熱収縮チューブを無駄の出ない少量パックにしました。<br>●水分や腐食から製品を保護するための粘着剤がチューブの内壁に塗布されています。<br>●機器内配線の絶縁や保護、端末処理、識別に最適です。柔軟性および難燃性に優れています。<br><br>■仕様<br>●収縮後肉厚(mm):0.9<br>●収縮前内径(mm):19.1<br>●収縮後内径(mm):9.5<br>●長さ(mm):152<br>●適合電線(mm[[の2乗]]):35.00～70.00<br>●MIL規格:AMS-DTL-23053<br>●UL224　VW-1相当品<br>●収縮率：50%<br>●耐電圧：600V<br>●使用温度範囲：-55～110℃<br>●収縮温度:121℃<br>●UL認定品<br>●色:黒<br><br>■材質・仕上げ<br>●粘着剤付きポリオレフィン,パンドウイット　粘着剤付き熱収縮チューブ　収縮率２：１　エコノミーパック　ＨＳＴＴＶＡ７５Ｙ：GAOS　楽天市場店,パンドウイット　粘着剤付き熱収縮チューブ　収縮率２：１　エコノミーパック　ＨＳＴＴＶＡ７５Ｙ,パンドウイット　粘着剤付き熱収縮チューブ　収縮率２：１　エコノミーパック　ＨＳＴＴＶＡ７５Ｙ[rn]
27-9460,http://tshop.r10s.jp/egaos/cabinet/trusco-d/9/3/3731715.jpg?fitin=700:700,505.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＫＴＣ　９．５ｓｑ．ソケット（六角）５／８ｉｎｃｈ　Ｂ３５８,,■用途<br>●汎用工具<br><br>■特長<br>●従来品に比べ全長が短いコンパクト設計で、狭い場所での作業も容易なスタンダードタイプです。<br>●KTC独自のパワーフィット形状を口径部と差込角の両方に採用しています。(口径部は3/16以下を除く)<br><br>■仕様<br>●差込角(mm):9.5<br>●全長(mm):26<br>●対辺寸法(インチ):5/8<br>●インチサイズ,ＫＴＣ　９．５ｓｑ．ソケット（六角）５／８ｉｎｃｈ　Ｂ３５８：GAOS　楽天市場店,ＫＴＣ　９．５ｓｑ．ソケット（六角）５／８ｉｎｃｈ　Ｂ３５８,ＫＴＣ　９．５ｓｑ．ソケット（六角）５／８ｉｎｃｈ　Ｂ３５８[rn]
27-9461,http://tshop.r10s.jp/egaos/cabinet/trusco-d/4/3894801.jpg?fitin=700:700,850.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　プロツールボックス　ＴＴＢ９０１,,<br><br>■特長<br>●中皿で工具の整理整頓が簡単にできます。<br>●コンパクトで小物の整理に便利です。<br><br>■仕様<br>●色:ブラック<br>●外寸(mm)間口×奥行×高さ:380×178×145<br>●容積(L):4<br>●有効内寸(mm)間口×奥行×高さ:357×150×87<br>●穴径4.5mmシリンダ錠取付可能（別売）<br>●耐荷重:20kg<br><br>■材質・仕上げ<br>●本体:ポリプロピレン（PP）<br>●取手、バックル:ABS樹脂<br><br>■セット内容・付属品<br>●中皿,ＴＲＵＳＣＯ　プロツールボックス　ＴＴＢ９０１：GAOS　楽天市場店,ＴＲＵＳＣＯ　プロツールボックス　ＴＴＢ９０１,ＴＲＵＳＣＯ　プロツールボックス　ＴＴＢ９０１[rn]
27-9462,http://tshop.r10s.jp/egaos/cabinet/trusco-h/4/14/3030644.jpg?fitin=700:700,10980.0000,,花・ガーデン・DIY > DIY・工具 > その他,テラモト　グランド４３０丸ステン１４　ＤＳ１９９３４３０,,<br><br>■特長<br>●サビに強いステンレス製なので、野外や海辺でも安心してお使いいただけます。<br><br>■仕様<br>●容量(L):65<br>●間口(mm):433<br>●奥行(mm):433<br>●高さ(mm):630<br>●色:シルバー<br>●底面間口(mm):343<br><br>■材質・仕上げ<br>●ステンレス（SUS304）,テラモト　グランド４３０丸ステン１４　ＤＳ１９９３４３０：GAOS　楽天市場店,テラモト　グランド４３０丸ステン１４　ＤＳ１９９３４３０,テラモト　グランド４３０丸ステン１４　ＤＳ１９９３４３０[rn]
27-9463,http://tshop.r10s.jp/egaos/cabinet/trusco-d/5/4/4994949.jpg?fitin=700:700,4060.8000,,花・ガーデン・DIY > DIY・工具 > その他,ミニモ　フェルトバフ　ハード　Φ１０　１０個入り　ＧＡ２２６３,,■用途<br>●適合素材:セラミックス、ガラス、工具鋼、合金鋼、超硬合金、サーメット、一般鋼、ステンレス、アルミニウム、銅<br><br>■特長<br>●上質できめ細かい羊毛を高密度に圧縮したバフです。<br>●研磨剤の保持力にも優れ効果的な研磨ができます。<br><br>■仕様<br>●最高使用回転数(rpm):30000<br>●軸径(mm):3.0<br>●全長(mm):60.0<br>●外径(mm):10<br>●幅(mm):30<br>●タイプ:砲弾型・ハード<br>●軸長(mm):30,ミニモ　フェルトバフ　ハード　Φ１０　１０個入り　ＧＡ２２６３：GAOS　楽天市場店,ミニモ　フェルトバフ　ハード　Φ１０　１０個入り　ＧＡ２２６３,ミニモ　フェルトバフ　ハード　Φ１０　１０個入り　ＧＡ２２６３[rn]
27-9464,http://tshop.r10s.jp/egaos/cabinet/trusco-h/2/2/7622643.jpg?fitin=700:700,1156.8000,,花・ガーデン・DIY > DIY・工具 > その他,Ｐａｎａｓｏｎｉｃ　ザ・タップＺ　３コ口　３ｍコード付　ブラック　ＷＨＳ２５３３ＢＰ,,<br><br>■特長<br>●ランプを使わない色表示のランプレスプッシュスイッチで、さらに省エネになります。<br>●プッシュスイッチでフラット化を実現しました。<br><br>■仕様<br>●色:ブラック<br>●コンセント数:3個口<br>●幅(mm):300<br>●奥行(mm):90<br>●高さ(mm):50<br>●ケーブル長(m):3<br>●スナップキャップ付,Ｐａｎａｓｏｎｉｃ　ザ・タップＺ　３コ口　３ｍコード付　ブラック　ＷＨＳ２５３３ＢＰ：GAOS　楽天市場店,Ｐａｎａｓｏｎｉｃ　ザ・タップＺ　３コ口　３ｍコード付　ブラック　ＷＨＳ２５３３ＢＰ,Ｐａｎａｓｏｎｉｃ　ザ・タップＺ　３コ口　３ｍコード付　ブラック　ＷＨＳ２５３３ＢＰ[rn]
27-9465,http://tshop.r10s.jp/egaos/cabinet/trusco-e/2/4953274.jpg?fitin=700:700,6220.8000,,花・ガーデン・DIY > DIY・工具 > その他,キャットアイ　ルミナスアイ・マイティ　ソーラー式常灯　　両面　緑　ＬＥ２６０２Ｇ,,■用途<br>●工場内の安全表示。<br>●夜間の外灯がない箇所。<br>●危険な場所の簡易誘導。<br>●公園などの公共施設での誘導灯として。<br>●店舗駐車場での誘導灯として。<br><br>■特長<br>●ソーラー式のため、太陽光が当たる箇所では電池交換不要です。（約2～3年間）<br>●付属の両面テープまたは専用接着剤にて貼付けできます。<br>●LEDを採用しております。<br><br>■仕様<br>●色:緑<br>●幅(mm):100<br>●高さ(mm):18<br>●長さ(mm):120<br>●LED個数:4<br>●電源:ソーラー式<br>●蓄電池:ニッケル水素電池（単4形×2本）<br>●夜間自動点灯式（スイッチはありません）<br><br>■材質・仕上げ<br>●カバー:ポリカーボネート<br>●本体:エポキシ樹脂<br>●両面テープ:アクリル系<br><br>■セット内容・付属品<br>●両面テープ,キャットアイ　ルミナスアイ・マイティ　ソーラー式常灯　　両面　緑　ＬＥ２６０２Ｇ：GAOS　楽天市場店,キャットアイ　ルミナスアイ・マイティ　ソーラー式常灯　　両面　緑　ＬＥ２６０２Ｇ,キャットアイ　ルミナスアイ・マイティ　ソーラー式常灯　　両面　緑　ＬＥ２６０２Ｇ[rn]
27-9466,http://tshop.r10s.jp/egaos/cabinet/trusco-b/13/6/1598198.jpg?fitin=700:700,354.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　ドライウォールユニクロム　Ｍ３．５Ｘ２５　１１０本入　Ｂ２１３５２５,,■用途<br>●石こうボード・薄鉄板用。<br><br>■特長<br>●ラッパ形状の頭を持ち、石こうボードや薄鉄板の軽鉄施工に適しています。<br><br>■仕様<br>●寸法(mm)d×全長:M3.5×25<br>●ねじ部長さ(mm):-<br>●適合ドライバー:プラスNo.2<br><br>■材質・仕上げ<br>●低炭素鋼（SWCH）<br>●表面処理:ユニクロムメッキ仕上げ,ＴＲＵＳＣＯ　ドライウォールユニクロム　Ｍ３．５Ｘ２５　１１０本入　Ｂ２１３５２５：GAOS　楽天市場店,ＴＲＵＳＣＯ　ドライウォールユニクロム　Ｍ３．５Ｘ２５　１１０本入　Ｂ２１３５２５,ＴＲＵＳＣＯ　ドライウォールユニクロム　Ｍ３．５Ｘ２５　１１０本入　Ｂ２１３５２５[rn]
27-9467,http://tshop.r10s.jp/egaos/cabinet/trusco-d/3/3222781.jpg?fitin=700:700,3261.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＭＣＣ　内径レンチ　１０Ａ　ＩＰＷ１０,,■用途<br>●洗面台、トイレなどのリフォームに。<br>●配管用炭素鋼鋼管、給水管（装飾用クロムニップル）などに。<br><br>■特長<br>●壁の中でサビて折れ残った配管のねじ部分に、このレンチを挿入して回すだけで取り出すことができます。<br><br>■仕様<br>●適用管の呼び寸法:10A<br>●全長×対辺(mm):73×13<br>●使用できる管の種類:配管用炭素鋼鋼管、給水管(装飾用クロムニップル等),ＭＣＣ　内径レンチ　１０Ａ　ＩＰＷ１０：GAOS　楽天市場店,ＭＣＣ　内径レンチ　１０Ａ　ＩＰＷ１０,ＭＣＣ　内径レンチ　１０Ａ　ＩＰＷ１０[rn]
27-9468,http://tshop.r10s.jp/egaos/cabinet/trusco-a/4/4470842.jpg?fitin=700:700,17172.0000,,花・ガーデン・DIY > DIY・工具 > その他,富士元　エコメン　ＥＭＬ２０４５ＴＨ,,■用途<br>●センター穴・モミツケ加工、皿面取り加工、エッジの面取り加工。<br><br>■特長<br>●チップを3コーナー化することによりお客様の加工コストを低減します。<br>●チップ形状、切刃諸元の改良により切削性、切粉排出性が向上します。<br>●超微粒子母材に新コーティングを施すことにより長寿命を実現します。<br><br>■仕様<br>●先端角(°):90<br>●シャンク径(mm):20<br>●全長(mm):110<br>●刃径(mm):φ1.2~φ21.6<br>●最大面取径(mm):φ21.6<br>●首下長(mm):30<br>●適用チップ:TXMT16T306<br>●シャンク長(mm):80<br>●刃数：1<br><br>■材質・仕上げ<br>●鋼<br><br>■セット内容・付属品<br>●クランプスクリュ、レンチ（チップ別売）<br><br>■注意事項<br>●EML2045THはオイルホール付です。,富士元　エコメン　ＥＭＬ２０４５ＴＨ：GAOS　楽天市場店,富士元　エコメン　ＥＭＬ２０４５ＴＨ,富士元　エコメン　ＥＭＬ２０４５ＴＨ[rn]
27-9469,http://tshop.r10s.jp/egaos/cabinet/trusco-a/1/1/3573745.jpg?fitin=700:700,5476.0000,,花・ガーデン・DIY > DIY・工具 > その他,ユニオンツール　超硬エンドミル　スクエア　φ０．１×刃長０．３　ＣＣＥＳ２００１００３０,,■用途<br>●被削材：炭素鋼、合金鋼、プリハードン鋼、焼入れ鋼(～55HRC)、鋳鉄、銅。<br><br>■特長<br>●炭素鋼から焼き入れ鋼（～55HRC）までの水溶性、油性切削油を用いた加工に最適です。<br>●高品質・高性能の低価格エンドミルです。<br><br>■仕様<br>●刃径(mm):0.1<br>●刃長(mm):0.3<br>●全長(mm):45<br>●シャンク径(mm):4<br>●表面処理：UT COATコーティング<br>●ねじれ角30°<br>●ISO9001認証取得工場製<br>●ISO14001認証取得工場製<br>●フラットランドコーナタイプ<br>●2枚刃スクエアエンドミルC-CES<br><br>■材質・仕上げ<br>●超硬微粒子合金（スーパーMG）<br><br>■注意事項<br>●シャンクテーパー角は目安です。<br>●ワークとの干渉が必要な場合は必ず実測して確認してください。,ユニオンツール　超硬エンドミル　スクエア　φ０．１&times;刃長０．３　ＣＣＥＳ２００１００３０：GAOS　楽天市場店,ユニオンツール　超硬エンドミル　スクエア　φ０．１&times;刃長０．３　ＣＣＥＳ２００１００３０,ユニオンツール　超硬エンドミル　スクエア　φ０．１&times;刃長０．３　ＣＣＥＳ２００１００３０[rn]
27-9470,http://tshop.r10s.jp/egaos/cabinet/trusco-d/15/4467612.jpg?fitin=700:700,3019.2000,,花・ガーデン・DIY > DIY・工具 > その他,ＫＮＩＰＥＸ　テレフォンプライヤー　１６０ｍｍ　２９２１１６０,,<br><br>■特長<br>●つかみ面には滑り止めの網目スジが入っています。<br>●半丸タイプは特にスリムで精密な先端のため、はんだ作業にも最適です。<br><br>■仕様<br>●全長(mm):160<br>●先端形状(mm)E×F:2.0×2.0<br>●口先先端の厚さ(mm):2<br>●先端形状:半丸<br>●ハンドル:プラスチックコーティング<br>●口先の長さ(mm):54<br>●ジョイント部の幅(mm):14<br>●ジョイント部の厚さ(mm):9<br>●口先先端の幅(mm):2<br>●先端部ギザ付<br><br>■材質・仕上げ<br>●オイル焼き入れ焼き戻し処理済クロームバナジウム電気鋼,ＫＮＩＰＥＸ　テレフォンプライヤー　１６０ｍｍ　２９２１１６０：GAOS　楽天市場店,ＫＮＩＰＥＸ　テレフォンプライヤー　１６０ｍｍ　２９２１１６０,ＫＮＩＰＥＸ　テレフォンプライヤー　１６０ｍｍ　２９２１１６０[rn]
27-9471,http://tshop.r10s.jp/egaos/cabinet/trusco-b/5/2/3645401.jpg?fitin=700:700,17496.0000,,花・ガーデン・DIY > DIY・工具 > その他,ナック　クイックカップリング　ＴＬ型　ステンレス製　オネジ取付用　ＣＴＬ１０ＳＦ３,,<br><br>■特長<br>●バルブ機構をもたない貫通式で、圧力損失が少なく粘度の高い流体に適しています。<br><br>■仕様<br>●最高使用圧力(MPa):3.0<br>●最大衝撃圧力(MPa):4.0<br>●適用接続サイズ(インチ):R1　1/4<br>●使用流体:空気・水・作動油他<br>●使用温度範囲:-20～180℃<br>●両路開放型<br>●バルブレス<br><br>■材質・仕上げ<br>●本体:ステンレス（SUS304）<br>●シールゴム:フッ素ゴム（FPM）<br><br>■注意事項<br>●サイズが大きくなりますと、耐圧力は低くなりますのでご注意ください。,ナック　クイックカップリング　ＴＬ型　ステンレス製　オネジ取付用　ＣＴＬ１０ＳＦ３：GAOS　楽天市場店,ナック　クイックカップリング　ＴＬ型　ステンレス製　オネジ取付用　ＣＴＬ１０ＳＦ３,ナック　クイックカップリング　ＴＬ型　ステンレス製　オネジ取付用　ＣＴＬ１０ＳＦ３[rn]
27-9472,http://tshop.r10s.jp/egaos/cabinet/trusco-b/17/1/4225724.jpg?fitin=700:700,741.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＪＳＴ　丸型端子　Ｒ３８－１０　１０個入り　Ｒ３８１０,,■用途<br>●軟銅のより線または、単線の電線を接続するために使用します。<br><br>■特長<br>●接触面（舌部）が丸く、ねじ固定用の取り付け穴がある裸圧着端子です。<br><br>■仕様<br>●電線抱合範囲より線mm[[の2乗]]:26.66～42.42<br>●電線抱合範囲AWG:2<br>●全長(mm):42.7<br>●スタッド径(mm):10.5<br>●JIS規格品:○<br>●内寸(mm):9.4<br>●電線抱合範囲単線mm:5.81～7.34<br>●外寸(mm):22.0<br>●色:シルバー<br>●丸形<br><br>■材質・仕上げ<br>●端子:無酸素銅（C1020）/電気すずメッキ,ＪＳＴ　丸型端子　Ｒ３８&minus;１０　１０個入り　Ｒ３８１０：GAOS　楽天市場店,ＪＳＴ　丸型端子　Ｒ３８&minus;１０　１０個入り　Ｒ３８１０,ＪＳＴ　丸型端子　Ｒ３８&minus;１０　１０個入り　Ｒ３８１０[rn]
27-9473,http://tshop.r10s.jp/egaos/cabinet/trusco-e/5/4953665.jpg?fitin=700:700,583.2000,,花・ガーデン・DIY > DIY・工具 > その他,新富士　ロードマーキング　ナンバーＬ　６　ＲＭ１１６,,■用途<br>●駐車場などへのナンバー貼付施工に。<br><br>■特長<br>●新タイプの路面標示材です。<br>●バーナーで加熱し簡単に溶着できます。<br>●耐摩耗強度も高く、はがれにくく、削れにくい標示材です。<br><br>■仕様<br>●表示内容:6兼9<br>●幅(mm):170<br>●高さ(mm):300<br>●溶着式<br><br>■材質・仕上げ<br>●熱可塑性樹脂<br>●炭酸カルシウム<br>●体質顔料,新富士　ロードマーキング　ナンバーＬ　６　ＲＭ１１６：GAOS　楽天市場店,新富士　ロードマーキング　ナンバーＬ　６　ＲＭ１１６,新富士　ロードマーキング　ナンバーＬ　６　ＲＭ１１６[rn]
27-9474,http://tshop.r10s.jp/egaos/cabinet/trusco-e/10/22/2930820.jpg?fitin=700:700,1771.2000,,花・ガーデン・DIY > DIY・工具 > その他,パイオラン　パイオラン再帰反射テープ　ＲＦ３０Ｂ２５,,■用途<br>●建物や設備の危険表示。<br>●建設重機の後部、側面の危険表示。<br>●消火器などの用具の標示用。<br>●ラインテープとして。<br><br>■特長<br>●基材にガラスビーズを封入し、わずかな光もしっかりと反射します。<br>●夜間の交通事故防止や工場・現場での事故防止に適しています。<br>●セパレーターがなく、ゴミが低減できます。<br><br>■仕様<br>●色:ブルー<br>●幅(mm):25<br>●長さ(m):10<br>●厚み(mm):0.24<br>●粘着力:12N/10mm<br>●手で切断可能<br><br>■材質・仕上げ<br>●基材:再帰反射フィルム＋ポリエチレンクロス<br>●粘着剤:アクリル系,パイオラン　パイオラン再帰反射テープ　ＲＦ３０Ｂ２５：GAOS　楽天市場店,パイオラン　パイオラン再帰反射テープ　ＲＦ３０Ｂ２５,パイオラン　パイオラン再帰反射テープ　ＲＦ３０Ｂ２５[rn]
27-9475,http://tshop.r10s.jp/egaos/cabinet/trusco-a/4/4811909.jpg?fitin=700:700,41860.8000,,花・ガーデン・DIY > DIY・工具 > その他,ＢＩＧ　Ｃカッター　ユニバーサルタイプ　ＳＴ２０Ｃ５８５Ａ４０,,■用途<br>●被削材：鋼、鋳鉄、アルミ二ウム。<br><br>■特長<br>●ユニバーサルタイプなので面取り角度５°～８５°が1本で可能です。<br>●レンチで回すとカートリッジがスイングし面取り角度の調整ができます。<br><br>■仕様<br>●刃径(mm):49<br>●全長(mm):110<br>●シャンク径(mm):20<br>●先端角(°):5～85度<br>●刃数:1<br>●首下長(mm):40<br>●シャンク長(mm):70<br><br>■セット内容・付属品<br>●チップ用のレンチおよびスクリュー<br><br>■注意事項<br>●チップは別売です。,ＢＩＧ　Ｃカッター　ユニバーサルタイプ　ＳＴ２０Ｃ５８５Ａ４０：GAOS　楽天市場店,ＢＩＧ　Ｃカッター　ユニバーサルタイプ　ＳＴ２０Ｃ５８５Ａ４０,ＢＩＧ　Ｃカッター　ユニバーサルタイプ　ＳＴ２０Ｃ５８５Ａ４０[rn]
27-9476,http://tshop.r10s.jp/egaos/cabinet/trusco-e/1/11/4803647.jpg?fitin=700:700,1209.6000,,花・ガーデン・DIY > DIY・工具 > その他,ミドリ安全　軽作業帽　ＳＣＬ－３００Ａ　ライトブルー　ＳＣＬ３００ＡＬＢ,,■用途<br>●軽作業での頭部保護。<br><br>■特長<br>●サイズ合わせが簡単で、頭部にぴったりフィットする軽量バンド仕様です。<br>●水洗い可能で、常に清潔な状態でご使用いただけます。<br>●ベンド形状のバイザーが視界を確保します<br><br>■仕様<br>●帽体色:ライトブルー<br>●高さ(mm):146<br>●幅(mm):210<br>●長さ(mm):275<br>●頭周り:５３～６２cm<br><br>■材質・仕上げ<br>●ポリエチレン（PE）<br><br>■注意事項<br>●国家検定規格品を使用すべき環境では使用できません。<br>●あごひも（ＳＣＬ用耳あご紐）は別売です。,ミドリ安全　軽作業帽　ＳＣＬ&minus;３００Ａ　ライトブルー　ＳＣＬ３００ＡＬＢ：GAOS　楽天市場店,ミドリ安全　軽作業帽　ＳＣＬ&minus;３００Ａ　ライトブルー　ＳＣＬ３００ＡＬＢ,ミドリ安全　軽作業帽　ＳＣＬ&minus;３００Ａ　ライトブルー　ＳＣＬ３００ＡＬＢ[rn]
