6-12303,,2041.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立工機/日立【0032-6832】(7677316) 切断砥石　１０５Ｘ１．０Ｘ１５ｍｍ　ＡＺ６０ＳＢＦ　１０枚入り 受注単位1,作業用品\切断用品\切断砥石,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●切断スピードが速くステンレスの切断に最適です。<br><br>●ステンレス・金属の切断に。<br><br>●砥材：AZ<br>●粒度(#)：60<br>●硬度：SBF<br>●外径(mm)：105<br>●刃厚(mm)：1.0<br>●穴径(mm)：15<br>●最高使用回転数(rpm)：14500<br>●質量(g)：300<br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日立工機/日立【0032-6832】(7677316) 切断砥石　１０５Ｘ１．０Ｘ１５ｍｍ　ＡＺ６０ＳＢＦ　１０枚入り 受注単位1：クローバー資材館,『カード対応OK！』■〒日立工機/日立【0032-6832】(7677316) 切断砥石　１０５Ｘ１．０Ｘ１５ｍｍ　ＡＺ６０ＳＢＦ　１０枚入り 受注単位1,作業用品\切断用品\切断砥石。『カード対応OK！』■〒日立工機/日立【0032-6832】(7677316) 切断砥石　１０５Ｘ１．０Ｘ１５ｍｍ　ＡＺ６０ＳＢＦ　１０枚入り 受注単位1[rn]
6-12343,,2523.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZP-200HL】(7623411) 絶縁強力型ペンチ　２００ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1000V絶縁仕様です。<br>●IEC60900規格品です。<br>●ハンドル部は安全を目視で確認できるセーフティーサイン仕様です。<br>●普通のペンチより先端から支点が短いため、切断能力に優れます。（偏芯テコ原理採用）<br>260<br><br>●全長(mm)：200<br>●切断能力(mm)硬線：1.6<br>●質量(g)：260<br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZP-200HL】(7623411) 絶縁強力型ペンチ　２００ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZP-200HL】(7623411) 絶縁強力型ペンチ　２００ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZP-200HL】(7623411) 絶縁強力型ペンチ　２００ｍｍ 受注単位1[rn]
6-12344,,1855.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZCP160】(7623488) 絶縁電工ニッパ　１６０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1000V絶縁仕様です。<br>●IEC60900規格品です。<br>●ハンドル部は安全を目視で確認できるセーフティーサイン仕様です。<br>●高品質な原材料を用いることで、精密な作業を可能にし、ツール寿命も長くなっています。<br><br><br>●切断能力(mm)硬線：1.6<br>●全長(mm)：160<br>●質量(g)：220<br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZCP160】(7623488) 絶縁電工ニッパ　１６０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZCP160】(7623488) 絶縁電工ニッパ　１６０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZCP160】(7623488) 絶縁電工ニッパ　１６０ｍｍ 受注単位1[rn]
6-12345,,1881.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZP-150】(7623372) 絶縁ペンチ　１５０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1000V絶縁仕様です。<br>●IEC60900規格品です。<br>●ハンドル部は安全を目視で確認できるセーフティーサイン仕様です。<br>●電気工事などに最適なスタンダードペンチです。<br>200<br><br>●全長(mm)：160<br>●切断能力(mm)硬線：1.6<br>●質量(g)：200<br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZP-150】(7623372) 絶縁ペンチ　１５０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZP-150】(7623372) 絶縁ペンチ　１５０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZP-150】(7623372) 絶縁ペンチ　１５０ｍｍ 受注単位1[rn]
6-12346,,2264.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZSP160】(7623518) 絶縁ニッパ　１６０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1000V絶縁仕様です。<br>●IEC60900規格品です。<br>●刃先は入念な焼入れ処理で、シャープな切れ味を実現します。<br>●ハンドル部は安全を目視で確認できるセーフティーサイン仕様です。<br><br><br>●切断能力(mm)硬線：1.6<br>●全長(mm)：160<br>●質量(g)：180<br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZSP160】(7623518) 絶縁ニッパ　１６０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZSP160】(7623518) 絶縁ニッパ　１６０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZSP160】(7623518) 絶縁ニッパ　１６０ｍｍ 受注単位1[rn]
6-12347,,2523.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZSP180】(7623526) 絶縁ニッパ　１８０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1000V絶縁仕様です。<br>●IEC60900規格品です。<br>●刃先は入念な焼入れ処理で、シャープな切れ味を実現します。<br>●ハンドル部は安全を目視で確認できるセーフティーサイン仕様です。<br><br><br>●切断能力(mm)硬線：1.8<br>●全長(mm)：180<br>●質量(g)：240<br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZSP180】(7623526) 絶縁ニッパ　１８０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZSP180】(7623526) 絶縁ニッパ　１８０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZSP180】(7623526) 絶縁ニッパ　１８０ｍｍ 受注単位1[rn]
6-12348,,2040.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZCP180】(7623496) 絶縁電工ニッパ　１８０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1000V絶縁仕様です。<br>●IEC60900規格品です。<br>●ハンドル部は安全を目視で確認できるセーフティーサイン仕様です。<br>●高品質な原材料を用いることで、精密な作業を可能にし、ツール寿命も長くなっています。<br><br><br>●切断能力(mm)硬線：1.6<br>●全長(mm)：180<br>●質量(g)：290<br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZCP180】(7623496) 絶縁電工ニッパ　１８０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZCP180】(7623496) 絶縁電工ニッパ　１８０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZCP180】(7623496) 絶縁電工ニッパ　１８０ｍｍ 受注単位1[rn]
6-12349,,27514.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCM-42M】(4985958) 防爆１０ピース６角レンチセット 受注単位1,作業用品\絶縁・防爆工具\ドライバー・六角棒レンチ（防爆）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●防爆６角棒レンチのスタンダード１０点セットです。<br><br>●工場。<br>●防爆が必要な環境。<br><br>●セット内容(mm)：1.5、2、3、4、5、6、7、8、9、10<br><br><br>●ニッケルアルミ銅合金<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCM-42M】(4985958) 防爆１０ピース６角レンチセット 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCM-42M】(4985958) 防爆１０ピース６角レンチセット 受注単位1,作業用品\絶縁・防爆工具\ドライバー・六角棒レンチ（防爆）。『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCM-42M】(4985958) 防爆１０ピース６角レンチセット 受注単位1[rn]
6-12350,,6062.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【2678V-180】(4979206) １０００Ｖ絶縁強力型ペンチ　１８０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1000V絶縁仕様です。<br>●欧州規格EN60900適合品です。<br><br>●電気工事などに。<br><br>●全長(mm)：180<br>●切断能力(mm)ピアノ線：2.0<br>●質量(g)：348<br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒スナップオン・ツールズ/バーコ【2678V-180】(4979206) １０００Ｖ絶縁強力型ペンチ　１８０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【2678V-180】(4979206) １０００Ｖ絶縁強力型ペンチ　１８０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）。『カード対応OK！』■〒スナップオン・ツールズ/バーコ【2678V-180】(4979206) １０００Ｖ絶縁強力型ペンチ　１８０ｍｍ 受注単位1[rn]
6-12351,,6854.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【9778-180】(4972597) ９７７８－１８０　エンドスリーブ用絶縁圧着ペンチ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●欧州規格EN60900適合品で1000V絶縁仕様です。<br>●改善されたテコ比により、プライヤーにかける力を30%も軽減しています。<br>●半円形のダイス形状で圧着して、スリーブと導体を確実に接続します。<br><br>●エンドスリーブ（フェルールタイプ）の圧着に。<br><br>●全長(mm)：180<br>●質量(g)：254<br>●圧着範囲：0.25～16.0mm[[の2乗]]（AWG23-5）<br>●ハンドル：コンフォート<br><br>●ハンドル部：コンフォート<br><br>●特殊工具鋼、鍛造品、油焼き入れ<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【9778-180】(4972597) ９７７８&minus;１８０　エンドスリーブ用絶縁圧着ペンチ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【9778-180】(4972597) ９７７８&minus;１８０　エンドスリーブ用絶縁圧着ペンチ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）。『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【9778-180】(4972597) ９７７８&minus;１８０　エンドスリーブ用絶縁圧着ペンチ 受注単位1[rn]
6-12352,,2337.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZWP-250】(7623500) 絶縁ウォーターポンププライヤー　２５０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1000V絶縁仕様です。<br>●IEC60900規格品です。<br>●三枚合わせ構造により、加え部はガタつきがなく、頭部はスリムです。<br>●ハンドル部は安全を目視で確認できるセーフティーサイン仕様です。<br><br><br>●最大口開(mm)：38.5<br>●全長(mm)：250<br>●最大口開き(mm)：38.5<br>●調節(段階)：7<br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZWP-250】(7623500) 絶縁ウォーターポンププライヤー　２５０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZWP-250】(7623500) 絶縁ウォーターポンププライヤー　２５０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZWP-250】(7623500) 絶縁ウォーターポンププライヤー　２５０ｍｍ 受注単位1[rn]
6-12353,,1966.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZRP-150BN】(7623445) 絶縁先曲がりラジオペンチ　１５０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1000V絶縁仕様です。<br>●IEC60900規格品です。<br>●ハンドル部は安全を目視で確認できるセーフティーサイン仕様です。<br>●先端が曲がっており、狭い所・精密作業などに最適です。<br>110<br><br>●全長(mm)：160<br>●切断能力(mm)硬線：1.6<br>●質量(g)：110<br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZRP-150BN】(7623445) 絶縁先曲がりラジオペンチ　１５０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZRP-150BN】(7623445) 絶縁先曲がりラジオペンチ　１５０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZRP-150BN】(7623445) 絶縁先曲がりラジオペンチ　１５０ｍｍ 受注単位1[rn]
6-12354,,2337.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZRP-200BN】(7623453) 絶縁先曲がりラジオペンチ　２００ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1000V絶縁仕様です。<br>●IEC60900規格品です。<br>●ハンドル部は安全を目視で確認できるセーフティーサイン仕様です。<br>●先端が曲がっており、狭い所・精密作業などに最適です。<br>160<br><br>●全長(mm)：200<br>●切断能力(mm)硬線：1.6<br>●質量(g)：160<br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZRP-200BN】(7623453) 絶縁先曲がりラジオペンチ　２００ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZRP-200BN】(7623453) 絶縁先曲がりラジオペンチ　２００ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZRP-200BN】(7623453) 絶縁先曲がりラジオペンチ　２００ｍｍ 受注単位1[rn]
6-12355,,2268.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZP-175HL】(7623402) 絶縁強力型ペンチ　１７５ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1000V絶縁仕様です。<br>●IEC60900規格品です。<br>●ハンドル部は安全を目視で確認できるセーフティーサイン仕様です。<br>●普通のペンチより先端から支点が短いため、切断能力に優れます。（偏芯テコ原理採用）<br>220<br><br>●全長(mm)：180<br>●切断能力(mm)硬線：1.6<br>●質量(g)：220<br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZP-175HL】(7623402) 絶縁強力型ペンチ　１７５ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZP-175HL】(7623402) 絶縁強力型ペンチ　１７５ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZP-175HL】(7623402) 絶縁強力型ペンチ　１７５ｍｍ 受注単位1[rn]
6-12356,,2040.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZP-175】(7623381) 絶縁ペンチ　１７５ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1000V絶縁仕様です。<br>●IEC60900規格品です。<br>●ハンドル部は安全を目視で確認できるセーフティーサイン仕様です。<br>●電気工事などに最適なスタンダードペンチです。<br>280<br><br>●全長(mm)：180<br>●切断能力(mm)硬線：1.6<br>●質量(g)：280<br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZP-175】(7623381) 絶縁ペンチ　１７５ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZP-175】(7623381) 絶縁ペンチ　１７５ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZP-175】(7623381) 絶縁ペンチ　１７５ｍｍ 受注単位1[rn]
6-12357,,1707.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZRP-150】(7623429) 絶縁ラジオペンチ　１５０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1000V絶縁仕様です。<br>●IEC60900規格品です。<br>●ハンドル部は安全を目視で確認できるセーフティーサイン仕様です。<br>●先端が強靭で折れず曲がらず切れ味に優れています。<br>110<br><br>●全長(mm)：160<br>●切断能力(mm)硬線：1.6<br>●質量(g)：110<br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZRP-150】(7623429) 絶縁ラジオペンチ　１５０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZRP-150】(7623429) 絶縁ラジオペンチ　１５０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZRP-150】(7623429) 絶縁ラジオペンチ　１５０ｍｍ 受注単位1[rn]
6-12358,,1892.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZWS-150】(7623534) 絶縁ワイヤストリッパー　１５０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1000V絶縁仕様です。<br>●IEC60900規格品です。<br>●単線、より線の皮むき作業に適しています。<br>●ハンドル部は安全を目視で確認できるセーフティーサイン仕様です。<br><br><br>●全長(mm)：160<br>●適合電線：ケーブル線0.5～5mm<br>●質量(g)：160<br><br>●スプリング付<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZWS-150】(7623534) 絶縁ワイヤストリッパー　１５０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZWS-150】(7623534) 絶縁ワイヤストリッパー　１５０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZWS-150】(7623534) 絶縁ワイヤストリッパー　１５０ｍｍ 受注単位1[rn]
6-12359,,1833.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZSRP-160】(7623542) 絶縁ラウンドノーズプライヤー　１６０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1000V絶縁仕様です。<br>●IEC60900規格品です。<br>●ハンドル部は安全を目視で確認できるセーフティーサイン仕様です。<br>●電気工事などに使用します。<br><br><br>●全長(mm)：160<br>●質量(g)：110<br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZSRP-160】(7623542) 絶縁ラウンドノーズプライヤー　１６０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZSRP-160】(7623542) 絶縁ラウンドノーズプライヤー　１６０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZSRP-160】(7623542) 絶縁ラウンドノーズプライヤー　１６０ｍｍ 受注単位1[rn]
6-12360,,1707.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZCP140】(7623470) 絶縁電工ニッパ　１４０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1000V絶縁仕様です。<br>●IEC60900規格品です。<br>●ハンドル部は安全を目視で確認できるセーフティーサイン仕様です。<br>●高品質な原材料を用いることで、精密な作業を可能にし、ツール寿命も長くなっています。<br><br><br>●切断能力(mm)硬線：1.6<br>●全長(mm)：140<br>●質量(g)：160<br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZCP140】(7623470) 絶縁電工ニッパ　１４０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZCP140】(7623470) 絶縁電工ニッパ　１４０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZCP140】(7623470) 絶縁電工ニッパ　１４０ｍｍ 受注単位1[rn]
