14-69601,,21336.8000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,『カード対応OK！』■〒ダイジェット工業（株）/ダイジェット【DV-OCSAR4120-30】(4920813)サイレントラジアス 受注単位1,切削工具\旋削・フライス加工工具\超硬ラジアスエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>",『カード対応OK！』■〒ダイジェット工業（株）/ダイジェット【DV-OCSAR4120-30】(4920813)サイレントラジアス 受注単位1：クローバー資材館,『カード対応OK！』■〒ダイジェット工業（株）/ダイジェット【DV-OCSAR4120-30】(4920813)サイレントラジアス 受注単位1,切削工具\旋削・フライス加工工具\超硬ラジアスエンドミル。『カード対応OK！』■〒ダイジェット工業（株）/ダイジェット【DV-OCSAR4120-30】(4920813)サイレントラジアス 受注単位1[rn]
14-69650,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_109/4989999160468_ll.jpg?fitin=700:700,2203.2000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,トラスコ中山 TRUSCO　フラップホイール　外径40X幅30X軸径6　5個入　100♯ UF4030100 [UF4030100],,□商品説明<br>●一般金属用です。研磨布と研磨布の間が多少開いているため、目づまりが少なく最後まで使用できます。<br>●内面・曲面・平面、あらゆる研磨に、また回転数の調節で軟らかいものから硬いものまで自由に研磨できます。<br>●サイドのみ使用可能です。軸付なので自由自在に使用でき、ヘアラインの方向も一定です。<br>●加工ワークの形状によくなじみます。<br>●常に新しい砥粒面で研磨できる自生作用があります。<br>●放熱効果が大きく加工物を変質させません。<br>□商品仕様<br>●最高使用回転数:20000rpm<br>●粒度(#):100<br>●外径(mm):40<br>●幅(mm):30<br>●軸径(mm):6<br>●軸長(mm):40<br>●羽根枚数(枚):約70<br>●質量(g):285,トラスコ中山 TRUSCO　フラップホイール　外径40X幅30X軸径6　5個入　100♯ UF4030100 [UF4030100]：エディオン　楽天市場店,トラスコ中山 TRUSCO　フラップホイール　外径40X幅30X軸径6　5個入　100♯ UF4030100 [UF4030100],トラスコ中山 TRUSCO　フラップホイール　外径40X幅30X軸径6　5個入　100♯ UF4030100 [UF4030100][rn]
14-69651,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_076/4967521220866_ll.jpg?fitin=700:700,2008.8000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,スーパーツール 超硬バーシャンク径6ミリ（球型）ダブルカット（刃径：3．0） SB8C01 [SB8C01],,□商品説明<br>●独自開発の刃形状により、高速回転使用時にバーが不用意に被切削物に喰いこんでしまうことがないため、滑らかに加工でき能力アップに貢献します。<br>□商品仕様<br>●刃先タイプ:品番の末尾 S付・シングルカット、Sなし ダブルカット<br>●軸長50mm以下はオール超硬<br>●形状:球型（ダブルカット）<br>●刃径(mm):3.0<br>●刃長(mm):2.5<br>●軸径(mm):6<br>●軸長(mm):47.5<br>●タイプ:ロー付<br>●最高使用回転数(rpm):50000<br>●質量(g):19,スーパーツール 超硬バーシャンク径6ミリ（球型）ダブルカット（刃径：3．0） SB8C01 [SB8C01]：エディオン　楽天市場店,スーパーツール 超硬バーシャンク径6ミリ（球型）ダブルカット（刃径：3．0） SB8C01 [SB8C01],スーパーツール 超硬バーシャンク径6ミリ（球型）ダブルカット（刃径：3．0） SB8C01 [SB8C01][rn]
14-69652,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_077/4967521304733_ll.jpg?fitin=700:700,4212.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,【送料無料】スーパーツール 超硬バー（ハードタイプ）重切削用 SBH6C02 [SBH6C02],,□商品説明<br>●アルミナコーティング（TiAIN）の高硬度、優れた切削力を誇ります。<br>●重切削に適した刃形状になっています。<br>●高硬度鋼（～HRC55）・SUSの切削に最適です。<br>□商品仕様<br>●形状:卵型<br>●刃径(mm):9.5<br>●刃長(mm):16<br>●軸径(mm):6<br>●軸長(mm):44<br>●タイプ:ロー付<br>●最高使用回転数(rpm):22000<br>●質量(g):21,【送料無料】スーパーツール 超硬バー（ハードタイプ）重切削用 SBH6C02 [SBH6C02]：エディオン　楽天市場店,【送料無料】スーパーツール 超硬バー（ハードタイプ）重切削用 SBH6C02 [SBH6C02],【送料無料】スーパーツール 超硬バー（ハードタイプ）重切削用 SBH6C02 [SBH6C02][rn]
14-69653,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_107/4989999110302_ll.jpg?fitin=700:700,1244.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,トラスコ中山 TRUSCO　超硬バー　テーパー型　Φ6．4（22°）X刃長13X軸3　ダブル TB5B064 [TB5B064],,□商品説明<br>●切れ味が良くスムーズな加工ができます。<br>●スチールシャンクです。<br>●ダブルカットの刃形状のため、細かく切れた切り粉となります。<br>●加工物に食いつかず、スムーズな加工ができます。<br>□商品仕様<br>●形状:テーパー（ダブルカット）<br>●刃径(mm):6.4<br>●刃長(mm):13<br>●軸径(mm):3<br>●軸長(mm):38<br>●タイプ:ロー付<br>●最高使用回転数(rpm):26000<br>●角度(°):22<br>●質量(g):8,トラスコ中山 TRUSCO　超硬バー　テーパー型　Φ6．4（22&deg;）X刃長13X軸3　ダブル TB5B064 [TB5B064]：エディオン　楽天市場店,トラスコ中山 TRUSCO　超硬バー　テーパー型　Φ6．4（22&deg;）X刃長13X軸3　ダブル TB5B064 [TB5B064],トラスコ中山 TRUSCO　超硬バー　テーパー型　Φ6．4（22&deg;）X刃長13X軸3　ダブル TB5B064 [TB5B064][rn]
14-69654,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_113/4989999264029_ll.jpg?fitin=700:700,332.8000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,トラスコ中山 TRUSCO　チャンネルブラシ　フラットI型　ナイロン TB-2312 [TB2312],,□商品説明<br>●従来のチャンネルブラシに比べてハンドルが持ちやすく、長時間使用しても指が痛くなりにくいです。<br>●ハンドル部分には環境適応物質のメッキ処理をしています。<br>●柄の後ろの部分がヘラの形状になっているので、こびりついた汚れを落とすのに適しています。<br>□商品仕様<br>●ブラシ先端部、l型(直)<br>●毛材:66ナイロン<br>●行数(行):1<br>●線径(mm):0.30<br>●材質(ハンドル):スチール<br>●植付(mm):60<br>●毛丈(mm):15<br>●全長(mm):230<br>●幅(mm):20<br>●質量(g):50,トラスコ中山 TRUSCO　チャンネルブラシ　フラットI型　ナイロン TB-2312 [TB2312]：エディオン　楽天市場店,トラスコ中山 TRUSCO　チャンネルブラシ　フラットI型　ナイロン TB-2312 [TB2312],トラスコ中山 TRUSCO　チャンネルブラシ　フラットI型　ナイロン TB-2312 [TB2312][rn]
14-69655,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_059/4951989857030_ll.jpg?fitin=700:700,681.6000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,イチグチ BS　クロスサンダー　100X15　フェルト 85703 [85703],,□商品説明<br>●白棒や青棒を塗り込むことで簡単に鏡面研磨ができます。<br>□商品仕様<br>●粒度(#):ソフト<br>●外径(mm):100<br>●厚み(mm):5<br>●穴径(mm):15<br>●最高使用回転数(rpm):13000<br>●質量(g):28,イチグチ BS　クロスサンダー　100X15　フェルト 85703 [85703]：エディオン　楽天市場店,イチグチ BS　クロスサンダー　100X15　フェルト 85703 [85703],イチグチ BS　クロスサンダー　100X15　フェルト 85703 [85703][rn]
14-69656,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_109/4989999151527_ll.jpg?fitin=700:700,4749.6000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,【送料無料】トラスコ中山 TRUSCO　ナイロンディスク　Φ125X15X16　5個入　240＃ GPN125240 [GPN125240],,□商品説明<br>●絡み合ったナイロン繊維に砥材をまぶし固めた、ナイロン研磨材を使用しています。ペーパー研磨布の砥材が直接被研磨材に当たるのに対し、ナイロン研磨材は絡み合った繊維がクッションの役割を果たし、被研磨材を削り込みすぎることを防ぎます。主に研磨作業に使用します。自生作用が大きいため、目づまりしません。<br>□商品仕様<br>●最高使用周速度:26.2m/s（1570m/min）<br>●粒度(#):240<br>●外径(mm):125<br>●厚み(mm):15<br>●穴径(mm):16<br>●最高使用回転数(rpm):4000<br>●不織布枚数(枚):35<br>●質量(g):420,【送料無料】トラスコ中山 TRUSCO　ナイロンディスク　Φ125X15X16　5個入　240＃ GPN125240 [GPN125240]：エディオン　楽天市場店,【送料無料】トラスコ中山 TRUSCO　ナイロンディスク　Φ125X15X16　5個入　240＃ GPN125240 [GPN125240],【送料無料】トラスコ中山 TRUSCO　ナイロンディスク　Φ125X15X16　5個入　240＃ GPN125240 [GPN125240][rn]
14-69657,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_110/4989999181906_ll.jpg?fitin=700:700,5331.2000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,【送料無料】トラスコ中山 TRUSCO　ポップアップロールペーパー　93mmX37m　＃320 JBR-320 [JBR320],,□商品説明<br>●金属研磨のベーシックな研磨材、布やすりをロール状にしました。<br>●使いやすい幅や長さに、カットして使え無駄なく経済的に使えます。<br>●比較的柔軟性があるので曲面研磨にも適しています。<br>●巻きの中央からペーパーを引き出して必要な長さに切って使用できるポップアップ式のため、製品がバラけず湿気にくく長期間品質が変わりません。<br>●切り取り線に沿って228mm長さに切れば、93×288mm用電動サンダーに取り付けてもお使いいただけます。<br>□商品仕様<br>●実用新案 3093304<br>●幅(mm):93<br>●長さ(m):37<br>●粒度(P):320<br>●質量(kg):1.6,【送料無料】トラスコ中山 TRUSCO　ポップアップロールペーパー　93mmX37m　＃320 JBR-320 [JBR320]：エディオン　楽天市場店,【送料無料】トラスコ中山 TRUSCO　ポップアップロールペーパー　93mmX37m　＃320 JBR-320 [JBR320],【送料無料】トラスコ中山 TRUSCO　ポップアップロールペーパー　93mmX37m　＃320 JBR-320 [JBR320][rn]
14-69658,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_016/4547328101577_ll.jpg?fitin=700:700,18264.8000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,【送料無料】ダイジェット工業 アルミ加工用ソリッドエンドミル AL-SEES3160 [ALSEES3160],,□商品説明<br>●びびり現象を抑制し、切削領域が拡大しました。<br>●切れ味に優れ、高精度加工ができます。<br>●アルミ合金、非鉄金属加工に最適な刃先形状を採用しビビリを抑制しています。<br>●2枚刃タイプの1.5倍の加工能率です。<br>●あえて短い刃長を採用し、高剛性を確保しています。<br>□商品仕様<br>●ノンコーティング<br>●ねじれ角45°<br>●センターカット:付<br>●刃径(mm):16<br>●刃長(mm):24<br>●全長(mm):95<br>●シャンク径(mm):16,【送料無料】ダイジェット工業 アルミ加工用ソリッドエンドミル AL-SEES3160 [ALSEES3160]：エディオン　楽天市場店,【送料無料】ダイジェット工業 アルミ加工用ソリッドエンドミル AL-SEES3160 [ALSEES3160],【送料無料】ダイジェット工業 アルミ加工用ソリッドエンドミル AL-SEES3160 [ALSEES3160][rn]
14-69659,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_074/4962660508271_ll.jpg?fitin=700:700,1604.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,スターエム トリプルカッター　27.0 5008-270 [5008270],,□商品説明<br>●超硬チップろう付けタイプで経済的です。<br>●優れた超硬合金の特長と、豊富な再研磨回数で高い経済性を維持します。<br>□商品仕様<br>●適合機種:電気ドリル・インパクトドライバー（刃径25mm以下）・ボール盤<br>●刃径(mm):27<br>●溝長(mm):28<br>●全長(mm):130<br>●シャンク径(mm):8.00<br>●質量(g):70,スターエム トリプルカッター　27.0 5008-270 [5008270]：エディオン　楽天市場店,スターエム トリプルカッター　27.0 5008-270 [5008270],スターエム トリプルカッター　27.0 5008-270 [5008270][rn]
14-69660,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_111/4989999230963_ll.jpg?fitin=700:700,1296.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,トラスコ中山 TRUSCO　超硬バー　円筒型　Φ4X刃長16X軸6　ダブルカット TB1C040 [TB1C040],,□商品説明<br>●理想的な切れ刃形状の設計により優れた切れ味を実現しています。<br>□商品仕様<br>●形状:円筒（ダブルカット）<br>●刃径(mm):4<br>●刃長(mm):16<br>●軸径(mm):6<br>●軸長(mm):34<br>●タイプ:オール超硬<br>●最高使用回転数(rpm):35000<br>●質量(g):20,トラスコ中山 TRUSCO　超硬バー　円筒型　Φ4X刃長16X軸6　ダブルカット TB1C040 [TB1C040]：エディオン　楽天市場店,トラスコ中山 TRUSCO　超硬バー　円筒型　Φ4X刃長16X軸6　ダブルカット TB1C040 [TB1C040],トラスコ中山 TRUSCO　超硬バー　円筒型　Φ4X刃長16X軸6　ダブルカット TB1C040 [TB1C040][rn]
14-69661,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_009/4538709001098_ll.jpg?fitin=700:700,6983.2000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,【送料無料】大和製砥所 チェリー　金型砥石　C（カーボン）　1200 C43D1200 [C43D1200],,□商品説明<br>●中仕上げ、仕上げ用砥石です。<br>●乾式、湿式で使用できます。<br>●柔らかめの砥石です。<br>●＃120、＃180、＃240も製作可能です。<br>□商品仕様<br>●粒度(#):1200<br>●色:ブルーグレー<br>●長さ(mm):100<br>●幅(mm):13<br>●厚み(mm):3<br>●質量(g):85,【送料無料】大和製砥所 チェリー　金型砥石　C（カーボン）　1200 C43D1200 [C43D1200]：エディオン　楽天市場店,【送料無料】大和製砥所 チェリー　金型砥石　C（カーボン）　1200 C43D1200 [C43D1200],【送料無料】大和製砥所 チェリー　金型砥石　C（カーボン）　1200 C43D1200 [C43D1200][rn]
14-69662,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_006/4532373019618_ll.jpg?fitin=700:700,5761.6000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,【送料無料】ニューレジストン NRS　超硬バー　軸径8（mm）楕円Dカット TCBT5850D [TCBT5850D],,□商品説明<br>●切削からバリ取りまで、各種金属加工に幅広くご使用いただけます。<br>□商品仕様<br>●使用工具:軸付きグラインダー<br>●形状:楕円（ダブルdカット）<br>●刃径(mm):16<br>●刃長(mm):36<br>●軸径(mm):8<br>●軸長(mm):44<br>●タイプ:ロー付<br>●最高使用回転数(rpm):25000<br>●全長(mm):80<br>●質量(g):77,【送料無料】ニューレジストン NRS　超硬バー　軸径8（mm）楕円Dカット TCBT5850D [TCBT5850D]：エディオン　楽天市場店,【送料無料】ニューレジストン NRS　超硬バー　軸径8（mm）楕円Dカット TCBT5850D [TCBT5850D],【送料無料】ニューレジストン NRS　超硬バー　軸径8（mm）楕円Dカット TCBT5850D [TCBT5850D][rn]
14-69663,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_053/4930342888386_ll.jpg?fitin=700:700,461.6000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,サンコーミタチ MG180X　カーボンブラシ（1セット2個入） CB1004 [CB1004],,□商品仕様<br>●組入数:2コ<br>●適合機種:MG-180X<br>●品名:カーボンブラシ<br>●質量(g):5,サンコーミタチ MG180X　カーボンブラシ（1セット2個入） CB1004 [CB1004]：エディオン　楽天市場店,サンコーミタチ MG180X　カーボンブラシ（1セット2個入） CB1004 [CB1004],サンコーミタチ MG180X　カーボンブラシ（1セット2個入） CB1004 [CB1004][rn]
14-69664,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_078/4969655807715_ll.jpg?fitin=700:700,518.4000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,ボッシュ ドレメル　シリコンカーバイト砥石（2個入り） 84922N [84922N],,□商品説明<br>●石やガラス、セラミック、磁器、非鉄金属の研削用に設計されています。<br>□商品仕様<br>●軸径(mm):3.2<br>●長さ(mm):11.5<br>●砥石径(mm):4.8<br>●質量(g):10,ボッシュ ドレメル　シリコンカーバイト砥石（2個入り） 84922N [84922N]：エディオン　楽天市場店,ボッシュ ドレメル　シリコンカーバイト砥石（2個入り） 84922N [84922N],ボッシュ ドレメル　シリコンカーバイト砥石（2個入り） 84922N [84922N][rn]
14-69665,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_026/4562137341587_ll.jpg?fitin=700:700,48006.4000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,【送料無料】オフィスマイン マインカーブサンダー電気式 TOM-E [TOME],,□商品説明<br>●まるで彫刻刀のように扱えます。<br>●お手軽なハンディータイプのホイール研磨工具です。<br>●研磨箇所を広げずに気がねなくポイントだけを研磨できます。<br>●ステンレスなどの仕上げ研磨（ヘアライン、鏡面）に最適です。<br>●ダイカスト、成形品など複雑面研磨に適しています。<br>●金属の焼け取りや傷取りに使用できます。<br>□商品仕様<br>●電源:AC100V<br>●コード長さ:2m<br>●ホイールサイズ:径50～60mm<br>●無負荷回転数(min[[の-1乗]]):7000<br>●定格電流(A):2.1<br>●消費電力(W):210<br>●質量(kg):1.26,【送料無料】オフィスマイン マインカーブサンダー電気式 TOM-E [TOME]：エディオン　楽天市場店,【送料無料】オフィスマイン マインカーブサンダー電気式 TOM-E [TOME],【送料無料】オフィスマイン マインカーブサンダー電気式 TOM-E [TOME][rn]
14-69666,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_122/7311518172367_ll.jpg?fitin=700:700,2615.2000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,スナップオン・ツールズ バーコ　折込式剪定のこサンクローラップランダー 396-LAP [396LAP],,□商品説明<br>●高周波焼き入れのXT歯。3山ごとに精密アサリを付けそのアサリのみを短くした高低歯設計です。<br>●長い歯が深く素早く切り込み、短い歯がきれいな切り口に仕上げます。<br>□商品仕様<br>●刃長(mm):190<br>●全長(mm):405<br>●質量(g):200,スナップオン・ツールズ バーコ　折込式剪定のこサンクローラップランダー 396-LAP [396LAP]：エディオン　楽天市場店,スナップオン・ツールズ バーコ　折込式剪定のこサンクローラップランダー 396-LAP [396LAP],スナップオン・ツールズ バーコ　折込式剪定のこサンクローラップランダー 396-LAP [396LAP][rn]
14-69667,http://tshop.r10s.jp/okoshi/cabinet/ad3000/3130_01.jpg?fitin=700:700,3984.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,★タイムセール★ステンレス用超硬セミロングホールソー 10本セット鋼チップ付ステンレス対応ホルソー53mm 50mm 45mm 35mm 30mm 25mm 22mm 20mm 18mm 16mm,石膏ボード、鉄板などの穴あけに,"<FONT size=""-2"">【検索ワード】ＨＳＳ ハイス鋼　セミロング 鉄　ホルソー　ビット 先端工具　ドリル　先端ドリル　先端工具</FONT><BR>
<BR>
■ホールソーサイズ<br>
53 / 50 / 45 / 35 / 30 / 25 / 22 / 20 / 18 /16 （mm/単位）<br>
■有効長<br>
6mm（最大切込深さ）<br>
■センタードリル径<br>
6mm<br>
■付属<br>
専用ケース / レンチ<br>
<br>
■ご注意<br>
・ケースにキズ汚れと、内側のスポンジやサイズ表記の紙に損傷があります。<br>
・ご使用の際には、安全の為、皮製の手袋、ゴーグル等をご使用下さい。<br>
・厚みのある鉄板やステンレス板に使用する場合は、必ず切削油を使用してください。<br>
<br>
<img src=""http://image.rakuten.co.jp/okoshi/cabinet/comm/at006.gif"" border=""0"">",★タイムセール★ステンレス用超硬セミロングホールソー 10本セット鋼チップ付ステンレス対応ホルソー53mm 50mm 45mm 35mm 30mm 25mm 22mm 20mm 18mm 16mm：毎度おこし安,★タイムセール★ステンレス用超硬セミロングホールソー 10本セット鋼チップ付ステンレス対応ホルソー53mm 50mm 45mm 35mm 30mm 25mm 22mm 20mm 18mm 16mm,石膏ボード、鉄板などの穴あけに。★タイムセール★ステンレス用超硬セミロングホールソー 10本セット鋼チップ付ステンレス対応ホルソー53mm 50mm 45mm 35mm 30mm 25mm 22mm 20mm 18mm 16mm[rn]
14-69668,http://tshop.r10s.jp/shopjapan/cabinet/rvt/rvt_basic.jpg?fitin=700:700,13440.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,【選べる特典付き!】リノベーター マルチツールキット ベーシックセット【DIY】【研磨機】【正規品】【ショップジャパン】【ワンダーコア ワンダーコアスマート スレンダートーン セラフィット】も発売中！,切断、研磨、解体、剥離&hellip;あらゆる作業がたった1台！,,【選べる特典付き!】リノベーター マルチツールキット ベーシックセット【DIY】【研磨機】【正規品】【ショップジャパン】【ワンダーコア ワンダーコアスマート スレンダートーン セラフィット】も発売中！：ショップジャパン 楽天市場店,ワンダーコアセラフィットトゥルースリーパーショップジャパンスタイルプラススイーパースレンダートーンエアウェーブフライヤーマジックブレッドナイスデイ腹筋マシーンフライパンセラミックフライパンマットレス低反発低反発マットレストゥルースリーパープレミアムスレンダートーンプレミアムEMSフライパン　セラミックニンジャ【選べる特典付き!】リノベーター マルチツールキット ベーシックセット【DIY】【研磨機】【正規品】【ショップジャパン】【ワンダーコア ワンダーコアスマート スレンダートーン セラフィット】も発売中！,切断、研磨、解体、剥離&hellip;あらゆる作業がたった1台！。【選べる特典付き!】リノベーター マルチツールキット ベーシックセット【DIY】【研磨機】【正規品】【ショップジャパン】【ワンダーコア ワンダーコアスマート スレンダートーン セラフィット】も発売中！[rn]
14-69669,http://tshop.r10s.jp/tuzukiya/cabinet/main/b02/b02-1848.jpg?fitin=700:700,9000.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,ボッシュ ディスクグラインダー （GWS7-100E）,　,"【特長】<br>
56mmφのグリップは、グリップ円周176mmとクラス最細。<br>
どんな作業でも疲れ知らずでラクにこなせます。<br>
カーボンブラシ収納部が面一にデザインされたボディは、作業に応じて握る位置を変更可能。<br>
耐久性やパワーを犠牲にすることなく、使いやすいボディ形状を実現しました。<br>
<br>",ボッシュ ディスクグラインダー （GWS7-100E）：ＤＩＹツールストア　楽天市場店,PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドボッシュ ディスクグラインダー （GWS7-100E）,　。ボッシュ ディスクグラインダー （GWS7-100E）[rn]
14-69670,http://tshop.r10s.jp/tuzukiya/cabinet/main/f23-3/f23-0040.jpg?fitin=700:700,1925.6000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,E-Value ディスクグラインダー550W 100mm （EDG-550）,サイドハンドル付でしっかりと本体を保持できます,"【特長】<br>
握りやすい56mm細径ボディ。<br>
金属の切断、木材・金属の研磨、サビ落とし、塗装落とし作業に、最適。<br>
サイドハンドル付でしっかりと本体を保持できる。<br>
安全メガネ、マスク、耳せんなどの保護具を着用して作業してください。本機に付属の安全カバーを外した状態で作業しないでください。<br>
<br>
<br>
【研削砥石寸法】外径100・厚さ6・内径15mm。<br>
<br>
【回転数】11000ｍｉｎ－1。<br>
<br>
【電源】AC100V。<br>
<br>
【電流】5.7A。<br>
<br>
【消費電力】550W。<br>
<br>
【コード長】2.3m。<br>
<br>
【重量】1600ｇ。<br>
<br>
【標準付属品】<br>
研削砥石36P、ロックナットレンチ、サイドハンドル、予備カーボンブラシ",E-Value ディスクグラインダー550W 100mm （EDG-550）：ＤＩＹツールストア　楽天市場店,PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドE-Value ディスクグラインダー550W 100mm （EDG-550）,サイドハンドル付でしっかりと本体を保持できます。E-Value ディスクグラインダー550W 100mm （EDG-550）[rn]
14-69671,http://tshop.r10s.jp/tuzukiya/cabinet/main/y01/y01-1410.jpg?fitin=700:700,704.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,ヤナセ 艶出しフェルトバフセット   PS-6,,"【特長】<br>
金属全般・ ガラス・ 石材・ 貝殻・ 皮・ プラスチックの艶出し作業に。<br>
セット内容:フェルト軸付砲弾型1本フェルト軸付円筒型1本セーム皮バフ1本コットンバフ1本羊毛バフ1本。<br>
用途に合った研磨材を塗布してご使用ください。2.35mm軸対応のルーターに取り付け使用してください。<br>
●重量:34g商品の分類：替え消耗品<br>",ヤナセ 艶出しフェルトバフセット   PS-6：ＤＩＹツールストア　楽天市場店,PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドヤナセ 艶出しフェルトバフセット   PS-6,ヤナセ 艶出しフェルトバフセット   PS-6[rn]
14-69672,http://tshop.r10s.jp/tuzukiya/cabinet/y01/y01-0752.jpg?fitin=700:700,204.8000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,ヤナセ 軸付フェルトポイント   S2-167,,"2.34mm軸先端シリーズ<br>
ブラシ・バフ・フェルト<br>
ミニルーター用の先端パーツシリーズです。細かいワークの研磨や、貴金属の磨きに最適です。<br>
金属の仕上げ、光沢出しに最適!<br>
【特長】<br>
●柔らかい羊毛を圧縮しており、極めて美しい仕上げ研磨が出来ます。<br>
●色んな形状をご用意していますので用途に合わせてご使用下さい。<br>
※使用時には研磨剤(青棒、白棒、液体研磨剤など)を塗布してご使用下さい。<br>
【用途】<br>
●金属の仕上げ研磨、艶出し、拭き取り等に適しています。<br>
●指輪などのふき取り、微細金具の光沢出し等に適しています。<br>
●研磨剤と組み合わせると扱い易いです。<br>
梱包形態：吊り下げ袋<br>
形状：円筒型<br>
本体サイズ：4×8×2.34<br><br>
（メーカー）　柳瀬 株式会社（ヤナセ）<br><br>",ヤナセ 軸付フェルトポイント   S2-167：ＤＩＹツールストア　楽天市場店,PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドヤナセ 軸付フェルトポイント   S2-167,ヤナセ 軸付フェルトポイント   S2-167[rn]
14-69673,http://tshop.r10s.jp/takisyo/cabinet/01211862/01216017/img56769994.jpg?fitin=700:700,5333.6000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,チップソー研磨機 DケンマーSP低速ディスクグラインダー付き,チップソー 研磨機なら瀧商店！再研磨でチップソーが生き返る,・替え砥石はこちら,チップソー研磨機 DケンマーSP低速ディスクグラインダー付き：瀧商店,屋外照明農業用品農機具藤棚ぶどう棚パーゴラ園芸用品家庭菜園ミソノ包丁温室バーベキューコンロ温室ハラックスタカショーピカ防草シートザバーン除草剤チップソー研磨機 DケンマーSP低速ディスクグラインダー付き,チップソー 研磨機なら瀧商店！再研磨でチップソーが生き返る。チップソー研磨機 DケンマーSP低速ディスクグラインダー付き[rn]
