14-79101,http://tshop.r10s.jp/kaumall/cabinet/500_119/k3006351sl.jpg?fitin=700:700,136.0000,,インテリア・寝具・収納 > オフィス家具 > オフィス収納 > その他,「カウコレ」プレミアム ２ＷＡＹチェックマーカー　イエロー＆グレー,,●インク色／イエロー、グレー<br>●インキ種類／水性顔料インク<br>●仕様／ツインタイプ<br>●仕様／直液式<br>●単位／１本<br>●メーカー品番／42403869<br><br>※この商品は、商品デザイン、パッケージが予告なく変更される場合があります。<br><br>ギフト詳細はパソコンサイトをご覧ください。,「カウコレ」プレミアム ２ＷＡＹチェックマーカー　イエロー＆グレー：カウモール,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得送料無料ドリンク水ミネラルウォータートイレットペーパーティッシュＯＡ用品コピー用紙カウモールファイル文具翌日配送明日お届けマガジンラックレターケースペン日用品インクカートリッジシュレッダー梱包用品「カウコレ」プレミアム ２ＷＡＹチェックマーカー　イエロー＆グレー,★商品合計金額1800円以上送料無料★。「カウコレ」プレミアム ２ＷＡＹチェックマーカー　イエロー＆グレー[rn]
14-79176,http://tshop.r10s.jp/gingakyu/cabinet/mobile8/m095032.jpg?fitin=700:700,23424.0000,,インテリア・寝具・収納 > オフィス家具 > オフィス収納 > その他,【ポイント10倍 4/21 21時から】収納ラック 回転 収納棚 スピン 幅50cm高さ142cm ホワイト ラック フリーラック 回転ラック 回転式 ボックス 収納ボックス 棚 収納棚 回転棚 キッチン リビング キッチン収納,,"<p align=""center"">
 <img src=""http://image.rakuten.co.jp/gingakyu/cabinet/ba/160518_makerb_sp.jpg"" border=""0"">
</p><br><br><table width=""100%"" border=""1"" cellpadding=""5"" cellspacing=""0"" bordercolor=""#c4c4c4"">
<tr>
<th colspan=""2"" align=""center"">
<font size=""-1"">商品詳細情報</font></th>
</tr><tr>
<th bgcolor=""#f2f2f2"" width=""20%"" align=""center"">
<font size=""-2"">サイズ<br>(単位：cm)</font></th>
<td>
<font size=""-2"">幅75.2x奥行73.5x高さ89.8 </font></td>
</tr>
<tr>
<th bgcolor=""#f2f2f2"" width=""20%"" align=""center"">
<font size=""-2"">素材</font></th>
<td>
<font size=""-2"">合成樹脂化粧合板　5mm強化ガラス</font></td>
</tr>
<tr>
<th bgcolor=""#f2f2f2"" width=""20%"" align=""center""><font size=""-2"">カラー</font></th>
<td>
<font size=""-2"">ウォルナット、ホワイト</font></td>
</tr>
<tr>
<th bgcolor=""#f2f2f2"" width=""20%"" align=""center"">
<font size=""-2"">特長</font></th>
<td>
<font size=""-2"">■スピンラック<br>■強化ガラス<br>■棚<br>■収納<br>■2カラー</font></td>
</tr>
<tr>
<th bgcolor=""#f2f2f2"" width=""20%"" align=""center"">
<font size=""-2"">送料の案内</font></th>
<td>
<font size=""-2"">・東京都一部地域・ 東北・北海道・沖縄県追加送料「地域別追加送料選択肢を必ずご確認ください。」<br>
※運送上の都合により東京都の一部の地域も追加送料が発生する場合もございます。<br>・ 沖縄本島以外、離島はお問い合わせください。</font></td>
</tr>
</table>",【ポイント10倍 4/21 21時から】収納ラック 回転 収納棚 スピン 幅50cm高さ142cm ホワイト ラック フリーラック 回転ラック 回転式 ボックス 収納ボックス 棚 収納棚 回転棚 キッチン リビング キッチン収納：銀河家具999,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ソファーベッドソファベッドソファーソファ2人掛けソファリクライニングソファー座椅子座いす低反発 座椅子リクライニング座椅子ダイニング3点セットダイニング5点セットダイニングテーブルラグベッドパソコンチェアデスクチェアオフィスチェア全身鏡ハンガー【ポイント10倍 4/21 21時から】収納ラック 回転 収納棚 スピン 幅50cm高さ142cm ホワイト ラック フリーラック 回転ラック 回転式 ボックス 収納ボックス 棚 収納棚 回転棚 キッチン リビング キッチン収納,回転 収納棚 ラック フリーラック 収納ボックス 棚 収納棚。【ポイント10倍 4/21 21時から】収納ラック 回転 収納棚 スピン 幅50cm高さ142cm ホワイト ラック フリーラック 回転ラック 回転式 ボックス 収納ボックス 棚 収納棚 回転棚 キッチン リビング キッチン収納[rn]
14-79177,http://tshop.r10s.jp/gingakyu/cabinet/mobile8/m095029.jpg?fitin=700:700,3248.0000,,インテリア・寝具・収納 > オフィス家具 > オフィス収納 > その他,【ポイント10倍 4/21 21時から】東谷 AZZUMAYA 収納 棚 トツゾー 収納ボックス トランク 収納 収納ラック リビング シェルフ 多目的ラック ディスプレイ 北欧 人気 おしゃれ 実用的 多目的 組み合わせ自由,,"<p align=""center"">
 <img src=""http://image.rakuten.co.jp/gingakyu/cabinet/ba/160518_makerb_sp.jpg"" border=""0"">
</p><br><br><table width=""100%"" border=""1"" cellpadding=""5"" cellspacing=""0"" bordercolor=""#c4c4c4"">
<tr>
<th colspan=""2"" align=""center"">
<font size=""-1"">商品詳細情報</font></th>
</tr><tr>
<th bgcolor=""#f2f2f2"" width=""20%"" align=""center"">
<font size=""-2"">サイズ<br>(単位：cm)</font></th>
<td>
<font size=""-2"">幅54×奥行23×高さ36</font></td>
</tr>
<tr>
<th bgcolor=""#f2f2f2"" width=""20%"" align=""center"">
<font size=""-2"">素材</font></th>
<td>
<font size=""-2"">合成樹脂化粧合板</font></td>
</tr>
<tr>
<th bgcolor=""#f2f2f2"" width=""20%"" align=""center""><font size=""-2"">カラー</font></th>
<td>
<font size=""-2"">ブラウン、ナチュラル、ホワイト</font></td>
</tr>
<tr>
<th bgcolor=""#f2f2f2"" width=""20%"" align=""center"">
<font size=""-2"">特長</font></th>
<td>
<font size=""-2"">■トツソー<br>■パズルラック<br>■棚<br>■収納<br>■3カラー</font></td>
</tr>
<tr>
<th bgcolor=""#f2f2f2"" width=""20%"" align=""center"">
<font size=""-2"">送料の案内</font></th>
<td>
<font size=""-2"">・東京都一部地域・ 東北・北海道・沖縄県追加送料「地域別追加送料選択肢を必ずご確認ください。」<br>
※運送上の都合により東京都の一部の地域も追加送料が発生する場合もございます。<br>・ 沖縄本島以外、離島はお問い合わせください。</font></td>
</tr>
</table>",【ポイント10倍 4/21 21時から】東谷 AZZUMAYA 収納 棚 トツゾー 収納ボックス トランク 収納 収納ラック リビング シェルフ 多目的ラック ディスプレイ 北欧 人気 おしゃれ 実用的 多目的 組み合わせ自由：銀河家具999,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ソファーベッドソファベッドソファーソファ2人掛けソファリクライニングソファー座椅子座いす低反発 座椅子リクライニング座椅子ダイニング3点セットダイニング5点セットダイニングテーブルラグベッドパソコンチェアデスクチェアオフィスチェア全身鏡ハンガー【ポイント10倍 4/21 21時から】東谷 AZZUMAYA 収納 棚 トツゾー 収納ボックス トランク 収納 収納ラック リビング シェルフ 多目的ラック ディスプレイ 北欧 人気 おしゃれ 実用的 多目的 組み合わせ自由,収納 収納ラック リビング シェルフ 多目的ラック ディスプレイ。【ポイント10倍 4/21 21時から】東谷 AZZUMAYA 収納 棚 トツゾー 収納ボックス トランク 収納 収納ラック リビング シェルフ 多目的ラック ディスプレイ 北欧 人気 おしゃれ 実用的 多目的 組み合わせ自由[rn]
14-79178,http://tshop.r10s.jp/kadenrand/cabinet/jishahin8/227777-e.jpg?fitin=700:700,359.2000,,インテリア・寝具・収納 > オフィス家具 > オフィス収納 > その他,ジョイントケース JIC-L アイリスオーヤマ,,"<img src=https://image.rakuten.co.jp/kadenrand/cabinet/banner/170331mara750.jpg width=100%><br><br>オフィスや家庭の机周りをスッキリ収納できる、ジョイントケース3個セット♪<br>クリアタイプなので一目で中身が確認できます。<br>フタを外して重ねて連結できるので持ち運びもラクラク！<br>ふせん・薬などの小物収納にオススメです。<br><br><br>●商品サイズ（cm）※製品1個あたり<br>外寸：幅約16.3×奥行約10.1×高さ約4.1<br>内寸：幅約12.6×奥行約7.8×高さ約3<br>●材質<br>ポリプロピレン<br><!--新生活特集バナー--><br><br><img src=http://image.rakuten.co.jp/kadenrand/cabinet/web_bn/160310kadenfair_02.jpg border=0 width=100% alt=""新生活 家電セール 冷蔵庫 掃除機 洗濯機 電子レンジ""><br><br>",ジョイントケース JIC-L アイリスオーヤマ：ショッピングランド　でんでん,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得家電アイリスオーヤマ布団乾燥機 カラリエダイキン DAIKIN加湿器IHクッキングヒーターLED電球空気清浄機LEDシーリングライト暖房掃除機送料無料象印 ZOJIRUSHIスティッククリーナーイヤホン楽天時計カシオ CASIOセイコー SEIKOSHARP シャープジョイントケース JIC-L アイリスオーヤマ,【新生活応援】。ジョイントケース JIC-L アイリスオーヤマ[rn]
14-79179,http://tshop.r10s.jp/kadenrand/cabinet/jishahin8/227780-e.jpg?fitin=700:700,719.2000,,インテリア・寝具・収納 > オフィス家具 > オフィス収納 > その他,ジョイントケース JIC-B5 アイリスオーヤマ,,"<img src=https://image.rakuten.co.jp/kadenrand/cabinet/banner/170331mara750.jpg width=100%><br><br>オフィスや家庭の机周りをスッキリ収納できる、B5サイズのジョイントケース3個セット♪<br>クリアタイプなので一目で中身が確認できます。<br>フタを外して重ねて連結できるので持ち運びもラクラク！<br><br><br>●商品サイズ（cm）※製品1個あたり<br>外寸：幅約31.3×奥行約21.2×高さ約4.2<br>内寸：幅約27.3×奥行約18.4×高さ約2.8<br>●材質<br>ポリプロピレン<br><!--新生活特集バナー--><br><br><img src=http://image.rakuten.co.jp/kadenrand/cabinet/web_bn/160310kadenfair_02.jpg border=0 width=100% alt=""新生活 家電セール 冷蔵庫 掃除機 洗濯機 電子レンジ""><br><br>",ジョイントケース JIC-B5 アイリスオーヤマ：ショッピングランド　でんでん,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得家電アイリスオーヤマ布団乾燥機 カラリエダイキン DAIKIN加湿器IHクッキングヒーターLED電球空気清浄機LEDシーリングライト暖房掃除機送料無料象印 ZOJIRUSHIスティッククリーナーイヤホン楽天時計カシオ CASIOセイコー SEIKOSHARP シャープジョイントケース JIC-B5 アイリスオーヤマ,【新生活応援】。ジョイントケース JIC-B5 アイリスオーヤマ[rn]
14-79180,http://tshop.r10s.jp/kadenrand/cabinet/jishahin8/227778-e.jpg?fitin=700:700,479.2000,,インテリア・寝具・収納 > オフィス家具 > オフィス収納 > その他,ジョイントケース JIC-HA アイリスオーヤマ,,"<img src=https://image.rakuten.co.jp/kadenrand/cabinet/banner/170331mara750.jpg width=100%><br><br>オフィスや家庭の机周りをスッキリ収納できる、ハガキサイズのジョイントケース3個セット♪<br>クリアタイプなので一目で中身が確認できます。<br>フタを外して重ねて連結できるので持ち運びもラクラク！<br><br><br>●商品サイズ（cm）※製品1個あたり<br>外寸：幅約19.8×奥行約14.5×高さ約4.2<br>内寸：幅約16×奥行約12×高さ約2.8<br>●材質<br>ポリプロピレン<br><!--新生活特集バナー--><br><br><img src=http://image.rakuten.co.jp/kadenrand/cabinet/web_bn/160310kadenfair_02.jpg border=0 width=100% alt=""新生活 家電セール 冷蔵庫 掃除機 洗濯機 電子レンジ""><br><br>",ジョイントケース JIC-HA アイリスオーヤマ：ショッピングランド　でんでん,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得家電アイリスオーヤマ布団乾燥機 カラリエダイキン DAIKIN加湿器IHクッキングヒーターLED電球空気清浄機LEDシーリングライト暖房掃除機送料無料象印 ZOJIRUSHIスティッククリーナーイヤホン楽天時計カシオ CASIOセイコー SEIKOSHARP シャープジョイントケース JIC-HA アイリスオーヤマ,【新生活応援】。ジョイントケース JIC-HA アイリスオーヤマ[rn]
14-79181,http://tshop.r10s.jp/kadenrand/cabinet/jishahin8/227786-e.jpg?fitin=700:700,439.2000,,インテリア・寝具・収納 > オフィス家具 > オフィス収納 > その他,ジョイントケース JIC-PN アイリスオーヤマ,,"<img src=https://image.rakuten.co.jp/kadenrand/cabinet/banner/170331mara750.jpg width=100%><br><br>オフィスや家庭の机周りをスッキリ収納できる、ジョイントケース3個セット♪<br>クリアタイプなので一目で中身が確認できます。<br>フタを外して重ねて連結できるので持ち運びもラクラク！<br>ペンやはさみなどの文具収納にオススメです。<br><br><br>●商品サイズ（cm）※製品1個あたり<br>外寸：幅約21.5×奥行約10.1×高さ約4.4<br>内寸：幅約18.3×奥行約7.8×高さ約3.4<br>●材質<br>ポリプロピレン<br><!--新生活特集バナー--><br><br><img src=http://image.rakuten.co.jp/kadenrand/cabinet/web_bn/160310kadenfair_02.jpg border=0 width=100% alt=""新生活 家電セール 冷蔵庫 掃除機 洗濯機 電子レンジ""><br><br>",ジョイントケース JIC-PN アイリスオーヤマ：ショッピングランド　でんでん,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得家電アイリスオーヤマ布団乾燥機 カラリエダイキン DAIKIN加湿器IHクッキングヒーターLED電球空気清浄機LEDシーリングライト暖房掃除機送料無料象印 ZOJIRUSHIスティッククリーナーイヤホン楽天時計カシオ CASIOセイコー SEIKOSHARP シャープジョイントケース JIC-PN アイリスオーヤマ,【新生活応援】。ジョイントケース JIC-PN アイリスオーヤマ[rn]
14-79182,http://tshop.r10s.jp/e-akari/cabinet/jishahin8/227777-e.jpg?fitin=700:700,359.2000,,インテリア・寝具・収納 > オフィス家具 > オフィス収納 > その他,ジョイントケース JIC-L アイリスオーヤマ,,オフィスや家庭の机周りをスッキリ収納できる、ジョイントケース3個セット♪<br>クリアタイプなので一目で中身が確認できます。<br>フタを外して重ねて連結できるので持ち運びもラクラク！<br>ふせん・薬などの小物収納にオススメです。<br><br><br>●商品サイズ（cm）※製品1個あたり<br>外寸：幅約16.3×奥行約10.1×高さ約4.1<br>内寸：幅約12.6×奥行約7.8×高さ約3<br>●材質<br>ポリプロピレン<br>,ジョイントケース JIC-L アイリスオーヤマ：JOYライト,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得LED電球LED照明家電ライトデスクライトシーリングライトセンサーライト防犯ライトペンダントライトおしゃれ照明アイリスオーヤマシーリングファンスタンドライトグロー直管蛍光灯LEDランプ間接照明デスクライトフロアライトジョイントケース JIC-L アイリスオーヤマ,3000円(税抜）以上お買物で送料無料！。ジョイントケース JIC-L アイリスオーヤマ[rn]
14-79183,http://tshop.r10s.jp/e-akari/cabinet/jishahin8/227780-e.jpg?fitin=700:700,719.2000,,インテリア・寝具・収納 > オフィス家具 > オフィス収納 > その他,ジョイントケース JIC-B5 アイリスオーヤマ,,オフィスや家庭の机周りをスッキリ収納できる、B5サイズのジョイントケース3個セット♪<br>クリアタイプなので一目で中身が確認できます。<br>フタを外して重ねて連結できるので持ち運びもラクラク！<br><br><br>●商品サイズ（cm）※製品1個あたり<br>外寸：幅約31.3×奥行約21.2×高さ約4.2<br>内寸：幅約27.3×奥行約18.4×高さ約2.8<br>●材質<br>ポリプロピレン<br>,ジョイントケース JIC-B5 アイリスオーヤマ：JOYライト,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得LED電球LED照明家電ライトデスクライトシーリングライトセンサーライト防犯ライトペンダントライトおしゃれ照明アイリスオーヤマシーリングファンスタンドライトグロー直管蛍光灯LEDランプ間接照明デスクライトフロアライトジョイントケース JIC-B5 アイリスオーヤマ,3000円(税抜）以上お買物で送料無料！。ジョイントケース JIC-B5 アイリスオーヤマ[rn]
14-79184,http://tshop.r10s.jp/homeshop/cabinet/cakkk3/nd-s722-1.jpg?fitin=700:700,9630.4000,,インテリア・寝具・収納 > オフィス家具 > オフィス収納 > その他,【代引不可・時間指定不可】【メーカー直送】ナカバヤシ セキュリティデスクターナ2段(扉・鍵付き) ND-S722 ニューグレー,,"<p><img src=""https://www.rakuten.ne.jp/gold/homeshop/banner/chokuso_400.jpg""></p>

<p><img src=""https://www.rakuten.ne.jp/gold/homeshop/w/wrapping/wrapping_ng320.jpg""></p>

<p><img src=""https://www.rakuten.ne.jp/gold/homeshop/w/backorder/stock-smp320px.gif"" border=""0""></p>

【代引き不可】【メーカー直送】
<hr>
■本体寸法(WxDxH)：500x300x600mm<br>
■本体重量：約8.4kg<br>
■材質：本体/スチール粉体塗装<br>
■ロック式キャスター付<br>
■中棚板30mmピッチ可変
<hr>
オフィスの安全に。<br>
鍵付きで大切な書類やファイルを保管します。<br>
ロータイプなのでデスク下に収納できます。",【代引不可・時間指定不可】【メーカー直送】ナカバヤシ セキュリティデスクターナ2段(扉・鍵付き) ND-S722 ニューグレー：ホームショッピング,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ホームショッピングデジカメ一眼レフカメラデジタル一眼レフ電子ピアノ激安コピー複合機G-SHOCK電波時計送料無料プラズマテレビ交換レンズビデオカメラキーボードHDDレコーダーDVD液晶テレビ福袋ホームシアター【代引不可・時間指定不可】【メーカー直送】ナカバヤシ セキュリティデスクターナ2段(扉・鍵付き) ND-S722 ニューグレー,ショップ・オブ・ジ・エリア2016受賞！。【代引不可・時間指定不可】【メーカー直送】ナカバヤシ セキュリティデスクターナ2段(扉・鍵付き) ND-S722 ニューグレー[rn]
14-79185,http://tshop.r10s.jp/rack-kan/cabinet/jishahin8/227777-e.jpg?fitin=700:700,674.4000,,インテリア・寝具・収納 > オフィス家具 > オフィス収納 > その他,エントリーで全品P3倍★ジョイントケース JIC-L アイリスオーヤマ 送料無料,,オフィスや家庭の机周りをスッキリ収納できる、ジョイントケース3個セット♪<br>クリアタイプなので一目で中身が確認できます。<br>フタを外して重ねて連結できるので持ち運びもラクラク！<br>ふせん・薬などの小物収納にオススメです。<br><br><br>●商品サイズ（cm）※製品1個あたり<br>外寸：幅約16.3×奥行約10.1×高さ約4.1<br>内寸：幅約12.6×奥行約7.8×高さ約3<br>●材質<br>ポリプロピレン<br>,エントリーで全品P3倍★ジョイントケース JIC-L アイリスオーヤマ 送料無料：収納・家具・寝具の収納宅配館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得アイリスオーヤマエアウィーヴカラーボックス敷きパッドクール寝具マットレスチェストメタルラックラックパイプハンガー布団セット収納ボックス本棚送料無料ケース座椅子シンサレート掛け布団コルクマット収納エントリーで全品P3倍★ジョイントケース JIC-L アイリスオーヤマ 送料無料,エントリーで全品P3倍＆送料無料。エントリーで全品P3倍★ジョイントケース JIC-L アイリスオーヤマ 送料無料[rn]
14-79186,http://tshop.r10s.jp/rack-kan/cabinet/jishahin8/227780-e.jpg?fitin=700:700,1037.6000,,インテリア・寝具・収納 > オフィス家具 > オフィス収納 > その他,エントリーで全品P3倍★ジョイントケース JIC-B5 アイリスオーヤマ 送料無料,,オフィスや家庭の机周りをスッキリ収納できる、B5サイズのジョイントケース3個セット♪<br>クリアタイプなので一目で中身が確認できます。<br>フタを外して重ねて連結できるので持ち運びもラクラク！<br><br><br>●商品サイズ（cm）※製品1個あたり<br>外寸：幅約31.3×奥行約21.2×高さ約4.2<br>内寸：幅約27.3×奥行約18.4×高さ約2.8<br>●材質<br>ポリプロピレン<br>,エントリーで全品P3倍★ジョイントケース JIC-B5 アイリスオーヤマ 送料無料：収納・家具・寝具の収納宅配館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得アイリスオーヤマエアウィーヴカラーボックス敷きパッドクール寝具マットレスチェストメタルラックラックパイプハンガー布団セット収納ボックス本棚送料無料ケース座椅子シンサレート掛け布団コルクマット収納エントリーで全品P3倍★ジョイントケース JIC-B5 アイリスオーヤマ 送料無料,エントリーで全品P3倍＆送料無料。エントリーで全品P3倍★ジョイントケース JIC-B5 アイリスオーヤマ 送料無料[rn]
14-79187,http://tshop.r10s.jp/freedesign/cabinet/img03/nsfbb002-c01l.jpg?fitin=700:700,1800.0000,,インテリア・寝具・収納 > オフィス家具 > オフィス収納 > その他,Fellowes（フェローズ） バンカーズボックス　ハーフ（743） 3箱セット,,"<img src=""http://image.rakuten.co.jp/freedesign/cabinet/img03/nsfbb002-01.jpg"" width=300><br><br>

<b>シンプルにスタイリッシュに収納する、万能ボックス</b><br>
<br>

収納ボックスの定番Fellowes(フェローズ)社の<br>
BANKERS BOX(バンカーズボックス)です。<br>
フェローズといえばシュレッダーが有名ですが、<br>
元々はこのバンカーズボックスが始まりでした。<br>
<br>
銀行で使う大量の書類を保存するために<br>
作られたバンカーズボックスは、<br>
段ボールとは思えないくらい頑丈で、<br>
アメリカの企業では現在も普通に使われています。<br>
<br>
アートディレクター佐藤可士和氏のオフィスで<br>
使われていることも有名ですが、<br>
シンプルで実用的なデザインは、<br>
見せる収納アイテムとして活躍してくれます。<br> 
<br>
ハーフサイズは2箱重ねると、<br>
通常サイズと同じ大きさになります。<br>
用途に合わせて、使い分けできますね。<br>
カラーはブラックのみの展開です。<br>
<br>
オフィスでの書類整理はもちろん、<br>
ご自宅での快適収納ボックスとして、<br>
活用してみてはいかがでしょうか？<br>
<br>
<img src=""http://image.rakuten.co.jp/freedesign/cabinet/img03/nsfbb002-03.jpg"" width=300><br><br>
<br>

<b>＞＞さらに詳しく知りたい方は、こちら！＜＜</b>
<br><br>
□ 商品仕様<br>
ブランド名：Fellowes(フェローズ)<br>
サイズ：約W34.5×D41×H13cm<br>
重さ：約500g（1箱）<br>
対荷重：約15kg<br>
素材：段ボール<br>
備考：同色3箱セット、組み立て式",Fellowes（フェローズ） バンカーズボックス　ハーフ（743） 3箱セット：free design（フリーデザイン）,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得北欧marimekkoマリメッコiittalaイッタラarabiaアラビアlisa larsonリサラーソン吉祥寺デザイン雑貨HASAMI波佐見GUSTAVSBERGグスタフスベリ九谷青窯暮らしライフスタイルTOOLSムーミンFellowes（フェローズ） バンカーズボックス　ハーフ（743） 3箱セット,Fellowes（フェローズ） バンカーズボックス　ハーフ（743） 3箱セット[rn]
14-79188,http://tshop.r10s.jp/freedesign/cabinet/img03/nsfbb001-c01l.jpg?fitin=700:700,2040.0000,,インテリア・寝具・収納 > オフィス家具 > オフィス収納 > その他,Fellowes（フェローズ） バンカーズボックス A4（703） 3箱セット,,"<img src=""http://image.rakuten.co.jp/freedesign/cabinet/img03/nsfbb002-01.jpg"" width=300><br><br>

<b>シンプルにスタイリッシュに収納する、万能ボックス</b><br>
<br>

収納ボックスの定番Fellowes(フェローズ)社の<br>
BANKERS BOX(バンカーズボックス)です。<br>
フェローズといえばシュレッダーが有名ですが、<br>
元々はこのバンカーズボックスが始まりでした。<br>
<br>
銀行で使う大量の書類を保存するために<br>
作られたバンカーズボックスは、<br>
段ボールとは思えないくらい頑丈で、<br>
アメリカの企業では現在も普通に使われています。<br>
<br>
アートディレクター佐藤可士和氏のオフィスで<br>
使われていることも有名ですが、<br>
シンプルで実用的なデザインは、<br>
見せる収納アイテムとして活躍してくれます。 <br>
<br>
カラーはブラック、ブルー、レッドの3色展開。<br>
オフィスでの書類整理はもちろん、<br>
ご自宅での快適収納ボックスとして、<br>
活用してみてはいかがでしょうか？<br>
<br>
<img src=""http://image.rakuten.co.jp/freedesign/cabinet/img03/nsfbb002-03-2.jpg"" width=300><br><br>
<br>

<b>＞＞さらに詳しく知りたい方は、こちら！＜＜</b>
<br><br>
□ 商品仕様<br>
ブランド名：Fellowes(フェローズ)<br>
サイズ：約W34.5×D41×H26.5cm<br>
重さ：650g(1箱)<br>
対荷重：30Kg<br>
素材：段ボール<br>
備考：同色3箱セット、組み立て式",Fellowes（フェローズ） バンカーズボックス A4（703） 3箱セット：free design（フリーデザイン）,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得北欧marimekkoマリメッコiittalaイッタラarabiaアラビアlisa larsonリサラーソン吉祥寺デザイン雑貨HASAMI波佐見GUSTAVSBERGグスタフスベリ九谷青窯暮らしライフスタイルTOOLSムーミンFellowes（フェローズ） バンカーズボックス A4（703） 3箱セット,Fellowes（フェローズ） バンカーズボックス A4（703） 3箱セット[rn]
14-79189,http://tshop.r10s.jp/emedama/cabinet/mc227/113595.jpg?fitin=700:700,1296.0000,,インテリア・寝具・収納 > オフィス家具 > オフィス収納 > その他,サンクレスト Q-NW09 iQOS 収納ケース/バンド ブルー 《納期未定》,,"【製品特徴】<br>■iQOS本体と箱をくっつけて持ち運びが出来る<br>■迷子にならないマグネット付きバンド<br>■ポケットに入れて持ち歩きたい派におススメ<br>■側面から充電残量が確認でき、ケースに入れたまま充電可能<br />【製品仕様】<br>●サイズ：約幅7×奥行4.5×高さ8.5cm<br>●素材：シリコン、磁石<br>●対応機種：iQOS<br>●付属品：iQOS専用シリコンバンド
<br><br>※詳しくはメーカーサイトをご確認下さい。
<br><br>`suncrest`サンクレストQ-NW09iQOS収納ケース/バンドブルー`アイコスケース`電子タバコ`
<br><br>
<!--■[ST]在庫返品案内-->
● 商品の返品について
<!--■在庫返品案内■-->",サンクレスト Q-NW09 iQOS 収納ケース/バンド ブルー 《納期未定》：カメラのキタムラ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得サンクレスト Q-NW09 iQOS 収納ケース/バンド ブルー 《納期未定》,サンクレスト Q-NW09 iQOS 収納ケース/バンド ブルー 《納期未定》[rn]
14-79190,http://tshop.r10s.jp/emedama/cabinet/mc162/81242.jpg?fitin=700:700,587.2000,,インテリア・寝具・収納 > オフィス家具 > オフィス収納 > その他,エアリア FE059-BK Wrap Ninja ブラック,,"【製品特徴】<br>■高品質シリコンで作り上げるキャラクターデザインのケーブルマネージャー<br>■精密な部品構成で信頼の厚い台湾メーカーのBONEが手掛ける全てをさわり心地のよいシリコン素材<br>■お使いのイヤフォンケーブルを巻きつけるケーブルマネージメントアイテム<br>■キャラクターの手、足などが絶妙なケーブルストッパーとなっており、しっかりとケーブルを巻き、断線などから保護<br />【製品仕様】<br>●サイズ：45×54×13mm<br>●質量：11g<br>●材質：シリコン
<br><br>※詳しくはメーカーサイトをご確認下さい。
<br><br>`area`エアリアFE059-BKWrapNinjaブラック`
<br><br>
<!--■[ST]在庫返品案内-->
● 商品の返品について
<!--■在庫返品案内■-->",エアリア FE059-BK Wrap Ninja ブラック：カメラのキタムラ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得エアリア FE059-BK Wrap Ninja ブラック,エアリア FE059-BK Wrap Ninja ブラック[rn]
