14-103301,http://tshop.r10s.jp/brico/cabinet/34/04912033-282209_1.jpg?fitin=700:700,410.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,【メール便可〒】WAKI 和気産業 スライド丁番 全かぶせ キャッチ付 カップ径40mm NS-4050 4903757282209,ピタッと閉まる・105&deg;/85&deg;開き,"■らくちん微調整・3次元調整・ワンタッチ着脱・開き角度調整可能<br><br>
●規格：NS-4050<br>
●入り数：1個入り<br>
●かぶせ（セット）：全かぶせ<br>
●キャッチ：キャッチ付<br>
●カップの直径：40mm<br>
●カップの深さ：13.8mm<br>
●材質：スチール/ニッケルメッキ仕上<br>
●付属ネジ：皿タッピングφ3.5×16mm（4本入） <br><br>
<font color=""#ff0000"">※1個だけが壊れた場合でもその扉についている全ての丁番を取り替えて下さい。</font><br>
<br>
<font color=""#FF0000"">※こちらの商品は2個まで1メール便での発送が可能です。<br>

メール便の詳細はこちら</font>",【メール便可〒】WAKI 和気産業 スライド丁番 全かぶせ キャッチ付 カップ径40mm NS-4050 4903757282209：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可〒】WAKI 和気産業 スライド丁番 全かぶせ キャッチ付 カップ径40mm NS-4050 4903757282209,ピタッと閉まる・105&deg;/85&deg;開き。【メール便可〒】WAKI 和気産業 スライド丁番 全かぶせ キャッチ付 カップ径40mm NS-4050 4903757282209[rn]
14-103375,,1148.8000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,『カード対応OK！』■〒ヘンケルジャパン（株） ＡＧ事業部/ロックタイト【1269219】(4801253)７４１４ トルクマーク ５０ｍｌ 受注単位1,環境安全用品\接着剤・補修剤\ねじゆるみ止め剤,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●溶剤タイプのねじ緩み確認剤です。<br>●ねじが緩み始めを確認することが可能です。<br>●液色:青<br>●容量(g):53<br>●質量(g):55<br>●使用温度範囲：-35～145℃<br>●硬化時間：1～2分<br>●主成分：溶剤<br>",『カード対応OK！』■〒ヘンケルジャパン（株） ＡＧ事業部/ロックタイト【1269219】(4801253)７４１４ トルクマーク ５０ｍｌ 受注単位1：クローバー資材館,『カード対応OK！』■〒ヘンケルジャパン（株） ＡＧ事業部/ロックタイト【1269219】(4801253)７４１４ トルクマーク ５０ｍｌ 受注単位1,環境安全用品\接着剤・補修剤\ねじゆるみ止め剤。『カード対応OK！』■〒ヘンケルジャパン（株） ＡＧ事業部/ロックタイト【1269219】(4801253)７４１４ トルクマーク ５０ｍｌ 受注単位1[rn]
14-103376,,2107.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,『カード対応OK！』■〒ヘンケルジャパン（株） ＡＧ事業部/ロックタイト【640-50】(4801407)はめ合い固定剤 ６４０（ＲＣ－４０）５０ｍｌ 受注単位1,環境安全用品\接着剤・補修剤\ねじゆるみ止め剤,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●適合用途:高強度(はめ合い用)最高強度モーターのシャフト/ローター、ギア、プーリースリーブ、ブッシュのすき間ばめによる永久固定に適します。<br>●ねじや軸などの金属部品のすき間に入り空気がしゃ断されると硬化します（空気にふれているときは硬化しません）。<br>●1液性なため作業の簡略化や時間の短縮など作業性の能率化が図れると同時に大幅なコストダウンにも貢献します。<br>●ベアリング、スリーブ、ギア、プーリー等の固定。<br>●はめ合い用。<br>●液色:緑<br>●色:緑<br>●粘度(mPa・s):450～750<br>●容量(g):50<br>●粘度(mpa・s):低粘度<br>●質量(g):80<br>●推奨硬化促進剤7471・7649<br>●嫌気性<br>●主成分:合成樹脂<br>",『カード対応OK！』■〒ヘンケルジャパン（株） ＡＧ事業部/ロックタイト【640-50】(4801407)はめ合い固定剤 ６４０（ＲＣ&minus;４０）５０ｍｌ 受注単位1：クローバー資材館,『カード対応OK！』■〒ヘンケルジャパン（株） ＡＧ事業部/ロックタイト【640-50】(4801407)はめ合い固定剤 ６４０（ＲＣ&minus;４０）５０ｍｌ 受注単位1,環境安全用品\接着剤・補修剤\ねじゆるみ止め剤。『カード対応OK！』■〒ヘンケルジャパン（株） ＡＧ事業部/ロックタイト【640-50】(4801407)はめ合い固定剤 ６４０（ＲＣ&minus;４０）５０ｍｌ 受注単位1[rn]
14-103377,,92533.6000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,『カード対応OK！』##■〒ヘンケルジャパン（株） ＡＧ事業部/ロックタイト【97116】(4915429)ハンドヘルド空圧アプリケーター（スイッチ付） 受注単位1,環境安全用品\接着剤・補修剤\ねじゆるみ止め剤,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料\1080がかかります。</font><br>※追加送料は別途当店からのメールで訂正されます。</b><br><br><br>●軽量スリムなので片手で作業ができます。<br>●セミオートマチック塗布機との簡単な接続で使用できます。<br>●質量(g):340<br>●液圧：０．４ＭＰａ<br>●作動空気圧：０．４～０．７ＭＰａ<br>●空気チューブ：φ４ウレタン白×１ｍ<br>",『カード対応OK！』##■〒ヘンケルジャパン（株） ＡＧ事業部/ロックタイト【97116】(4915429)ハンドヘルド空圧アプリケーター（スイッチ付） 受注単位1：クローバー資材館,『カード対応OK！』##■〒ヘンケルジャパン（株） ＡＧ事業部/ロックタイト【97116】(4915429)ハンドヘルド空圧アプリケーター（スイッチ付） 受注単位1,環境安全用品\接着剤・補修剤\ねじゆるみ止め剤。『カード対応OK！』##■〒ヘンケルジャパン（株） ＡＧ事業部/ロックタイト【97116】(4915429)ハンドヘルド空圧アプリケーター（スイッチ付） 受注単位1[rn]
14-103378,,7833.6000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,『カード対応OK！』■〒ヘンケルジャパン（株） ＡＧ事業部/ロックタイト【640-250】(4801393)はめ合い固定剤 ６４０ ２５０ｍｌ 受注単位1,環境安全用品\接着剤・補修剤\ねじゆるみ止め剤,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●適合用途:高強度(はめ合い用)最高強度モーターのシャフト/ローター、ギア、プーリースリーブ、ブッシュのすき間ばめによる永久固定に適します。<br>●ねじや軸などの金属部品のすき間に入り空気がしゃ断されると硬化します（空気にふれているときは硬化しません）。<br>●1液性なため作業の簡略化や時間の短縮など作業性の能率化が図れると同時に大幅なコストダウンにも貢献します。<br>●ベアリング、スリーブ、ギア、プーリー等の固定。<br>●はめ合い用。<br>●液色:緑<br>●色:緑<br>●粘度(mPa・s):450～750<br>●容量(g):250<br>●粘度(mpa・s):低粘度<br>●質量(g):320<br>●推奨硬化促進剤7471・7649<br>●嫌気性<br>●主成分:合成樹脂<br>",『カード対応OK！』■〒ヘンケルジャパン（株） ＡＧ事業部/ロックタイト【640-250】(4801393)はめ合い固定剤 ６４０ ２５０ｍｌ 受注単位1：クローバー資材館,『カード対応OK！』■〒ヘンケルジャパン（株） ＡＧ事業部/ロックタイト【640-250】(4801393)はめ合い固定剤 ６４０ ２５０ｍｌ 受注単位1,環境安全用品\接着剤・補修剤\ねじゆるみ止め剤。『カード対応OK！』■〒ヘンケルジャパン（株） ＡＧ事業部/ロックタイト【640-250】(4801393)はめ合い固定剤 ６４０ ２５０ｍｌ 受注単位1[rn]
14-103379,,42336.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,『カード対応OK！』■〒ヘンケルジャパン（株） ＡＧ事業部/ロックタイト【235641】(4801326)フィックスマスター スティールパテ ２５ＬＢ（１１．４ｋｇ） 受注単位1,環境安全用品\接着剤・補修剤\金属用補修剤,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●二液混合エポキシ補修剤です。<br>●硬化後は機械加工、ドリル加工、ねじ立てが可能です。<br>●金属部分の補修に。<br>●再組み付け用。<br>●色:灰<br>●質量(kg):13.2<br>●容量（ｋｇ）：11.35<br>●硬化時間(25℃)：６時間<br>●可使時間:30分<br>●塗布面積:278[[平方センチメートル]]<br>●主成分:エポキシ樹脂（鉄粉配合）<br>●主剤、硬化剤、ヘラ、かくはん棒<br>",『カード対応OK！』■〒ヘンケルジャパン（株） ＡＧ事業部/ロックタイト【235641】(4801326)フィックスマスター スティールパテ ２５ＬＢ（１１．４ｋｇ） 受注単位1：クローバー資材館,『カード対応OK！』■〒ヘンケルジャパン（株） ＡＧ事業部/ロックタイト【235641】(4801326)フィックスマスター スティールパテ ２５ＬＢ（１１．４ｋｇ） 受注単位1,環境安全用品\接着剤・補修剤\金属用補修剤。『カード対応OK！』■〒ヘンケルジャパン（株） ＡＧ事業部/ロックタイト【235641】(4801326)フィックスマスター スティールパテ ２５ＬＢ（１１．４ｋｇ） 受注単位1[rn]
14-103380,,11491.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,『カード対応OK！』■〒ヘンケルジャパン（株） ＡＧ事業部/ロックタイト【235618】(4914279)フィックスマスター スティールリキッド ４ＬＢ（１．８ｋｇ） 受注単位1,環境安全用品\接着剤・補修剤\金属用補修剤,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●スチール入り補修剤です。<br>●注ぎ塗りが可能です。<br>●二液混合エポキシ補修剤<br>●充填補修に<br>●注入成型、固定と水平出し、型ものや取り付け品の成型に。<br>●色:灰<br>●容量(g):1800<br>●質量(ｇ):1960<br>●硬化時間(25℃):6時間<br>●可使時間:25分<br>●主成分:エポキシ樹脂<br>●主剤、硬化剤、ヘラ<br>",『カード対応OK！』■〒ヘンケルジャパン（株） ＡＧ事業部/ロックタイト【235618】(4914279)フィックスマスター スティールリキッド ４ＬＢ（１．８ｋｇ） 受注単位1：クローバー資材館,『カード対応OK！』■〒ヘンケルジャパン（株） ＡＧ事業部/ロックタイト【235618】(4914279)フィックスマスター スティールリキッド ４ＬＢ（１．８ｋｇ） 受注単位1,環境安全用品\接着剤・補修剤\金属用補修剤。『カード対応OK！』■〒ヘンケルジャパン（株） ＡＧ事業部/ロックタイト【235618】(4914279)フィックスマスター スティールリキッド ４ＬＢ（１．８ｋｇ） 受注単位1[rn]
14-103381,,10040.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,『カード対応OK！』■〒ヘンケルジャパン（株） ＡＧ事業部/ロックタイト【235642】(4801334)フィックスマスター スティールパテ １．８ｋｇ 受注単位1,環境安全用品\接着剤・補修剤\金属用補修剤,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●二液混合エポキシ補修剤です。<br>●硬化後は機械加工、ドリル加工、ねじ立てが可能です。<br>●金属部分の補修に。<br>●再組み付け用。<br>●色:灰<br>●質量(kg):2.2<br>●容量（ｋｇ）：1.80<br>●硬化時間(25℃)：６時間<br>●可使時間:30分<br>●塗布面積:278[[平方センチメートル]]<br>●主成分:エポキシ樹脂（鉄粉配合）<br>●主剤、硬化剤、ヘラ、かくはん棒<br>",『カード対応OK！』■〒ヘンケルジャパン（株） ＡＧ事業部/ロックタイト【235642】(4801334)フィックスマスター スティールパテ １．８ｋｇ 受注単位1：クローバー資材館,『カード対応OK！』■〒ヘンケルジャパン（株） ＡＧ事業部/ロックタイト【235642】(4801334)フィックスマスター スティールパテ １．８ｋｇ 受注単位1,環境安全用品\接着剤・補修剤\金属用補修剤。『カード対応OK！』■〒ヘンケルジャパン（株） ＡＧ事業部/ロックタイト【235642】(4801334)フィックスマスター スティールパテ １．８ｋｇ 受注単位1[rn]
14-103382,,600.8000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,『カード対応OK！』■〒ヘンケルジャパン（株）/ＬＯＣＴＩＴＥ【DHP-482】(3977145)多用途補修パテ ２本パック 受注単位1,環境安全用品\接着剤・補修剤\簡易補修剤,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●練るだけで簡単に使える接着補修パテです。<br>●ほとんどの材質に使用できる多用途タイプです。<br>●約15分で実用強度を発現するスピードタイプです。<br>●水の中でも硬化します。耐水性・耐熱性に優れ、屋外でも使用できます。<br>●プラスチック製品・水槽・パイプ・家具・フェンス・タイルなどの穴埋め・欠け・補修接着。<br>●色:淡青白色<br>●容量(g):48×2個<br>●質量(g):142<br>●硬化時間(25℃):15分<br>●可使時間:4分<br>●主成分:エポキシ樹脂<br>",『カード対応OK！』■〒ヘンケルジャパン（株）/ＬＯＣＴＩＴＥ【DHP-482】(3977145)多用途補修パテ ２本パック 受注単位1：クローバー資材館,『カード対応OK！』■〒ヘンケルジャパン（株）/ＬＯＣＴＩＴＥ【DHP-482】(3977145)多用途補修パテ ２本パック 受注単位1,環境安全用品\接着剤・補修剤\簡易補修剤。『カード対応OK！』■〒ヘンケルジャパン（株）/ＬＯＣＴＩＴＥ【DHP-482】(3977145)多用途補修パテ ２本パック 受注単位1[rn]
14-103383,,408.8000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,『カード対応OK！』■〒ヘンケルジャパン（株）/ＬＯＣＴＩＴＥ【DHP-481】(3564894)ｄｕｆｉｘ 多用途補修パテ ４８ｇ 受注単位1,環境安全用品\接着剤・補修剤\簡易補修剤,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●練るだけで簡単に使える接着補修パテです。<br>●ほとんどの材質に使用できる多用途タイプです。<br>●約15分で実用強度を発現するスピードタイプです。<br>●水の中でも硬化します。耐水性・耐熱性に優れ、屋外でも使用できます。<br>●プラスチック製品・水槽・パイプ・家具・フェンス・タイルなどの穴埋め・欠け・補修接着。<br>●色:淡青白色<br>●容量(g):48<br>●質量(g):80<br>●硬化時間（25℃）:15分<br>●可使時間:3分<br>●可使時間:3分<br>●実用強度:15分<br>●最終硬化:24時間<br>●主成分:エポキシ樹脂<br>●手袋付<br>",『カード対応OK！』■〒ヘンケルジャパン（株）/ＬＯＣＴＩＴＥ【DHP-481】(3564894)ｄｕｆｉｘ 多用途補修パテ ４８ｇ 受注単位1：クローバー資材館,『カード対応OK！』■〒ヘンケルジャパン（株）/ＬＯＣＴＩＴＥ【DHP-481】(3564894)ｄｕｆｉｘ 多用途補修パテ ４８ｇ 受注単位1,環境安全用品\接着剤・補修剤\簡易補修剤。『カード対応OK！』■〒ヘンケルジャパン（株）/ＬＯＣＴＩＴＥ【DHP-481】(3564894)ｄｕｆｉｘ 多用途補修パテ ４８ｇ 受注単位1[rn]
14-103384,,458.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,『カード対応OK！』■〒ヘンケルジャパン（株）/ＬＯＣＴＩＴＥ【DEP-030】(4695291)補修剤 多用途補修パテプチ６個パック 受注単位1,環境安全用品\接着剤・補修剤\簡易補修剤,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●練るだけで簡単に使える接着補修パテです。<br>●ほとんどの材質に使える多用途タイプです。<br>●水の中でも硬化します。耐水性、耐熱性に優れ、屋外でも使用できます。<br>●硬化後は穴あけ・ヤスリがけ・塗装ができます。<br>●カッターで切る必要なく、すぐにご使用頂けます。<br>●６個入りですので、別売りの多用途補修パテリボルバーの補充リフィルに最適です。<br>●約１５分で実用強度を発揮するスピードタイプです。<br>●プラスチック製品・水槽・パイプ・家具・フェンス・タイルなどの穴埋め・欠け・補修接着。<br>●色:淡青白色<br>●容量(g):5×6個<br>●質量(g):54<br>●硬化時間（25℃）:15分<br>●可使時間:3分<br>●主成分:エポキシ樹脂<br>●手袋付<br>",『カード対応OK！』■〒ヘンケルジャパン（株）/ＬＯＣＴＩＴＥ【DEP-030】(4695291)補修剤 多用途補修パテプチ６個パック 受注単位1：クローバー資材館,『カード対応OK！』■〒ヘンケルジャパン（株）/ＬＯＣＴＩＴＥ【DEP-030】(4695291)補修剤 多用途補修パテプチ６個パック 受注単位1,環境安全用品\接着剤・補修剤\簡易補修剤。『カード対応OK！』■〒ヘンケルジャパン（株）/ＬＯＣＴＩＴＥ【DEP-030】(4695291)補修剤 多用途補修パテプチ６個パック 受注単位1[rn]
14-103385,,188.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,『カード対応OK！』■〒ヘンケルジャパン（株）/ＬＯＣＴＩＴＥ【DEP-010】(3783855)多用途補修パテ プチ ５ｇｘ２ 受注単位1,環境安全用品\接着剤・補修剤\簡易補修剤,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●練るだけで簡単に使える接着補修パテです。<br>●ほとんどの材質に使える多用途タイプです。<br>●水の中でも硬化します。耐水性、耐熱性に優れ、屋外でも使用できます。<br>●硬化後は穴あけ・ヤスリがけ・塗装ができます。<br>●約１５分で実用強度を発揮するスピードタイプです。<br>●プラスチック製品・水槽・パイプ・家具・フェンス・タイルなどの穴埋め・欠け・補修接着。<br>●色:淡青白色<br>●容量(g):5×2個<br>●質量(g):39<br>●硬化時間（25℃）:15分<br>●可使時間:3分<br>●主成分:エポキシ樹脂<br>●手袋付<br>",『カード対応OK！』■〒ヘンケルジャパン（株）/ＬＯＣＴＩＴＥ【DEP-010】(3783855)多用途補修パテ プチ ５ｇｘ２ 受注単位1：クローバー資材館,『カード対応OK！』■〒ヘンケルジャパン（株）/ＬＯＣＴＩＴＥ【DEP-010】(3783855)多用途補修パテ プチ ５ｇｘ２ 受注単位1,環境安全用品\接着剤・補修剤\簡易補修剤。『カード対応OK！』■〒ヘンケルジャパン（株）/ＬＯＣＴＩＴＥ【DEP-010】(3783855)多用途補修パテ プチ ５ｇｘ２ 受注単位1[rn]
14-103386,,826.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,『カード対応OK！』■〒コニシ（株）/コニシ 【57078】(4922069)ボンド変成シリコンコーク ３３３ｍｌ 白 ＃５７０７８ 受注単位1,環境安全用品\接着剤・補修剤\建築用シーリング剤,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●耐久・耐候性・耐熱・耐寒性に優れています。<br>●日本シーリング材工業会JSIA F☆☆☆☆規格品です。<br>●表面塗装性良好です。<br>●モルタル・コンクリートのひび割れや、すき間シールに。<br>●色:ホワイト<br>●容量(ml):333<br>●質量(g):515<br>●使用温度範囲:-40～90℃<br>●主成分：変成シリコーン樹脂系<br>",『カード対応OK！』■〒コニシ（株）/コニシ 【57078】(4922069)ボンド変成シリコンコーク ３３３ｍｌ 白 ＃５７０７８ 受注単位1：クローバー資材館,『カード対応OK！』■〒コニシ（株）/コニシ 【57078】(4922069)ボンド変成シリコンコーク ３３３ｍｌ 白 ＃５７０７８ 受注単位1,環境安全用品\接着剤・補修剤\建築用シーリング剤。『カード対応OK！』■〒コニシ（株）/コニシ 【57078】(4922069)ボンド変成シリコンコーク ３３３ｍｌ 白 ＃５７０７８ 受注単位1[rn]
14-103387,,996.8000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,『カード対応OK！』■〒信越化学工業（株）/信越【S-45-G-330】(4921704)シーラント４５ ３３０ｍｌ グレー 受注単位1,環境安全用品\接着剤・補修剤\建築用シーリング剤,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●耐久性、耐候性、接着性に優れた弾性シーリング材です。<br>●別売のプライマーにより下地処理を施すことにより接着性が向上します。<br>●建築用途のガラス周り、サッシ周り、金属周りのシール。<br>●色:グレー<br>●容量(ml):330<br>●質量(g):404<br>●使用温度範囲:-40～150℃<br>●ペースト状<br>●主成分:一成分形シリコーン<br>●接着性の向上にはプライマー（下地処理剤）をご使用ください。<br>",『カード対応OK！』■〒信越化学工業（株）/信越【S-45-G-330】(4921704)シーラント４５ ３３０ｍｌ グレー 受注単位1：クローバー資材館,『カード対応OK！』■〒信越化学工業（株）/信越【S-45-G-330】(4921704)シーラント４５ ３３０ｍｌ グレー 受注単位1,環境安全用品\接着剤・補修剤\建築用シーリング剤。『カード対応OK！』■〒信越化学工業（株）/信越【S-45-G-330】(4921704)シーラント４５ ３３０ｍｌ グレー 受注単位1[rn]
14-103388,,1140.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,『カード対応OK！』■〒信越化学工業（株）/信越【S-4588-W-330】(4921658)防かび用シーリング材 白 ３３０ｍｌ 受注単位1,環境安全用品\接着剤・補修剤\建築用シーリング剤,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●防カビ製、耐久性、耐候性、接着性に優れた弾性シーリング材です。<br>●別売のプライマーにより下地処理を施すことにより接着性が向上します。<br>●カビの発生しやすい箇所のシーリング用途に。<br>●色:ホワイト<br>●容量(ml):330<br>●質量(g):392<br>●使用温度範囲:-40～150℃<br>●主成分:シリコーン<br>",『カード対応OK！』■〒信越化学工業（株）/信越【S-4588-W-330】(4921658)防かび用シーリング材 白 ３３０ｍｌ 受注単位1：クローバー資材館,『カード対応OK！』■〒信越化学工業（株）/信越【S-4588-W-330】(4921658)防かび用シーリング材 白 ３３０ｍｌ 受注単位1,環境安全用品\接着剤・補修剤\建築用シーリング剤。『カード対応OK！』■〒信越化学工業（株）/信越【S-4588-W-330】(4921658)防かび用シーリング材 白 ３３０ｍｌ 受注単位1[rn]
14-103389,,12534.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,『カード対応OK！』##∀■〒（株）エービーシー商会/ＡＢＣ 【BEI994CE】(4796098)ｅｉプラスパック １ｋｇ 夏用 受注単位1,環境安全用品\接着剤・補修剤\コンクリート用補修剤,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br><br><font size=""4"" color=""""><b>※こちらの商品は配送地域によって送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br><br>●簡単な施工でひび割れを閉塞し、コンクリート構造物の劣化を抑制します。<br>●幅０．５ｍｍ未満の、コンクリート構造物などのひび割れ補修に。<br>●色:白色透明・茶褐色<br>●容量(kg):1<br>●適用温度(℃)：15～35(夏用)<br>●容量（ｋｇ）：1<br>●浸透性タイプ<br>●主成分：エポキシ樹脂<br>",『カード対応OK！』##&forall;■〒（株）エービーシー商会/ＡＢＣ 【BEI994CE】(4796098)ｅｉプラスパック １ｋｇ 夏用 受注単位1：クローバー資材館,『カード対応OK！』##&forall;■〒（株）エービーシー商会/ＡＢＣ 【BEI994CE】(4796098)ｅｉプラスパック １ｋｇ 夏用 受注単位1,環境安全用品\接着剤・補修剤\コンクリート用補修剤。『カード対応OK！』##&forall;■〒（株）エービーシー商会/ＡＢＣ 【BEI994CE】(4796098)ｅｉプラスパック １ｋｇ 夏用 受注単位1[rn]
14-103390,,4111.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,『カード対応OK！』■〒（株）スリーボンド/スリーボンド【TB2083L-1SET】(4703456)スリーボンド 補修用接着剤 ＴＢ２０８３Ｌ １ｋｇセット 水中硬化 受注単位1,環境安全用品\接着剤・補修剤\水中用補修剤,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●水中、湿潤面でも強力な接着力を発揮します。<br>●肉盛り性に優れています。<br>●使いやすいパテ状です。<br>●施工個所が垂直面でも、垂れたり、流れたりしません。<br>●エポキシ樹脂を主成分としたパテ状の水中硬化タイプ補修剤です。<br>●水中や潤滑面での接着充填補修に効果を発揮します。<br>●コンクリートの湿潤面のひび割れ補修に。<br>●水中、湿潤面での接着充填補修。<br>●硬質塩ビ配管の接着補修。<br>●水漏れ配管の接着補修。<br>●コンクリートやモルタルの亀裂や穴埋めなどの接着補修。<br>●色:青緑・白<br>●品名:本剤・硬化剤<br>●質量(ｋｇ):1.1<br>●容量（ｋｇ）：1.0<br>●硬化時間（25℃）:24時間<br>●可使時間:50分<br>●主成分:エポキシ樹脂<br>",『カード対応OK！』■〒（株）スリーボンド/スリーボンド【TB2083L-1SET】(4703456)スリーボンド 補修用接着剤 ＴＢ２０８３Ｌ １ｋｇセット 水中硬化 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）スリーボンド/スリーボンド【TB2083L-1SET】(4703456)スリーボンド 補修用接着剤 ＴＢ２０８３Ｌ １ｋｇセット 水中硬化 受注単位1,環境安全用品\接着剤・補修剤\水中用補修剤。『カード対応OK！』■〒（株）スリーボンド/スリーボンド【TB2083L-1SET】(4703456)スリーボンド 補修用接着剤 ＴＢ２０８３Ｌ １ｋｇセット 水中硬化 受注単位1[rn]
14-103391,,476.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,『カード対応OK！』■〒コニシ（株）/コニシ 【59084】(4922115)シリコンコーク防かび剤入 クリヤー ３３０ｍｌ ＃５９０８４ 受注単位1,環境安全用品\接着剤・補修剤\建築用シーリング剤,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●防カビ剤入りのため、特に水まわりのシールに適しています。<br>●日本シーリング工業会　JSIA F☆☆☆☆規格品です。<br>●建物のガラスやサッシまわりの水密・気密シールに。<br>●色:クリヤー<br>●容量(ml):330<br>●質量(g):386<br>●使用温度範囲:-40～150℃<br>●主成分:シリコーン樹脂系<br>",『カード対応OK！』■〒コニシ（株）/コニシ 【59084】(4922115)シリコンコーク防かび剤入 クリヤー ３３０ｍｌ ＃５９０８４ 受注単位1：クローバー資材館,『カード対応OK！』■〒コニシ（株）/コニシ 【59084】(4922115)シリコンコーク防かび剤入 クリヤー ３３０ｍｌ ＃５９０８４ 受注単位1,環境安全用品\接着剤・補修剤\建築用シーリング剤。『カード対応OK！』■〒コニシ（株）/コニシ 【59084】(4922115)シリコンコーク防かび剤入 クリヤー ３３０ｍｌ ＃５９０８４ 受注単位1[rn]
