25-80301,http://tshop.r10s.jp/plowshop/cabinet/makita-pro/6840.jpg?fitin=700:700,29721.6000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > インパクトドライバー,マキタ　電動オートパックスクリュードライバ　6840,,,マキタ　電動オートパックスクリュードライバ　6840：ＰＬＯＷ（プラウ）,薪割り機発電機耕運機芝刈り機草刈機スノーピークアウトドアスチールチェンソー除雪機ホンダヤマハユキオスアストロＰＬＯＷプラウクボタ精米機運搬車刈払機マキタ　電動オートパックスクリュードライバ　6840,マキタ　電動オートパックスクリュードライバ　6840[rn]
25-80388,http://tshop.r10s.jp/monju/cabinet/engineer-2011/imgrc0065255484.jpg?fitin=700:700,1188.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,超硬合金ガラスカッター　切断可能厚：1～8mm,,"●超硬ローラーチップ仕様で、初心者でもカンタンに仕様可能<BR>
●柄にオイル注入可能で、手間いらずの快削性<br>
●ガラスの切断に<BR>
■切断可能厚：約1～8mm
■材質：刃部…超硬合金（GC-4）<br>",超硬合金ガラスカッター　切断可能厚：1～8mm：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア超硬合金ガラスカッター　切断可能厚：1～8mm,超硬合金ガラスカッター　切断可能厚：1～8mm[rn]
25-80389,http://tshop.r10s.jp/monju/cabinet/esco-05-2/ea846.jpg?fitin=700:700,156000.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,厚物ガラスカッターセット,,ドイツ製<br>ガラスカッター：刃(カーバイト)、ハンドル(プラスチック)、可能板厚(10～25mm)<br>ガラス切りプライヤー：切断能力(20mm)、材質(硬スチール)<br>ガラス切りハンマー：切断能力(10～20mm)、材質(硬スチール)<br>カッティングオイル<br>オイルディスペンサー<br>ガラスサークルカッター：切断能力(200～1200mm)<br>,厚物ガラスカッターセット：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア厚物ガラスカッターセット,厚物ガラスカッターセット[rn]
25-80390,http://tshop.r10s.jp/monju/cabinet/sankyou/imgrc0068293843.jpg?fitin=700:700,2064.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,H&H World tools　ダイヤモンドガラス切りカッター　切断可能板厚：1～4mm,,"普通ガラス、すりガラス、網入りガラスの切断が可能です<BR>
<br>
★特徴★<br>
■ダイヤモンドガラス切りのプロ仕様モデルです<br>
■ダイヤガラス切りの特長はシャープな切れ味と優れた耐久性にあります<br>
■当製品は優れたダイヤモンド埋め込み技術・研磨技術、厳選された工業用天然ダイヤモンド原石を使用しております<br>
■切断するガラスの厚みに合ったガラス切を御仕様下さい<bR>
<br>
★仕様★<br>
・刃先寿命：プロの方が毎日使用して半年が目安です<br>
・切断時に加わる力：約1.2kg前後<BR>
・切断可能板厚：1～4mm<br>",H&amp;H World tools　ダイヤモンドガラス切りカッター　切断可能板厚：1～4mm：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアH&amp;H World tools　ダイヤモンドガラス切りカッター　切断可能板厚：1～4mm,H&amp;H World tools　ダイヤモンドガラス切りカッター　切断可能板厚：1～4mm[rn]
25-80391,http://tshop.r10s.jp/monju/cabinet/sankyou/imgrc0068296281.jpg?fitin=700:700,2577.6000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,TRUSCO(トラスコ)ガラスカッター　オイル注入タイプ,,"★特徴★<BR>
・刃先は超硬ローラーチップを使用し、ガラス板のスムーズな切断が可能です<br>
・オイル注入タイプで、切断時自動的にオイルが流出します<BR>
・板ガラスの切断<BR>
<br>
★仕様★<br>
・全長(mm):179<BR>
・切断厚(mm):1～8<BR>
・質量:46g<BR>
・刃部:超硬合金<BR>
・最初にオイルは入っていません。灯油、軽油、ミシン油など粘度のないオイルをご使用下さい。<br>",TRUSCO(トラスコ)ガラスカッター　オイル注入タイプ：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアTRUSCO(トラスコ)ガラスカッター　オイル注入タイプ,TRUSCO(トラスコ)ガラスカッター　オイル注入タイプ[rn]
25-80392,http://tshop.r10s.jp/monju/cabinet/sankyou/imgrc0068296275.jpg?fitin=700:700,1629.6000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,TRUSCO(トラスコ)ガラスカッター  切断厚1～3mm用,,"★特徴★<BR>
・刃先は超硬を使用し、ガラス板のスムーズな切断が可能です<br>
・板ガラスの切断<br>
<br>
★仕様★<br>
・全長(mm):174<br>
・切断厚(mm):1～3<br>
・質量:29g<bR>
・刃部:超硬合金<BR>
・日本製<br>",TRUSCO(トラスコ)ガラスカッター  切断厚1～3mm用：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアTRUSCO(トラスコ)ガラスカッター  切断厚1～3mm用,TRUSCO(トラスコ)ガラスカッター  切断厚1～3mm用[rn]
25-80393,http://tshop.r10s.jp/monju/cabinet/sankyou/imgrc0068293844.jpg?fitin=700:700,2592.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,H&H World tools　超硬オイルガラス切りカッター　プロ　切断可能板厚：2～10mm,,"プロの方々に長く愛用されているオイルガラスカッターです<br>
普通ガラス普通ガラス、すりガラス、網入りガラスの切断が可能です<BR>
曲線切も可能です<br>
<br>
★特徴★<br>
■角度決めが不要で切断の際オイルが自動的に流れる為、切筋が一定でムラなく抜群の切れ味を持続します<br>
■適度な力加減で押し切りすると「チー」という快適な切断音を発します<br>
■オイルの流れがガラスの切粉の出を防止し割り易くします<bR>
■刃先は特殊金属で加工され耐久性抜群で切断箇所を二度切りしても切れ味は変わりません<br>
■オイルはミシン油や灯油等サラサラした油をお使い下さい<BR>
<BR>
●切断可能板厚：2～10mm<BR><br>",H&amp;H World tools　超硬オイルガラス切りカッター　プロ　切断可能板厚：2～10mm：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアH&amp;H World tools　超硬オイルガラス切りカッター　プロ　切断可能板厚：2～10mm,H&amp;H World tools　超硬オイルガラス切りカッター　プロ　切断可能板厚：2～10mm[rn]
25-80394,http://tshop.r10s.jp/monju/cabinet/sankyou/imgrc0068296277.jpg?fitin=700:700,3221.6000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,TRUSCO(トラスコ)ガラスカッター  切断厚3～5mm用,,"★特徴★<BR>
・刃先は超硬を使用し、ガラス板のスムーズな切断が可能です<br>
・オイル注入タイプで、切断時自動的にオイルが流出します<BR>
・板ガラスの切断<bR>
<br>
★仕様★<BR>
・全長(mm):164<BR>
・切断厚(mm):3～5<BR>
・質量:49g<BR>
・刃部:超硬合金<BR>
・日本製<BR>
・最初にオイルは入っていません。灯油、軽油、ミシン油など粘度のないオイルをご使用下さい<br><br>",TRUSCO(トラスコ)ガラスカッター  切断厚3～5mm用：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアTRUSCO(トラスコ)ガラスカッター  切断厚3～5mm用,TRUSCO(トラスコ)ガラスカッター  切断厚3～5mm用[rn]
25-80395,http://tshop.r10s.jp/monju/cabinet/sankyou/imgrc0068293845.jpg?fitin=700:700,1296.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,H&H World tools　超硬オイルガラス切りカッター　エース　切断可能板厚：2～8mm,,"普通ガラス普通ガラス、すりガラス、網入りガラスの切断が可能です<BR>
曲線切も可能です<br>
<br>
★特徴★<br>
■角度決めが不要で切断の際オイルが自動的に流れる為、切筋が一定でムラなく抜群の切れ味を持続します<br>
■適度な力加減で押し切りすると「チー」という快適な切断音を発します<br>
■オイルの流れがガラスの切粉の出を防止し割り易くします<bR>
■刃先は特殊金属で加工され耐久性抜群で切断箇所を二度切りしても切れ味は変わりません<br>
■オイルはミシン油や灯油等サラサラした油をお使い下さい<BR>
<BR>
●切断可能板厚：2～8mm<BR><br>",H&amp;H World tools　超硬オイルガラス切りカッター　エース　切断可能板厚：2～8mm：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアH&amp;H World tools　超硬オイルガラス切りカッター　エース　切断可能板厚：2～8mm,H&amp;H World tools　超硬オイルガラス切りカッター　エース　切断可能板厚：2～8mm[rn]
25-80396,http://tshop.r10s.jp/monju/cabinet/sankyou/imgrc0068296278.jpg?fitin=700:700,1304.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,TRUSCO(トラスコ)ガラスカッター　1～3mm用,,"★特徴★<BR>
・刃先はダイヤモンドを使用し、ガラス板のスムーズな切断が可能です<br>
・商品を識別するため、本体には１の刻印が施されています<BR>
・板ガラスの切断<br>
<br>
★仕様★<br>
・全長(mm):179<br>
・切断厚(mm):1～3<BR>
・質量:32g<BR>
・刃部:ダイヤモンド<br>",TRUSCO(トラスコ)ガラスカッター　1～3mm用：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアTRUSCO(トラスコ)ガラスカッター　1～3mm用,TRUSCO(トラスコ)ガラスカッター　1～3mm用[rn]
25-80397,http://tshop.r10s.jp/monju/cabinet/engineer-2011/imgrc0065255483.jpg?fitin=700:700,792.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,ダイヤモンドガラスカッター　切断可能厚：1～3mm,,"●ダイヤモンド刃仕様で切れ味抜群<BR>
●ガラスの切断に<br>
■切断可能厚：約1～3mm<br>
■材質：刃部…ダイヤモンド<br>",ダイヤモンドガラスカッター　切断可能厚：1～3mm：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアダイヤモンドガラスカッター　切断可能厚：1～3mm,ダイヤモンドガラスカッター　切断可能厚：1～3mm[rn]
25-80398,http://tshop.r10s.jp/monju/cabinet/sankyou/imgrc0068296279.jpg?fitin=700:700,1304.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,TRUSCO(トラスコ)ガラスカッター　3～5mm用,,"★特徴★<BR>
・刃先はダイヤモンドを使用し、ガラス板のスムーズな切断が可能です<br>
・商品を識別するため、本体には１の刻印が施されています<BR>
・板ガラスの切断<br>
<br>
★仕様★<br>
・全長(mm):179<br>
・切断厚(mm):3～5<BR>
・質量:32g<BR>
・刃部:ダイヤモンド<br>",TRUSCO(トラスコ)ガラスカッター　3～5mm用：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアTRUSCO(トラスコ)ガラスカッター　3～5mm用,TRUSCO(トラスコ)ガラスカッター　3～5mm用[rn]
25-80399,http://tshop.r10s.jp/monju/cabinet/00742270/img57249541.jpg?fitin=700:700,371.2000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,段ボール、発砲スチロール工作カッター,,"手にしっつかり掴む事が出来るので、だれにでも使えます<br>
ハンドルを楽に持ち替えれるので角度を変えながら切れます<br>
刃の先に面をとってあるので、差し込みが楽にでき窓開け等の切り抜きも簡単に出来ます<br>
難しい曲線も自由自在に切れます<br><br>",段ボール、発砲スチロール工作カッター：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア段ボール、発砲スチロール工作カッター,段ボール、発砲スチロール工作カッター[rn]
25-80400,http://tshop.r10s.jp/monju/cabinet/one_item/yamazen/img59379148.jpg?fitin=700:700,13184.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動切断工具 > カッター,フジ矢(FUJIYA)ケーブルカッター　260ラチェットタイプFRC-32A,,"<center>
<TABLE border=""0"">
  <TR>
    <TD align=""center""><B><FONT size=""+2"" color=""#00b500"">電設工具<BR>
    Electrical Work</FONT></B></TD>
  </TR><TR>
    <TD>　</TD>
  </TR><TR>
    <TD><FONT size=""-1"">電話工事等のケーブル線の切断専用工具です。太いケーブルの切断に最適です</FONT></TD>
  </TR><TR>
    <TD>　</TD>
  </TR><TR>
    <TD align=""center""><img src=""http://image.rakuten.co.jp/monju/cabinet/fujiya/frc-32a_45a-01.jpg""></TD>
  </TR><TR>
    <TD align=""center"">　</TD>
  </TR><TR>
    <TD align=""center"">
    <TABLE border=""1"">
      <TR>
        <TD align=""center"" colspan=""7""><B><FONT size=""-1"">切断能力</FONT></B></TD>
      </TR><TR>
        <TD align=""center"" rowspan=""3""><FONT size=""-1""><B>品番</B></FONT></TD>
        <TD align=""center"" colspan=""6""><B><FONT size=""-1"">切断可能ケーブルおよび公称断面線</FONT></B></TD>
      </TR><TR>
        <TD align=""center"" colspan=""5""><B><FONT size=""-1"">(常用)</FONT></B></TD>
        <TD align=""center""><B><FONT size=""-1"">(最大)</FONT></B></TD>
      </TR><TR>
        <TD align=""center""><B><FONT size=""-1"">CV線単芯</FONT></B></TD>
        <TD align=""center""><B><FONT size=""-1"">CV線3芯</FONT></B></TD>
        <TD align=""center""><B><FONT size=""-1"">IV線単芯</FONT></B></TD>
        <TD align=""center""><B><FONT size=""-1"">VVR線単芯</FONT></B></TD>
        <TD align=""center""><B><FONT size=""-1"">VVR線3芯</FONT></B></TD>
        <TD align=""center""><B><FONT size=""-1"">CV線単芯</FONT></B></TD>
      </TR><TR>
        <TD align=""center"">FRC-32A</TD>
        <TD align=""center"">250mm<sup>2</sup></TD>
        <TD align=""center"">60mm<sup>2</sup>×3芯</TD>
        <TD align=""center"">325mm<sup>2</sup></TD>
        <TD align=""center"">325mm<sup>2</sup></TD>
        <TD align=""center"">50mm<sup>2</sup>×3芯</TD>
        <TD align=""center"">325mm<sup>2</sup></TD>
      </TR><TR>
        <TD align=""center"">FRC-45A</TD>
        <TD align=""center"">400mm<sup>2</sup></TD>
        <TD align=""center"">100mm<sup>2</sup>×3芯</TD>
        <TD align=""center"">500mm<sup>2</sup></TD>
        <TD align=""center"">500mm<sup>2</sup></TD>
        <TD align=""center"">100mm<sup>2</sup>×3芯</TD>
        <TD align=""center"">500mm<sup>2</sup></TD>
      </TR></TABLE>
    </TD>
  </TR><TR>
    <TD>　</TD>
  </TR><TR>
    <TD align=""center""><IMG src=""http://image.rakuten.co.jp/monju/cabinet/fujiya/frc-32a_45a-02.gif""></TD>
  </TR><TR>
    <TD align=""center"">
    <TABLE border=""1"">
      <TR>
        <TD align=""center""><B><FONT size=""-1"">品番</FONT></B></TD>
        <TD align=""center""><FONT size=""-1""><B>サイズ</B></FONT></TD>
        <TD align=""center""><B><FONT size=""-1"">刃部硬度</FONT></B></TD>
        <TD align=""center""><FONT size=""-1""><B>a<BR>
        mm</B></FONT></TD>
        <TD align=""center""><FONT size=""-1""><B>b<BR>
        mm</B></FONT></TD>
        <TD align=""center""><FONT size=""-1""><B>c<BR>
        mm</B></FONT></TD>
        <TD align=""center""><FONT size=""-1""><B>d<BR>
        mm</B></FONT></TD>
        <TD align=""center""><FONT size=""-1""><B>重量<BR>
        g/w</B></FONT></TD>
      </TR><TR>
        <TD>FRC-32A</TD>
        <TD align=""center"">260</TD>
        <TD align=""center"" rowspan=""2"">HRC46～52</TD>
        <TD align=""center"">250</TD>
        <TD align=""center"">95</TD>
        <TD align=""center"">35.5</TD>
        <TD align=""center"">46</TD>
        <TD align=""center"">79.9</TD>
      </TR><TR>
        <TD>FRC-45A</TD>
        <TD align=""center"">300</TD>
        <TD align=""center"">280</TD>
        <TD align=""center"">130</TD>
        <TD align=""center"">36</TD>
        <TD align=""center"">102</TD>
        <TD align=""center"">616</TD>
      </TR></TABLE>
    </TD>
  </TR></TABLE></center><br>",フジ矢(FUJIYA)ケーブルカッター　260ラチェットタイプFRC-32A：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアフジ矢(FUJIYA)ケーブルカッター　260ラチェットタイプFRC-32A,フジ矢(FUJIYA)ケーブルカッター　260ラチェットタイプFRC-32A[rn]
