4-11864,,16497.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ＶＣその他【VC2CD1000】(6820026) 受注単位1,切削工具\面取り工具\工作機用面取り工具,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ＶＣその他【VC2CD1000】(6820026) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ＶＣその他【VC2CD1000】(6820026) 受注単位1,切削工具\面取り工具\工作機用面取り工具。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ＶＣその他【VC2CD1000】(6820026) 受注単位1[rn]
4-11915,,1768.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【BMH-023SR】(7329458) ＢＩＭホールソー２３ｍｍストレート 受注単位1,切削工具\穴あけ工具\ホールソー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●高級コバルトハイスSKH-59(M42)を採用した刃先と強靭なバネ鋼を電子ビーム溶接したバイメタル構造により鋭い切れ味を実現しました。<br>●大径の穴あけ時につきものの振動をバリオピッチにより低減します。<br><br>●鋼板<br>●ステンレス<br>●非鉄金属<br><br>●刃径(mm)：23<br>●シャンク径(mm)：7<br>●刃厚(mm)：1.0<br>●質量(g)：108<br>●フトコロ深さ(mm)：22.5<br><br>●適応板厚：3.2mm<br><br>●刃部：コバルトハイス（SKH-５９）<br>●センタードリル：高速度鋼（HSS）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ボッシュ【BMH-023SR】(7329458) ＢＩＭホールソー２３ｍｍストレート 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【BMH-023SR】(7329458) ＢＩＭホールソー２３ｍｍストレート 受注単位1,切削工具\穴あけ工具\ホールソー。『カード対応OK！』■〒ボッシュ【BMH-023SR】(7329458) ＢＩＭホールソー２３ｍｍストレート 受注単位1[rn]
4-11916,,2177.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【BMH-012BAT】(7329245) ＢＩＭホールソー１２ｍｍバッテリー用 受注単位1,切削工具\穴あけ工具\ホールソー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●刃厚0.5mmの極薄刃の採用により切削抵抗を大幅に低減しました。<br>●ハイスを採用した刃先と強靭なバネ鋼を電子ビーム溶接したバイメタル構造により鋭い切れ味を実現しました。<br><br>●鋼板<br>●ステンレス<br>●非鉄金属<br><br>●刃径(mm)：12<br>●シャンク径(mm)：6.35<br>●刃厚(mm)：0.5<br>●質量(g)：61<br>●フトコロ深さ(mm)：12.0<br><br>●適応板厚：1.6mm<br><br>●刃部：ハイス鋼<br>●センタードリル：高速度鋼（HSS）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ボッシュ【BMH-012BAT】(7329245) ＢＩＭホールソー１２ｍｍバッテリー用 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【BMH-012BAT】(7329245) ＢＩＭホールソー１２ｍｍバッテリー用 受注単位1,切削工具\穴あけ工具\ホールソー。『カード対応OK！』■〒ボッシュ【BMH-012BAT】(7329245) ＢＩＭホールソー１２ｍｍバッテリー用 受注単位1[rn]
4-11917,,3299.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【BMH-037BAT】(7329687) ＢＩＭホールソー３７ｍｍバッテリー用 受注単位1,切削工具\穴あけ工具\ホールソー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●刃厚0.5mmの極薄刃の採用により切削抵抗を大幅に低減しました。<br>●ハイスを採用した刃先と強靭なバネ鋼を電子ビーム溶接したバイメタル構造により鋭い切れ味を実現しました。<br><br>●鋼板<br>●ステンレス<br>●非鉄金属<br><br>●刃径(mm)：37<br>●シャンク径(mm)：6.35<br>●刃厚(mm)：0.5<br>●質量(g)：120<br>●フトコロ深さ(mm)：12.0<br><br>●適応板厚：1.6mm<br><br>●刃部：ハイス鋼<br>●センタードリル：高速度鋼（HSS）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ボッシュ【BMH-037BAT】(7329687) ＢＩＭホールソー３７ｍｍバッテリー用 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【BMH-037BAT】(7329687) ＢＩＭホールソー３７ｍｍバッテリー用 受注単位1,切削工具\穴あけ工具\ホールソー。『カード対応OK！』■〒ボッシュ【BMH-037BAT】(7329687) ＢＩＭホールソー３７ｍｍバッテリー用 受注単位1[rn]
4-11918,,9117.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【PH-085C】(7333692) 超硬ホールソー　カッター　８５ｍｍ 受注単位1,切削工具\穴あけ工具\ホールソー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●厚さ4mmまでのステンレス板の穴あけができます。<br>●不等ピッチの採用で振動を押え、効率の良い穴あけが可能です。<br><br><br>●刃径(mm)：85<br>●ふところ深さ(mm)：33<br>●シャンク径(mm)：13<br>●刃厚(mm)：2.0<br>●全長(mm)：33<br>●有効長(mm)：4<br>●質量(g)：265<br><br>●ステンレス板<br>●鋼板<br>●アルミ板<br>●合成樹脂<br><br>●刃部：超硬チップ<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ボッシュ【PH-085C】(7333692) 超硬ホールソー　カッター　８５ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【PH-085C】(7333692) 超硬ホールソー　カッター　８５ｍｍ 受注単位1,切削工具\穴あけ工具\ホールソー。『カード対応OK！』■〒ボッシュ【PH-085C】(7333692) 超硬ホールソー　カッター　８５ｍｍ 受注単位1[rn]
4-11919,,1686.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【BMH-013SR】(7329270) ＢＩＭホールソー１３ｍｍストレート 受注単位1,切削工具\穴あけ工具\ホールソー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●高級コバルトハイスSKH-59(M42)を採用した刃先と強靭なバネ鋼を電子ビーム溶接したバイメタル構造により鋭い切れ味を実現しました。<br>●大径の穴あけ時につきものの振動をバリオピッチにより低減します。<br><br>●鋼板<br>●ステンレス<br>●非鉄金属<br><br>●刃径(mm)：13<br>●シャンク径(mm)：6<br>●刃厚(mm)：1.0<br>●質量(g)：53<br>●フトコロ深さ(mm)：22.5<br><br>●適応板厚：3.2mm<br><br>●刃部：コバルトハイス（SKH-５９）<br>●センタードリル：高速度鋼（HSS）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ボッシュ【BMH-013SR】(7329270) ＢＩＭホールソー１３ｍｍストレート 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【BMH-013SR】(7329270) ＢＩＭホールソー１３ｍｍストレート 受注単位1,切削工具\穴あけ工具\ホールソー。『カード対応OK！』■〒ボッシュ【BMH-013SR】(7329270) ＢＩＭホールソー１３ｍｍストレート 受注単位1[rn]
4-11920,,850.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ミヤナガ【SLCDT】(7513321) Ｓ－ＬＯＣＫチョウコウセンタードリル 受注単位1,切削工具\穴あけ工具\ホールソー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●SLCDTは刃先超硬です。<br><br>●エスロック用。<br><br>●刃径(mm)：6.3<br>●適合機種：エスロックシリーズ<br>●径(mm)：φ6.3<br>●全長(mm)：105<br>●質量(g)：18<br><br><br>●高速度鋼<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ミヤナガ【SLCDT】(7513321) Ｓ&minus;ＬＯＣＫチョウコウセンタードリル 受注単位1：クローバー資材館,『カード対応OK！』■〒ミヤナガ【SLCDT】(7513321) Ｓ&minus;ＬＯＣＫチョウコウセンタードリル 受注単位1,切削工具\穴あけ工具\ホールソー。『カード対応OK！』■〒ミヤナガ【SLCDT】(7513321) Ｓ&minus;ＬＯＣＫチョウコウセンタードリル 受注単位1[rn]
4-11921,,8845.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【DHS-079C】(4975880) 磁気タイル用ダイヤモンドホールソー　７９ｍｍ 受注単位1,切削工具\穴あけ工具\ホールソー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ビット先端の高品質のダイヤモンドにより、高い耐久性を実現しました。<br>●先端の薄いカッティングエッジにより、今までにない穴あけスピードで、縁欠けのない穴あけができます。<br><br>●被削材：磁器タイル他すべてのタイル。（厚さ20mmまで）<br><br>●刃径(mm)：79<br>●ふところ深さ(mm)：20<br>●刃厚(mm)：1.5<br>●質量(g)：302<br><br>●適合機種：バッテリー式ドリル、バッテリー式振動ドリル（回転モード）、SDSプラスバッテリーハンマードリル（回転モード）<br><br>●刃部：ダイヤモンド<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ボッシュ【DHS-079C】(4975880) 磁気タイル用ダイヤモンドホールソー　７９ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【DHS-079C】(4975880) 磁気タイル用ダイヤモンドホールソー　７９ｍｍ 受注単位1,切削工具\穴あけ工具\ホールソー。『カード対応OK！』■〒ボッシュ【DHS-079C】(4975880) 磁気タイル用ダイヤモンドホールソー　７９ｍｍ 受注単位1[rn]
4-11922,,7688.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【PH-076C】(7333641) 超硬ホールソー　カッター　７６ｍｍ 受注単位1,切削工具\穴あけ工具\ホールソー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●厚さ4mmまでのステンレス板の穴あけができます。<br>●不等ピッチの採用で振動を押え、効率の良い穴あけが可能です。<br><br><br>●刃径(mm)：76<br>●ふところ深さ(mm)：33<br>●シャンク径(mm)：13<br>●刃厚(mm)：2.0<br>●全長(mm)：33<br>●有効長(mm)：4<br>●質量(g)：215<br><br>●ステンレス板<br>●鋼板<br>●アルミ板<br>●合成樹脂<br><br>●刃部：超硬チップ<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ボッシュ【PH-076C】(7333641) 超硬ホールソー　カッター　７６ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【PH-076C】(7333641) 超硬ホールソー　カッター　７６ｍｍ 受注単位1,切削工具\穴あけ工具\ホールソー。『カード対応OK！』■〒ボッシュ【PH-076C】(7333641) 超硬ホールソー　カッター　７６ｍｍ 受注単位1[rn]
4-11923,,8164.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【PFH-060C】(7332459) 深穴ホールソー　カッター　６０ｍｍ 受注単位1,切削工具\穴あけ工具\ホールソー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●内刃、外刃の交互配列で切粉の排出が良く、厚さ12mmまでの穴あけが可能です。<br>●ステンレスにも容易に穴あけができ、しかも長寿命です。<br><br><br>●刃径(mm)：60<br>●ふところ深さ(mm)：56<br>●シャンク径(mm)：13<br>●刃厚(mm)：3.2<br>●全長(mm)：56<br>●有効長(mm)：12<br>●質量(g)：215<br><br>●ステンレス板<br>●鋼板<br>●鋳鉄<br>●合成樹脂<br><br>●刃部：超硬チップ<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ボッシュ【PFH-060C】(7332459) 深穴ホールソー　カッター　６０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【PFH-060C】(7332459) 深穴ホールソー　カッター　６０ｍｍ 受注単位1,切削工具\穴あけ工具\ホールソー。『カード対応OK！』■〒ボッシュ【PFH-060C】(7332459) 深穴ホールソー　カッター　６０ｍｍ 受注単位1[rn]
4-11924,,3968.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大見工業/大見【BW25】(7565585) 超硬バイメタルホールカッター　２５ｍｍ 受注単位1,切削工具\穴あけ工具\ホールソー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ノコ刃の刃先に超硬チップ使用することで超・長寿命を実現しました。<br><br>●被削材：ステンレス、窯業サイディング、鉄板、木材。<br><br>●刃径(mm)：25<br>●ふところ深さ(mm)：27<br>●シャンク径(mm)：10<br>●刃厚(mm)：0.9<br>●有効長(mm)：<br>●ステンレス：3mm、鉄板：3.2mm<br><br><br>●刃部：超硬チップ（バイメタルタイプ）<br>●センタードリル：高速度鋼（SKH-51）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒大見工業/大見【BW25】(7565585) 超硬バイメタルホールカッター　２５ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒大見工業/大見【BW25】(7565585) 超硬バイメタルホールカッター　２５ｍｍ 受注単位1,切削工具\穴あけ工具\ホールソー。『カード対応OK！』■〒大見工業/大見【BW25】(7565585) 超硬バイメタルホールカッター　２５ｍｍ 受注単位1[rn]
4-11925,,1768.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【BMH-020SR】(7329415) ＢＩＭホールソー２０ｍｍストレート 受注単位1,切削工具\穴あけ工具\ホールソー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●高級コバルトハイスSKH-59(M42)を採用した刃先と強靭なバネ鋼を電子ビーム溶接したバイメタル構造により鋭い切れ味を実現しました。<br>●大径の穴あけ時につきものの振動をバリオピッチにより低減します。<br><br>●鋼板<br>●ステンレス<br>●非鉄金属<br><br>●刃径(mm)：20<br>●シャンク径(mm)：6<br>●刃厚(mm)：1.0<br>●質量(g)：77<br>●フトコロ深さ(mm)：22.5<br><br>●適応板厚：3.2mm<br><br>●刃部：コバルトハイス（SKH-５９）<br>●センタードリル：高速度鋼（HSS）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ボッシュ【BMH-020SR】(7329415) ＢＩＭホールソー２０ｍｍストレート 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【BMH-020SR】(7329415) ＢＩＭホールソー２０ｍｍストレート 受注単位1,切削工具\穴あけ工具\ホールソー。『カード対応OK！』■〒ボッシュ【BMH-020SR】(7329415) ＢＩＭホールソー２０ｍｍストレート 受注単位1[rn]
4-11926,,2041.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【BMH-028SR】(7329539) ＢＩＭホールソー２８ｍｍストレート 受注単位1,切削工具\穴あけ工具\ホールソー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●高級コバルトハイスSKH-59(M42)を採用した刃先と強靭なバネ鋼を電子ビーム溶接したバイメタル構造により鋭い切れ味を実現しました。<br>●大径の穴あけ時につきものの振動をバリオピッチにより低減します。<br><br>●鋼板<br>●ステンレス<br>●非鉄金属<br><br>●刃径(mm)：28<br>●シャンク径(mm)：7<br>●刃厚(mm)：1.0<br>●質量(g)：129<br>●フトコロ深さ(mm)：22.5<br><br>●適応板厚：3.2mm<br><br>●刃部：コバルトハイス（SKH-５９）<br>●センタードリル：高速度鋼（HSS）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ボッシュ【BMH-028SR】(7329539) ＢＩＭホールソー２８ｍｍストレート 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【BMH-028SR】(7329539) ＢＩＭホールソー２８ｍｍストレート 受注単位1,切削工具\穴あけ工具\ホールソー。『カード対応OK！』■〒ボッシュ【BMH-028SR】(7329539) ＢＩＭホールソー２８ｍｍストレート 受注単位1[rn]
4-11927,,1686.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【BMH-017SR】(7329351) ＢＩＭホールソー１７ｍｍストレート 受注単位1,切削工具\穴あけ工具\ホールソー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●高級コバルトハイスSKH-59(M42)を採用した刃先と強靭なバネ鋼を電子ビーム溶接したバイメタル構造により鋭い切れ味を実現しました。<br>●大径の穴あけ時につきものの振動をバリオピッチにより低減します。<br><br>●鋼板<br>●ステンレス<br>●非鉄金属<br><br>●刃径(mm)：17<br>●シャンク径(mm)：6<br>●刃厚(mm)：1.0<br>●質量(g)：64<br>●フトコロ深さ(mm)：22.5<br><br>●適応板厚：3.2mm<br><br>●刃部：コバルトハイス（SKH-５９）<br>●センタードリル：高速度鋼（HSS）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ボッシュ【BMH-017SR】(7329351) ＢＩＭホールソー１７ｍｍストレート 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【BMH-017SR】(7329351) ＢＩＭホールソー１７ｍｍストレート 受注単位1,切削工具\穴あけ工具\ホールソー。『カード対応OK！』■〒ボッシュ【BMH-017SR】(7329351) ＢＩＭホールソー１７ｍｍストレート 受注単位1[rn]
4-11928,,1836.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【PH-015C】(7333013) 超硬ホールソー　カッター　１５ｍｍ 受注単位1,切削工具\穴あけ工具\ホールソー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●厚さ4mmまでのステンレス板の穴あけができます。<br>●不等ピッチの採用で振動を押え、効率の良い穴あけが可能です。<br><br><br>●刃径(mm)：15<br>●ふところ深さ(mm)：33<br>●シャンク径(mm)：10<br>●刃厚(mm)：2.5<br>●全長(mm)：28<br>●有効長(mm)：4<br>●質量(g)：55<br><br>●ステンレス板<br>●鋼板<br>●アルミ板<br>●合成樹脂<br><br>●刃部：超硬チップ<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ボッシュ【PH-015C】(7333013) 超硬ホールソー　カッター　１５ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【PH-015C】(7333013) 超硬ホールソー　カッター　１５ｍｍ 受注単位1,切削工具\穴あけ工具\ホールソー。『カード対応OK！』■〒ボッシュ【PH-015C】(7333013) 超硬ホールソー　カッター　１５ｍｍ 受注単位1[rn]
4-11929,,5987.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【PH-060C】(7333528) 超硬ホールソー　カッター　６０ｍｍ 受注単位1,切削工具\穴あけ工具\ホールソー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●厚さ4mmまでのステンレス板の穴あけができます。<br>●不等ピッチの採用で振動を押え、効率の良い穴あけが可能です。<br><br><br>●刃径(mm)：60<br>●ふところ深さ(mm)：33<br>●シャンク径(mm)：13<br>●刃厚(mm)：2.0<br>●全長(mm)：33<br>●有効長(mm)：4<br>●質量(g)：175<br><br>●ステンレス板<br>●鋼板<br>●アルミ板<br>●合成樹脂<br><br>●刃部：超硬チップ<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ボッシュ【PH-060C】(7333528) 超硬ホールソー　カッター　６０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【PH-060C】(7333528) 超硬ホールソー　カッター　６０ｍｍ 受注単位1,切削工具\穴あけ工具\ホールソー。『カード対応OK！』■〒ボッシュ【PH-060C】(7333528) 超硬ホールソー　カッター　６０ｍｍ 受注単位1[rn]
4-11930,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002571603.jpg?fitin=700:700,4964.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　コバルトテーパー１０．４ｍｍ【KTDD1040M1】(6673317) 受注単位1,切削工具\穴あけ工具\テーパーシャンクドリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　コバルトテーパー１０．４ｍｍ【KTDD1040M1】(6673317) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　コバルトテーパー１０．４ｍｍ【KTDD1040M1】(6673317) 受注単位1,切削工具\穴あけ工具\テーパーシャンクドリル。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　コバルトテーパー１０．４ｍｍ【KTDD1040M1】(6673317) 受注単位1[rn]
4-11931,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002848667.jpg?fitin=700:700,17248.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒フクダ精工/ＦＫＤ超硬付刃テーパーシャンクドリル２０．５【TD20.5】 (3033104) 受注単位1,切削工具\穴あけ工具\テーパーシャンクドリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●超硬チップろう付けタイプで経済的です。<br>●優れた超硬合金の特長と、豊富な再研磨回数で高い経済性を維持します。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒フクダ精工/ＦＫＤ超硬付刃テーパーシャンクドリル２０．５【TD20.5】 (3033104) 受注単位1：クローバー資材館,『カード対応OK！』■〒フクダ精工/ＦＫＤ超硬付刃テーパーシャンクドリル２０．５【TD20.5】 (3033104) 受注単位1,切削工具\穴あけ工具\テーパーシャンクドリル。『カード対応OK！』■〒フクダ精工/ＦＫＤ超硬付刃テーパーシャンクドリル２０．５【TD20.5】 (3033104) 受注単位1[rn]
4-11932,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002848667.jpg?fitin=700:700,12676.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒フクダ精工/ＦＫＤ超硬付刃テーパーシャンクドリル１６【TD16】 (2887924) 受注単位1,切削工具\穴あけ工具\テーパーシャンクドリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●超硬チップろう付けタイプで経済的です。<br>●優れた超硬合金の特長と、豊富な再研磨回数で高い経済性を維持します。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒フクダ精工/ＦＫＤ超硬付刃テーパーシャンクドリル１６【TD16】 (2887924) 受注単位1：クローバー資材館,『カード対応OK！』■〒フクダ精工/ＦＫＤ超硬付刃テーパーシャンクドリル１６【TD16】 (2887924) 受注単位1,切削工具\穴あけ工具\テーパーシャンクドリル。『カード対応OK！』■〒フクダ精工/ＦＫＤ超硬付刃テーパーシャンクドリル１６【TD16】 (2887924) 受注単位1[rn]
4-11933,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004838404.jpg?fitin=700:700,17228.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧ　一般加工用ＭＴシャンク　レギュラ型　ゴールドドリル【EX-MT-GDR-20.5XMT2(64705)】(6304974) 受注単位1,切削工具\穴あけ工具\テーパーシャンクドリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒オーエスジー/ＯＳＧ　一般加工用ＭＴシャンク　レギュラ型　ゴールドドリル【EX-MT-GDR-20.5XMT2(64705)】(6304974) 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧ　一般加工用ＭＴシャンク　レギュラ型　ゴールドドリル【EX-MT-GDR-20.5XMT2(64705)】(6304974) 受注単位1,切削工具\穴あけ工具\テーパーシャンクドリル。『カード対応OK！』■〒オーエスジー/ＯＳＧ　一般加工用ＭＴシャンク　レギュラ型　ゴールドドリル【EX-MT-GDR-20.5XMT2(64705)】(6304974) 受注単位1[rn]
