4-12064,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005495780.jpg?fitin=700:700,3888.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日進工具/ＮＳ　ロングネックボールＥＭ　ＭＲＢ２３０　Ｒ０．２５Ｘ７（Ｄ４）【MRB230 R0.25X7(D4)】(4263014) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日進工具/ＮＳ　ロングネックボールＥＭ　ＭＲＢ２３０　Ｒ０．２５Ｘ７（Ｄ４）【MRB230 R0.25X7(D4)】(4263014) 受注単位1：クローバー資材館,『カード対応OK！』■〒日進工具/ＮＳ　ロングネックボールＥＭ　ＭＲＢ２３０　Ｒ０．２５Ｘ７（Ｄ４）【MRB230 R0.25X7(D4)】(4263014) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル。『カード対応OK！』■〒日進工具/ＮＳ　ロングネックボールＥＭ　ＭＲＢ２３０　Ｒ０．２５Ｘ７（Ｄ４）【MRB230 R0.25X7(D4)】(4263014) 受注単位1[rn]
4-12106,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002572023.jpg?fitin=700:700,7040.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　ＷＳ用チップ　ＣＯＡＴ【TAWNH1520T  VP15TF】(6878229) 受注単位1,切削工具\旋削・フライス加工工具\チップ,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　ＷＳ用チップ　ＣＯＡＴ【TAWNH1520T  VP15TF】(6878229) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　ＷＳ用チップ　ＣＯＡＴ【TAWNH1520T  VP15TF】(6878229) 受注単位1,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　ＷＳ用チップ　ＣＯＡＴ【TAWNH1520T  VP15TF】(6878229) 受注単位1[rn]
4-12107,,13437.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒タンガロイ【ETEL2020-4T25】(7111487) ＴＡＣバイト角 受注単位1,切削工具\旋削・フライス加工工具\ホルダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br><br><br><br>●EasyCutシリーズ<br>●外径溝入れ加工用<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒タンガロイ【ETEL2020-4T25】(7111487) ＴＡＣバイト角 受注単位1：クローバー資材館,『カード対応OK！』■〒タンガロイ【ETEL2020-4T25】(7111487) ＴＡＣバイト角 受注単位1,切削工具\旋削・フライス加工工具\ホルダー。『カード対応OK！』■〒タンガロイ【ETEL2020-4T25】(7111487) ＴＡＣバイト角 受注単位1[rn]
4-12108,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004371335.jpg?fitin=700:700,6484.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒サンドビック/サンドビック　コロターン１０７　旋削用ポジ・チップ　Ｈ１３Ａ【CCMT 09 T3 04-KF  H13A】(6034012) 受注単位10,切削工具\旋削・フライス加工工具\チップ,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒サンドビック/サンドビック　コロターン１０７　旋削用ポジ・チップ　Ｈ１３Ａ【CCMT 09 T3 04-KF  H13A】(6034012) 受注単位10：クローバー資材館,『カード対応OK！』■〒サンドビック/サンドビック　コロターン１０７　旋削用ポジ・チップ　Ｈ１３Ａ【CCMT 09 T3 04-KF  H13A】(6034012) 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒サンドビック/サンドビック　コロターン１０７　旋削用ポジ・チップ　Ｈ１３Ａ【CCMT 09 T3 04-KF  H13A】(6034012) 受注単位10[rn]
4-12109,,2857.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【PC-E220】(7331461) 吸塵カバー　２２０ｍｍ 受注単位1,切削工具\穴あけ工具\コアドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●埃を嫌う現場に最適です。<br>●吸塵シャンクに対応します。<br><br><br>●適合最大刃径（mm）：220<br><br><br>●プラスチック伸縮式<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ボッシュ【PC-E220】(7331461) 吸塵カバー　２２０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【PC-E220】(7331461) 吸塵カバー　２２０ｍｍ 受注単位1,切削工具\穴あけ工具\コアドリル。『カード対応OK！』■〒ボッシュ【PC-E220】(7331461) 吸塵カバー　２２０ｍｍ 受注単位1[rn]
4-12110,,12383.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【PC-SR/LE】(7331568) 吸塵ストレートシャンクＬ 受注単位1,切削工具\穴あけ工具\コアドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ポリクリックカッター用のシャンクです。<br><br><br>●シャンク：13mmストレートシャンク<br>●質量(g)：605<br><br><br>●炭素鋼・ショットブラスト仕上げ<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ボッシュ【PC-SR/LE】(7331568) 吸塵ストレートシャンクＬ 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【PC-SR/LE】(7331568) 吸塵ストレートシャンクＬ 受注単位1,切削工具\穴あけ工具\コアドリル。『カード対応OK！』■〒ボッシュ【PC-SR/LE】(7331568) 吸塵ストレートシャンクＬ 受注単位1[rn]
4-12111,,6701.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【PGW-038C】(7534744) ガルバウッドコアカッター３８ｍｍ 受注単位1,切削工具\穴あけ工具\コアドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ガルバリウム鋼板と木材を一気に貫通できます。<br>●独自の2枚刃を使用し、金属への食いつきが抜群で、切粉の排出がスムーズです。<br><br>●ガルバリウム鋼板を使用した金属系サイディング、窒業系サイディング、木材、湿ったALC等の穴あけに。<br><br>●刃径(mm)：38<br>●有効長(mm)：130<br>●刃厚(mm)：3.5<br>●質量(g)：230<br><br>●適合機種：電気ドリル、軽量ハンマードリル、SDS-maxハンマードリル<br><br>●刃部：超硬チップ<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ボッシュ【PGW-038C】(7534744) ガルバウッドコアカッター３８ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【PGW-038C】(7534744) ガルバウッドコアカッター３８ｍｍ 受注単位1,切削工具\穴あけ工具\コアドリル。『カード対応OK！』■〒ボッシュ【PGW-038C】(7534744) ガルバウッドコアカッター３８ｍｍ 受注単位1[rn]
4-12112,,4626.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立工機/日立【0033-2513】(7677791) 溶着ダイヤモンドドリルビット　（六角軸）　２０．０ｍｍ 受注単位1,切削工具\穴あけ工具\コアドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●コアドリル採用で被削材への力が分散され、欠けが少なくきれいな仕上がりが可能です。<br>●先端部のスリット採用により注水及び切粉の排出を促進します。<br><br>●硬質タイル等の穴あけに。<br><br>●刃径(mm)：20<br>●有効長(mm)：35<br>●シャンク径(mm)：6.35<br>●全長(mm)：65<br>●質量(g)：60<br><br>●適合機種：インパクトドライバー、ドライバドリル<br><br>●刃部：ダイヤモンド<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日立工機/日立【0033-2513】(7677791) 溶着ダイヤモンドドリルビット　（六角軸）　２０．０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒日立工機/日立【0033-2513】(7677791) 溶着ダイヤモンドドリルビット　（六角軸）　２０．０ｍｍ 受注単位1,切削工具\穴あけ工具\コアドリル。『カード対応OK！』■〒日立工機/日立【0033-2513】(7677791) 溶着ダイヤモンドドリルビット　（六角軸）　２０．０ｍｍ 受注単位1[rn]
4-12113,,7620.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【PAL-075C】(7331169) ＡＬＣコア　カッター　７５ｍｍ 受注単位1,切削工具\穴あけ工具\コアドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ALCと鉄筋を同時にラクラク切断できます。<br>●高品質の超硬チップの採用で超長寿命です。<br><br>●ALC板の穴あけ<br><br>●刃径(mm)：75<br>●有効長(mm)：130<br>●刃厚(mm)：2.0<br>●全長(mm)：160<br>●質量(g)：550<br><br>●適合機種：電気ドリル、軽量ハンマードリル、SDS-maxハンマードリル<br><br>●刃部：超硬チップ<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ボッシュ【PAL-075C】(7331169) ＡＬＣコア　カッター　７５ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【PAL-075C】(7331169) ＡＬＣコア　カッター　７５ｍｍ 受注単位1,切削工具\穴あけ工具\コアドリル。『カード対応OK！』■〒ボッシュ【PAL-075C】(7331169) ＡＬＣコア　カッター　７５ｍｍ 受注単位1[rn]
4-12114,,3616.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ユニカ【DJW 10.0X60S】(7603908) 充電ダイヤコアビット　セミドライ　　ＤＪＷ１０．０×６０Ｓ 受注単位1,切削工具\穴あけ工具\コアドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●独自開発の「セミドライワックス」をビット先端に塗布することで、磁器タイル、セラミックタイルを水なしで穴あけすることが可能になりました。<br>●特殊なブレイズダイヤ製法により、超硬刃ドリルでは得られない優れた耐久性をを実現しました。<br><br>●被削材：磁器タイル、セラミックタイル、石材タイル、硬質タイル、御影石、大理石など。<br><br>●刃径(mm)：10.0<br>●有効長(mm)：15<br>●シャンク径(mm)：6.35<br>●全長(mm)：60<br>●質量(g)：14<br><br>●適合機種：インパクトドライバー、充電ドライバー（12Ｖ以上）、電気ドリル（400Ｗ以下）<br><br>●刃部：ダイヤモンド<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ユニカ【DJW 10.0X60S】(7603908) 充電ダイヤコアビット　セミドライ　　ＤＪＷ１０．０&times;６０Ｓ 受注単位1：クローバー資材館,『カード対応OK！』■〒ユニカ【DJW 10.0X60S】(7603908) 充電ダイヤコアビット　セミドライ　　ＤＪＷ１０．０&times;６０Ｓ 受注単位1,切削工具\穴あけ工具\コアドリル。『カード対応OK！』■〒ユニカ【DJW 10.0X60S】(7603908) 充電ダイヤコアビット　セミドライ　　ＤＪＷ１０．０&times;６０Ｓ 受注単位1[rn]
4-12115,,9525.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ミヤナガ【PCWS105C】(7513127) ウツデイングコア／ポリカッターΦ１０５ 受注単位1,切削工具\穴あけ工具\コアドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●独自の刃先形状により、釘が噛み込まず、安全に切断できます。<br><br>●金属系サイディング、窯業系サイディング、木、石膏ボード、ベニヤ、集成材、スレート、フロアパネル。<br>●塩ビ、人造大理石、FRP、木質系天井材へのダウンライト、火災警報器などの取り付け。<br><br>●刃径(mm)：105<br>●有効長(mm)：130<br>●刃厚(mm)：2.5<br>●質量(g)：926<br><br>●適合電動機：電気ドリル(回転専用)<br><br>●刃部：超硬チップ<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ミヤナガ【PCWS105C】(7513127) ウツデイングコア／ポリカッターΦ１０５ 受注単位1：クローバー資材館,『カード対応OK！』■〒ミヤナガ【PCWS105C】(7513127) ウツデイングコア／ポリカッターΦ１０５ 受注単位1,切削工具\穴あけ工具\コアドリル。『カード対応OK！』■〒ミヤナガ【PCWS105C】(7513127) ウツデイングコア／ポリカッターΦ１０５ 受注単位1[rn]
4-12116,,1768.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【PCD22】(4998405) センタードリル　Ｎｏ．２２ 受注単位1,切削工具\穴あけ工具\コアドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●マルチダイヤコア用センタードリルです。<br><br><br>●刃径(mm)：10.0<br>●全長(mm)：225<br>●適合材：ALC、ラス壁、集成材、合板、モルタル、ブロック、軽天用<br><br><br>●刃部：超硬チップ<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ボッシュ【PCD22】(4998405) センタードリル　Ｎｏ．２２ 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【PCD22】(4998405) センタードリル　Ｎｏ．２２ 受注単位1,切削工具\穴あけ工具\コアドリル。『カード対応OK！』■〒ボッシュ【PCD22】(4998405) センタードリル　Ｎｏ．２２ 受注単位1[rn]
4-12117,,18371.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【PGW-110C】(7534833) ガルバウッドコアカッター１１０ｍｍ 受注単位1,切削工具\穴あけ工具\コアドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ガルバリウム鋼板と木材を一気に貫通できます。<br>●独自の2枚刃を使用し、金属への食いつきが抜群で、切粉の排出がスムーズです。<br><br>●ガルバリウム鋼板を使用した金属系サイディング、窒業系サイディング、木材、湿ったALC等の穴あけに。<br><br>●刃径(mm)：110<br>●有効長(mm)：130<br>●刃厚(mm)：3.5<br>●質量(g)：940<br><br>●適合機種：電気ドリル、軽量ハンマードリル、SDS-maxハンマードリル<br><br>●刃部：超硬チップ<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ボッシュ【PGW-110C】(7534833) ガルバウッドコアカッター１１０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【PGW-110C】(7534833) ガルバウッドコアカッター１１０ｍｍ 受注単位1,切削工具\穴あけ工具\コアドリル。『カード対応OK！』■〒ボッシュ【PGW-110C】(7534833) ガルバウッドコアカッター１１０ｍｍ 受注単位1[rn]
4-12118,,5851.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立工機/日立【0033-2516】(7677821) 溶着ダイヤモンドドリルビット　（六角軸）　３５．０ｍｍ 受注単位1,切削工具\穴あけ工具\コアドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●コアドリル採用で被削材への力が分散され、欠けが少なくきれいな仕上がりが可能です。<br>●先端部のスリット採用により注水及び切粉の排出を促進します。<br><br>●硬質タイル等の穴あけに。<br><br>●刃径(mm)：35<br>●有効長(mm)：35<br>●シャンク径(mm)：6.35<br>●全長(mm)：65<br>●質量(g)：100<br><br>●適合機種：インパクトドライバー、ドライバドリル<br><br>●刃部：ダイヤモンド<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日立工機/日立【0033-2516】(7677821) 溶着ダイヤモンドドリルビット　（六角軸）　３５．０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒日立工機/日立【0033-2516】(7677821) 溶着ダイヤモンドドリルビット　（六角軸）　３５．０ｍｍ 受注単位1,切削工具\穴あけ工具\コアドリル。『カード対応OK！』■〒日立工機/日立【0033-2516】(7677821) 溶着ダイヤモンドドリルビット　（六角軸）　３５．０ｍｍ 受注単位1[rn]
4-12119,,3442.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ミヤナガ【PCF023C】(7513089) 深穴ホールソー／ポリカッターΦ２３ 受注単位1,切削工具\穴あけ工具\コアドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●超硬刃先でステンレスなどの被削材への穴あけが可能です。<br>●独自の刃先設計により切り粉の排出が良好です。<br>●ボディーのふところが深く、金属パイプなど曲面への穴あけが可能です。<br>●超硬刃先でステンレスなどの被削材への穴あけが可能<br>●独自の刃先設計により切粉の排出が良好<br>●ボディのふところが深く、金属パイプなど曲面への穴あけが可能<br><br>●厚さ30mmまでの鋼板、ステンレス版、鋳鉄などへの穴あけ作業に（厚さ12mm以上の鋼板、ステンレス版、鋳鉄への穴あけおよび刃先径36mm以上をご使用の場合は、ボール盤での穴あけをおすすめします）<br>●鋼管、銅管などのパイプ類及び曲面への穴あけ<br>●板厚30mm以下の複合材料への穴あけ<br><br>●刃径(mm)：23<br>●刃厚(mm)：3.2<br>●有効長(mm)：30<br>●質量(g)：46<br><br>●適合電動機：電気ドリル(回転専用)<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ミヤナガ【PCF023C】(7513089) 深穴ホールソー／ポリカッターΦ２３ 受注単位1：クローバー資材館,『カード対応OK！』■〒ミヤナガ【PCF023C】(7513089) 深穴ホールソー／ポリカッターΦ２３ 受注単位1,切削工具\穴あけ工具\コアドリル。『カード対応OK！』■〒ミヤナガ【PCF023C】(7513089) 深穴ホールソー／ポリカッターΦ２３ 受注単位1[rn]
4-12120,,3305.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ユニカ【DJW 8.0X60S】(7603967) 充電ダイヤコアビット　セミドライ　　ＤＪＷ８．０×６０Ｓ 受注単位1,切削工具\穴あけ工具\コアドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●独自開発の「セミドライワックス」をビット先端に塗布することで、磁器タイル、セラミックタイルを水なしで穴あけすることが可能になりました。<br>●特殊なブレイズダイヤ製法により、超硬刃ドリルでは得られない優れた耐久性をを実現しました。<br><br>●被削材：磁器タイル、セラミックタイル、石材タイル、硬質タイル、御影石、大理石など。<br><br>●刃径(mm)：8.0<br>●有効長(mm)：15<br>●シャンク径(mm)：6.35<br>●全長(mm)：60<br>●質量(g)：11<br><br>●適合機種：インパクトドライバー、充電ドライバー（12Ｖ以上）、電気ドリル（400Ｗ以下）<br><br>●刃部：ダイヤモンド<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ユニカ【DJW 8.0X60S】(7603967) 充電ダイヤコアビット　セミドライ　　ＤＪＷ８．０&times;６０Ｓ 受注単位1：クローバー資材館,『カード対応OK！』■〒ユニカ【DJW 8.0X60S】(7603967) 充電ダイヤコアビット　セミドライ　　ＤＪＷ８．０&times;６０Ｓ 受注単位1,切削工具\穴あけ工具\コアドリル。『カード対応OK！』■〒ユニカ【DJW 8.0X60S】(7603967) 充電ダイヤコアビット　セミドライ　　ＤＪＷ８．０&times;６０Ｓ 受注単位1[rn]
4-12121,,4626.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立工機/日立【0033-2514】(7677804) 溶着ダイヤモンドドリルビット　（六角軸）　２５．０ｍｍ 受注単位1,切削工具\穴あけ工具\コアドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●コアドリル採用で被削材への力が分散され、欠けが少なくきれいな仕上がりが可能です。<br>●先端部のスリット採用により注水及び切粉の排出を促進します。<br><br>●硬質タイル等の穴あけに。<br><br>●刃径(mm)：25<br>●有効長(mm)：35<br>●シャンク径(mm)：6.35<br>●全長(mm)：65<br>●質量(g)：60<br><br>●適合機種：インパクトドライバー、ドライバドリル<br><br>●刃部：ダイヤモンド<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日立工機/日立【0033-2514】(7677804) 溶着ダイヤモンドドリルビット　（六角軸）　２５．０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒日立工機/日立【0033-2514】(7677804) 溶着ダイヤモンドドリルビット　（六角軸）　２５．０ｍｍ 受注単位1,切削工具\穴あけ工具\コアドリル。『カード対応OK！』■〒日立工機/日立【0033-2514】(7677804) 溶着ダイヤモンドドリルビット　（六角軸）　２５．０ｍｍ 受注単位1[rn]
4-12122,,6701.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【PGW-035C】(7534736) ガルバウッドコアカッター３５ｍｍ 受注単位1,切削工具\穴あけ工具\コアドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ガルバリウム鋼板と木材を一気に貫通できます。<br>●独自の2枚刃を使用し、金属への食いつきが抜群で、切粉の排出がスムーズです。<br><br>●ガルバリウム鋼板を使用した金属系サイディング、窒業系サイディング、木材、湿ったALC等の穴あけに。<br><br>●刃径(mm)：35<br>●有効長(mm)：130<br>●刃厚(mm)：3.5<br>●質量(g)：225<br><br>●適合機種：電気ドリル、軽量ハンマードリル、SDS-maxハンマードリル<br><br>●刃部：超硬チップ<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ボッシュ【PGW-035C】(7534736) ガルバウッドコアカッター３５ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【PGW-035C】(7534736) ガルバウッドコアカッター３５ｍｍ 受注単位1,切削工具\穴あけ工具\コアドリル。『カード対応OK！』■〒ボッシュ【PGW-035C】(7534736) ガルバウッドコアカッター３５ｍｍ 受注単位1[rn]
4-12123,,3742.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【PCD21】(4998391) センターピン　Ｎｏ．２１ 受注単位1,切削工具\穴あけ工具\コアドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br><br><br>●刃径(mm)：10.0<br>●全長(mm)：228<br>●質量(g)：145<br><br><br>●コバルトハイス<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ボッシュ【PCD21】(4998391) センターピン　Ｎｏ．２１ 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【PCD21】(4998391) センターピン　Ｎｏ．２１ 受注単位1,切削工具\穴あけ工具\コアドリル。『カード対応OK！』■〒ボッシュ【PCD21】(4998391) センターピン　Ｎｏ．２１ 受注単位1[rn]
4-12124,,6055.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【PAL-032C】(7330995) ＡＬＣコア　カッター　３２ｍｍ 受注単位1,切削工具\穴あけ工具\コアドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ALCと鉄筋を同時にラクラク切断できます。<br>●高品質の超硬チップの採用で超長寿命です。<br><br>●ALC板の穴あけ<br><br>●刃径(mm)：32<br>●有効長(mm)：130<br>●刃厚(mm)：2.5<br>●全長(mm)：160<br>●質量(g)：270<br><br>●適合機種：電気ドリル、軽量ハンマードリル、SDS-maxハンマードリル<br><br>●刃部：超硬チップ<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ボッシュ【PAL-032C】(7330995) ＡＬＣコア　カッター　３２ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【PAL-032C】(7330995) ＡＬＣコア　カッター　３２ｍｍ 受注単位1,切削工具\穴あけ工具\コアドリル。『カード対応OK！』■〒ボッシュ【PAL-032C】(7330995) ＡＬＣコア　カッター　３２ｍｍ 受注単位1[rn]
4-12125,,2449.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【PCD26】(7631669) センタードリル　Ｎｏ．２６ 受注単位1,切削工具\穴あけ工具\コアドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ガルバウッドコア用センタードリルです。<br>●ガイドバーのPCB27が付属しています。<br><br><br>●刃径(mm)：9.3<br>●全長(mm)：225<br>●質量(g)：200<br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ボッシュ【PCD26】(7631669) センタードリル　Ｎｏ．２６ 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【PCD26】(7631669) センタードリル　Ｎｏ．２６ 受注単位1,切削工具\穴あけ工具\コアドリル。『カード対応OK！』■〒ボッシュ【PCD26】(7631669) センタードリル　Ｎｏ．２６ 受注単位1[rn]
