38-10063,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs45/trs7941315.jpg?fitin=700:700,8942.4000,,花・ガーデン・DIY > DIY・工具 > その他,ケルヒャー　ディスクパッド（緑）　63697900,【業務用】 オレンジブック2017掲載,<b>メーカー／ケルヒャージャパン（株）</b><br><br>【仕様】<br>●品名:ディスクパッド　381ｍｍ　ハード（緑）5枚入●適合機種:ＢＤ40/25Ｃ<br><br>【質量】　960G<br><br>【原産国】　イギリス<br><br>【2017　オレンジブック掲載】　5 1615　ページ■商品コード：trs7941315　●品名:ディスクパッド　381ｍｍ　ハード（緑）5枚入●適合機種:ＢＤ40/25Ｃ,ケルヒャー　ディスクパッド（緑）　63697900：工具箱　楽天市場店,ケルヒャー　ディスクパッド（緑）　63697900,【業務用】 オレンジブック2017掲載。ケルヒャー　ディスクパッド（緑）　63697900[rn]
38-10114,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,28377.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＣＨＥＣＫＥＲＳ　スピードバンプス　　２４４８ＭＭ　SB9S　　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／ＣＨＥＣＫＥＲＳ社</b><br><br>【特長】<br>●駐車場のスピード抑制に最適です。●再生プラスチックを使用しているので環境にも優しいです。●一人で取り付けられます。<br><br>【仕様】<br>●色:黄●間口(mm):2754●奥行(mm):255●高さ(mm):51●耐荷重:2ｔ●取付穴径:15mm<br><br>【材質／仕上】<br>●再生プラスチック<br><br>【質量】　22.7KG<br><br>【原産国】　アメリカ<br><br>【2017　オレンジブック掲載】　5 3029　ページ≪メーカー直送品≫■商品コード：trs4904940　●色:黄●間口(mm):2754●奥行(mm):255●高さ(mm):51●耐荷重:2ｔ●取付穴径:15mm,ＣＨＥＣＫＥＲＳ　スピードバンプス　　２４４８ＭＭ　SB9S　　【代引き不可・配送時間指定不可】：工具箱　楽天市場店,ＣＨＥＣＫＥＲＳ　スピードバンプス　　２４４８ＭＭ　SB9S　　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。ＣＨＥＣＫＥＲＳ　スピードバンプス　　２４４８ＭＭ　SB9S　　【代引き不可・配送時間指定不可】[rn]
38-10115,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs36/trs4905253.jpg?fitin=700:700,10850.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＣＨＥＣＫＥＲＳ　ホイールチョーク　UC14006,【業務用】 オレンジブック2017掲載,<b>メーカー／ＣＨＥＣＫＥＲＳ社</b><br><br>【特長】<br>●耐油性、耐薬品性に優れています。●重量トラック・ トレーラーに最適です。●アイボルト付きでロープやチェーンが取り付け可能。●持ち運びに便利なハンドル付き<br><br>【用途】<br>●重量トラック トレーラー用<br><br>【仕様】<br>●色:オレンジ●間口(mm):254●奥行(mm):216●高さ(mm):127●汎用タイプ●適応車輪径:686～813mm<br><br>【材質／仕上】<br>●耐衝撃ウレタン<br><br>【質量】　2.7KG<br><br>【原産国】　アメリカ<br><br>【2017　オレンジブック掲載】　5 3028　ページ■商品コード：trs4905253　●色:オレンジ●間口(mm):254●奥行(mm):216●高さ(mm):127●汎用タイプ●適応車輪径:686～813mm,ＣＨＥＣＫＥＲＳ　ホイールチョーク　UC14006：工具箱　楽天市場店,ＣＨＥＣＫＥＲＳ　ホイールチョーク　UC14006,【業務用】 オレンジブック2017掲載。ＣＨＥＣＫＥＲＳ　ホイールチョーク　UC14006[rn]
38-10116,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs26/trs4388046.jpg?fitin=700:700,600.8000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　タイヤストッパー　黒　TTSBK,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●ゴム製のため、滑りにくいです。●ゆるやかな斜面や平地での車止めに最適です。●ひも付なので持ち運びが便利です。<br><br>【仕様】<br>●色:黒●間口(mm):95●奥行(mm):170●高さ(mm):95●耐荷重(t):2●取付穴径(mm):14●耐荷重:2ｔ●取付穴径:14mm<br><br>【材質／仕上】<br>●天然ゴム<br><br>【セット内容／付属品】<br>●ひも<br><br>【質量】　1.25KG<br><br>【原産国】　台湾<br><br>【2017　オレンジブック掲載】　5 3028　ページ■商品コード：trs4388046　●色:黒●間口(mm):95●奥行(mm):170●高さ(mm):95●耐荷重(t):2●取付穴径(mm):14●耐荷重:2ｔ●取付穴径:14mm,ＴＲＵＳＣＯ　タイヤストッパー　黒　TTSBK：工具箱　楽天市場店,ＴＲＵＳＣＯ　タイヤストッパー　黒　TTSBK,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　タイヤストッパー　黒　TTSBK[rn]
38-10117,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs36/trs4904826.jpg?fitin=700:700,7512.0000,,花・ガーデン・DIY > DIY・工具 > その他,ＣＨＥＣＫＥＲＳ　ホイールチョーク　汎用　重量トラック用　トレーラー用　RC915,【業務用】 オレンジブック2017掲載,<b>メーカー／ＣＨＥＣＫＥＲＳ社</b><br><br>【特長】<br>●紫外線、湿気、塩分、オイルに強いです。●舗装道路が傷つかないように設計されています。<br><br>【用途】<br>●トラック、 トレーラー用<br><br>【仕様】<br>●色:黒●間口(mm):292●奥行(mm):254●高さ(mm):184●取付穴径:15mm●汎用タイプ●重量トラック・トレーラー用<br><br>【材質／仕上】<br>●耐久ゴム<br><br>【質量】　6.8KG<br><br>【原産国】　アメリカ<br><br>【2017　オレンジブック掲載】　5 3028　ページ■商品コード：trs4904826　●色:黒●間口(mm):292●奥行(mm):254●高さ(mm):184●取付穴径:15mm●汎用タイプ●重量トラック・トレーラー用,ＣＨＥＣＫＥＲＳ　ホイールチョーク　汎用　重量トラック用　トレーラー用　RC915：工具箱　楽天市場店,ＣＨＥＣＫＥＲＳ　ホイールチョーク　汎用　重量トラック用　トレーラー用　RC915,【業務用】 オレンジブック2017掲載。ＣＨＥＣＫＥＲＳ　ホイールチョーク　汎用　重量トラック用　トレーラー用　RC915[rn]
38-10118,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs47/trs8190926.jpg?fitin=700:700,2236.0000,,花・ガーデン・DIY > DIY・工具 > その他,浅野木工所　木製　車止め　31100,【業務用】 オレンジブック2017掲載,<b>メーカー／（有）浅野木工所</b><br><br>【特長】<br>●木製の車止めです。●湾曲形状でタイヤ接地面を大きくして、車止め効果をより発揮します。<br><br>【仕様】<br>●間口(mm):105●奥行(mm):240●高さ(mm):100●耐荷重(t):2●タイヤ接地面湾曲加工<br><br>【材質／仕上】<br>●木<br><br>【質量】　1.6KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 3029　ページ■商品コード：trs8190926　●間口(mm):105●奥行(mm):240●高さ(mm):100●耐荷重(t):2●タイヤ接地面湾曲加工,浅野木工所　木製　車止め　31100：工具箱　楽天市場店,浅野木工所　木製　車止め　31100,【業務用】 オレンジブック2017掲載。浅野木工所　木製　車止め　31100[rn]
38-10119,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,3129.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＣＨＥＣＫＥＲＳ　ホイールチョーク　ゴム　長距離輸送トラック用　RC815,【業務用】 オレンジブック2017掲載,<b>メーカー／ＣＨＥＣＫＥＲＳ社</b><br><br>【特長】<br>●紫外線、湿気、塩分、オイルに強いです。●舗装道路が傷つかないように設計されています。<br><br>【用途】<br>●重量トラック トレーラー用<br><br>【仕様】<br>●色:黒●間口(mm):254●奥行(mm):203●高さ(mm):152●取付穴径:15mm<br><br>【材質／仕上】<br>●耐久ゴム<br><br>【質量】　3.9KG<br><br>【原産国】　アメリカ<br><br>【2017　オレンジブック掲載】　5 3028　ページ■商品コード：trs4911873　●色:黒●間口(mm):254●奥行(mm):203●高さ(mm):152●取付穴径:15mm,ＣＨＥＣＫＥＲＳ　ホイールチョーク　ゴム　長距離輸送トラック用　RC815：工具箱　楽天市場店,ＣＨＥＣＫＥＲＳ　ホイールチョーク　ゴム　長距離輸送トラック用　RC815,【業務用】 オレンジブック2017掲載。ＣＨＥＣＫＥＲＳ　ホイールチョーク　ゴム　長距離輸送トラック用　RC815[rn]
38-10120,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,66769.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＣＨＥＣＫＥＲＳ　ホイールチョーク　（マイニング用）　MC3011,【業務用】 オレンジブック2017掲載,<b>メーカー／ＣＨＥＣＫＥＲＳ社</b><br><br>【特長】<br>●耐油性、耐溶剤に優れています。●鉱山安全保健管理局の基準をクリアしています。●キャタピラタイプの車輌やダンプカー、ブルトーザー等に最適です。<br><br>【用途】<br>●大型の運搬トラックや建設機械用の大型車（キャタピラ）、クレーン、マイニング用のトラックに。<br><br>【仕様】<br>●色:黄●間口(mm):369●奥行(mm):625●高さ(mm):407●取付穴径:15mm●適用車輪径:2413～4191mm●最大耐荷重:387ｔロープ、チェーン、ブラケット用の穴があります。待ち運び用のハンドル付き<br><br>【材質／仕上】<br>●耐衝撃ウレタン<br><br>【質量】　14.5<br><br>【原産国】　アメリカ<br><br>【2017　オレンジブック掲載】　5 3028　ページ■商品コード：trs4904630　●色:黄●間口(mm):369●奥行(mm):625●高さ(mm):407●取付穴径:15mm●適用車輪径:2413～4191mm●最大耐荷重:387ｔロープ、チェーン、ブラケット用の穴があります。待ち運び用のハンドル付き,ＣＨＥＣＫＥＲＳ　ホイールチョーク　（マイニング用）　MC3011：工具箱　楽天市場店,ＣＨＥＣＫＥＲＳ　ホイールチョーク　（マイニング用）　MC3011,【業務用】 オレンジブック2017掲載。ＣＨＥＣＫＥＲＳ　ホイールチョーク　（マイニング用）　MC3011[rn]
38-10121,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs47/trs8190927.jpg?fitin=700:700,2384.8000,,花・ガーデン・DIY > DIY・工具 > その他,浅野木工所　木製　車止め　大　31105,【業務用】 オレンジブック2017掲載,<b>メーカー／（有）浅野木工所</b><br><br>【特長】<br>●木製の車止めです。●湾曲形状でタイヤ接地面を大きくして、車止め効果をより発揮します。<br><br>【仕様】<br>●間口(mm):120●奥行(mm):300●高さ(mm):150●耐荷重(t):4●タイヤ接地面湾曲加工<br><br>【材質／仕上】<br>●木<br><br>【質量】　1.78KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 3029　ページ■商品コード：trs8190927　●間口(mm):120●奥行(mm):300●高さ(mm):150●耐荷重(t):4●タイヤ接地面湾曲加工,浅野木工所　木製　車止め　大　31105：工具箱　楽天市場店,浅野木工所　木製　車止め　大　31105,【業務用】 オレンジブック2017掲載。浅野木工所　木製　車止め　大　31105[rn]
38-10122,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs19/trs3874184.jpg?fitin=700:700,1072.0000,,花・ガーデン・DIY > DIY・工具 > その他,光　カーストップＷ穴付５０×４５０　CSG50450W,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）光</b><br><br>【特長】<br>●Ｄ型中空構造のため、衝撃吸収性に優れています。<br><br>【仕様】<br>●色:黒●間口(mm):450●奥行(mm):50●高さ(mm):50●取付穴径(mm):6●中空構造●取付穴径:6mm●取付方法:アンカーボルト（別売）<br><br>【材質／仕上】<br>●EPDM<br><br>【セット内容／付属品】<br>●なし<br><br><font color=red>【注意】<br>●しっかりと止まらない場合はフラットバーなどをあて板にし、使用してください。</font><br><br>【質量】　0.63KG<br><br>【原産国】　台湾<br><br>【2017　オレンジブック掲載】　5 3030　ページ■商品コード：trs3874184　●色:黒●間口(mm):450●奥行(mm):50●高さ(mm):50●取付穴径(mm):6●中空構造●取付穴径:6mm●取付方法:アンカーボルト（別売）,光　カーストップＷ穴付５０&times;４５０　CSG50450W：工具箱　楽天市場店,光　カーストップＷ穴付５０&times;４５０　CSG50450W,【業務用】 オレンジブック2017掲載。光　カーストップＷ穴付５０&times;４５０　CSG50450W[rn]
38-10123,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs41/trs7619448.jpg?fitin=700:700,1052.0000,,花・ガーデン・DIY > DIY・工具 > その他,ＣＨＥＣＫＥＲＳ　スピードバンプ用とめ金具セット　CSSBTSLAG5,【業務用】 オレンジブック2017掲載,<b>メーカー／ＣＨＥＣＫＥＲＳ社</b><br><br>【特長】<br>●パーキングストップ、スピードバンプスを固定するための金具です。<br><br>【仕様】<br>●適合本体:SB4S、SB6S、SB9S●タイプ:コンクリート用●呼び径×長さ(mm):12.7×140<br><br>【材質／仕上】<br>●工具鋼<br><br>【質量】　250G<br><br>【原産国】　アメリカ<br><br>【2017　オレンジブック掲載】　5 3029　ページ■商品コード：trs7619448　●適合本体:SB4S、SB6S、SB9S●タイプ:コンクリート用●呼び径×長さ(mm):12.7×140,ＣＨＥＣＫＥＲＳ　スピードバンプ用とめ金具セット　CSSBTSLAG5：工具箱　楽天市場店,ＣＨＥＣＫＥＲＳ　スピードバンプ用とめ金具セット　CSSBTSLAG5,【業務用】 オレンジブック2017掲載。ＣＨＥＣＫＥＲＳ　スピードバンプ用とめ金具セット　CSSBTSLAG5[rn]
38-10124,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs36/trs4905270.jpg?fitin=700:700,6676.8000,,花・ガーデン・DIY > DIY・工具 > その他,ＣＨＥＣＫＥＲＳ　ホイールチョーク　UC1600,【業務用】 オレンジブック2017掲載,<b>メーカー／ＣＨＥＣＫＥＲＳ社</b><br><br>【特長】<br>●耐油性、耐薬品性に優れています。●重量トラック・ トレーラーに最適です。●ロープチェーン取付穴付き。<br><br>【用途】<br>●重量トラック トレーラー用<br><br>【仕様】<br>●色:オレンジ●間口(mm):203●奥行(mm):286●高さ(mm):210●汎用タイプ●適応車輪:686～813mm<br><br>【材質／仕上】<br>●耐衝撃ウレタン<br><br>【質量】　1.6KG<br><br>【原産国】　アメリカ<br><br>【2017　オレンジブック掲載】　5 3028　ページ■商品コード：trs4905270　●色:オレンジ●間口(mm):203●奥行(mm):286●高さ(mm):210●汎用タイプ●適応車輪:686～813mm,ＣＨＥＣＫＥＲＳ　ホイールチョーク　UC1600：工具箱　楽天市場店,ＣＨＥＣＫＥＲＳ　ホイールチョーク　UC1600,【業務用】 オレンジブック2017掲載。ＣＨＥＣＫＥＲＳ　ホイールチョーク　UC1600[rn]
38-10125,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,350.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　ステンレス　グレーチングクリップＧＣＤ型　適用の高さ６０～７５ｍｍ　TGCD295,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●ボルトで固定するガッチリタイプです。<br><br>【用途】<br>●グレーチング（溝蓋）とグレーチングの隣合った部分にはめ込み、連結させる事で、衝撃による跳ね上げ事故を防いだり、グレーチングの盗難を抑制します。<br><br>【仕様】<br>●縦×横×内幅(mm):95×25×15<br><br>【材質／仕上】<br>●ステンレス(SUS304)<br><br>【質量】　93G<br><br>【原産国】　台湾<br><br>【2017　オレンジブック掲載】　5 3034　ページ■商品コード：trs4894090　●縦×横×内幅(mm):95×25×15,ＴＲＵＳＣＯ　ステンレス　グレーチングクリップＧＣＤ型　適用の高さ６０～７５ｍｍ　TGCD295：工具箱　楽天市場店,ＴＲＵＳＣＯ　ステンレス　グレーチングクリップＧＣＤ型　適用の高さ６０～７５ｍｍ　TGCD295,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　ステンレス　グレーチングクリップＧＣＤ型　適用の高さ６０～７５ｍｍ　TGCD295[rn]
38-10126,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,350.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　ステンレス　グレーチングクリップＧＣＡ型　適用の高さ３８～５０ｍｍ　TGCA80,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●細目タイプにもご使用できます。●差し込むだけのワンタッチタイプです。<br><br>【用途】<br>●グレーチング（溝蓋）とグレーチングの隣合った部分にはめ込み、連結させる事で、衝撃による跳ね上げ事故を防いだり、グレーチングの盗難を抑制します。<br><br>【仕様】<br>●縦×横×内幅(mm):80×20×18.5<br><br>【材質／仕上】<br>●ステンレス(SUS304)<br><br>【質量】　38G<br><br>【原産国】　台湾<br><br>【2017　オレンジブック掲載】　5 3034　ページ■商品コード：trs4894057　●縦×横×内幅(mm):80×20×18.5,ＴＲＵＳＣＯ　ステンレス　グレーチングクリップＧＣＡ型　適用の高さ３８～５０ｍｍ　TGCA80：工具箱　楽天市場店,ＴＲＵＳＣＯ　ステンレス　グレーチングクリップＧＣＡ型　適用の高さ３８～５０ｍｍ　TGCA80,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　ステンレス　グレーチングクリップＧＣＡ型　適用の高さ３８～５０ｍｍ　TGCA80[rn]
38-10127,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,325.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　ステンレス　グレーチングクリップＧＣＡ型　適用の高さ３２～４５ｍｍ　TGCA70,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●細目タイプにもご使用できます。●差し込むだけのワンタッチタイプです。<br><br>【用途】<br>●グレーチング（溝蓋）とグレーチングの隣合った部分にはめ込み、連結させる事で、衝撃による跳ね上げ事故を防いだり、グレーチングの盗難を抑制します。<br><br>【仕様】<br>●縦×横×内幅(mm):70×20×16<br><br>【材質／仕上】<br>●ステンレス(SUS304)<br><br>【質量】　36G<br><br>【原産国】　台湾<br><br>【2017　オレンジブック掲載】　5 3034　ページ■商品コード：trs4894049　●縦×横×内幅(mm):70×20×16,ＴＲＵＳＣＯ　ステンレス　グレーチングクリップＧＣＡ型　適用の高さ３２～４５ｍｍ　TGCA70：工具箱　楽天市場店,ＴＲＵＳＣＯ　ステンレス　グレーチングクリップＧＣＡ型　適用の高さ３２～４５ｍｍ　TGCA70,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　ステンレス　グレーチングクリップＧＣＡ型　適用の高さ３２～４５ｍｍ　TGCA70[rn]
38-10128,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs36/trs4894031.jpg?fitin=700:700,300.0000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　ステンレス　グレーチングクリップＧＣＡ型　適用の高さ１９～３２ｍｍ　TGCA60,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●細目タイプにもご使用できます。●差し込むだけのワンタッチタイプです。<br><br>【用途】<br>●グレーチング（溝蓋）とグレーチングの隣合った部分にはめ込み、連結させる事で、衝撃による跳ね上げ事故を防いだり、グレーチングの盗難を抑制します。<br><br>【仕様】<br>●縦×横×内幅(mm):60×20×16<br><br>【材質／仕上】<br>●ステンレス(SUS304)<br><br>【質量】　31G<br><br>【原産国】　台湾<br><br>【2017　オレンジブック掲載】　5 3034　ページ■商品コード：trs4894031　●縦×横×内幅(mm):60×20×16,ＴＲＵＳＣＯ　ステンレス　グレーチングクリップＧＣＡ型　適用の高さ１９～３２ｍｍ　TGCA60：工具箱　楽天市場店,ＴＲＵＳＣＯ　ステンレス　グレーチングクリップＧＣＡ型　適用の高さ１９～３２ｍｍ　TGCA60,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　ステンレス　グレーチングクリップＧＣＡ型　適用の高さ１９～３２ｍｍ　TGCA60[rn]
38-10129,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,310.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　ステンレス　グレーチングクリップＧＣＤ型　適用の高さ１８～３８ｍｍ　TGCD255,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●ボルトで固定するガッチリタイプです。<br><br>【用途】<br>●グレーチング（溝蓋）とグレーチングの隣合った部分にはめ込み、連結させる事で、衝撃による跳ね上げ事故を防いだり、グレーチングの盗難を抑制します。<br><br>【仕様】<br>●縦×横×内幅(mm):55×25×15<br><br>【材質／仕上】<br>●ステンレス(SUS304)<br><br>【質量】　63G<br><br>【原産国】　台湾<br><br>【2017　オレンジブック掲載】　5 3034　ページ■商品コード：trs4894073　●縦×横×内幅(mm):55×25×15,ＴＲＵＳＣＯ　ステンレス　グレーチングクリップＧＣＤ型　適用の高さ１８～３８ｍｍ　TGCD255：工具箱　楽天市場店,ＴＲＵＳＣＯ　ステンレス　グレーチングクリップＧＣＤ型　適用の高さ１８～３８ｍｍ　TGCD255,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　ステンレス　グレーチングクリップＧＣＤ型　適用の高さ１８～３８ｍｍ　TGCD255[rn]
38-10130,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs13/trs3424936.jpg?fitin=700:700,4320.8000,,花・ガーデン・DIY > DIY・工具 > その他,サンコー　プラスチックグレーチングＵ＃１８０グレー　SKGLU180GL,【業務用】 オレンジブック2017掲載,<b>メーカー／三甲（株）</b><br><br>【特長】<br>●質量がスチール製の1/5と軽量で、取り扱い、施工が容易です。金属音がなく、リサイクルも可能です。●ボルト不要で連結可能な形状です。<br><br>【仕様】<br>●溝幅(mm):180●内幅×外幅×長さ×高さ(mm):180×230×600×38●エンドアングル(mm):-●適用荷重側溝:歩道用●適用荷重:歩道用<br><br>【材質／仕上】<br>●ポリカーボネート<br><br>【質量】　1.7KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 3036　ページ■商品コード：trs3424936　●溝幅(mm):180●内幅×外幅×長さ×高さ(mm):180×230×600×38●エンドアングル(mm):-●適用荷重側溝:歩道用●適用荷重:歩道用,サンコー　プラスチックグレーチングＵ＃１８０グレー　SKGLU180GL：工具箱　楽天市場店,サンコー　プラスチックグレーチングＵ＃１８０グレー　SKGLU180GL,【業務用】 オレンジブック2017掲載。サンコー　プラスチックグレーチングＵ＃１８０グレー　SKGLU180GL[rn]
38-10131,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,6899.2000,,花・ガーデン・DIY > DIY・工具 > その他,サンコー　プラスチックグレーチングＵ＃３００グレー　SKGLU300GL,【業務用】 オレンジブック2017掲載,<b>メーカー／三甲（株）</b><br><br>【特長】<br>●質量がスチール製の1/5と軽量で、取り扱い、施工が容易です。金属音がなく、リサイクルも可能です。●ボルト不要で連結可能な形状です。<br><br>【仕様】<br>●溝幅(mm):300●内幅×外幅×長さ×高さ(mm):300×370×600×50●エンドアングル(mm):-●適用荷重側溝:歩道用●適用荷重:歩道用<br><br>【材質／仕上】<br>●ポリカーボネート<br><br>【質量】　3KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 3036　ページ■商品コード：trs3424952　●溝幅(mm):300●内幅×外幅×長さ×高さ(mm):300×370×600×50●エンドアングル(mm):-●適用荷重側溝:歩道用●適用荷重:歩道用,サンコー　プラスチックグレーチングＵ＃３００グレー　SKGLU300GL：工具箱　楽天市場店,サンコー　プラスチックグレーチングＵ＃３００グレー　SKGLU300GL,【業務用】 オレンジブック2017掲載。サンコー　プラスチックグレーチングＵ＃３００グレー　SKGLU300GL[rn]
38-10132,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,5566.4000,,花・ガーデン・DIY > DIY・工具 > その他,サンコー　プラスチックグレーチングＵ＃２４０グレー　SKGLU240GL,【業務用】 オレンジブック2017掲載,<b>メーカー／三甲（株）</b><br><br>【特長】<br>●質量がスチール製の1/5と軽量で、取り扱い、施工が容易です。金属音がなく、リサイクルも可能です。●ボルト不要で連結可能な形状です。<br><br>【仕様】<br>●溝幅(mm):240●内幅×外幅×長さ×高さ(mm):240×300×600×45●エンドアングル(mm):-●適用荷重側溝:歩道用●適用荷重:歩道用<br><br>【材質／仕上】<br>●ポリカーボネート<br><br>【質量】　2.4KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 3036　ページ■商品コード：trs3424944　●溝幅(mm):240●内幅×外幅×長さ×高さ(mm):240×300×600×45●エンドアングル(mm):-●適用荷重側溝:歩道用●適用荷重:歩道用,サンコー　プラスチックグレーチングＵ＃２４０グレー　SKGLU240GL：工具箱　楽天市場店,サンコー　プラスチックグレーチングＵ＃２４０グレー　SKGLU240GL,【業務用】 オレンジブック2017掲載。サンコー　プラスチックグレーチングＵ＃２４０グレー　SKGLU240GL[rn]
38-10133,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs36/trs4897471.jpg?fitin=700:700,220.8000,,花・ガーデン・DIY > DIY・工具 > その他,アラオ　側溝ダートカバー　グレー　AR041,【業務用】 オレンジブック2017掲載,<b>メーカー／アラオ（株）</b><br><br>【特長】<br>●特殊樹脂を採用しているため、耐寒性に優れ、割れることもありません。<br><br>【仕様】<br>●色:グレー●対応側溝フタ穴(mm):30～50●横(mm):※●縦(mm):※●間口×奥行×高さ：190×75×45mm●側溝内にゴミ・チリを落とさず、ハイヒールや幼児の足が入ることを防ぎます。<br><br>【材質／仕上】<br>●ポリプロピレン<br><br>【質量】　56G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 3037　ページ■商品コード：trs4897471　●色:グレー●対応側溝フタ穴(mm):30～50●横(mm):※●縦(mm):※●間口×奥行×高さ：190×75×45mm●側溝内にゴミ・チリを落とさず、ハイヒールや幼児の足が入ることを防ぎます。,アラオ　側溝ダートカバー　グレー　AR041：工具箱　楽天市場店,アラオ　側溝ダートカバー　グレー　AR041,【業務用】 オレンジブック2017掲載。アラオ　側溝ダートカバー　グレー　AR041[rn]
38-10134,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs36/trs4897463.jpg?fitin=700:700,220.8000,,花・ガーデン・DIY > DIY・工具 > その他,アラオ　側溝ダートカバー　黄　AR040,【業務用】 オレンジブック2017掲載,<b>メーカー／アラオ（株）</b><br><br>【特長】<br>●特殊樹脂を採用しているため、耐寒性に優れ、割れることもありません。<br><br>【仕様】<br>●色:黄●対応側溝フタ穴(mm):30～50●横(mm):190●縦(mm):75●間口×奥行×高さ：190×75×45mm●側溝内にゴミ・チリを落とさず、ハイヒールや幼児の足が入ることを防ぎます。<br><br>【材質／仕上】<br>●ポリプロピレン<br><br>【質量】　56G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 3037　ページ■商品コード：trs4897463　●色:黄●対応側溝フタ穴(mm):30～50●横(mm):190●縦(mm):75●間口×奥行×高さ：190×75×45mm●側溝内にゴミ・チリを落とさず、ハイヒールや幼児の足が入ることを防ぎます。,アラオ　側溝ダートカバー　黄　AR040：工具箱　楽天市場店,アラオ　側溝ダートカバー　黄　AR040,【業務用】 オレンジブック2017掲載。アラオ　側溝ダートカバー　黄　AR040[rn]
