20-31601,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004413767.jpg?fitin=700:700,2372.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒白光/白光　こて先　４ＢＣ型【T20-BC4】(4003926) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒白光/白光　こて先　４ＢＣ型【T20-BC4】(4003926) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒白光/白光　こて先　４ＢＣ型【T20-BC4】(4003926) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて。『カード対応OK！』■〒白光/白光　こて先　４ＢＣ型【T20-BC4】(4003926) 受注単位：1[rn]
20-31647,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002811792.jpg?fitin=700:700,1102.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　ピンセット（ＢＳ型）先細ツル首タイプ　１６５ｍｍ【PT-12 (165MM)】(2964082) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●先端超精密加工の非磁性、耐酸、耐食性を兼ね備えたSUS304製です。<br>●ボディー部のばね性は柔らかく仕上げてあり、長時間の作業でも手が疲れません。",『カード対応OK！』■〒エンジニア/エンジニア　ピンセット（ＢＳ型）先細ツル首タイプ　１６５ｍｍ【PT-12 (165MM)】(2964082) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒エンジニア/エンジニア　ピンセット（ＢＳ型）先細ツル首タイプ　１６５ｍｍ【PT-12 (165MM)】(2964082) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット。『カード対応OK！』■〒エンジニア/エンジニア　ピンセット（ＢＳ型）先細ツル首タイプ　１６５ｍｍ【PT-12 (165MM)】(2964082) 受注単位：1[rn]
20-31648,,3976.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　除電ブラシソフト　Ｍ【TJB-SM】(2874091) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　除電ブラシソフト　Ｍ【TJB-SM】(2874091) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　除電ブラシソフト　Ｍ【TJB-SM】(2874091) 受注単位：1,(2874091)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　除電ブラシソフト　Ｍ【TJB-SM】(2874091) 受注単位：1[rn]
20-31649,,795.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　除電ブラシハード　Ａ－１【TJB-HA1】(2874113) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ナイロンをベースに、優れた導電性を持つカーボンブラック微粒子をコーティングした導電性繊維を用いたブラシです。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　除電ブラシハード　Ａ&minus;１【TJB-HA1】(2874113) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　除電ブラシハード　Ａ&minus;１【TJB-HA1】(2874113) 受注単位：1,(2874113)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　除電ブラシハード　Ａ&minus;１【TJB-HA1】(2874113) 受注単位：1[rn]
20-31650,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002817768.jpg?fitin=700:700,10886.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スタック・アンド・オプティー/スタック　ハンド木柄除電ブラシ【STAC200】(3073271) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ブラシ有効長が大きいので広い用途の除電に適しています。グリップ部分にアースを装備してますので、ブラシに帯電することなく人体を通して排出します。また、アース線の接続も可能です。",『カード対応OK！』■〒スタック・アンド・オプティー/スタック　ハンド木柄除電ブラシ【STAC200】(3073271) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スタック・アンド・オプティー/スタック　ハンド木柄除電ブラシ【STAC200】(3073271) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策ブラシ。『カード対応OK！』■〒スタック・アンド・オプティー/スタック　ハンド木柄除電ブラシ【STAC200】(3073271) 受注単位：1[rn]
20-31651,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002939411.jpg?fitin=700:700,12787.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スタック・アンド・オプティー/スタック　静電気除去プリント基板用ブラシ【STAC169-2】(2915375) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●基板製造時の飛びはんだのはんだボール除去、異物除去に必要な反発力、除電効果があります。<br>●耐熱、耐薬品性に優れ、高い導電性を発揮します。<br>●握手部分アース機能付です。<br>●はんだボール除去時指先に傷害を発生させない安全機能付です。",『カード対応OK！』■〒スタック・アンド・オプティー/スタック　静電気除去プリント基板用ブラシ【STAC169-2】(2915375) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スタック・アンド・オプティー/スタック　静電気除去プリント基板用ブラシ【STAC169-2】(2915375) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策ブラシ。『カード対応OK！』■〒スタック・アンド・オプティー/スタック　静電気除去プリント基板用ブラシ【STAC169-2】(2915375) 受注単位：1[rn]
20-31652,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002820192.jpg?fitin=700:700,6480.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スタック・アンド・オプティー/スタック　グランドコード付除電ブラシ【STAC71】(3073203) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●プッシュホック、ワニ口、双方を柄の部分に取り付けられます。<br>●テーブル上の除電マットにアースして使えます。<br>●グランドコード（1.5m）は人体保護のため1MΩの抵抗が入っています。",『カード対応OK！』■〒スタック・アンド・オプティー/スタック　グランドコード付除電ブラシ【STAC71】(3073203) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スタック・アンド・オプティー/スタック　グランドコード付除電ブラシ【STAC71】(3073203) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策ブラシ。『カード対応OK！』■〒スタック・アンド・オプティー/スタック　グランドコード付除電ブラシ【STAC71】(3073203) 受注単位：1[rn]
20-31653,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002811893.jpg?fitin=700:700,648.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スタック・アンド・オプティー/スタック　プリント基板用仕上げブラシ（馬【STACPC15】(2915383) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●馬毛ブラシに帯電防止加工をしてあります。<br>●この表面抵抗値は馬毛のため、使用頻度により効果が薄れます。",『カード対応OK！』■〒スタック・アンド・オプティー/スタック　プリント基板用仕上げブラシ（馬【STACPC15】(2915383) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スタック・アンド・オプティー/スタック　プリント基板用仕上げブラシ（馬【STACPC15】(2915383) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策ブラシ。『カード対応OK！』■〒スタック・アンド・オプティー/スタック　プリント基板用仕上げブラシ（馬【STACPC15】(2915383) 受注単位：1[rn]
20-31654,,16200.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒バイリーンクリエイト/バイリーン　デンキトールバーテープ【DT006】(4216369) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●コロナ放電で、静電気を除去します。<br>●テープ上部に、粘着加工およびボルトで固定可能な穴加工があります。",『カード対応OK！』■〒バイリーンクリエイト/バイリーン　デンキトールバーテープ【DT006】(4216369) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒バイリーンクリエイト/バイリーン　デンキトールバーテープ【DT006】(4216369) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策ブラシ。『カード対応OK！』■〒バイリーンクリエイト/バイリーン　デンキトールバーテープ【DT006】(4216369) 受注単位：1[rn]
20-31655,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002811892.jpg?fitin=700:700,2160.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スタック・アンド・オプティー/スタック　静電気除去コンパクトブラシミ【STAC70】(2915405) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●自己放電力を有する40デニールの極細繊維になっているので傷をつけず除電とホコリ除去ができます。",『カード対応OK！』■〒スタック・アンド・オプティー/スタック　静電気除去コンパクトブラシミ【STAC70】(2915405) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スタック・アンド・オプティー/スタック　静電気除去コンパクトブラシミ【STAC70】(2915405) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策ブラシ。『カード対応OK！』■〒スタック・アンド・オプティー/スタック　静電気除去コンパクトブラシミ【STAC70】(2915405) 受注単位：1[rn]
20-31656,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002811890.jpg?fitin=700:700,2764.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スタック・アンド・オプティー/スタック　除電ブラシ天秤払い型【STAC14】(2915456) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●自己放電力を有する40デニールの極細繊維になっているので、傷をつけず除電とホコリ除去ができます。",『カード対応OK！』■〒スタック・アンド・オプティー/スタック　除電ブラシ天秤払い型【STAC14】(2915456) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スタック・アンド・オプティー/スタック　除電ブラシ天秤払い型【STAC14】(2915456) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策ブラシ。『カード対応OK！』■〒スタック・アンド・オプティー/スタック　除電ブラシ天秤払い型【STAC14】(2915456) 受注単位：1[rn]
20-31657,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002939409.jpg?fitin=700:700,3628.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スタック・アンド・オプティー/スタック　除電ブラシ天秤払い型／アルミシ【STAC14S】(2915464) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●自己放電力を有する40デニールの極細繊維になっているので、傷をつけず除電とホコリ除去ができます。<br>●シャフトがアルミ製ですのでアース機能があります。",『カード対応OK！』■〒スタック・アンド・オプティー/スタック　除電ブラシ天秤払い型／アルミシ【STAC14S】(2915464) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スタック・アンド・オプティー/スタック　除電ブラシ天秤払い型／アルミシ【STAC14S】(2915464) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策ブラシ。『カード対応OK！』■〒スタック・アンド・オプティー/スタック　除電ブラシ天秤払い型／アルミシ【STAC14S】(2915464) 受注単位：1[rn]
20-31658,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002939413.jpg?fitin=700:700,864.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スタック・アンド・オプティー/スタック　除電ブラシ天秤払い型／アルミシ【STAC99】(2915472) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●自己放電力を有する40デニールの極細繊維になっているので、傷をつけず除電とホコリ除去ができます。<br>●シャフトがアルミ製ですのでアース機能があります。",『カード対応OK！』■〒スタック・アンド・オプティー/スタック　除電ブラシ天秤払い型／アルミシ【STAC99】(2915472) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スタック・アンド・オプティー/スタック　除電ブラシ天秤払い型／アルミシ【STAC99】(2915472) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策ブラシ。『カード対応OK！』■〒スタック・アンド・オプティー/スタック　除電ブラシ天秤払い型／アルミシ【STAC99】(2915472) 受注単位：1[rn]
20-31659,,980.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　除電ブラシハード　Ｊ－１【TJB-HJ1】(2874121) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ナイロンをベースに、優れた導電性を持つカーボンブラック微粒子をコーティングした導電性繊維を用いたブラシです。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　除電ブラシハード　Ｊ&minus;１【TJB-HJ1】(2874121) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　除電ブラシハード　Ｊ&minus;１【TJB-HJ1】(2874121) 受注単位：1,(2874121)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　除電ブラシハード　Ｊ&minus;１【TJB-HJ1】(2874121) 受注単位：1[rn]
20-31660,http://tshop.r10s.jp/clover9608/cabinet/pb3-1/t010003107691.jpg?fitin=700:700,291.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プラスチック製ピンセット　１２０ｍｍ　先丸平型【TPP-234】(3017273) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●非磁性、絶縁性、耐薬品性、剛性に優れています。<br>●先端が強力で細かな作業に向いています。<br>●対象物を傷つけにくく、耐久性に優れています。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プラスチック製ピンセット　１２０ｍｍ　先丸平型【TPP-234】(3017273) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プラスチック製ピンセット　１２０ｍｍ　先丸平型【TPP-234】(3017273) 受注単位：1,(3017273)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プラスチック製ピンセット　１２０ｍｍ　先丸平型【TPP-234】(3017273) 受注単位：1[rn]
20-31661,,2767.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　１１０ｍｍ　先細超極細型【4-SA (4G-110) (110MMﾀｲｻﾝﾀｲｼﾞ)】(2616980) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●耐磁性のあるステンレス鋼を使用し、耐久性に優れます。<br>●フッ化水素・硝酸の酸に耐性があります。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　１１０ｍｍ　先細超極細型【4-SA (4G-110) (110MMﾀｲｻﾝﾀｲｼﾞ)】(2616980) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　１１０ｍｍ　先細超極細型【4-SA (4G-110) (110MMﾀｲｻﾝﾀｲｼﾞ)】(2616980) 受注単位：1,(2616980)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　１１０ｍｍ　先細超極細型【4-SA (4G-110) (110MMﾀｲｻﾝﾀｲｼﾞ)】(2616980) 受注単位：1[rn]
20-31662,,110.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　１２５ｍｍ　曲ギザ付【TSP-22 (125MMｻｷﾏｹﾞ)】(2709007) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●狭い所でも楽に作業でき、挟んだ品物がよく見えるため確実に作業ができます。<br>●先曲タイプ（ギザ付）です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　１２５ｍｍ　曲ギザ付【TSP-22 (125MMｻｷﾏｹﾞ)】(2709007) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　１２５ｍｍ　曲ギザ付【TSP-22 (125MMｻｷﾏｹﾞ)】(2709007) 受注単位：1,(2709007)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　１２５ｍｍ　曲ギザ付【TSP-22 (125MMｻｷﾏｹﾞ)】(2709007) 受注単位：1[rn]
20-31663,,312.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　竹ピンセット　１５０ｍｍ　先細型【TSP-48 (150MM)】(2709163) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●非磁性・絶縁性・耐薬品性に優れています。<br>●保持物を傷つけません。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　竹ピンセット　１５０ｍｍ　先細型【TSP-48 (150MM)】(2709163) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　竹ピンセット　１５０ｍｍ　先細型【TSP-48 (150MM)】(2709163) 受注単位：1,(2709163)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　竹ピンセット　１５０ｍｍ　先細型【TSP-48 (150MM)】(2709163) 受注単位：1[rn]
20-31664,http://tshop.r10s.jp/clover9608/cabinet/yuka-2/img65403523.jpg?fitin=700:700,64.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒兼古製作所/アネックス　【120】ステンレスピンセット　１１５ｍｍ直,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●機械部品、脱脂綿、ガーゼなどその他いろいろつかむことができる一般的なピンセット",『カード対応OK！』■〒兼古製作所/アネックス　【120】ステンレスピンセット　１１５ｍｍ直：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒兼古製作所/アネックス　【120】ステンレスピンセット　１１５ｍｍ直,『カード対応OK！』■〒兼古製作所/アネックス　【120】ステンレスピンセット　１１５ｍｍ直[rn]
20-31665,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002811793.jpg?fitin=700:700,151.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　ピンセット　１２５ｍｍ【PTS-01 (125MM)】(2964091) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●耐食性に優れたステンレス製です。",『カード対応OK！』■〒エンジニア/エンジニア　ピンセット　１２５ｍｍ【PTS-01 (125MM)】(2964091) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒エンジニア/エンジニア　ピンセット　１２５ｍｍ【PTS-01 (125MM)】(2964091) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット。『カード対応OK！』■〒エンジニア/エンジニア　ピンセット　１２５ｍｍ【PTS-01 (125MM)】(2964091) 受注単位：1[rn]
20-31666,,4145.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　１５０ｍｍ　斜型【573-SA (573G-145) (150MMﾀｲｻﾝﾀｲｼﾞ)】(2617340) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●コンデンサーやコイルなどの取り外し、装着に最適な組み立て用ピンセットです。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　１５０ｍｍ　斜型【573-SA (573G-145) (150MMﾀｲｻﾝﾀｲｼﾞ)】(2617340) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　１５０ｍｍ　斜型【573-SA (573G-145) (150MMﾀｲｻﾝﾀｲｼﾞ)】(2617340) 受注単位：1,(2617340)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　耐酸耐磁ピンセット　１５０ｍｍ　斜型【573-SA (573G-145) (150MMﾀｲｻﾝﾀｲｼﾞ)】(2617340) 受注単位：1[rn]
20-31667,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005147137.jpg?fitin=700:700,972.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　専用ピンセットケース【PTK-90】(3688313) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ケース内側が二重構造になっており、ピンセットの先端を保護します。<br>●ケース後部にクリップが付いており、携帯に便利です。<br>●全長125mmまでのピンセットに使用可能です。",『カード対応OK！』■〒エンジニア/エンジニア　専用ピンセットケース【PTK-90】(3688313) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒エンジニア/エンジニア　専用ピンセットケース【PTK-90】(3688313) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット。『カード対応OK！』■〒エンジニア/エンジニア　専用ピンセットケース【PTK-90】(3688313) 受注単位：1[rn]
20-31668,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002817720.jpg?fitin=700:700,1072.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　ＥＳＤピンセット（標準先細タイプ）【PTZ-41】(3027198) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●弾力性・耐摩耗性に優れ、対象物を傷つけにくいPPSチップです。",『カード対応OK！』■〒エンジニア/エンジニア　ＥＳＤピンセット（標準先細タイプ）【PTZ-41】(3027198) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒エンジニア/エンジニア　ＥＳＤピンセット（標準先細タイプ）【PTZ-41】(3027198) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット。『カード対応OK！』■〒エンジニア/エンジニア　ＥＳＤピンセット（標準先細タイプ）【PTZ-41】(3027198) 受注単位：1[rn]
20-31669,,74.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　１１５ｍｍ　直ギザ付【TSP-20 (115MMﾁｮｸ)】(2708981) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●微小なパーツや小物を容易につかむことができます。<br>●直タイプ（ギザ付）です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　１１５ｍｍ　直ギザ付【TSP-20 (115MMﾁｮｸ)】(2708981) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　１１５ｍｍ　直ギザ付【TSP-20 (115MMﾁｮｸ)】(2708981) 受注単位：1,(2708981)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ステンレス製ピンセット　１１５ｍｍ　直ギザ付【TSP-20 (115MMﾁｮｸ)】(2708981) 受注単位：1[rn]
20-31670,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005017418.jpg?fitin=700:700,1791.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　ピン抜き工具【PAS-30】(4073819) 受注単位：1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●セーフティ・スプリング内蔵により、イジェクタ・ピンをスリーブ内に収納し、落下時の衝撃や変形を最小限に抑えます。",『カード対応OK！』■〒エンジニア/エンジニア　ピン抜き工具【PAS-30】(4073819) 受注単位：1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒エンジニア/エンジニア　ピン抜き工具【PAS-30】(4073819) 受注単位：1,生産加工用品\はんだ・静電気対策用品\ピンセット。『カード対応OK！』■〒エンジニア/エンジニア　ピン抜き工具【PAS-30】(4073819) 受注単位：1[rn]
