20-192101,http://tshop.r10s.jp/suncardo/cabinet/iris-1/4905009036264.jpg?fitin=700:700,3127.2000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,ハードケース６００グレーＩＲＩＳ【工具箱 ツールボックス 収納 ケース 整理 入れ物 送料無料05P05Nov16,,"商品の説明
大型電動工具などの高さのある物が収納できます。取っ手付きインナートレーが2段付いています。別売のショルダーベルトが取り付けられます。
製品型番:600
商品重量:2.8 Kg
梱包サイズ:53.6 x 27.8 x 28 cm
サイズ:外寸:536×280×278mm
色:グレー
材質:ポリプロピレン、ABS樹脂
商品の寸法:奥行き × 幅 × 高さ53.6 x 27.8 x 28 cm
色:グレー
外寸(mm)間口×奥行×高さ:536×280×278
有効内寸(mm)間口×奥行×高さ:450×200×215
本体・中皿:ポリプロピレン（PP）
取手・バックル:ABS樹脂<br><br>※こちらの商品は、ご注文日より3日から5日営業日以内に発送予定商品となります。",ハードケース６００グレーＩＲＩＳ【工具箱 ツールボックス 収納 ケース 整理 入れ物 送料無料05P05Nov16：suncardo,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具ハンドツールタイヤ関連商品パーツ収納・ツールボックス関連電装関連エアーツール特殊工具トラック関連・緩衝材オイルエレメントエアーエレメントワイパー補修ケミカル電動工具バランスウェイトパンク修理剤内張りクリップ洗車用品バッテリー用品ライト関連・LEDハードケース６００グレーＩＲＩＳ【工具箱 ツールボックス 収納 ケース 整理 入れ物 送料無料05P05Nov16,ハードケース６００グレーＩＲＩＳ【工具箱 ツールボックス 収納 ケース 整理 入れ物 送料無料05P05Nov16[rn]
20-192185,http://tshop.r10s.jp/rakuten24/cabinet/e4173/e417359h_l.jpg?fitin=700:700,274.4000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,TRUSCO 工具箱用中敷 Y-420専用サイズ Y42-NJ【楽天24】[TRUSCO(トラスコ) 工具箱],,"<p>税抜1880円以上送料無料/TRUSCO 工具箱用中敷 Y-420専用サイズ Y42-NJ<br>楽天24＞DIY・ガーデン＞作業工具・大工道具＞作業工具＞工具箱＞<br>ブランド：TRUSCO(トラスコ)/発売元：トラスコ中山</p>   <br>原産国：日本<br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「TRUSCO 工具箱用中敷 Y-420専用サイズ Y42-NJ」は、工具箱の中敷としてご使用いただけます。内寸にサイズを合わせてカットしています。水を吸いません。耐久性に優れた発泡ポリエチレンシートを使用しています。<br><b>製品仕様</b><br>●発泡ポリエチレン(PEライト(R))<br>●長さ(mm)：185<br>●幅(mm)：415<br>●厚み(mm)：5<br>●適合本体：Y-420<br>●質量(g)：26<br><b>原産国</b><br>日本<br>JANコード：　4989999199697<br><hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL:050-5577-5043<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font>",TRUSCO 工具箱用中敷 Y-420専用サイズ Y42-NJ【楽天24】[TRUSCO(トラスコ) 工具箱]：楽天24,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得楽天24クリスタルガイザーミネラルウォーターリアップリアップx5ダウニーコンドームペリエサーモスコントレックス日焼け止めココナッツオイルえごまこめ油サンペレグリノ扇風機クリスタルガイザー 500ml 48本緑の魔女甘酒TRUSCO 工具箱用中敷 Y-420専用サイズ Y42-NJ【楽天24】[TRUSCO(トラスコ) 工具箱],TRUSCO(トラスコ)/税抜1880円以上送料無料。TRUSCO 工具箱用中敷 Y-420専用サイズ Y42-NJ【楽天24】[TRUSCO(トラスコ) 工具箱][rn]
20-192186,http://tshop.r10s.jp/rakuten24/cabinet/e4173/e417325h_l.jpg?fitin=700:700,12208.8000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,TRUSCO ジャンボ山型ツールボックス ブルー LG-700-A【楽天24】[TRUSCO(トラスコ) 工具箱],,"<p>送料無料/TRUSCO ジャンボ山型ツールボックス ブルー LG-700-A<br>楽天24＞DIY・ガーデン＞作業工具・大工道具＞作業工具＞工具箱＞<br>ブランド：TRUSCO(トラスコ)/発売元：トラスコ中山</p>   <br>原産国：日本<br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「TRUSCO ジャンボ山型ツールボックス ブルー LG-700-A」は、片手で持ち運べる最も大きな工具箱です。中皿のパーツ仕切りは、取り外し移動できます。工具が取り出しやすい両開きタイプです。<br><b>製品仕様</b><br>●本体・中皿：スチール<br>●色：ブルー<br>●外寸(mm)間口×奥行×高さ：720×280×250<br>●有効内寸(mm)間口×奥行×高さ：660×273×130<br>●シリンダ錠(別売)：取付可<br>●質量(kg)：9.0<br><b>原産国</b><br>日本<br>JANコード：　4989999317923<br><hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL:050-5577-5043<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font>",TRUSCO ジャンボ山型ツールボックス ブルー LG-700-A【楽天24】[TRUSCO(トラスコ) 工具箱]：楽天24,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得楽天24クリスタルガイザーミネラルウォーターリアップリアップx5ダウニーコンドームペリエサーモスコントレックス日焼け止めココナッツオイルえごまこめ油サンペレグリノ扇風機クリスタルガイザー 500ml 48本緑の魔女甘酒TRUSCO ジャンボ山型ツールボックス ブルー LG-700-A【楽天24】[TRUSCO(トラスコ) 工具箱],TRUSCO(トラスコ)/送料無料。TRUSCO ジャンボ山型ツールボックス ブルー LG-700-A【楽天24】[TRUSCO(トラスコ) 工具箱][rn]
20-192187,http://tshop.r10s.jp/rakuten24/cabinet/e4173/e417322h_l.jpg?fitin=700:700,3802.4000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,TRUSCO 山型ツールボックス 中皿付 ブルー L-530-B【楽天24】[TRUSCO(トラスコ) 工具箱],,"<p>送料無料/TRUSCO 山型ツールボックス 中皿付 ブルー L-530-B<br>楽天24＞DIY・ガーデン＞作業工具・大工道具＞作業工具＞工具箱＞<br>ブランド：TRUSCO(トラスコ)/発売元：トラスコ中山</p>   <br>原産国：日本<br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「TRUSCO 山型ツールボックス 中皿付 ブルー L-530-B」は、両開きのため、大きい工具が大量に収納でき、取り出しも容易です。中皿のパーツ仕切りは取り外し移動できます。隅および角が丸味のあるRになっています。使う人に優しい設計です。<br><b>製品仕様</b><br>●本体：スチール<br>●中皿：ポリプロピレン(PP)<br>●色：ブルー<br>●外寸(mm)間口×奥行×高さ：533×201×260<br>●有効内寸(mm)間口×奥行×高さ：530×200×66<br>●シリンダ錠(別売)：取付可<br>●質量(kg)：4<br><b>原産国</b><br>日本<br>JANコード：　4989999700695<br><hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL:050-5577-5043<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font>",TRUSCO 山型ツールボックス 中皿付 ブルー L-530-B【楽天24】[TRUSCO(トラスコ) 工具箱]：楽天24,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得楽天24クリスタルガイザーミネラルウォーターリアップリアップx5ダウニーコンドームペリエサーモスコントレックス日焼け止めココナッツオイルえごまこめ油サンペレグリノ扇風機クリスタルガイザー 500ml 48本緑の魔女甘酒TRUSCO 山型ツールボックス 中皿付 ブルー L-530-B【楽天24】[TRUSCO(トラスコ) 工具箱],TRUSCO(トラスコ)/送料無料。TRUSCO 山型ツールボックス 中皿付 ブルー L-530-B【楽天24】[TRUSCO(トラスコ) 工具箱][rn]
20-192188,http://tshop.r10s.jp/rakuten24/cabinet/e4173/e417332h_l.jpg?fitin=700:700,764.8000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,TRUSCO トランク型ツールボックス シルバー T-190SV【楽天24】[TRUSCO(トラスコ) 工具箱]【MEN_D03】,,"<p>税抜1880円以上送料無料/TRUSCO トランク型ツールボックス シルバー T-190SV<br>楽天24＞DIY・ガーデン＞作業工具・大工道具＞作業工具＞工具箱＞<br>ブランド：TRUSCO(トラスコ)/発売元：トラスコ中山</p>   <br>原産国：日本<br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「TRUSCO トランク型ツールボックス シルバー T-190SV」は、ハードな使用に耐える頑丈なプレス一体型です。片開き構造です。四隅に横滑り防止用凹凸が付いており、積み重ねに便利です。中皿はついていません。<br><b>製品仕様</b><br>●本体：スチール<br>●色：シルバー<br>●外寸(mm)間口×奥行×高さ：192×109×56.0<br>●有効内寸(mm)間口×奥行×高さ：191×92×41<br>●シリンダ錠(別売)：不可<br>●横滑り防止溝：あり<br>●質量(kg)：0.4<br>●フック：なし<br><b>原産国</b><br>日本<br>JANコード：　4989999241297<br><hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL:050-5577-5043<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font>",TRUSCO トランク型ツールボックス シルバー T-190SV【楽天24】[TRUSCO(トラスコ) 工具箱]【MEN_D03】：楽天24,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得楽天24クリスタルガイザーミネラルウォーターリアップリアップx5ダウニーコンドームペリエサーモスコントレックス日焼け止めココナッツオイルえごまこめ油サンペレグリノ扇風機クリスタルガイザー 500ml 48本緑の魔女甘酒TRUSCO トランク型ツールボックス シルバー T-190SV【楽天24】[TRUSCO(トラスコ) 工具箱]【MEN_D03】,TRUSCO(トラスコ)/税抜1880円以上送料無料。TRUSCO トランク型ツールボックス シルバー T-190SV【楽天24】[TRUSCO(トラスコ) 工具箱]【MEN_D03】[rn]
20-192189,http://tshop.r10s.jp/rakuten24/cabinet/e4173/e417380h_l.jpg?fitin=700:700,3774.4000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,TRUSCO 2段式バンパーボックス ブラック TP-410-BK【楽天24】[TRUSCO(トラスコ) 工具箱],,"<p>送料無料/TRUSCO 2段式バンパーボックス ブラック TP-410-BK<br>楽天24＞DIY・ガーデン＞作業工具・大工道具＞作業工具＞工具箱＞<br>ブランド：TRUSCO(トラスコ)/発売元：トラスコ中山</p>   <br>原産国：韓国<br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「TRUSCO 2段式バンパーボックス ブラック TP-410-BK」は、PP自動車用バンパーグレード使用のため、軽量かつ高強度です。上部中皿は、スライドの自動開閉タイプです。上部はフルフラットになります。<br><b>用途</b><br>●工具の収納、管理、持ち運びなど。<br><b>製品仕様</b><br>●本体・フタ：PP自動車用バンパーグレード<br>●取手：ABS樹脂<br>●バックル：ポリカーボネート(PC)<br>●色：ブラック<br>●外寸(mm)間口×奥行×高さ：428×246×205<br>●有効内寸(mm)間口×奥行×高さ：395×213×127<br>●シリンダ錠(別売)：取付可<br>●質量(kg)：2.3<br><b>原産国</b><br>韓国<br>JANコード：　4989999115932<br><hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL:050-5577-5043<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font>",TRUSCO 2段式バンパーボックス ブラック TP-410-BK【楽天24】[TRUSCO(トラスコ) 工具箱]：楽天24,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得楽天24クリスタルガイザーミネラルウォーターリアップリアップx5ダウニーコンドームペリエサーモスコントレックス日焼け止めココナッツオイルえごまこめ油サンペレグリノ扇風機クリスタルガイザー 500ml 48本緑の魔女甘酒TRUSCO 2段式バンパーボックス ブラック TP-410-BK【楽天24】[TRUSCO(トラスコ) 工具箱],TRUSCO(トラスコ)/送料無料。TRUSCO 2段式バンパーボックス ブラック TP-410-BK【楽天24】[TRUSCO(トラスコ) 工具箱][rn]
20-192190,http://tshop.r10s.jp/rakuten24/cabinet/e4173/e417352h_l.jpg?fitin=700:700,295.2000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,TRUSCO 工具箱用中敷 T-410専用サイズ T41-NJ【楽天24】[TRUSCO(トラスコ) 工具箱],,"<p>税抜1880円以上送料無料/TRUSCO 工具箱用中敷 T-410専用サイズ T41-NJ<br>楽天24＞DIY・ガーデン＞作業工具・大工道具＞作業工具＞工具箱＞<br>ブランド：TRUSCO(トラスコ)/発売元：トラスコ中山</p>   <br>原産国：日本<br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「TRUSCO 工具箱用中敷 T-410専用サイズ T41-NJ」は、工具箱の中敷としてご使用いただけます。内寸にサイズを合わせてカットしています。水を吸いません。耐久性に優れた発泡ポリエチレンシートを使用しています。<br><b>製品仕様</b><br>●発泡ポリエチレン(PEライト(R))<br>●長さ(mm)：207<br>●幅(mm)：417<br>●厚み(mm)：5<br>●適合本体：T-410<br>●質量(g)：29<br><b>原産国</b><br>日本<br>JANコード：　4989999199628<br><hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL:050-5577-5043<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font>",TRUSCO 工具箱用中敷 T-410専用サイズ T41-NJ【楽天24】[TRUSCO(トラスコ) 工具箱]：楽天24,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得楽天24クリスタルガイザーミネラルウォーターリアップリアップx5ダウニーコンドームペリエサーモスコントレックス日焼け止めココナッツオイルえごまこめ油サンペレグリノ扇風機クリスタルガイザー 500ml 48本緑の魔女甘酒TRUSCO 工具箱用中敷 T-410専用サイズ T41-NJ【楽天24】[TRUSCO(トラスコ) 工具箱],TRUSCO(トラスコ)/税抜1880円以上送料無料。TRUSCO 工具箱用中敷 T-410専用サイズ T41-NJ【楽天24】[TRUSCO(トラスコ) 工具箱][rn]
20-192191,http://tshop.r10s.jp/rakuten24/cabinet/e4174/e417400h_l.jpg?fitin=700:700,5432.0000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,TRUSCO 2段式メンテナンスBOX オレンジ GS-410O【楽天24】[TRUSCO(トラスコ) 工具箱],,"<p>送料無料/TRUSCO 2段式メンテナンスBOX オレンジ GS-410O<br>楽天24＞DIY・ガーデン＞作業工具・大工道具＞作業工具＞工具箱＞<br>ブランド：TRUSCO(トラスコ)/発売元：トラスコ中山</p>   <br>原産国：日本<br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「TRUSCO 2段式メンテナンスBOX オレンジ GS-410O」は、上皿に部品、本体に工具が収納できるスライド自動開閉タイプです。雨に強く水の入りにくい設計です。金属部はステンレス(SUS304)を使用、サビに強いです。<br><b>製品仕様</b><br>●本体・フタ：ABS樹脂<br>●取手：ポリカーボネート樹脂(PC)<br>●色：オレンジ<br>●外寸(mm)間口×奥行×高さ：440×232×230<br>●有効内寸(mm)間口×奥行×高さ：375×200×92<br>●質量(kg)：2.8<br><b>原産国</b><br>日本<br>JANコード：　4989999701036<br><hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL:050-5577-5043<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font>",TRUSCO 2段式メンテナンスBOX オレンジ GS-410O【楽天24】[TRUSCO(トラスコ) 工具箱]：楽天24,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得楽天24クリスタルガイザーミネラルウォーターリアップリアップx5ダウニーコンドームペリエサーモスコントレックス日焼け止めココナッツオイルえごまこめ油サンペレグリノ扇風機クリスタルガイザー 500ml 48本緑の魔女甘酒TRUSCO 2段式メンテナンスBOX オレンジ GS-410O【楽天24】[TRUSCO(トラスコ) 工具箱],TRUSCO(トラスコ)/送料無料。TRUSCO 2段式メンテナンスBOX オレンジ GS-410O【楽天24】[TRUSCO(トラスコ) 工具箱][rn]
20-192192,http://tshop.r10s.jp/rakuten24/cabinet/e4173/e417313h_l.jpg?fitin=700:700,1390.4000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,TRUSCO 山型ツールボックス ブルー Y-410-B【楽天24】[TRUSCO(トラスコ) 工具箱],,"<p>税抜1880円以上送料無料/TRUSCO 山型ツールボックス ブルー Y-410-B<br>楽天24＞DIY・ガーデン＞作業工具・大工道具＞作業工具＞工具箱＞<br>ブランド：TRUSCO(トラスコ)/発売元：トラスコ中山</p>   <br>原産国：日本<br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「TRUSCO 山型ツールボックス ブルー Y-410-B」は、ハードな使用に耐える頑丈なプレス一体型です。内部で工具が盛り上ってもフタが凸状になっているのでらくらくフタが閉まる便利な設計です。中皿は、ついていません。<br><b>製品仕様</b><br>●本体：スチール<br>●色：ブルー<br>●外寸(mm)間口×奥行×高さ：420×155×173.5<br>●有効内寸(mm)間口×奥行×高さ：419×153×79<br>●シリンダ錠(別売)：取付可<br>●質量(kg)：1.5<br><b>原産国</b><br>日本<br>JANコード：　4989999700497<br><hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL:050-5577-5043<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font>",TRUSCO 山型ツールボックス ブルー Y-410-B【楽天24】[TRUSCO(トラスコ) 工具箱]：楽天24,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得楽天24クリスタルガイザーミネラルウォーターリアップリアップx5ダウニーコンドームペリエサーモスコントレックス日焼け止めココナッツオイルえごまこめ油サンペレグリノ扇風機クリスタルガイザー 500ml 48本緑の魔女甘酒TRUSCO 山型ツールボックス ブルー Y-410-B【楽天24】[TRUSCO(トラスコ) 工具箱],TRUSCO(トラスコ)/税抜1880円以上送料無料。TRUSCO 山型ツールボックス ブルー Y-410-B【楽天24】[TRUSCO(トラスコ) 工具箱][rn]
20-192193,http://tshop.r10s.jp/rakuten24/cabinet/e4173/e417328h_l.jpg?fitin=700:700,1475.2000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,TRUSCO 山型ツールボックス シルバー TY-410SV【楽天24】[TRUSCO(トラスコ) 工具箱],,"<p>税抜1880円以上送料無料/TRUSCO 山型ツールボックス シルバー TY-410SV<br>楽天24＞DIY・ガーデン＞作業工具・大工道具＞作業工具＞工具箱＞<br>ブランド：TRUSCO(トラスコ)/発売元：トラスコ中山</p>   <br>原産国：日本<br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「TRUSCO 山型ツールボックス シルバー TY-410SV」は、ハードな使用に耐える頑丈なプレス一体型です。R形状のコーナー部と取手収納を一体化した新デザインです。中皿は、ついていません。<br><b>製品仕様</b><br>●本体：スチール<br>●色：シルバー<br>●外寸(mm)間口×奥行×高さ：420×175×133<br>●有効内寸(mm)間口×奥行×高さ：380×142×87<br>●シリンダ錠(別売)：取付可<br>●質量(kg)：1.2<br><b>原産国</b><br>日本<br>JANコード：　4989999013900<br><hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL:050-5577-5043<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font>",TRUSCO 山型ツールボックス シルバー TY-410SV【楽天24】[TRUSCO(トラスコ) 工具箱]：楽天24,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得楽天24クリスタルガイザーミネラルウォーターリアップリアップx5ダウニーコンドームペリエサーモスコントレックス日焼け止めココナッツオイルえごまこめ油サンペレグリノ扇風機クリスタルガイザー 500ml 48本緑の魔女甘酒TRUSCO 山型ツールボックス シルバー TY-410SV【楽天24】[TRUSCO(トラスコ) 工具箱],TRUSCO(トラスコ)/税抜1880円以上送料無料。TRUSCO 山型ツールボックス シルバー TY-410SV【楽天24】[TRUSCO(トラスコ) 工具箱][rn]
20-192194,http://tshop.r10s.jp/rakuten24/cabinet/e4173/e417346h_l.jpg?fitin=700:700,151.2000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,TRUSCO 工具箱用中敷 T-190専用サイズ T19-NJ【楽天24】[TRUSCO(トラスコ) 工具箱],,"<p>税抜1880円以上送料無料/TRUSCO 工具箱用中敷 T-190専用サイズ T19-NJ<br>楽天24＞DIY・ガーデン＞作業工具・大工道具＞作業工具＞工具箱＞<br>ブランド：TRUSCO(トラスコ)/発売元：トラスコ中山</p>   <br>原産国：日本<br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「TRUSCO 工具箱用中敷 T-190専用サイズ T19-NJ」は、工具箱の中敷としてご使用いただけます。内寸にサイズを合わせてカットしています。水を吸いません。耐久性に優れた発泡ポリエチレンシートを使用しています。<br><b>製品仕様</b><br>●発泡ポリエチレン(PEライト(R))<br>●長さ(mm)：92<br>●幅(mm)：191<br>●厚み(mm)：5<br>●適合本体：T-190<br>●質量(g)：7<br><b>原産国</b><br>日本<br>JANコード：　4989999199581<br><hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL:050-5577-5043<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font>",TRUSCO 工具箱用中敷 T-190専用サイズ T19-NJ【楽天24】[TRUSCO(トラスコ) 工具箱]：楽天24,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得楽天24クリスタルガイザーミネラルウォーターリアップリアップx5ダウニーコンドームペリエサーモスコントレックス日焼け止めココナッツオイルえごまこめ油サンペレグリノ扇風機クリスタルガイザー 500ml 48本緑の魔女甘酒TRUSCO 工具箱用中敷 T-190専用サイズ T19-NJ【楽天24】[TRUSCO(トラスコ) 工具箱],TRUSCO(トラスコ)/税抜1880円以上送料無料。TRUSCO 工具箱用中敷 T-190専用サイズ T19-NJ【楽天24】[TRUSCO(トラスコ) 工具箱][rn]
20-192195,http://tshop.r10s.jp/rakuten24/cabinet/e4174/e417475h_l.jpg?fitin=700:700,11488.0000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,TRUSCO 万能アルミ保管箱 オリーブドラブ TAC-610OD【楽天24】[TRUSCO(トラスコ) 工具箱],,"<p>送料無料/TRUSCO 万能アルミ保管箱 オリーブドラブ TAC-610OD<br>楽天24＞DIY・ガーデン＞作業工具・大工道具＞作業工具＞工具箱＞<br>ブランド：TRUSCO(トラスコ)/発売元：トラスコ中山</p>   <br>原産国：中国<br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「TRUSCO 万能アルミ保管箱 オリーブドラブ TAC-610OD」は、軽量かつ頑丈、搬送用、多目的に収納できます。内装がウレタン製スポンジなので、ケースの内側は傷が付きにくく、収納物を衝撃から保護します。<br><b>製品仕様</b><br>●本体：アルミ合金<br>●芯材：合板<br>●ハンドル：スチール<br>●外寸(mm)間口×奥行×高さ：610×457×508<br>●有効内寸(mm)間口×奥行×高さ：590×437×488<br>●質量(kg)：8<br>●容量：120L<br><b>原産国</b><br>中国<br>JANコード：　4989999211276<br><hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL:050-5577-5043<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font>",TRUSCO 万能アルミ保管箱 オリーブドラブ TAC-610OD【楽天24】[TRUSCO(トラスコ) 工具箱]：楽天24,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得楽天24クリスタルガイザーミネラルウォーターリアップリアップx5ダウニーコンドームペリエサーモスコントレックス日焼け止めココナッツオイルえごまこめ油サンペレグリノ扇風機クリスタルガイザー 500ml 48本緑の魔女甘酒TRUSCO 万能アルミ保管箱 オリーブドラブ TAC-610OD【楽天24】[TRUSCO(トラスコ) 工具箱],TRUSCO(トラスコ)/送料無料。TRUSCO 万能アルミ保管箱 オリーブドラブ TAC-610OD【楽天24】[TRUSCO(トラスコ) 工具箱][rn]
