20-35201,http://tshop.r10s.jp/office-japan/cabinet/ecole-images-41/e-02377413.jpg?fitin=700:700,1852.0000,,日用品雑貨・文房具・手芸 > 文房具・事務用品 > その他,ライオン事務器 アイスクリップケース IC-30-SD ソーダ （5セット）,,【カラーゼムクリップ】6色込・袋入り:30本付属<br>【本体寸法】φ52×H104mm<br>【スタンド寸法】W36×D37×H41mm<br>【クリップ寸法】28×7.5mm,ライオン事務器 アイスクリップケース IC-30-SD ソーダ （5セット）：オフィスジャパン,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得万年筆筆記具ファイル事務用品学童製本梱包接着机上整理収納名札OA・PC事務機器コピー用紙印章掲示用品店舗用品家具インクふせん紙製品ライオン事務器 アイスクリップケース IC-30-SD ソーダ （5セット）,4903331259214。ライオン事務器 アイスクリップケース IC-30-SD ソーダ （5セット）[rn]
20-35255,http://tshop.r10s.jp/office-japan/cabinet/kokuyo2016-2/e-00913634.jpg?fitin=700:700,652.8000,,日用品雑貨・文房具・手芸 > 文房具・事務用品 > その他,【在庫処分品/現品限り】KOKUYO（コクヨ）写真用紙光沢 ＫＪ－Ｇ２３Ａ４－３０,,【用紙寸法】297×210mm<br>【サイズ】A4【枚数】30枚<br>【紙厚(坪量・厚み)】205g/m2・0.25mm,【在庫処分品/現品限り】KOKUYO（コクヨ）写真用紙光沢 ＫＪ&minus;Ｇ２３Ａ４&minus;３０：オフィスジャパン,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得万年筆筆記具ファイル事務用品学童製本梱包接着机上整理収納名札OA・PC事務機器コピー用紙印章掲示用品店舗用品家具インクふせん紙製品【在庫処分品/現品限り】KOKUYO（コクヨ）写真用紙光沢 ＫＪ&minus;Ｇ２３Ａ４&minus;３０,4.90148E+12。【在庫処分品/現品限り】KOKUYO（コクヨ）写真用紙光沢 ＫＪ&minus;Ｇ２３Ａ４&minus;３０[rn]
20-35256,http://tshop.r10s.jp/office-japan/cabinet/kokuyo2016-1/e-00908113.jpg?fitin=700:700,282.4000,,日用品雑貨・文房具・手芸 > 文房具・事務用品 > その他,【在庫処分品/現品限り】KOKUYO（コクヨ）ＤリングファイルＡ３ フ－ＦＤ４３３Ｂ,,サイズ：A3-E 収容寸法：30 適正収容枚数：300枚 外寸法（高さ・幅・背幅）：307・461・45     ●表紙／R-PP50% ●穴数／2穴●とじ穴間隔／80mmピッチ●紙押さえ具付き●替背紙式※この製品は『リベットはずし機』(フ-RVT1)で表紙ととじ具を分別することができます,【在庫処分品/現品限り】KOKUYO（コクヨ）ＤリングファイルＡ３ フ&minus;ＦＤ４３３Ｂ：オフィスジャパン,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得万年筆筆記具ファイル事務用品学童製本梱包接着机上整理収納名札OA・PC事務機器コピー用紙印章掲示用品店舗用品家具インクふせん紙製品【在庫処分品/現品限り】KOKUYO（コクヨ）ＤリングファイルＡ３ フ&minus;ＦＤ４３３Ｂ,4.90148E+12。【在庫処分品/現品限り】KOKUYO（コクヨ）ＤリングファイルＡ３ フ&minus;ＦＤ４３３Ｂ[rn]
20-35257,http://tshop.r10s.jp/office-japan/cabinet/egai-images-19/egai-06232175.jpg?fitin=700:700,217.6000,,日用品雑貨・文房具・手芸 > 文房具・事務用品 > その他,ニチバン 製本テープ 25mm×10m巻 BK-2516 空,,<br>特徴：<br>仕様書や文書などの簡易製本、本やノートの補強、補修に便利です。耐磨耗性に富み、耐折性にも優れていますので色が落ちたりしません。<br><br>商品仕様：<br>◆サイズ：２５ｍｍ×１０ｍ<br><br>◆材質：基材：古紙パルプ配合率５０％再生紙、粘着剤：アクリル系、はく離紙：ノンポリラミ紙<br>◆本体サイズ：８４×８４×２８ｍｍ<br>◆本体重量：７０ｇ,ニチバン 製本テープ 25mm&times;10m巻 BK-2516 空：オフィスジャパン,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得万年筆筆記具ファイル事務用品学童製本梱包接着机上整理収納名札OA・PC事務機器コピー用紙印章掲示用品店舗用品家具インクふせん紙製品ニチバン 製本テープ 25mm&times;10m巻 BK-2516 空,4987167013141。ニチバン 製本テープ 25mm&times;10m巻 BK-2516 空[rn]
20-35258,http://tshop.r10s.jp/office-japan/cabinet/egai-images-19/egai-06232184.jpg?fitin=700:700,217.6000,,日用品雑貨・文房具・手芸 > 文房具・事務用品 > その他,ニチバン 製本テープ 25mm×10m巻 BK-2510 銀,,<br>特徴：<br>仕様書や文書などの簡易製本、本やノートの補強、補修に便利です。耐磨耗性に富み、耐折性にも優れていますので色が落ちたりしません。<br><br>商品仕様：<br>◆サイズ：２５ｍｍ×１０ｍ<br><br>◆材質：基材：古紙パルプ配合率５０％再生紙、粘着剤：アクリル系、はく離紙：ノンポリラミ紙<br>◆本体サイズ：８４×８４×２８ｍｍ<br>◆本体重量：７０ｇ,ニチバン 製本テープ 25mm&times;10m巻 BK-2510 銀：オフィスジャパン,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得万年筆筆記具ファイル事務用品学童製本梱包接着机上整理収納名札OA・PC事務機器コピー用紙印章掲示用品店舗用品家具インクふせん紙製品ニチバン 製本テープ 25mm&times;10m巻 BK-2510 銀,4987167013134。ニチバン 製本テープ 25mm&times;10m巻 BK-2510 銀[rn]
20-35259,http://tshop.r10s.jp/office-japan/cabinet/20160204-1/e-00911539-k.jpg?fitin=700:700,79.2000,,日用品雑貨・文房具・手芸 > 文房具・事務用品 > その他,【在庫処分品/現品限り】KOKUYO（コクヨ）クリヤーブック替紙Ａ４Ｓ ラ－Ｊ８８０－２,,サイズ：A4-S 穴数：2・4・30穴対応       ●ポケット／R-PP40% ●20枚入り●外寸法／タテ302×ヨコ231●ポケット内寸法／タテ299×ヨコ216,【在庫処分品/現品限り】KOKUYO（コクヨ）クリヤーブック替紙Ａ４Ｓ ラ&minus;Ｊ８８０&minus;２：オフィスジャパン,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得万年筆筆記具ファイル事務用品学童製本梱包接着机上整理収納名札OA・PC事務機器コピー用紙印章掲示用品店舗用品家具インクふせん紙製品【在庫処分品/現品限り】KOKUYO（コクヨ）クリヤーブック替紙Ａ４Ｓ ラ&minus;Ｊ８８０&minus;２,4.90148E+12。【在庫処分品/現品限り】KOKUYO（コクヨ）クリヤーブック替紙Ａ４Ｓ ラ&minus;Ｊ８８０&minus;２[rn]
20-35260,http://tshop.r10s.jp/office-japan/cabinet/egai-images-19/egai-06232175.jpg?fitin=700:700,2128.0000,,日用品雑貨・文房具・手芸 > 文房具・事務用品 > その他,ニチバン 製本テープ 25mm×10m巻 BK-2516 空（10セット）,,<br>特徴：<br>仕様書や文書などの簡易製本、本やノートの補強、補修に便利です。耐磨耗性に富み、耐折性にも優れていますので色が落ちたりしません。<br><br>商品仕様：<br>◆サイズ：２５ｍｍ×１０ｍ<br><br>◆材質：基材：古紙パルプ配合率５０％再生紙、粘着剤：アクリル系、はく離紙：ノンポリラミ紙<br>◆本体サイズ：８４×８４×２８ｍｍ<br>◆本体重量：７０ｇ,ニチバン 製本テープ 25mm&times;10m巻 BK-2516 空（10セット）：オフィスジャパン,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得万年筆筆記具ファイル事務用品学童製本梱包接着机上整理収納名札OA・PC事務機器コピー用紙印章掲示用品店舗用品家具インクふせん紙製品ニチバン 製本テープ 25mm&times;10m巻 BK-2516 空（10セット）,4987167013141。ニチバン 製本テープ 25mm&times;10m巻 BK-2516 空（10セット）[rn]
20-35261,http://tshop.r10s.jp/office-japan/cabinet/20160204-3/e-00932343-k.jpg?fitin=700:700,84.0000,,日用品雑貨・文房具・手芸 > 文房具・事務用品 > その他,【在庫処分品/現品限り】KOKUYO（コクヨ）フィットカーブＢＰトウメイピンク ＰＲ－３００ＴＰ,,仕様：細字（0.7mm） インク色：黒 ●材質／軸：R-PMMA100%、グリップ：再生エラストマー100% ●外寸法／軸径φ12×長さ145●機構／ノック式,【在庫処分品/現品限り】KOKUYO（コクヨ）フィットカーブＢＰトウメイピンク ＰＲ&minus;３００ＴＰ：オフィスジャパン,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得万年筆筆記具ファイル事務用品学童製本梱包接着机上整理収納名札OA・PC事務機器コピー用紙印章掲示用品店舗用品家具インクふせん紙製品【在庫処分品/現品限り】KOKUYO（コクヨ）フィットカーブＢＰトウメイピンク ＰＲ&minus;３００ＴＰ,4.90148E+12。【在庫処分品/現品限り】KOKUYO（コクヨ）フィットカーブＢＰトウメイピンク ＰＲ&minus;３００ＴＰ[rn]
20-35262,http://tshop.r10s.jp/office-japan/cabinet/kokuyo2016-5/e-00937779.jpg?fitin=700:700,164.8000,,日用品雑貨・文房具・手芸 > 文房具・事務用品 > その他,【在庫処分品/現品限り】KOKUYO（コクヨ）ＣＤポケット６３０ケツ ＥＤＢ－Ａ３７５,,【寸法】230×4×300mm<br>【材質】PP,【在庫処分品/現品限り】KOKUYO（コクヨ）ＣＤポケット６３０ケツ ＥＤＢ&minus;Ａ３７５：オフィスジャパン,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得万年筆筆記具ファイル事務用品学童製本梱包接着机上整理収納名札OA・PC事務機器コピー用紙印章掲示用品店舗用品家具インクふせん紙製品【在庫処分品/現品限り】KOKUYO（コクヨ）ＣＤポケット６３０ケツ ＥＤＢ&minus;Ａ３７５,4.90148E+12。【在庫処分品/現品限り】KOKUYO（コクヨ）ＣＤポケット６３０ケツ ＥＤＢ&minus;Ａ３７５[rn]
20-35263,http://tshop.r10s.jp/office-japan/cabinet/ecole-images-24/e-06232184.jpg?fitin=700:700,1076.0000,,日用品雑貨・文房具・手芸 > 文房具・事務用品 > その他,ニチバン 製本テープ 25mm×10m巻 BK-2510 銀（5セット）,,<br>特徴：<br>仕様書や文書などの簡易製本、本やノートの補強、補修に便利です。耐磨耗性に富み、耐折性にも優れていますので色が落ちたりしません。<br><br>商品仕様：<br>◆サイズ：２５ｍｍ×１０ｍ<br><br>◆材質：基材：古紙パルプ配合率５０％再生紙、粘着剤：アクリル系、はく離紙：ノンポリラミ紙<br>◆本体サイズ：８４×８４×２８ｍｍ<br>◆本体重量：７０ｇ,ニチバン 製本テープ 25mm&times;10m巻 BK-2510 銀（5セット）：オフィスジャパン,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得万年筆筆記具ファイル事務用品学童製本梱包接着机上整理収納名札OA・PC事務機器コピー用紙印章掲示用品店舗用品家具インクふせん紙製品ニチバン 製本テープ 25mm&times;10m巻 BK-2510 銀（5セット）,4987167013134。ニチバン 製本テープ 25mm&times;10m巻 BK-2510 銀（5セット）[rn]
20-35264,http://tshop.r10s.jp/office-japan/cabinet/ecole-images-35/e-00917423.jpg?fitin=700:700,276.0000,,日用品雑貨・文房具・手芸 > 文房具・事務用品 > その他,【在庫処分品/現品限り】KOKUYO（コクヨ）フォトファイル４切 ア－Ｍ３２５,,●四ツ切サイズ●台紙寸法／タテ310×ヨコ285●両面クリヤーポケット台紙（35mm）10枚●コンタクト台紙（35mm）10枚●収容カット数（表のみ）／42コマ●ポケット内寸法／タテ39×ヨコ234,【在庫処分品/現品限り】KOKUYO（コクヨ）フォトファイル４切 ア&minus;Ｍ３２５：オフィスジャパン,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得万年筆筆記具ファイル事務用品学童製本梱包接着机上整理収納名札OA・PC事務機器コピー用紙印章掲示用品店舗用品家具インクふせん紙製品【在庫処分品/現品限り】KOKUYO（コクヨ）フォトファイル４切 ア&minus;Ｍ３２５,4.90148E+12。【在庫処分品/現品限り】KOKUYO（コクヨ）フォトファイル４切 ア&minus;Ｍ３２５[rn]
20-35265,http://tshop.r10s.jp/office-japan/cabinet/kokuyo2016-5/e-00934571.jpg?fitin=700:700,714.4000,,日用品雑貨・文房具・手芸 > 文房具・事務用品 > その他,KOKUYO（コクヨ）製本カバー セキ－Ｓ２００Ｗ,,サイズ：A4 タテ・ヨコ：298・211 仕様：色上質紙 枚数：20枚 ●製本テープ用の表紙としても、ご使用いただけます。,KOKUYO（コクヨ）製本カバー セキ&minus;Ｓ２００Ｗ：オフィスジャパン,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得万年筆筆記具ファイル事務用品学童製本梱包接着机上整理収納名札OA・PC事務機器コピー用紙印章掲示用品店舗用品家具インクふせん紙製品KOKUYO（コクヨ）製本カバー セキ&minus;Ｓ２００Ｗ,4901480175782。KOKUYO（コクヨ）製本カバー セキ&minus;Ｓ２００Ｗ[rn]
20-35266,http://tshop.r10s.jp/office-japan/cabinet/ecole-images-24/e-06232010.jpg?fitin=700:700,4136.0000,,日用品雑貨・文房具・手芸 > 文房具・事務用品 > その他,ニチバン 製本テープ 50mm×10m巻 BK-506 黒（10セット）,,<br>特徴：<br>仕様書や文書などの簡易製本、本やノートの補強、補修に便利です。耐磨耗性に富み、耐折性にも優れていますので色が落ちたりしません。<br><br>商品仕様：<br>◆サイズ：５０ｍｍ×１０ｍ<br><br>◆材質：基材：古紙パルプ配合率５０％再生紙、粘着剤：アクリル系、はく離紙：ノンポリラミ紙<br>◆本体サイズ：８４×８４×５３ｍｍ<br>◆本体重量：１４５ｇ,ニチバン 製本テープ 50mm&times;10m巻 BK-506 黒（10セット）：オフィスジャパン,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得万年筆筆記具ファイル事務用品学童製本梱包接着机上整理収納名札OA・PC事務機器コピー用紙印章掲示用品店舗用品家具インクふせん紙製品ニチバン 製本テープ 50mm&times;10m巻 BK-506 黒（10セット）,4987167002237。ニチバン 製本テープ 50mm&times;10m巻 BK-506 黒（10セット）[rn]
20-35267,http://tshop.r10s.jp/office-japan/cabinet/egai-images-19/egai-06232043.jpg?fitin=700:700,403.2000,,日用品雑貨・文房具・手芸 > 文房具・事務用品 > その他,ニチバン 製本テープ 35mm×10m巻 BK-3534 契約書割印用白,,<br>特徴：<br>朱肉がのりやすい再生紙を使用しています。<br><br>商品仕様：<br>◆サイズ：３５ｍｍ×１０ｍ<br><br>◆材質：基材：古紙パルプ配合率７０％再生紙（白色度６７％）、粘着剤：離解性粘着剤（アクリル系）、はく離紙：ノンポリラミ紙<br>◆本体サイズ：８４×８４×３８ｍｍ<br>◆本体重量：１００ｇ,ニチバン 製本テープ 35mm&times;10m巻 BK-3534 契約書割印用白：オフィスジャパン,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得万年筆筆記具ファイル事務用品学童製本梱包接着机上整理収納名札OA・PC事務機器コピー用紙印章掲示用品店舗用品家具インクふせん紙製品ニチバン 製本テープ 35mm&times;10m巻 BK-3534 契約書割印用白,4987167013011。ニチバン 製本テープ 35mm&times;10m巻 BK-3534 契約書割印用白[rn]
20-35268,http://tshop.r10s.jp/office-japan/cabinet/ecole-images-25/e-06610978.jpg?fitin=700:700,1320.0000,,日用品雑貨・文房具・手芸 > 文房具・事務用品 > その他,ヒサゴ お預り証（製本タイプ） BS1501（5セット）,,<br>特徴：<br>手書き伝票製本タイプ。環境に配慮し、再生紙を使用、価格もお値打ちに。<br><br>商品仕様：<br>◆ミシン切り離し後のサイズ：Ａ６（１０５×１４４ｍｍ）◆１枚目：お預り証（控）・紙色：白◆２枚目：お預り証・紙色：黄色◆３枚目：お預り証・紙色：白◆３枚目には厚紙を使用。◆刷り色：茶◆ファイル穴：２穴◆古紙パルプ配合率１００％<br>,ヒサゴ お預り証（製本タイプ） BS1501（5セット）：オフィスジャパン,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得万年筆筆記具ファイル事務用品学童製本梱包接着机上整理収納名札OA・PC事務機器コピー用紙印章掲示用品店舗用品家具インクふせん紙製品ヒサゴ お預り証（製本タイプ） BS1501（5セット）,4902668550445。ヒサゴ お預り証（製本タイプ） BS1501（5セット）[rn]
20-35269,http://tshop.r10s.jp/office-japan/cabinet/kokuyo2016-2/e-00912483.jpg?fitin=700:700,4548.0000,,日用品雑貨・文房具・手芸 > 文房具・事務用品 > その他,KOKUYO（コクヨ）製本テープペーパークロス Ｔ－Ｋ４００Ｄ,,種類：ペーパークロスタイプ テープ幅：100mm 材質：基材／紙に樹脂コーティング 粘着剤／アクリル系       ●テープ長さ／50m,KOKUYO（コクヨ）製本テープペーパークロス Ｔ&minus;Ｋ４００Ｄ：オフィスジャパン,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得万年筆筆記具ファイル事務用品学童製本梱包接着机上整理収納名札OA・PC事務機器コピー用紙印章掲示用品店舗用品家具インクふせん紙製品KOKUYO（コクヨ）製本テープペーパークロス Ｔ&minus;Ｋ４００Ｄ,4901480403854。KOKUYO（コクヨ）製本テープペーパークロス Ｔ&minus;Ｋ４００Ｄ[rn]
20-35270,http://tshop.r10s.jp/office-japan/cabinet/egai-images-19/egai-06232010.jpg?fitin=700:700,422.4000,,日用品雑貨・文房具・手芸 > 文房具・事務用品 > その他,ニチバン 製本テープ 50mm×10m巻 BK-506 黒,,<br>特徴：<br>仕様書や文書などの簡易製本、本やノートの補強、補修に便利です。耐磨耗性に富み、耐折性にも優れていますので色が落ちたりしません。<br><br>商品仕様：<br>◆サイズ：５０ｍｍ×１０ｍ<br><br>◆材質：基材：古紙パルプ配合率５０％再生紙、粘着剤：アクリル系、はく離紙：ノンポリラミ紙<br>◆本体サイズ：８４×８４×５３ｍｍ<br>◆本体重量：１４５ｇ,ニチバン 製本テープ 50mm&times;10m巻 BK-506 黒：オフィスジャパン,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得万年筆筆記具ファイル事務用品学童製本梱包接着机上整理収納名札OA・PC事務機器コピー用紙印章掲示用品店舗用品家具インクふせん紙製品ニチバン 製本テープ 50mm&times;10m巻 BK-506 黒,4987167002237。ニチバン 製本テープ 50mm&times;10m巻 BK-506 黒[rn]
20-35271,http://tshop.r10s.jp/office-japan/cabinet/egai-images-19/egai-06232043.jpg?fitin=700:700,3288.0000,,日用品雑貨・文房具・手芸 > 文房具・事務用品 > その他,ニチバン 製本テープ 35mm×10m巻 BK-3534 契約書割印用白（10セット）,,<br>特徴：<br>朱肉がのりやすい再生紙を使用しています。<br><br>商品仕様：<br>◆サイズ：３５ｍｍ×１０ｍ<br><br>◆材質：基材：古紙パルプ配合率７０％再生紙（白色度６７％）、粘着剤：離解性粘着剤（アクリル系）、はく離紙：ノンポリラミ紙<br>◆本体サイズ：８４×８４×３８ｍｍ<br>◆本体重量：１００ｇ,ニチバン 製本テープ 35mm&times;10m巻 BK-3534 契約書割印用白（10セット）：オフィスジャパン,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得万年筆筆記具ファイル事務用品学童製本梱包接着机上整理収納名札OA・PC事務機器コピー用紙印章掲示用品店舗用品家具インクふせん紙製品ニチバン 製本テープ 35mm&times;10m巻 BK-3534 契約書割印用白（10セット）,4987167013011。ニチバン 製本テープ 35mm&times;10m巻 BK-3534 契約書割印用白（10セット）[rn]
20-35272,http://tshop.r10s.jp/office-japan/cabinet/ecole-pack-10/e-06232010-100pack.jpg?fitin=700:700,41440.0000,,日用品雑貨・文房具・手芸 > 文房具・事務用品 > その他,【箱買い商品 / 一箱100セット】ニチバン　製本テープ　ＢＫ－５０６　黒 (納期優先の為単品詰合せの場合が御座います),,こちらの商品はメーカーより取り寄せの為、お急ぎの場合は事前にお問い合わせお願い致します。<br>【箱買い商品 / 一箱100セット入り】８４×８４×５３ｍｍ１４５ｇ仕様書や文書などの簡易製本、本やノートの補強、補修に便利です。耐磨耗性に富み、耐折性にも優れていますので色が落ちたりしません。◆サイズ：５０ｍｍ×１０ｍ基材：古紙パルプ配合率５０％再生紙、粘着剤：アクリル系、はく離紙：ノンポリラミ紙,【箱買い商品 / 一箱100セット】ニチバン　製本テープ　ＢＫ&minus;５０６　黒 (納期優先の為単品詰合せの場合が御座います)：オフィスジャパン,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得万年筆筆記具ファイル事務用品学童製本梱包接着机上整理収納名札OA・PC事務機器コピー用紙印章掲示用品店舗用品家具インクふせん紙製品【箱買い商品 / 一箱100セット】ニチバン　製本テープ　ＢＫ&minus;５０６　黒 (納期優先の為単品詰合せの場合が御座います),【メーカー取り寄せ商品】。【箱買い商品 / 一箱100セット】ニチバン　製本テープ　ＢＫ&minus;５０６　黒 (納期優先の為単品詰合せの場合が御座います)[rn]
20-35273,http://tshop.r10s.jp/office-japan/cabinet/kokuyo2016-2/e-00912483.jpg?fitin=700:700,5457.6000,,日用品雑貨・文房具・手芸 > 文房具・事務用品 > その他,KOKUYO（コクヨ）製本テープペーパークロス Ｔ－Ｋ４００Ｄ,,種類：ペーパークロスタイプ テープ幅：100mm 材質：基材／紙に樹脂コーティング 粘着剤／アクリル系       ●テープ長さ／50m,KOKUYO（コクヨ）製本テープペーパークロス Ｔ&minus;Ｋ４００Ｄ：オフィスジャパン,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得万年筆筆記具ファイル事務用品学童製本梱包接着机上整理収納名札OA・PC事務機器コピー用紙印章掲示用品店舗用品家具インクふせん紙製品KOKUYO（コクヨ）製本テープペーパークロス Ｔ&minus;Ｋ４００Ｄ,4901480403854。KOKUYO（コクヨ）製本テープペーパークロス Ｔ&minus;Ｋ４００Ｄ[rn]
20-35274,http://tshop.r10s.jp/office-japan/cabinet/ecole-images-42/e-06739775.jpg?fitin=700:700,5292.0000,,日用品雑貨・文房具・手芸 > 文房具・事務用品 > その他,(丸善製本工房の継続品)　レイメイ 製本工房 A4ヨコサイズ 50枚収納タイプ A4ﾖｺ-50 KE50A4 W ホワイト （5セット）,,ハードカバー製本が自分でできる<br><br>製本工房の使い方<br>デジタルカメラで撮りためた作品をプリントしてお洒落な写真集に。もちろん文集やメニュー、<br>そして卒業論文などに幅広くご使用いただけます。機械を使わず原稿を差し込むだけの<br>手軽な作業でオーケーです。<br>背の厚さはPPC用紙約50枚まで用、100枚まで用、200枚まで用の3種類あります。<br>（但し A4 ヨコ、A5 サイズは 50 枚まで用のみとなります。）<br>中表紙、タイトルシール、ストッパー付<br>中表紙、中芯：再生紙使用<br><br>◆本体サイズ：W303×D218×H11mm<br>◆本体重量：268g<br>◆素材：紙<br>◆製本枚数：約50枚まで<br>◆最大とじ厚：4.5mm<br>◆1箱単色10冊入り、1カートン50冊入り,(丸善製本工房の継続品)　レイメイ 製本工房 A4ヨコサイズ 50枚収納タイプ A4ﾖｺ-50 KE50A4 W ホワイト （5セット）：オフィスジャパン,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得万年筆筆記具ファイル事務用品学童製本梱包接着机上整理収納名札OA・PC事務機器コピー用紙印章掲示用品店舗用品家具インクふせん紙製品(丸善製本工房の継続品)　レイメイ 製本工房 A4ヨコサイズ 50枚収納タイプ A4ﾖｺ-50 KE50A4 W ホワイト （5セット）,4902562456799。(丸善製本工房の継続品)　レイメイ 製本工房 A4ヨコサイズ 50枚収納タイプ A4ﾖｺ-50 KE50A4 W ホワイト （5セット）[rn]
20-35275,http://tshop.r10s.jp/office-japan/cabinet/ecole-images-24/e-06232352.jpg?fitin=700:700,3200.0000,,日用品雑貨・文房具・手芸 > 文房具・事務用品 > その他,ニチバン 製本テープ 35mm×10m巻 BK-3535 契約書割印用ホワイト（10セット）,,<br>特徴：<br>朱肉がのりやすい再生紙を使用しています。白さを強調したホワイトをラインナップしました。<br><br>商品仕様：<br>◆サイズ：３５ｍｍ×１０ｍ<br><br>◆材質：基材：アルミ貼り合わせ再生紙（白色度８０％）、粘着剤：アクリル系、はく離紙：ノンポリラミ紙<br>◆本体サイズ：８４×８４×３８ｍｍ<br>◆本体重量：１００ｇ,ニチバン 製本テープ 35mm&times;10m巻 BK-3535 契約書割印用ホワイト（10セット）：オフィスジャパン,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得万年筆筆記具ファイル事務用品学童製本梱包接着机上整理収納名札OA・PC事務機器コピー用紙印章掲示用品店舗用品家具インクふせん紙製品ニチバン 製本テープ 35mm&times;10m巻 BK-3535 契約書割印用ホワイト（10セット）,4987167048426。ニチバン 製本テープ 35mm&times;10m巻 BK-3535 契約書割印用ホワイト（10セット）[rn]
20-35276,http://tshop.r10s.jp/office-japan/cabinet/ecole-images-26/e-06734911.jpg?fitin=700:700,9120.0000,,日用品雑貨・文房具・手芸 > 文房具・事務用品 > その他,レイメイ藤井 マルチカバーノート Nilon ダブルファスナー A6 オレンジ CN142D（10セット）,,<br>特徴：<br>使い方自由。多用途に使えるカバーノートです。<br><br>商品仕様：<br>◆付属品：ＮＴ１９０（Ａ６ドット方眼ノート２０行・４０枚）<br><br>◆材質：表紙：ナイロン、裏地：ポリエステル<br>◆本体サイズ：Ｗ１２３×Ｈ１６５×Ｄ２２ｍｍ<br>◆本体重量：１５３ｇ<br>◆規格サイズ：Ａ６対応,レイメイ藤井 マルチカバーノート Nilon ダブルファスナー A6 オレンジ CN142D（10セット）：オフィスジャパン,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得万年筆筆記具ファイル事務用品学童製本梱包接着机上整理収納名札OA・PC事務機器コピー用紙印章掲示用品店舗用品家具インクふせん紙製品レイメイ藤井 マルチカバーノート Nilon ダブルファスナー A6 オレンジ CN142D（10セット）,4902562410661。レイメイ藤井 マルチカバーノート Nilon ダブルファスナー A6 オレンジ CN142D（10セット）[rn]
20-35277,http://tshop.r10s.jp/office-japan/cabinet/ecole-images-26/e-06734911.jpg?fitin=700:700,4608.0000,,日用品雑貨・文房具・手芸 > 文房具・事務用品 > その他,レイメイ藤井 マルチカバーノート Nilon ダブルファスナー A6 オレンジ CN142D（5セット）,,<br>特徴：<br>使い方自由。多用途に使えるカバーノートです。<br><br>商品仕様：<br>◆付属品：ＮＴ１９０（Ａ６ドット方眼ノート２０行・４０枚）<br><br>◆材質：表紙：ナイロン、裏地：ポリエステル<br>◆本体サイズ：Ｗ１２３×Ｈ１６５×Ｄ２２ｍｍ<br>◆本体重量：１５３ｇ<br>◆規格サイズ：Ａ６対応,レイメイ藤井 マルチカバーノート Nilon ダブルファスナー A6 オレンジ CN142D（5セット）：オフィスジャパン,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得万年筆筆記具ファイル事務用品学童製本梱包接着机上整理収納名札OA・PC事務機器コピー用紙印章掲示用品店舗用品家具インクふせん紙製品レイメイ藤井 マルチカバーノート Nilon ダブルファスナー A6 オレンジ CN142D（5セット）,4902562410661。レイメイ藤井 マルチカバーノート Nilon ダブルファスナー A6 オレンジ CN142D（5セット）[rn]
