20-164401,http://tshop.r10s.jp/kurashikenkou/cabinet/tasya12/9301734-e.jpg?fitin=700:700,1509.6000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,CJプライムショッピング イージーキュービックタップ 4個口 【B】【TC】〔電源タップ 4個口 2.0m ホワイト〕,【税込3990円以上で送料無料】,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""></center></font><iframe src=""http://www.rakuten.ne.jp/gold/kurashikenkou/cart_161018.html"" width=""100%"" height=""670"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><!--▲カゴ下バナー--><br>



















<font color=""deeppink""><b>変幻自在な電源タップ♪</b></font><br><br>
クネクネとジョイント部分が動くキュービックタップ！<br>
変幻自在に折り曲げて、お部屋や柱周りに合わせて使えます♪<br>
最大180に曲がるので、デジタルカメラなどの幅広アダプターもOK！<br><br>
◆一括集中スイッチ付きで省エネ♪<br>
◆トラッキング火災・静電気防止で安心安全♪<br>
※海外では使用できません。USBポートは付いていません。<br><br>●商品サイズ（約）：幅25.8×奥行3.85×高さ3.25cm<br>
●重量：約360g<br>
●材質<br>
本体：耐火ABS樹脂<br>
プラグ差し込み部分：耐火ABS樹脂、ユリア樹脂<br>
●カラー：ホワイト<br>
●コンセント差し込み口：4個<br>
●電源コード長さ：2.0m<br>
●定格：125V/15A （合計1500Wまで）<br>
●機能：静電気防止機能・絶縁キャップ（トラッキング火災防止）",CJプライムショッピング イージーキュービックタップ 4個口 【B】【TC】〔電源タップ 4個口 2.0m ホワイト〕：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶CJプライムショッピング イージーキュービックタップ 4個口 【B】【TC】〔電源タップ 4個口 2.0m ホワイト〕,【税込3990円以上で送料無料】。CJプライムショッピング イージーキュービックタップ 4個口 【B】【TC】〔電源タップ 4個口 2.0m ホワイト〕[rn]
20-164468,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_003/4516352100429_ll.jpg?fitin=700:700,2218.4000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,日商テレコム 可動式電源タップ(8個口・1．8m) S9P810C6N [S9P810C6N],,●差込み口数:8個口(回転6+固定2)<br>●プラグ形状:2Pスイング式<br>●最大定格電力 定格容量:1500W/15A・ 125V<br>●コード長:1.8m<br>●本体寸法:W5.3×H5.5×D33.8cm<br>●質量:約700g,日商テレコム 可動式電源タップ(8個口・1．8m) S9P810C6N [S9P810C6N]：エディオン　楽天市場店,日商テレコム 可動式電源タップ(8個口・1．8m) S9P810C6N [S9P810C6N],日商テレコム 可動式電源タップ(8個口・1．8m) S9P810C6N [S9P810C6N][rn]
20-164469,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_081/4969887831458_ll.jpg?fitin=700:700,378.4000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,サンワサプライ 雷ガード(2P・3個口) ホワイト TAP-SP206 [TAPSP206],,□商品説明<br>●雷サージから機器を守ります。<br>●雷ガード作動中はランプが点灯します。<br>●スイングプラグなので、壁に沿わせてスッキリと配線できます。<br>●プラグはトラッキング火災に極めて有効な絶縁キャップ付きです。<br>●雷サージ低減素子(バリスタ)の寿命が来た時に、発熱を防ぐ安全設計です。<br>●本体は熱に強いユリア樹脂を使用しています。<br>□商品仕様<br>●差込口:2P・3個口<br>●プラグ仕様:2P・スイングプラグ(トラッキング火災予防絶縁キャップ付き)<br>●定格容量:AC15A・125V<br>●最大サージ電圧:2500V<br>●最大瞬時電流:4500A<br>●制限電圧:395V,サンワサプライ 雷ガード(2P・3個口) ホワイト TAP-SP206 [TAPSP206]：エディオン　楽天市場店,サンワサプライ 雷ガード(2P・3個口) ホワイト TAP-SP206 [TAPSP206],サンワサプライ 雷ガード(2P・3個口) ホワイト TAP-SP206 [TAPSP206][rn]
20-164470,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_078/4969887223253_ll.jpg?fitin=700:700,3440.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,サンワサプライ シンクロクランプタップ(6個口・3m) TAPRE6 [TAPRE6],,□商品説明<br>●パソコン本体の起動・終了に連動させ、周辺機器の電源を自動的にON・OFFします。<br>●連動感度切替スイッチ付き(3段階)機能により、パソコン終了後、周辺機器電源の消し忘れによる待機電力の無駄も無くなり、同時に多数の電源操作の煩雑さから開放されます。<br>●デスクやラックに自由な方向で取り付けができる固定クランプを装備しています。<br>●使用電力確認メーター付きで、最大容量の15Aまでの電流を段階的に計測&確認ができます。<br>●雷ガード吸収素子内蔵で恐ろしい雷から機器を守ります。<br>□商品仕様<br>●定格容量:15A・125V(合計1500Wまで)<br>●プラグ仕様:2P(アースコード付き)<br>●差込口:3P・6個口(パソコン口×1、連動口×4、非連動口×1)<br>●最大サージ電圧:6000V<br>●最大瞬時電流:4500A(8/20μS)<br>●制限電圧:360V(8/20μS)<br>●電源コード:3m<br>●寸法:W28.3×H2.65×D4.6cm,サンワサプライ シンクロクランプタップ(6個口・3m) TAPRE6 [TAPRE6]：エディオン　楽天市場店,サンワサプライ シンクロクランプタップ(6個口・3m) TAPRE6 [TAPRE6],サンワサプライ シンクロクランプタップ(6個口・3m) TAPRE6 [TAPRE6][rn]
20-164471,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_065/4953103456808_ll.jpg?fitin=700:700,1104.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,エレコム 個別スイッチ付 省エネタップ(6個口・3．0m) ホワイト T-E5A-2630WH [TE5A2630WH],,□商品説明<br>●接続機器ごとにON/OFFでき、待機電力を個別に節約できる個別スイッチが付いた省エネタップです。<br>●ACアダプタや大きめのプラグを接続してもスイッチに干渉しにくい、斜め配置のスイッチを採用しています。<br>●ACアダプタを接続しても隣の差込口に干渉しにくいように、1個の差込口を離れて配置しています。<br>●プラグの刃の根本に絶縁キャップが付いており、トラッキング現象による火災の防止に役立ちます。<br>●電源コードには、社団法人日本配線器具工業会規格(JWDS0010)に適合した二重被ふくコードを採用していますので、断線や被ふく破れによる感電・火災の防止に有効です。<br>●狭い場所でも配線しやすい180°スイングプラグを採用しています。<br>●差込口には耐熱性に優れたユリア樹脂を使用していますので、万一の発熱の際にも融解しにくく、電気火災の防止に有効です。<br>●プラグ仕様は2ピン式で、便利な6個口タイプです。<br>□商品仕様<br>●本体差込口形状：2ピン<br>●本体差込口個数：6個口<br>●プラグ仕様：2ピン・スイングプラグ<br>●定格：125V・15A・1500W<br>●スイッチ：個別スイッチ<br>●二重被ふく：○<br>●スイングプラグ：○<br>●使用可能地域：本製品は日本国内の電源を想定して設計されていますので、日本国外ではご使用いただけません。<br>●コード長：3.0m<br>●材質：本体/ABS樹脂、プラグ/PVC 差込口/ユリア樹脂<br>●寸法：W31.0×H3.2×D5.0cm ※コード部分及びプラグ部分を除く<br>●質量：500g,エレコム 個別スイッチ付 省エネタップ(6個口・3．0m) ホワイト T-E5A-2630WH [TE5A2630WH]：エディオン　楽天市場店,エレコム 個別スイッチ付 省エネタップ(6個口・3．0m) ホワイト T-E5A-2630WH [TE5A2630WH],エレコム 個別スイッチ付 省エネタップ(6個口・3．0m) ホワイト T-E5A-2630WH [TE5A2630WH][rn]
20-164472,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_140/4969887837160_ll.jpg?fitin=700:700,2056.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,サンワサプライ 電源タップ(7個口・3P・3m) TAP-F37-3 [TAPF373],,●定格容量:15A・125V(1500Wまで)<br>●差込口:3P・7個口<br>●プラグ仕様:3P<br>●コード長:3m<br>●本体サイズ:W305×D50×H30.5mm<br>●付属品:ネームタグ(7枚)、抜け止め専用コンセントキャップ(2個),サンワサプライ 電源タップ(7個口・3P・3m) TAP-F37-3 [TAPF373]：エディオン　楽天市場店,サンワサプライ 電源タップ(7個口・3P・3m) TAP-F37-3 [TAPF373],サンワサプライ 電源タップ(7個口・3P・3m) TAP-F37-3 [TAPF373][rn]
20-164473,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_133/4969887836064_ll.jpg?fitin=700:700,1916.8000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,サンワサプライ 電源タップ（3P・4個口・5m） TAP-N3450SWN [TAPN3450SWN],,□商品説明<br>●便利な一括集中スイッチ付きです。<br>●保護被覆付きで、断線しにくい丈夫なコードを使用しています。<br>●差込口にユリア樹脂材を使用し、熱に強い構造になっています。<br>●2Pアースコード付きスイングプラグです。<br>●プラグ根本にはトラッキング火災予防に有効な絶縁キャップが付いています。<br>●ゴミが少なく環境に優しい簡易パッケージ仕様です。<br>●RoHS指令に対応した製品です。<br>EU（欧州連合）域内で施行されている「RoHS指令」に基づき、特定有害物質を制限した製品です。<br>□商品仕様<br>●定格容量：15A・125V（1500Wまで）<br>●プラグ仕様：2P（絶縁キャップ付きスイングプラグ、アースコード付き）<br>●差込口：3P・4個口<br>●電源コード長：5m<br>●本体サイズ：W215×D45×H29.6mm<br>●重量：585g<br>●材質：ケース/難燃性ABS樹脂<br>差込口/ユリア樹脂,サンワサプライ 電源タップ（3P・4個口・5m） TAP-N3450SWN [TAPN3450SWN]：エディオン　楽天市場店,サンワサプライ 電源タップ（3P・4個口・5m） TAP-N3450SWN [TAPN3450SWN],サンワサプライ 電源タップ（3P・4個口・5m） TAP-N3450SWN [TAPN3450SWN][rn]
20-164474,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_145/4969887836927_ll.jpg?fitin=700:700,2776.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,サンワサプライ ワットモニター(2P・1個口) TAP-TST8N [TAPTST8N],,□商品説明<br>●5種類の測定ができる検電器です。<br>●消費電力(W)、積算電力量(kWh)、積算時間(Hour)、積算電力料金(円)、CO2排出量(kg)の5種類が測定できます。<br>●コンセントに差し込んでボタン1つですぐ測定できます。<br>●液晶画面に数値で表示され、ひとめで測定できます。<br>＜使用方法＞<br>●本体下面差込口に測定する機器の電源プラグをしっかり差し込んで、壁のコンセントなどに差し込みます。測定したいボタンを押して数値を読み取ります。<br>＜ご注意＞<br>　※熱器具・調理器具・エアコン・冷蔵庫・洗濯機・乾燥機など、壁のコンセントへ直接接続することが決められている機器には使用しないでください。上記の製品を本製品に接続した場合、接続不良などの要因により、本体が熱くなったり、電源が切れたりする場合があります。<br>□商品仕様<br>●材質:PC6485(ポリカーボネート)<br>●プラグ仕様:2P<br>●定格容量:15A・100V(1500Wまで)<br>●定格電圧:100V<br>●製品消費電力:最大0.3W<br>●寸法:W6.0×H6.0×D4.4cm(突起物含む)<br>●質量:72g<br>＜測定範囲及び精度＞<br>●消費電力:測定範囲/0・0.3～1650Watt、測定精度/最大2%±5W<br>●積算電力量:測定範囲/0.00～9999kWh、測定精度/最大2%±5W<br>●積算時間:測定範囲/00:00～9999Hour、測定精度/30ppm<br>●積算料金:測定範囲/0.00～9999円、測定精度/最大2%±5<br>●測定周期:1Sec,サンワサプライ ワットモニター(2P・1個口) TAP-TST8N [TAPTST8N]：エディオン　楽天市場店,サンワサプライ ワットモニター(2P・1個口) TAP-TST8N [TAPTST8N],サンワサプライ ワットモニター(2P・1個口) TAP-TST8N [TAPTST8N][rn]
20-164475,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_127/4953103457331_ll.jpg?fitin=700:700,1048.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,エレコム 一括スイッチ付3ピンプラグ対応タップ T-T3A-3425WH [TT3A3425WH],,□商品説明<br>●プロジェクタや複合機、モニタなどの3ピンプラグが採用されているOA機器をアダプタなしで接続することができる3ピンプラグ対応タップです。  <br>●接続した機器類の電源を一括でON/OFFでき、待機電力をまとめて節約できる一括スイッチが付いています。  <br>●差込口には耐熱性に優れたユリア樹脂を使用していますので、万一の発熱の際にも融解しにくく、電気火災の防止に有効です。  <br>●プラグの刃の根本に絶縁キャップが付いており、トラッキング現象による火災の防止に役立ちます。  <br>●電源コードには、社団法人日本配線器具工業会規格(JWDS0010)に適合した二重被ふくコードを採用していますので、断線や被ふく破れによる感電・火災の防止に有効です。  <br>●狭い場所でも配線しやすい180°スイングプラグを採用しています。  <br>●EUの「RoHS指令(電気・電子機器に対する特定有害物質の使用制限)」に準拠した環境にやさしい製品です。  <br>●プラグ仕様は3ピン式で、便利な4個口タイプです。<br>□商品仕様<br>●本体差込口形状：3ピン <br>●本体差込口個数：4個口 <br>●プラグ仕様：2ピン・スイングプラグ(アースコード付) <br>●コード長：2.5m <br>●定格：125V・15A・1500W <br>●絶縁キャップ付きプラグ：○ <br>●二重被ふく：○ <br>●スイングプラグ：○ <br>●カラー：ホワイト <br>●材質：本体:ABS樹脂、プラグ:PVC 差込口:ユリア樹脂 <br>●外形寸法：幅215mm×奥行45mm×高さ30mm ※コード部分及びプラグ部分を除く <br>●質量：499g <br>●環境配慮事項：EU RoHS指令準拠 <br>●使用可能地域：本製品は日本国内の電源を想定して設計されていますので、日本国外ではご使用いただけません。 <br>●電気用品安全法：PSE適合,エレコム 一括スイッチ付3ピンプラグ対応タップ T-T3A-3425WH [TT3A3425WH]：エディオン　楽天市場店,エレコム 一括スイッチ付3ピンプラグ対応タップ T-T3A-3425WH [TT3A3425WH],エレコム 一括スイッチ付3ピンプラグ対応タップ T-T3A-3425WH [TT3A3425WH][rn]
20-164476,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_061/4953103381988_ll.jpg?fitin=700:700,652.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,エレコム 電源タップ(4個口/3m) ホワイト T-S02-2430WH [TS022430WH],,□商品説明<br>●プラグ仕様は2ピン式で、便利な4個口タイプです。<br>●狭い場所でも配線しやすい180°スイングプラグを採用しています。<br>●トラッキング現象による火災の防止に役立つ絶縁キャップ付きのコンセントプラグを採用しています。<br>●差込口には耐熱性に優れたユリア樹脂を使用しており、万一の発熱の際にも融解しにくく、電気火災の防止に有効です。<br>●電源コードには一般社団法人日本配線システム工業会規格(JWDS0010)に適合した二重被ふくコードを採用しており、断線や被ふく破れによる感電・火災の防止に有効です。<br>●※本製品は日本国内の電源を想定して設計されていますので、日本国外ではご使用いただけません。<br>□商品仕様<br>●本体差込口個数:4個口<br>●本体差込口形状:2ピン<br>●プラグ仕様:2ピン・スイングプラグ<br>●材質:本体/ABS樹脂、プラグ/PVC 差込口/ユリア樹脂<br>●電気用品安全法:PSE適合<br>●定格:125V・15A・1500W<br>●コード長:3m<br>●外形寸法:W3.9×H2.25×D12.6cm ※コード部分及びプラグ部分を除く<br>●質量:312g,エレコム 電源タップ(4個口/3m) ホワイト T-S02-2430WH [TS022430WH]：エディオン　楽天市場店,エレコム 電源タップ(4個口/3m) ホワイト T-S02-2430WH [TS022430WH],エレコム 電源タップ(4個口/3m) ホワイト T-S02-2430WH [TS022430WH][rn]
20-164477,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_061/4953103261648_ll.jpg?fitin=700:700,960.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,エレコム スイッチ付雷ガードタップ(6個口・1m) Color Style ブラウン T-BR04-2610BR [TBR042610BR],,□商品説明<br>●突然の落雷による雷サージから、パソコンやAV機器などの精密機器を守る雷ガードタップです。<br>●最大サージ電圧12、500Vの高性能雷サージ吸収素子(バリスタ)を内蔵し、わずかなサージで回復不能になる可能性がある機器を、落雷から守るのに非常に有効なアイテムです。<br>●タップ上の電源スイッチをオン/オフすることで待機電流を減らし、電気代の節約と省エネに貢献する個別スイッチ付きタイプです。<br>●ACアダプタや大きめのプラグを接続してもスイッチに干渉しにくい、斜め配置のスイッチを採用しています。<br>●差込口は耐熱性に優れたユリア樹脂を使用し、万一発熱した場合でも融解しにくく、電気火災を防止します。<br>●トラッキング現象による火災を防ぐ絶縁キャップ付きのコンセントプラグを採用しています。<br>●狭い場所でも配線しやすい180°スイングプラグを採用しています。<br>□商品仕様<br>●コード長:1m<br>●コンセント仕様:2P式6個口<br>●プラグ仕様:2P式・スイングプラグ<br>●定格:125V・15A・1500W<br>●材質:本体/ABS樹脂、プラグ/PVC、差込口/ユリア樹脂<br>●寸法:W31×H3.2×D5cm※コード部分およびプラグ部分を除く。<br>●質量:449g,エレコム スイッチ付雷ガードタップ(6個口・1m) Color Style ブラウン T-BR04-2610BR [TBR042610BR]：エディオン　楽天市場店,エレコム スイッチ付雷ガードタップ(6個口・1m) Color Style ブラウン T-BR04-2610BR [TBR042610BR],エレコム スイッチ付雷ガードタップ(6個口・1m) Color Style ブラウン T-BR04-2610BR [TBR042610BR][rn]
20-164478,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_081/4969887834626_ll.jpg?fitin=700:700,2032.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,サンワサプライ 便利タップ（2P・3個口） ブラック TAP-B45BK [TAPB45BK],,□商品説明<br>●2P・3個口の電源タップで、充電用のUSBポートが3つ付いています。<br>●USB出力3A仕様で、スマートフォンとタブレットを同時に急速充電できます。<br>●スマートフォンやタブレットを3台まで立て掛けられる、スライドスタンド付きです。<br>●トラッキング火災予防絶縁キャップ付きのL型プラグを採用しています。<br>●差込口はホコリ防止シャッター付きで、トラッキング火災防止やお子様のいたずら防止になります。<br>●断線や被ふく破れによる感電・火災の防止に有効な、二重被ふくコードです。<br>□商品仕様<br>●カラー：ブラック<br>●定格容量：14A・100V（合計1400Wまで）<br>●USB出力：DC5V・3A（合計）<br>●USBポート：3ポート<br>●プラグ仕様：2P・絶縁キャップ付きL型プラグ<br>●差込口：2P・3個口<br>●電源コード長：1m<br>●サイズ：W275×D63×H33mm,サンワサプライ 便利タップ（2P・3個口） ブラック TAP-B45BK [TAPB45BK]：エディオン　楽天市場店,サンワサプライ 便利タップ（2P・3個口） ブラック TAP-B45BK [TAPB45BK],サンワサプライ 便利タップ（2P・3個口） ブラック TAP-B45BK [TAPB45BK][rn]
20-164479,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_007/4950190351498_ll.jpg?fitin=700:700,688.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,BUFFALO 2ピン式電源タップ 雷サージ防止付(3個口・2m) ホワイト BSTAPSG2320WH [BSTAPSG2320WH],,□商品説明<br>●2ピン3個口の電源タップ。<br>●落雷による機器の故障を防ぐ雷サージガード付。<br>●スイングプラグで、狭い場所でも壁にピッタリ!<br>●差込口は、安心の2重構造で熱に強い!<br>●安心のトラッキング現象防止プラグ。<br>●コードは二重被ふくを採用。<br>●ビニール袋パッケージで環境に優しい。<br>●RoHS基準値準拠。<br>□商品仕様<br>●口数:3個口<br>●プラグ仕様:2ピン<br>●スイッチ:なし<br>●定格容量:AC125V、15A、合計1500Wまで対応<br>●動作環境:温度0℃～40℃、湿度20%～80%(結露なきこと)<br>●ケーブル長:2m<br>●外形寸法:W9.45×H2.3×D4.7cm<br>●質量:220g<br>●製品構成:本体,BUFFALO 2ピン式電源タップ 雷サージ防止付(3個口・2m) ホワイト BSTAPSG2320WH [BSTAPSG2320WH]：エディオン　楽天市場店,BUFFALO 2ピン式電源タップ 雷サージ防止付(3個口・2m) ホワイト BSTAPSG2320WH [BSTAPSG2320WH],BUFFALO 2ピン式電源タップ 雷サージ防止付(3個口・2m) ホワイト BSTAPSG2320WH [BSTAPSG2320WH][rn]
20-164480,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_130/4969887227763_ll.jpg?fitin=700:700,1632.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,サンワサプライ 工事物件タップ（3P・4個口・3m） TAPK4N3 [TAPK4N3],,□商品説明<br>●4個口（3P）、VCTFコード仕様、3Pプラグ（絶縁キャップ付き）のタップです。<br>●電源状態が確認できる通電ランプ付きです。<br>●裏面にマグネットが付いているので、スチールのデスクなどに仮固定することができます。メンテナンスがしやすく便利です。<br>●差込口部分に熱・衝撃に強いユリア樹脂を採用して二重構造にしています。<br>●トラッキング火災予防に有効な絶縁キャップ付き3P（接地付き）プラグです。<br>●RoHS指令に対応した製品です。<br>●ゴミが少なく、環境に優しい簡易ビニール袋パッケージ採用しています。<br>□商品仕様<br>●定格容量：15A・125V（合計1500Wまで）<br>●プラグ仕様：3P（絶縁キャップ付き）<br>●差込口：3P（ノーマルタイプ）・4個口<br>●差込口間ピッチ：40mm<br>●コード長：3m<br>●コード仕様：VCTFコード<br>●本体サイズ：W239×D43.5×H26mm<br>●生産国：日本,サンワサプライ 工事物件タップ（3P・4個口・3m） TAPK4N3 [TAPK4N3]：エディオン　楽天市場店,サンワサプライ 工事物件タップ（3P・4個口・3m） TAPK4N3 [TAPK4N3],サンワサプライ 工事物件タップ（3P・4個口・3m） TAPK4N3 [TAPK4N3][rn]
20-164481,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_151/4969887835616_ll.jpg?fitin=700:700,846.4000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,サンワサプライ 中間スイッチ付延長コード(2P・1個口・1m) ホワイト TAP-B7-1N [TAPB71N],,□商品説明<br>●中間スイッチ付きで機器のON・OFFができ、お手持ちのスイッチなしのタップもスイッチ付きにできます。<br>●通電確認ランプ付きなので、一目で使用状況が確認できます。<br>●恐ろしいコンセント火災を予防する、絶縁キャップ付きスイングプラグです。<br>□商品仕様<br>●定格容量:15A・125V(1500Wまで)<br>●プラグ仕様:2P(絶縁キャップ付きスイングプラグ)<br>●差込口:2P・1個口<br>●電源コード長:1m<br>●寸法:W10.45×H2.36×D3.5cm,サンワサプライ 中間スイッチ付延長コード(2P・1個口・1m) ホワイト TAP-B7-1N [TAPB71N]：エディオン　楽天市場店,サンワサプライ 中間スイッチ付延長コード(2P・1個口・1m) ホワイト TAP-B7-1N [TAPB71N],サンワサプライ 中間スイッチ付延長コード(2P・1個口・1m) ホワイト TAP-B7-1N [TAPB71N][rn]
20-164482,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_065/4953103456839_ll.jpg?fitin=700:700,1048.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,エレコム 一括&個別スイッチ付 省エネタップ(4個口・3．0m) ホワイト T-E7A-2430WH [TE7A2430WH],,□商品説明<br>●待機電力をまとめて節約できる一括スイッチと、接続機器ごとにON/OFFでき、個別に節約できる個別スイッチが付いた省エネタップです。<br>●ACアダプタや大きめのプラグを接続してもスイッチに干渉しにくい、斜め配置のスイッチを採用しています。<br>●ACアダプタを接続しても隣の差込口に干渉しにくいように、1個の差込口を離れて配置しています。<br>●プラグの刃の根本に絶縁キャップが付いており、トラッキング現象による火災の防止に役立ちます。<br>●電源コードには、社団法人日本配線器具工業会規格(JWDS0010)に適合した二重被ふくコードを採用していますので、断線や被ふく破れによる感電・火災の防止に有効です。<br>●狭い場所でも配線しやすい180°スイングプラグを採用しています。<br>●差込口には耐熱性に優れたユリア樹脂を使用していますので、万一の発熱の際にも融解しにくく、電気火災の防止に有効です。<br>●プラグ仕様は2ピン式で、便利な4個口タイプです。<br>□商品仕様<br>●本体差込口形状：2ピン<br>●本体差込口個数：4個口<br>●プラグ仕様：2ピン・スイングプラグ<br>●定格：125V・15A・1500W<br>●スイッチ：集中・個別両用スイッチ<br>●二重被ふく：○<br>●スイングプラグ：○<br>●使用可能地域：本製品は日本国内の電源を想定して設計されていますので、日本国外ではご使用いただけません。<br>●コード長：3.0m<br>●材質：本体/ABS樹脂、プラグ/PVC、差込口/ユリア樹脂<br>●寸法：W24.0×H3.2×D5.0cm ※コード部分及びプラグ部分を除く<br>●質量：436g,エレコム 一括&amp;個別スイッチ付 省エネタップ(4個口・3．0m) ホワイト T-E7A-2430WH [TE7A2430WH]：エディオン　楽天市場店,エレコム 一括&amp;個別スイッチ付 省エネタップ(4個口・3．0m) ホワイト T-E7A-2430WH [TE7A2430WH],エレコム 一括&amp;個別スイッチ付 省エネタップ(4個口・3．0m) ホワイト T-E7A-2430WH [TE7A2430WH][rn]
20-164483,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_128/4969887835166_ll.jpg?fitin=700:700,1680.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,サンワサプライ コンセント安全キャップ（3P用・50個入） ホワイト TAP-CAP3P50 [TAPCAP3P50],,□商品説明<br>●普段使用しないコンセント口にフタをし、ホコリや湿気の侵入、子供のいたずらや感電事故などを防止します。<br>□商品仕様<br>●カラー：ホワイト<br>●サイズ：W26×D17×H28mm<br>●対応差込口形状：3P（平行刃用）<br>●入数：50個入,サンワサプライ コンセント安全キャップ（3P用・50個入） ホワイト TAP-CAP3P50 [TAPCAP3P50]：エディオン　楽天市場店,サンワサプライ コンセント安全キャップ（3P用・50個入） ホワイト TAP-CAP3P50 [TAPCAP3P50],サンワサプライ コンセント安全キャップ（3P用・50個入） ホワイト TAP-CAP3P50 [TAPCAP3P50][rn]
20-164484,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_017/4547441942774_ll.jpg?fitin=700:700,784.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,パナソニック スイッチ付タップ(4個口・2m) ザ・タップZ ブラック WHS2524BP [WHS2524BP],新開発。ランプレススイッチ付テーブルタップ登場!,□商品説明<br>●ランプを無くして省エネ追及。新開発ランプレススイッチ。<br>●プッシュスイッチでフラット化を実現。インテリアに調和するフラットボディ。<br>●横差しコンセントタイプ。<br>□商品仕様<br>●コンセント差し込み口数:4個口<br>●コード長:2m<br>●寸法:W9.0×H33.0×D5.0cm<br>●質量:315g,パナソニック スイッチ付タップ(4個口・2m) ザ・タップZ ブラック WHS2524BP [WHS2524BP]：エディオン　楽天市場店,パナソニック スイッチ付タップ(4個口・2m) ザ・タップZ ブラック WHS2524BP [WHS2524BP],新開発。ランプレススイッチ付テーブルタップ登場!。パナソニック スイッチ付タップ(4個口・2m) ザ・タップZ ブラック WHS2524BP [WHS2524BP][rn]
20-164485,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_149/4971275012493_ll.jpg?fitin=700:700,302.4000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,オーム電機 らく抜きプラグアダプター HS-A1249W [HSA1249W],,□商品説明<br>●楽々抜き取りレバー。<br>●選べる差込口。<br>●ホコリ防止安全シャッター。<br>●耐トラッキング絶縁カバー付き。<br>● 合計1500Wまで。<br>●※必ず合計1500ワット以下でお使い下さい。許容最大消費電力を超える状態でご使用になりますと、製品が焼損・発火するおそれがあります。<br>●※エアコンや食器洗浄機等の機器によってはタップの使用を禁止している場合があります。使用する機器の取扱説明書に従ってご使用下さい。<br>□商品仕様<br>●定格:15A 125V,オーム電機 らく抜きプラグアダプター HS-A1249W [HSA1249W]：エディオン　楽天市場店,オーム電機 らく抜きプラグアダプター HS-A1249W [HSA1249W],オーム電機 らく抜きプラグアダプター HS-A1249W [HSA1249W][rn]
