20-76001,http://tshop.r10s.jp/tuzukiya/cabinet/main/t25-1/t25-10346.jpg?fitin=700:700,503.2000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,トラスコ ダイヤモンドバー　841M 1.6mm軸 （T1841M）,,"【原産国】<br>
JP<br>
【仕様】<br>
■最高使用回転数(rpm):320000<br>
■刃径×刃長×全長:.2×7.0×20.0mm<br>
■粒度:#40<br>
■角度:3.3°<br>
■軸径:.6mm<br>
【重量】<br>
0.2ｇ<br>
【別名】<br>
■研削研磨用品<br>
■ダイヤモンドバー<br>
■ダイヤモンドバー(シャンク径.6mm)<br>
■ダイヤモンドバー<br>
■電着ダイヤモンドバー<br>
（メーカー）トラスコ中山株式会社（TRUSCO NAKAYAMA CORPORATION）",トラスコ ダイヤモンドバー　841M 1.6mm軸 （T1841M）：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドトラスコ ダイヤモンドバー　841M 1.6mm軸 （T1841M）,トラスコ ダイヤモンドバー　841M 1.6mm軸 （T1841M）[rn]
20-76053,http://tshop.r10s.jp/premoa/cabinet/image/109/4536178040006.jpg?fitin=700:700,7440.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,【送料無料】☆エントリー＆楽天カード利用で ポイント10倍 4/22 10：00～4/25 09：59☆9178bs-945214 BLACK & DECKER コンパクトミニサンダー KA400【同梱配送不可】【代引き不可】【沖縄・北海道・離島配送不可】,,★ サンドペーパー種類<br />市販のサンドペーパー使用可能<br />(A4サイズのペーパーは4等分してください。)<br /><br />★ 新機構の低重心設計で自由な操作性を実現し、高速回転とハイパワーで効率的な研磨が可能。<br /><br />★ 握りやすいソフトラバーグリップで長時間の作業でも快適に行えます。<br /><br />★ 市販のサンドペーパーも使用できるスマートフィット採用です。<br /><br />【スペック】<br />* サイズ:<br /> 　・140mm×110mm×1<br /> 　・個装サイズ:24×13×13cm<br />* 重量:<br /> 　・本体:1.15kg<br /> 　・個装重量:1450g<br />* 素材・材質:ABS樹脂<br />* 仕様:<br /> 　・電源:AC100V(50/60Hz)<br /> 　・消費電力:220W<br /> 　・回転数:16000(回転/分)<br /> 　・軌道:1.5mm<br /> 　・スイッチタイプ:単速<br /> 　・集塵機能:有<br /> 　・ペーパーサイズ:114×140mm<br /> 　・ペーパー取り付け:クランプ式、マジックテープ<br /> 　・コード長:3.0m<br />* 付属品:<br />　集塵ダストバッグ、サンドペーパー80号×2・120号×2、ペーパーパンチ、取扱説明書、保証書(1年)<br />* 製造国:中国,【送料無料】☆エントリー＆楽天カード利用で ポイント10倍 4/22 10：00～4/25 09：59☆9178bs-945214 BLACK &amp; DECKER コンパクトミニサンダー KA400【同梱配送不可】【代引き不可】【沖縄・北海道・離島配送不可】：総合通販PREMOA 楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得テレビテレビ 価格モニター液晶 テレビディスプレイ液晶 テレビ おすすめ液晶 テレビ 激安価格 com テレビ【送料無料】☆エントリー＆楽天カード利用で ポイント10倍 4/22 10：00～4/25 09：59☆9178bs-945214 BLACK &amp; DECKER コンパクトミニサンダー KA400【同梱配送不可】【代引き不可】【沖縄・北海道・離島配送不可】,　。【送料無料】☆エントリー＆楽天カード利用で ポイント10倍 4/22 10：00～4/25 09：59☆9178bs-945214 BLACK &amp; DECKER コンパクトミニサンダー KA400【同梱配送不可】【代引き不可】【沖縄・北海道・離島配送不可】[rn]
20-76054,http://tshop.r10s.jp/kougushop/cabinet/ryobi/imgrc0126469115.jpg?fitin=700:700,11440.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,【送料無料】☆RYOBI/リョービ　プロ用　ポリッシャーキット　PED-130KT　(637011A)　【RCP】,,"【特長】
<br>●パットが回転しながら偏心運動するダブルアクションポリッシャー
<br>●磨きと光沢、撥水効果のあるコンパウンド液
車磨き専用キット付
<br>●磨きにあわせた作業ができる回転数調節ダイヤル付
<br>●5ｍ電源コード
<br>●収納に便利なバッグ付
<br>
【仕様】
<br>●パッド寸法:（径）123mm<br>●回転数：6,000～12,000min-1<br>●電流：3.3A<br>●消費電力：300W<br>●コード長さ：5ｍ<br>●質量：1.5kg<br>●サイズ：長さ226×幅123×高さ151mm
<br>
【セット内容/付属品】
<br>●スポンジバフ外径150ｍｍ（マジック式）
<br>●手掛けバフ
<br>●自動車用艶出し剤（超微粒子コンパウンド）
<br>●マイクロファイバークロス
<br>●収納バッグ
<br>【納期】<br>メーカー取り寄せのため、3～4日(営業日)で出荷します。",【送料無料】☆RYOBI/リョービ　プロ用　ポリッシャーキット　PED-130KT　(637011A)　【RCP】：工具ショップ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得輸入工具トラスコ【送料無料】☆RYOBI/リョービ　プロ用　ポリッシャーキット　PED-130KT　(637011A)　【RCP】,全てがそろった車磨き専用キット。。【送料無料】☆RYOBI/リョービ　プロ用　ポリッシャーキット　PED-130KT　(637011A)　【RCP】[rn]
20-76055,http://tshop.r10s.jp/asahiprocureace/cabinet/03563510/03575583/img62723865.jpg?fitin=700:700,91992.8000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,【あす楽】【送料無料】日東工器（株）　アトラエース LO-3000A（44330）　374-1532  ＮＩＴＴＯ 磁気ボール盤（アトラミニエース低丈型）,,メーカー名：日東工器（株）<hr>ブランド名称：日東　<hr>商品名：LO3000A<hr>型式：日東　アトラエース<hr>メーカー希望小売価格：177600円（税抜）<hr>オレンジブック：2014年　2 1308ページ<hr>発注コード：3741532<hr>JANコード：4992338443306<hr>特徴：●小型・軽量で現場搬入、移動が容易です。●穴あけ位置合わせの調整機能付です。（前後・左右：10mm）●モーター過負荷時停止機能付です。●ラチェット式送りハンドルは左右どちらにも装着可能です。●H鋼100mmのウェブに吸着可能なマグネットサイズです。<hr>仕様：●穴あけ能力(mm)：11、5～30●最大板厚(mm)：35●ストローク(mm)：58●マグネット寸法(mm)：65×145●無負荷回転数(min[[の-1乗]])：1100●最大磁力(N)：5500●定格電流(A)：7、5●電源(V)：100●消費電力(W)：710●質量(kg)：8、2●コード長さ：5m<hr>セット内容　付属品：●キャリングケース：1箱●パイロットピンA2：1本●切削油0、5L：1缶<hr>原産国：JP（日本）,【あす楽】【送料無料】日東工器（株）　アトラエース LO-3000A（44330）　374-1532  ＮＩＴＴＯ 磁気ボール盤（アトラミニエース低丈型）：プロキュアエース,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ダイキン　セラムヒートダイキン　空気清浄機シャープ　空気清浄機PM2.5【あす楽】【送料無料】日東工器（株）　アトラエース LO-3000A（44330）　374-1532  ＮＩＴＴＯ 磁気ボール盤（アトラミニエース低丈型）,もれなく当店オリジナルLEDライト付ボールペンプレゼント！。【あす楽】【送料無料】日東工器（株）　アトラエース LO-3000A（44330）　374-1532  ＮＩＴＴＯ 磁気ボール盤（アトラミニエース低丈型）[rn]
20-76056,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0066005715.jpg?fitin=700:700,10007.2000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,BOSCH(ボッシュ)ディスクグラインダー　125mm　切断砥石10枚セット　GWS7-125T-SET,,"★特徴★<br>
●二重絶縁構造です<br>
●脱落防止保護カバー付です<br>
●サイドハンドル標準装備です<br>
●φ100mmクラスのコンパクトボディーです<br>
<br>
★仕様★<br>
●定格電流:7.3A<br>
●電源:AC100V<br>
●コード長さ:2.5m<br>
●カーボンブラシ:1619P02892<bR>
●砥石径(mm):125<br>
●消費電力(W):720<br>
●無負荷回転数(回/分):9300<br>
<br>
★セット内容★<br>
●サイドハンドル<br>
●ピンスパナ<br>
●保護カバー<br>
●フランジ<br>
●固定ナット<br>
●切断砥石１０枚",BOSCH(ボッシュ)ディスクグラインダー　125mm　切断砥石10枚セット　GWS7-125T-SET：工具のお店　モンジュＳＨＯＰ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアBOSCH(ボッシュ)ディスクグラインダー　125mm　切断砥石10枚セット　GWS7-125T-SET,数量限定お得なセット　。BOSCH(ボッシュ)ディスクグラインダー　125mm　切断砥石10枚セット　GWS7-125T-SET[rn]
20-76057,http://tshop.r10s.jp/monju/cabinet/00058755/img57145683.jpg?fitin=700:700,2190.4000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,富士砥石　切断砥石　スーパー雷鳥　180mm #30  5枚入,,"特徴<br>
●両面補強で安全性と耐久性に優れています。<br>
●特に棒材、中厚物に、より性能を発揮し、カット数も格段にのびます。<br>
<HR>
用途<br>
●薄板金属サイディング、軽量鉄骨、細丸棒、パイプ、ALC、ステンレス(薄板サッシ材)等。",富士砥石　切断砥石　スーパー雷鳥　180mm #30  5枚入：工具のお店　モンジュＳＨＯＰ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニア富士砥石　切断砥石　スーパー雷鳥　180mm #30  5枚入,富士砥石　切断砥石　スーパー雷鳥　180mm #30  5枚入[rn]
20-76058,http://tshop.r10s.jp/monju/cabinet/00058755/img57133417.jpg?fitin=700:700,1632.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,モトユキ　ダイヤモンドカッター　グローバルソー　外径105mm,,"用途<br>
●コンクリート、重・軽量ブロック、タイル、屋根瓦、インターロッキング、ヒューム管。<br>",モトユキ　ダイヤモンドカッター　グローバルソー　外径105mm：工具のお店　モンジュＳＨＯＰ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアモトユキ　ダイヤモンドカッター　グローバルソー　外径105mm,モトユキ　ダイヤモンドカッター　グローバルソー　外径105mm[rn]
20-76059,http://tshop.r10s.jp/monju/cabinet/00058755/img57133182.jpg?fitin=700:700,11788.8000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,LOBSTER（ロブテックス）ダイヤモンドカッター　レーザーSL　外径126mm,,"用途<br>
●硬質コンクリート・コンクリート二次製品(U字溝等)・ブロック・スレート・ALC・石材等",LOBSTER（ロブテックス）ダイヤモンドカッター　レーザーSL　外径126mm：工具のお店　モンジュＳＨＯＰ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアLOBSTER（ロブテックス）ダイヤモンドカッター　レーザーSL　外径126mm,LOBSTER（ロブテックス）ダイヤモンドカッター　レーザーSL　外径126mm[rn]
20-76060,http://tshop.r10s.jp/monju/cabinet/00058755/img57142702.jpg?fitin=700:700,5556.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,トーケン　切断砥石　サムライ　305mm #30　10枚入,,"特徴<br>
●高い安全性、スムーズな切り込みと鋭い切削性を持つ高性能切断砥石です。<br>
<HR>
用途<br>
●薄鉄板・波トタン・丸棒・パイプ等の一般金属。<br>
●ステンレス材、アングル、チャンネル、丸棒、型鋼、薄板、トタン、一般鋼。",トーケン　切断砥石　サムライ　305mm #30　10枚入：工具のお店　モンジュＳＨＯＰ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアトーケン　切断砥石　サムライ　305mm #30　10枚入,トーケン　切断砥石　サムライ　305mm #30　10枚入[rn]
20-76061,http://tshop.r10s.jp/monju/cabinet/00058755/img57133183.jpg?fitin=700:700,4764.8000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,LOBSTER（ロブテックス）ダイヤモンドカッター　剣　外径105mm,,"用途<br>
●コンクリート・ブロック・レンガ・スレート・モルタル・瓦・タイル・石材等の切断。<br>",LOBSTER（ロブテックス）ダイヤモンドカッター　剣　外径105mm：工具のお店　モンジュＳＨＯＰ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアLOBSTER（ロブテックス）ダイヤモンドカッター　剣　外径105mm,LOBSTER（ロブテックス）ダイヤモンドカッター　剣　外径105mm[rn]
20-76062,http://tshop.r10s.jp/monju/cabinet/00058755/img57145677.jpg?fitin=700:700,2244.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,ノートン　切断砥石　エクスプローラウルトラ　105mm #46　10枚,,"特徴<br>
●違いの分かるプロフェッショナルユーザー様に最上級の性能をお届けします。<br>
●ノートンの新技術「QUANTUMボンドテクノロジー」(特許出願中)を採用し、砥粒の特性を最大限活用できるようになりました。<br>
●新オリジナルジルコニア砥粒「ノルゾン プラス」を使用、優れた切れ味を維持しながら、バツグンの耐久性能を誇ります。<br>
<HR>
用途<br>
●一般鋼、ステンレス鋼のチャンネル、アングル、パイプの切断作業を中心に炭素鋼や、各種合金鋼にも対応。",ノートン　切断砥石　エクスプローラウルトラ　105mm #46　10枚：工具のお店　モンジュＳＨＯＰ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアノートン　切断砥石　エクスプローラウルトラ　105mm #46　10枚,ノートン　切断砥石　エクスプローラウルトラ　105mm #46　10枚[rn]
20-76063,http://tshop.r10s.jp/monju/cabinet/sankyou/imgrc0068890352.jpg?fitin=700:700,3654.4000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,Iwood 漢道(おとこみち)　ダイヤモンド溝入れカッター　U字型　外径90mm/厚み10mm,,"●用途：コンクリート・ブロック・モルタル・石材・ＡＬＣ等の溝入れ・目地加工・壁等ひび割れ補修作業に<br>
<BR>
・Ｕ字型<br>
・外径：90mm<br>
・刃厚：10mm<br>
・穴径：20mm<br>
・付属リング径：15mm<br>
・最高使用回転数：14500rpm",Iwood 漢道(おとこみち)　ダイヤモンド溝入れカッター　U字型　外径90mm/厚み10mm：工具のお店　モンジュＳＨＯＰ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアIwood 漢道(おとこみち)　ダイヤモンド溝入れカッター　U字型　外径90mm/厚み10mm,Iwood 漢道(おとこみち)　ダイヤモンド溝入れカッター　U字型　外径90mm/厚み10mm[rn]
20-76064,http://tshop.r10s.jp/monju/cabinet/proxxon-vol24/27520.jpg?fitin=700:700,14035.2000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,PROXXON(プロクソン)マイクロ・ディスクグラインダーNo.27520,,"用途：木、金属等の塗装落し、さび落とし、磨き、切断等 <br>
電源：100V　50/60Hz<br> 
消費電力：50W <br>
ベルトの周速：11,000min-1(回/分)<br> 
寸法：長さ290mm<br>
ディスク砥石径：φ50mm<br> 
重量：630g <br>
定格使用時間：15分<br> 
付属品：ディスクWA砥石60番(No.28585) 1枚、
L型レンチ、
ディスクペーパー(固定式)",PROXXON(プロクソン)マイクロ・ディスクグラインダーNo.27520：工具のお店　モンジュＳＨＯＰ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアPROXXON(プロクソン)マイクロ・ディスクグラインダーNo.27520,PROXXON(プロクソン)マイクロ・ディスクグラインダーNo.27520[rn]
20-76065,http://tshop.r10s.jp/monju/cabinet/00308061/imgrc0065158483.jpg?fitin=700:700,3599.2000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,PAOCK　ディスクグラインダー,,"★特長★<br>
●広い範囲が短時間で削れる・磨ける！<BR>
●左右付け替え可能サイドハンドル付<br>
<br>
★用途★<br>
●鉄のサビ落とし、鉄の切断面のバリ取り、塗装剥がしに<br>
<br>
■定格電圧：AC100V<br>
■定格周波数：50-60Hz<br>
■定格消費電力：600W<br>
■定格時間：30分<br>
■回転速度：12.000min-1<br>
■取付可能砥石サイズ：外径100mm×穴径15mm×厚さ6mm<br>
■電源コード長：1.8m<br>
■本体質量：1.7kg（付属の砥石取付時）<br>
<br>
★付属品★<br>
・オフセット砥石×1枚<br>
・サイドハンドル×1個<br>
・砥石押さえナット×1個<br>
・砥石支えワッシャ×1個<br>
・砥石交換用スパナ×1本<br>
・カーボンブラシ×2個<br>
・取扱説明書×1部",PAOCK　ディスクグラインダー：工具のお店　モンジュＳＨＯＰ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアPAOCK　ディスクグラインダー,広い範囲が短時間で削れる・磨ける！　　。PAOCK　ディスクグラインダー[rn]
20-76066,http://tshop.r10s.jp/monju/cabinet/minimo/img57750130.jpg?fitin=700:700,3696.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,Minimo（ミニター）研磨剤　ダイヤモンドコンパウンド　油性ハイグレード　1μ　5g,,"研磨力:◎<br>
洗浄のしやすさ:○<br>
粘度:○<br>
<HR>
粒度:#14000<br>
仕上がり目安:鏡面仕上げ",Minimo（ミニター）研磨剤　ダイヤモンドコンパウンド　油性ハイグレード　1μ　5g：工具のお店　モンジュＳＨＯＰ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアMinimo（ミニター）研磨剤　ダイヤモンドコンパウンド　油性ハイグレード　1μ　5g,Minimo（ミニター）研磨剤　ダイヤモンドコンパウンド　油性ハイグレード　1μ　5g[rn]
20-76067,http://tshop.r10s.jp/monju/cabinet/00308061/imgrc0065158479.jpg?fitin=700:700,93600.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,PAOCK　自動カンナ,,"★特長★<br>
●現場で使えるコンパクトサイズ<br>
●自動供給機能付<br>
●２枚刃方式できれいな仕上がり<br>
●セフティーロック機構で安全確保<br>
<br>
★用途★<br>
●木材の平面削りに<br>
<br>
★仕様★<br>
■定格電圧：AC100V<br>
■定格周波数：50-60Hz<br>
■定格消費電力：1600W<br>
■定格時間：30分<br>
■回転速度：約9700min-1<br>
■送材速度：7.6m/分<br>
■最大切削幅：330mm<br>
■最大切削厚さ：150mm<br>
■最大切込深さ：3mm<br>
■電源コード長さ：約2.4m<br>
■サイズ：幅360mm×奥行580mm×高さ490mm<br>
■重量：35kg<bR>
<BR>
★付属品★<br>
・コンビネーションレンチ（8、10mm）<br>
・マグネットハンドリングツール<br>
・集じんパイプ<br>
・集じんパイプ取付ねじ<br>
・補助バー",PAOCK　自動カンナ：工具のお店　モンジュＳＨＯＰ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアPAOCK　自動カンナ,２枚刃方式できれいな仕上がり　　。PAOCK　自動カンナ[rn]
20-76068,http://tshop.r10s.jp/monju/cabinet/00308061/imgrc0065158482.jpg?fitin=700:700,9504.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,PAOCK　電気カンナ,,"★特長★<br>
●超硬刃でプロ並の仕上がり<BR>
●相じゃくり加工に便利な平行ガイド付<BR>
<br>
★用途★<BR>
●相じゃくり加工、面取り加工、平面削りに<br>
<br>
★仕様★<BR>
■定格電圧：AC100V<br>
■定格周波数：50-60Hz<br>
■定格消費電力：650W<br>
■定格時間：30分<br>
■回転速度：16000min-1<br>
■最大切削幅：約82mm<br>
■最大切削深さ：約2mm<br>
■サイズ：幅150mm×奥行280mm×高さ180mm<br>
■重量：3kg<br>
<br>
★付属品★<BR>
・集じん袋（ファスナー付）<br>
・平行ガイド<br>
・替ベルト（モータプーリ用）<br>
・スパナ（8mm）",PAOCK　電気カンナ：工具のお店　モンジュＳＨＯＰ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアPAOCK　電気カンナ,超硬刃でプロ並の仕上がり　　。PAOCK　電気カンナ[rn]
20-76069,http://tshop.r10s.jp/monju/cabinet/sankyou/imgrc0068834789.jpg?fitin=700:700,63825.6000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,Hard Head Power Tools　自動カンナ　最大切削幅303mm,,"★特長★<br>
・運びやすい小型の自動カンナです<br>
・操作性のよいコンパクトタイプで抜群の切れ味です<br>
・前と後ろにサポートテーブルが付いています<BR>
・精度よい滑らかな表面仕上げ<br>
・錆びにくステンレススチールテーブル<br>
<br>
★本体仕様★<br>
・切削材最大高さ：115mm(3寸8分)<br>
・切削材最小高さ：5mm<br>
・切削材最大幅：303mm(1尺)<br>
・切削厚<br>
○材料の幅が130mm(4寸2分)までの場合2.4mm<br>
○材料の幅が303mm(1尺)までの場合0.7mm<br>
・送材速度：6m/分<br>
・商品サイズ：H660mm×W595mm×D480mm<br>
・重量：34.5kg<br>
<br>
★モーター仕様★<br>
・電圧：100V<BR>
・電流：12A<br>
・定格消費電力：1150W/1130W(50Hz/60Hz)<BR>
・回転数：8000rpm<br>
<br>",Hard Head Power Tools　自動カンナ　最大切削幅303mm：工具のお店　モンジュＳＨＯＰ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアHard Head Power Tools　自動カンナ　最大切削幅303mm,Hard Head Power Tools　自動カンナ　最大切削幅303mm[rn]
20-76070,,870.4000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,Hard Head Power Tools　自動カンナ用カーボンブラシ,,専用カーボンブラシ１個入り,Hard Head Power Tools　自動カンナ用カーボンブラシ：工具のお店　モンジュＳＨＯＰ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアHard Head Power Tools　自動カンナ用カーボンブラシ,Hard Head Power Tools　自動カンナ用カーボンブラシ[rn]
20-76071,http://tshop.r10s.jp/monju/cabinet/00308061/imgrc0065158480.jpg?fitin=700:700,47520.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動研磨工具 > 電動サンダー,PAOCK　手押しカンナ,,"★特長★<br>
●木材の基準面出し、直角出しに最適<br>
●持ち運び可能な小型タイプ<br>
●面取りに便利な45°切削が可能<br>
<br>
★用途★<br>
●木材の基準面出し、直角出し、ソリ補正に<BR>
<br>
★仕様★<br>
■定格電圧：AC100V<br>
■定格周波数：50-60Hz<br>
■定格消費電力：50Hz/420W、60Hｚ/380W<br>
■回転速度：約8000min-1<br>
■最大切削幅：約150mm<br>
■最大切削深さ：約3mm<br>
■電源コード長さ：約2m
■テーブルサイズ：約346mm×152mm<br>
■サイズ：テーブルサイズ：約346mm×152mm<bR>
■重量：23kg<br>
・送りブロック<br>
・差替式ドライバ<br>
・スパナ（8×10mm）<br>
・集じんパイプ<br>
・集じんパイプ取付ねじ<br>
・補助バー<br>
・刃先調整ゲージ<br>
・六角棒レンチ（3mm、4mm、5mm）",PAOCK　手押しカンナ：工具のお店　モンジュＳＨＯＰ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアPAOCK　手押しカンナ,木材の基準面出し、直角出しに最適　　。PAOCK　手押しカンナ[rn]
