30-10901,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,15560.0000,,花・ガーデン・DIY > DIY・工具 > その他,ニッチ　ギヤードトロリ　１．０ｔ　GT5010,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ニッチ</b><br><br>【特長】<br>●ハンドチェーンと減速歯車を介して、より小さな人力で横行可能です。<br><br>【仕様】<br>●定格荷重(t):1.0●最小回転半径(mm):1000●適用横行レール幅(mm):75-100-125●揚程(m):2.5●手動用<br><br><font color=red>【注意】<br>●手動チェンブロック(H-50A形)の上フックを掛けてご使用ください。●手動チェンブロック(H-50A形)と直結する場合はご相談ください。●電気チェンブロックにはご使用できません。</font>●電気チェンブロックにご使用の場合はご相談ください。</font><br><br>【質量】　12KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2779　ページ≪メーカー在庫品≫■商品コード：trs4576080　●定格荷重(t):1.0●最小回転半径(mm):1000●適用横行レール幅(mm):75-100-125●揚程(m):2.5●手動用,ニッチ　ギヤードトロリ　１．０ｔ　GT5010：工具箱　楽天市場店,ニッチ　ギヤードトロリ　１．０ｔ　GT5010,【業務用】 オレンジブック2017掲載。ニッチ　ギヤードトロリ　１．０ｔ　GT5010[rn]
30-10980,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,16213.6000,,花・ガーデン・DIY > DIY・工具 > その他,アルインコ　作業台（天板縞板タイプ）１段　CSBC146S　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／アルインコ（株）住宅機器事業部</b><br><br>【特長】<br>●天板が縞板のため、従来品のアルミ形材に比べて滑り止め効果があります。●オールアルマイト仕上げです。<br><br>【用途】<br>●工場、倉庫内での作業<br><br>【仕様】<br>●最大使用質量(kg):150●天板高さ(m):0.5●天板寸法(mm):600×400●段数:1●設置寸法(mm)間口×奥行:615×415●組立式●組立品●オプションが豊富です。１．手摺り(本体1段タイプは取付不可)　２．キャスター　３．踏ざん巾木(本体1段タイプは取付不可)　４．レベルアジャスター　５．アンカーボルト固定用金具●特注品にて別サイズ製作可能です。<br><br>【材質／仕上】<br>●アルミ<br><br>【質量】　6.5KG<br><br>【原産国】　中国<br><br>【2017　オレンジブック掲載】　4 2708　ページ≪メーカー直送品≫■商品コード：trs4439856　●最大使用質量(kg):150●天板高さ(m):0.5●天板寸法(mm):600×400●段数:1●設置寸法(mm)間口×奥行:615×415●組立式●組立品●オプションが豊富です。１．手摺り(本体1段タイプは取付不可)　２．キャスター　３．踏ざん巾木(本体1段タイプは取付不可)　４．レベルアジャスター　５．アンカーボルト固定用金具●特注品にて別サイズ製作可能です。,アルインコ　作業台（天板縞板タイプ）１段　CSBC146S　【代引き不可・配送時間指定不可】：工具箱　楽天市場店,アルインコ　作業台（天板縞板タイプ）１段　CSBC146S　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。アルインコ　作業台（天板縞板タイプ）１段　CSBC146S　【代引き不可・配送時間指定不可】[rn]
30-10981,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs43/trs7697881.jpg?fitin=700:700,45150.4000,,花・ガーデン・DIY > DIY・工具 > その他,アルインコ　作業台フルセット手すり　ＣＳＢＣ４１２８用　CSBT4AL【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／アルインコ（株）住宅機器事業部</b><br><br>【特長】<br>●アルミ製作業台ＣＳＢＣ用フルセット手すりです。<br><br>【用途】<br>●転落防止に最適です。<br><br>【仕様】<br>●タイプ:フルセット●手すり高さ(mm):９００/１１００●適合本体:ＣＳＢＣ４１２８Ｓ●手すり高さ900・1100mm兼用　●組立式●支柱３２ｍｍ●幅木高さ１０３ｍｍ<br><br>【材質／仕上】<br>●アルミ<br><br><font color=red>【注意】<br>●作業台は別売です。</font><br><br>【質量】　9.6KG<br><br>【原産国】　中国<br><br>【2017　オレンジブック掲載】　4 2709　ページ≪メーカー在庫品≫■商品コード：trs7697881　●タイプ:フルセット●手すり高さ(mm):９００/１１００●適合本体:ＣＳＢＣ４１２８Ｓ●手すり高さ900・1100mm兼用　●組立式●支柱３２ｍｍ●幅木高さ１０３ｍｍ,アルインコ　作業台フルセット手すり　ＣＳＢＣ４１２８用　CSBT4AL【代引き不可・配送時間指定不可】：工具箱　楽天市場店,アルインコ　作業台フルセット手すり　ＣＳＢＣ４１２８用　CSBT4AL【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。アルインコ　作業台フルセット手すり　ＣＳＢＣ４１２８用　CSBT4AL【代引き不可・配送時間指定不可】[rn]
30-10982,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs14/trs3601552.jpg?fitin=700:700,11228.8000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ　業務用戦力リール　単相１００Ｖアース・ブレーカー付　３０ｍ　BM30K,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ハタヤリミテッド</b><br><br>【特長】<br>●メンテナンスが容易な業務用タイプです。●コンセントはホコリの侵入を防ぐシャッター付です。●コンパクト設計、実用性と堅牢性、ハイコストパフォーマンスのコードリールです。●BM-30Kはブレーカー付です。<br><br>【仕様】<br>●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):6●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:4●温度センサー:○●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:○●AC100V●電線種:VCT●漏電地絡保護専用型●ブレーカー付●アース・ブレーカー付●漏電地絡保護専用型(漏電15mA感度)●電線溶解防止機能<br><br>【質量】　7.6KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2428　ページ■商品コード：trs3601552　●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):6●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:4●温度センサー:○●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:○●AC100V●電線種:VCT●漏電地絡保護専用型●ブレーカー付●アース・ブレーカー付●漏電地絡保護専用型(漏電15mA感度)●電線溶解防止機能,ハタヤ　業務用戦力リール　単相１００Ｖアース・ブレーカー付　３０ｍ　BM30K：工具箱　楽天市場店,ハタヤ　業務用戦力リール　単相１００Ｖアース・ブレーカー付　３０ｍ　BM30K,【業務用】 オレンジブック2017掲載。ハタヤ　業務用戦力リール　単相１００Ｖアース・ブレーカー付　３０ｍ　BM30K[rn]
30-10983,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs01/trs1055712.jpg?fitin=700:700,13353.6000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ　サンタイガーリール　単相１００Ｖ型３０ｍ　温度センサー・アースチェック付　TBG301KGX,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ハタヤリミテッド</b><br><br>【特長】<br>●電線温度感知器付です。●アースチェックパイロットランプ付です。●電線や内部の温度が70℃以上になると警報ブザーが鳴ります。●80℃になると自動的に電源が遮断します。つまりブザーが鳴ってから、電線を冷やすと電源が遮断しません（連続使用が可能）。●コンセントキャップ付です。●ブレーキストッパー付です。●アースのチェック機能により接地の状態をチェックします。<br><br>【仕様】<br>●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):5●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:4●温度センサー:○●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:○●漏電遮断器:○●AC100V●ブレーキストッパー付●ブレーカー付●コンセント防じんキャップ付●アース付<br><br>【質量】　8.1KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2429　ページ■商品コード：trs1055712　●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):5●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:4●温度センサー:○●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:○●漏電遮断器:○●AC100V●ブレーキストッパー付●ブレーカー付●コンセント防じんキャップ付●アース付,ハタヤ　サンタイガーリール　単相１００Ｖ型３０ｍ　温度センサー・アースチェック付　TBG301KGX：工具箱　楽天市場店,ハタヤ　サンタイガーリール　単相１００Ｖ型３０ｍ　温度センサー・アースチェック付　TBG301KGX,【業務用】 オレンジブック2017掲載。ハタヤ　サンタイガーリール　単相１００Ｖ型３０ｍ　温度センサー・アースチェック付　TBG301KGX[rn]
30-10984,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs01/trs1063219.jpg?fitin=700:700,21788.0000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ　単相１００Ｖ型ブレーカーリール　３０ｍ　アース付　とび出しプラグ付　BR301KX,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ハタヤリミテッド</b><br><br>【特長】<br>●安全作業の必需品、漏電遮断器付タイプです。<br><br>【仕様】<br>●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):6●コンセント仕様定格:2P・15A・125Vアース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:3●温度センサー:○●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:○●AC100V●電線種:ソフトンケーブルVCT●ブレーカー付●コンセント防じんキャップ付●アース付<br><br>【質量】　8.8KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2429　ページ■商品コード：trs1063219　●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):6●コンセント仕様定格:2P・15A・125Vアース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:3●温度センサー:○●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:○●AC100V●電線種:ソフトンケーブルVCT●ブレーカー付●コンセント防じんキャップ付●アース付,ハタヤ　単相１００Ｖ型ブレーカーリール　３０ｍ　アース付　とび出しプラグ付　BR301KX：工具箱　楽天市場店,ハタヤ　単相１００Ｖ型ブレーカーリール　３０ｍ　アース付　とび出しプラグ付　BR301KX,【業務用】 オレンジブック2017掲載。ハタヤ　単相１００Ｖ型ブレーカーリール　３０ｍ　アース付　とび出しプラグ付　BR301KX[rn]
30-10985,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs02/trs1255665.jpg?fitin=700:700,13115.2000,,花・ガーデン・DIY > DIY・工具 > その他,日動　電工ドラム　標準型１００Ｖドラム　アース漏電しゃ断器付　３０ｍ　NFEB34,【業務用】 オレンジブック2017掲載,<b>メーカー／日動工業（株）</b><br><br>【特長】<br>●長さ、保護機能、電線種など多種多様のコードリールです。<br><br>【仕様】<br>●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2●電線仕様芯数(C):3●定格電流(A):5●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:4●温度センサー:手動復帰型●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:○●AC100V●ブレーカー付●限度電流:15A●ケーブルとドラムの回転を同時に止める「ドラムストッパー」付●漏電遮断器仕様:漏電保護専用<br><br><font color=red>【注意】<br>●屋内型です。雨天の屋外では使用しないでください。●巻いたまま使用すると焼損するおそれがあります。</font><br><br>【質量】　7.5<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2430　ページ■商品コード：trs1255665　●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2●電線仕様芯数(C):3●定格電流(A):5●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:4●温度センサー:手動復帰型●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:○●AC100V●ブレーカー付●限度電流:15A●ケーブルとドラムの回転を同時に止める「ドラムストッパー」付●漏電遮断器仕様:漏電保護専用,日動　電工ドラム　標準型１００Ｖドラム　アース漏電しゃ断器付　３０ｍ　NFEB34：工具箱　楽天市場店,日動　電工ドラム　標準型１００Ｖドラム　アース漏電しゃ断器付　３０ｍ　NFEB34,【業務用】 オレンジブック2017掲載。日動　電工ドラム　標準型１００Ｖドラム　アース漏電しゃ断器付　３０ｍ　NFEB34[rn]
30-10986,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs16/trs3686469.jpg?fitin=700:700,10492.8000,,花・ガーデン・DIY > DIY・工具 > その他,日動　１００Ｖ漏電遮断器付電工ドラム　NPEB24,【業務用】 オレンジブック2017掲載,<b>メーカー／日動工業（株）</b><br><br>【特長】<br>●長さ、保護機能、電線種など多種多様のコードリールです。<br><br>【仕様】<br>●電線仕様長さ(m):20●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):5●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:4●温度センサー:ー●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:○●AC100V●ブレーカー付●限度電流:15A●ケーブルとドラムの回転を同時に止める「ドラムストッパー」付●漏電遮断器仕様:漏電保護専用<br><br><font color=red>【注意】<br>●屋内型です。雨天の屋外では使用しないでください。●巻いたまま使用すると焼損するおそれがあります。</font><br><br>【質量】　5.5<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2430　ページ■商品コード：trs3686469　●電線仕様長さ(m):20●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):5●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:4●温度センサー:ー●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:○●AC100V●ブレーカー付●限度電流:15A●ケーブルとドラムの回転を同時に止める「ドラムストッパー」付●漏電遮断器仕様:漏電保護専用,日動　１００Ｖ漏電遮断器付電工ドラム　NPEB24：工具箱　楽天市場店,日動　１００Ｖ漏電遮断器付電工ドラム　NPEB24,【業務用】 オレンジブック2017掲載。日動　１００Ｖ漏電遮断器付電工ドラム　NPEB24[rn]
30-10987,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs01/trs1063197.jpg?fitin=700:700,20603.2000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ　サンタイガーリール　単相１００Ｖ型５０ｍ　アース付過負荷ブレーカー付　BG501KX,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ハタヤリミテッド</b><br><br>【特長】<br>●ハタヤのロングセラーのサンタイガーリールです。●漏電・過負荷（使いすぎ）・短絡（ショート）を保護する漏電遮断器付です。●しなやかなソフトムケーブルです。<br><br>【用途】<br>●建設・建築現場。●土木工事。●保全作業。●プラント工事。●設備工事。●電気工事。<br><br>【仕様】<br>●電線仕様長さ(m):50●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):5●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:4●温度センサー:○●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:○●電線溶解防止機能:○●AC100V●電線種:VCTソフトムケーブル●コンセント防じんキャップ付●ブレーカー付●コンセントキャップ付●漏電過負荷短絡保護兼用型<br><br>【質量】　11.6KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2428　ページ■商品コード：trs1063197　●電線仕様長さ(m):50●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):5●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:4●温度センサー:○●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:○●電線溶解防止機能:○●AC100V●電線種:VCTソフトムケーブル●コンセント防じんキャップ付●ブレーカー付●コンセントキャップ付●漏電過負荷短絡保護兼用型,ハタヤ　サンタイガーリール　単相１００Ｖ型５０ｍ　アース付過負荷ブレーカー付　BG501KX：工具箱　楽天市場店,ハタヤ　サンタイガーリール　単相１００Ｖ型５０ｍ　アース付過負荷ブレーカー付　BG501KX,【業務用】 オレンジブック2017掲載。ハタヤ　サンタイガーリール　単相１００Ｖ型５０ｍ　アース付過負荷ブレーカー付　BG501KX[rn]
30-10988,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs05/trs2289270.jpg?fitin=700:700,12331.2000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　プロソフトケーブルコードリール　３０ｍ　漏電防止付き　BG301KXT,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●ブレーキストッパー付、防じんキャップ、ネームプレート付です。●冬場でも巻きぐせのつきにくいソフトケーブルを採用しました。<br><br>【仕様】<br>●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):5●コンセント仕様定格:2P・15A・125Vアース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:4●温度センサー:-●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:○●AC100V●電線種:VCT●漏電過負荷短絡保護兼用型●ブレーカー付●コンセントキャップ付●アース付●漏電遮断機器(漏電15mA感度過負荷15A感度)<br><br>【質量】　8.1KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2428　ページ■商品コード：trs2289270　●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):5●コンセント仕様定格:2P・15A・125Vアース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:4●温度センサー:-●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:○●AC100V●電線種:VCT●漏電過負荷短絡保護兼用型●ブレーカー付●コンセントキャップ付●アース付●漏電遮断機器(漏電15mA感度過負荷15A感度),ＴＲＵＳＣＯ　プロソフトケーブルコードリール　３０ｍ　漏電防止付き　BG301KXT：工具箱　楽天市場店,ＴＲＵＳＣＯ　プロソフトケーブルコードリール　３０ｍ　漏電防止付き　BG301KXT,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　プロソフトケーブルコードリール　３０ｍ　漏電防止付き　BG301KXT[rn]
30-10989,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs01/trs1063138.jpg?fitin=700:700,16843.2000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ　単相１００Ｖ型ブレーカーリール　２０ｍ（抜止め）　BR201,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ハタヤリミテッド</b><br><br>【特長】<br>●安全作業の必需品、漏電遮断器付タイプです。<br><br>【仕様】<br>●電線仕様長さ(m):20●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):2●定格電流(A):7●コンセント仕様定格:2P・15A・125V●コンセント仕様形状:[[二芯]]抜止め型●コンセント仕様個数:3●温度センサー:○●通電ランプ:○●接地端子:-●2P・3P兼用プラグ:-●AC100V●電線種:ソフトンケーブルVCT●ブレーカー付●コンセント防じんキャップ付●アース付<br><br>【質量】　6.6KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2429　ページ■商品コード：trs1063138　●電線仕様長さ(m):20●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):2●定格電流(A):7●コンセント仕様定格:2P・15A・125V●コンセント仕様形状:[[二芯]]抜止め型●コンセント仕様個数:3●温度センサー:○●通電ランプ:○●接地端子:-●2P・3P兼用プラグ:-●AC100V●電線種:ソフトンケーブルVCT●ブレーカー付●コンセント防じんキャップ付●アース付,ハタヤ　単相１００Ｖ型ブレーカーリール　２０ｍ（抜止め）　BR201：工具箱　楽天市場店,ハタヤ　単相１００Ｖ型ブレーカーリール　２０ｍ（抜止め）　BR201,【業務用】 オレンジブック2017掲載。ハタヤ　単相１００Ｖ型ブレーカーリール　２０ｍ（抜止め）　BR201[rn]
30-10990,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs24/trs4189612.jpg?fitin=700:700,12052.8000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ　温度センサー付コードリール　単相１００Ｖ　３０ｍ　ブレーカー付　BG30S,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ハタヤリミテッド</b><br><br>【特長】<br>●電線の異常な温度上昇を感知し自動的に電源を遮断します。危険な電線の溶解・焼損を未然に防ぎます。安心の保護機能です。<br><br>【仕様】<br>●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):2●定格電流(A):5●コンセント仕様定格:2P・15A・125V●コンセント仕様形状:[[二芯]]●コンセント仕様個数:4●温度センサー:○●通電ランプ:○●接地端子:-●2P・3P兼用プラグ:-●AC100V●電線種:VCTソフトムケーブル●ブレーカー付●コンセント防じんキャップ付<br><br>【質量】　7.1KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2428　ページ■商品コード：trs4189612　●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):2●定格電流(A):5●コンセント仕様定格:2P・15A・125V●コンセント仕様形状:[[二芯]]●コンセント仕様個数:4●温度センサー:○●通電ランプ:○●接地端子:-●2P・3P兼用プラグ:-●AC100V●電線種:VCTソフトムケーブル●ブレーカー付●コンセント防じんキャップ付,ハタヤ　温度センサー付コードリール　単相１００Ｖ　３０ｍ　ブレーカー付　BG30S：工具箱　楽天市場店,ハタヤ　温度センサー付コードリール　単相１００Ｖ　３０ｍ　ブレーカー付　BG30S,【業務用】 オレンジブック2017掲載。ハタヤ　温度センサー付コードリール　単相１００Ｖ　３０ｍ　ブレーカー付　BG30S[rn]
30-10991,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs16/trs3685942.jpg?fitin=700:700,17408.0000,,花・ガーデン・DIY > DIY・工具 > その他,日動　電流コントールドラム　FCE34,【業務用】 オレンジブック2017掲載,<b>メーカー／日動工業（株）</b><br><br>【特長】<br>●電流値を自由自在にコントロールできます。●設定した電流以上使用するとドラムの電源をカットします。●電流設定を控えめにしておくことで建物の元ブレーカーを落とさず作業できます。●ケーブルとドラムの回転を同時に止める「ドラムストッパー」付です。<br><br>【用途】<br>●過電流防止区域。（ビルメンテ他に。）●リフォーム工事に。<br><br>【仕様】<br>●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):5●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:4●温度センサー:手動復帰型●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:○●過負荷保護:-●漏電保護:-●電流コントロール範囲:5A～25A●AC100V●電線種:VCT●プラグ形状:ポッキンプラグ×1●電源ランプ付●屋内型●電線色:黒●側板直径(φ):290●側板色:紺●電線材質:VCT<br><br><font color=red>【注意】<br>●屋内型です。雨天の屋外では使用しないでください。●巻いたまま使用すると焼損するおそれがあります。</font><br><br>【質量】　7.9KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2430　ページ■商品コード：trs3685942　●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):5●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:4●温度センサー:手動復帰型●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:○●過負荷保護:-●漏電保護:-●電流コントロール範囲:5A～25A●AC100V●電線種:VCT●プラグ形状:ポッキンプラグ×1●電源ランプ付●屋内型●電線色:黒●側板直径(φ):290●側板色:紺●電線材質:VCT,日動　電流コントールドラム　FCE34：工具箱　楽天市場店,日動　電流コントールドラム　FCE34,【業務用】 オレンジブック2017掲載。日動　電流コントールドラム　FCE34[rn]
30-10992,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs04/trs2098806.jpg?fitin=700:700,13831.2000,,花・ガーデン・DIY > DIY・工具 > その他,日動　特殊機能付電工ドラム　アースチェックリール　アース漏電しゃ断器付　３０ｍ　GNFEB34,【業務用】 オレンジブック2017掲載,<b>メーカー／日動工業（株）</b><br><br>【特長】<br>●アースチェックランプ付のプラグです。アース線の接地が確実か、コンセントに差し込むだけでプラグのランプを見て分かります。●ブレーカー付のため、危険な漏電を防止します。●ケーブルとドラムの回転を同時に止める「ドラムストッパー」付です。●アースチェックランプ付です。<br><br>【仕様】<br>●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):5●コンセント仕様定格:2P・15A・125Vアース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:4●温度センサー:手動復帰型●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:○●AC100V●電線種:VCT●漏電地絡保護専用ブレーカー15mA感度●限度電流:15A●漏電保護専用15mA感度(EBタイプ)●過負荷漏電保護兼用(EKタイプ)<br><br><font color=red>【注意】<br>●屋内型です。雨天の屋外では使用しないでください。●巻いたまま使用すると焼損するおそれがあります。</font><br><br>【質量】　7.5KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2430　ページ■商品コード：trs2098806　●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):5●コンセント仕様定格:2P・15A・125Vアース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:4●温度センサー:手動復帰型●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:○●AC100V●電線種:VCT●漏電地絡保護専用ブレーカー15mA感度●限度電流:15A●漏電保護専用15mA感度(EBタイプ)●過負荷漏電保護兼用(EKタイプ),日動　特殊機能付電工ドラム　アースチェックリール　アース漏電しゃ断器付　３０ｍ　GNFEB34：工具箱　楽天市場店,日動　特殊機能付電工ドラム　アースチェックリール　アース漏電しゃ断器付　３０ｍ　GNFEB34,【業務用】 オレンジブック2017掲載。日動　特殊機能付電工ドラム　アースチェックリール　アース漏電しゃ断器付　３０ｍ　GNFEB34[rn]
30-10993,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs16/trs3702782.jpg?fitin=700:700,6490.4000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ　ＪＴ－３型ブレーカーリール　単相１００Ｖ　１０ｍ　アース付　BJ3101K,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ハタヤリミテッド</b><br><br>【特長】<br>●10m仕様のプロ向小型リールです。●小型なので事務所内の軽微な作業に便利です。<br><br>【仕様】<br>●電線仕様長さ(m):10●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):7●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:2●温度センサー:-●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:○●AC100V●電線種:VCTF●コンセント防じんシャッター付●ブレーキストッパー付●漏電地絡保護専用型●アース付<br><br>【質量】　2.9KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2429　ページ■商品コード：trs3702782　●電線仕様長さ(m):10●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):3●定格電流(A):7●コンセント仕様定格:2P・15A・125V アース付●コンセント仕様形状:[[三芯]]●コンセント仕様個数:2●温度センサー:-●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:○●AC100V●電線種:VCTF●コンセント防じんシャッター付●ブレーキストッパー付●漏電地絡保護専用型●アース付,ハタヤ　ＪＴ&minus;３型ブレーカーリール　単相１００Ｖ　１０ｍ　アース付　BJ3101K：工具箱　楽天市場店,ハタヤ　ＪＴ&minus;３型ブレーカーリール　単相１００Ｖ　１０ｍ　アース付　BJ3101K,【業務用】 オレンジブック2017掲載。ハタヤ　ＪＴ&minus;３型ブレーカーリール　単相１００Ｖ　１０ｍ　アース付　BJ3101K[rn]
